Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Information Facilities,Business & Local Growth - Regional Growth,HM LAND REGISTRY,107902,18.00,EX RDA Portfolio Management Office-Information Facilities,CR0 2AQ,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,HM LAND REGISTRY,107903,9.00,Prosecution Agents-Criminal Law and Prosecution Work,PL6 5HY,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/08/2015,UKSBS - Service Costs,Finance & Commercial Group - Finance Directoreate,UK SHARED BUSINESS SERVICES LTD,107905,14066.16,F&C Devolved Admin-UKSBS - Service Costs,SN2 1FF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Air Travel,Government Office for Science -  Government Office for Science,PROFESSOR FIONA ELIZABETH MURRAY,107907,2531.42,Foresight: GCSA Priorities-Air Travel,BN5 9HQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Research and Development Expenditure,Government Office for Science -  Government Office for Science,LONDON SCHOOL OF ECONOMICS,107909,5000.00,Foresight: Demography and Ageing-Research and Development Expenditure,WC2A 2AE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Reprographic Services,Office of Manpower Economics - Office of Manpower Economics,BNP PARIBAS LEASE GROUP (RENTALS) LTD T/A DANWOOD CONTRACT RENTALS,107910,7019.52,OME Devolved Admin-Reprographic Services,RG21 4HL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Enforcement,Business & Local Growth - Europen Reform,DORSET COUNTY COUNCIL,107911,79.90,MC&PR: Product Regulations-Enforcement,DT1 1XJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Training And Development Expenditure,Economics & Markets - Analysis Directorate,CIVIL SERVICE COLLEGE LTD,107913,552.50,E&M Devolved Admin-Training And Development Expenditure,SW1H 9BU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH SKY BROADCASTING LTD,107922,66.00,F&C Devolved Admin-Central Telecommunications Services,EH54 7HH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Water,Finance & Commercial Group - Estates,SCOTTISH WATER BUSINESS STREAM LTD T/A BUSINESS STREAM,107924,2468.01,F&C Devolved Admin-Water,EH12 1GT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Publications,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",THE STATIONERY OFFICE LTD,107941,165.00,PSHE Devolved Admin-Publications,NR3 1QZ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Translation Services,Shareholder Executive - Corporate Finance Practice,FCO SERVICES,107942,4156.25,ShEx Devolved Admin-Translation Services,MK19 7BH,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,0.58,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,0.58,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,0.70,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,0.74,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,0.82,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,1.57,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,3.12,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,3.74,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,4.08,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,5.00,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,6.48,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,6.77,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,8.28,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,107943,206.82,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Mileage Allowance UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",107945,7.20,F&C Devolved Admin-Mileage Allowance UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Rail Travel UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",107945,243.27,F&C Devolved Admin-Rail Travel UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",107945,17.88,F&C Devolved Admin-Subsistence UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Business Rates,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),107946,2000.00,Growth Vouchers-Business Rates,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),107946,80402.75,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,107947,59.10,Other Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hire of Interim Managers,Finance & Commercial Group - Information and Technology Directorate,DYSTINCT CONSULTING LTD,107948,12351.00,F&C Devolved Admin-Hire of Interim Managers,N12 0DR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Recruitment Advice and Services,Finance & Commercial Group - Finance Directoreate,THE WHITEHALL AND INDUSTRY GROUP,107949,10800.00,F&C Devolved Admin-Recruitment Advice and Services,SW1H 9EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Printing,"People, Strategy and Higher Education - Communications Directorate",JONES YARRELL LEADENHALL,107950,561.45,PSHE Devolved Admin-Printing,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Consultancy Expenditure,Economics & Markets - International Trade & Export Control,SPOILT FOR CHOICE LTD,107951,192.50,ECO - Non Proliferation Awareness Seminars-Consultancy Expenditure,SW11 3RE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Other Training Costs,Economics & Markets - International Trade & Export Control,THE CAMBRIDGE BELFRY,107952,3785.00,ECO - Non Proliferation Awareness Seminars-Other Training Costs,CB23 6BW,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Other Professional Services,Enterprise & Skills Group - Enterprise Directorate,PROFESSOR TIMOTHY R DAFFORN,107954,2500.00,PEiURG: Creating A More Entrepreneurial Culture-Other Professional Services,CV8 1LA,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hire of Interim Managers,Finance & Commercial Group - Information and Technology Directorate,DYSTINCT CONSULTING LTD,107955,6444.00,F&C Devolved Admin-Hire of Interim Managers,N12 0DR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Financial Advice and Services,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,GOVERNMENT ACTUARYS DEPARTMENT,107957,21095.81,Management Costs ICR Monetisation-Financial Advice and Services,EC4A 1AB,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Consultancy Expenditure,Economics & Markets - International Trade & Export Control,SPOILT FOR CHOICE LTD,107958,275.50,ECO - Non Proliferation Awareness Seminars-Consultancy Expenditure,SW11 3RE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Publications,Economics & Markets - Labour Market,JONES YARRELL LEADENHALL,107959,70.24,E&M Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Air Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",107993,198.71,Public Weather Service: Contract-Air Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",107993,11.30,Public Weather Service: Contract-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",107993,13.50,Public Weather Service: Contract-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",107993,12.00,Public Weather Service: Contract-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",107994,22.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",107995,30.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Publications,Economics & Markets - Analysis Directorate,JONES YARRELL LEADENHALL,107999,10.16,E&M Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Publications,Economics & Markets - Analysis Directorate,JONES YARRELL LEADENHALL,107999,10.16,E&M Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Publications,Economics & Markets - Analysis Directorate,JONES YARRELL LEADENHALL,107999,67.74,E&M Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - Innovation Directorate,MET OFFICE,108003,135000.00,Space Weather Service-Research and Development Expenditure,EX1 3PB,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Delivery Office,UNIVERSITY OF GREENWICH,108004,2691.61,BRDO: Priorities-Hire of Agency Staff,ME4 4TB,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Printing,"People, Strategy and Higher Education - Communications Directorate",JONES YARRELL LEADENHALL,108009,72.45,PSHE Devolved Admin-Printing,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108013,34.95,Default-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108013,46.60,Default-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108014,27.25,Default-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108014,16.70,Default-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108015,33.73,Default-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",108015,51.40,Default-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Economic Consultancy & Research,Economics & Markets - DG & Group Support,EUROPEAN ECONOMIC RESEARCH LTD T/A EUROPE ECONOMICS,108017,16844.40,E&M Devolved Admin-Economic Consultancy & Research,WC2A 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Employer's Pension Costs - Partnership Pensions-Permanent UK Staff,Business & Local Growth - Local Growth Directorate,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,108020,332.64,BLG Devolved Admin-Employer's Pension Costs - Partnership Pensions-Permanent UK Staff,HP2 4XN,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Goods/Services,Shareholder Executive - British Business Bank,MINISTRY OF DEFENCE,108021,-54869.01,ShEx Devolved Admin-Other Goods/Services,L2 3YL,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Goods/Services,Shareholder Executive - British Business Bank,MINISTRY OF DEFENCE,108021,66657.87,ShEx Devolved Admin-Other Goods/Services,L2 3YL,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hire of Interim Managers,Finance & Commercial Group - Projects & Commercial Directorate,MONRO CONSULTING LTD,108023,24840.00,F&C Devolved Admin-Hire of Interim Managers,BA1 3NP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Research and Development Expenditure,Government Office for Science -  Government Office for Science,FISHER STUDIOS LTD,108024,210.00,Foresight: Demography and Ageing-Research and Development Expenditure,OX3 7RD,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,ICT Outsourcing & Maintenance/Support,Economics & Markets - Analysis Directorate,THE MATHWORKS LTD,108027,1922.40,E&M Devolved Admin-ICT Outsourcing & Maintenance/Support,CB4 0HH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Hire of Interim Managers,Knowledge & Innovation Group - DG/Finance & Corporate Planning,ALLEN LANE LTD,108028,6995.04,K&I Devolved Admin-Hire of Interim Managers,SW1Y 6RJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Financial Advice and Services,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,GOVERNMENT ACTUARYS DEPARTMENT,108029,12384.97,Management Costs ICR Monetisation-Financial Advice and Services,EC4A 1AB,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hire of Interim Managers,Enterprise & Skills Group - Enterprise & Skills,ALLEN LANE LTD,108032,7823.40,E&S Devolved Admin-Hire of Interim Managers,SW1Y 6RJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Publications,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",JONES YARRELL LEADENHALL,108033,725.28,PSHE Devolved Admin-Publications,E3 3JG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Hire of Interim Managers,Business & Local Growth - Business & Local Growth DG,ALLEN LANE LTD,108034,4842.72,BLG Devolved Admin-Hire of Interim Managers,SW1Y 6RJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Hogg Robinson Group Travel (HRG),Finance & Commercial Group - UK Shared Business Services,BARCLAYS BANK PLC,108037,6809.63,Default-Hogg Robinson Group Travel (HRG),TS17 6YT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Current Grants To Private Sector - NPISH,Business & Local Growth - Advanced Manufacturing Services,CENEX,108039,25000.00,Sponsorship Auto-Current Grants To Private Sector - NPISH,LE11 3TU,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hire of Agency Staff,Finance & Commercial Group - Projects & Commercial Directorate,ALLEN LANE LTD,108048,2106.30,F&C Devolved Admin-Hire of Agency Staff,BN11 2BW,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),108051,174583.00,Standards: BSI: Standards Development-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),108052,111209.65,Standards: BSI: Support For Participation In Standardisation AITS-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),108053,2287.04,Standards: BSI: Support For Participation In Standardisation - CTEF-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),108054,72083.00,Standards: BSI: Subscriptions-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",108057,2.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",108057,20.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hotel & Accommodation Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,74.31,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,3.15,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,1.47,K&I Devolved Admin-Rail Travel Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,1.35,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,1.47,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,3.79,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,8.30,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,20.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",108058,31.50,K&I Devolved Admin-Taxi Services Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Hospitality - UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108059,5.10,BRDO: Welsh Government-Hospitality - UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108059,393.30,BRDO: Welsh Government-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108059,28.96,BRDO: Welsh Government-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",108059,85.60,BRDO: Welsh Government-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team","Personal Expense, Name Witheld",108061,4.79,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team","Personal Expense, Name Witheld",108061,6.10,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence UK,Economics & Markets - Analysis Directorate,"Personal Expense, Name Witheld",108062,23.00,Default-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",108063,52.02,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",108063,73.60,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",108063,96.20,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Taxi Services UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",108063,178.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Mileage Allowance UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108064,60.30,ECO - Non Proliferation Awareness Seminars-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108064,10.00,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108064,60.22,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108065,6.50,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",108065,14.30,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Rail Travel Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108066,10.02,E&M Devolved Admin-Rail Travel Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",108066,10.00,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,
