Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Supplier Type,Contract Number
Ministry of Justice,MoJ HQ,27/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1083670,"£159,843.35",PQ108 - OMNI-T Capital Expenditure FY1112,M14 0WN,E012,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£162,496.48",ICT Laptops (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1082167,"£164,450.81",ICT Other (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£165,683.86",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£173,696.00","CCN2277-01 - Resources June 12 to March 13.						",WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,10/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082471,"£184,861.50",A-R-01986-19-V02 - LSC IDP Additional Resources,WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1082208,"£193,356.60",PQ108 - OMNI-T Capital Expenditure FY1112,M14 0WN,E012,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£199,562.24",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£205,907.00","CCN A-R-03478-03 CREST EL Full Project Delivery - Hardware						 							",WV10 6UH,E001,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1082136,"£218,293.84",This PO is for the services of the IA Managed Service. For the period April-October 2012.   It relates to Re-chargeable costs (Schedule),GU2 7YP,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£220,206.93",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1082416,"£231,775.43",CJSE - Base Support(Fixed) (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083670,"£233,275.43",CJSE - Base Support(Fixed) (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£235,836.00","CCN2277 - NOP Programme					",WV10 6UH,E046,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1082241,"£260,291.25",This PO is for the services of the Architecture Managed Service. For the period April-October 2012.  It relates to rechargeable costs (Schedule),GU2 7YF,0000,Admin,SME,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£293,342.39",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£335,370.00",ICT Service Desk (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£385,546.28",Steria ICT Hosting (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£394,673.16",Steria ICT Licences (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1082167,"£402,178.00",ICT Hosting (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£493,336.25",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£500,000.00","CCN A-R-2557-02-v07	   Capital Expenditure 	 	",WV10 6UH,E117,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£663,605.45",ICT Desktops (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1083536,"£713,716.00",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS) PN101,SE1 2AF,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£768,205.79",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£892,919.00",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£934,660.63",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£1,175,024.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Software Licenses						 						",WV10 6UH,E001,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£1,322,668.50",ICT Network Services (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£1,571,867.59",Steria ICT Desktops (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£1,691,421.42",ICT Hosting (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1082167,"£1,846,888.53",ICT App Maint & Supp (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£2,273,641.43",HP ICT Desktops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1082248,"£349,000.00",CCN A-R-03104-02-v03 - YJB to MOJ ICT Transition - Design and Transition,WV10 6UH,0000,Admin,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,222001-Maintenance,NZ406-Strategic Estates Feeder,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1082307,"£92,317.96","Refurbish the 3 floors of Hunters Walk in Chester, including fitting a DDA compliant lift to support the 3 floors of the building.",CIS-SO18 2RZ,0000,Admin,SME,
Ministry of Justice,MoJ HQ,10/Sep/2012 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1082538,"£242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate.",CIS-CM12 0BT,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BROOKS PROPERTIES,1083047,"£478,000.00",Rent - Steel House,IRELAND,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE CB RICHARD ELLIS,1083059,"£40,071.00",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE CB RICHARD ELLIS,1083059,"£89,501.25",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1083078,"£980,665.75",Rent - Clive House,B4 6AJ-APIA,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1083079,"£455,689.25",Rent - Grenadier House,B4 6AJ-VINCENT,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1083134,"£90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1083135,"£3,417,471.50",Rent - 102 Petty France,WC2N 5AF-RENT,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,YORKE PROPERTY MANAGEMENT LTD,1083236,"£506,000.00",Rent & Services charges - 81 Chancery Lane,W1K 6WE,0000,Admin,,
Ministry of Justice,MoJ HQ,21/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CITY OF WESTMINSTER,1083238,"£60,945.00",Business Rates - Ashley House,RATES,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1083343,"£31,787.40","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1083343,"£33,148.50","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1083343,"£54,517.67","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0000,Admin,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1083343,"£59,191.27","Rent & Services charges - Axis, Birmingham",BS8 9AQ,0000,Admin,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1083471,"£74,600.85",CCN 02833-07 - ETP P1 Move 6 Hardware & Resource - Ongoing IT Support service FY12/Oct-16,WV10 6UH,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,262000-SCA Costs,LZ430-I&B Operations,NATIONAL SAVINGS & INVESTMENTS,2001,"£511,759.00",Re-payment of amortised development costs.  Purchase order represents anticipated payment in 2012/13 Financial Year.,SW1V 2QX,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,262000-SCA Costs,LZ430-I&B Operations,NATIONAL SAVINGS & INVESTMENTS,2000,"£531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1082810,"£27,924.00",Legal publications for the judiciary and courts,SP10 9AG,0000,Admin,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1083684,"£60,316.90",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. £75k per month,BL8 9AR,0000,Admin,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,266000-Judicial Costs,LZ600-Transforming Justice,JORDAN PUBLISHING LTD,1083577,"£118,345.50",Legal publications for the judiciary and courts,BS1 6JS,0000,Admin,,
Ministry of Justice,MoJ HQ,17/Sep/2012 ,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1082985,"£173,780.83",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.,ST16 2LG,0000,Admin,,
Ministry of Justice,HMCTS,13/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1594,"£724,885.77",Monthl;y service charges for TS sites (July),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,13/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1594,"£168,749.00",Monthly rate charges for TS sites (July),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,13/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1594,"£46,842.48",Monthly PRIME variables for TS sites (July),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1586,"£168,749.00",Monthly rate charges for TS sites (August),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1586,"£731,323.40",Monthly service charges for TS sites (August),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,222002-Other Property Costs,AG999-HQ - Estates,DEPARTMENT FOR WORK & PENSIONS (DWP),1586,"£46,560.86",Monthly PRIME variables for TS sites (August),CF14 3UW,0000,Programme,,
Ministry of Justice,HMCTS,07/Sep/2012 ,710200-Creditors < 1 year - Trade & Other Creditors,BZ999-London Region,THE INSOLVENCY SERVICE#RF100000095/A,721776,,,DX 160040,0000,Programme,,
Ministry of Justice,HMCTS,13/Sep/2012 ,710200-Creditors < 1 year - Trade & Other Creditors,BZ999-London Region,THE OFFICIAL RECEIVER#RIE41305761,726206,,,DX 44450,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,JOHN & SANDRA JOSEPH,2170251,"£108,525.00",Estates HQ - Rent Barnet County Court Quarter 3,NW3 1PD,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CBRE CB RICHARD ELLIS,2170151,"£1,236,675.00",Esates HQ - Westminster Mags Rent Quarter 3,EC2V 5WB,0000,Programme,,
Ministry of Justice,HMCTS,05/Sep/2012 ,222002-Other Property Costs,BZ999-London Region,SANDERSON WEATHERALL,2163888,"£34,672.75","Quarterly service charge for London ETS (London Road, Croydon)",LS1 4WG-CHARGE,0000,Programme,,
Ministry of Justice,HMCTS,18/Sep/2012 ,223001-Printing Postage and Office expenditure,GZ999-North West Region,ROYAL MAIL GROUP PLC,2175293,"£27,657.13",NW Region - Royal Mail variable charges - Jun 12 - Mar 13 - Account 166288000,PE4 5PE,0000,Programme,,
Ministry of Justice,HMCTS,04/Sep/2012 ,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,2160923,"£33,730.90",SE Regional Mail variable charges - Royal Mail - Account number 166289000,PE4 5BR,0000,Programme,,
Ministry of Justice,HMCTS,04/Sep/2012 ,223001-Printing Postage and Office expenditure,HZ999-North East Region,ROYAL MAIL GROUP PLC,2160923,"£136,739.64",North East Consol Account - Variable service contract continuation replacing PO 20000143837 - Royal Mail - 12/13,PE4 5BR,0000,Programme,,
Ministry of Justice,HMCTS,05/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,JONES LANG LASALLE LTD,2163057,"£490,306.00",Estates HQ - Rent Field House Quarter 3,E14 5WQ-SERVICE,0000,Programme,,
Ministry of Justice,HMCTS,25/Sep/2012 ,261000-Fuel and Utilities,BZ999-London Region,EDF ENERGY LTD,2183347,"£33,400.62",EDF Energy Ltd - Electricity Costs for RCJ. Strand. Period April 2012 to March 2013. (Account No. 13592343). Business Entity IH701. NAC 222142.,PL3 5XQ,0000,Programme,,
Ministry of Justice,HMCTS,28/Sep/2012 ,261000-Fuel and Utilities,CZ999-South East Region,CORONA ENERGY,2188166,"£46,556.92",South East Region - Corona - Consolidated 11/12,NW4 3RJ-RET 4,0000,Programme,,
Ministry of Justice,HMCTS,21/Sep/2012 ,261000-Fuel and Utilities,HZ999-North East Region,CORONA ENERGY,2180205,"£27,983.64",North East Consol Account - Gas - Corona 12-13,NW4 3RJ-RET 4,0000,Programme,,
Ministry of Justice,HMCTS,26/Sep/2012 ,261000-Fuel and Utilities,GZ999-North West Region,CORONA ENERGY,2185535,"£100,902.61",NW Region Consolidated - Gas - Corona - April 11 - March 12,NW4 3RJ-RET 4,0000,Programme,,
Ministry of Justice,HMCTS,21/Sep/2012 ,261000-Fuel and Utilities,DZ999-South West Region,CORONA ENERGY,2180204,"£32,694.30",SW Finance Office (DA170) - Corona Energy - GAS 222143 - Acct no.:20301400 - Monthly Consolidated Bill for various sites in the SW Region.,NW4 3RJ-RET 2,0000,Programme,,
Ministry of Justice,HMCTS,28/Sep/2012 ,261000-Fuel and Utilities,BZ999-London Region,CORONA ENERGY,2188166,"£43,137.12",HMCS London Region - Corona - Consolidated Gas Account 2011-12,NW4 3RJ-RET 4,0000,Programme,,
Ministry of Justice,HMCTS,10/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,HMRC,1579,"£453,278.52",Estates HQ - Victory House Rent and Service Charge Quarter 1 ,BN12 4XH,0000,Programme,,
Ministry of Justice,HMCTS,28/Sep/2012 ,265000-IT & Telecommunications,AP999-HQ - Strategy & Change,STERIA LTD,2188839,"£74,110.75",Fixed price proposal plus £11k max travel expenses for delivery & support of the SSCS bulking solution,M14 0WN,0000,Programme,,
Ministry of Justice,HMCTS,10/Sep/2012 ,222002-Other Property Costs,BZ999-London Region,HMRC,1579,"£34,739.40",Estates HQ Victory House Service Charge Quarter 1,BN12 4XH,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,HMRC,1590,"£30,522.95",Estates HQ Victory House Service Charge Quarter 1,BN12 4XH,0000,Programme,,
Ministry of Justice,HMCTS,19/Sep/2012 ,532000-Tangible GBV - Additions,FZ999-Midlands Region,SITEC INTERIORS LTD,2178793,"£120,000.00","CIS Labour - Birmingham Magistrates - Sitec - Fire Safety Works - Compartmentation, door works, new doors - Phase 2",CIS-B1 3AP,0000,Programme,SME,
Ministry of Justice,HMCTS,04/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,EDDISONS,2160355,"£45,000.00",Estates HQ Uxbridge County Court Rent Quarter 3,WC2H 0AU-RENT,0000,Programme,,
Ministry of Justice,HMCTS,05/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,EDDISONS,2162987,"£27,832.65",Estates HQ Newcastle Upon Tyne District Probate Registry Rent Quarter 3,WC2H 0AU-RENT,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CLSH MANAGEMENT LIMITED,2170159,"£85,922.37",Estates HQ Supreme court costs office Rent Quarter 3,SW8 1SF,0000,Programme,,
Ministry of Justice,HMCTS,04/Sep/2012 ,532000-Tangible GBV - Additions,AP999-HQ - Strategy & Change,OVERBURY PLC,2160839,"£45,405.61",CIS Labour - Fleetbank House - Overbury PLC - Construction works at Fleetbank House prior to relocation of Audit House staff (EAT),CIS-W1T 3EW,0000,Programme,,
Ministry of Justice,HMCTS,04/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,BRUNTWOOD ESTATES,2160210,"£25,610.75",Quarterly rent payment for Northern RAP Manchester,M1 4BT-RENTALPH,0000,Programme,,
Ministry of Justice,HMCTS,26/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,JAMES ANDREW RSW,2185633,"£220,741.50",Estates HQ - Clerkenwell & Shoreditch County Court Rent Quarter 3,N3 2BP-RENTGEE,0000,Programme,,
Ministry of Justice,HMCTS,05/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,SANDERSON WEATHERALL,2163889,"£70,375.00",Estates HQ Tribs Montague Court Rent Quarter 3,LS1 4WG-RENT,0000,Programme,,
Ministry of Justice,HMCTS,25/Sep/2012 ,532000-Tangible GBV - Additions,EZ999-Wales Region,KIER WESTERN,2183534,"£85,298.01",CIS Labour - Aberystwyth Law Courts - Kier Western - Construction of New Law Courtsd,CIS-SG19 2BD,F020,Programme,,
Ministry of Justice,HMCTS,28/Sep/2012 ,532000-Tangible GBV - Additions,CZ999-South East Region,KIER CONSTRUCTION,2188378,"£367,481.10",CIS Labour-Crawley Magistrates'-Kier Construction-Major fabric and M&E refurbishment to court building (including all staff & public areas) both external and internal,CIS-ME20 6XS,0000,Programme,,
Ministry of Justice,HMCTS,11/Sep/2012 ,222001-Maintenance,EZ999-Wales Region,KIER WESTERN,2168002,"£46,141.84",CIS Labour - Aberystwyth - Kier Western - Refurbishment of Aberystwyth Justice Centre,CIS-SG19 2BD,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,GREAT CAPITAL PARTNERSHIP (GP) LTD,2170222,"£278,750.00",Central London Trial Centre Rent Quarter 3,W1G 0PW,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,B&HS MANAGEMENT LTD,2170120,"£229,909.50",Estates HQ Inner London & City Family Proceeding Court Rent Quarter 3,W1G 0PW,0000,Programme,,
Ministry of Justice,HMCTS,07/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,DERWENT LONDON PLC T/A DERWENT LONDON PROPERTY MANAGEMENT,2165571,"£215,000.00",Estates HQ Tribs Rosebery Avenue Rent Quarter 3,W1S 2ER-ROSE AV,0000,Programme,,
Ministry of Justice,HMCTS,07/Sep/2012 ,222002-Other Property Costs,BZ999-London Region,DERWENT LONDON PLC T/A DERWENT LONDON PROPERTY MANAGEMENT,2165571,"£87,111.76",Estates HQ Tribs Rosebery Avenue Service Charge Quarter 3,W1S 2ER-ROSE AV,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BERKLEY ESTATES LONDON LTD,2170130,"£1,037,153.82",Estates HQ  Principal Registry of Family Division Rent Quarter 3,W1U 1QS,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BERKLEY ESTATES LONDON LTD,2170130,"£78,065.34",VAT - Estates HQ  Principal Registry of Family Division Rent Quarter 3 ,W1U 1QS,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BERKLEY ESTATES LONDON LTD,2170130,"£78,065.34",VAT - Estates HQ  Principal Registry of Family Division Rent Quarter 3 ,W1U 1QS,0000,Programme,,
Ministry of Justice,HMCTS,25/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,DTZ DEBENHAM TIE LEUNG,2183334,"£279,570.47",Estates HQ Central London Trial Centre Rent Quarter 3,B4 6AJ A/C CPS,0000,Programme,,
Ministry of Justice,HMCTS,12/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,PROPERTY PARTNERS T/A RESIDENTIAL PARTNERS,2170833,"£168,750.00",Estates HQ Central London Civil Justice Centre Rent Quarter 2,W1J 8PD,0000,Programme,,
Ministry of Justice,HMCTS,14/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,GBR PHOENIX BEARD,2172249,"£182,449.38",Estates HQ Tribs Anchorage House IOM Rent Quarter 3,B3 3WX EID R,0000,Programme,,
Ministry of Justice,HMCTS,14/Sep/2012 ,222002-Other Property Costs,BZ999-London Region,GBR PHOENIX BEARD,2172250,"£93,015.75",Estates HQ Tribs Anchorage House IOM Service Charge Quarter 3,B3 3WX EID SC,0000,Programme,,
Ministry of Justice,HMCTS,21/Sep/2012 ,221000-Property Rent and Rates,BZ999-London Region,FERNEX LTD,2180279,"£137,625.00",Estates HQ Tribs Gloucester House Feltham Rent Quarter 3,N6 4NH-RENT,0000,Programme,,
Ministry of Justice,HMCTS,04/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BROADGATE ESTATES LTD,2160199,"£543,141.75",Estates HQ Rolls Building Fetter Lane Rent Quarter 3,NW1 3BG,0000,Programme,SME,
Ministry of Justice,HMCTS,04/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BROADGATE ESTATES LTD,2160199,"£296,960.31",Estates HQ Rolls Building Fetter Lane Service Charge Quarter 3,NW1 3BG,0000,Programme,SME,
Ministry of Justice,HMCTS,25/Sep/2012 ,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,BROADGATE ESTATES LTD,2183224,"£100,332.90",Estates HQ Rolls Building Fetter Lane Service Charge and Insurance,NW1 3BG,0000,Programme,SME,
