Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/02/2014,Air Command,Fuel for military use,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000021392,Aviation fuel casual uplift consumed,110603.49
Ministry of Defence,Ministry of Defence,10/02/2014,Air Command,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303886,Utilities consumed - electricity,110373.68
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Design services and minor equipment purchases,KPMG LLP,WD17 1DE,310192,Equipment support non-project costs,109811.00
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,302254,Utilities consumed - heating oil,109556.87
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,MILLSTREAM PENTHOUSE SYSTEMS  LIMITED,SM4 4LU,305016,Spend on Inventory - General,109534.02
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,"AAR INTERNATIONAL, INC.",TW6 2RE,301313,Equipment support non-project costs,109533.26
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,SELEX ES LTD,BS16 1EJ,305149,Equipment support project costs,109103.66
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BMT ISIS LIMITED,BA2 3DQ,305328,Equipment support non-project costs,108967.72
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Grants to Reserves Forces and Cadets Association,COUNCIL OF RESERVE FORCES AND CADETS ASSOC PENSION SCHEME,EC2A 4EY,305922,Grants to reserve forces and cadet associations,107693.05
Ministry of Defence,Ministry of Defence,05/02/2014,Air Command,Fuel for military use,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000021240,Aviation fuel casual uplift consumed,107473.38
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Equipment support non-project costs,RUBB BUILDINGS LTD,NE11 0QE,301746,Equipment support non-project costs,107257.78
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180568,Cost of ground diesel fuel consumed,107231.54
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Estate management,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,302318,Estate + facilities management services - accommodation inventory + service,106481.69
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,ITURRI SA,OX16 3TA,3000010122,Spend on Inventory - General,106472.10
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,ITURRI SA,OX16 3TA,3000010210,Spend on Inventory - General,106077.77
Ministry of Defence,Ministry of Defence,04/02/2014,Land Forces,Externally delivered education and training,THE UNIVERSITY OF CUMBRIA,LA1 3JD,302143,External military training ,106000.02
Ministry Of Defence,Royal Hospital Chelsea GIA,21/02/2014,Property Management,Royal Hospital Chelsea,Norland Managed Services,,PIN121310,Property Management,"105,627.40"
Ministry of Defence,Ministry of Defence,20/02/2014,HO+CS,Fees for professional services,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,308216,Fees for professional services excluding legal fees,105514.50
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,303256,Spend on Inventory - General,105420.45
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Food and clothing,SODEXO LTD,M50 0AL,305159,Cost of food purchases,104807.98
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,307864,Fiscal asset under construction - capital in year addition,104709.50
Ministry Of Defence,CIPF CA,02/02/2014,Design services and minor equipment purchases,Vehicles,Abdul Latif Jameel Retail Co. Ltd.,,CO0010,Design services and minor equipment purchases,"104,583.33"
Ministry of Defence,Ministry of Defence,03/02/2014,Land Forces,Administration,CARDIFF COUNCIL,CF10 3WD,301412,General administration,104198.00
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,309077,Purchase of medical support equipment excluding that supplied from the inventory system,104068.80
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Development costs for military equipment,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,307396,Intangible single use military equipment asset  - in year capital addition,103489.16
Ministry of Defence,Ministry of Defence,24/02/2014,Land Forces,Medical treatment & stores and welfare services,ARMY SPORTS CONTROL BOARD,GU11 2LB,308874,Recreational facilities costs in support of social work,103000.00
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGUSTAWESTLAND LIMITED,BA20 2YB,307883,Equipment support non-project costs,102296.00
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,307835,Works - estate management,101173.34
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,CAE (UK) PLC,RH15 9TW,304821,Equipment support project costs,101136.27
Ministry of Defence,Ministry of Defence,04/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,301901,Spend on Inventory - General,100493.36
Ministry of Defence,Ministry of Defence,20/02/2014,Land Forces,Spend on Inventory - General,VARIVANE INDUSTRIES LIMITED,SN10 3EW,308309,Spend on Inventory - General,100188.00
Ministry of Defence,Ministry of Defence,11/02/2014,Air Command,Service and civilian recruitment,M-INTEGRATED SOLUTIONS PLC,TW8 9LY,304496,Service recruitment excluding recruitment related external assistance,100000.00
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,302307,Utilities consumed - electricity,99741.26
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Inventory Accruals,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,305559,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,98981.38
Ministry of Defence,Ministry of Defence,06/02/2014,Land Forces,Fees for professional services,GROSVENOR TELEVISION PRODUCTIONS LIMITED,W1F 9AD,302857,Fees for professional services excluding legal fees,98782.40
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SECURITY SERVICES GROUP,SN6 8LA,200000018926,Works - estate management,98642.18
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Spend on Inventory - General,BARUM AND DEWAR LIMITED,EX31 1JY,305315,Spend on Inventory - General,98448.00
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Development costs for military equipment,MBDA UK LIMITED,SG1 2DA,305562,Intangible single use military equipment asset  - in year capital addition,97803.61
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,301368,Spend on Inventory - General,97508.77
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Inventory Accruals,"AAR INTERNATIONAL, INC.",TW6 2RE,301313,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,97506.09
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Research and development incurred on projects with defence science and technology laboratory,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310078,Research and development incurred on projects with defence science and technology laboratory,97207.73
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,310487,Fiscal asset under construction - capital in year addition,96882.23
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,General services and support,SERCO LIMITED,RG27 9UY,304132,Defence equipment CLS/IOS service charge,96722.53
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Spend on Inventory - General,MILLSTREAM PENTHOUSE SYSTEMS  LIMITED,SM4 4LU,303473,Spend on Inventory - General,96101.54
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Food and clothing,SODEXO LTD,M50 0AL,310440,Cost of food purchases,95974.85
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,BELL POTTINGER LLP,WC1V 7QD,305321,"The provision of independent advice and guidance related to the structure, management and operations of an organisation",95840.00
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Purchase of inventory and services ,WILLIAMS LEA LIMITED,NR3 1PD,303742,Cost of other material consumed,95287.66
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Equipment support non-project costs,ARAMARK LTD,LS16 6QY,306379,Estate + facilities management services - accommodation inventory + service,94316.95
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Fees for professional services,LGC LTD,TW11 0LY,306071,Fees for professional services excluding legal fees,94257.96
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,SODEXO LTD,M50 0AL,307324,Cost of clothing and textile services received,94203.17
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,306885,Fiscal asset under construction - capital in year addition,93757.73
Ministry of Defence,Ministry of Defence,17/02/2014,Defence Equipment + Support,Equipment support non-project costs,DAVID BROWN GEAR SYSTEMS LTD,HD3 5DD,306477,Equipment support non-project costs,93446.33
Ministry of Defence,Ministry of Defence,21/02/2014,Navy Command,Externally delivered education and training,UNIVERSITY OF PLYMOUTH,PL4 8AA,308811,External military training ,93197.75
Ministry of Defence,Ministry of Defence,10/02/2014,Air Command,Fees for professional services,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,303794,Fees for professional services excluding legal fees,93123.00
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,311284,Equipment support non-project costs,92876.05
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,307505,Utilities consumed - heating oil,92792.85
Ministry of Defence,Ministry of Defence,06/02/2014,Navy Command,"Public relations, including marketing and advertising",GROUPM UK LIMITED,WC1X 8RX,302858,Public relations services including items such as sales marketing and advertising,92602.32
Ministry Of Defence,CIPF CA,10/02/2014,Estate management,Education & School Fees,BAE Systems Saudi Arabia Ltd.,,CO0005,Estate management,"92,298.00"
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Rental of plant and machinery,AMSAFE BRIDPORT LTD,DT6 3QU,305272,Plant + machinery operating lease,92286.00
Ministry of Defence,Ministry of Defence,13/02/2014,Air Command,Estate management,JOHN LEE & PAUL FREEMAN T/A LEE & FREEMAN PAINTING & DECORATING,OX10 9DD,305530,Works - estate management,91657.20
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,KEY INDUSTRIAL EQUIPMENT LIMITED,BH31 6AT,304974,Spend on Inventory - General,91543.26
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Spend on Inventory - General,DS SMITH CORRUGATED PACKAGING LIMITED,LE10 3BX,303878,Spend on Inventory - General,91333.38
Ministry of Defence,Ministry of Defence,03/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,301836,Works - estate management,90818.83
Ministry of Defence,Ministry of Defence,21/02/2014,Air Command,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,308423,Utilities consumed - heating oil,90371.38
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,305210,Works - estate management,90200.78
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Estate management,JACOBS U.K. LIMITED,G2 7HX,306048,Works - estate management,90113.00
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,IT and communication services,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,302679,Information technology services,90084.00
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,FIRMUS ENERGY (SUPPLY) LIMITED,BT41 4LZ,41189,Utilities consumed - gas,90071.67
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Research and development,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,303255,Research and development at the pre main gate stage of a project,90000.00
Ministry of Defence,Ministry of Defence,07/02/2014,JFC,Externally delivered education and training,KINGS COLLEGE LONDON,SE1 8WA,303445,External military training ,90000.00
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,308423,Utilities consumed - heating oil,89656.10
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Spend on Inventory - General,KEY INDUSTRIAL EQUIPMENT LIMITED,BH31 6AT,307623,Spend on Inventory - General,89556.00
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Spend on Inventory - General,CHEMRING ENERGETICS UK LIMITED,KA20 3LN,305914,Spend on Inventory - General,89454.24
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,FLOGAS BRITAIN LIMITED,LE7 1PF,306529,Utilities consumed - liquid petroleum gas,89281.08
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Spend on Inventory - General,ACCLIMATISE LIMITED,ST4 4TN,302641,Spend on Inventory - General,89004.18
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Rent and rates,WELD ESTATE A FUND,BH20 5QS,309479,Rent land - non civil estate property + married quarter property,88736.96
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,HYDRASUN LIMITED,AB12 3GQ,308519,Equipment support project costs,88137.98
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,Energy conservation and environmental charges.,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310663,Energy conservation and environmental charges,88000.00
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,BRITISH GAS TRADING LIMITED,OX4 2JY,310037,Utilities consumed - electricity,87021.69
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,IT and communication services,KELWAY (UK) LIMITED,EC4M 7RB,310187,Computer equipment costing below the capitalisation threshold,86951.70
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Spend on Inventory - General,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,309162,Spend on Inventory - General,86455.63
Ministry of Defence,Ministry of Defence,03/02/2014,Navy Command,IT and communication services,KELWAY (UK) LIMITED,EC4M 7RB,301585,Computer equipment costing below the capitalisation threshold,86137.80
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180568,Cost of ground diesel fuel consumed,85716.73
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,JAMES FISHER MARINE   SERVICES LIMITED,LA14 1HR,306050,Equipment support non-project costs,85559.26
Ministry of Defence,Ministry of Defence,19/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,307434,Movement of service personnel,85495.43
Ministry of Defence,Ministry of Defence,25/02/2014,Air Command,Fuel for military use,AIR BP LIMITED,HP2 4UL,2000021429,Aviation fuel casual uplift consumed,85459.00
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Intangible fiscal asset  - in year capital addition,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,307024,Intangible fiscal asset  - in year capital addition,85449.82
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,311260,Utilities consumed - gas,85411.83
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Fees for professional services,KPMG LLP,WD17 1DE,306063,Fees for professional services excluding legal fees,85000.00
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ELIOR UK PLC,SK11 6ET,308472,Estate + facilities management services - accommodation inventory + service,84843.76
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Spend on Inventory - General,WARTSILA UK LIMITED,PO15 5SD,5000109120,Spend on Inventory - General,84661.29
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,RAMBOLL UK LIMITED,W1T 3DA,303059,Fiscal asset under construction - capital in year addition,84356.51
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Spend on Inventory - General,GRID DEFENCE SYSTEMS LIMITED,HP10 0AU,302856,Spend on Inventory - General,84000.00
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,KIDDE GRAVINER LIMITED,SL3 0HB,301586,Equipment support non-project costs,83724.60
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BOC LIMITED,M28 2UT,311204,Consumption of engineering and technical inventory,83354.73
Ministry of Defence,Ministry of Defence,27/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,310672,Freight movement costs,83245.98
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,311184,Spend on Inventory - General,83225.24
Ministry of Defence,Ministry of Defence,05/02/2014,Air Command,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180444,Cost of ground diesel fuel consumed,83146.20
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",ROYAL MAIL GROUP LIMITED,S49 1HQ,303619,Freight movement costs,82710.13
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,307553,Utilities consumed - electricity,82669.70
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ARAMARK LTD,LS16 6QY,310553,Estate + facilities management services - accommodation inventory + service,82588.11
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Rent and rates,JONES LANG LASALLE LIMITED,BS8 9AQ,309720,Rent buildings - non civil estate property and married quarter property,82389.90
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGUSTAWESTLAND LIMITED,BA20 2YB,308852,Equipment support non-project costs,82382.86
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,IT and communication services,PARITY RESOURCES LTD,SW19 3RU,310360,Information technology services,82365.96
Ministry of Defence,Ministry of Defence,27/02/2014,Air Command,Spend on Inventory - General,UNIVAR LIMITED,BD1 5BD,311099,Spend on Inventory - General,82319.32
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,BELL POTTINGER LLP,WC1V 7QD,303264,"The provision of independent advice and guidance related to the structure, management and operations of an organisation",81850.00
Ministry of Defence,Ministry of Defence,26/02/2014,Air Command,Estate management,JOHN LEE & PAUL FREEMAN T/A LEE & FREEMAN PAINTING & DECORATING,OX10 9DD,310183,Works - estate management,81475.80
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Estate management,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,309216,Estate core services charge,81209.94
Ministry of Defence,Ministry of Defence,06/02/2014,JFC,Medical treatment & stores and welfare services,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,303165,Medical health services,81181.00
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ARAMARK LTD,LS16 6QY,309527,Estate + facilities management services - accommodation inventory + service,80741.63
Ministry Of Defence,CIPF CA,11/02/2014,Medical treatment & stores and welfare services,Schools + community relations initiatives,US Department of Defense Dependents School (Naples),,CO00013,Medical treatment & stores and welfare services,"80,299.39"
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Fees for professional services,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,311413,Fees for professional services excluding legal fees,80218.35
Ministry of Defence,Ministry of Defence,24/02/2014,Navy Command,IT and communication services,EUROPEAN ELECTRONIQUE LIMITED,OX29 4TT,309063,Computer equipment costing below the capitalisation threshold,79868.10
Ministry of Defence,Ministry of Defence,19/02/2014,HO+CS,Estate management,TRILLIUM PROPERTY SERVICES  (PRIME) LIMITED,LS11 9DX,307834,Works - estate management,79854.01
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,"Transportation of personnel, freight and travel expenses",PALLETWAYS (U K) LTD,WS13 8NE,305082,Freight movement costs,79655.35
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Fuel for military use,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000021480,Aviation fuel casual uplift consumed,79518.93
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Property leases,ASPIRE DEFENCE LIMITED,SP9 7QD,310559,Property dwellings private finance initiative - service concession arrangement service charge,79457.22
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,MACTAGGART  SCOTT & COMPANY LTD,EH20 9SP,304994,Spend on Inventory - General,79074.10
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Spend on Inventory - General,MINETECH LIMITED,MK18 3DS,303474,Spend on Inventory - General,78994.50
Ministry of Defence,Ministry of Defence,06/02/2014,Air Command,Estate management,ELIOR UK PLC,SK11 6ET,302822,Estate + facilities management services - accommodation inventory + service,78640.59
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Estate management,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,308552,Estate + facilities management services - accommodation inventory + service,78603.45
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000109762,Works - estate management,78512.40
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,POWERFIELD LIMITED,CW7 2JZ,311565,Equipment support non-project costs,78350.00
Ministry of Defence,Ministry of Defence,07/02/2014,Air Command,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,303321,Utilities consumed - gas,78286.70
Ministry of Defence,Ministry of Defence,21/02/2014,JFC,Medical treatment & stores and welfare services,KINGS COLLEGE LONDON,SE1 8WA,308547,Medical health services,77908.00
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Grants to NDPBs,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,305923,Capital grant in aid for the purchase of non-current assets for the Council of Reserve Forces and Cadet association,77889.00
Ministry of Defence,Ministry of Defence,26/02/2014,Land Forces,Externally delivered education and training,BABCOCK TRAINING LIMITED,PO6 3EN,180712,External military training ,77773.26
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Spend on Inventory - General,FORBO FLOORING UK LIMITED,DE5 3NT,304923,Spend on Inventory - General,77701.91
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Equipment support project costs,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,311186,Equipment support project costs,77597.49
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,311234,Spend on Inventory - General,77193.15
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Equipment support non-project costs,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310663,Equipment support non-project costs,76743.98
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,306510,Cost of food services,76524.85
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,ORACLECOMPONENTS LTD,CM19 5QE,310948,Spend on Inventory - General,76217.21
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,IT and communication services,CGI IT UK LIMITED,CF31 9AP,302255,IT Services -internal costs,76152.73
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,TELEVISION INSTALLATION SERVICES (MANSFIELD) LIMITED,NG18 5BU,303128,Equipment support non-project costs,76107.87
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,304783,Spend on Inventory - General,75920.97
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BEECHWOOD EQUIPMENT LIMITED,KT10 8BJ,301373,Equipment support non-project costs,75804.68
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Externally delivered education and training,OPEN UNIVERSITY (THE),MK7 6BT,311538,External military training ,75516.68
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Spend on Inventory - General,MICHELIN TYRE PLC,ST4 4EY,310217,Spend on Inventory - General,74949.66
Ministry Of Defence,CIPF CA,04/02/2014,"Transportation of personnel, freight and travel expenses",Duty Travel,Hafif Travel & Tourism Co. Ltd.,,CO0007,"Transportation of personnel, freight and travel expenses","74,688.50"
Ministry Of Defence,UKHO,24/02/2014,Purchased Services,Marketing,Blue Communications Limited,,2000067962,Purchased Services,"74,655.60"
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Research and development incurred on projects with defence science and technology laboratory,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,301456,Research and development incurred on projects with defence science and technology laboratory,74306.92
Ministry of Defence,Ministry of Defence,25/02/2014,Air Command,Estate management,JOHN LEE & PAUL FREEMAN T/A LEE & FREEMAN PAINTING & DECORATING,OX10 9DD,309718,Works - estate management,74287.80
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,KPMG LLP,WD17 1DE,309169,Equipment support non-project costs,74213.00
Ministry of Defence,Ministry of Defence,03/02/2014,Defence Equipment + Support,Spend on Inventory - General,T.W.KEMPTON (CORPORATE CLOTHING) LTD,LE4 0DG,301807,Spend on Inventory - General,74011.80
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Spend on Inventory - General,ITURRI SA,OX16 3TA,3000010209,Spend on Inventory - General,73985.18
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,LEUVEN MEASUREMENT & SYSTEMS UK LIMITED,CV5 9AB,308074,Equipment support project costs,73695.00
