Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000067340,31468.99,Official travel ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,CANON UK LTD,3000067346,95696.91,Printing Charges,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OPERATING LEASES - RENT,CARLTON GARDENS,BNP PARIBAS REAL ESTATE,3000067367,75000.00,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OPERATING LEASES - RENT,35 GREAT SMITH STREET,JONES LANG LASALLE LTD,3000067354,303600.00,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,TELECOM RENTALS,NSS CRISIS MANAGEMENT,BRITISH TELECOMMUNICATIONS PLC,3000067356,50237.34,Telecoms Charges,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,TNA,THE NATIONAL ARCHIVES 9014,3000067342,73053.00,Verify Identify Assurance Programme,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,1001417,31267.23,Childcare vouchers,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE TEAM,E SYNERGY SOLUTIONS LTD,3000067391,212349.00,Cloud Infrastructure Charge,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,RESOURCE GRANTS PRIVATE SECTOR,ISA 2 Prog,CYBER SECURITY CHALLENGE UK LTD,3000067393,100000.00,Grant for Cyber Security Challenge and skills programme,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,PROFESSIONAL HEAD OF INTELLIGENCE ANALYSIS,KINGS COLLEGE,3000067414,27000.00,Intelligence Analysis Training,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,TELECOMS PURCHASES,INFRASTRUCTURE TEAM,LEVEL 3,3000067397,258391.00,IT Equpment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000067411,118062.00,Payment for identities under the Identity Provider Call-Off Contract,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/12/2015,MOTO Aviation House,Estates Management,Food Standards Agenc,PINP2P 1939,122183.16,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2015,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,TNA,THE NATIONAL ARCHIVES 9014,3000067403,70607.00,Verify Identify Assurance Programme,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DEPARTMENTAL ENGAGEMENT,ODGERS RAY & BERNDTSON,3000067436,41127.36,Consultancy fees for Shared Services Project,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2015,CONSULTANCY SERVICES  'NOT' RECOVERABLE,GPU GOVERNMENT HUBS PROGRAMME,ERNST & YOUNG LLP,3000067479,147600.00,Consultancy fees to build and support the Locality business case model,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2015,CONSULTANTS VAT RECOVERABLE,GPU GOVERNMENT PROPERTY MODEL,DELOITTE LLP,3000067462,114300.00,Cosultancy fees to help develop a new commerical property model,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2015,TELECOM SECURITY SERVICES,CCS RISKS INFRASTRUCTURE HIGH IMPACT RISKS,DSTL,3000067448,62215.60,Provision of Cyber Security Assessments,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS Enabling Strategy,METHODS DIGITAL LTD,3000067522,34395.00,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS Enabling Strategy,E SYNERGY SOLUTIONS LTD,3000067512,37410.00,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,NON PRIME UTILITIES,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000067506,25660.66,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,FM CONTRACT FMP,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000067506,59749.22,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,GREEN PARK INTERIM AND EXECUTIVE LTD,3000067520,71982.00,Interim Director for Shared Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,PALANTIR TECHNOLOGIES UK LTD,3000067528,281800.80,IT Service Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,TELECOM RENTALS,CABINET OFFICE TEAM,VODAFONE LTD,3000067487,30527.48,Telecoms Charges,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/12/2015,TELECOM RENTALS,PMO ICTS,BT,3000067495,42418.03,Telecoms Charges,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000067544,29675.62,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000067544,32299.40,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000067544,34648.69,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000067544,36576.96,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000067544,39857.74,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000067544,41947.04,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000067544,44072.98,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/12/2015,PRINT SERVICES,CABINET OFFICE REPROGRAPHICS (EX GCDA),NRG GROUP UK LTD,3000067531,30362.71,Printing Charges,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000067565,27458.97,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000067565,101243.49,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,HEAD OF SME,ODGERS RAY & BERNDTSON,3000067569,43933.74,Interim Director of Pensions Operations ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000067585,16660512.00,Grant for National Citizen Service Programme 15/16,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000067568,838105.00,MyCSP programme costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,31/12/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000067554,39660.40,Official travel ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
