DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE_1,SUPPLIER,TRANSACTION_NUM, AMOUNT ,Actual Description,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,01/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Commission For Rural Communities,240112,"£72,366.00",GRANT IN AID COMMISSION FOR RURAL COMMUNITIES FEB 2012,GL50 3RA,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Marine Management Organisation,240212,"£1,000,000.00",GRANT IN AID TO MARINE MANAGEMENT ORGANISATION FEB 12 ADDITIONAL,NE4 7YH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Mendip Hills AONB,250112,"£113,665.38",GRANT CLAIM 01/04/11 - MAN 2012,TA1 4DY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Current Subsidies To Public Corporations,Defra NDPB,Environment and Rural Group,Defra NDPB,British Waterways,250112,"£26,800,000.00",INSTITUTE OF RACE RELATION COST OF CAPITAL 2011-12,LS9 8PB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Cannock Chase AONB,260112,"£105,619.95",AREA OF NATURAL BEAUTY  GRANT CLAIM PERIOD: 01ST APRIL-31ST DECEMBER 2011,ST16 2DH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Arnside and Silverdale AONB,260112,"£91,032.07",GRANT PAYMENT 1.4.11-31.12.11,LA1 1PJ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Public Body,Environment and Rural Group,Public Body,Isle of Wight AONB,300111,"£82,665.00",GRANT CLAIM PERIOD: APRIL-DEC 2011,PO30 2QS,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Solway Coast AONB Partnership,300112,"£88,172.20",INTERIM GRANT APRIL 2011-DECEMBER 2012,CA14 3YJ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,North Devon Coast AONB,310111,"£86,063.49",Grant - North Devon Area of Natural Beauty,EX2 4QJ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Blackdown Hills AONB,310111,"£110,684.18",Grant - Blackdown Hills Area of Natural Beauty,EX2 4QJ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,North Wessex Downs AONB,310112,"£161,642.81",AREA OF NATURAL BEAUTY GRANT CLAIM PERIOD: APRIL 2011-DECEMBER 2011,BA14 8JN,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Kent County Council,310112,"£204,719.25",GRANT CLAIM 01/04/11 - 31/12/11,ME14 1XX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments E,Non Supplier,Environment and Rural Group,Non Supplier,Cranborne Chase and West Wiltshire Downs AONB,310112,"£165,285.89",GRANT APRIL 2011- DECEMBER 2011,BA14 8JN,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,East Sussex County Council (High Weald AONB),310112,"£233,925.00",GRANT APRIL-DECEMBER 2011,BN7 1UE,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,South Devon AONB Unit,310112,"£136,409.00",SOUTH DEVON AREA OF NATURAL BEAUTY GRANT CLAIM 2011-12,TQ9 5NE,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Northumberland Coast AONB,310112,"£65,957.00",SOUTH DEVON AREA OF NATURAL BEAUTY GRANT CLAIM 2011-12,NE61 2EF,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments E,Public Body,Environment and Rural Group,Public Body,SWRPLF officer AONB,310112,"£29,625.00",South West Regional Protected Landscapes Officer,TQ13 9JQ,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Chichester Harbour AONB,310112,"£117,010.00",Grant - Chichester Harbour Area of Natural Beauty,PO20 7AW,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Forest of Bowland ANOB,310112,"£150,597.82",AREA OF NATURAL BEAUTY GRNT CLAIM PERIOD: 01ST APRIL-31ST DECEMBER 2011,PR1 0LD,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,Transport & Travel Research Ltd,2011118,"£30,018.43",LOCAL AIR QUALITY MANAGEMENT SERVICES LOT 2 1/10/11-31/12/11,BS2 8RR,SME,13574,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,OPB - Other,Environment and Rural Group,OPB - Other,UNEP/CITES Secretariat,2011153,"£229,662.06",FOREIGN PAYMENT CONTRIBUTION TO CITES TRUST FUND 2012,CH 1219,,,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,University Of Plymouth,6033693,"£62,885.00",Grant - LYME BAY EFFECTS OF BENTHIC SPECIES MILESTONES 24-26,PL4 8AA,,exempt- R&D,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6145979,"£57,600.00",UK AMBIENT AIR QUALITY ASSESSMENT 2010-13,OX11 0QR,SME,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Contractor - Management Cover,Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146117,"£55,760.63",TECHNICAL SUPPORT,OX11 0QJ,SME,13998,0,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146403,"£28,803.00",BASELINE MEASURE OF UK STRATOSPHERIC OZONE AND SPECTRAL ULTRAVIOLET,OX11 0QR,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146408,"£74,463.60",UK AMBIENT AIR QUALITY ASSESSMENT 2010-13 JAN 2012,OX11 0QR,SME,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments (GB),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001737,"£71,537.70",DELIVERY OF SCIENTIFIC AND TECHNICAL ADVICE APR-DEC 11,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001772,"£2,390,166.63",FEB 12 HIGH LEVEL AGREEMENT PAYMENT,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001773,"£179,980.00",JOINT NATURE CONSERVATION COMMITTEE FUNDING FEB 12,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001774,"£116,020.00",NATURAL ENGLAND FUNDING FOR FEB 12,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Current Grants UK,OGD,Environment and Rural Group,OGD,S E P A,9046571,"£258,500.00",FUNDING FOR TFS-GREEN LIST WASTE ENFORCEMENT WORK 2011/12-2ND INSTALLMENT,FK9 4TR,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,Bureau Veritas UK Ltd,12001397,"£43,144.90",LOCAL AIR QUALITY MANAGEMENT SERVICES,SE1 2TX,,13573,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Evidence Non R&D,OGD,Environment and Rural Group,OGD,Department Of Energy and Climate Change,40007516,"£329,794.00",DEFRA CONTRIBUTION TO ADAPTATION SUB COMMITTEE JUNE - OCT 2011,SW1A 2HD,,Exempt,ADAPTASC,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Supplier,Environment and Rural Group,Supplier,Local Partnerships LLP,41100864,"£257,644.62",WASTE INFRASTUCTURE DELIVERY PROGRAMME TRANSACTOR SUPPORT JAN 12 / DISBURSEMENTS  CUST 102001,EC1M 5LG,SME,14265,WLASUCON,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Current Grants UK,Defra NDPB,Environment and Rural Group,Defra NDPB,British Waterways,90606174,"£597,237.27",1ST PAYMENT UNAVOIDABLE SCOTTISH CANALS,LS9 8PB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,614638081,"£52,808.00",UK NATIONAL ATMOSPHERIC EMISSIONS INVENTORY CORE WORK UNDERTAKEN FOR THE NATIONAL ATMOSPHERIC EMISSIONS INVENTORY (AIR QUALITY POLLUTANT INVENTORIES) IN JANUARY 2012,OX11 0QR,SME,Exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Natural Environ Research Council,7060002190,"£350,000.00",Shelf Sea Biogeochemistry,SN2 1EU,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Evidence Non R&D,OGD,Environment and Rural Group,OGD,Natural Environ Research Council,7060002251,"£33,575.00",MERMAN DATABASE 2011 - 2012,SN2 1EU,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Other Current Payments E,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,8000006164,"£65,500.00",PROMOTIONAL COSTS EU AUDIT,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,8000006284,"£33,296.00",NATURAL ENGLAND142-REIMBURSEMENT OF LEGAL CHARGES,YO1 7PX,,Exempt,BOLTFELL,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Other Current Payments E,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,8000006404,"£1,237,500.00",FINAL GRANT IN AID FUNDING FOR THE 11/12 CSF PROGRAMME,YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Current Grants UK,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,8000006524,"£471,318.87",GENESIS EU AUDIT 2011/12,YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments E,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,8000006525,"£1,507,855.00",NATURAL ENGLAND 141-REIMBURSEMENT - GENESIS UPGRADE 2011/12,YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,Public Body,Environment and Rural Group,Public Body,Ramsar Convention On Wetlands,1.31E+14,"£223,074.29",FOREIGN ANNUAL CONTRIBUTION TO RAMSAR Convention on Wetlands.,CH 1196,,,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,Extrium Ltd,0183DEFRA081211,"£32,772.96",CONSULTANCY 01-30 SEPTEMBER 2011,TN1 2TU,SME,10965/4,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,Extrium Ltd,0186DEFRA,"£56,941.46",CONSULTANCY SERVICE 1-30 NOV 2011,TN1 2TU,SME,10965/4,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,University Of Birmingham,212SCIA01546,"£64,899.50",AIR QUALITY 0707 11/12 QUARTER 3,B15 2TT,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,Supplier,Environment and Rural Group,Supplier,A C A P,ACP00262,"£73,011.00",FOREIGN Agreement on the Conservation of Albatrosses and Petrels CONTRIBUTION 2012,7001,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Transfers Abroad UK,Non Supplier,Environment and Rural Group,Non Supplier,The Born Free Foundation Ltd,BFF822,"£55,000.00",PROTECTION GRANT - CENTRAL AFRICA,RH13 5PL,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Transfers Abroad UK,Public Body,Environment and Rural Group,Public Body,The Endangered Wildlife Trust,C150212,"£50,000.00",FOREIGN PAYMENT AFRICAN RHINO SPECIALIST GROUP ,1645,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,OGD,Environment and Rural Group,OGD,United Nations Environment Prog,CP506038301131,"£100,000.00",FOREIGN GREAT APE SURVIVAL,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,OGD,Environment and Rural Group,OGD,United Nations Environment Prog,CPL50603B971131,"£140,000.00",FOREIGN  Intergovernmental Panel on Biodiversity and Ecosystem Services ,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Current Transfers Abroad UK,Non Supplier,Environment and Rural Group,Non Supplier,LionAid Ltd,DEF012012,"£70,000.00",Financial contribution - Nairobi 2012  ,CT16 1EU,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Environment Agency,EAGIAFEB12,"£50,000,000.00",Environment Agency - Non flood Grant in Aid,BS32 4UD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,28/02/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,ERS-493363-38009,"£26,609.67",2011/12 Variation 3av AIR QUALITY 0716 - Heavy Metal,SN2 1EU,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,28/02/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,ERS-493367-38011,"£43,257.24",2011/12 (C) -Terrrestrial Umbrella - Effects Of Acidification and Eutrophication On Terrestrial and Their Recovery,SN2 1EU,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,24/02/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,ERS-493804-38106,"£39,280.50",Development and Validation of Methods of Analysis for Pesticide Formulations.,YO41 1LZ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/02/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,ERS-493901-38111,"£82,129.63","11/12 'Refining approaches to the surveillance of wild boar presence, abundance and environmental impact for best-practice guidance' (1/4/11 to 30/6/14)",YO41 1LZ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments UK,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,F0020243,"£80,415.00", GOVERNMENT DECONTAMINATION SERVICE PAY DEC 11,YO41 1LZ,,Exempt,GDSFERA2,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments UK,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,F0020244,"£39,217.00", GOVERNMENT DECONTAMINATION SERVICE NON PAY DEC 2011,YO41 1LZ,,Exempt,GDSFERA2,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments UK,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,F0020497,"£104,761.00",JANUARY NON-PAY GOVERNMENT DECONTAMINATION SERVICE,YO41 1LZ,,Exempt,GDSFERA2,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments UK,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,Food & Environment Research Agency,F0020498,"£80,220.00",JANUARY PAY - GOVERNMENT DECONTAMINATION SERVICE,YO41 1LZ,,Exempt,GDSFERA2,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Current Transfers Abroad UK,OGD,Environment and Rural Group,OGD,United Nations Environment Prog,FUND5080UK191110,"£628,541.18",FOREIGN GENERAL TRUST FUND FOR Convention on Biological Diversity ,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,OGD,Environment and Rural Group,OGD,United Nations Environment Prog,FUND850UK051211,"£238,808.89",FOREIGN TRUST FUND,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,H R Wallingford Ltd,HR044806,"£255,600.00",UK CLIMATE CHANGE RISK ASSESSMENT,OX10 8BA,SME,exempt,CCRASSMT,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Current Transfers Abroad UK,Public Body,Environment and Rural Group,Public Body,R S P B,INCNOT00000127,"£250,000.00","Contribution to the Royal Society for the Protection of Birds work to eradicate the introduced house mouse from Gough Island, Tristan da Cunha ",SG19 2DL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,Hyder Consulting Ltd,IUG00008866,"£65,459.96",VIRUSES IN WATER PROJECT,CF3 0EY,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,University Of Nottingham,NU2797,"£27,405.78",Policy Impact and Future Options for Countryside Survey,NG7 2NR,,Exempt WC1030,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,A D A S UK Ltd,RIRP058855,"£38,359.00",Monitoring the Effectiveness of Nitrate Directive Action Programme ,WV6 8TQ,,,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Current Grants UK,Supplier,Environment and Rural Group,Supplier,River Nene Regional Park CIC,RNRP124,"£83,850.00",Monitoring the effectiveness of the Nitrates Directive Action Programme ,NN1 1AX,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Current Transfers Abroad UK,Supplier,Environment and Rural Group,Supplier,International Union for Conservation of Nature,SI000187,"£50,000.00",FOREIGN PAYMENT 2011-12 SUPPORT TO African Elephant Specialist Group part of the International Union for Conservation of Nature,1196,,,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Capital Grants to Companies UK,Supplier,Environment and Rural Group,Supplier,Ciwem,SIN001951,"£48,375.60","CATCHMENT APPROACH MARKETING FREEZE  - Chartered Institute of Water and Environmental Management  
",WC1N 2EB,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Evidence Non R&D,Public Body,Environment and Rural Group,Public Body,Kings College London,SINV1233464,"£27,624.47",Provision of the Air Quality Monitoring Automatic London Network ,WC2R 2LS,,13569,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments (GB),Supplier,Food and Farming Group,Supplier,Merial A H Ltd,1242,36291.42,FOREIGN PAYMENT STORAGE COSTS FOR FOOT AND MOUTH DISEASE ANTIGEN BANK FOR 2011,69007,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Other Current Payments (Evidence R&D),Supplier,Food and Farming Group,Supplier,Elm Farm Research Centre,1368,69430.18,Using legume-based mixtures to enhance the nitrogen use efficiency and economic viability of cropping systems.,RG20 0HR,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Other Current Payments (Evidence R&D),Non Supplier,Food and Farming Group,Non Supplier,East Malling Research,10735,26029,"Biological, semiochemical and selective chemical management methods for insecticide resistant western flower thrips on protected strawberry",ME19 6BJ,SME,exempt,SFFS0006,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Other Current Payments (Evidence R&D),OGD,Food and Farming Group,OGD,B B S R C,10799,26103.19,Animal Health and Welfare Research Contract Payment,SN2 1UH,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Payments to Agencies GB,Supplier,Food and Farming Group,Supplier,D L O Holding/Prionics AG,30671,195027.38,Purchase of Tuberculin - Payment to Agencies ,8952,,,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Evidence Non R&D,Supplier,Food and Farming Group,Supplier,Identigen Ltd,Jan-12,40481.6,TSE Testing Private Labs - Identigen 2011/2012,NP10 8UL,SME,Exempt,TSE00963,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Grants E,Non Supplier,Food and Farming Group,Non Supplier,"LAYTON, J G~17/105/0008",90212,33419,Purchase of Tuberculin - Payment to Agencies ,HR1 4JU,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments (Evidence R&D),Public Body,Food and Farming Group,Public Body,The Royal Veterinary College,140212,50000,Animal Health and Welfare Research Contract Payment,AL9 7TA,,,0,Expense,
DEFRA,DEFRA ORGANISATION,28/02/2012,Other Current Payments E,Supplier,Food and Farming Group,Supplier,International Plant Genetic Resources Institute,270212,42430,Subscription contribution for 2012 to the European Cooperative Programme for Plant Genetic Resources,57,SME,,PGR00001,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Evidence Non R&D,OGD,Food and Farming Group,OGD,Office For National Statistics,1023954,81742.25,Living Costs and Food Survey,NP10 9XG,,exempt,FCAG0006,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments E,OGD,Food and Farming Group,OGD,Food Standards Agency,1701358,70200.58,Funding for the provision of a specific service to Defra. (Not for Research and Development),YO1 2YX,,Exempt,MHS00946,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Other Current Payments (GB),OGD,Food and Farming Group,OGD,Food Standards Agency,1701362,48945.44,Animal By-Products Order compliance monitoring 2011-12,YO1 2YX,,Exempt,ABPO0001,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Non Supplier,Food and Farming Group,Non Supplier,A E A Technology plc,6146536,29015.52,Farming Advice Service Contract for 2012 - 2014 Financial Year.,OX11 0QJ,SME,15760,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Non Supplier,Food and Farming Group,Non Supplier,A E A Technology plc,6146537,32822.16,Farming Advice Service Contract for 2012 - 2014 Financial Year.,OX11 0QJ,SME,15760,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Evidence Non R&D,Public Body,Food and Farming Group,Public Body,University Of Nottingham,7662989,1603259.4,Farm Business Survey,NG7 2RD,,10992,FCAG0001,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments (Evidence R&D),Public Body,Food and Farming Group,Public Body,University Of Wales Aberystwyth,20008502,49593.24,Genetic improvement of forage grasses and white clover to improve phosphorus use efficiency and reduce phosphorus losses to water from UK grasslands,SY23 2AX,,,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments (Evidence R&D),Public Body,Food and Farming Group,Public Body,University Of Wales Aberystwyth,20008503,29205.89,Development of productive and persistent high quality forage grasses and white clover with increased water-use-efficiency and resilience to summer droughts ,SY23 2AX,,,SFFS0006,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments (Evidence R&D),Public Body,Food and Farming Group,Public Body,University Of Wales Aberystwyth,20008505,38746.68,Development of productive and persistent high quality forage grasses and white clover with increased water-use-efficiency and resilience to summer droughts ,SY23 2AX,,,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Evidence Non R&D,Non Supplier,Food and Farming Group,Non Supplier,L G C Limited,50129958,176234.31,TSE Testing Private Labs ,TW11 0LY,SME,Exempt,TSE00963,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Payments to Agencies GB,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000006249,240973.73,General Funding - Payment to AHVLA re to Animal Welfare charges.,YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Payments to Agencies GB,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000006329,208024.15,General Funding - Payment to AHVLA re to Animal Welfare charges.,YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Payments to Agencies UK,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007263,239948.38,Recharge of Foot and Mouth Disease Provision.,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Other Current Payments E,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007857,13372845.81,Animal Health / Veterinary Laboratory Agency  (SLA),YO1 7PX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Payments to Agencies GB,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007859,570591.77,Animal Health and Welfare Veterinary Field Services Payment,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Payments to Agencies GB,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007860,66970.85,Animal Health and Welfare Veterinary Field Services Payment,YO1 7PX,,,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Payments to Agencies GB,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007861,448793.69,Animal Health and Welfare Veterinary Field Services Payment,YO1 7PX,,,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Defra Executive Agency,Food and Farming Group,Defra Executive Agency,Animal Health and Veterinary Laboratories Agency,5000007892,138620.74,Funding for the provision of a specific service to Defra. (Not for Research and Development),YO1 7PX,,Exempt,0,Expense,
