DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HM Courts Service,16-Feb-11,AE199-Finance Directorate HMCS HQ,212001-Agency staff,PARITY RESOURCES LTD,1498430,"£28,800.00"
Ministry of Justice,HM Courts Service,16-Feb-11,AE199-Finance Directorate HMCS HQ,212001-Agency staff,PARITY RESOURCES LTD,1498430,"£31,200.00"
Ministry of Justice,HM Courts Service,16-Feb-11,AG999-Estates Directorate HMCS HQ,532000-Tangible GBV - Additions,HYDRO MECHANICAL SERVICES LTD,1497274,"£65,148.00"
Ministry of Justice,HM Courts Service,16-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1497267,"£55,750.00"
Ministry of Justice,HM Courts Service,16-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,METSHAPE LTD,1497446,"£201,351.00"
Ministry of Justice,HM Courts Service,16-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,BLAKE CONTRACTORS LTD,1496853,"£31,381.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1497500,"£32,857.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1497500,"£41,380.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1497459,"£42,201.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1496796,"£27,076.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1496796,"£25,274.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,265000-IT & Telecommunications,HERTFORDSHIRE COUNTY COUNCIL,1497224,"£27,795.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1497141,"£621,354.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1497141,"£427,940.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,ARK BUILD PLC,1496779,"£158,835.00"
Ministry of Justice,HM Courts Service,16-Feb-11,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,HERTFORDSHIRE COUNTY COUNCIL,1497224,"£34,911.00"
Ministry of Justice,HM Courts Service,16-Feb-11,DZ999-South West Region,222002-Other Property Costs,REGENT OFFICE CARE LTD,1498513,"£136,182.00"
Ministry of Justice,HM Courts Service,16-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1497267,"£63,833.00"
Ministry of Justice,HM Courts Service,16-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,CONCRETE REPAIRS LIMITED,1496955,"£35,960.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,222002-Other Property Costs,OCS SUPPORT SERVICES LTD,1497523,"£89,847.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,LORNE STEWART PLC,1497377,"£61,991.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1497222,"£91,426.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1497222,"£165,172.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,JCW (WALES) AIR CONDITIONING,1497293,"£39,373.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,F P HURLEY & SONS LTD,1497095,"£25,806.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1497222,"£186,929.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,F P HURLEY & SONS LTD,1497095,"£100,157.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,F P HURLEY & SONS LTD,1497095,"£36,604.00"
Ministry of Justice,HM Courts Service,16-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,LORNE STEWART PLC,1497377,"£130,970.00"
Ministry of Justice,HM Courts Service,16-Feb-11,FZ999-Midlands Region,222002-Other Property Costs,REGENT OFFICE CARE LTD,1498513,"£258,244.00"
Ministry of Justice,HM Courts Service,16-Feb-11,FZ999-Midlands Region,222001-Maintenance,EMCOR FACILITIES SERVICES LTD,1497077,"£131,640.00"
Ministry of Justice,HM Courts Service,16-Feb-11,FZ999-Midlands Region,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1496878,"£25,035.00"
Ministry of Justice,HM Courts Service,16-Feb-11,GZ999-North West Region,261000-Fuel and Utilities,UNITED UTILITIES WATER PLC,314228,"£41,882.00"
Ministry of Justice,HM Courts Service,16-Feb-11,GZ999-North West Region,222002-Other Property Costs,MITIE SECURITY LTD,1497458,"£436,890.00"
Ministry of Justice,HM Courts Service,16-Feb-11,GZ999-North West Region,222002-Other Property Costs,"OCS GROUP UK LTD, OCS ENGINEERING",1497522,"£28,078.00"
Ministry of Justice,HM Courts Service,16-Feb-11,GZ999-North West Region,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1497071,"£178,103.00"
Ministry of Justice,HM Courts Service,16-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,ERIC CHARLESWORTH  LTD,1497084,"£45,600.00"
Ministry of Justice,HM Courts Service,16-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,FIBRE ENVIRONMENTAL SERVICES LTD,1497104,"£108,792.00"
Ministry of Justice,HM Courts Service,16-Feb-11,HZ999-North East and Yorkshire,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1497071,"£137,894.00"
Ministry of Justice,HM Courts Service,16-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,DIMESTAGE (CONSTRUCTION COMPANY) LTD (DCC),1497028,"£67,975.00"
Ministry of Justice,HM Courts Service,16-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,HUGH LS MCCONNELL LTD,1497260,"£32,338.00"
Ministry of Justice,HM Courts Service,16-Feb-11,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,DEPARTMENT FOR WORK & PENSIONS (DWP),1497022,"£75,513.00"
Ministry of Justice,HM Courts Service,16-Feb-11,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1498647,"£31,432.00"
Ministry of Justice,HM Courts Service,16-Feb-11,IZ999-RCJ Group,265000-IT & Telecommunications,INFORMATION INITIATIVES LTD,314074,"£28,897.00"
Ministry of Justice,HM Courts Service,16-Feb-11,IZ999-RCJ Group,532000-Tangible GBV - Additions,ROLFE CONTRACTING LTD,1498541,"£51,170.00"
Ministry of Justice,HM Courts Service,16-Feb-11,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,314226,"£123,000.00"
Ministry of Justice,HM Courts Service,17-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,316633,"£25,513.00"
Ministry of Justice,HM Courts Service,17-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,317321,"£27,267.00"
Ministry of Justice,HM Courts Service,17-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,315621,"£38,912.00"
Ministry of Justice,HM Courts Service,18-Feb-11,AG999-Estates Directorate HMCS HQ,222001-Maintenance,WHEELERS,1500845,"£25,430.00"
Ministry of Justice,HM Courts Service,18-Feb-11,AG999-Estates Directorate HMCS HQ,222001-Maintenance,WHEELERS,1500845,"£32,348.00"
Ministry of Justice,HM Courts Service,18-Feb-11,AG999-Estates Directorate HMCS HQ,222001-Maintenance,MICHELMORES SOLICITORS,1500586,"£27,800.00"
Ministry of Justice,HM Courts Service,18-Feb-11,CZ999-South East Region,261000-Fuel and Utilities,ANGLIAN WATER,1500217,"£27,909.00"
Ministry of Justice,HM Courts Service,18-Feb-11,CZ999-South East Region,262000-SCA Costs,MODERN COURTS (EAST ANGLIA) LTD,1500593,"£426,675.00"
Ministry of Justice,HM Courts Service,18-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,HENSTAFF CONSTRUCTION LTD,1500482,"£94,236.00"
Ministry of Justice,HM Courts Service,18-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,SITEC INTERIORS LTD,1500736,"£47,704.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,261000-Fuel and Utilities,UNITED UTILITIES WATER PLC,317648,"£101,510.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,222002-Other Property Costs,RENTOKIL INITIAL UK LIMITED,1500686,"£58,727.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1500303,"£194,348.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,262000-SCA Costs,UK COURT SERVICES LTD,1500814,"£27,726.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,262000-SCA Costs,UK COURT SERVICES LTD,1500814,"£545,722.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1500608,"£116,880.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1500558,"£33,941.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1500558,"£44,264.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1500558,"£45,532.00"
Ministry of Justice,HM Courts Service,18-Feb-11,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1500558,"£45,714.00"
Ministry of Justice,HM Courts Service,18-Feb-11,HZ999-North East and Yorkshire,222002-Other Property Costs,RENTOKIL INITIAL UK LIMITED,1500685,"£50,633.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1048,"£3,687,737.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1055,"£607,531.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1053,"£2,946,884.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1054,"£403,760.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1052,"£2,493,423.00"
Ministry of Justice,HM Courts Service,18-Feb-11,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1049,"£2,622,884.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS KINGSLEY NAPLEY LLP#DX 22,318009,"£59,105.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS DLA PIPER UK LLP#EC2V 7EE,317859,"£58,750.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS DLA PIPER UK LLP#EC2V 7EE,317859,"£71,093.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS REYNOLDS PORTER CHAMBERLAIN LLP#DX 600,318138,"£215,754.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS MORGAN COLE#DX 33014,318077,"£192,474.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS EDWARD HAYES#DX30307,1500974,"£466,115.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS CHARLES RUSSELL#DX 7442,317808,"£46,522.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSES KINGS LEGAL#DX 743340,317720,"£25,509.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS BOND PEARCE#DX 38517,1500946,"£71,472.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS BRABNER CHAFFE STREET#DX DX 14118,317775,"£54,265.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS NEUMANS LLP#DX 490,318091,"£37,020.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS HAMMONDS#DX 14347,317940,"£261,836.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS KELCEY & HALL#DX 78206,318003,"£26,255.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1500890,"£51,056.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BUXTON RYAN & CO#DX47909,317790,"£42,597.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,SAUNDERS LAW PARTNERSHIP#DX 37995,1501279,"£70,284.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS FARRELL MATHEWS & WEIR#DX 46758,1500979,"£39,851.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS VHS FLETCHERS SOLICITORS#DX 10087,1501119,"£72,907.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS KNIGHT POLSON#DX 34103,318010,"£51,197.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS RICHARD NELSON SOLICITORS#NG9 2TA,1501068,"£33,893.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BIRNBERG PIERCE & PARTNERS#DX 57059,317763,"£49,735.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,FRISBY SOLICITORS LTD T/A FRISBY & CO#DX 14564,1500904,"£59,157.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR J MCNALLY#DX 175,318827,"£39,592.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MISS SM HOWES#DX 489,318454,"£41,725.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MS A SUMMERS#DX 360,319320,"£46,453.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR A CAMPBELL-TIECH#DX 175,318483,"£77,851.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR N HOFFMAN#DX 347,319021,"£39,277.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR JM BURTON#DX 162,1501209,"£30,823.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MS K MAHMUTAJ#DX 478,319358,"£29,754.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR J SAMUELS#DX 728861,1501206,"£41,577.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MISS R HILL#DX 440,318419,"£34,573.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MISS P HARDING#DX 24,318406,"£45,840.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR J MCDERMOTT#DX 14223,318826,"£26,050.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR D FARRELL QC#DX 360 (8928533),318644,"£81,758.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR N LITHMAN QC#DX 17,319024,"£85,318.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR W HARBAGE QC#DX 360,319291,"£81,148.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MISS M BAKER QC#DX 347,318391,"£79,387.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR A JEFFERIES QC#DX 175,318519,"£76,362.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR G HUSTON#DX 347,318712,"£39,492.00"
Ministry of Justice,HM Courts Service,21-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS RAHMAN RAVELLI#DX 16001,1501063,"£60,000.00"
Ministry of Justice,HM Courts Service,23-Feb-11,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,HOME OFFICE IT,1505418,"£47,278.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,222001-Maintenance,SKANSEN INTERIORS LTD,1505853,"£25,681.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,222002-Other Property Costs,MITIE SECURITY LTD,1505616,"£766,709.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,222002-Other Property Costs,MITIE SECURITY LTD,1505616,"£31,783.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1505658,"£32,920.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,SIS SECURITY LTD,320171,"£33,428.00"
Ministry of Justice,HM Courts Service,23-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,QUINN LONDON LTD,1505764,"£313,684.00"
Ministry of Justice,HM Courts Service,23-Feb-11,CZ999-South East Region,222002-Other Property Costs,MITIE SECURITY LTD,1505616,"£31,167.00"
Ministry of Justice,HM Courts Service,23-Feb-11,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,OSPREY HOUSE (MANAGEMENT) LTD,1505686,"£29,015.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1505085,"£33,262.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1505618,"£93,902.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1505657,"£38,874.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,262000-SCA Costs,SERVICES SUPPORT (AVON & SOMERSET) LTD,1505834,"£788,420.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,MITIE PROPERTY SERVICES (UK) LTD (MPS),1505615,"£51,520.00"
Ministry of Justice,HM Courts Service,23-Feb-11,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,BRISTOL CITY COUNCIL,1502786,"£122,635.00"
Ministry of Justice,HM Courts Service,23-Feb-11,EZ999-Wales Region,222001-Maintenance,WYG MANAGEMENT SERVICES LTD,1506054,"£34,011.00"
Ministry of Justice,HM Courts Service,23-Feb-11,EZ999-Wales Region,222001-Maintenance,GODFREY SYRETT LTD,1505336,"£28,136.00"
Ministry of Justice,HM Courts Service,23-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,SPIE MATTHEW HALL LTD,1505879,"£68,561.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1505085,"£57,419.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,262000-SCA Costs,H & W COURTS LIMITED,1505360,"£557,194.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,POINTER LTD,1505742,"£100,479.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,SITEC INTERIORS LTD,1505852,"£81,091.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,DH FATHERS LTD,1505235,"£83,878.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,DH FATHERS LTD,1505235,"£66,424.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,DH FATHERS LTD,1505235,"£38,262.00"
Ministry of Justice,HM Courts Service,23-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,AXIS ELEVATORS LTD,1505020,"£51,448.00"
Ministry of Justice,HM Courts Service,23-Feb-11,GZ999-North West Region,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1505250,"£32,465.00"
Ministry of Justice,HM Courts Service,23-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1505617,"£35,123.00"
Ministry of Justice,HM Courts Service,23-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,MANCHESTER & CHESHIRE CONSTRUCTION CO LTD,1505570,"£181,714.00"
Ministry of Justice,HM Courts Service,23-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,ISG REGIONS LTD,1505451,"£438,148.00"
Ministry of Justice,HM Courts Service,23-Feb-11,HZ999-North East and Yorkshire,222002-Other Property Costs,MITIE SECURITY LTD,1505616,"£422,340.00"
Ministry of Justice,HM Courts Service,23-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,GARSIDE & LAYCOCK LTD,1505323,"£25,732.00"
Ministry of Justice,HM Courts Service,23-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,SIS SECURITY LTD,1505850,"£65,884.00"
Ministry of Justice,HM Courts Service,23-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,DIMESTAGE (CONSTRUCTION COMPANY) LTD (DCC),1505240,"£58,727.00"
Ministry of Justice,HM Courts Service,23-Feb-11,IZ999-RCJ Group,261000-Fuel and Utilities,CORONA ENERGY,1505187,"£25,607.00"
Ministry of Justice,HM Courts Service,24-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,322888,"£33,776.00"
Ministry of Justice,HM Courts Service,24-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,323634,"£29,220.00"
Ministry of Justice,HM Courts Service,24-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,321755,"£45,618.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AV322-CP Change Management SUPS,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1507619,"£30,960.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AV322-CP Change Management SUPS,532000-Tangible GBV - Additions,LOGICA UK LTD,1507908,"£181,998.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1507908,"£35,752.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1507908,"£72,028.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AA499-HMCS Change Programme,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1507619,"£286,212.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AG999-Estates Directorate HMCS HQ,222001-Maintenance,C WOOD & SON (LUTON) LTD,1507682,"£46,271.00"
Ministry of Justice,HM Courts Service,25-Feb-11,AW999-Operations & Performance Dir.,265000-IT & Telecommunications,LOGICA UK LTD,1507908,"£25,639.00"
Ministry of Justice,HM Courts Service,25-Feb-11,BZ999-London Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1507663,"£25,396.00"
Ministry of Justice,HM Courts Service,25-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1508110,"£78,159.00"
Ministry of Justice,HM Courts Service,25-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1507764,"£42,000.00"
Ministry of Justice,HM Courts Service,25-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,SIS SECURITY LTD,323949,"£46,790.00"
Ministry of Justice,HM Courts Service,25-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,SIS SECURITY LTD,323949,"£31,722.00"
Ministry of Justice,HM Courts Service,25-Feb-11,CZ999-South East Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1507664,"£33,280.00"
Ministry of Justice,HM Courts Service,25-Feb-11,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,323869,"£36,944.00"
Ministry of Justice,HM Courts Service,25-Feb-11,DZ999-South West Region,262000-SCA Costs,ENTERPRISE CIVIC BUILDINGS LIMITED,1507776,"£312,469.00"
Ministry of Justice,HM Courts Service,25-Feb-11,EZ999-Wales Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1507664,"£34,958.00"
Ministry of Justice,HM Courts Service,25-Feb-11,EZ999-Wales Region,222001-Maintenance,WYG MANAGEMENT SERVICES LTD,1508159,"£36,000.00"
Ministry of Justice,HM Courts Service,25-Feb-11,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,323869,"£50,104.00"
Ministry of Justice,HM Courts Service,25-Feb-11,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,323869,"£32,045.00"
