Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,69427.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,2500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,3381.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,35833.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,5351.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,87011.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,67516.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,1500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM COUNCIL,PAYBACSAUTO224355,3142.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,2034.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,1500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,5476.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,235.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,8333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,50482.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,3613.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,6667.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,20833.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,3328.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,6667.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,9167.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,99031.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,5646.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,46471.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,2706.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,51022.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,50362.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,2305.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,WOLVERHAMPTON CITY COUNCIL,PAYBACSAUTO224356,892.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,47474.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,18333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,15000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,13333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,27354.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,1866.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,4314.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,1532.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,59679.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,20833.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,55123.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,2908.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,27837.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,WORCESTERSHIRE COUNTY COUNCIL,PAYBACSAUTO224357,1430.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,53501.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,2823.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,28330.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,2602.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,2000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,484.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,907.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,130573.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4002.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3559.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3692.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3438.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,89247.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,117546.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,89158.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,43838.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,5507.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4065.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,80600.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3615.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,19167.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,41995.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1632.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,53695.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,2089.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,26998.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,13333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3138.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,88899.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,111806.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,13000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1382.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,67858.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1120.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4433.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,500.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,6370.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,67505.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4042.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,23333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4277.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,3596.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,41732.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,100933.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4000.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,23333.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,20833.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,5573.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,1875.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Financial Funding and Corporate Services,Current grants to local authorities,NORTH YORKSHIRE COUNTY COUNCIL,PAYBACSAUTO224358,4166.00 
Department for Education,EDUCATION FUNDING AGENCY,13/03/2015,Grants,Young People's Programme Team,"Current grants to schools, colleges and other educational establishments",Dept for Business Innovation & Skill,PAYBACSAUTO224359,36000.00 
Department for Education,EDUCATION FUNDING AGENCY,11/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224206,140421.77 
Department for Education,EDUCATION FUNDING AGENCY,18/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO225000,106709.22 
Department for Education,EDUCATION FUNDING AGENCY,04/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224183,93669.75 
Department for Education,EDUCATION FUNDING AGENCY,04/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224183,129.30 
Department for Education,EDUCATION FUNDING AGENCY,04/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224183,1342.95 
Department for Education,EDUCATION FUNDING AGENCY,04/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224183,243037.00 
Department for Education,EDUCATION FUNDING AGENCY,18/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO225000,397.60 
Department for Education,EDUCATION FUNDING AGENCY,18/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO225000,544248.00 
Department for Education,EDUCATION FUNDING AGENCY,11/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224206,3333.60 
Department for Education,EDUCATION FUNDING AGENCY,11/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224206,806.40 
Department for Education,EDUCATION FUNDING AGENCY,11/03/2015,Grants,Young People's Funding,Grants to third sector organisations / not for profit organisations and other businesses,CAPITA BUSINESS SERVICES LTD,PAYBACSAUTO224206,307828.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ABINGDON & WITNEY COLLEGE,PAYBACSAUTO224447,65635.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ABINGDON & WITNEY COLLEGE,PAYBACSAUTO224447,25565.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ABINGDON & WITNEY COLLEGE,PAYBACSAUTO224447,408105.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Current grants paid to organisations including arms length bodies and educational establishments,ABINGDON & WITNEY COLLEGE,PAYBACSAUTO224447,1875.00 
Department for Education,EDUCATION FUNDING AGENCY,16/03/2015,Grants,Financial Funding and Corporate Services,Grants to third sector organisations / not for profit organisations and other businesses,ACCRINGTON & ROSSENDALE COLLEGE,PAYBACSAUTO224448,210377.00 
