Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,15-Nov-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086992,"£94,643.84",PB508 - HP Project Implementation Costs - Replaces PO 10000024857,RG12 1HN,E148,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087612,"£96,018.77",A-R-01986-19-V02 - LSC IDP Additional Resources,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£100,000.00","HMCTS 033 LSC Secure Enclave CCN 02943-12 Milestone 3(a) On successful completion of SE CCNs (02, 03, 06, 09)",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£101,827.94",FJS Security Management  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£101,881.94",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,06-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE IT,2210,"£102,111.08",MoJ ICT PPD Central Test Structure (R01-12-13),NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£102,283.33",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£114,109.84",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086992,"£119,496.18",PB508 - HP Project Implementation Costs - Replaces PO 10000024857,RG12 1HN,E148,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£128,023.88",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1087717,"£131,850.00",ICT Other (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,14-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2236,"£142,083.48",Monthly Fujitsu charges as set out in CCN 961 for period 01/04/12 - 31/03/13 relating to PPO being on Poise 3.  Costs to be re-imbursed to the Home Office.,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£142,598.04",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1088211,"£145,900.76",PQ108 - OMNI-T Capital Expenditure FY1112- Contract no 3368393.12,M14 0WN,E012,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£146,534.86",FJS Service Management   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£146,705.17",Steria ICT Telephony (NON VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086556,"£147,788.90",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£153,141.60",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£153,141.60",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1086078,"£158,814.00","C & W RAS Service, under GSI Contract - 	Increase capacity on RAS service 					",MK3 5JP,E022,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£162,496.48",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1086183,"£163,997.41",ICT Other (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£165,683.86",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087852,"£165,683.86",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,G4S INTEGRATED SERVICES (UK) LTD,1087994,"£185,315.66",NOP Programme draw down,CIS-WR12 7LJ,E149,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£186,243.57",FJS Operations - Production Environment   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA SECURE INFORMATION SOLUTIONS LTD,1087911,"£190,788.00",Oasys Support 2012-2013,DL1 9HN,0,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA SECURE INFORMATION SOLUTIONS LTD,1087389,"£190,788.00",Oasys Support 2012-2013,SW1P 1QT,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£196,207.35",Steria ICT Other (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1086078,"£202,935.77",SM-SMXi CJS Secure E-mail Managed Service (Schedule),MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£210,871.51",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1088211,"£221,808.77",Lotus Notes (RFS 97044) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1086923,"£225,416.19",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to Re-chargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1086183,"£226,570.94",ICT Printing (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1086797,"£233,275.43",CJSE - Base Support(Fixed) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,G4S INTEGRATED SERVICES (UK) LTD,1087994,"£247,648.76",NOP Programme draw down,CIS-WR12 7LJ,E149,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1086474,"£281,561.15",This PO is for the services of the Architecture Managed Service. For the period October 2012 onwards.  It relates to rechargeable costs (Schedule),GU2 7YF,0,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£295,554.23",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£311,508.43",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£335,370.00",ICT Service Desk (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£336,877.67",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£360,387.23",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1086183,"£402,178.00",ICT Hosting (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£443,423.98",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1086943,"£468,176.31",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS) PN101,SE1 2AF,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£511,000.00",CCN A-R-02943-12 v.03 - HMCTS 033 LSC Secure Enclave CCN 02943-12 Milestone 2 Approval & sign-off of CCN.,WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£526,089.58",Steria ICT Hosting (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1086078,"£625,251.62","FY11-12 Charges, Account Number UKI3134894, Invoice 2012GPI/273691 & GCF Framework Agreement Schedule 18 Call-Off schedule",MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1086943,"£644,672.19",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS) PN101,SE1 2AF,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£663,605.45",ICT Desktops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£846,751.21",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£892,919.00",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£892,919.00",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£932,940.89",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£1,191,176.78",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1087790,"£1,419,641.27",Steria ICT Desktops (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1088211,"£1,683,000.00","CCN 15 (Quantum)-	PMIL101a Completion of Application UAT as defined within user acceptance test strategy. Initial Payment will be £360,000						",M14 0WN,E059,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086298,"£1,703,421.32",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1086183,"£1,929,121.29",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£2,416,185.22",HP ICT Desktops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1088059,"£3,854,322.00",IBM ELA Support Contribution,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1086477,"£28,229.77",Lease Car Fuel Costs FY12-13,SN5 6PS,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1086570,"£30,000.00",FSMO 245 - due upon IA approval,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,223000-Other Expenditure,NZ900-Finance & Corporate Services,THE NATIONAL INSTITUTE OF ECONOMIC AND SOCIAL RESEARCH,1086264,"£32,240.00",Research on the relative effectiveness of community order requirements,SW1P 3HE,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1086479,"£39,050.54",MoJ Lease Car Service and Fuel Costs FY 12-13,SN5 6PQ,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1086568,"£46,084.11",MoJ Lease Car charges FY 12-13,BL9 8RT,0,Admin
Ministry of Justice,MoJ HQ,15-Nov-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1087026,"£48,485.87",FSMO 202 - Data migration for the new ERP,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1086570,"£54,093.03",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1088120,"£136,722.34",TFM Soft Services Fixed Costs April 2012 to March 2013 MOJ HQ MITIE SECURITY,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,30-Nov-12,223000-Other Expenditure,QZ600-CPG Other,CABINET OFFICE,2365,"£262,736.00",75% OPC funding charges 2011/12,CF14 3UW,0,Admin
Ministry of Justice,MoJ HQ,12-Nov-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1086745,"£297,794.29",Monthly Payroll Service charges for financial year 2012/13 (This replaces PO10000023349),NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,26-Nov-12,223000-Other Expenditure,NQ901-MOJ Procurement Feeder,WILLIS LTD,1087817,"£339,973.27",MoJ Fleet & Hire Car Insurance Premium 01-11-12 to 31-10-13,EC3M 7DQ,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1086046,"£475,228.34",CCN 2277 - NOP WITO Charges,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Nov-12,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1086370,"£677,040.00",'FSMO 216c-Managed Accounting Service - FSMO 216C- Fixed Monthly Fee - Oct-12,NP10 8BA,0,Admin
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1087790,"£1,186,191.03",Interim payment provision for September 2012 in advance of CR-0101.,M14 0WN,0,Admin
Ministry of Justice,MoJ HQ,19-Nov-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1087256,"£1,232,110.72",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,HMCTS,28-Nov-12,262000-SCA Costs,DZ999-South West Region,SERVICES SUPPORT (AVON & SOMERSET) LTD,2261670,"£680,603.69",Worle Area Office Bristol - Services Support(Avon & Somerset Ltd) - Unitary Charges for Worle & Bristol PFI - Monthly,SW1E 5LB,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2254817,"£39,444.80",Waste Disposal,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2254817,"£71,683.68",Waste Disposal,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,06-Nov-12,222001-Maintenance,AG999-HQ - Estates,VALUATION OFFICE AGENCY,1718,"£42,427.00",VOA,W1D 5BU,0,Programme
Ministry of Justice,HMCTS,22-Nov-12,222001-Maintenance,AG999-HQ - Estates,VALUATION OFFICE AGENCY,1747,"£42,427.00",VOA,W1D 5BU,0,Programme
Ministry of Justice,HMCTS,16-Nov-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,CABLE & WIRELESS WORLDWIDE,2245584,"£53,249.02",Various Midlands Courts- Cable and Wireless- Mac Request 173 Provision of PVL Equipment,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,06-Nov-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,CABLE & WIRELESS WORLDWIDE,2231763,"£37,247.96",Various Midlands Courts- Cable and Wireless- Mac Request 172 Provision of PVL Equipment,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,06-Nov-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,CABLE & WIRELESS WORLDWIDE,2231763,"£45,252.41",Various Midlands Courts- Cable and Wireless- Mac Request 171 Provision of PVL Equipment,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,20-Nov-12,266000-Judicial Costs,AG999-HQ - Estates,GROUND TRANSPORT LTD,2249106,"£31,763.17",Various Judges Lodgings - Ground Transport Ltd - Judicial Car Provision,SE11 6DX,0,Programme
Ministry of Justice,HMCTS,02-Nov-12,265000-IT & Telecommunications,AP999-HQ - Strategy & Change,CABLE & WIRELESS WORLDWIDE,2229795,"£57,027.23","This is a PO request that covers site survey, decommissioning and disposal of exchanges additional and site expansion in relation to the remaining courts in the CERP closure schedule up to December 2011..",MK3 5JP,B716,Programme
Ministry of Justice,HMCTS,27-Nov-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2258464,"£34,157.50","St Albans Magistrates Court - Mitie Justice -  To install Air conditioning to FE Office, 2 interview rooms, public waiting area and canteen.",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,30-Nov-12,261000-Fuel and Utilities,DZ999-South West Region,BRITISH GAS BUSINESS,2263470,"£28,764.35",South West Regionas Office (DA170) - British Gas - Account no.: 3053490 - Electricity Consumption costs (various sites) 12/13,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,21-Nov-12,532000-Tangible GBV - Additions,BZ999-London Region,TURNER & TOWNSEND PROJECT MANAGEMENT,2253164,"£26,032.38",Snaresbrook,LS18 4GH,0,Programme
Ministry of Justice,HMCTS,09-Nov-12,262000-SCA Costs,HZ999-North East Region,PALECASTLE LTD,2238191,"£96,927.17",Sheffield - Palecastle Ltd (WA14 2EX) - Unitary Charges for Sheffield PFI - Monthly,WA14 2EX,0,Programme
Ministry of Justice,HMCTS,16-Nov-12,222003-CIS Labour TFM Estates,EZ999-Wales Region,G4S INTEGRATED SERVICES (UK) LTD,2245726,"£114,556.63",SECURITY - WALES,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2254817,"£575,289.04",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2254817,"£67,240.92",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2254817,"£388,986.81",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,27-Nov-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2258464,"£53,990.76",Security,CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,16-Nov-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2245727,"£289,416.73",Security,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,02-Nov-12,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,2230508,"£34,637.68",SE Regional Mail variable charges - Royal Mail - Account number,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,02-Nov-12,223001-Printing Postage and Office expenditure,FZ999-Midlands Region,ROYAL MAIL GROUP PLC,2230508,"£71,760.86",Royal Mail variable charges for Midlands Region 2011/12 - (Journal from FA107),PE4 5BR,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2243841,"£178,689.00",Royal Courts of Justice - Westminster City Council -TATA Steel Bi-Steel Security Foundation Units,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2243841,"£100,848.00",Royal Courts of Justice - Westminster City Council -TAT Steel Bi-Steel Security Seats 12 No.,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2243841,"£253,083.00",Royal Courts of Justice - Westminster City Council - West Green Works pursuant to legal agreement with WCC 26/07/12 Ref. LS/PP/IC/89288,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,27-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2259021,"£157,617.91",Royal Courts of Justice - Westminster City Council - Detailed design & C4 utilities consultations for main scheme,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,30-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2264494,"£157,617.00",Royal Courts of Justice - Westminster City Council - Detailed design & C4 utilities consultations for main scheme,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2243841,"£225,913.42",Royal Courts of Justice - Westminster City Council - ATG Shallow mount foundation units (MK2) and Non Standard length bollards,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222001-Maintenance,BZ999-London Region,WESTMINSTER CITY COUNCIL,2243841,"£117,203.60",Royal Courts of Justice - Westminster City Council - 76 No. ATG Standard Length Westminster style bollards,SW1P 6QP,0,Programme
Ministry of Justice,HMCTS,06-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2232210,"£39,572.01","Royal Courts of Justice - MITIE JUSTICE - Redecoration of the Administrative Court - Phase 3 - 0073-S-WORKS/FM-SW-RFI		",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,14-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2243103,"£33,204.72","Royal Courts of Justice - MITIE JUSTICE - Phase II East Block / Centre Block Redecoration Works - 0073-S-WORKS/FM-SW-RFI		",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,13-Nov-12,532000-Tangible GBV - Additions,BZ999-London Region,MITIE JUSTICE LTD,2239884,"£145,450.29","Romford County - MITIE JUSTICE -CERP project in respect of the creation of the two courtrooms and the judges¿ chambers - 0073-S-WORKS/FM-SW-RFI - LON/CFT/12-13 - 0443		",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,06-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2232210,"£27,817.59","Rolls Building - MITIE JUSTICE - Installation of additional access control readers onto judicial circulation core at Rolls Building - 0073-S-WORKS/FM-SW-RFI		",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,CZ999-South East Region,MITIE JUSTICE LTD,2254817,"£204,700.40","Repair and Maintenance 	",CIS-BS16 7FH,0,Programme
Ministry of Justice,HMCTS,23-Nov-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE JUSTICE LTD,2254817,"£277,158.93",Repair and Maintenance,CIS-BS16 7FH,0,Programme
