Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"64,642.82",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"67,375.16",A-R-01986-19-V02 - LSC IDP Additional Resources,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE IT,1088694,"69,399.91",MoJ ICT PPD Central Test Structure (R01-12-13),NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"70,200.00",ICT Service Desk (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"77,330.00","A-R-02707-11-V01 LSC Outstanding EIT activities						 							",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"78,859.00",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"79,215.46","CCN 2277-01 (CIR - NOP- 0750) - Resources July 12 to March 13  - One Off Charge						 						",WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"79,942.50",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090311,"85,243.00",HP ICT Hosting (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"86,992.39",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"87,627.97",Websphere Application Server on Linux V6.0 DB2 V9.1 on Linux Websphere MQ V6.0 On Linux TIM V4.6 - Application Data & DB2 UDB 8.2 On Linux Tivoli Director V6.0 On Linux,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"88,892.32",FJS Solution Assurance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090442,"88,892.32",FJS Solution Assurance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"89,689.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"89,917.37",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"95,373.94",Steria ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"96,846.75","CCN2277-01 - Resources June 12 to March 13.						",WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1090315,"97,676.10",Websphere Application Server on Linux V6.0 DB2 V9.1 on Linux Websphere MQ V6.0 On Linux TIM V4.6 - Application Data & DB2 UDB 8.2 On Linux Tivoli Director V6.0 On Linux,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"98,412.46",HP ICT Printing (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"100,000.00","A-R-02707-11-V01 LSC Outstanding EIT activities						 							",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"100,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"101,827.94",FJS Security Management  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090442,"101,827.94",FJS Security Management  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"107,175.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Atos Direct Costs						 						",WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"109,600.50",A-R-01986-19-V02 - LSC IDP Additional Resources,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"111,832.60","A-S-03673-01 - HQ287-DSE-AS3673 - PMO Resources - JJ & NOK - Aug 2012 - Mar 2013							",WV10 6UH,E196,Programme
Ministry of Justice,MoJ HQ,10-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1088914,"112,700.00",Asset Transfer,MK3 5JP,E149,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"112,786.14",Lotus Notes (RFS 97044) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088414,"114,836.00",ICT Printing (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"115,472.00",ICT Desktops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA SECURE INFORMATION SOLUTIONS LTD,1089711,"117,076.00",Oasys Support 2012-2013,DL1 9HN,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"120,000.00",Contribution to ELA (For I2 & SPSS),PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"126,056.43",Steria ICT Other (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"126,671.42",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"128,709.99",Steria ICT Telephony (NON VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"138,721.69","CCN2277-01AResource NOP October 2012 - March 2013 						 							",WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"142,231.58",ICT Other (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"146,534.86",FJS Service Management   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090442,"146,534.86",FJS Service Management   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"147,691.58",ICT Other (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"148,471.58",ICT Other (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"150,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"151,101.80",ICT Desktops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"154,721.48",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"154,721.48",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"157,224.00",CCN2277-01 - NOP Main CCN,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ORACLE CORPORATION UK LTD,1090591,"160,616.46",Oracle Programs Licence Fees as per Ordering document v081011,RG6 1RA,E058,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088414,"164,787.88",ICT Other (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"165,683.86",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"184,906.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"186,009.44",FJS Operations - Production Environment   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA SECURE INFORMATION SOLUTIONS LTD,1089711,"190,788.00",Oasys Support 2012-2013,DL1 9HN,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1090270,"194,541.39",Upgrade of Prison Court Video Link at Bristol Crown Court,MK3 5JP,E004,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"199,988.00",Service Extension for Lotus Notes from 01/10/2012 to 30/09/2013,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1090138,"206,393.27",SM-SMXi CJS Secure E-mail Managed Service (Schedule),MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1088590,"209,393.27",SM-SMXi CJS Secure E-mail Managed Service (Schedule),MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"222,004.00",CCN 2277-01 - Resources July 12 to March 13 (MH-MP-IH-KH-WJ),WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"226,459.18",FJS Operations - Other + Discount & Gain Share   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1090434,"227,058.71",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to Re-chargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1088503,"233,275.43",CJSE - Base Support(Fixed) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090516,"233,275.43",CJSE - Base Support(Fixed) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"234,367.00",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ACTICA CONSULTING LTD,1088543,"281,393.33",This PO is for the services of the Architecture Managed Service. For the period October 2012 onwards.  It relates to rechargeable costs (Schedule),GU2 7YF,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1088627,"299,832.92",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to Re-chargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"314,928.00",ICT Service Desk (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"314,928.00",ICT Service Desk (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1090373,"323,753.62",RFS 111878 v.3.0 and ER01 against this proposal - NOMS 289-1 - OMNI Platform Improvement Programme (OMNI PIP) Stage  1- ER01 - Change Request raised against RFS111878 for purchase of extra hardware for installation as part of Citrix Scaleou,M14 0WN,E199,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088744,"330,477.00","CCN (fixed price) - L-R-3047-02 Data Retention and Disposal HMCTS174 Libra DRD"" One Off charge						 							",CF31 9AP,E144,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"342,129.33",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"368,147.90",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088700,"369,263.01",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"375,120.82",Steria ICT Licences (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"389,903.28",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,TRUSTMARQUE SOLUTIONS LTD,1090081,"390,952.88",National Probation Service Citrix Renewal (15/12/12 to 15/12/13),YO32 9WN,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088414,"402,178.00",ICT Hosting (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,17-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,SAP (UK) LTD,1089586,"406,284.80",SAP® MAINTENANCE & SUPPORT PURCHASE SCHEDULE,TW14 8HD,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"409,871.93",Steria ICT Hosting (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"425,038.04",Steria ICT Hosting (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1090373,"514,365.67",RFS 111878 v.3.0 and ER01 against this proposal - NOMS 289-1 - OMNI Platform Improvement Programme (OMNI PIP) Stage  1 - RFS111878 - purchase of HP and Cisco hardware (note - licence costs of 125k removed),M14 0WN,E199,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"529,911.62",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"626,669.45",ICT Desktops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"626,669.45",ICT Desktops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1089300,"630,351.00",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS) PN101,SE1 2AF,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,NATIONAL POLICING IMPROVEMENT AGENCY (NPIA/NCALT),1088776,"685,702.00",716 - Visor Access                                            Visor - Violent Sex Offenders register access charges,RG27 0JW,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"801,525.90",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,264000-Consultancy,PZ501-MoJ ICT Feeder,ERNST & YOUNG LLP,1089300,"898,639.22",A flexible Managed PMO Service for the Future IT Sourcing programme (FITS) PN101,SE1 2AF,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090311,"932,211.68",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"964,384.92",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"1,045,677.52",IBM ELA Support Contribution,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"1,179,000.00",IBM ELA Support Contribution IBM ELA Support Contribution (Backdated),PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"1,232,639.96",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"1,245,000.00",Contribution to ELA (Including SPSS),PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"1,261,032.02",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1089333,"1,300,000.00",IBM ELA Support Contribution,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090168,"1,330,940.12",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"1,506,546.75",Steria ICT Desktops (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"1,541,165.26",Steria ICT Desktops (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088552,"1,580,422.32",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"1,580,422.32",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088744,"1,827,060.53",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1088439,"1,834,617.70",PNOMIS costs transfer from NOMS,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"2,872,130.72",HP ICT Desktops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088700,"2,873,675.24",HP ICT Desktops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1088503,"4,173,462.99",Shared Service Programme Steria Milestone 3 Payment,M14 0WN,E033,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1088298,"25,502.16",MoJ Lease Car Service and Fuel Costs FY 12-13,SN5 6PQ,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1089556,"28,152.76",FSMO 202 - Data migration for the new ERP,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,13-Dec-12,223000-Other Expenditure,NZ900-Finance & Corporate Services,GVA GRIMLEY LTD T/A GVA,1089314,"29,893.00",HOS/11/032 - (Home Office procurement number) The first publishable report (second milestone) of the evaluation of the Doncaster payment by results pilot.,B1 2JJ,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1090218,"38,440.59","Total montly recurring service of £234,994.00 made up as follows: 2011-12 - £101728.12, 2012-13 - £28885.70, 2013-14 - £27681.03, 2014-15 - £38819.16, 2015-16 - £37879.99",RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1090218,"38,440.59","Total montly recurring service of £234,994.00 made up as follows: 2011-12 - £101728.12, 2012-13 - £28885.70, 2013-14 - £27681.03, 2014-15 - £38819.16, 2015-16 - £37879.99",RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1090218,"38,440.59","Total montly recurring service of £234,994.00 made up as follows: 2011-12 - £101728.12, 2012-13 - £28885.70, 2013-14 - £27681.03, 2014-15 - £38819.16, 2015-16 - £37879.99",RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,18-Dec-12,223000-Other Expenditure,NZ900-Finance & Corporate Services,BIS (DEPARTMENT OF BUSINESS INNOVATION & SKILLS),2439,"50,000.00","BIS commission and manage Survey of Employment Tribunal Applications, MoJ have agreed to contribute £50,000 towards this",CF3 0LW,0,Admin
