Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,APHA,22/02/2016,Legal Expenses incl subscriptions to legal societies,,University Utrecht The Netherlands,190216,29843.04 ,Late payment made for a partner in a 2013 Flu-test project. Delayed due to bank account changing.,3584 CL,,,EXEU0638,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,23/02/2016,Mobile Phones,Central Finance Group,Vodafone Ltd,4791161-05-FEB-16,51470.72 ,Payment of the January 2016 invoice to Vodafone,,,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,APHA,23/02/2016,Lab & Technical Equipment,,Celtic Diagnostics Ltd,2876,25900.00 ,Purchase of Specialist Laboratory Kits,,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,25/02/2016,Service Level Agreement Costs,,W T G Technologies Ltd,0000003258,29215.83 ,Software Development of Web Portal for Surveillance 2014 - Beta Phase Professional services 1 November to 30 November 2015,W14 8UD,SME,,NSED1054,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,29/02/2016,Clearing - CIP - IBM Capital Projects,Chief Operating Officer DG,IBM United Kingdom Ltd,5801161208,363998.14 ,"Services provided by IBM for the design and system builds in financial year 2015/16, in particular during January 2016 until 31 March 2016 ,to deliver the County Parish Holding (CPH) England Project that is part funded by Defra. Costs will continue until the end of this financial year as the system is developed to meet business needs.",GU1 2LD,SME,10040,P10199OT,Asset,,,,,,,,,,,,,,,
DEFRA,APHA,29/02/2016,Emergency Management/Stand-by Goods and Services,,John Pointon & Sons Ltd,117544,244902.00 ,Rendering Services for Avian Influenza Outbreak,ST13 7BT,SME,,AVISCO01,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,29/02/2016,Carriage of goods,,Topspeed Couriers Limited,65217,42588.00 ,Collections from various laboratory locations (682 collections + 4 weekend surcharges during January 2016),WA16 8XN,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,29/02/2016,Carriage of goods,Chief Operating Officer DG,Food Standards Agency,1703392,48675.45 ,Tuberculosis sampling for January 2016,YO1 2YX,,,AHFSADNA,Expense,,,,,,,,,,,,,,,
DEFRA,SEAFISH,02/02/2016,Contract,Overhead,INLAND REVENUE,SFIA PAYROLL JANUARY MTH 10,80829.02 ,STATUTORY DEDUCTIONS MTH 10,,,,,,,,,,,,,,,,,,,,
DEFRA,SEAFISH,02/02/2016,Contract,Overhead,WEST YORKSHIRE PENSION FUND,SFIA JAN 2016 PAYROLL MTH 10,29681.06 ,PENSION CONTRIBUTIONS JAN16,BD1 1UP,,,,,,,,,,,,,,,,,,,
DEFRA,SEAFISH,10/02/2016,Contract,Project,CEFAS,8005561,27476.40 ,Risk assessment tool for sourcing seafood updates - updating 39 species,NR33 0HT,,,,,,,,,,,,,,,,,,,
DEFRA,SEAFISH,11/02/2016,Contract,Project,E2 PARTNERSHIP LTD,0347,30000.00 ,Final stage payment for exhibition support,G73 98Q,,,,,,,,,,,,,,,,,,,
