Departmental Family,Entity,Date,Expense Type,Expense Area ,Supplier,Expenditure Description,Supplier type,"Transaction
Number",Amount
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LUTON BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066165,"35,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MANCHESTER CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066166,"93,728.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MEDWAY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066167,"50,910.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,METROPOLITAN BOROUGH OF WIRRAL,Capital grants paid to Local Authorities,Public Sector,4000066168,"76,425.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MIDDLESBROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066169,"33,213.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MILTON KEYNES COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066170,"36,334.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NEWCASTLE CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066171,"45,698.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORFOLK COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066172,"259,760.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH EAST LINCOLNSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066173,"29,849.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH LINCOLNSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066174,"27,092.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH SOMERSET COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066175,"26,879.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH TYNESIDE,Capital grants paid to Local Authorities,Public Sector,4000066176,"65,880.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTH YORKSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066177,"169,002.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTHAMPTONSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066178,"106,001.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NORTHUMBERLAND COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066179,"45,122.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NOTTINGHAM CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066180,"51,243.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NOTTINGHAMSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066181,"272,579.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OLDHAM MBC,Capital grants paid to Local Authorities,Public Sector,4000066182,"36,940.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OXFORDSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066183,"90,607.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PETERBOROUGH CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066184,"27,970.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PLYMOUTH CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066185,"35,061.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,POOLE BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066186,"37,516.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PORTSMOUTH CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066187,"27,849.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,READING BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066188,"22,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,REDCAR & CLEVELAND BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066189,"26,788.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROCHDALE MBC,Capital grants paid to Local Authorities,Public Sector,4000066190,"38,849.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROTHERHAM MBC,Capital grants paid to Local Authorities,Public Sector,4000066191,"52,001.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066192,"22,546.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,RUTLAND COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066193,"4,546.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SALFORD CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066194,"43,304.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,Capital grants paid to Local Authorities,Public Sector,4000066195,"41,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SEFTON COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066196,"50,789.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHEFFIELD CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066197,"95,729.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHROPSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066198,"36,213.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SLOUGH BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066199,"18,788.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOLIHULL MBC,Capital grants paid to Local Authorities,Public Sector,4000066200,"30,637.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOMERSET COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066201,"60,092.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTH GLOUCEST,Capital grants paid to Local Authorities,Public Sector,4000066202,"38,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTH TYNESIDE,Capital grants paid to Local Authorities,Public Sector,4000066203,"25,516.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTHAMPTON CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066204,"33,516.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTHEND ON SEA BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066205,"26,970.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ST HELENS MBC,Capital grants paid to Local Authorities,Public Sector,4000066206,"32,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STAFFORDSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066207,"116,426.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOCKPORT MBC,Capital grants paid to Local Authorities,Public Sector,4000066208,"47,425.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOCKTON ON TEES,Capital grants paid to Local Authorities,Public Sector,4000066209,"38,061.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,STOKE ON TRENT CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066210,"35,667.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SUFFOLK COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066211,"253,366.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SUNDERLAND CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066212,"104,153.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SURREY COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066213,"184,760.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SWINDON BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066214,"27,698.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TAMESIDE MBC,Capital grants paid to Local Authorities,Public Sector,4000066215,"35,879.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TELFORD & WREKIN COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066216,"74,243.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE LONDON BOROUGH OF HACKNEY,Capital grants paid to Local Authorities,Public Sector,4000066217,"56,455.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066218,"19,243.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,Capital grants paid to Local Authorities,Public Sector,4000066219,"20,667.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THURROCK COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066220,"32,667.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TORBAY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066221,"18,970.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TRAFFORD MB COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066222,"30,698.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WAKEFIELD MDC,Capital grants paid to Local Authorities,Public Sector,4000066223,"52,364.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WALSALL MBC,Capital grants paid to Local Authorities,Public Sector,4000066224,"35,546.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WARRINGTON BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066225,"33,001.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WARWICKSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066226,"76,092.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST BERKSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066227,"22,849.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST SUSSEX COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066228,"109,850.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WIGAN MBC,Capital grants paid to Local Authorities,Public Sector,4000066229,"53,668.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WILTSHIRE COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066230,"62,122.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WOKINGHAM BOROUGH COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066231,"24,819.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WOLVERHAMPTON CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066232,"37,304.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WORCESTERSHIRE COUNTY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066233,"85,941.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,YORK CITY COUNCIL,Capital grants paid to Local Authorities,Public Sector,4000066234,"21,879.00"
Department for Education,DEPARTMENT FOR EDUCATION,18/11/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CRIMINAL RECORDS BUREAU,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Public Sector,705143,"157,652.00"
Department for Education,DEPARTMENT FOR EDUCATION,30/11/2011,Professional Services Other,Families Group,LOUGHBOROUGH UNIVERSITY,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically for Staying Put Pilot evaluation",Public Sector,4000066750,"45,229.00"
Department for Education,DEPARTMENT FOR EDUCATION,21/11/2011,Current Grants,Families Group,CAMBRIDGESHIRE COUNTY COUNCIL,Current grant to third sector organisation / not for profit organisation,Public Sector,4000065842,"35,500.00"
Department for Education,DEPARTMENT FOR EDUCATION,28/11/2011,Current Grants,Families Group,LONDON BOROUGH OF CAMDEN,Current grant paid to local authorities within the aggregate external funding total,Public Sector,4000066443,"91,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,02/11/2011,Current Grants to Arms Length Bodies,Families Group,CAFCASS,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000472,"8,342,271.00"
Department for Education,DEPARTMENT FOR EDUCATION,14/11/2011,Current Grants,Families Group,CAFCASS,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000065310,"950,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,28/11/2011,Current Grants,Families Group,CAFCASS,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066430,"263,581.35"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Professional Services Consultancy,Children Young People and Families Supporting Delivery Group,THE TREASURY SOLICITOR,Costs related to legal advisory services from the Treasury Solicitor including the provision of external specialist advice and opinion,Public Sector,4000064901,"42,982.30"
Department for Education,DEPARTMENT FOR EDUCATION,28/11/2011,Current Grants,Children Young People and Families Supporting Delivery Group,LOCAL GOVERNMENT IMPROVEMENT & DEVELOPMENT,Current grant paid to local authorities,Public Sector,4000066442,"397,562.02"
Department for Education,DEPARTMENT FOR EDUCATION,16/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE CHILDRENS UNIVERSITY,"Current grant to third sector organisation / not for profit organisation.
Specifically part of the Voluntary and Community Organisations £60m grant.",Public Sector,4000065469,"96,124.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BARNSLEY MBC,Current grant paid to local authorities,Public Sector,4000066083,"54,750.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BLACKPOOL BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066088,"37,000.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DEVON COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066111,"38,638.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,GLOUCESTERSHIRE COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066120,"33,319.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,Current grant paid to local authorities,Public Sector,4000066137,"42,155.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OLDHAM MBC,Current grant paid to local authorities,Public Sector,4000066182,"47,500.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OXFORDSHIRE COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066183,"37,500.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SOUTHAMPTON CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066204,"10,568.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BARNSLEY MBC,Current grant paid to local authorities,Public Sector,4000066083,"2,861,586.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BATH & NORTH EAST SOMERSET COUNCIL,Current grant paid to local authorities,Public Sector,4000066084,"1,457,864.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BEDFORD BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066085,"1,617,801.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BIRMINGHAM CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066086,"15,650,143.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BLACKBURN WITH DARWEN BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066087,"2,984,079.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BLACKPOOL BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066088,"2,188,933.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BOLTON MBC,Current grant paid to local authorities,Public Sector,4000066089,"3,724,746.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BOURNEMOUTH BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066090,"1,701,949.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BRACKNELL FOREST BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066091,"1,075,363.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BRIGHTON & HOVE CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066092,"2,676,766.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BRISTOL CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066093,"4,736,547.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BUCKINGHAMSHIRE COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066094,"4,045,380.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,BURY MBC,Current grant paid to local authorities,Public Sector,4000066095,"2,006,478.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CALDERDALE MBC,Current grant paid to local authorities,Public Sector,4000066096,"2,580,822.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CAMBRIDGESHIRE COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066097,"4,826,655.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CENTRAL BEDFORDSHIRE COUNCIL,Current grant paid to local authorities,Public Sector,4000066098,"2,243,347.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CHESHIRE EAST COUNCIL,Current grant paid to local authorities,Public Sector,4000066099,"2,968,976.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CHESHIRE WEST & CHESTER COUNCIL,Current grant paid to local authorities,Public Sector,4000066100,"3,068,521.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Current grant paid to local authorities,Public Sector,4000066101,"7,419,334.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CITY OF WESTMINSTER,Current grant paid to local authorities,Public Sector,4000066102,"2,748,623.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CORNWALL COUNCIL,Current grant paid to local authorities,Public Sector,4000066103,"4,893,824.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CORPORATION OF LONDON,Current grant paid to local authorities,Public Sector,4000066104,"272,829.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,COUNCIL OF THE ISLES OF SCILLY,Current grant paid to local authorities,Public Sector,4000066105,"161,256.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,COVENTRY CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066106,"3,756,470.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,CUMBRIA COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066107,"4,599,538.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DARLINGTON BOROUGH COUNCIL,Current grant paid to local authorities,Public Sector,4000066108,"1,389,775.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DERBY CITY COUNCIL,Current grant paid to local authorities,Public Sector,4000066109,"2,948,881.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DERBYSHIRE COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066110,"6,848,193.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DEVON COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066111,"5,791,828.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DONCASTER MBC,Current grant paid to local authorities,Public Sector,4000066112,"3,759,752.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DORSET COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066113,"2,839,694.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DUDLEY MBC,Current grant paid to local authorities,Public Sector,4000066114,"3,170,665.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,DURHAM COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066115,"5,961,704.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,EAST RIDING OF YORKSHIRE,Current grant paid to local authorities,Public Sector,4000066116,"2,558,624.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,EAST SUSSEX COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066117,"4,550,874.00"
Department for Education,DEPARTMENT FOR EDUCATION,24/11/2011,Current Grants,Children Young People and Families Directorate,ESSEX COUNTY COUNCIL,Current grant paid to local authorities,Public Sector,4000066118,"11,232,840.00"
