Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,
DEFRA,DEFRA,25/03/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,36890,"188,707.36","A shipment of Tuberculin delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - March 2014.",8952,,,TUBP0468,Expense,,,
DEFRA,DEFRA,18/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040032,"264,677.00",Badger Vaccine Deployment Project (BVDP) - 2013-14 Quarters 2 and 3,YO1 7PX,SME,DFP,BCP00001,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535468-48032,"109,843.50",Development of an oral Bacille Calmette Guerin (Badger TB) vaccine for badgers - regulatory component - Financial Year 2013-14,KT15 3NB,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Zoological Society Of London.,ERS-535463-47975,"40,198.83",A study to examine the interactions between cattle and badgers - March 2014,NW1 4RY,,Exempt,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Imperial College London,ERS-535465-47924,"45,821.00",Transmission modelling and cost-effectiveness analysis of cattle vaccination at a herd level - Quarter 4 March 2014,SW7 2AZ,,exempt,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535477-48015,"30,154.00",Review and preliminary assessment of alternative badger control methods - 2013-14 ,KT15 3NB,SME,DFP,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040133,"78,767.00",Badger control advice and support - 2013-14 Quarters 2 and 3.,YO1 7PX,SME,DFP,BCP00001,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535600-48024,"133,273.00",Re-profile - Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle - 2013-14 ,KT15 3NB,SME,SE3266,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040033,"1,735,365.00",Tuberculosis Research and Development - 2013-14 Quarters 2 and 3,YO1 7PX,SME,DFP,BCP00001,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-534937-47976,"105,083.00",Qualitative Risk Assessment for Cattle Bacille Calmette Guerin vaccine: risks to public health - 2013-14,KT15 3NB,SME,DFP,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040031,"44,215.00",Badger and Bovine Tuberculosis advice and support - 2013-14 Quarters 2 and 3.,YO1 7PX,SME,IGS,FERA0001,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535472-48012,"122,003.00",Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle - 2013-14 - March 2014.,KT15 3NB,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535471-48011,"139,343.75",Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle - 2013-14 - February 2014.,KT15 3NB,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000039969,"1,729,068.00",Badger control pilot costs for 2013-14.,YO1 7PX,SME,DFP/Funding,BCP00001,Expense,,,
DEFRA,DEFRA,11/03/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,36556,"188,707.36","A shipment of Tuberculin delivered to Animal Health and Veterinary Laboratories Agency (AHVLA), Weybridge - February 2014.",8952,,,TUBP0468,Expense,,,
DEFRA,DEFRA,28/03/2014,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5803140098,"6,100,222.19",IT Baseline Services - January-March 2014.,GU1 2LD,SME,10040,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Desktop Services,Chief Operating Officer DG,IBM United Kingdom Ltd,5803141019,"26,746.81","Catch up charges relating to additional local area network switches at Sand Hutton, York and software updates - March 2014.",GU1 2LD,SME,10040,Q5SW0000,Expense,,,
DEFRA,DEFRA,24/03/2014,Agency temps - clerical,Chief Operating Officer DG,Royal Botanic Gardens Kew,S9443MT,"80,812.80","External Contractor resource recharged from Royal Botanic Gardens, Kew to Defra for On-boarding activity to Shared Services Directorate - September 2013.",TW9 3AB,,IGS,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Agency temps - clerical,Chief Operating Officer DG,Royal Botanic Gardens Kew,S9707MT,"69,028.16","External Contractor resource recharged from Royal Botanic Gardens, Kew to Defra for On-boarding activity to Shared Services Directorate - August 2013.",TW9 3AB,,IGS,KEWONB11,Expense,,,
DEFRA,DEFRA,04/03/2014,Training - Other External,Chief Operating Officer DG,H M R C,18000036032013,"30,000.00",Future leadership scheme 2013-14 Cohort 2.,BN12 4XH,,IGS,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments UK,Policy Delivery DG,Gangmasters Licensing Authority,0000009965,"465,597.00",2013-14 Grant enforcement costs - March 2014,NG8 9AF,,GIA,GLA00002,Expense,,,
DEFRA,DEFRA,24/03/2014,Current Subsidies To Public Corporations,Policy Delivery DG,Covent Garden Market Authority,050314,"2,030,000.00",2013-14 Covent Garden Market Authority capital charge subsidy.,SW8 5PA,,GIA,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0034994,"116,138.00",Non pay costs for Government Decontamination Service (GDS) - January 2014,YO41 1LZ,,IGS/Funding,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0034996,"86,826.00",Non pay costs for Government Decontamination Service (GDS) - February 2014,YO41 1LZ,,IGS/Funding,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0034995,"83,257.00",Pay costs for Government Decontamination Service (GDS) - January 2014.,YO41 1LZ,,IGS/Funding,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0034997,"81,244.00",Pay costs for Government Decontamination Service (GDS) - February 2014,YO41 1LZ,,IGS/Funding,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700022079,"41,218.50",Provision of commercial financial advice for the Thames Tideway Tunnel Project - Expenses incurred 01 June 2013-28 February 2014,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,363001,"205,660.48",Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - February 2014.,EC2A 2HA,,20238,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700021396,"84,237.00",Provision of commercial financial advice for the Thames Tideway Tunnel Project - January 2014.,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700022084,"61,833.00",Provision of commercial financial advice for the Thames Tideway Tunnel Project - February 2014,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,UK Water Industry Research Ltd,S496,"39,365.00",Project to look at Indicators for Water Innovation,SW1H 9BT,SME,WT1537,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Outward Secondment - Salary,"Strategy, International and Biosecurity DG",Foreign & Commonwealth Office,1068063,"66,000.00",Contribution for the 2013-14 financial year to fund placing Seconded National Experts (SNEs) in European Union institutions,MK19 7BH,,IGS,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040395,"48,032.92",Fallen Stock Sampling fee - February 2014.,YO1 7PX,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1702498,"27,478.33",Sampling and testing for animal by products - January 2014.,YO1 2YX,,IGS,ABPO0001,Expense,,,
DEFRA,DEFRA,04/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000039342,"55,843.45",Fallen Stock Sampling fee - January 2014.,YO1 7PX,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535388-47991,"26,214.00",Risk management measures to reduce exotic disease risk of feeding processed catering waste to non-ruminants - 2013-14,KT15 3NB,SME,DFP,00000000,Expense,,,
DEFRA,DEFRA,20/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Harper Adams University College,SIRV8231,"73,095.00",Anaerobic digestion of porcine carcass material - 2013-14,TF10 8NB,,,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1702538,"28,526.99",Sampling and testing for animal by products - February 2014.,YO1 2YX,,IGS,ABPO0001,Expense,,,
DEFRA,DEFRA,10/03/2014,Application Services/Minor Enhancements,Chief Operating Officer DG,IBM United Kingdom Ltd,5802140719,"46,448.79",Spacial Information Repository (SPIRE) and Spatial Information Toolkit (SPIRIT) Data Services Framework Agreement - February 2014.,GU1 2LD,SME,,06199SPT,Expense,,,
DEFRA,DEFRA,24/03/2014,Publications - Storage & Distribution (C),Chief Operating Officer DG,Iron Mountain (UK) Ltd,RJ80288RJ80307,"27,458.65",2013-14 Defra records storage contract - February 2014.,EH54 7DF,,17664,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,IT Software,Chief Operating Officer DG,Environment Agency,1160580,"517,000.00",Collaborative Agreement relating to the supply of the Infrastructure for Spatial Information in Europe (INSPIRE) Data Sharing Service on behalf of the Defra Network - 2013-14,BS1 5AH,,IGS OM17979,06199SPT,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Technology Strategy Board,000890,"46,833.68",Knowledge Transfer Partnership programme: Munition For Life - 2013-14,SN2 1JF,,exempt,SFFS0003,Expense,,,
DEFRA,DEFRA,26/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Forest Research Agency,F137644170314,"28,111.23",Development and application of effective soil and water remediation products derived from crop residues - October-December 2013.,GU10 4LH,,exempt,SFFS0005,Expense,,,
DEFRA,DEFRA,20/03/2014,Market Research,Policy Delivery DG,A D A S UK Ltd,RIRP075465,"25,192.00","Horticultural Crop Data Collection, Ornamental Production and Mushroom Data - February 2014.",WV9 5AP,,15966,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP075602,"58,560.54",Screening for costs of disease resistance caused by stomatal dysfunction - October-December 2013.,WV9 5AP,,,SFFS0006,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,North Wyke Research.,ERS-535656-47939,"38,566.24",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - Rothamsted Research - February 2014 ,AL5 2JQ,SME,Exempt,SFFS0005,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Bangor University,30037839,"69,637.00",Completion of a project comparing the Lifecycle Assessment of Anaerobic Digestion,LL57 2DG,,Exempt,SFFS0005,Expense,,,
DEFRA,DEFRA,06/03/2014,Evidence Non R&D,Policy Delivery DG,A H D B,180017899,"44,880.00",The provision of potato statistical data - Year ending 31 January 2014.,CV8 2TL,,RMP6213/15713,FCAG0003,Expense,,,
DEFRA,DEFRA,06/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP074966,"33,848.75",Developing a field tool kit for ecological targeting of agricultural diffuse pollution mitigation measures - October-December 2013.,WV9 5AP,,Exempt,SFFS0004,Expense,,,
DEFRA,DEFRA,12/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute Of Occupational Medicine,SLINV100002265,"65,570.00",NanoReg Project Exposure work to be conducted in support of the NanoReg project - 3rd Instalment.,EH14 4AP,SME,17856,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Leeds,90191410,"90,000.00",Development and Evaluation of Quantitative Structure Activity Relationship Tools for Hazard Assessment and Risk Management of Manufactured Nanoparticles in support of the NanoReg - Payment for completion of the project.,LS2 9JT,,17857,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003424,"26,650.75",UK-Japan research collaboration on endocrine disrupters in the aquatic environment - 2013-14 Quarter 3 Elements 1 and 2.,NR33 0HT,SME,exempt,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,URS Infrastructure & Environment UK Ltd,5834615,"29,227.19",2013-14 - Noise and Nuisance Technical Support call-off contract - Professional fees - 22 February-31 March 2014.,RG21 7PP,,18026,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6154990,"70,900.00",2013-14 - Quality Assurance/Quality Control services for Automatic Urban and Rural Network (AURN) - February 2014.,OX11 0QR,,10897,AQNONRDX,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,14004664,"179,833.00",Central Management and Co-ordination Unit of the Automatic Urban and Rural Network (Capital) - February 2014.,SE1 2TX,,AQ0631,AQNONRDX,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Gfk NOP Ltd,8272009987,"88,520.00",2013-14 Survey of noise attitudes - Quarter 2,SE1 9UL,,NO0242,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6154979,"26,423.00",2013-14 - Baseline measurements UK Stratospheric Ozone and Spectral Ultra Violet - February 2014.,OX11 0QR,,Exempt,AQNONRDX,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6155010,"55,723.00",Modelling of Ambient Air Quality (MAAQ) (2013-18) - February 2014.,OX11 0QR,,AQ0650,AQRDXXXX,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6155230,"27,814.00",2013-14 - UK Ambient Air Quality Assessments (2010-13) - March 2014.,OX11 0QR,,,AQRDXXXX,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,120037,"30,421.76",2013-14 - Black Carbon Research Network - Quarter 4.,TW11 0LW,SME,Exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,ERS-536217-47913,"30,868.82",2013-14 - Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) - March 2014,SN2 1EU,SME,Exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,26/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6154981,"33,565.00",Community Multi-Scale Air Quality (CIMAQ) development for national modelling - Phase 2.,OX11 0QR,,exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Gfk NOP Ltd,8272010217,"88,520.00",2013-14 Survey of noise attitudes - Quarter 1,SE1 9UL,,NO0242,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,AMEC Environment & Infrastructure UK Limited,50006195,"26,166.00",Support for National Air Pollution Control Strategies 2012-15 - January 2014.,EC1V 2SH,,AQ0947,AQRDXXXX,Expense,,,
DEFRA,DEFRA,06/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6154992,"35,967.50",UK National Atmospheric Emissions Inventory - February 2014,OX11 0QR,,Exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,Hartley Mcmaster Ltd,12517,"31,272.90",2013-14 - Statistical Survey for Local Authority Pollution Prevention Control ,AL1 3LH,SME,13758/1,00000000,Expense,,,
DEFRA,DEFRA,20/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6155026,"29,174.83",Air Quality Management of Data Dissemination Unit - February 2014.,OX11 0QR,,14621,AQNONRDX,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6155202,"98,233.00",2013-14 - Quality Assurance/Quality Control services for Automatic Urban and Rural Network (AURN) - March 2014.,OX11 0QR,,10897,AQNONRDX,Expense,,,
DEFRA,DEFRA,24/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6155174,"30,425.00",Baseline measurement of UK stratospheric ozone and spectral Ultra Violet - March 2014.,OX11 0QR,,Exempt,AQNONRDX,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,119686,"53,083.78",2013-14 Airborne Particulate Concentrations and numbers in the UK - Phase 2 December 2013.,TW11 0LW,SME,AQ0604,AQRDXXXX,Expense,,,
DEFRA,DEFRA,28/03/2014,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6155203,"32,658.00",Air Quality Management of Data Dissemination Unit- March 2014.,OX11 0QR,,14621,AQNONRDX,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6155256,"107,867.00",Support for National Air Pollution Control Strategies 2013-14.,OX11 0QR,,AQ0947,AQRDXXXX,Expense,,,
DEFRA,DEFRA,26/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Birmingham,212COM04254,"32,698.00",Use of Chemical Composition and Molecular Makers to infer the Sources of Airborne Particulate - 2013-14 Report Fee.,B15 2TT,,exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,26/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Hepworth Acoustics Ltd,W1463,"67,260.00",Comparison of the impact of  using different input parameters between Round 1 and Round 2 noise mapping,M15 4PS,SME,NO0246,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,119687,"30,798.25",2013-14 Airborne Particulate Concentrations and numbers in the UK - Phase II - June 2013.,TW11 0LW,SME,AQ0604,AQRDXXXX,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,120036,"30,799.00",2013-14 Airborne Particulate Concentrations and numbers in the UK - Phase II - February 2014.,TW11 0LW,SME,AQ0604,AQRDXXXX,Expense,,,
DEFRA,DEFRA,06/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6154982,"26,420.00",2013-14 - Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) - February 2014.,OX11 0QR,,Exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,06/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,120016,"30,799.75",2013-14 Airborne Particulate Concentrations and numbers in the UK - Phase II - March 2014.,TW11 0LW,SME,Exempt,AQRDXXXX,Expense,,,
DEFRA,DEFRA,14/03/2014,Programme Consultancy Costs,Policy Delivery DG,Local Partnerships LLP,41101392,"206,854.07",2013-14 Consultancy Support for Partnership proposal for Waste Infrastructure Delivery Programme - February 2014,SW1P 3HZ,SME,14265,WFUNDCON,Expense,,,
DEFRA,DEFRA,10/03/2014,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,04201314B,"772,552.00",2013-14 Waste Infrastructure Grant Payment 2 - Additional Payment,HP2 4XN,,Grant,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,04201314270214,"19,966,654.00",2013-14 Waste Infrastructure Grant - Quarter 4,HP2 4XN,,Grant,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Fishing for Litter South West,519,"30,000.00",Fishing for Litter Project - 2013-14,ZE1 0NT,SME,ME5418,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-535885-47869,"650,000.00",The Continuous Plankton Recorder (CPR) Survey - 2013-14,PL1 2PB,SME,ME5308,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Evidence Non R&D,Policy Delivery DG,C E F A S,8003684,"1,838,712.25",Miscellaneous research and development projects - March 2014,NR33 0HT,SME,IDS,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Evidence Non R&D,Policy Delivery DG,Natural Environ Research Council,7060005814,"35,870.00",Agreed contribution for management of the Marine Environment Monitoring database - 2013-14.,SN2 1EU,,Exempt,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-534714-47868,"26,666.66",The Continuous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans - March 2014.,PL1 2PB,SME,,00000000,Expense,,,
DEFRA,DEFRA,20/03/2014,Other Current Payments (GB),Policy Delivery DG,O S P A R Commission,011113,"245,576.56",UK Contribution to The Oslo and Paris Convention for the Protection of Marine Environment of the North East Atlantic (OSPAR) budget 2014.,WC2A 2JQ,SME,Funding,00000000,Expense,,,
DEFRA,DEFRA,12/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Aberdeen,GRSI00032798,"38,790.00",Cephalopod indicators for the Marine Strategy Framework Directive - 2013-14.,AB24 3FX,,ME5311,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535599-48023,"48,077.90",A descriptive epidemiology study of the occurrence and control of Salmonella in duck breeding and production - 2013-14.,KT15 3NB,SME,exempt,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Application Services/Applications On-Boarding,Chief Operating Officer DG,Food & Environment Research Agency,F0034840,"333,000.00","IT - Outsourced Partner. Costs of on boarding the back office services that formerly served the Wildlife unit, for the one third of 2013-14 after Wildlife Unit had transferred to Animal Health and Veterinary Laboratories Agency.",YO41 1LZ,,DFP,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Overhead Incidental Expenses,Chief Operating Officer DG,Cabinet Office,250009616,"128,472.00",Civil Service Human Resource Expert Services - 2013-14,CF14 3UW,,20201,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Recruitment Charges,Chief Operating Officer DG,H M Revenue & Customs,18000017672013,"56,233.20",Service Level Agreement between Civil Service Resourcing and Defra for Recruitment Services- E-Recruitment Service Delivery - 2013-14 Quarter 1,BN12 4XH,,IGS,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,East Malling Research,12102,"37,500.00",Managing Spotted Wing Drosophila (SWD) in the UK: Determining its distribution and seasonal population dynamics - East Malling Research - October-December 2013.,ME19 6BJ,SME,CH0203,SFFS0006,Expense,,,
DEFRA,DEFRA,06/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,UNEP-WCMC,0001664,"46,582.00","2013-14 UK National Ecosystem Assessment - Phase 2, Completion of D0 drafts of synthesis report.",CB3 0DL,SME,Exempt,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,Advertising non-recruitment,Policy Delivery DG,Gatenby Sanderson Ltd,16095,"42,225.00",Public appointments 2013 - Environment Agency and Natural England. Chair plus board members - First stage fee.,LS1 2HL,SME,20183,00000000,Expense,,,
DEFRA,DEFRA,12/03/2014,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,050314,"3,010,000.00",2013-14 Grant In Aid - March 2014,PE1 1JY,SME,18522,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Grant-in Aid Payments,Policy Delivery DG,Natural England,280214,"19,992,000.00",2013-14 Grant In Aid - March 2014,YO1 7PX,,18523,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,RCPS10219,"119,887.65",Nature Conservancy Council (NCC) pension payments - February 2014,SN2 1FF,,Exempt,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments E,Policy Delivery DG,University Of Reading,ERS-536304-47896,"33,333.25",The Long Term Maintenance and Scientific Curation of the National Fruit Collection - March 2014,RG6 6AH,,GC0143,PGR00001,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments E,Policy Delivery DG,Ricardo-A E A Ltd,6155082,"47,869.20",Provision of a farming advice service - February 2014.,OX11 0QJ,,,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Reading,ERS-535657-47895,"102,075.08",Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems - January-March 2014.,RG6 6AH,,AC0122,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Technology Strategy Board,000889,"3,783,081.04",Sustainable Agriculture: Technology Strategy Board (TSB) - 2013-14 – Quarter 4,SN2 1JF,,IGS,00000000,Expense,,,
DEFRA,DEFRA,12/03/2014,Evidence Non R&D,Policy Delivery DG,University Of Nottingham,7691347,"234,401.00",Functional Behaviour Structure Framework Agreement; Core activity and outreach - 2012-13,NG7 2RD,,10992,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Other Current Payments E,Policy Delivery DG,N F Y F C,3473,"42,123.89",Grant Funding for National Federation of Young Farmers Club - 2013-14,CV8 2LG,SME,FUNDING,FFFSKILL,Expense,,,
