Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,GW Price Ltd,,,829920,47643.76,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001941,49359.069,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001931,54845.356,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,GW Price Ltd,,,829925,56107.56,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001951,60107.219,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during February 2012",Health Protection,Fresh Direct (UK) Ltd,,,28533869,72100.38,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001945,74070.396,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001953,80501.45,,,
Department of Health,Department of Health,20/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Minor Weir & Willis Ltd,,,SFVS001914,81607.455,,,
Department of Health,Department of Health,20/07/2012,Admin Revenue Grant-in-Aid ENDPBs,Health Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1388528,900000,,MHRA 2012/13 revenue allocation,Other
Department of Health,Department of Health,20/07/2012,Admin Revenue Grant-in-Aid ENDPBs,Health Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1398809,900000,,MHRA 2012/13 revenue allocation,Other
Department of Health,Department of Health,20/07/2012,Admin Revenue Grant-in-Aid ENDPBs,Health Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1401949,900000,,MHRA 2012/13 revenue allocation,Other
Department of Health,Department of Health,24/07/2012,Outsourcing Contract,Health Protection,SERCO PUBLIC SERVICES LTD,LARGE,L34 1PJ,FI1500060,322971.52,,Serco Public Services Ltd - For services provided on Healthy Start Issuing Unit - Cycle 119 - 4th June to 2nd July 2012,Admin
Department of Health,Department of Health,26/07/2012,VAT dr (ST),Health Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,12-13 VAT RECHARGE QTR 1,516212.36,,,Other
Department of Health,Department of Health,27/07/2012,Admin Revenue Grant-in-Aid ENDPBs,Health Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SW1W 9SZ,5388704,25500,,"Development of a severe influenza hospital surveillance system (USISS), Piloting of a telephone survey to strengthen community influenza surveillance (CIS) and development of sero-epidemiology surveillance.",Programme
Department of Health,Department of Health,27/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Redbridge Produce & Flowers,,,B12060130908,30362.84,,,
Department of Health,Department of Health,27/07/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during June 2012",Health Protection,Redbridge Produce & Flowers,,,B12060130878,40085.6,,,
Department of Health,Department of Health,31/07/2012,Research & development,Health Protection,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,90170294,52000,,"FS234004 - N05085 Research - A systematic review of the evidence of the benefits and risks of different dietary carbohydrates on 
",Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,Health Protection,DURHAM UNIVERSITY OF,PUBLIC,TS17 6BH,241216,91250,,NEPHO core funding 1 April 2012 to 31 March 2013,Admin
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,Health Protection,DURHAM UNIVERSITY OF,PUBLIC,TS17 6BH,242363,91250,,NEPHO core funding 1 April 2012 to 31 March 2013,Admin
Department of Health,Department of Health,31/07/2012,Utilisation-Hep C,Health Protection,CAXTON FOUNDATION,VCS,EN4 9NX,CF-2/2012-13,130389.5,,Discretionary Ex-Gratia payments for Hepatitis C,Programme
Department of Health,Department of Health,02/07/2012,Computer Hardware Purch,INFORMATICS,NETWORKS BY WIRELESS LTD,,,14661342,"-81,636.00",,,
Department of Health,Department of Health,02/07/2012,Computer Hardware Purch,INFORMATICS,NETWORKS BY WIRELESS LTD,,,14669742,"61,716.00",,,
Department of Health,Department of Health,02/07/2012,Computer Hardware Purch,INFORMATICS,PROBRAND LTD,,,15084687,"95,504.40",,,
Department of Health,Department of Health,02/07/2012,Prepayments - Current,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15126621,"4,045,233.80",,,
Department of Health,Department of Health,02/07/2012,Service charge,INFORMATICS,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS02/07/12,5302026.24,,Revenue: FY 2011/12 LSP East Revenue Accrual Requirements,Programme
Department of Health,Department of Health,03/07/2012,External Consultancy Fees,INFORMATICS,ASE CONSULTING LTD,,,15126098,"21,600.00",,,
Department of Health,Department of Health,03/07/2012,Service charge,INFORMATICS,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,CHAPS/03/07/12,1656853.84,,Revenue: Choose & Book Core Contract to cover spend for services to be paid between April 2012 and March 2013,Programme
Department of Health,Department of Health,03/07/2012,Addition Clearing - SW LIC,INFORMATICS,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,CHAPS/03/07/12,2432629.18,,Capital: Choose & Book Core Contract to cover spend for services to be paid between April 2012 and March 2013,Programme
Department of Health,Department of Health,05/07/2012,External Consultancy Fees,INFORMATICS,GREENWICH COUNCIL,,,14760493,"26,789.61",,,
Department of Health,Department of Health,05/07/2012,Service charge,INFORMATICS,IN PRACTICE SYSTEMS LTD,LARGE,SW8 3QJ,CHAPS5/7/12,653471.51,,Revenue: FY 2012/13 Revenue Budget Requirements,Programme
Department of Health,Department of Health,05/07/2012,Addition Clearing - SW LIC,INFORMATICS,IN PRACTICE SYSTEMS LTD,LARGE,SW8 3QJ,CHAPS5/7/12,2160115.33,,Capital: FY 2012/13 Capital Budget Requirements,Programme
Department of Health,Department of Health,06/07/2012,Computer Software/License,INFORMATICS,INTERSYSTEMS EUROPE,,,15126102,"28,102.21",,,
Department of Health,Department of Health,09/07/2012,Prepayments - Current,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15159657,"-1,473,578.68",,,
Department of Health,Department of Health,09/07/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15159657,"1,227,982.23",,,
Department of Health,Department of Health,10/07/2012,Other Gen Supplies & Srv,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15164741,"23,375.00",,,
Department of Health,Department of Health,10/07/2012,Prepayments - Current,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15164785,"-1,285,827.56",,,
Department of Health,Department of Health,10/07/2012,Prepayments - Current,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15164786,"-1,285,827.56",,,
Department of Health,Department of Health,10/07/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15164785,"1,071,522.97",,,
Department of Health,Department of Health,10/07/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,15164786,"1,071,522.97",,,
Department of Health,Department of Health,12/07/2012,Computer Software/License,INFORMATICS,MICROSOFT LTD,,,15180384,"129,120.00",,,
Department of Health,Department of Health,13/07/2012,External Consultancy Fees,INFORMATICS,QI CONSULTING,,,15187884,"-299,074.05",,,
Department of Health,Department of Health,13/07/2012,External Consultancy Fees,INFORMATICS,QI CONSULTING,,,14633240,"24,582.61",,,
Department of Health,Department of Health,13/07/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,15180356,"28,600.00",,,
Department of Health,Department of Health,13/07/2012,External Consultancy Fees,INFORMATICS,QI CONSULTING,,,14653560,"299,074.05",,,
Department of Health,Department of Health,13/07/2012,External Consultancy Fees,INFORMATICS,QI CONSULTING,,,15187885,"299,074.05"
Department of Health,Department of Health,13/07/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,15187929,"768,919.88"
Department of Health,Department of Health,16/07/2012,Contr Other External,INFORMATICS,TRUSTMARQUE SOLUTIONS LTD,,,15159656,"64,062.45"
Department of Health,Department of Health,17/07/2012,Computer Hardware Purch,INFORMATICS,PROBRAND LTD,,,15166557,-0.01
Department of Health,Department of Health,17/07/2012,Computer Maintenance,INFORMATICS,PROBRAND LTD,,,15166557,"26,765.17"
Department of Health,Department of Health,17/07/2012,Computer Hardware Purch,INFORMATICS,PROBRAND LTD,,,15166556,"35,052.26"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,-485.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,-193.7
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,-185.01
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,35.35
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,42.08
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,66.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,71.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,75.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,80.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,80.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,80.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,80.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,80.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,81.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,83.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,86.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,93.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,98.3
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,102.46
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,114.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,116.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,118.59
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,126.7
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,127.98
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,136.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,141.41
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,144.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,146.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,146.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,149.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,151.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,153.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,153.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,157.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,159.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,160.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,160.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,171.9
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,185.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,199.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,217.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,227.79
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,238.72
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,251.49
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,284.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,286.08
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,288.8
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,291.34
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,293.6
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,304.19
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,308.81
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,312.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,318.6
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,321.59
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,337.98
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,338.8
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,339.53
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,346.3
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,361.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,403.55
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,413.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,416.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,418.6
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,435.79
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,455.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,460.81
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,477.61
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,479.29
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,480.64
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,483
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,484.99
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,493.98
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,509.1
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,517.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,520.18
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,521.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,532.29
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,540
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,541.98
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,543.46
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,550
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,550.46
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,565.58
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,567.16
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,577.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,598.38
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,614.18
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,629.07
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,637.99
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,654.13
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,654.6
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,659.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,659.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,663.95
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,691.56
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,708.58
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,737.9
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,750.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,773.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,779.11
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,791.88
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,798
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,834.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,845.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,848.41
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,870.79
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,886.39
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,890.45
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,905.21
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,908.58
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,929.2
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,938.1
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,967.38
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,969.4
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,998.16
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,011.30"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,025.21"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,029.84"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,039.60"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,041.04"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,049.02"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,055.03"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,"1,057.96"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,092.41"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,093.39"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,118.18"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,118.87"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,124.08"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200318,"1,148.92"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,188.44"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200317,"1,208.81"
Department of Health,Department of Health,19/07/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,15200316,"1,277.69"
