Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,02/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-17918,"1,000,000.00",,NN16 8UZ,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-17919,"1,838,000.00",,BS1 2NP,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ROYAL CORNWALL HOSPITAL NHS TRUST,HAFS-17920,"45,000.00",,TR1 2XN,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ROYAL CORNWALL HOSPITAL NHS TRUST,HAFS-17921,"141,000.00",,TR1 2XN,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17922,"822,000.00",,NG17 4JL,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17924,"4,493,000.00",,NG17 4JL,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-17925,"885,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,THE SOLENT NHS TRUST R1C,HAFS-17926,"2,714,000.00",,SO16 4XE,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-17927,"3,500,000.00",,WR5 1DD,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,HAFS-17928,"14,400,000.00",,TS4 3BW,PUBLIC,,,Other
Department of Health,Department of Health,03/02/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,5037001-11-FEB-15,"1,373.98",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,04/02/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,5037001-11-FEB-15,"1,869.04",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,04/02/2015,Contractor/Staff Substitution,DG: Holding CT Core,DLA PIPER UK LLP,54770205,"49,552.45",Professional service s in respect -Fujitsu arbitration - up  to and including July 2014 - invoices 54770205 & 54769834,LS1 4BY,LARGE,,,Programme
Department of Health,Department of Health,05/02/2015,Policy Payments,DG: Holding CT Core,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0000227658,"12,000,000.00",Support to West Hertfordshire Hospitals  NHS Trust for the Provision of Heath Services,WD18 0BH,PUBLIC,,,Programme
Department of Health,Department of Health,05/02/2015,Policy Payments,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,302275,"14,000,000.00",Support to North Bristol NHS trust for the Provision of Heath Services,BS1 2NP,PUBLIC,,,Programme
Department of Health,Department of Health,05/02/2015,Policy Payments,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,869252,"8,000,000.00",Support to Plymouth Hospitals NHS Trust for the Provision of Heath Services,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,06/02/2015,Contractor/Staff Substitution,DG: Holding CT Core,DLA PIPER UK LLP,54769646,"98,020.16",Professional service s in respect -Fujitsu arbitration - up  to and including July 2014 - invoices 54770256 - 54769646 - 54769638 - 54770415,LS1 4BY,LARGE,,,Programme
Department of Health,Department of Health,06/02/2015,Contractor/Staff Substitution,DG: Holding CT Core,DLA PIPER UK LLP,54770256,"61,237.80",Professional service s in respect -Fujitsu arbitration - up  to and including July 2014 - invoices 54770256 - 54769646 - 54769638 - 54770415,LS1 4BY,LARGE,,,Programme
Department of Health,Department of Health,06/02/2015,Contractor/Staff Substitution,DG: Holding CT Core,DLA PIPER UK LLP,54770415,"85,050.12",Professional service s in respect -Fujitsu arbitration - up  to and including July 2014 - invoices 54770256 - 54769646 - 54769638 - 54770415,LS1 4BY,LARGE,,,Programme
Department of Health,Department of Health,09/02/2015,Policy Payments,DG: Holding CT Core,WYE VALLEY NHS TRUST,0000335765,"12,700,000.00",Support to Wye Valley NHS Trust for the Provision of Heath Services,HR1 2EP,PUBLIC,,,Programme
Department of Health,Department of Health,09/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-17929,"3,580,000.00",,DN15 7BH,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions FT Financing Facility Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-17930,"11,672,000.00",,SE1 9RT,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-17931,"2,200,000.00",,MK42 9DJ,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions-PDC permanent,DG: Holding CT Core,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST RY2,HAFS-17932,"201,000.00",,WN3 6PR,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,HAFS-17933,"111,000.00",,CH2 1UL,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17934,"1,500,000.00",,CR7 7YE,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,HAFS-17935,"131,000.00",,CA1 3SX,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,HAFS-17936,"147,000.00",,CA1 3SX,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-17937,"1,500,000.00",,SE1 9RT,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-17938,"95,000.00",,SE1 9RT,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-17939,"380,000.00",,PE29 6NT,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,HAFS-17940,"140,000.00",,ME16 9QQ,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-17941,"350,000.00",,NR4 7UY,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-17942,"2,500,000.00",,BS1 2NP,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,HAFS-17943,"589,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,HAFS-17944,"1,178,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-17945,"357,000.00",,UB9 6JH,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17946,"262,000.00",,BS99 1YF,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17947,"465,000.00",,BS99 1YF,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17948,"315,000.00",,BS99 1YF,PUBLIC,,,Other
Department of Health,Department of Health,09/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0071948,"8,800,000.00",Implementation of Heatherwood Operational Efficiency,GU16 5UJ,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Policy Payments,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,0000463188,"17,000,000.00",Support to University Hospitals of North Midlands NHS Trust for the Provision of Heath Services,ST4 7LN,PUBLIC,,,Programme
Department of Health,Department of Health,11/02/2015,Policy Payments,DG: Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,1410010683,"14,000,000.00",Support to Leeds Teaching Hospitals NHS Trust for the Provision of Heath Services,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,12/02/2015,Policy Payments,DG: Holding CT Core,GEORGE ELIOT HOSPITAL NHS TRUST,T0117577,"12,000,000.00",Support to George Eliot Hospital Trust for the Provision of Heath Services,CV10 7DJ,PUBLIC,,,Programme
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,BARTS HEALTH NHS TRUST,HAFS-17949,"633,000.00",,E1 8PR,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-17950,"31,000.00",,WF1 4TU,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-17951,"3,340,000.00",,WF1 4TU,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-17952,"2,751,000.00",,NG5 1PT,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-17953,"1,145,000.00",,NG5 1PT,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,HAFS-17954,"378,000.00",,SY10 7AG,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,HAFS-17955,"45,000.00",,SY10 7AG,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,HAFS-17957,"500,000.00",,M23 9LT,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-17958,"2,913,000.00",,ST4 7LN,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,WHITTINGTON HOSPITAL NHS TRUST,HAFS-17959,"210,000.00",,N19 5NF,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-17960,"1,500,000.00",,CREWE,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,HAFS-17961,"1,784,000.00",,CH634JY,PUBLIC,,,Other
Department of Health,Department of Health,16/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-17962,"268,000.00",,SG1 4AB,PUBLIC,,,Other
Department of Health,Department of Health,17/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,THE ROYAL WOLVERHAMPTON NHS TRUST,0000177832,"2,280,000.00",Stafford Transition and integration costs,WV10 0QP,PUBLIC,,,Programme
Department of Health,Department of Health,17/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,THE ROYAL WOLVERHAMPTON NHS TRUST,0000177832,"3,200,000.00",Transaction Costs,WV10 0QP,PUBLIC,,,Programme
Department of Health,Department of Health,17/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,0000463299,"8,240,000.00",Implementation Costs,ST4 7LN,PUBLIC,,,Programme
Department of Health,Department of Health,17/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,0000463299,"17,860,000.00",Stafford Transition and integrations costs,ST4 7LN,PUBLIC,,,Programme
Department of Health,Department of Health,17/02/2015,Delivery of NHS Transaction related operational efficiency,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,0000463299,"6,320,000.00",Transaction Costs,ST4 7LN,PUBLIC,,,Programme
Department of Health,Department of Health,19/02/2015,Other creditors (ST),DG: Holding CT Core,NHS ENGLAND CBA033,REFUND OF DH CREDIT NOTE 800989,"231,303.56",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,AIREDALE NHS FOUNDATION TRUST,HAFS-17963,"328,000.00",,BD20 6TD,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-17964,"3,626,000.00",,S75 2PY,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST RY2,HAFS-17965,"107,000.00",,WN3 6PR,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-17966,"225,000.00",,HD3 3EA,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-17967,"222,000.00",,HG2 7UG,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-17968,"47,000.00",,HG2 7UG,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-17969,"188,000.00",,HG2 7UG,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-17970,"2,836,000.00",,LS9 7TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-17971,"324,000.00",,LS9 7TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Permenant,DG: Holding CT Core,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-17972,"3,043,000.00",,M20 4BX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,NORTH EAST LONDON NHS FOUNDATION TRUST,HAFS-17973,"2,100,000.00",,CM8 2TL,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,HAFS-17974,"44,000.00",,N18 1QX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,HAFS-17975,"115,000.00",,N18 1QX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,HAFS-17976,"705,000.00",,CB3 8RE,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,ROYAL BERKSHIRE NHS FOUNDATION TRUST,HAFS-17977,"106,000.00",,RG1 5AN,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-17978,"423,000.00",,HA7 4LP,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,HAFS-17979,"50,000.00",,EX2 7HY,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,HAFS-17980,"220,000.00",,EX2 7HY,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ST HELENS & KNOWSLEY TEACHING HOSPITALS NHS TRUST,HAFS-17981,"217,000.00",,L35 5DR,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ST HELENS & KNOWSLEY TEACHING HOSPITALS NHS TRUST,HAFS-17982,"165,000.00",,L35 5DR,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,HAFS-17983,"661,000.00",,OL6 9RW,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,HAFS-17984,"133,000.00",,TA1 5DA,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-17985,"395,000.00",,M20 4BX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-17986,"1,825,000.00",,M20 4BX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,THE ROYAL WOLVERHAMPTON NHS TRUST,HAFS-17987,"6,840,000.00",,WV10 0QP,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,THE ROYAL WOLVERHAMPTON NHS TRUST,HAFS-17988,"2,518,000.00",,WV10 0QP,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-17990,"4,000,000.00",,LA1 4GG,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-17991,"44,000.00",,WD18 0BH,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-17992,"2,510,000.00",,WD18 0BH,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,WESTERN SUSSEX NHS FOUNDATION TRUST,HAFS-17993,"277,000.00",,PO19 6SE,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,WESTON AREA HEALTH NHS TRUST,HAFS-17994,"86,000.00",,BS23 4TQ,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-17995,"1,500,000.00",,PR7 1GZ,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-17996,"240,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,HAFS-17997,"2,015,000.00",,SW17 0QT,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions FT Financing Facility Loans,DG: Holding CT Core,THE ROYAL MARSDEN NHS FOUNDATION TRUST,HAFS-17998,"2,000,000.00",,SW3 6JJ,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions FT Financing Facility Loans,DG: Holding CT Core,LANCASHIRE CARE NHS FOUNDATION TRUST,HAFS-17999,"1,500,000.00",,PR5 6XT,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions FT Financing Facility Loans,DG: Holding CT Core,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-18000,"580,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-18001,"5,000,000.00",,MK42 9DJ,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,HAFS-18002,"932,000.00",,B4 6NL,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-18003,"4,000,000.00",,PE29 6NT,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-18004,"4,000,000.00",,CM8 2TT,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,HAFS-18005,"350,000.00",,EC1V 2PD,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-18006,"4,400,000.00",,CA2 7HX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-18007,"338,000.00",,PE3 6DA,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-18008,"223,000.00",,PE3 6DA,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-18009,"2,000,000.00",,PE3 6DA,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-18010,"1,181,000.00",,CM20 1QX,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-18011,"115,000.00",,TF6 6TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-18012,"1,000,000.00",,TF6 6TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-18013,"171,000.00",,TF6 6TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-18014,"8,400,000.00",,TF6 6TF,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,HAFS-18015,"2,500,000.00",,WS2 9PS,PUBLIC,,,Other
Department of Health,Department of Health,23/02/2015,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,WEST MIDDLESEX UNIVERSITY NHS TRUST,HAFS-18016,"2,700,000.00",,TW7 6AF,PUBLIC,,,Other
