ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,DISTRIBUTION_AMOUNT,DESCRIPTION,SUPPLIER_POSTCODE,PROJECT_CODE,PROG / ADMIN?,Contract Number,SUPPLIER_TYPE,INV_NUM
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$11,683.24 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054227
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$79,299.53 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054228
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,($0.01),,WA3 9BD,0,Balance Sheet,,,8054229
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$5,493.53 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054229
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$20,267.66 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054230
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$8,421.05 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054231
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$29,097.47 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054232
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058568,"$7,247.20 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054247
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058568,"$7,314.60 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054248
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1058347,"$6,224.57 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054281
MoJ HQ,13-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1059127,"$10,150.73 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054344
MoJ HQ,13-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1059127,"$14,351.76 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054346
MoJ HQ,13-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,FUJITSU SERVICES LTD,1059127,"$20,845.62 ",Computer services supplied to the specification of the recipient,WA3 9BD,0,Balance Sheet,,,8054347
MoJ HQ,10-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1058951,"$6,562.48 ",Computer services supplied to the specification of the recipient,NP10 8BA,0,Balance Sheet,,,81210
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1058635,"$7,013.77 ","Accounting, Invoicing and related services",NP10 8BA,0,Balance Sheet,,,81270
MoJ HQ,13-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1059182,"$5,720.92 ","Services of printing, copying, reproducing or mailing any documents or publications",NP10 8BA,0,Balance Sheet,,,81335
MoJ HQ,24-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1059901,"$7,074.28 ","Accounting, Invoicing and related services",NP10 8BA,0,Balance Sheet,,,81392
MoJ HQ,24-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1059901,"$13,671.82 ","Accounting, Invoicing and related services",NP10 8BA,0,Balance Sheet,,,81394
MoJ HQ,24-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1059901,"$234,306.50 ","Accounting, Invoicing and related services",NP10 8BA,0,Balance Sheet,,,81396
MoJ HQ,27-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,LIBERATA UK LTD,1060158,"$58,227.42 ",Departmental staff records & Payroll systems including administration and payment of pensions,NP10 8BA,0,Balance Sheet,,,81427
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,TNT UK LTD,1058807,"$13,270.44 ","Storage, distribution and goods disposal services",BL0 9AR,0,Balance Sheet,,,9495976
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1060315,"$7,060.20 ",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,ATOS IT SERVICES UK LTD,1058296,"$7,639.93 ",Computer services supplied to the specification of the recipient,WV10 6UH,0,Balance Sheet,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,27-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,CALDER CONFERENCES LTD,1060051,"$6,628.88 ",Conference and Exhibition Services,LS16 6RF,0,Balance Sheet,,,MOJHMCTS141011-10
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,CALDER CONFERENCES LTD,1058499,($0.01),Conference and Exhibition Services,LS16 6RF,0,Balance Sheet,,,MOJHMCTS290911-10-A
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,CALDER CONFERENCES LTD,1058499,"$5,595.55 ",Conference and Exhibition Services,LS16 6RF,0,Balance Sheet,,,MOJHMCTS290911-10-A
MoJ HQ,13-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,CALDER CONFERENCES LTD,1059086,"$11,557.49 ",Conference and Exhibition Services,LS16 6RF,0,Balance Sheet,,,MOJHQ041011-10
MoJ HQ,6-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1058766,"$350,408.85 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0811LS/7
MoJ HQ,3-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1058423,"$69,473.10 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0811OT/1
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$13,361.13 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/10
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$16,582.02 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/11
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$6,009.80 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/13
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$15,404.12 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/15
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$6,549.04 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/2
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$6,665.44 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/3
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$6,499.37 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/4
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$182,444.96 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/6
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$372,149.00 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/7
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$29,203.69 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/8
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$40,960.00 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911LS/9
MoJ HQ,31-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,STERIA LTD,1060454,"$65,362.36 ",Computer services supplied to the specification of the recipient,M14 0WN,0,Balance Sheet,,,NOMS0911OT/1
MoJ HQ,24-Oct-11,610200-Debtors < 1 Year - VAT,WW000-Balance Sheet,M J FERGUSON LTD,1059906,"$52,468.18 ","Maintenance, non-structural repair and cleaning of buildings",CIS-CM12 0BT,0,Balance Sheet,,,SIN001926
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058866,"$55,445.00 ",Managed Service Charge - IMB & PPO Poise to Dom1  One Off charge,WV10 6UH,0,Admin,,,5584089839
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,DETICA LTD,1059113,"$46,080.00 ",Monthly Managed Service Costs - Information Assurance (Core Services),GU2 7YP,0,Admin,,,1041723-33
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,DETICA LTD,1059113,"$140,668.00 ",Monthly Managed Service Costs - Information Assurance (Work Packages),GU2 7YP,0,Admin,,,1041723-33
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1059088,"$28,737.00 ",Services of Shared Services Infrastructure Architect - extension,SL6 1DP,0,Admin,,,WN70096904
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$26,160.20 ",Onsite IT support for RCJ (Ongoing Charges FY 11-12),WV10 6UH,0,Programme,,,5584093020
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$29,227.00 ",Monthly Service Charges under IT application contract ,WV10 6UH,0,Programme,,,5584093183
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$30,115.00 ",Managed Service Charge - London HQ Accommodation Programme Ongoing,WV10 6UH,0,Programme,,,5584093162
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$36,666.67 ",Monthly Service Charges under IT application contract  - Technical Services Group Ongoing,WV10 6UH,0,Programme,,,5584093011
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$45,892.00 ",Managed Service Charge -Service Desk support for the MoJ Intranet link to HMPS Directory Ongoing -,WV10 6UH,0,Programme,,,5584093024
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$25,500.00 ",Monthly Service Charges under IT application contract - Bulk Printing,CF31 9AP,0,Programme,,,358432
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$26,850.59 ",MI & Business Planning Services (One Off Costs),CF31 9AP,0,Programme,,,358430
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$29,275.71 ",MI & Business Planning Services (One Off Costs),CF31 9AP,0,Programme,,,358431
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$29,559.00 ",Monthly Service Charges under IT application contract - EDS Hosted Sunset Apps full term ARAMIS MIS FA15,CF31 9AP,0,Programme,,,358297
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$31,055.51 ",Monthly Service Charges under IT application contract - ARIA,CF31 9AP,0,Programme,,,358305
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$34,806.00 ",Monthly Service Charges under IT application contract - Ediary (LOCCS),CF31 9AP,0,Programme,,,358307
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$35,644.25 ",Monthly Service Charges under IT application contract  - XHIBIT,CF31 9AP,0,Programme,,,358311
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1060166,"$37,537.71 ",Monthly Service Charges under IT application contract  - Terminal Services -ongoing,CF31 9AP,0,Programme,,,356939
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1060166,"$39,084.00 ",Monthly Service Charges under IT application contract - Capgemini Authority Nominated Supplier Ongoing,CF31 9AP,0,Programme,,,358278
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$44,648.44 ",Monthly Service Charges under IT application contract - Judicial Portal Project - ongoing,CF31 9AP,0,Programme,,,358226
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$44,943.00 ",Monthly Service Charges under IT application contract - MCOBS transition to BAU Ongoing Charges FY 11-12,CF31 9AP,E002,Programme,,,358437
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$50,000.00 ",Monthly Service Charges under IT application contract - Bulk Printing,CF31 9AP,0,Programme,,,358433
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$51,017.00 ",Monthly Service Charges under IT application contract - Internet / Intranet Applications / Web sites,CF31 9AP,0,Programme,,,358287
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$53,767.70 ",Monthly Service Charges under IT application contract - eRM (ARAMIS),CF31 9AP,0,Programme,,,358308
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$56,749.00 ",Monthly Service Charges under IT application contract - Incident Management Services (SL11) Ongoing,CF31 9AP,E002,Programme,,,358229
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$146,905.00 ",Monthly Service Charges under IT application contract - FAS Ongoing,CF31 9AP,0,Programme,,,358293
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$161,229.35 ",Monthly Service Charges under IT application contract - Service Management,CF31 9AP,0,Programme,,,358434
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$196,410.00 ",Monthly Service Charges under IT application contract - Shared Application Services,CF31 9AP,0,Programme,,,358303
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$387,025.00 ",Monthly Service Charges under IT application contract - EDS Hosted Sunset Apps Ongoing,CF31 9AP,0,Programme,,,358271
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$402,178.00 ",Monthly Service Charges under IT application contract - Infrastructure Services,CF31 9AP,0,Programme,,,358302
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1058955,"$450,000.00 ",Monthly Service Charges under IT application contract - Libra Systems Integration and Hosting Services Ongoing,CF31 9AP,E002,Programme,,,358238
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1060166,"$706,011.00 ",Monthly Service Charges under IT application contract - Libra Application Release Services Ongoing,CF31 9AP,0,Programme,,,358737
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,212001-Agency staff,CAPITA RESOURCING LTD,1058885,"$25,305.54 ",Services of MoJ ICT Assurance Analyst (RC Architect) up to December 2011,SL6 1DP,0,Programme,,,WN70096247
MoJ HQ,10-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1058931,"$35,692.60 ",QBD Application Charges,RG12 1HN,0,Programme,,,11103798GB02
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1060128,"$41,445.83 ",WAN Optimisation Rollout,RG12 1HN,0,Programme,,,11105903GB02
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1060128,"$101,059.73 ",Storage Virtualisation,RG12 1HN,0,Programme,,,11105904GB02
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,NOMS,1058675,"$846,819.34 ",Intra MoJ Transfers,NP20 9BB,0,Programme,,,358127
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1058363,"$54,340.07 ",MOJ SAG Licensing Support,RG12 1HN,0,Programme,,,11104634GB02
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1058363,"$77,580.00 ",MOJ Testing Support,RG12 1HN,0,Programme,,,11103726GB02
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1060128,"$919,557.70 ",MOJ Wan Service Resource Costs,RG12 1HN,0,Programme,,,11106400GB02
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1058363,"$929,135.69 ",MOJ Wan Service Resource Costs,RG12 1HN,0,Programme,,,11104351GB02
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$32,745.21 ",Monthly Services Charge under OMNI IT infrastructure contract - Project Services,M14 0WN,0,Programme,,,NOMS0911LS/2
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$33,327.18 ",Monthly Services Charge under OMNI IT infrastructure contract - Blackberry Support,M14 0WN,0,Programme,,,NOMS0911LS/3
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$77,020.62 ",Monthly Services Charge under OMNI IT infrastructure contract - Small Projects,M14 0WN,0,Programme,,,NOMS0911LS/15
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$82,910.08 ",Monthly Services Charge under OMNI IT infrastructure contract - NDC Bridges Support,M14 0WN,0,Programme,,,NOMS0911LS/11
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$912,224.80 ",Monthly Services Charge under OMNI IT infrastructure contract - WAN Services,M14 0WN,0,Programme,,,NOMS0911LS/6
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1058766,"$1,752,044.26 ",Monthly Services Charge under OMNI IT infrastructure contract - Core Services,M14 0WN,0,Programme,,,NOMS0811LS/7
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$1,860,745.02 ",Monthly Services Charge under OMNI IT infrastructure contract - Core Services,M14 0WN,0,Programme,,,NOMS0911LS/7
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,HP ENTERPRISE SERVICES UK LTD,1058363,"$84,963.78 ",OASys Monthly charge,RG12 1HN,0,Programme,,,11104637GB02
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,NOMS,1058675,"$1,698,013.75 ",Intra MoJ Transfers,NP20 9BB,0,Programme,,,358130
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$30,049.00 ",Monthly Services Charge under OMNI IT infrastructure contract - Visor,M14 0WN,0,Programme,,,NOMS0911LS/13
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$32,496.83 ",Monthly Services Charge under OMNI IT infrastructure contract - Legacy Applications,M14 0WN,0,Programme,,,NOMS0911LS/4
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$66,805.66 ",Monthly Services Charge under OMNI IT infrastructure contract - Live Services Nomsnet,M14 0WN,0,Programme,,,NOMS0911LS/10
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$146,018.45 ",Monthly Services Charge under OMNI IT infrastructure contract - Live Services LLH,M14 0WN,0,Programme,,,NOMS0911LS/8
MoJ HQ,31-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1060454,"$204,800.00 ",Monthly Services Charge under OMNI IT infrastructure contract - Live Services NAH,M14 0WN,0,Programme,,,NOMS0911LS/9
MoJ HQ,17-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,TRIBAL CONSULTING LTD,1059464,"$42,375.00 ",Monthly Managed Service costs - Accredited Programmes System Support and Maintenance,DL1 9HN,0,Programme,,,500000448
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1058766,"$43,412.62 ",Monthly Services Charge under OMNI IT infrastructure contract - Service Delivery,M14 0WN,0,Programme,,,100023966
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1058766,"$44,076.08 ",Monthly Managed Service Costs-  Preproduction environment support,M14 0WN,0,Programme,,,100023982
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1058766,"$190,093.00 ",Monthly Services Charge under OMNI IT infrastructure contract - Service Delivery,M14 0WN,0,Programme,,,100023951
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1058766,"$190,093.00 ",Monthly Services Charge under OMNI IT infrastructure contract - Service Delivery,M14 0WN,0,Programme,,,100023978
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1058347,"$31,122.89 ",Support of the FTP Gateway Software Upgrade,WA3 9BD,E136,Programme,,,8054281
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1059127,"$50,753.65 ",AV Boundary & Host Design Phase,WA3 9BD,E134,Programme,,,8054344
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1059127,"$71,758.80 ",Phase 3 Initiation Service,WA3 9BD,E131,Programme,,,8054346
MoJ HQ,13-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1059127,"$104,228.12 ",Phase 3 Initiation Service,WA3 9BD,E131,Programme,,,8054347
MoJ HQ,24-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,STERIA LTD,1059963,"$25,611.95 ",EIPApplications- FTP Gateway & Data Rationalisation -Milestone 1 Initiation,M14 0WN,E136,Programme,,,100024752
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,STERIA LTD,1058766,"$38,973.77 ",Monthly Managed Service Costs- Portfolio Core Team,M14 0WN,E131,Programme,,,100024019
MoJ HQ,6-Oct-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,STERIA LTD,1058766,"$100,000.00 ",Monthly Managed Service Costs- Portfolio Core Team,M14 0WN,E131,Programme,,,100024019
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$34,218.60 ",Managed Service - Governance Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054226
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$58,416.21 ",Managed Service - Licensing Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054227
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$396,497.69 ",Managed Service - Operations Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054228
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$27,467.63 ",Managed Service - Programme & Project Management Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054229
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$42,105.26 ",Managed Service - Service Desk Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054231
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$145,487.35 ",Managed Service - Service Management Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054232
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1058347,"$101,338.30 ",Managed Service - Security Management Apr-11 to Mar-12,WA3 9BD,0,Programme,,,8054230
MoJ HQ,27-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060020,"$25,202.11 ",Managed Service Charge -Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme,,,5584093108
MoJ HQ,3-Oct-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,"$27,258.00 ",Managed Service Charge - LSC Call Off Resources for dev test programme,WV10 6UH,0,Programme,,,5584091237
