Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,
Cabinet Office,Buying Solutions,25/10/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 18620,"29,811.00",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 18624,"53,685.00",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 18635,"33,278.00",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,System Manm't,Network Services,GLOBAL CROSSING,PINMTS 18636,"40,593.82",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 18646,"108,483.25",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 18649,"56,605.01",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 18657,"97,839.19",Government Managed Telecoms Contract,
Cabinet Office,Buying Solutions,25/10/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 18689,"493,656.85",Government Managed Telecoms Contract,
Cabinet Office,Cabinet Office,25/10/2010,CESP Benchmarking Prof.Serv Recov,ERG - OFFICE OF GOVERNMENT COMMERCE,CORPORATE DOCUMENT SERVICES LIMITED,88144,"27,751.57",Enhancement of e-PIMS to allow better reporting by central government departments on environmental sustainability of their estate.,
Cabinet Office,Cabinet Office,25/10/2010,Nat West Corporate Card,ERG - OFFICE OF GOVERNMENT COMMERCE,NATIONAL WESTMINSTER BANK PLC (4715059005000009),88400,"47,775.68",Monthly settlement of Government Procurement Card transactions,
Cabinet Office,Buying Solutions,27/10/2010,MOTO Charges RC,Estates Management,HM TREASURY,PINDOH 31353,"30,375.00",Quarterly rent for office space in 1 Horse Guards Road,
Cabinet Office,Cabinet Office,28/10/2010,TELECOM RENTALS,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000012902,"37,059.52",High Integrity Telecomms System project ,
Cabinet Office,Cabinet Office,28/10/2010,TELECOM SECURITY SERVICES,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000012902,"312,519.56",High Integrity Telecomms System project ,
Cabinet Office,Buying Solutions,28/10/2010,GSI COS,Network Services,CESG,PINDOH 31263,"37,959.00",Security costs for government secure intranet,
Cabinet Office,Cabinet Office,28/10/2010,ADDITIONSAUC F/H NON RES BLDGS,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000012893,"63,996.57",Building renovation,
Cabinet Office,Cabinet Office,28/10/2010,TELECOM RENTALS,PRIME MINISTERS OFFICE,BT,3000012886,"120,382.37",Telecoms line rentals,
Cabinet Office,Cabinet Office,29/10/2010,GRANT FUND MANAGEMENT,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000012921,"55,727.36",Grassroots Grants management fee,
Cabinet Office,Buying Solutions,29/10/2010,Moves & Changes,Network Services,GLOBAL CROSSING,PINMTS 18716,"39,250.00",Government Managed Telecoms Contract,
Cabinet Office,Cabinet Office,29/10/2010,ADDITIONS - FH NON RES BLDGS,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000012930,"33,898.75",Accommodation improvements,
Cabinet Office,Cabinet Office,29/10/2010,Other Information Services,ERG - OFFICE OF GOVERNMENT COMMERCE,FACTIVA LIMITED,88044,"25,186.11",Quarterly charges for news service which aids supplier management and market intelligence provided to public sector bodies. ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
