Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,454.48,magnesium sulphate_50% 10ml_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,113.59,hyoscine hydrobromide_600mcg/ml 1ml amp_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,457.5,hyoscine hydrobromide_400mcg/ml 1ml amp_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,227.03,ephedrine_3mg/ml 10ml_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,456.84,ephedrine_30mg/ml 1ml_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,1142.32,dopamine_40mg/ml 5ml_injection5-10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,12236.42,chloramphenicol_0.5%_eye drops5ml-10ml,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,148.92,calcium chloride_10% 10ml_injection1,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,631.51,betamethasone_0.1%_eye drops5-10ml,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,708.47,adrenaline_1:10000 100mcg/ml pfs_injection1,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,117.42,adrenaline_1:10000 100mcg/ml amp_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,2269.06,adrenaline_1:1000 1mg/ml 1ml amp_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE FIT FOR WORK TEAM,ERS-520211-88081,45000,SPP001 - Fit For Work Team - 2014-15 SPP Initial Payment,LE1 5SN,,Other,SME,,GB119419313
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL HOUSING FEDERATION,ERS-520240-88163,45000,SPP009 - National Housing Federation - SPP 2014-15 Initial Payment,WC1V 6NY,,Other,SME,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL CARE FORUM,ERS-520244-88166,45000,SPP012 - The National Care Forum - SPP 2014-15 Initial Payment,CV1 2DY,,Other,VCS,,GB833850521
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NACRO,ERS-520247-88169,45000,SPP015 - NACRO - SPP 2014-15 Initial Payment,B6 4US,,Other,VCS,,GB237355653
Department of Health,Department of Health,13/05/2014,Publicity & advertising,DG: SCLGCP,BLISS THE NATIONAL CHARITY FOR THE NEWBORN,1957,98512,DH Funding Bliss Publication Project,SE1 3JW,,Programme,VCS,,GB905915126
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,CARERS UK,ERS-520214-88101,45000,SPP002 - CARERS UK - SPP 2014-15 Initial Payment,EC1A 4JS,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,LIFELINE COMMUNITY PROJECTS,ERS-520219-88121,45000,SPP004 - Lifeline (FaithAction) - SPP 2014-15 Initial Payment,RM8 3QS,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,COMMUNITY SERVICE VOLUNTEERS,ERS-520221-88141,45000,SPP005 - CSV - SPP 2014-15 Initial Payment,N1 9NJ,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,AGE UK,ERS-520237-88161,45000,SPP007  - AGE UK - SPP 2014-15 Initial Payment,WC1H 9NA,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,RACE EQUALITY FOUNDATION,ERS-520239-88162,45000,SPP008 - Race Equality Foundation - SPP 2014-15 Initial Payment,NW5 1LB,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL VOICES,ERS-520241-88164,45000,SPP010 - National Voices - SPP 2014-15 Initial Payment,EC4Y 8EE,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,INVOLVE YORKSHIRE & HUMBER,ERS-520243-88165,45000,SPP011 - Involve Y&H - SPP 2014-15 Initial Payment,LS3 1AB,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,MENTAL HEALTH PROVIDERS FORUM,ERS-520245-88167,45000,SPP013 - Mental Health Providers Forum - SPP 2014-15 Initial Payment,EC1V 9BE,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE LESBIAN AND GAY FOUNDATION,ERS-520246-88168,45000,SPP014 - The Lesbian & Gay Foundation - SPP 2014-15 Initial Payment,M1 3HF,,Other,VCS,,GB792663881
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL CHILDRENS BUREAU LTD,ERS-520249-88170,45000,SPP016 - National Children's Bureau - SPP 2014-15 Initial Payment,EC1V 7QE,,Other,VCS,,GB645183336
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-520251-88171,45000,SPP017 - NCPC - SPP 2014-15 Initial Payment,N7 9AS,,Other,VCS,,
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DISABILITY RIGHTS UK,ERS-520252-88172,45000,SPP021 - Disability Rights UK - SPP 2014-15 Initial Payment,EC1V 8AF,,Other,VCS,,GB127880492
Department of Health,Department of Health,13/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,WOMEN'S RESOURCE CENTRE,ERS-520253-88173,45000,SPP022 - Women's Resource Centre - SPP 2014-15 Initial Payment,N7 9DP,,Other,VCS,,
Department of Health,Department of Health,14/05/2014,Research & development,DG: RDD,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ERS-520276-88201,146488,MEDS FOR CH'REN CTUs,B4 6NL,,Programme,PUBLIC,,GB654964300
Department of Health,Department of Health,14/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520277-88202,130577,CANCER NETWORKS,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,14/05/2014,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-520311-88221,4035044.42,"Injury Allowance Recharging Payment, May 2014",FY7 8LG,,Programme,PUBLIC,,
Department of Health,Department of Health,14/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325598RI,33717.47,"Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325599RI,68121.91,"FM Costs from 01/04/14 - 31/03/15 @£11,055.48",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,111552.47,"FM Costs from 01/04/14 -31/03/201515 @ £13,007.45 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,151933.39,"FM Costs from 01/04/14 - 31/03/15 @£26,261.22",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325602RI,102250.72,"FM Costs from 01/04/14 -31/03/15 @13,060.08 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325603RI,20918.5,"FM Costs from 01/04/14 - 31/03/15 @£7,518.17 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,14/05/2014,Telephone costs,DG: GOAD,BOW TIE TV LTD,11633,25958.4,Houses of Parliament TV Services delivered to Richmond House from 1 April 2014 to 31 March 2015,DA8 1EW,,Admin,SME,,GB577920206
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443142,65002.93,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443153,284954.36,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443153,0.01,,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443154,98755.48,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443155,34591.42,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443155,-0.01,,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443156,31587.95,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443157,186203.15,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443157,0.01,,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1443158,283605.24,Software licenses from Oracle to provide adequate licenses to legally cover the Department’s use of Oracle database products and tools,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,14/05/2014,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,30726,30838.25,Funding Sapient TCG decision 13 January,E14 9GE,,Admin,LARGE,,GB718603436
Department of Health,Department of Health,14/05/2014,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,30956,27000,Funding Sapient TCG decision 13 January,E14 9GE,,Admin,LARGE,,GB718603436
Department of Health,Department of Health,14/05/2014,Travel & subsistence non staff,DG: PHD,QUEEN MARY AND WESTFIELD COLLEGE,2560232,31042.22,Genomics England March 2014 consumable cost. ,E1 4NS,,Programme,PUBLIC,,
Department of Health,Department of Health,14/05/2014,Addition Clearing - OLB,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2921481,112167.45,"Quarry House - Construction Works, Churn and Fees for Floors 4N, 4NE and 4NW",FY5 3TA,,Admin,PUBLIC,,
Department of Health,Department of Health,14/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,RE SOLV THE SOCIETY FOR THE PREVENTION OF SOLVENT AND VOLATILE SUBSTANCE ABUSE,ERS-520279-88181,46082,"IESD 2012-13, AIMS 1784505, Re-Solv: Community for Recovery: Overcoming VSM",ST15 8AW,,Other,VCS,,
Department of Health,Department of Health,14/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MENS HEALTH FORUM,ERS-520312-88222,45000,SPP003 - Men's Health Forum - SPP 2014-15 Initial Payment,SE1 0EH,,Other,VCS,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-520321-88249,67835,CANCER NETWORKS,SO52 9AB,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-520322-88248,93788,CANCER NETWORKS,HU16 5JQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520323-88247,117744,DIABETES NETWORKS,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-520324-88246,129896,MENTAL HEALTH NETWORKS,BR3 3BX,,Programme,PUBLIC,,GB654971403
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,NORTH YORKSHIRE & HUMBER CSU 0AV,ERS-520325-88245,74284,PRIMARY CARE NETWORKS,WF3 1WE,,Programme,PUBLIC,,GB654443826
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ERS-520326-88244,102078,STROKE NETWORKS,SR3 4AD,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-520327-88243,117400,STROKE NETWORKS,M6 8HD,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-520328-88242,118360,STROKE NETWORKS,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,ERS-520329-88241,103717,CANCER NETWORKS,GU2 7XX,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-520360-88282,83844,Research Capability Funding,L12 2AP,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-520360-88282,40530,CRFs - CRII,L12 2AP,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-520361-88289,53513,Research Capability Funding,BA1 3QE,,Programme,PUBLIC,,GB654912228
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520362-88298,109290,Biomedical Units,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520362-88298,77484,Network Research Capability Funding,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520362-88298,2451950,Network Research Capability Funding,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520362-88298,233290,Research Capability Funding,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-520363-88293,50804,Research Capability Funding,B15 2PZ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-520364-88297,47830,Research Capability Funding,B13 8JL,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520366-88281,126494,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-520367-88291,54545,CRFs - CRII,BN2 3EW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-520367-88291,79924,Research Capability Funding,BN2 3EW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520368-88284,1997426,Bio-Medical Centres,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520368-88284,91971,Bio-Medical Centres,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520368-88284,197255,CRFs - CRII,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520368-88284,1215384,Research Capability Funding,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-520369-88287,90220,Research Capability Funding,CB1 5EE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-520369-88287,166666,CLAHRCs,CB1 5EE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-520370-88296,137720,Research Capability Funding,NW1 0PE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-520371-88288,55098,Research Capability Funding,NW1 7QY,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520372-88290,245490,Research Capability Funding,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520372-88290,91667,Biomedical Units,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520372-88290,100000,CRFs - CRII,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520372-88290,65338,Network Research Capability Funding,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520372-88290,1494340,Network Research Capability Funding,M13 0JR,,Programme,PUBLIC,,GB654415538
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-520373-88286,85086,Research Capability Funding,SW10 9NH,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-520373-88286,164557,CLAHRCs,SW10 9NH,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-520378-88327,35958,Research Capability Funding,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-520380-88321,37139,Research Capability Funding,CT1 3NG,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-520381-88325,36951,Research Capability Funding,E1 1RD,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,ERS-520382-88331,33794,Research Capability Funding,NG8 3LL,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ERS-520385-88316,50303,Research Capability Funding,GL1 2EL,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-520386-88309,610960,Bio-Medical Centres,WC1N 3JH,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-520387-88310,374964,Research Capability Funding,WC1N 3JH,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-520388-88333,45912,Research Capability Funding,M25 3BL,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520389-88303,642248,Research Capability Funding,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520389-88303,1796240,Comprehensive Networks,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520389-88303,67014,Comprehensive Networks,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520389-88303,102604,CRFs - CRII,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-520389-88303,1003935,Bio-Medical Centres,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-520390-88312,53961,Research Capability Funding,B9 5TA,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-520392-88323,47000,Research Capability Funding,HU16 5JQ,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,1068750,Comprehensive Networks,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,50937,Comprehensive Networks,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,134402,Quality and Safety Research Centres,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,1900697,Bio-Medical Centres,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,1096720,Research Capability Funding,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-520394-88336,197927,CRFs - CRII,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-520396-88304,89225,CLAHRCs,SE5 9RS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-520396-88304,109056,Research Capability Funding,SE5 9RS,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-520398-88300,45950,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-520399-88314,112276,Biomedical Units,LS9 7TF,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-520399-88314,11037,CRFs - CRII,LS9 7TF,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-520399-88314,332114,Research Capability Funding,LS9 7TF,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-520401-88341,116950,Research Capability Funding,M21 9UN,,Programme,PUBLIC,,
Department of Health,Department of Health,15/05/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-520402-88311,470833,Bio-Medical Centres,EC1V 2PD,,Programme,PUBLIC,,
