Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-12326," 45,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-12166," 46,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,KIRKLEES PCT,PUBLIC,WF3 1WE,HAFS-12231," 46,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-12286," 46,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EAST LANCASHIRE PCT,PUBLIC,BB9 5SZ,HAFS-12200," 47,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-12167," 48,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LAMBETH PCT,PUBLIC,WF3 1WE,HAFS-12233," 48,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL & EASTERN CHESHIRE PCT,PUBLIC,CW5 5QU,HAFS-12184," 49,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EALING PCT,PUBLIC,UB2 4SA,HAFS-12199," 50,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAM CITY PCT,PUBLIC,NG1 6GN,HAFS-12268," 50,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-12322," 50,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-12161," 50,190,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EAST OF ENGLAND SHA,PUBLIC,CB1 5XB,HAFS-12202," 55,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DORSET PCT,PUBLIC,DT2 9TB,HAFS-12197," 58,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WORCESTERSHIRE PCT,PUBLIC,WR4 9RW,HAFS-12325," 58,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BRADFORD AND AIREDALE PCT,PUBLIC,WF3 1WE,HAFS-12174," 58,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CUMBRIA PCT,PUBLIC,CA2 7HX,HAFS-12191," 59,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WARWICKSHIRE PCT,PUBLIC,CV34 4DE,HAFS-12315," 60,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BUCKINGHAMSHIRE PCT,PUBLIC,HP19 8ET,HAFS-12179," 61,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CENTRAL LANCASHIRE PCT,PUBLIC,PR26 6TR,HAFS-12185," 63,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-12169," 64,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-12285," 66,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,HAFS-12182," 68,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-12291," 69,200,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-12300," 70,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WEST KENT PCT,PUBLIC,ME20 7NJ,HAFS-12317," 70,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,COUNTY DURHAM PCT,PUBLIC,DL14 6WA,HAFS-12188," 71,068,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,GLOUCESTERSHIRE PCT,PUBLIC,GL2 8DN,HAFS-12208," 72,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTERSHIRE COUNTY & RUTLAND PCT,PUBLIC,CV13 0LJ,HAFS-12236," 72,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG5 7EU,HAFS-12269," 72,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CORNWALL & ISLES OF SCILLY PCT,PUBLIC,PL25 5AS,HAFS-12187," 72,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-12264," 73,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTHAMPTONSHIRE PCT,PUBLIC,NN5 6UH,HAFS-12266," 75,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SHEFFIELD PCT,PUBLIC,S10 3TG,HAFS-12282," 77,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,MANCHESTER PCT,PUBLIC,M23 9LH,HAFS-12242," 78,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,HAFS-12271," 78,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LINCOLNSHIRE PCT,PUBLIC,LN4 2HN,HAFS-12238," 80,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LIVERPOOL PCT,PUBLIC,L13 1HN,HAFS-12239," 80,575,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DERBYSHIRE COUNTY PCT,PUBLIC,S41 7PF,HAFS-12194," 83,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WEST SUSSEX PCT,PUBLIC,WF3 1WE,HAFS-12319," 85,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DEVON PCT,PUBLIC,TQ12 4PH,HAFS-12195," 88,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,HAFS-12265," 89,200,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EASTERN & COASTAL KENT PCT,PUBLIC,CT1 3NG,HAFS-12205," 93,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORFOLK PCT,PUBLIC,NR1 3FR,HAFS-12255," 95,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LEEDS PCT,PUBLIC,WF3 1WE,HAFS-12234," 117,610,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HERTFORDSHIRE PCT,PUBLIC,AL8 6JL,HAFS-12222," 122,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SURREY PCT,PUBLIC,KT16 0QA,HAFS-12302," 124,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HAMPSHIRE PCT,PUBLIC,RG24 9NB,HAFS-12213," 129,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LONDON SHA,PUBLIC,SW1E 6QT,HAFS-12240," 148,369,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev ND In RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-12253," 929,000,000.00 ",,,Other,
Department of Health,Department of Health,02/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 7,312.01 ",,,Other,
Department of Health,Department of Health,02/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14337003," 28,600.00 ",,,,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,SOCIAL CARE,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12592718," 30,000.00 ",,The Information Centre - DOLs Omnibus Data Collection in 2011/2012,Admin,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90091523," 32,780.40 ",,OC/2011/08- Business Support,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,WORKFORCE,METHODS CONSULTING,SME,WC2H 8AD,100016924," 43,170.00 ",,Extension to FPAS Contract - Methods Consultancy,Programme,13245
Department of Health,Department of Health,02/02/2012,External Consultancy Fees,INFORMATICS,DELOITTE MCS LTD,,,14285382," 43,993.77 ",,,,
Department of Health,Department of Health,02/02/2012,External Consultancy Fees,INFORMATICS,DELOITTE MCS LTD,,,14260463," 48,277.70 ",,,,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90091511," 55,916.40 ",,OC/2011/04 Transferring Staff,Programme,
Department of Health,Department of Health,02/02/2012,Payroll Ded'ns N/S Curr,INFORMATICS,WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,,,14362512," 111,378.05 ",,,,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,WORKFORCE,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90091508," 122,214.00 ",,OC/2011/01 - Non Transferring staff,Programme,
Department of Health,Department of Health,02/02/2012,External Consultancy Fees,INFORMATICS,DELOITTE MCS LTD,,,14109898," 144,286.97 ",,,,
Department of Health,Department of Health,02/02/2012,Consultancy/Professional Advice,NHS MEDICAL DIRECTOR,OFFICE FOR NATIONAL STATISTICS ONS,PUBLIC,NP10 8XG,1023995," 148,422.00 ",,Commissioning a national survey of the bereaved,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",INHEALTH MOLECULAR IMAGING LTD,LARGE,HP10 8JL,SIM000070," 247,672.02 ",,Clinical services under D8S PET/CT South contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",INHEALTH LTD,LARGE,HP11 1JL,107," 312,500.00 ",,Clinical services under D01 London contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,NHS Improvement and Efficiency,POHWER,VCS,SG1 5DZ,SINV830," 354,709.00 ",,The extension of the current ICAS contract for the provision of independent advocacy by POhWER,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",SPIRE HEALTHCARE LTD,LARGE,EC1N 2TD,CM090267," 662,275.42 ",,Spire - Clinical services under E15 NTW contract,Programme,
Department of Health,Department of Health,02/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739241," 750,733.00 ",, Tobacco Control Quit Kit 3 TV media cost.  ,Programme,
Department of Health,Department of Health,02/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",INHEALTH MOLECULAR IMAGING LTD,LARGE,HP10 8JL,SIM000070," 770,850.16 ",,DO8 - Inhealth Molecular,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",ALLIANCE MEDICAL LTD,LARGE,CV34 6DA,PET0119," 967,838.54 ",,Alliance Medical - Clinical services under D8N PET/CT North contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",FRESENIUS MEDICAL CARE RENAL SERVICES LTD,LARGE,NG17 2HU,1060019391," 1,076,697.80 ",,Clinical services under E16 Renal contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",PARTNERSHIP HEALTH GROUP LTD,LARGE,CO4 9QB,25850433," 1,833,389.04 ",,PHG - Clinical services under E09 HIoW Hampshire Isle of Wight contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",INHEALTH LTD,LARGE,HP11 1JL,108," 2,288,429.47 ",,Clinical services under D01 London contract,Programme,
Department of Health,Department of Health,02/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",RAMSAY HEALTH CARE UK OPERATIONS LTD T/AS EUXTON HALL HOSPITAL,LARGE,PR7 6DY,62," 2,449,370.22 ",,Clinical services under E05 Cumbria and Lancs contract,Programme,
Department of Health,Department of Health,03/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 2,564.16 ",,,Other,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,GW Price Ltd,,,770453," 25,394.45 ",,,,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,Redbridge Produce & Flowers,,,DUR1211," 28,186.03 ",,,,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,Total Produce Plc,,,W11120131352," 29,438.06 ",,,,
Department of Health,Department of Health,03/02/2012,Conferences & seminars,CHIEF NURSING OFFICER,UNITE THE UNION,SME,Essex,CPHVA0068," 30,000.00 ",,HV Roadshows,Programme,13393
Department of Health,Department of Health,03/02/2012,Storage costs,"PSF POLICY, STRATEGY & FINANCE",WOCKHARDT UK LTD,LARGE,,2300000043," 30,602.90 ",,,,
Department of Health,Department of Health,03/02/2012,Professional fees,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB10300004775," 30,677.00 ",,Dudley & Walsall MH Partnership Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,03/02/2012,Printing,CDD CORPORATE DEVELOPMENT,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900086148," 31,313.45 ",,Xerox Management Fees 2011 - 2012,Admin,
Department of Health,Department of Health,03/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739252," 33,120.00 ",,Media Buying:C4L Jan campaign advertising with Asda ERG exemption reference M00238.,Programme,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,GW Price Ltd,,,770444," 33,588.04 ",,,,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,Redbridge Produce & Flowers,,,B11120131878," 35,929.34 ",,,,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,GW Price Ltd,,,770445," 37,540.70 ",,,,
Department of Health,Department of Health,03/02/2012,Fruit for Schools,Health Improvement & Protection,GW Price Ltd,,,770440," 38,418.79 ",,,,
Department of Health,Department of Health,03/02/2012,Other programme expenditure,Health Improvement & Protection,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12592724," 41,684.00 ",,"The NHS Information Centre (NHS IC) - To undertake central collation, analysis, publication and storage of the National Child Measurement Programme (NCMP) - 2011/12.",Programme,
Department of Health,Department of Health,03/02/2012,Mobile Phones,INFORMATICS,VODAFONE CORPORATE LTD,,,14353314," 42,119.59 ",,,,
Department of Health,Department of Health,03/02/2012,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605955," 69,471.96 ",,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,03/02/2012,Policy Payments,SOCIAL CARE,STAFFORDSHIRE POLICE AUTHORITY,PUBLIC,ST16 9JZ,F0003601," 140,246.00 ",,Staffordshire Police - Point of Arrest Liaison & Diversion Site for Children and Young People,Programme,
Department of Health,Department of Health,03/02/2012,Outsourcing Contract,NHS Improvement and Efficiency,CARERS FEDERATION LTD,VCS,NG7 7LJ,1678," 330,416.67 ",,The extension of the current ICAS contract for the provision of independent advocacy by The Carers Federation,Programme,
Department of Health,Department of Health,04/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12, 599.57 ,,,Other,
Department of Health,Department of Health,06/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 12,527.62 ",,,Other,
Department of Health,Department of Health,06/02/2012,Grants to non profit institutions (CUR),SOCIAL CARE,PRINCESS ROYAL TRUST FOR CARERS,VCS,IG8 8HD,ERS-452067-55661," 25,000.00 ",,Payment to the Princes Royal Trust for Carers - National Valuing Families Forum,Programme,
Department of Health,Department of Health,06/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739283," 74,219.68 ",,Media costs for campaign to raise awareness of the NHS 111 service,Programme,
Department of Health,Department of Health,06/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739284," 95,190.00 ",,EMO Smokefree Regional Marketing Agency Fees Quarter Four  ,Programme,
Department of Health,Department of Health,06/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739278," 106,700.90 ",,Change4Life Supermeals IPC press partnership ERG: M00238 ,Programme,
Department of Health,Department of Health,06/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS6/2/12," 249,352.21 ",,,Programme,
Department of Health,Department of Health,06/02/2012,Additions FT Financing Facility Loans,NHS FC,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-12335," 260,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Outsourcing Contract,NHS Improvement and Efficiency,South of England Advocacy Projects,VCS,TN34 1HL,SIN002229," 291,111.50 ",,The extension of the current ICAS contract for the provision of independent advocacy by SEAP,Programme,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,LS6 1PF,HAFS-12339," 390,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,DEVON PARTNERSHIP NHS TRUST,PUBLIC,EX2 5DW,HAFS-12337," 600,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,WESTON AREA HEALTH NHS TRUST,PUBLIC,BS23 4TQ,HAFS-12334," 1,000,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions FT Financing Facility Loans,NHS FC,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-12336," 1,536,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,BN7 2XW,HAFS-12333," 2,170,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,PUBLIC,GU16 5UJ,HAFS-12338," 2,551,000.00 ",,,Other,
Department of Health,Department of Health,06/02/2012,Additions-PDC permanent,NHS FC,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-12340," 17,540,000.00 ",,,Other,
Department of Health,Department of Health,07/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 8,023.31 ",,,Other,
Department of Health,Department of Health,07/02/2012,External Consultancy Fees,INFORMATICS,GS1 UK,,,14323637," 22,719.00 ",,,,
Department of Health,Department of Health,07/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14268300," 32,164.30 ",,,,
Department of Health,Department of Health,07/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14207182," 48,754.01 ",,,,
Department of Health,Department of Health,07/02/2012,Library services,Health Improvement & Protection,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739324," 51,837.00 ",,Reprint of babies immunisation leaflet/Imms at secondary school/Imms at 12 to 13 months,Programme,
Department of Health,Department of Health,07/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,738890," 119,261.29 ",,Lung cancer campaign - production of TV and press advertisements,Programme,
Department of Health,Department of Health,07/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739290," 354,732.00 ",,C4L supermeals Jan 2012 press advertising ERG: M00238 ,Programme,
Department of Health,Department of Health,08/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14378066,"-30,920.47 ",,,,
Department of Health,Department of Health,08/02/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2448001-21-FEB-12," 8,426.24 ",,,Other,
Department of Health,Department of Health,08/02/2012,Legal / Prof Fees,INFORMATICS,MILBANK TWEED HADLEY & MCCLOY LLP,,,14371306," 21,125.21 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007604," 22,301.68 ",,CPA for ESR Contract : ESR Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,08/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,738824," 23,707.34 ",,Media costs for campaign to raise awareness of the signs and symptoms of dementia,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007616," 25,000.00 ",,CPA for ESR Contract : ESR Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007607," 27,701.14 ",,CPA for ESR Contract - Smart Pass through costs,Programme,
Department of Health,Department of Health,08/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14378068," 28,728.00 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,METHODS CONSULTING,SME,WC2H 8AD,100014101," 30,666.64 ",,Extension to FPAS Contract - Methods Consultancy,Programme,13245
Department of Health,Department of Health,08/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,13746787," 30,920.47 ",,,,
Department of Health,Department of Health,08/02/2012,Policy Payments,WORKFORCE,OFFICE OF THE HEALTH PROFESSIONS ADJUDICATOR OHPA,LARGE,SE1 9BW,OPHA-01FEBRUARY2012," 33,273.00 ",,Funding for OHPA operational costs 11/12,Admin,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007609," 34,797.68 ",,CPA for ESR Contract - Smart Pass through costs,Programme,
Department of Health,Department of Health,08/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14378067," 35,112.00 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007608," 41,033.22 ",,CPA for ESR Contract - Smart Pass through costs,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007610," 42,370.70 ",,CPA for ESR Contract - Smart Pass through costs,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,PICKER INSTITUTE EUROPE,VCS,OX2 0JB,IN101122," 44,120.70 ",,NHS Staff Survey Coordination May 2011 to May 2014,Programme,13246
Department of Health,Department of Health,08/02/2012,Computer Maintenance,INFORMATICS,CSC COMPUTER SCIENCES LTD,,,14371173," 45,382.43 ",,,,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739336," 45,611.00 ",,COI - Undertake desk research and design stakeholder engagement events and deliberative research amongst the general public in relation to social care reform,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,Health Improvement & Protection,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,STAT003960," 49,999.88 ",,New Contract Sep 2011 to March 2012 THT Direct HIV information service.,Programme,
Department of Health,Department of Health,08/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007605," 59,034.82 ",,CPA for ESR and nLMS Contract - CCN 414 - ESR Warwick Accommodation Apr10 to Mar12,Programme,
Department of Health,Department of Health,08/02/2012,Addition Clearing - IT,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007613," 65,336.00 ",,"CPA for ESR Contract - Hardware Drawdown, CCN 176 Hardware Refresh & Pipeline Development FY11-12",Programme,
