Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,SHEFFIELD HALLAM UNIVERSITY,4000020282,30000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,RESEARCH & DEVELOPMENT COSTS,Academies Delivery Group,SHEFFIELD HALLAM UNIVERSITY,4000020283,46300
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,SPECIALIST SCHOOLS AND ACADEMIES TRUST,4000020284,152800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CURRENT GRANTS,Education Strategy and Improvement Group,SPECIALIST SCHOOLS AND ACADEMIES TRUST,4000020284,745962
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CONTRACT PROGRAMME EXPENDITURE,Young People Workforce Group,THE EMPLOYABILITY FORUM,4000020288,82000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,THE FOSTERING NETWORK,4000020289,32431.15
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,TNS UK LTD,4000020294,127466.35
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CAPITAL GRANTS,School Resources Group,TRELOAR TRUST,4000020296,65667.45
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,RESEARCH & DEVELOPMENT COSTS,Supporting Children and Young People Group 2,UNIVERSITY COLLEGE LONDON,4000020303,134492.96
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,PROFESSIONAL FEES,Education Strategy and Improvement Group,UNIVERSITY OF WOLVERHAMPTON,4000020304,321261.33
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,CURRENT GRANTS,Curriculum and Behaviour Group,V THE NATIONAL YOUNG VOLUNTEERS SERVICE,4000020305,735563
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,24.97
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,1.53
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,54.64
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,0.14
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,82.25
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,1.23
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Analysis and Research,VODAFONE CORPORATE,4000020306,4.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Analysis and Research,VODAFONE CORPORATE,4000020306,4.56
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,40.54
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,1.93
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,24.6
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,54.64
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,5.16
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,221.5
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,7.53
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,60.81
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,3.72
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,1.12
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,54.19
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,5.85
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,3.12
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,81.08
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,9.06
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,1.45
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,40.25
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,177.43
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,2.8
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,79.61
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,33
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,45.24
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,11.62
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,244.41
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,29.47
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Curriculum and Behaviour Group,VODAFONE CORPORATE,4000020306,19.98
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,0.07
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Standards Group,VODAFONE CORPORATE,4000020306,45.24
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Standards Group,VODAFONE CORPORATE,4000020306,0.3
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,4.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,1.61
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Delivery Group,VODAFONE CORPORATE,4000020306,126.32
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Delivery Group,VODAFONE CORPORATE,4000020306,2.32
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Finance Group Shared Services Schools and Category Management,VODAFONE CORPORATE,4000020306,38.19
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Finance Group Shared Services Schools and Category Management,VODAFONE CORPORATE,4000020306,43.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Chief Information Officer Group EFM,VODAFONE CORPORATE,4000020306,24.97
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Chief Information Officer Group EFM,VODAFONE CORPORATE,4000020306,0.36
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,1187.55
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,3368.6
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,371.15
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,-0.01
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Chief Information Officer Group,VODAFONE CORPORATE,4000020306,17.92
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,People and Change,VODAFONE CORPORATE,4000020306,25.43
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,People and Change,VODAFONE CORPORATE,4000020306,-0.02
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate Service Wider Modernisation,VODAFONE CORPORATE,4000020306,24.97
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,People and Change,VODAFONE CORPORATE,4000020306,229.35
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,People and Change,VODAFONE CORPORATE,4000020306,46.35
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,People and Change,VODAFONE CORPORATE,4000020306,49.94
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,People and Change,VODAFONE CORPORATE,4000020306,5.65
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,People and Change,VODAFONE CORPORATE,4000020306,209.45
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,People and Change,VODAFONE CORPORATE,4000020306,18.04
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,People and Change,VODAFONE CORPORATE,4000020306,145.12
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,People and Change,VODAFONE CORPORATE,4000020306,37.83
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,7.42
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,104.1
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,3.08
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,-0.01
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,School Resources Group,VODAFONE CORPORATE,4000020306,40.54
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,School Resources Group,VODAFONE CORPORATE,4000020306,3.62
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,101.35
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,1.53
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Free School Group,VODAFONE CORPORATE,4000020306,39.36
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Free School Group,VODAFONE CORPORATE,4000020306,9.98
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Free School Group,VODAFONE CORPORATE,4000020306,60.81
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Free School Group,VODAFONE CORPORATE,4000020306,11.02
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Delivery Group,VODAFONE CORPORATE,4000020306,182.28
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Delivery Group,VODAFONE CORPORATE,4000020306,34.66
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,147.76
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,21.81
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,24.97
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,0.56
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,250.28
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,33.69
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,163.33
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Education Strategy and Improvement Group,VODAFONE CORPORATE,4000020306,9.9
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Private Office,VODAFONE CORPORATE,4000020306,755.34
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Private Office,VODAFONE CORPORATE,4000020306,339.83
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,29.67
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,16.12
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Supporting Children and Young People Group 2,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Young People Workforce Group,VODAFONE CORPORATE,4000020306,596.05
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Young People Workforce Group,VODAFONE CORPORATE,4000020306,72.24
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,166.86
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Academies Policy and Schools Organisation Group,VODAFONE CORPORATE,4000020306,14.69
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,331.37
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,17.03
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,106.05
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,2.77
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,9.41
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,65.51
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,8.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,40.54
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,-0.02
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,81.08
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Qualifications Strategy and Reform Group,VODAFONE CORPORATE,4000020306,0.68
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Press Office Group,VODAFONE CORPORATE,4000020306,633.69
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Press Office Group,VODAFONE CORPORATE,4000020306,160.69
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Marketing Group,VODAFONE CORPORATE,4000020306,261.16
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Marketing Group,VODAFONE CORPORATE,4000020306,11.44
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Customer Contact and Business Development Group,VODAFONE CORPORATE,4000020306,179.49
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Customer Contact and Business Development Group,VODAFONE CORPORATE,4000020306,51.26
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Customer Contact and Business Development Group,VODAFONE CORPORATE,4000020306,98.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Customer Contact and Business Development Group,VODAFONE CORPORATE,4000020306,23.62
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,-0.01
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,212.69
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,119.33
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,45.24
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Corporate and Internal Communications Group,VODAFONE CORPORATE,4000020306,31.47
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Communications Strategy and Insight Group,VODAFONE CORPORATE,4000020306,20.27
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Communications Strategy and Insight Group,VODAFONE CORPORATE,4000020306,-0.01
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Internal Audit,VODAFONE CORPORATE,4000020306,139.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Internal Audit,VODAFONE CORPORATE,4000020306,27.37
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Group Legal Advisors Office,VODAFONE CORPORATE,4000020306,45.24
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,TELEPHONE CHARGES,Group Legal Advisors Office,VODAFONE CORPORATE,4000020306,0.7
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,14/04/2010,OFFICE MACHINERY HIRE & MAINTENANCE,Private Office,VODAFONE CORPORATE,4000020306,20.27
