Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000034430,66404.59,Software development services to support GOV.UK ,B11 2LE,Large,Programme,, ,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000034431,68626.3,Interim IT Specialists,SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Consultancy,GOVERNMENT PROPERTY UNIT,ETDE FM,3000034427,"89,777.80",Estate services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BUSINESS IN THE COMMUNITY,3000034407,"107,774.00",Decade of Social Action Grant ,N1 7RQ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000034419,"257,680.00",Advice Services Transition Programme administration costs,B15 1TR,Non-SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000034435,308841.6,National Citizen Service contract,RG27 7FR,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,26/03/13,Maintenance & Repairs - IT,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1642,"30,000.00",Technical support costs for spend analytics,EC2M 7AD,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000034449,"31,648.76",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000034449,"32,473.69",Estate services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000034456,"37,046.77",Accommodation service charges,YO1 7PX,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000034454,64910.49,Software development services to support GOV.UK ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,26/03/13,Legal Fees,Legal Services,Norton Rose,PINDOH 35873,"66,376.13",Legal services fee,SE1 2AQ,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FUTURE FOUNDATIONS,3000034502,"101,965.00",National Citizen Service grant,SW11 1TT,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SPORTTRAIN WALES LTD,3000034464,"103,777.00",National Citizen Service grant,SA1 6DY,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000034471,"124,800.00",Strategic Partners Transition Programme Grant ,SE1 7SJ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NCVO,3000034472,"125,000.00",Structural Reform Fund Grant ,N1 9RL,SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000034478,"129,372.36",Facilities Management Services,BN1 1HQ ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000034487,"141,887.00",Grant Fund Management costs in respect of the Social Action Fund,WC1H 8AG,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000034481,"145,107.00",Independent evaluation of National Citizen Service,EC1V OAX,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000034463,"154,166.00",Shared Services charge,FY5 3TA ,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000034449,"171,891.58",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,PFI Charge,CENTRAL BUDGETS,DE VERE VENUES LTD,3000034488,"282,983.11",Private Finance Initiative Charges,KT24 6DU,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000034449,"316,500.00",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,TNS UK LTD,3000034453,"401,474.50","""Community Life"" Survey cost",W5 1UA,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000034449,518086.8,Facilities Management Services,BN1  1HG,large,Programme,, ,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000034461,"1,808,725.20",National Citizen Service contract,RG27 7FR,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/13,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,1000724,"8,052,752.00",Grant funding to local infrastructure organisations,EC4A 1DE,Non-SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/13,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000034527,47087.34,Legal fees,WC2B 4TS,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/13,VACANT PROPERTIES - CASH PAID,CENTRAL BUDGETS,HM REVENUE & CUSTOMS,3000034573,47896.43,Rent for accommodation,BD98 1YY,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000034509,48289.58,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000034617,"25,000.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Training,INTELLIGENCE SECURITY AND RESILIENCE,NATIONAL ARCHIVES,3000034641,"32,036.00",Training programme development costs ,TW9 4DU,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,ATOS ORIGIN IT SERVICES UK LTD,3000034637,47648,Cost of hosting GOV.UK,NW1 3HG,non-sme,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Resource Grants to Central Government Bodies,OFFICE FOR CIVIL SOCIETY,MINISTRY OF JUSTICE,3000291,"50,000",Development of a publicly available database of Voluntary Community and Social Enterprise sector (VCSE) organisations currently providing offender rehabilitation services,SW1A 0PW,Government Department,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Supplies and Services,OFFICE FOR CIVIL SOCIETY,M4C,3000034638,"125,636.78","Media Partnership, Brand awareness, advertising, creative and design services for the National Citizenship Service",WC1X 8RX,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Resource Grants to Local Authorities,INTELLIGENCE SECURITY AND RESILIENCE,DYFED POWYS POLICE,1000727,"200,000.00",Direct Electronic Incident Transfer grant ,SW31 2PF,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Land and Buildings,ESTATE MANAGEMENT,JONES LANG LASALLE LTD,1000733,"290,845.50",Rent for accommodation,BS8 9AQ,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Land and Buildings,ESTATE MANAGEMENT,JONES LANG LASALLE LTD,1000732,"303,600.00",Rent for accommodation,BS8 9AQ,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,DILAPIDATIONS - RELEASE OF PROVISION ,ESTATE MANAGEMENT,DAVITT JONES BOULD,1000737,"600,000.00",Estate services,TA1 4EB,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Land and Buildings,ESTATE MANAGEMENT,DAVITT JONES BOULD,1000737,"2,700,000.00",Estate services,TA1 4EB,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000728,"2,803,126.16",MyCSP Pension administration costs,LS2 7UA,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/03/13,Consultancy,NEXT GENERATION HUMAN RESOURCES,HOME OFFICE,3000290,"9,787,937.00",Redistribution of departmental contributions to the cost of Civil Service HR Expert Services,E14 5LB,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
