Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,04/04/2012,Grants to non profit institutions (CUR),Health Protection,YOUTH SPORT TRUST,VCS,LE11 3QF,ERS-458374-57761,1600000,,2012-13 Youth Sport Trust - Change4Life School Sports Clubs extention,Programme,
Department of Health,Department of Health,04/04/2012,Utilisation-Hep C,Health Protection,MFET LTD,VCS,SW1H 0QS,CHAPS4/4/12,1845058.35,,MFET Ltd Funding for 2012/13,Programme,
Department of Health,Department of Health,04/04/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14725955,"31,150.00",,,,
Department of Health,Department of Health,04/04/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14725957,"63,795.00",,,,
Department of Health,Department of Health,04/04/2012,Other Gen Supplies & Srv,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14725951,"64,485.00",,,,
Department of Health,Department of Health,04/04/2012,Other Gen Supplies & Srv,INFORMATICS,SPECIALIST COMPUTER CENTRES PLC,,,14700750,"67,483.68",,,,
Department of Health,Department of Health,04/04/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14725953,"70,300.00",,,,
Department of Health,Department of Health,04/04/2012,Other Gen Supplies & Srv,INFORMATICS,SPECIALIST COMPUTER CENTRES PLC,,,14700751,"76,687.50",,,,
Department of Health,Department of Health,04/04/2012,Computer Hardware Purch,INFORMATICS,COMPUTACENTER UK LTD,,,14700716,"228,397.06",,,,
Department of Health,Department of Health,04/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,11935.15,,,Other,
Department of Health,Department of Health,04/04/2012,Outsourcing Contract,NHS MEDICAL DIRECTOR,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12592906,80000,,Provision of tracing & flaffing services for the annual processing of national statistics for Cancer Registration 2011 - 2012,Programme,
Department of Health,Department of Health,04/04/2012,Admin Revenue Grant-in-Aid ENDPBs,"SF&NHS Finance, Strategy, Quality and Analysis (part of J5180)",CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASH DRAWDOWN APRIL 2012,4750000,,CQC revenue payments 2012/13,Admin,
Department of Health,Department of Health,04/04/2012,Stock Essential Medicines Additions,"SF&NHS Medicines, Pharmacy & Industry (part of J5180)",BAXTER HEALTHCARE LTD,LARGE,,32053179,43754.4,,,,
Department of Health,Department of Health,04/04/2012,Contractor/Staff Substitution,SF&NHS Provider Transition (part of J5180),HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12592822,4792,,(DN) Add £4792 to PO: 469580 for IC - Quarterly payments - QTR4 invoice ,Programme,
Department of Health,Department of Health,04/04/2012,Contractor/Staff Substitution,SF&NHS Provider Transition (part of J5180),HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12592822,25808.76,,PROMs data controller - operational fees,Programme,
Department of Health,Department of Health,04/04/2012,Policy Payments,SOCIAL CARE,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12592752,25000,,SLA Community Mental Health Activities Data Collection,Programme,
Department of Health,Department of Health,04/04/2012,Grants to non profit institutions (CUR),SOCIAL CARE,HEARING LINK,VCS,BN23 5UZ,ERS-458355-57744,67657,,2012-13 - IESD - Hearing Link - Project: Rehabilitation for People with Acquired Hearing Loss - AIMS 1757170,Programme,
Department of Health,Department of Health,05/04/2012,Contractor/Staff Substitution,Group Operations & Assurance,CAPITA RESOURCING LTD,LARGE,DL1 9HN,WN70114983,42281.4,,Capita CIPHER Specialist Contractor Kevin Rampling Interim HR Business Partner,Admin,
Department of Health,Department of Health,05/04/2012,Mobile Phones,INFORMATICS,VODAFONE CORPORATE LTD,,,14733804,"42,300.73",,,,
Department of Health,Department of Health,05/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,840.46,,,Other,
Department of Health,Department of Health,05/04/2012,Outsourcing Contract,NHS Improvement and Efficiency,POHWER,VCS,SG1 5DZ,SINV898,354709,,The extension of the current ICAS contract for the provision of independent advocacy by POhWER,Programme,
Department of Health,Department of Health,05/04/2012,Policy Payments,NHS MEDICAL DIRECTOR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,4000309812,29159.74,,Death Certification Programme.  Sheffield Pathfinder pilot charges.  Quarter 4.  Invoice 4000309812.,Programme,
Department of Health,Department of Health,05/04/2012,Policy Payments,NHS MEDICAL DIRECTOR,GLOUCESTERSHIRE PCT,PUBLIC,GL2 8DN,41542247,37346.4,,Death Certification Programme. Gloucestershire Community Pilot charges. April 2011 to Jan 2012. Invoice 41542247,Programme,
Department of Health,Department of Health,06/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,246.38,,,Other,
Department of Health,Department of Health,07/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,19.95,,,Other,
Department of Health,Department of Health,10/04/2012,Publicity & advertising,External Relations Directorate,EMAP LTD,LARGE,NW1 7EJ,AMI-NUTM0112-115473,23200,,"Health Visitor recruitment,  Nursing Times, Q4",Programme,
Department of Health,Department of Health,10/04/2012,Outsourcing Contract,External Relations Directorate,METHODS CONSULTING,SME,WC2H 8AD,100017766,43170,,Extension to FPAS Contract - Methods Consultancy,Programme,13245
Department of Health,Department of Health,10/04/2012,Publicity & advertising,External Relations Directorate,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,91,448855.22,,"Production of TV, Print, Radio and online adverts and creative assets for Second hand smoke and Autumn campaigns",Programme,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230269RI,9423.98,,Wellington House - Upgrade existing Analogue Security Radio System to new Digital Radio System. Ref: 0004,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230269RI,9424,,Skipton House - Uppgrade existing Analogue Security Radio System to new Digital Radio System. Ref: 0004,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230269RI,9424,,Richmond House - Upgrade existing Analogue Security Radio System to new Digital Radio System. Ref: 0004,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230259RI,28172.83,,"Skipton House - Roof Boiler House, Ref:307487",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230253RI,30076.14,,Skipton House - Ground Floor Entrance Door Heated Air Curtains,Admin,
Department of Health,Department of Health,10/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230257RI,30854.23,,SKH - Meeting rooms and Tea point for NRES in Ground Floor Library Ref:15661,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230261RI,36909.11,,"Skipton House - Scenic Lift Motor Rooms (Upgrade Scenic lifts 6,7 Divertors) Ref:310160",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230263RI,36909.11,,Skipton House - Scenic Lift Motor Rooms (Upgrade Scenic lifts 9 & 10 Divertors) Ref:,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230268RI,45571.18,,Richmond House - 2nd Floor - Cathedral Room Refurbishment. Ref: 15919,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230262RI,51730.13,,Wellington House - Zip Hydro Tap System (Replace Existing Water Star Hot / Cold Water Dispensers) Ref:310779,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230258RI,59996.02,,"Richmond House - All Floors Toilet Risers, Ref:JDE306481.",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230260RI,72267.58,,"SKH - Ground Floor Library - Reposition of 50 no power floor boxes, re-carpet tile and build new IT room. Ref:15778",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230264RI,72834.46,,"Richmond House - Ground Floor - Well Being Areas 1 and 2, Ref:JDE307493",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230256RI,73616.18,,Richmond House - To replace Existing Water Star Hot / Cold Water Dispensers with New Zip Hydrotap BC 100/125 System. Emcor Ref:0005,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230265RI,91981.1,,"Richmond House - Ground Floor- Male and Female Toilet-Showers Terrace Works, Ref:JDE307494",Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230267RI,146764.91,,Wellington House - York Chiller Refurbishment.,Admin,
Department of Health,Department of Health,10/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230266RI,149802.7,,Richmond House - Emcor - Ground Floor Old EPD Area Refurbishment Ref:JDE307491,Admin,
Department of Health,Department of Health,10/04/2012,CIP Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230252RI,396417.26,,Skipton House - Refurbish Inverted Roof. Proj.ref:J006801J00,Admin,
Department of Health,Department of Health,10/04/2012,Computer Software/License,INFORMATICS,INTERSYSTEMS EUROPE,,,14569179,"423,460.07",,,,
Department of Health,Department of Health,10/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,2707.93,,,Other,
Department of Health,Department of Health,10/04/2012,Additions-PDC permanent,NHS FC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,PUBLIC,MK41 ORG,HAFS-12936,4850000,,,Other,
Department of Health,Department of Health,10/04/2012,Outsourcing Contract,NHS Improvement and Efficiency,South of England Advocacy Projects,VCS,TN34 1HL,SIN002265,291111.5,,The extension of the current ICAS contract for the provision of independent advocacy by SEAP,Programme,
Department of Health,Department of Health,10/04/2012,Outsourcing Contract,NHS Improvement and Efficiency,CARERS FEDERATION LTD,VCS,NG7 7LJ,1698,330416.67,,The extension of the current ICAS contract for the provision of independent advocacy by The Carers Federation,Programme,
Department of Health,Department of Health,10/04/2012,Recruitment,PS&F MPI (part of PS&F J5180),PENNA PLC,LARGE,EC3R 8EE,431018,108000,,PSBC 1759F Commercial Advisor (CSE3),Admin,13508
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,RAND EUROPE CIC,SME,CB4 1YG,12172/10073-24,35972.69,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-458400-57784,50000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-458401-57785,50000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-458410-57786,51250,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,ICNARC VOLUNTARY ORGANISATION,VCS,WC1H 9HR,ERS-458422-57787,61702.8,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-458411-57782,68847,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-458404-57789,75000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-458408-57791,75000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,PLYMOUTH UNIVERSITY OF,PUBLIC,PL4 8AA,ERS-458414-57795,75000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,QUEEN MARY AND WESTFIELD COLLEGE,PUBLIC,E1 2AX,ERS-458415-57796,98280,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-458403-57788,100000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,SOUTHAMPTON UNIVERSITY OF,PUBLIC,SO17 1BJ,ERS-458417-57798,100000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,SHEFFIELD UNIVERSITY OF,PUBLIC,S10 2UH,ERS-458416-57797,101766.5,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-458409-57792,109846,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-458400-57784,114235,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-458401-57785,114743.5,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-458406-57790,118750,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-458413-57794,125000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,WARWICK UNIVERSITY OF,PUBLIC,CV4 7AL,ERS-458419-57799,125000,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-458412-57793,130800,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,YORK UNIVERSITY OF,PUBLIC,YO10 5DD,ERS-458421-57800,133185,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-458413-57794,134840,,0,Programme,
Department of Health,Department of Health,10/04/2012,Research & development,Research and Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-458418-57783,508592,,0,Programme,
Department of Health,Department of Health,10/04/2012,Policy Payments,"SF&NHS Finance, Strategy, Quality and Analysis (part of J5180)",OFFICE FOR NATIONAL STATISTICS ONS,PUBLIC,NP10 8XG,1024481,500000,,Funding to ONS in 2011/12 for the Migration Statistics Improvement Programme.,Programme,
Department of Health,Department of Health,10/04/2012,Storage costs,"SF&NHS Medicines, Pharmacy & Industry (part of J5180)",ALLIANCE PHARMACEUTICALS LTD,LARGE,,225211,58450,,,,
Department of Health,Department of Health,10/04/2012,Storage costs,"SF&NHS Medicines, Pharmacy & Industry (part of J5180)",MYLAN,LARGE,,1800000978,89400.11,,,,
Department of Health,Department of Health,10/04/2012,Storage costs,"SF&NHS Medicines, Pharmacy & Industry (part of J5180)",TEVA UK LTD,LARGE,,2310245201,272556.04,,,,
Department of Health,Department of Health,10/04/2012,Outsourcing Contract,SOCIAL CARE,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,1000002506,15000,,National Learning Sets - extension to PO 492275,Admin,
Department of Health,Department of Health,10/04/2012,Research & development,SOCIAL CARE,IPSOS MORI UK LTD,LARGE,HA1 1PT,12000547,60000,,DH Stakeholder Survey,Admin,
Department of Health,Department of Health,10/04/2012,Contractor/Staff Substitution,SOCIAL CARE,IPSOS MORI UK LTD,LARGE,HA1 1PT,12000494,65000,,DH Stakeholder Survey,Programme,
Department of Health,Department of Health,10/04/2012,Outsourcing Contract,SOCIAL CARE,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,1000002506,150000,,Health & Wellbeing Programme - National Learning Sets,Admin,
Department of Health,Department of Health,11/04/2012,Professional fees,External Relations Directorate,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,3612,63502.8,,Recharges for letter to members informing them of the changes from RPI to CPI,Admin,
Department of Health,Department of Health,11/04/2012,Professional fees,External Relations Directorate,GOVERNMENT ACTUARYS DEPARTMENT (GAD),PUBLIC,EC4A 1AB,SINV/00016033,107400.78,,CPA 472305 Inv 16033 dated 100112 Actuarial services for period ending 31 December 2011,Admin,
Department of Health,Department of Health,11/04/2012,Professional fees,External Relations Directorate,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,4028,1205025.6,,Recharge for Choice Project Quarter 2 payment,Programme,
Department of Health,Department of Health,11/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230249RI,30448,,BMS Optimisation & Energy Awareness and Energy Dashboard Display,Admin,
Department of Health,Department of Health,11/04/2012,Printing,Group Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900088332,31313.45,,Xerox Management Fees 2011 - 2012,Admin,
Department of Health,Department of Health,11/04/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230250RI,34293.34,,Richmond House - English Heritage Inspection Works (Ref:JDE 21281),Admin,
Department of Health,Department of Health,11/04/2012,CIP Addition Clearing - OLB,Group Operations & Assurance,OFFICE PROJECTS LTD,SME,SW15 2JJ,9320,35737.1,,Buckingham Palace Road Refurbishment (Construction) - Final.,Admin,
Department of Health,Department of Health,11/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230012RI,44750.34,,"Richmond House - Extra Variation Works Dec 2011 - Mar 2012 Ref:VO4,VO7, VO8, VO10",Admin,
Department of Health,Department of Health,11/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230012RI,54751.75,,"Skipton House - Extra Variation Works Dec 2011 - Mar 2012 Ref:VO1,VO5, VO, VO12",Admin,
Department of Health,Department of Health,11/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230012RI,54751.75,,"Wellington House - Extra Variation Works Dec 2011 - Mar 2012 Ref:VO2,VO3, VO6, VO11",Admin,
Department of Health,Department of Health,11/04/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230272RI,57663.75,,DH - FM Contract Variable Operational Costs - 31st March 2012 (Re:PO:486947),Admin,
Department of Health,Department of Health,11/04/2012,Addition Clearing - F&F,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230251RI,64108.44,,Skipton House 1st Floor Areas A & B - Conference Rooms / Corridors Carpet (Emcor Ref: 0003),Admin,
Department of Health,Department of Health,11/04/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00230013RI,142228.26,,Maple Street - Provision of FM Services Jan 2012 - Mar 2012 Ref:V0/020,Admin,
Department of Health,Department of Health,11/04/2012,Outsourcing Contract,Health Protection,ERHIT LTD,SME,M12 4JD,S0011,57750,,"Provision, maintenance and support of 2 blood databases from 15th December 2011 to 31st March 2012",Programme,13385
Department of Health,Department of Health,11/04/2012,Outsourcing Contract,Health Protection,SAPIENT LTD,LARGE,E14 9GE,24687,89175,,EESSI Project - Flexible Resource statement of work SOW 105/CR07/PID57714,Programme,
Department of Health,Department of Health,11/04/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14746749,"38,958.00",,,,
Department of Health,Department of Health,11/04/2012,Computer Maintenance,INFORMATICS,COMPUTACENTER UK LTD,,,14739852,"41,756.21",,,,
Department of Health,Department of Health,11/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,8843.14,,,Other,
Department of Health,Department of Health,11/04/2012,Outsourcing Contract,NHS MEDICAL DIRECTOR,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP HQIP,VCS,EC3V 5AW,S01067,135931.65,,"Invoice no: SO1067 CORP Year 2 Running costs,audit work. Includes additional facilities charges NCEPOD & Lot 3 portal costs",Admin,
Department of Health,Department of Health,11/04/2012,Outsourcing Contract,PS&F MPI (part of PS&F J5180),THE FAMILY DOCTOR ASSOCIATION,VCS,OL20 4NN,FDA022,31575,,Support to the implementation of GP commissioning - FDA,Admin,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-458510-57804,12628,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,ERS-458520-57809,30953,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-458516-57816,36716,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,WHITTINGTON HOSPITAL NHS TRUST,PUBLIC,N19 5NF,ERS-458508-57803,37143,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-458509-57805,37167.7,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-458521-57813,43631,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-458507-57808,44675,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-458510-57804,55665,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-458518-57815,87387,,0,Programme,
Department of Health,Department of Health,11/04/2012,Research & development,Research and Development,QUEEN MARY AND WESTFIELD COLLEGE,PUBLIC,E1 2AX,ERS-458515-57817,111581,,0,Programme,
Department of Health,Department of Health,11/04/2012,Rates,"SF&NHS Procurement, Investment and Commercial (part of J5180)",OXFORD CITY COUNCIL,PUBLIC,OX1 1BX,711877379/2012/13,35075,,"SO5400 - GRD Floor., 4630 Kingsgate, Oxford Business Park South, Garsington Road, Oxford, Oxfordshire OX4 2SU  - ACC No - 711877379 -Oxford City Council - Non Domestic Rates",Programme,
Department of Health,Department of Health,11/04/2012,Outsourcing Contract,"SF&NHS Procurement, Investment and Commercial (part of J5180)",RAMSAY HEALTH CARE UK OPERATIONS LTD TA EUXTON HALL HOSPITAL,LARGE,PR7 6DY,64,2917420.71,,Clinical services under E05 Cumbria and Lancs contract,Programme,
Department of Health,Department of Health,11/04/2012,Professional fees,SOCIAL CARE,ECOTEC RESEARCH AND CONSULTING LTD,LARGE,B1 2RA,INV10505,53992.8,,Fund to support volunteering in health and social care procurement of 'Health and Social Care Volunteering Fund Manager',Programme,
Department of Health,Department of Health,12/04/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-116,227888.4,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme,
Department of Health,Department of Health,12/04/2012,Publicity & advertising,External Relations Directorate,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739685,298537,, TV airtime for the Feb-March 2012 Change4 Life alcohol campaign. ,Programme,
Department of Health,Department of Health,12/04/2012,Rates,Group Operations & Assurance,READING BOROUGH COUNCIL,PUBLIC,RG1 7TD,51134617/10/03/2012,30092,,"Premier House - Annual  Business Rate 2012 - 2013 @ £100,302 Ref:51134617",Admin,
Department of Health,Department of Health,12/04/2012,Rates,Group Operations & Assurance,LAMBETH LONDON BOROUGH COUNCIL,PUBLIC,SW2 1RW,36080133135016/14/03/2012,34713,,"Wellington House - Business Improvement District Levy Rate (BID Levy) 2012 - 2013 @ £34,713 Ref:390008117",Admin,
Department of Health,Department of Health,12/04/2012,Conferences & seminars,Group Operations & Assurance,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,787917,51820.67,,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,12/04/2012,Conferences & seminars,Group Operations & Assurance,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,787579,54118.8,,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,12/04/2012,Rates,Group Operations & Assurance,WESTMINSTER CITY COUNCIL,PUBLIC,WC2N 6NU,400871826/15/03/2012,473220,,"Richmond House - Annual  Business Rate 2012 - 2013 @ £473,220 per quarter Ref:400871826",Admin,
Department of Health,Department of Health,12/04/2012,Rates,Group Operations & Assurance,SOUTHWARK LONDON BOROUGH COUNCIL,PUBLIC,SE17 1RX,NN25560080000001/12/03/2012,521020,,"Skipton House - Annual  Business Rate 2012 - 2013 @ £521,020 per quarter Ref:6323717",Admin,
Department of Health,Department of Health,12/04/2012,Rates,Group Operations & Assurance,LAMBETH LONDON BOROUGH COUNCIL,PUBLIC,SW2 1RW,325683913/15/03/2012,1247580,,"Wellington House - Annual  Business Rate 2012 - 2013 @ £311,895 per quarter Ref:325683913",Admin,
Department of Health,Department of Health,12/04/2012,Legal / Prof Fees,INFORMATICS,DLA PIPER UK LLP,,,14760503,"34,441.15",,,,
Department of Health,Department of Health,12/04/2012,External Consultancy Fees,INFORMATICS,DELOITTE MCS LTD,,,14538633,"206,499.29",,,,
Department of Health,Department of Health,12/04/2012,Computer Software/License,INFORMATICS,CSC COMPUTER SCIENCE,,,14754381,"232,879.26",,,,
Department of Health,Department of Health,12/04/2012,Service charge,INFORMATICS,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003175544,1231575.8,,PACS East Cluster Store Service Charges FY 2011/12,Programme,
