Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction,Amount
DEFRA,The Environment Agency,05-May-11,Construction Supplies,South East Capital WiP,ArcelorMittal Commercial RPS UK Ltd,2257817,"38,263.24"
DEFRA,The Environment Agency,05-May-11,Construction Service Providers,Construction work in progress,Arcadis AYH,2257816,"58,401.64"
DEFRA,The Environment Agency,26-May-11,Construction Service Providers,Construction Work in progress,Arcadis AYH,2259550,"41,215.30"
DEFRA,The Environment Agency,10-May-11,Construction Service Providers,North East & South East Construction work in progress,Arcadis AYH,2258077,"38,322.98"
DEFRA,The Environment Agency,03-May-11,Construction Service Providers,Construction work in progress,Arcadis AYH,2257552,"35,367.10"
DEFRA,The Environment Agency,17-May-11,Environmental Services,North West Ops Delivery & Capital,Aquajet GB Ltd,2258612,"66,701.86"
DEFRA,The Environment Agency,10-May-11,Waste Management Services,"E and B Water, Land & Air",AMEC Nuclear UK Ltd,2258073,"72,600.00"
DEFRA,The Environment Agency,17-May-11,Waste Management Services,North West Nuclear Regulation Mgr,AMEC Nuclear UK Ltd,2258608,"35,779.81"
DEFRA,The Environment Agency,26-May-11,Main Contractors,Construction work in progress,Amco Engineering,2259546,"71,259.72"
DEFRA,The Environment Agency,03-May-11,"Marine, Coastal & Inland Waterways Services & Main Contractors","Flood Risk, Ops Delivery & Construction work in progress",Amco Engineering,2257549,"49,321.95"
DEFRA,The Environment Agency,05-May-11,"Marine, Coastal & Inland Waterways Services",North East Ops & Capital,Amco Engineering,2257810,"44,121.09"
DEFRA,The Environment Agency,19-May-11,Building Management,FM Operating Unit - Northern,Amas Ltd,2258953,"141,465.00"
DEFRA,The Environment Agency,12-May-11,Purchase,Head Office Capital WiP,Allied Vehicles Ltd,2258319,"62,340.00"
DEFRA,The Environment Agency,05-May-11,Pathology,National Labs Service,Agilent Technologies UK Ltd,2257802,"30,117.60"
DEFRA,The Environment Agency,19-May-11,Construction Service Providers & Environmental Materials,Nat Trading and Reg Services & Head Office Incident Management,AEA Technology Plc,2258946,"48,288.60"
DEFRA,The Environment Agency,24-May-11,Hardware,Thames Capital WiP,Adsyst Automation Ltd,2259188,"163,283.29"
DEFRA,The Environment Agency,03-May-11,Purchase,South East Capital WiP,Adsyst Automation Ltd,2257536,"39,585.55"
