Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Contract Number,Publish/Redact,Project Code
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-508081-82413,39846,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-508083-82434,135841,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-508083-82434,83333,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-508083-82434,83333,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-508083-82434,126799,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,HAFS-16212,5000000,,Publish,
,,14/11/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-508109-82581,53820.54,,Publish,
,,14/11/2013,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,PUBLIC,OX4 2GX,ERS-508110-82583,143769.33,,Publish,
,,14/11/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-508114-82584,76568,,Publish,
,,14/11/2013,Other creditors (ST),DG: CENTRAL TECHNICAL,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,PAID TO DH IN ERROR,133646,,Publish,
,,15/11/2013,Outsourcing Contract,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,1000020511,92881,,Publish,
,,15/11/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,419949,50347,,Publish,
,,15/11/2013,ENDPBs Admin Revenue Grant in Aid,DG: ERD,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH052,250000,,Publish,
,,18/11/2013,Additions PDC Revenue Support NHS T Permenant,DG: CENTRAL TECHNICAL,WESTON AREA HEALTH NHS TRUST,PUBLIC,BS23 4TQ,HAFS-16189,1450000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,BARNET & CHASE FARM HOSPITALS NHS TRUST,PUBLIC,EN5 3DJ,HAFS-16190,5000000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,PL26 6AD,HAFS-16191,401000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,PUBLIC,DL3 6HX,HAFS-16192,170000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,HAFS-16193,1014000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,N,HAFS-16194,250000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CW1 4QJ,HAFS-16195,3000000,,Publish,
,,18/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,UB8 3NN,HAFS-16196,1430000,,Publish,
,,18/11/2013,Additions NHS Trust Capital Investment Loans,DG: CENTRAL TECHNICAL,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,PUBLIC,PR8 6PT,HAFS-16197,1000000,,Publish,
,,19/11/2013,Addition Clearing - SW LIC,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,1210005601,14218.74,,Publish,
,,19/11/2013,Service charge,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,1210005601,63126.82,,Publish,
,,19/11/2013,Service charge,DG: GOAD,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,OL6 9RW,3110001666,244662.56,,Publish,
,,19/11/2013,Addition Clearing - SW LIC,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,312741,34755.61,,Publish,
,,19/11/2013,Service charge,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE22 3NE,312741,143106.03,,Publish,
,,20/11/2013,Outsourcing Contract,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,125948681,36000,,Publish,
,,20/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3125048,308000,,Publish,
,,20/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3125048,4000,,Publish,
,,20/11/2013,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3125048,1000,,Publish,
,,20/11/2013,Outsourcing Contract,DG: PHD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,4000368602,49635.57,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,PUBLIC,N18 1QX,HAFS-16211,5902000,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,CA2 7HX,HAFS-16210,5945000,,Publish,
,,20/11/2013,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,PUBLIC,OX4 2LH,ERS-508423-82726,27545,,Publish,
,,20/11/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-508427-82685,654374,,Publish,
,,20/11/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-508444-82723,137820,,Publish,
,,20/11/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-508462-82682,25179,,Publish,
,,20/11/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-508474-82684,2051458,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16209,223000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Permenant,DG: CENTRAL TECHNICAL,MID ESSEX HOSPITAL SERVICES NHS TRUST,PUBLIC,CM8 2TT,HAFS-16208,5000000,,Publish,
,,22/11/2013,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,PUBLIC,SW17 0QT,ERS-508666-82841,45746,,Publish,
,,22/11/2013,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-508676-82842,95379,,Publish,
,,22/11/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,M25 3BL,ERS-508677-82846,53599,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS FT Temporary,DG: CENTRAL TECHNICAL,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,PUBLIC,SL2 4HL,HAFS-16207,3600000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,GEORGE ELIOT HOSPITAL NHS TRUST,PUBLIC,CV10 7DJ,HAFS-16206,1500000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,EALING HOSPITAL NHS TRUST,PUBLIC,UB1 3HWP,HAFS-16205,2000000,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QY,HAFS-16204,510000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,HP7 0JD,HAFS-16203,10000000,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,FY3 8NR,HAFS-16202,139000,,Publish,
,,25/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16201,470000,,Publish,
,,25/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,HAFS-16200,4000000,,Publish,
,,25/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,THE WALTON CENTRE NHS FOUNDATION TRUST,PUBLIC,L9 7LJ,HAFS-16199,1500000,,Publish,
,,25/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16198,160000,,Publish,
,,01/11/2013,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00299930RI,-0.02,,Publish,
,,01/11/2013,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00299932RI,-0.01,,Publish,
,,01/11/2013,Conferences & seminars,DG: CENTRAL TECHNICAL,DELOITTE,LARGE,MK9 1FD,1110941335,1888.98,,Publish,
,,01/11/2013,Consultancy/Professional Advice,DG: CENTRAL TECHNICAL,DELOITTE,LARGE,MK9 1FD,1110941335,168000,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Total Produce (Bristol),,,B13100131865,28192.22,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Total Produce (Bristol),,,B13100131801,28923.48,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Total Produce (Bristol),,,B13100131933,32041,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Peacheys Catering Services Ltd,,,NHS1013-316,27714.8,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Peacheys Catering Services Ltd,,,NHS1013-306,25682.66,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Peacheys Catering Services Ltd,,,NHS1013-935,45747.54,,Publish,
,,29/11/2013,"SFVS - product & distribution cost, during October 2013",DG: PHD,Peacheys Catering Services Ltd,,,NHS1013-881,87744.13,,Publish,
,,29/11/2013,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805242723,178459.2,,Publish,
,,29/11/2013,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805242723,15895.8,,Publish,
,,29/11/2013,Outsourcing Contract,DG: SCLGCP,BDO LLP,LARGE,W1U 7EU,1222513,43584.65,13870,Publish,
,,28/11/2013,Research & development,DG: RDD,RAND EUROPE CIC,SME,CB4 1YG,14018/10073-43,67420.13,,Publish,
,,01/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00301882RI,171387.23,,Publish,
,,01/11/2013,Expense clearing GPC (ST),DG: CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3885001-06-NOV-13,38950.55,,Publish,
,,01/11/2013,Storage costs,DG: SFNHS,TEVA UK LTD,LARGE,,2310322006,236147.27,,Publish,
,,01/11/2013,Storage costs,DG: SFNHS,TEVA UK LTD,LARGE,,2310322006,35076.73,,Publish,
,,04/11/2013,Travel & subsistence non staff,DG: GOAD,PA CONSULTING SERVICES LTD,LARGE,SG8 6DP,10100412,141.6,,Publish,
,,04/11/2013,Expense clearing GPC (ST),DG: CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3885001-06-NOV-13,1232.3,,Publish,
,,04/11/2013,Outsourcing Contract,DG: SFNHS,CAPITA BUSINESS SERVICES LTD,LARGE,SW1H 0XA,93244490,262826,,Publish,
,,27/11/2013,Printing,DG: GOAD,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900112825,29389.66,,Publish,
,,05/11/2013,Other programme expenditure,DG: SCLGCP,FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS05/11/13,88170,,Publish,
,,05/11/2013,Service charge,DG: GOAD,CAPITA BUSINESS SERVICES LTD,LARGE,DL1 9HN,93169265,6480,,Publish,
,,05/11/2013,Outsourcing Contract,DG: SCLGCP,ECORYS UK LTD,SME,B1 2RA,INV11300,83559.08,,Publish,
,,06/11/2013,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584142067,41769,,Publish,
,,07/11/2013,Utilities,DG: GOAD,EDF ENERGY PLC,LARGE,PL3 5XQ,0021-18389205,40326.86,,Publish,
,,07/11/2013,Revenue Grants to non-profit institutions,DG: SCLGCP,THE ROYAL COLLEGE OF NURSING OF THE UK,PUBLIC,W1G 0RN,ERS-507572-82021,40000,,Publish,
,,07/11/2013,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,PUBLIC,,ERS-507580-82041,532000,,Publish,
,,07/11/2013,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009893,597588.11,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009893,26036.32,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009894,65668.95,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009895,104218.75,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009895,126646.13,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009895,2743429.06,,Publish,
,,07/11/2013,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009951,163467.87,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009951,7122.13,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010016,22396.25,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010016,669.01,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010017,29395.89,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010018,23065.26,,Publish,
,,07/11/2013,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010020,51938.4,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010020,2262.9,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010021,64990.46,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010022,104218.75,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010022,126646.13,,Publish,
,,07/11/2013,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV010022,2772854.35,,Publish,
,,08/11/2013,Outsourcing Contract,DG: GOAD,RUSSELL REYNOLDS ASSOCIATES LTD,LARGE,SW1Y 4HZ,45127,26071.55,,Publish,
,,08/11/2013,Research & development,DG: RDD,RAINBOW MEDICAL ENGINEERING LTD,SME,SG6 1RR,56,34364.76,,Publish,
,,08/11/2013,Research & development,DG: RDD,QUANTUMDX GROUP LTD,SME,CR8 4EJ,DH08/LS-1010-10014,76563,,Publish,
,,27/11/2013,Professional fees,DG: SFNHS,DELOITTE,LARGE,EC4A 3BZ,1110985131,26410.18,,Publish,
,,11/11/2013,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137.,265539.64,,Publish,
,,11/11/2013,Contractor/Staff Substitution,DG: SFNHS,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1354089242,84660,13812,Publish,
,,12/11/2013,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-308,251790.06,,Publish,
,,12/11/2013,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-308,18877.58,,Publish,
,,26/11/2013,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-310,13538.42,,Publish,
,,26/11/2013,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-310,91654.3,,Publish,
,,26/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00304277RI,23742.02,,Publish,
,,25/11/2013,Storage costs,DG: SFNHS,BAXTER HEALTHCARE LTD,LARGE,,032156932,-0.01,,Publish,
,,25/11/2013,Storage costs,DG: SFNHS,BAXTER HEALTHCARE LTD,LARGE,,032156932,855073.05,,Publish,
,,12/11/2013,Contractor/Staff Substitution,DG: SFNHS,DELOITTE,LARGE,MK9 1FD,1110983484,18000,,Publish,
,,12/11/2013,Professional fees,DG: SFNHS,DELOITTE,LARGE,MK9 1FD,1110983484,4000,,Publish,
,,12/11/2013,Research & development,DG: RDD,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,15284,103334.06,,Publish,
,,12/11/2013,Training (Learning and Development),DG: GOAD,CAPITA BUSINESS SERVICES LTD,LARGE,DL1 9HN,X20850,34722,,Publish,
,,13/11/2013,Research & development,DG: RDD,LGC LTD,LARGE,TW11 0LY,50271041,792953.17,,Publish,
,,13/11/2013,Outsourcing Contract,DG: GOAD,CAPITA SYMONDS LTD,LARGE,LS1 5JD,93252076,25375.2,13911,Publish,
,,14/11/2013,Professional fees,DG: SFNHS,DELOITTE,LARGE,EC4A 3BZ,1110973091,38305.26,,Publish,
,,14/11/2013,Service charge,DG: GOAD,BT GROUP PLC,LARGE,NW9 6LB,339330,2924382.68,,Publish,
,,14/11/2013,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201345444,147469.5,,Publish,
,,14/11/2013,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201345444,147469.5,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100770,281487,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100771,0,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100771,67200,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100772,114648.4,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100772,0,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100773,46950,,Publish,
,,15/11/2013,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,LARGE,SW1W 9SR,10100773,0,,Publish,
,,15/11/2013,Building repairs & maintenance,DG: GOAD,TELEREAL TRILLIUM,LARGE,LS11 9DX,643968,278431.56,,Publish,
,,15/11/2013,Building repairs & maintenance,DG: GOAD,TELEREAL TRILLIUM,LARGE,LS11 9DX,643969,85483.92,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144350,39762.97,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144352,72757.13,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144895,37867.79,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144896,35776.87,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144352,72757.13,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144353,34767.31,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144354,28487.65,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144355,31441.16,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144356,34489.76,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144357,31537.74,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144358,31196.38,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144877,25953.358,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144359,36998.37,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during September & October 2013",DG: PHD,Total Produce (Wigan),,,W13090144877,25953.35,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during October & November 2013",DG: PHD,Total Produce (Wigan),,,W13101531352,38508.75,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during October & November 2013",DG: PHD,Total Produce (Hereford),,,H13101531885,36392.18,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during October & November 2013",DG: PHD,Total Produce (Hereford),,,H13101531916,37017.61,,Publish,
,,15/11/2013,"SFVS - product & distribution cost, during October & November 2013",DG: PHD,Total Produce (Hereford),,,H13101531937,37299.11,,Publish,
,,18/11/2013,Addition Clearing - SW LIC,DG: GOAD,MICROTEST LTD,SME,PL31 1EX,0000081500,261386.98,,Publish,
,,18/11/2013,Service charge,DG: GOAD,BT GROUP PLC,LARGE,NW9 6LB,339400,36246.4,,Publish,
,,18/11/2013,Service charge,DG: GOAD,BT GROUP PLC,LARGE,NW9 6LB,339400,7894142.01,,Publish,
,,18/11/2013,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),LARGE,RG12 1RW,440784,110473.45,,Publish,
,,18/11/2013,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),LARGE,RG12 1RW,440784,-0.01,,Publish,
,,18/11/2013,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),LARGE,RG12 1RW,440789,36824.48,,Publish,
,,18/11/2013,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),LARGE,RG12 1RW,440791,466154.07,,Publish,
,,18/11/2013,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),LARGE,RG12 1RW,440854,1132200,,Publish,
,,18/11/2013,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584144053,1139493.89,,Publish,
,,18/11/2013,Outsourcing Contract,DG: SCLGCP,ECORYS UK LTD,SME,B1 2RA,INV11341,91500,,Publish,
,,19/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303848RI,26733.42,,Publish,
,,19/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303900RI,7176.74,,Publish,
,,19/11/2013,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303900RI,6303.3,,Publish,
,,19/11/2013,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303900RI,12726.26,,Publish,
,,19/11/2013,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303900RI,12779.78,,Publish,
,,19/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303901RI,55674.56,,Publish,
,,19/11/2013,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303901RI,10785.83,,Publish,
,,19/11/2013,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303902RI,45538,,Publish,
,,19/11/2013,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303902RI,21978.84,,Publish,
,,19/11/2013,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303902RI,12690.2,,Publish,
,,19/11/2013,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00303902RI,28624.63,,Publish,
