Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,11/01/2016,Additions NHS Trust Working Capital Loans,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,HAFS-19165," 468,000 ",,M8 5RB,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,MEDWAY NHS FOUNDATION TRUST,HAFS-19166," 6,177,000 ",,ME7 5NY,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-19167," 19,380,000 ",,MK6 5LD,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-19168," 991,000 ",,MK6 5LD,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-19169," 3,499,000 ",,CA2 7HX,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-19170," 397,000 ",,NN1 5BD,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-19171," 1,969,000 ",,DN15 7BH,PUBLIC,,,
,,11/01/2016,Additions PDC Capital Support NHS FT Permenant,OXLEAS NHS FOUNDATION TRUST,HAFS-19172," 2,000,000 ",,DA2 7WG,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-19173," 5,000,000 ",,PE3 6DA,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-19174," 1,200,000 ",,CM20 1QX,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-19175," 28,379,000 ",,NG17 4JL,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-19176," 4,286,000 ",,NG17 4JL,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-19177," 2,706,000 ",,TF6 6TF,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,HAFS-19178," 2,100,000 ",,OL6 9RW,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-19179," 633,000 ",,PE30 4ET,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-19180," 1,102,000 ",,PE30 4ET,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,THE SOLENT NHS TRUST R1C,HAFS-19181," 1,030,000 ",,SO16 4XE,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-19182," 6,160,000 ",,LA1 4GG,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-19183," 2,591,000 ",,WA7 2DA,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-19184," 1,135,000 ",,WA7 2DA,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-19185," 32,000,000 ",,WD18 0BH,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-19186," 4,800,000 ",,IP33 3QZ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,WESTON AREA HEALTH NHS TRUST,HAFS-19187," 2,750,000 ",,BS23 4TQ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-19188," 172,000 ",,WR5 1DD,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,WYE VALLEY NHS TRUST,HAFS-19189," 728,000 ",,HR1 2ER,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,WYE VALLEY NHS TRUST,HAFS-19190," 873,000 ",,HR1 2ER,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,HAFS-19191," 3,037,000 ",,BA21 4AT,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,HAFS-19192," 2,791,000 ",,BA21 4AT,PUBLIC,,,
,,11/01/2016,Additions PDC Capital Support NHS T Permenant,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,HAFS-19193," 8,034,000 ",,L7 8XP,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,BEDFORD HOSPITAL NHS TRUST,HAFS-19201," 13,908,000 ",,MK42 9DJ,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,HAFS-19202," 12,513,000 ",,DN2 5LT,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,EAST CHESHIRE NHS TRUST,HAFS-19203," 426,000 ",,SK10 3BL,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-19204," 40,400,000 ",,CA2 7HX,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-19205," 8,400,000 ",,LN2 5QY,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-19206," 34,100,000 ",,LE5 4QF,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-19207," 4,711,000 ",,WR5 1DD,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-19208," 3,362,000 ",,WF3 1WE,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-19209," 29,596,000 ",,WF3 1WE,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-19210," 6,000,000 ",,BN2 3EW,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-19211," 1,000,000 ",,HP7 0JD,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-19212," 5,300,000 ",,SM5 1AA,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,THE IPSWICH HOSPITAL NHS TRUST,HAFS-19213," 17,324,000 ",,IP4 5PD,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-19214," 1,933,000 ",,LA1 4GG,PUBLIC,,,
,,11/01/2016,Professional fees,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),22497," 185,195 ",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,11/01/2016,Professional fees,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),22495," 94,620 ",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,11/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549532-115341," 71,695 ",Invention for Innovation,BS99 1YF,PUBLIC,,,
,,11/01/2016,Utilities,EDF ENERGY PLC,7567210000/000001217524," 56,526 ",Richmond House - Electricity Charges from April 2015 - March 2016,PL3 5XQ,LARGE,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053138," 109,720 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053153," 28,687 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053139," 30,901 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053145," 57,326 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053140," 27,265 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053148," 30,285 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053147," 41,652 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053152," 37,138 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053141," 34,860 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053150," 72,119 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053151," 25,531 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053143," 27,546 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053144," 25,502 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053242," 45,773 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053246," 52,512 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053247," 65,444 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053248," 32,790 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053244," 27,177 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-881," 103,010 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-935," 53,281 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-306," 29,636 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-316," 30,501 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-317," 27,110 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Peacheys Catering Services Ltd,NHS1115-320," 25,153 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during December 2015",Peacheys Catering Services Ltd,NHS1215-881," 68,663 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during December 2015",Peacheys Catering Services Ltd,NHS1215-935," 35,301 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during October & part November 2015",Pioneer,"INV18112
"," 33,560 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bodmin),B15110130878," 53,230 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bodmin),B15110130908," 38,325 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during December 2015",Redbridge Produce & Flowers (Bodmin),B15120131878," 30,426 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bristol),B15110130835," 27,208 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bristol),B15110130933," 38,254 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bristol),B15110130801," 36,353 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November 2015",Redbridge Produce & Flowers (Bristol),B15110130865," 36,500 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November & part December 2015",Total Produce Plc (Gateshead),DUR 1215," 41,353 ",,,,,,
,,11/01/2016,"SFVS - product & distribution cost, during November & part December 2015",Total Produce Plc (Gateshead),NOR 1215," 25,706 ",,,,,,
,,11/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-549526-115351," 61,111 ",Invention for Innovation,M13 9PL,PUBLIC,,,
,,11/01/2016,Research & development,UNIVERSITY OF THE WEST OF ENGLAND,ERS-549527-115356," 84,692 ",Invention for Innovation,BS16 1QY,PUBLIC,,,
,,11/01/2016,Research & development,LEEDS UNIVERSITY OF,ERS-549533-115350," 45,245 ",Invention for Innovation,LS2 9JT,PUBLIC,,,
,,11/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-549534-115354," 86,892 ",Invention for Innovation,OX1 2XN,PUBLIC,,,
,,11/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-549535-115352," 55,000 ",Invention for Innovation,M13 9PL,PUBLIC,,,
,,11/01/2016,Research & development,MEDICAL RESEARCH COUNCIL MRC,ERS-549540-115353," 1,000,000 ",HTA-Methodology,SN2 1FF,PUBLIC,,,
,,11/01/2016,Research & development,CANCER RESEARCH UK,ERS-549524-115357," 140,000 ",Experimental Cancer Medicine Centres,EC1V 4AD,VCS,,,
,,12/01/2016,Additions NHS Trust Working Capital Loans,WYE VALLEY NHS TRUST,HAFS-19215," 1,036,000 ",,HR1 2ER,PUBLIC,,,
,,12/01/2016,Professional fees,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,4810006487," 60,000 ",Regional Mental Health Act Approval Panels :Panel 1 period of 01-04-15 to 31-03-2016. CPA NO. 513745,TS6 0SZ,PUBLIC,,,
,,12/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672071," 44,216 ",LD Census,LS1 6AE,PUBLIC,,,
,,12/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672071," 160,712 ",Adult Psychiatric Morbidity Survey,LS1 6AE,PUBLIC,,,
,,12/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672071," 76,410 ",HSCIC CPA - Breast Implant Registry.,LS1 6AE,PUBLIC,,,
,,12/01/2016,Outsourcing Contract,NATIONAL SKILLS ACADEMY FOR HEALTH,1420," 54,000 ",NHS e-mentoring 2015 - 2018,BS2 0JP,SME,,,
,,12/01/2016,Utilities,EDF ENERGY PLC,8177210000/000001196902," 44,040 ",Skipton House - Electricity Charges from April 2015 - March 2016,PL3 5XQ,LARGE,,,
,,12/01/2016,Other creditors (ST),BAXTER HEALTHCARE LTD,PPRS OVERPAYMENT," 140,000 ",,RG20 7QW,LARGE,,,
,,12/01/2016,Service charge,IN PRACTICE SYSTEMS LTD,423446," 93,750 ",Revenue: 2015/16 GPSoC INPS charges for the Period Commencing  01.04.2015 to 31.03.2016: System support  Training Utilisation  Interface Mechanism  Pairing Assurance service  Development  Hosting service charges,SW8 3QJ,LARGE,,,
,,12/01/2016,Service charge,IN PRACTICE SYSTEMS LTD,423447," 35,000 ",Revenue: 2015/16 GPSoC INPS charges for the Period Commencing  01.04.2015 to 31.03.2016: System support  Training Utilisation  Interface Mechanism  Pairing Assurance service  Development  Hosting service charges,SW8 3QJ,LARGE,,,
,,12/01/2016,UK subscriptions to overseas bodies,PGO FOREIGN CURRENCY PAYMENTS,1042560070WA0UQJ," 206,760 ",,RH10 1UH,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000445014," 321,826 ",SBRI competition - Renal care,S5 7AU,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 1,699,707 ",Network Research Capability Funding,LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 20,027 ",Network Research Capability Funding,LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 135,075 ",Biomedical Units,LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 83,333 ",Biomedical Units,LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 83,333 ",Biomedical Units,LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-549705-115404," 105,425 ",Research Capability Funding (STANDARD),LE5 4QF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-549704-115379," 78,187 ",Research Capability Funding (STANDARD),CV2 2DX,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 14,088 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 1,045,395 ",Network Research Capability Funding,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 20,130 ",Network Research Capability Funding,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 166,089 ",CLAHRCs,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 96,413 ",Biomedical Units,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 137,067 ",Research Capability Funding (STANDARD),BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549703-115362," 133,170 ",Biomedical Units,BS99 1YF,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 1,274,671 ",Network Research Capability Funding,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 20,023 ",Network Research Capability Funding,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 172,450 ",CLAHRCs,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 168,076 ",CRFs - CRII,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 170,214 ",Bio-Medical Centres,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 121,910 ",Biomedical Units,SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-549702-115374," 119,374 ",Research Capability Funding (STANDARD),SO52 9AB,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-549701-115382," 45,455 ",CRFs - CRII,M23 9LT,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-549701-115382," 34,555 ",Research Capability Funding (STANDARD),M23 9LT,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-549700-115392," 166,666 ",CLAHRCs,B15 2PR,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-549700-115392," 252,399 ",CRFs - CRII,B15 2PR,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-549700-115392," 209,140 ",Research Capability Funding (STANDARD),B15 2PR,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-549700-115392," 128,336 ",Biomedical Units,B15 2PR,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-549699-115393," 1,827,384 ",Bio-Medical Centres,NW1 2BX,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-549699-115393," 83,333 ",Biomedical Units,NW1 2BX,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-549699-115393," 100,000 ",CRFs - CRII,NW1 2BX,PUBLIC,,,
,,13/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-549699-115393," 474,979 ",Research Capability Funding (STANDARD),NW1 2BX,PUBLIC,,,
,,13/01/2016,Research & development,THE SOLENT NHS TRUST R1C,ERS-549697-115421," 50,193 ",Research Capability Funding (STANDARD),SO16 4XE,PUBLIC,,,
,,13/01/2016,Research & development,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-549696-115380," 2,477,163 ",Network Research Capability Funding,WV10 0QP,PUBLIC,,,
,,13/01/2016,Research & development,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-549696-115380," 25,400 ",Network Research Capability Funding,WV10 0QP,PUBLIC,,,
,,13/01/2016,Research & development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-549695-115387," 53,615 ",CRFs - CRII,SM2  5PT,PUBLIC,,,
,,13/01/2016,Research & development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-549695-115387," 1,028,129 ",Bio-Medical Centres,SM2  5PT,PUBLIC,,,
,,13/01/2016,Research & development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-549695-115387," 208,996 ",Research Capability Funding (STANDARD),SM2  5PT,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 166,935 ",Research Capability Funding (STANDARD),NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 1,608,432 ",Network Research Capability Funding,NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 20,064 ",Network Research Capability Funding,NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 72,727 ",CRFs - CRII,NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 83,333 ",Bio-Medical Centres,NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549694-115396," 362,622 ",Bio-Medical Centres,NE7 7DN,PUBLIC,,,
,,13/01/2016,Research & development,THE CHRISTIE NHS FOUNDATION TRUST,ERS-549693-115367," 21,860 ",Research Capability Funding (STANDARD),M20 4BX,PUBLIC,,,
,,13/01/2016,Research & development,THE CHRISTIE NHS FOUNDATION TRUST,ERS-549693-115367," 81,818 ",CRFs - CRII,M20 4BX,PUBLIC,,,
,,13/01/2016,Research & development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-549692-115400," 86,151 ",CRFs - CRII,BR3 3BX,PUBLIC,,,
,,13/01/2016,Research & development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-549692-115400," 86,250 ",Bio-Medical Centres,BR3 3BX,PUBLIC,,,
,,13/01/2016,Research & development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-549692-115400," 850,815 ",Bio-Medical Centres,BR3 3BX,PUBLIC,,,
,,13/01/2016,Research & development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-549692-115400," 319,894 ",Research Capability Funding (STANDARD),BR3 3BX,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549691-115375," 2,345,863 ",Network Research Capability Funding,S5 7AU,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549691-115375," 22,429 ",Network Research Capability Funding,S5 7AU,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549691-115375," 191,108 ",CLAHRCs,S5 7AU,PUBLIC,,,
,,13/01/2016,Research & development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-549691-115375," 95,765 ",CRFs - CRII,S5 7AU,PUBLIC,,,
,,13/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,1410033685," 95,250 ",NIHR Leadership Programme,LS9 7TF,PUBLIC,,,
,,13/01/2016,Research & development,BARTS HEALTH NHS TRUST,ERS-549638-115422," 109,290 ",Biomedical Units,E1 8PR,PUBLIC,,,
,,13/01/2016,Research & development,BARTS HEALTH NHS TRUST,ERS-549638-115422," 166,656 ",CLAHRCs,E1 8PR,PUBLIC,,,
,,13/01/2016,Research & development,BARTS HEALTH NHS TRUST,ERS-549638-115422," 103,420 ",Research Capability Funding (STANDARD),E1 8PR,PUBLIC,,,
