Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/09/2014,GENERAL OFFICE EXPENSES VAT NON-RECOVERABLE,DEVOLUTION TEAM,THE LEAFLET COMPANY LTD,3000052648,163221.10,Communications support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/09/2014,PUBLICITY PRODUCTION COST,ERTP ERO CONFIRMATION & VERIFICATION,THE LEAFLET COMPANY LTD,3000052648,392053.43,Communications support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/09/2014,RESOURCE GRANTS PRIVATE SECTOR,A & I  PROGRAMME EXPENDITURE,NEW ECONOMICS FOUNDATION,3000052667,68280.00,Embedding wellbeing science in decision-making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/09/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,STEP UP TO SERVE,3000052662,95000.00,Grant to help double the number of young people aged 10-20 engaged in meaningful social action by 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/09/2014,OTHER LEGAL FEES,ERG COMMERCIAL PORTFOLIO TEAM,DLA PIPER UK,3000052681,100871.10,Legal services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,18/09/2014,Commercial Reform Team Consultants,Commercial Reform Team,Pricewaterhouse Coopers LLP,PINDOH 39510,255216.84,Commercial Reform Team Project support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/09/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000052679,394963.75,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,ERG PERFORMANCE AND PLANNING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000052712,47227.08,Internal Audit Agency review of  Government savings in 2013/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,ADDITIONSAUC F/H NON RES BLDGS,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000052709,47304.96,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,OTHER IS IT COSTS VAT RECOV,BUSINESS MANAGEMENT TEAM,MISCO COMPUTER SUPPLIES LTD,3000052725,49601.24,"IT hardware (laptops, devices and warranty costs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000052709,84751.23,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,3000052706,159165.90,Rent for accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,LOCALGIVING.COM,3000052692,250000.00, 'Grow Your Tenner' funding to match donations to charities and community groups in England registered with Localgiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/09/2014,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,3000052723,2351102.00,Investment and Contract Readiness fund grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,FM Service charges,Estates Management,DTZ,PINDOH 40138,18005.50,Facilities Management Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,Service charges,Estates Management,DTZ,PINDOH 40138,34340.00,Service charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,Rent for accommodation in The Capital building,Estates Management,DTZ,PINDOH 40138,39060.00,Rent for accommodation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,Rent for accommodation in The Capital building,Estates Management,DTZ,PINDOH 40138,39215.00,Rent for accommodation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,eSourcing system licences,Enablement Projects,IBM,PINDOH 39479,43064.00,eSourcing system licences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,eSourcing system licences,Enablement Projects,IBM,PINDOH 39480,43064.00,eSourcing system licences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,eSourcing system licences,Enablement Projects,IBM,PINDOH 39481,43064.00,eSourcing system licences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,23/09/2014,eSourcing system licences,Enablement Projects,IBM,PINDOH 40145,43064.00,eSourcing system licences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/09/2014,PUBLICITY ADVERTISING MEDIA,OCS NATIONAL CITIZEN SERVICE,M4C,3000052741,76270.16,Communications support for National Citizen Service ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/09/2014,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000052757,939086.11,MyCSP programme costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,PARITY RESOURCES LTD,3000052839,25170.68,Managed services for the GDS transformation project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,STAFF RELATED COSTS,HR RESOURCING TEAM,HMRC,3000052836,25285.94,Psychometric Testing for Senior Civil Service recruitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,TELECOM RENTALS,PMO ICTS,BT,3000052844,25689.88,Telecomms charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,LORD LIEUTENANT OF WEST YORKSHIRE,3000052823,29473.75,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,MERSEYSIDE LIEUTENANCY,3000052819,29643.00,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER MANCHESTER LIEUTENANCY,3000052818,32309.75,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,WEST MIDLANDS LIEUTENANCY,3000052822,38398.25,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,OTHER IS IT COSTS VAT RECOV,G CLOUD,6POINT6 LTD,3000052801,47376.50,Managed services for G-Cloud ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA RESOURCING LTD,3000052824,48500.10,Maintenance and technical updates for DATA.GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER LONDON LIEUTENANCY,3000052806,61081.75,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/09/2014,ADDITIONSAUC F/H NON RES BLDGS,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000052813,113639.23,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/09/2014,FM CONTRACT VARIABLE,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000052899,27190.47,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,25/09/2014,Purchase of Laptops,IT,MISCO COMPUTERS,PINDOH 39613,27524.70,IT hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,25/09/2014,Office costs for transferred departmental staff,Service Operations,DWP,PINDOH 40189,35066.77,Office costs for transferred departmental staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/09/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000052904,41959.25,Legal services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/09/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,LOCALITY,3000052856,100000.00,Funding for social action projects supported or inspired by Community Organisers' scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/09/2014,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000052905,124575.60,Vetting fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/09/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,THE LONDON COMMUNITY FOUNDATION,3000052888,395000.00,Support to organsiations operating in Greater London delivering services to support at risk and vulnerable young people to raise aspirations and build skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/09/2014,CONSULTANTS VAT RECOVERABLE,BEHAVIOURAL INSIGHT TEAM,THE BEHAVIOURAL INSIGHTS TEAM,3000052906,89950.00,Behavioural Insights Work Programme charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/09/2014,ADDITIONS IT HARDWARE,PUBLIC SERVICES NETWORK,TRUSTIS,3000052910,167969.40,Security services for the Identity Assurance project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000052956,28704.08,Payment for interim IT specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/09/2014,CONSULTANTS VAT RECOVERABLE,GDS PROJECTS,ATKINS MANAGEMENT CONSULTANTS,3000052945,48575.00,Managed services for GDS projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/09/2014,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000052940,68244.00,Administration and overheads costs for insignia for Honours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/09/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,SKYSCAPE CLOUD SERVICES LTD,3000052941,111611.36,GOV.UK software development ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,29/09/2014,RESOURCE GRANTS TO NDPB'S,LEGAL ADVICE FUND,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000052933,4062500.00,Advice Service Transition fund grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/09/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000052979,51967.50,Managed services for the GDS transformation project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/09/2014,RESOURCE GRANTS PRIVATE SECTOR,SOCIAL OUTCOMES FUND,BIG SOCIETY TRUST,3000052958,80000.00,"Set up costs of Market Development Foundation, which aims to strengthen the social sector through the strategic use of grant capital to increase access to social investment and support the growth of the social investment market",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/09/2014,OTHER LEGAL FEES,GDS ID ASSURANCE,SLAUGHTER & MAY,3000052973,95062.07,Legal services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,30/09/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,ERG CIVIL SERVICE PEOPLE SURVEY,ORC INTERNATIONAL LIMITED,3000052969,103093.26,Delivery of Civil Service People Survey 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
