Posted date,Internal voucher No.,  Invoice Line amount Net GBP  ,Supplier Name,Account Code Description
07/07/2016,7053555,"40,335.93",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
14/07/2016,7111450,"40,134.00",COMPUTACENTER UK LTD,IT/IS Consultancy
11/07/2016,7074426,"40,052.50",DX NETWORK SERVICES,Postal Services
19/07/2016,7143766,"40,000.00",FCO SERVICES,Misc Security Payments
22/07/2016,7183434,"39,998.99",SOCIEDAD PERUANA DE HEMOTERAPIA Y BANCO DE SANGRE,Programme Spend (Oracle Projects Control Account)
25/07/2016,7191834,"39,969.25",AKNAN REAL ESTATE CO,Rental Payments - residential
22/07/2016,7186513,"39,918.25",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
05/07/2016,7032465,"39,908.18",DIYA FATIMILEHIN AND CO,Recharge Suspense Account (Oracle PA Control Account)
21/07/2016,7171605,"39,797.23",IMSS,Multiple Accounts
19/07/2016,7143831,"39,600.00",TRUCOST PLC,Programme Spend (Oracle Projects Control Account)
18/07/2016,7126442,"39,375.00",PA CONSULTING GROUP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
13/07/2016,7093638,"39,144.32",OVERSEAS SUPPLY SERVICES LTD,UK Guarding Contracts Overseas
29/07/2016,7263465,"39,034.00",CITY OF WESTMINSTER,Rates Taxes Non-Residential
15/07/2016,7117712,"38,808.10",A T AND T MOBILITY,Multiple Accounts
04/07/2016,7022543,"38,447.32",MELMASTI GROUP,General Information Services
07/07/2016,7053064,"38,309.82",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
14/07/2016,7106452,"38,293.14",NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
07/07/2016,7053761,"38,257.29",UK COLOMBIA TRADE,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
26/07/2016,7209434,"38,158.20",JENAN ASIA COMPANY,Costs Associated with the Disposal of Capitalised Assets
29/07/2016,7263627,"38,106.64",HOME OFFICE,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
01/07/2016,7017511,"38,070.98",NEW ERA OIL AND GAS,Multiple Accounts
15/07/2016,7114679,"37,825.13",COLLEGE OF POLICING,Recharge Suspense Account (Oracle PA Control Account)
21/07/2016,7171580,"37,790.35",IBTC PENSION MANAGERS LTD,Multiple Accounts
18/07/2016,7124643,"37,662.41",BEIJING TONG SHENG YI XIANG CULTURE DEVELOPMENT CO. LTD.,Programme Spend (Oracle Projects Control Account)
20/07/2016,7156437,"37,547.74",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
13/07/2016,7092125,"37,504.08",DELTA LIFE INSURANCE COMPANY LTD,Hospital/Specialist Treatment
18/07/2016,7124567,"37,355.00",AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
14/07/2016,7107706,"37,137.50",AGILE BYTE LIMITED,Assets Under Construction (Oracle PA Control Account)
29/07/2016,7264458,"36,954.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
27/07/2016,7229537,"36,915.77",ACCOUNTING SOLUTIONS,Multiple Accounts
19/07/2016,7143846,"36,825.00",FCO SERVICES,Vehicles Miscellaneous
26/07/2016,7216424,"36,770.00",FCO SERVICES,IT/IS Consultancy
25/07/2016,7201491,"36,660.04",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
14/07/2016,7107767,"36,495.79",G4S SECURITY SERVICE DRC SPRL,Local Guards
28/07/2016,7249425,"36,495.79",G4S SECURITY SERVICE DRC SPRL,Local Guards
19/07/2016,7143836,"36,433.80",THAMES VALLEY POLICE AUTH INCOME,Programme Spend (Oracle Projects Control Account)
20/07/2016,7156538,"36,318.08",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
26/07/2016,7216464,"36,000.00",FCO SERVICES,Estates Management Services
22/07/2016,7178528,"35,820.02",WIENER GEBIETSKRANKENKASSE,Multiple Accounts
08/07/2016,7057551,"35,781.91",SECURITAS SAC,Local Guards
18/07/2016,7124594,"35,555.00",AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
18/07/2016,7124571,"35,278.00",AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
06/07/2016,7046453,"35,258.30",A T AND T MOBILITY,Multiple Accounts
08/07/2016,7064426,"35,246.27",GRUPO LIMONTA SAC,Programme Spend (Oracle Projects Control Account)
01/07/2016,7019743,"35,165.92",COMMONWEALTH PARLIAMENTARY ASSOCIATION,Programme Spend (Oracle Projects Control Account)
20/07/2016,7156433,"35,130.17",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
21/07/2016,7171578,"35,021.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Implementation
22/07/2016,7186532,"34,907.08",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
22/07/2016,7186519,"34,725.12",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
19/07/2016,7143464,"34,656.88",CENTRAL PROVIDENT FUND BOARD,Multiple Accounts
14/07/2016,7107664,"34,558.00",WORLDREACH SOFTWARE CORPORATION,Information Systems Maintenance
27/07/2016,7241431,"34,523.85",SECURITY SERVICES GROUP,Misc Security Payments
27/07/2016,7227442,"34,435.82",JINNAH INSTITUTE,Programme Spend (Oracle Projects Control Account)
07/07/2016,7053277,"34,375.56",SURREY POLICE AUTHORITY,Programme Spend (Oracle Projects Control Account)
20/07/2016,7158467,"34,365.54",MARKET SURVEILLANCE AGENCY,Programme Spend (Oracle Projects Control Account)
22/07/2016,7177471,"34,332.94",BRITISH MILITARY MISSION KSA,Recharge Suspense Account (Oracle PA Control Account)
25/07/2016,7201494,"34,330.50",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
06/07/2016,7047527,"34,107.56",SEBHATU AND SONS PROPERTY ADMINISTRATION AND SECURITY SERVICE PLC,Local Guards
28/07/2016,7255430,"33,911.27",ONE SANSOME PROPERTY LLC,Multiple Accounts
18/07/2016,7120540,"33,835.76",DUBAI ELECTRICITY AND WATER AUTHORITY,Multiple Accounts
22/07/2016,7186535,"33,757.69",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
13/07/2016,7095424,"33,620.71",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
20/07/2016,7167462,"33,616.11",BANCO VENEZOLANO DE CREDITO,Multiple Accounts
06/07/2016,7049530,"33,491.88",HAYS SPECIALIST RECRUITMENT LTD,Specialist Contractors
19/07/2016,7143965,"33,248.28",ECQ EMPLOYEE EXPENSES,Recharge Suspense Account (Oracle PA Control Account)
19/07/2016,7143693,"33,096.59",INTERSERVE FM LTD,Multiple Accounts
25/07/2016,7202465,"32,931.50",FCO SERVICES,Information Systems Maintenance
06/07/2016,7047521,"32,900.98",AETNA,Multiple Accounts
26/07/2016,7210452,"32,696.45",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229687,"32,612.90",SAHAN FOUNDATION LTD,Programme Spend (Oracle Projects Control Account)
27/07/2016,7228463,"32,479.71",GENESIS,Programme Spend (Oracle Projects Control Account)
29/07/2016,7263544,"32,404.47",SUPPLY PLUS,Estates - Other Machinery and Equipment
22/07/2016,7177456,"32,356.15",DILIP KUMAR JHANGIANI,Multiple Accounts
20/07/2016,7156533,"32,345.57",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
22/07/2016,7181449,"32,277.20",ROYAL B LEGION POPPY APPEAL,British Legion Poppy Appeal
01/07/2016,7019427,"32,161.51",SOURCE EIGHT,Programme Spend (Oracle Projects Control Account)
06/07/2016,7047438,"32,044.36",SKA INTERNATIONAL GROUP,Catering Services
22/07/2016,7177493,"32,023.88",SECRETARY NDMC NEW DELHI,Multiple Accounts
20/07/2016,7156540,"31,874.06",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
26/07/2016,7213454,"31,740.00",ADVICE ON INDIVIDUAL RIGHTS IN EUROPE,Programme Spend (Oracle Projects Control Account)
22/07/2016,7177450,"31,667.72",ANITA LUTHRA,Rental Payments - residential
22/07/2016,7186549,"31,502.39",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
25/07/2016,7197472,"31,493.03",COMPUTACENTER UK LTD,Information Systems Implementation
13/07/2016,7095477,"31,483.50",FCO SERVICES,Information Systems Maintenance
22/07/2016,7177599,"31,482.18",ABU DHABI DISTRIBUTION COMPANY,Multiple Accounts
15/07/2016,7117502,"31,277.33",FIC MEXICO,Programme Spend (Oracle Projects Control Account)
25/07/2016,7191801,"30,938.41",NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
19/07/2016,7143703,"30,784.98",INTERSERVE FM LTD,Multiple Accounts
19/07/2016,7143546,"30,776.19",INTERSERVE FM LTD,Multiple Accounts
22/07/2016,7177587,"30,634.91",SOCIAL INSURANCE ORGANISATION,Multiple Accounts
19/07/2016,7143657,"30,108.74",INTERSERVE FM LTD,Multiple Accounts
05/07/2016,7031490,"30,085.25",WOLFPACK INFORMATION RISK PTY Ltd,Programme Spend (Oracle Projects Control Account)
15/07/2016,7114677,"30,039.43",JERUSALEM MEDIA & COMMUNICATION CENTRE (JMCC),Recharge Suspense Account (Oracle PA Control Account)
07/07/2016,7053424,"30,000.00",FUJITSU SERVICES LIMITED,IT/IS Consultancy
26/07/2016,7218427,"30,000.00",CENTRE FOR THE PROTECTION OF NATIONAL INFRASTRUCTURE,Security: Works Non-Residential
20/07/2016,7154465,"29,983.85",LONDON ENERGY,Electricity Non-Residential
14/07/2016,7106728,"29,886.53",HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential
25/07/2016,7201529,"29,819.49",THE ROYAL BANK OF SCOTLAND,UK - Air Travel
19/07/2016,7143807,"29,680.94",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
21/07/2016,7171817,"29,512.50",ECA INTERNATIONAL,Cost of Living Addition (COLA)
22/07/2016,7179492,"29,502.79",DFID DEPT INTERNATIONAL DEVELOPMENT,Recharge Suspense Account (Oracle PA Control Account)
15/07/2016,7115546,"29,356.09",FCO SERVICES,Contract Fees
20/07/2016,7166450,"29,300.43",CONCORDIA CONSULTORIA ESTRATEGICA,Programme Spend (Oracle Projects Control Account)
25/07/2016,7203468,"29,227.56",ALISA INTERNATIONAL,Multiple Accounts
01/07/2016,7019774,"29,100.00",ADVICE ON INDIVIDUAL RIGHTS IN EUROPE,Programme Spend (Oracle Projects Control Account)
19/07/2016,7143582,"28,873.20",INTERSERVE FM LTD,Multiple Accounts
18/07/2016,7135440,"28,466.21",ENSA SEGUROS DE ANGOLA,Multiple Accounts
22/07/2016,7177485,"28,378.75",SECRETARY NDMC NEW DELHI,Multiple Accounts
19/07/2016,7143828,"28,257.52",TEAM 3 LIMITED,Local Guards
06/07/2016,7048445,"28,153.00",ETHICAL TRADING INITIATIVE,Programme Spend (Oracle Projects Control Account)
15/07/2016,7117494,"28,069.53",EL CEREBRO URBANO AC,Programme Spend (Oracle Projects Control Account)
08/07/2016,7057624,"27,823.63",PROTECTION GROUP INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
28/07/2016,7249428,"27,771.95",SYNERGY FOR JUSTICE LTD,Programme Spend (Oracle Projects Control Account)
01/07/2016,7019572,"27,684.00",COMMONWEALTH TELECOMMUNICATION ORG,Programme Spend (Oracle Projects Control Account)
07/07/2016,7051916,"27,673.49",DATACOM EMPLOYER SERVICES,Multiple Accounts
18/07/2016,7124602,"27,656.00",DODS PARLIAMENTARY COMMUNICATIONS LTD,Programme Spend (Oracle Projects Control Account)
25/07/2016,7201486,"27,402.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
26/07/2016,7216426,"27,109.75",FCO SERVICES,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
14/07/2016,7106537,"27,062.55",RANA ANTOINE JREISSATI,Recharge Suspense Account (Oracle PA Control Account)
22/07/2016,7188428,"27,062.55",ECQ EMPLOYEE EXPENSES,Recharge Suspense Account (Oracle PA Control Account)
21/07/2016,7169531,"26,997.48",HARIS ENTERPRISES PVT LTD,Local Guards
22/07/2016,7185430,"26,908.70",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
21/07/2016,7171657,"26,902.38",RAM THREE REAL ESTATE CO,Recharge Suspense Account (Oracle PA Control Account)
25/07/2016,7191796,"26,877.62",BRITISH COUNCIL,Recharge Suspense Account (Oracle PA Control Account)
25/07/2016,7202489,"26,868.24",COMPUTACENTER UK LTD,Multiple Accounts
11/07/2016,7069627,"26,804.30",SECUREX AGENCIES LTD,Multiple Accounts
01/07/2016,7018475,"26,617.38",PNP IMPREST,Interbank Transfers/Withdrawals
25/07/2016,7191716,"26,583.94",DATACOM EMPLOYER SERVICES,Multiple Accounts
22/07/2016,7185463,"26,560.00",CROWN AGENTS,Programme Spend (Oracle Projects Control Account)
14/07/2016,7107670,"26,457.00",HEALTH AND SAFETY LABORATORY,Programme Spend (Oracle Projects Control Account)
08/07/2016,7057597,"26,346.60",FCO SERVICES,Security: Works Non-Residential
19/07/2016,7143842,"26,303.45",AVARN SECURITY OY,Local Guards
25/07/2016,7191717,"26,243.54",DATACOM EMPLOYER SERVICES,Multiple Accounts
25/07/2016,7194491,"26,151.83",DISCOVERY MEDICAL AID,Multiple Accounts
21/07/2016,7171466,"26,140.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
05/07/2016,7041442,"26,077.38",SOUTH REVENUE SERVICE,Multiple Accounts
27/07/2016,7228498,"26,042.53",SVOE DELO,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186518,"25,957.13",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
11/07/2016,7069884,"25,920.19",CYBERGREEN INSTITUTE,Programme Spend (Oracle Projects Control Account)
05/07/2016,7032425,"25,897.33",SADO EHITUS OU,Rental Payments - residential
19/07/2016,7143691,"25,785.27",INTERSERVE FM LTD,Multiple Accounts
13/07/2016,7095495,"25,689.44",CNTR ISTRAZV SUPROSTVLJANJA KRIMINL,Programme Spend (Oracle Projects Control Account)
29/07/2016,7265577,"25,672.31",KJAER AND KJAER AS,Assets Under Construction (Oracle PA Control Account)
13/07/2016,7104467,"25,579.34",ROTHERLEY CONSTRUCTION INC,Recharge Suspense Account (Oracle PA Control Account)
25/07/2016,7201497,"25,491.15",NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
25/07/2016,7202570,"25,389.30",CLIMATE BONDS INITIATIVE,Programme Spend (Oracle Projects Control Account)
01/07/2016,6904561,"25,364.62",UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229626,"25,355.00",THE BERKELEY,Programme Spend (Oracle Projects Control Account)
11/07/2016,7068771,"25,207.03",BESPOKE INTERIORS MIDDLE EAST WLL,Staff and Other Advances AP Control (Oracle Ap Control Account)
29/07/2016,7265555,"25,129.51",PNP IMPREST,Interbank Transfers/Withdrawals
06/07/2016,7049434,"25,010.35",DISCOVERY MEDICAL AID,Multiple Accounts
28/07/2016,6150474,"-29,320.80",GIO INSURANCE,Local Staff Pension Contributions
01/07/2016,6213937,"-30,000.00",GOVERNMENT COMMUNICATIONS PLANNING DIRECTORATE,Security: Works Non-Residential
26/07/2016,7219427,"-33,533.07",HARQUEBUS,Recharge Suspense Account (Oracle PA Control Account)
26/07/2016,7219425,"-36,208.36",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
22/07/2016,7179470,"-40,473.64",BLS OTHER DEBTORS,Overseas Reclaimable Taxes
20/07/2016,7166431,"-53,389.79",BEB OTHER DEBTORS,Multiple Accounts
01/07/2016,5601365,"-64,367.14",MINISTRY OF DEFENCE,Receipts On Behalf Of Other Organisations
26/07/2016,7218429,"-70,581.40",ETA OTHER DEBTORS,Overseas Reclaimable Taxes
27/07/2016,7227431,"-72,173.30",NZW OTHER DEBTORS,Rates Taxes Residential
19/07/2016,7144482,"-80,994.79",VODAFONE LTD CABLE AND WIRELESS UK,IT/IS Consultancy
06/07/2016,7049599,"-83,323.32",THE ROYAL BANK OF SCOTLAND,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
14/07/2016,7107811,"-93,596.05",PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
25/07/2016,7201471,"-96,789.13",FCO SERVICES,Travel Package
22/07/2016,7185426,"-100,347.00",FCO SERVICES,IT/IS Consultancy
