Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplicer,Account Description
FCO,FCO,10/09/2013,4430212,"91,416",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/09/2013,4426668,"92,432.76",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,27/09/2013,4450552,"94,403.74",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,05/09/2013,4425861,"94,609.51",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/09/2013,4427195,"96,824.17",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/09/2013,4434653,"98,276.53",NATIONAL HOTEL COMPLEX,Rental Payments - non residential
FCO,FCO,06/09/2013,4427154,"99,395.18",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/09/2013,4435368,"100,067.10",ISS FACILITY SERVICES LTD FCO OP,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,16/09/2013,4435378,"100,518.90",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,19/09/2013,4440248,"101,168",SEARCH FOR COMMON GROUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/09/2013,4440630,"101,916.40",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,13/09/2013,4431881,"105,095.40",LANGUAGE SERVICES DIRECT,"Language Tuition: Course materials, Language Tuition: Essential"
FCO,FCO,17/09/2013,4434499,"111,161.40",ABROTEA BULGARIA AD,Rental Payments - non residential
FCO,FCO,17/09/2013,4434501,"113,040.30",ABROTEA BULGARIA AD,Rental Payments - non residential
FCO,FCO,16/09/2013,4435833,"115,109.50",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,17/09/2013,4435473,"115,580.10","KURIHARA (THAILAND) CO., LTD.",Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/09/2013,4428138,"117,529.30",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,16/09/2013,4435510,"118,144.90",TSAMOTA LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/09/2013,4430215,"120,912",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/09/2013,4446496,"122,500",CROWN ESTATE COMMIS CASH A C,Rental Payments - non residential
FCO,FCO,20/09/2013,4440624,"123,972",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,04/09/2013,4422907,"124,056.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4434052,"125,340.90",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/09/2013,4440617,"130,201.10",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,27/09/2013,4450538,"130,658.10",VODAFONE LTD CABLE AND WIRELESS UK,FTN Unitary Payment
FCO,FCO,17/09/2013,4434741,"131,886.70",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,20/09/2013,4440628,"133,222.10",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,18/09/2013,4434158,"133,633.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/09/2013,4440881,"134,856.80",M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
FCO,FCO,10/09/2013,4424672,"136,548",CENTRE INTERNATIONAL PRIVATE ENTERPRISE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4437284,"141,082",FCO SERVICES,Misc Security Payments
FCO,FCO,11/09/2013,4425949,"147,513",FCO SERVICES,Misc Security Payments
FCO,FCO,12/09/2013,4431218,"150,000",PRISONERS ABROAD,Human Rights: Policy and Prisoners
FCO,FCO,09/09/2013,4426072,"154,380",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,04/09/2013,4422922,"155,155",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/09/2013,4425953,"155,653",FCO SERVICES,Misc Security Payments
FCO,FCO,25/09/2013,4443360,"170,584.80",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/09/2013,4426678,"170,714.80",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,20/09/2013,4440619,"173,070.10",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,05/09/2013,4425688,"177,491.10",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/09/2013,4440620,"179,230.50",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,04/09/2013,4422926,"188,732",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/09/2013,4446476,"191,850.50",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,20/09/2013,4442494,"194,569.50",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/09/2013,4440621,"197,704.30",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,20/09/2013,4442066,"204,257.60",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,"Programme Spend (Oracle Projects Control Account), UK Mobile Guarding Contract overseas"
FCO,FCO,17/09/2013,4438755,"215,935.50",NELSON LUXEMBOURG PROPERTIES DEVELOPMENT SARL,Rental Payments - non residential
FCO,FCO,13/09/2013,4434498,"226,529.40",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,"Programme Spend (Oracle Projects Control Account), UK Mobile Guarding Contract overseas"
FCO,FCO,11/09/2013,4426684,"227,892.70",VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,04/09/2013,4424946,"262,060.20",HAYAT HELMANDWAL CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/09/2013,4448341,"305,133.80",MINES ADVISORY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2013,4437341,"316,555.30",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,16/09/2013,4435434,"332,209.70",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,16/09/2013,4435430,"332,209.70",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,16/09/2013,4435423,"332,209.70",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,25/09/2013,4442144,"352,523.10",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,25/09/2013,4442134,"352,624.70",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,04/09/2013,4422944,"409,930.70",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2013,4438956,"426,398.60",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,20/09/2013,4442186,"523,421.70",ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,04/09/2013,4422903,"583,583",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/09/2013,4435597,"726,878.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,10/09/2013,4429333,"1,023,950",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,19/09/2013,4435596,"1,036,211",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,04/09/2013,4422937,"1,510,906",FCO SERVICES,IT/IS Consultancy
FCO,FCO,11/09/2013,4429510,"1,888,350",FCO SERVICES,Residential Property Services
FCO,FCO,04/09/2013,4422934,"7,554,528",FCO SERVICES,IT/IS Consultancy
