Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Number,PO line Description,Contract Number,Project Code
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,40000,490679,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,81819,504601,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,19399,504601,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,4471988,504611,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,95844,504611,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,141521,504723,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-505660-80695,19897,504723,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,E9 6ZZ,ERS-505661-80714,55632,482767,Cooksey Patient Care,,
,,15/10/2013,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-505662-80735,93789,504674,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-505662-80735,14044,504674,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,26915,504746,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,170157,504746,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,9198,504739,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,124183,504739,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,40000,490680,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,486503,461142,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-505663-80745,593779,355347,CRFs - CRII,,
,,15/10/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-505664-80697,54003,375339,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-505664-80697,40000,490681,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-505665-80734,114050,504663,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-505665-80734,17140,504663,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-505666-80742,8167,375346,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-505666-80742,1600338,504591,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-505666-80742,18819,504591,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-505666-80742,128570,504678,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-505666-80742,19308,504678,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-505667-80715,31593,504750,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-505667-80715,209813,504750,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-505667-80715,60339,504645,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-505667-80715,2947504,504645,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-505667-80715,130544,375347,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,ERS-505669-80737,1085043,504604,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,ERS-505669-80737,140272,504677,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,ERS-505669-80737,21065,504677,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-505672-80748,60217,375360,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-505672-80748,125046,504763,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-505672-80748,18258,504763,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-505673-80709,89481,375366,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-505673-80709,114355,482762,Cooksey Patient Care,,
,,15/10/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,ERS-505677-80747,107347,375367,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,ERS-505677-80747,153675,494443,Cooksey Patient Care,,
,,15/10/2013,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,PUBLIC,CB2 8FH,ERS-505678-80752,44160,506476,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505679-80703,49392,375378,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505679-80703,1537401,504612,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505679-80703,22320,504612,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505679-80703,98676,504647,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-505679-80703,14820,504647,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,PUBLIC,NR6 5BE,ERS-505680-80706,120289,504755,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,PUBLIC,NR6 5BE,ERS-505680-80706,14461,504755,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,PUBLIC,BS1 2NP,ERS-505681-80730,56443,375383,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,14856,504583,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,117583,504583,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,75381,504608,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,7524,504608,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,2161174,504627,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,PUBLIC,ST2 8LD,ERS-505682-80702,29405,504627,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-505683-80729,53790,504609,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-505683-80729,2951435,504609,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NORTH YORKSHIRE & HUMBER CSU 0AV,PUBLIC,WF3 1WE,ERS-505684-80753,75715,506969,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NORTH YORKSHIRE & HUMBER CSU 0AV,PUBLIC,WF3 1WE,ERS-505684-80753,15524,506969,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-505686-80740,99617,504668,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-505686-80740,14971,504668,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-505686-80740,122137,504759,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-505686-80740,15642,504759,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80738,119900,376993,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,40000,490684,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,3008670,504623,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,36859,504623,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,149095,504685,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,22236,504685,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,145001,504704,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-505687-80739,20265,504704,MEDS FOR CH'REN N'WORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-505688-80692,16385,504671,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-505688-80692,109026,504671,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-505688-80692,70012,400143,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,PUBLIC,OX4 2GX,ERS-505689-80707,85037,376996,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,451391,461151,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,40000,490692,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,40000,490693,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,2827268,504621,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,40219,504621,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,10932,504732,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,116702,504732,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,220310,504735,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,34958,504735,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,117901,504767,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-505690-80723,16220,504767,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,PUBLIC,UB9 6JH,ERS-505691-80719,40000,490685,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,PUBLIC,UB9 6JH,ERS-505691-80719,113386,377030,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,72438,377032,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,16656,504589,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,118360,504589,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,13774,504596,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,75694,504596,PRIMARY CARE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,2045944,504617,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,34485,504617,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,130577,504697,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,19897,504697,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,27368,504734,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-505692-80691,117745,504734,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-505693-80712,44709,400021,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-505693-80712,2551039,504586,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-505693-80712,44569,504586,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-505694-80681,15215,504729,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-505694-80681,103717,504729,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-505694-80681,21548,473378,Experimental Cancer Medicine Centres,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,60343.75,400064,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,117401,504592,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,16368,504592,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,118193,504741,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,13182,504741,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-505695-80705,320478,507483,Quality and Safety Research Centres,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,107065,400070,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,426390,407545,CLARHCs,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,1448524,504618,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,27061,504618,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,154366,504694,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-505696-80694,23404,504694,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505698-80727,129896,504661,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505698-80727,19521,504661,MENTAL HEALTH NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-505698-80727,332814,400075,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-505699-80725,2242,400078,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-505699-80725,1087872,504588,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-505699-80725,18731,504588,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-505699-80725,108333,504692,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SOUTHERN HEALTH NHS FOUNDATION TRUST,PUBLIC,SO40 2RZ,ERS-505701-80732,107588,504764,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,SOUTHERN HEALTH NHS FOUNDATION TRUST,PUBLIC,SO40 2RZ,ERS-505701-80732,15274,504764,DeNDRON NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,PUBLIC,SW17 0QT,ERS-505702-80696,122774,504590,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,PUBLIC,SW17 0QT,ERS-505702-80696,16368,504590,STROKE NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-505704-80685,20357,375287,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-505704-80685,245199,504669,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-505704-80685,42961,504669,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,13935,504748,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,111747,504748,DIABETES NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,25743,504691,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,170193,504691,CANCER NETWORKS,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,43031,504616,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,2421865,504616,Comprehensive Networks,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,250000,493576,Biomedical Units,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,875000,493576,Biomedical Units,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,50000,490683,Translational Research Partnerships,,
,,15/10/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-505705-80720,158012,375377,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-505706-80710,241609,400024,Research Capability Funding,,
,,15/10/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-505706-80710,199415,504726,CANCER NETWORKS,,
