Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Contract Number,Project Code,Expenditure Type
Defra,Environment Agency,26/07/2011,Main Contractors | Environmental Services,Midlands West - Ops Delivery,OnSite Central Ltd,977002,"43,214.29",930595 CCTV Surveys for Various Sites A/c no 158112.  ,WR3 8TJ,30110595,REMI001484,Project 
Defra,Environment Agency,12/07/2011,Environmental Services,Environment and Business Regulated Industry,Claire,978391,"43,200.00",CL:AIR - collaborative agreement with Pathway To Zero Waste on implementation of ERDF deliverables.,W1H 7AL,,HOEP890089,Project 
Defra,Environment Agency,26/07/2011,Environmental Services,Anglian Capital WiP,PGR Construction,982953,"43,065.40",Construction of facilities building Northampton marina | Northampton Marina Facilities Building,PE8 4HN,,IMAN001753,Project 
Defra,Environment Agency,26/07/2011,Environmental Services,South East Capital WiP,Birse Civils Ltd,981598,"42,934.67",935177 - Newman's Sluice Improvements,DN18 5BW,30142670,IMTH000990,Project 
Defra,Environment Agency,14/07/2011,Environmental Services,Anglian Capital WiP,Haskoning UK Ltd,979106,"42,698.41",932690 Chelmsford FAS Planning,PE3 8DW,30071934,IMAN001326,Project 
Defra,Environment Agency,05/07/2011,Main Contractors,South East West Thames - Ops Delivery,J Breheny Contractors Ltd,975989,"42,595.73",929582 WEY & LODDON CONTRACT,IP6 8NH,30134424,,Project 
Defra,Environment Agency,05/07/2011,Networking,Head Office Corp Comms and Media,Venturing Unlimited,976163,"42,166.80",929756 Digital Syndication Plan,W1K 6WF,,,Project 
Defra,Environment Agency,26/07/2011,Purchase,South East Capital WiP,Adsyst Automation Ltd,981940,"41,613.60",935510 1509 thames barrier scada upgrade,GU46 7AA,30284252,IMTH001181,Project 
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,Rotherham Metropolitan Borough Council,945523,"40,485.50",899253 Rates - Templeborough,S65 1EU,,,Administration
Defra,Environment Agency,07/07/2011,"Marine, Coastal & Inland Waterways Services",Midlands Capital WiP,ECS Engineering Services Ltd,977512,"40,472.84",931105 - Knowleston Place,NG16 6LE,30296930,IMMI001121,Project 
Defra,Environment Agency,14/07/2011,Environmental Services,North West Nuclear Regulation Mgr,LGC Ltd,978795,"40,271.36",Independent Analysis of Radioactivity in Effluent Samples,TW11 0LY,30131976,HOOP000055,Project 
Defra,Environment Agency,19/07/2011,Main Contractors,North West Capital WiP,Birse Civils Ltd,981306,"39,810.00",934885. Penrith FAS,DN18 5BW,30142670,IMNW000519,Project 
Defra,Environment Agency,21/07/2011,Environmental Services,Anglian Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,979163,"39,418.04",932747 - Helpston Groundwater Treatment Plant - June 11,BS32 4DF,30177470,,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,EA Wales Capital WiP,Birse Civils Ltd,983200,"38,990.18",936767 - Afon Ganol East - works carried out for period ending 30th June 2011,LS24 9BX,40015267,IMWA000937,Project 
Defra,Environment Agency,12/07/2011,Environmental Materials,South East SSD - AEM Monitoring,Thermo Fisher Scientific,977116,"38,979.00",Response maintenance of electromagnetic gauges,CW7 3GA,30171828,,Administration
Defra,Environment Agency,26/07/2011,Building Management,North West Regional Facilities,Trafford Metropolitan Borough Council,949530,"38,753.50",903239 Rates - Sale,M33 7ZF,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949454,"38,180.46",903163 Rates - Fobney Mead,RG1 7TD,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Shropshire Council,949623,"38,176.96",903332 rates - Hafren Hse,SY2 6ND,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Northern,Kettering Borough Council,946279,"38,110.46",900006 Rates Nene Hse,NN16 8PP,,,Administration
Defra,Environment Agency,07/07/2011,Construction Service Providers,North East Capital WiP,Halcrow Group Ltd,976673,"37,843.33",930266 - Ripon - Apr 11,SN4 0QD,30071913,IMNE000541,Project 
Defra,Environment Agency,26/07/2011,Building Management,NLS Support Nottingham,Nottingham City Council,948437,"37,633.48",902149 Rates Nottingham Labs,NG1 4XX,,,Administration
Defra,Environment Agency,19/07/2011,Electricity,FM Operating Unit - Central and South West | Head Office Business Finance,British Gas Business,980817,"36,933.67",Electricity Bill for Midlands Sites,OX4 2JY,30299702, | EBILLP2P,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Taunton Deane Borough Council,945505,"36,710.21",899235 Rates - Crown Ind est Taunton,TA1 2BB,,,Administration
Defra,Environment Agency,05/07/2011,Fuels,Head Office Fleet - EA Wales,Arval Phh,977376,"36,608.41",930969 Monthly fuel bill for Wales June 2011,SN5 6PQ,40002026,,Administration
Defra,Environment Agency,26/07/2011,Environmental Services,Head Office Flood Warning Systems,Met Office,983147,"36,512.10",936714 WEATHER SERVICES for Flood Forecasting,EX1 3PB,,,Administration
Defra,Environment Agency,19/07/2011,Leasing,Fleet Ops,Hitachi Capital Vehicle Solutions Ltd,979619,"36,019.42",Supply of lease car maintenance,RG14 2NU,30000281,,Administration
Defra,Environment Agency,26/07/2011,Building Management,National Estates Manager,Leeds City Council,945486,"35,939.00",899216 Rates Stockdale Hse,LS2 8JR,,,Administration
Defra,Environment Agency,07/07/2011,"Marine, Coastal & Inland Waterways Services",South East SSD - AEM Monitoring,Serck Controls Ltd,977640,"35,230.80",931233 Telemetry system maintenance Thames Region,CV3 4FH,30001269,,Administration
Defra,Environment Agency,14/07/2011,Main Contractors,South East Capital WiP,Hunton Engineering Design,979663,"35,166.00",933247 Displacer tank refurb.,ME15 0RR,,IMTH001731,Project 
Defra,Environment Agency,19/07/2011,Main Contractors,North West Capital WiP,William Pye Ltd,976060,"35,148.60",929653 - Galgate Walls,PR3 3BT,30239798,IMNW000179,Project 
Defra,Environment Agency,19/07/2011,Leasing,Fleet Ops,Hitachi Capital Vehicle Solutions Ltd,979679,"35,076.45",Lease car maintenance recharges,RG14 2NU,30000281,,Administration
Defra,Environment Agency,26/07/2011,Environmental Materials,NLS Instrumentation,YSI Hydrodata Ltd,983064,"33,696.00",Purchase of consumables for Reading Labs,SG6 1FJ,30240451,NL00000053,Administration
Defra,Environment Agency,12/07/2011,Purchase,Thames Capital WiP,Areva T&D UK Ltd,979236,"33,616.80",932820 - Thames Barrier work & Hardware,ST17 4LX,,IMTH000526,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Chelmsford Borough Council,948476,"33,225.69",902188 Rivers hse - Rates,CM1 2JE,,,Administration
Defra,Environment Agency,12/07/2011,Construction Service Providers,South West Capital WiP,Atkins Ltd,978838,"33,014.08",932422. Teignmouth Estuary (Back Beach) FAS,KT18 5BW,30072266,IMSW000780,Project 
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",North East Regional Monitoring Manager,Serck Controls Ltd,976112,"32,717.40",Telemetry system maintenance NE Region ,CV3 4FH,30001269,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,North East Capital WiP,Lumsden & Carroll Construction Ltd,981747,"32,669.04",935317 Small works at (Ozendyke),DH6 5PF,30204740,IMNE790319,Project 
Defra,Environment Agency,14/07/2011,Environmental Services,"Research, Monitoring and Innovation",Serco Ltd,979680,"32,666.40",933264 - SC100011 Regulatory Use of Geoscientific Information,RG27 7FR,30146384,HOEV101101,Administration
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",North East Yorkshire Area Ops Delivery,Amco Engineering,975122,"32,615.33",928718 rf eg0150 fixed plant systems maintenance,S75 1HT,30244069,RENE790106,Administration
Defra,Environment Agency,12/07/2011,Environmental Services,Anglian Capital WiP,EDI Surveys Ltd,978562,"32,582.40",932147 12480 80% SUFFOLK topographical surveys,IP2 0AH,30189693,IMAN002290,Project 
Defra,Environment Agency,19/07/2011,Organisation & Change Management Consultancy,Data and Information Management,Gabriel Information Solutions Ltd,980675,"32,158.06",934255 - Information Licensing Support,EX1 3SD,,HOEV101110,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Wyre Forest District Council,946200,"32,070.29",899927 Rates Hoo Farm,DY10 2BL,,,Administration
Defra,Environment Agency,07/07/2011,"Marine, Coastal & Inland Waterways Services",North East Capital WiP,Halcrow Group Ltd,962666,"31,875.12",916298. River Hull Flood Risk Data Investigation,WR5 2JG,30219914,IMNE000861,Project 
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",North West South-AEM - Merseyside,Serck Controls Ltd,976115,"31,770.00",Telemetry system maintenance NW region,CV3 4FH,30001269,,Administration
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",EA Wales South West-AEM - EM Monitoring,Serck Controls Ltd,977972,"31,699.80",931565 System maintenance for period 01.04.11 - 31.03.12 ,CV3 4FH,40000456,,Administration
Defra,Environment Agency,19/07/2011,Electricity,Head Office Business Finance,British Gas Business,980793,"31,684.08",Supply of green electricity for Anglian region sites. Ref UCMS 23664 & CPA 30286703 refer.,OX4 2JY,30286703, | EBILLP2P | ,Administration
Defra,Environment Agency,19/07/2011,Environmental Services,Head Office Marine Monitoring Service,CEFAS,976160,"31,434.09",929753 customer id 1000073 year 4 turbid samples,NR33 0HT,30309859,,Administration
Defra,Environment Agency,07/07/2011,Cleaning,FM Operating Unit - Central and South East,Superclean Services Wothorpe Ltd,976997,"31,338.14",930590 cleaning office + windows Jun'11,PE9 2JL,30222235,,Administration
Defra,Environment Agency,19/07/2011,Building Repair & Maintenance,North West South-Ops Delivery,Boulting Technology,979737,"31,286.39",933321 - NW electrical planned & preventative maintenance,WA5 2PL,30270233,RENW001893,Administration
Defra,Environment Agency,14/07/2011,Construction Service Providers,Anglian Capital WiP,Haskoning UK Ltd,979099,"31,217.35",932683 Whittlesey Washes,PE3 8DW,30071934,IMAN001790,Project 
Defra,Environment Agency,21/07/2011,Main Contractors,Anglian Capital WiP,Birse Civils Ltd,981207,"31,212.50",934786 sluice gate refurbishment,DN18 5BW,30142670,IMAN001442,Project 
Defra,Environment Agency,07/07/2011,Construction Service Providers,North East Capital WiP,Acorn Surveys Ltd,976861,"31,200.00",Hydrographic survey of the River Don + processing,DN14 9BD,,IMNE790318,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Warwick District Council,961546,"31,176.00",915179 Rates Brook Hse,CV32 5QW,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,Cornwall Council,946165,"31,043.43",899892 Rates - Bodmin,TR1 1YL,,,Administration
Defra,Environment Agency,19/07/2011,Construction Service Providers,North East Capital WiP,Black & Veatch Ltd,976731,"30,970.91",930324 Professional Fees for 7/5-3/6/11 for Donna Nook Mnged Realignment.  ,RH1 1LQ,30072271,IMNE000738,Project 
Defra,Environment Agency,26/07/2011,Maintenance & Support | Systems Delivery,CIS Infrastructure Change Programme MRA,Actica Consulting Ltd,982040,"30,295.20",Penetration Testing,GU2 7YF,30272227,CIS3306199,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Bedford Borough Council,949570,"30,093.50",903279  Rates - st john street,MK40 1SH,,,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Braintree District Council,949585,"30,093.50",903294 Rates - Feering,CM7 9HB,,,Administration
Defra,Environment Agency,07/07/2011,Building Repair & Maintenance,North West South-Ops Delivery,Boulting Technology,977342,"29,560.99",930935 - Mechanical & Electrical Maintenance - NW Region - NW-OPS-DEL-PLAN-NORTH-10,WA5 2PL,30270233,RENW000939,Administration
Defra,Environment Agency,19/07/2011,Forensic & Laboratory Services,Head Office Marine Monitoring Service,Thomson Unicomarine Ltd,975257,"29,364.74",928851 benthic invertebrate sample ,SG6 1LW,30283663,,Administration
Defra,Environment Agency,05/07/2011,Construction Service Providers,South West Capital WiP,Halcrow Group Ltd,976296,"29,352.36",929889 - Braunton Flood Scheme,SN4 0QD,30071913,IMSW001570,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,South East Capital WiP,Volkerstevin Ltd,982617,"29,272.84",936184 tbag gate arm trail,EN11 9BX,30142737,IMTH001493,Project 
Defra,Environment Agency,05/07/2011,Construction Service Providers,North West Capital WiP,Halcrow Group Ltd,976317,"29,197.14",929910 - River Mersey Warrington FRM Scheme - May 11,SN4 0QD,30071913,IMNW000699,Project 
Defra,Environment Agency,26/07/2011,Main Contractors,South East West Thames - Ops Delivery,J Breheny Contractors Ltd,982929,"29,128.43",936496 Wey & Loddon vegatation management work up to 24/06/11,IP6 8NH,30134424,,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Havant Borough Council,949412,"29,011.00",903121 Rates- Waterlooville,PO9 2ER,,,Administration
Defra,Environment Agency,07/07/2011,Environmental Services,North West North-FRM,RSPB,976880,"29,000.00",930473 - Contribution - Morecambe Bay Wetland Advisor,SG19 2DL,,RENW001921,Project 
Defra,Environment Agency,26/07/2011,Building Management,Thames South East-Tidal Defence Mgr,London Borough Of Greenwich,946157,"28,992.00",899884 Rates - Herringham Road,SE18 6RA,,,Administration
Defra,Environment Agency,05/07/2011,Main Contractors,North East Regional Monitoring Manager,Lumsden & Carroll Construction Ltd,975721,"28,972.15",929315 - East Ayton Permanent Works,DH6 5PF,30204740,,Project 
Defra,Environment Agency,26/07/2011,Systems Delivery,Head Office Business Development and Support Services,Scisys UK Ltd,983050,"28,964.42",Various works on Scisys IT software design & Support,SN14 0GB,,HOEP890065,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,Test Valley Borough Council,958669,"28,734.46","912313 Rates The Depot, Romsey",SP10 3AJ,,,Administration
Defra,Environment Agency,07/07/2011,Construction Service Providers,South East Capital WiP,Black & Veatch Ltd,976764,"28,584.34",930357 Professional Fees for Banbury FAS Site Supervision 7/5 - 3/6/11,RH1 1LQ,30072271,IMTH000615,Project 
Defra,Environment Agency,21/07/2011,Post & Courier,NLS Central Functions,City Sprint,980935,"28,524.34","Sample, Meter and Internal Mail courier Service.",RH1 1YB,30293049,,Administration
Defra,Environment Agency,26/07/2011,Building Management,NLS Support Llanelli,Carmarthenshire County Council,952297,"28,462.00",Business Rates for National Labs Llanelli Labs,SA31 1LE,,,Administration
Defra,Environment Agency,12/07/2011,Construction Service Providers,Thames Capital WiP,Atkins Ltd,978736,"28,421.62",932321 Thames tidal front prog 1,KT18 5BW,30072266,IMTH001749,Project 
Defra,Environment Agency,05/07/2011,Main Contractors,Anglian Capital WiP,Birse Civils Ltd,975601,"28,315.04",Fiskerton Sluice Refurbishment,DN18 5BW,30142670,IMAN001788,Project 
Defra,Environment Agency,05/07/2011,Electricity,Head Office Business Finance,British Gas Business,973827,"27,910.66",Electricity Supply for Southern Sites,OX4 2JY,30219421,EBILLP2P,Administration
Defra,Environment Agency,05/07/2011,Environmental Services,Midlands West-AEM - 1,Severn Trent Water,975113,"27,743.70",Clywedog service charge and maintenance costs | Clywedog / Vyrnwy service level and maintenace charge,B3 1SE,,,Administration
Defra,Environment Agency,19/07/2011,Environmental Services,Midlands East - Flood Risk,Severn Trent Water,977962,"27,742.92",931555 - River Derwent 11/12,B3 1SE,,,Project 
Defra,Environment Agency,19/07/2011,Building Repair & Maintenance,North West South-Ops Delivery,Boulting Technology,979747,"27,639.92",933331 - NW planned & preventative maintenance,WA5 2PL,30270233,RENW000939,Administration
Defra,Environment Agency,14/07/2011,Construction Service Providers,South East Capital WiP,Haskoning UK Ltd,979205,"27,571.45",932789 Lewisham and Catford Flood Alleviation,PE3 8DW,30071934,IMTH001760,Project 
Defra,Environment Agency,26/07/2011,Purchase,Head Office Capital WiP,Ford Motor Co Ltd,981300,"27,490.24",934879 Ford Transit Van DCIV 350M,CM13 3BW,30106159,HOFOFRM004,Administration
Defra,Environment Agency,26/07/2011,Purchase,Head Office Capital WiP,Ford Motor Co Ltd,981301,"27,490.24",934880 Ford Transit Van DCIV 350M,CM13 3BW,30106159,HOFOFRM004,Administration
Defra,Environment Agency,26/07/2011,Purchase,Head Office Capital WiP,Ford Motor Co Ltd,981296,"27,465.86",934875 Ford Transit Van DCIV 350L,CM13 3BW,30106159,HOFOFRM004,Administration
Defra,Environment Agency,14/07/2011,Environmental Services,"Environment and Business Water, Land & Air",FWAG,979638,"27,120.00",Soil Analysis work,CV8  2RX,,HOEB100009,Project 
Defra,Environment Agency,14/07/2011,Main Contractors,North West Capital WiP,Barhale Construction Plc,979212,"27,075.95",932796 - Millingford Brook Relief Culvert,WS1 4NN,30238849,IMNW000177,Project 
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South West,East Devon District Council,946238,"26,990.02",899965 Rates Clyst Honiton,EX10 8HL,,,Administration
Defra,Environment Agency,05/07/2011,Building Management | Property & Construction Consultancy,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,975144,"26,793.05",928740 Siemens Hosting & Support charges Jun'11. chased app 29.06 lw,HA2 0PG,30097178,,Administration
Defra,Environment Agency,19/07/2011,Main Contractors,Midlands Capital WiP,Galliford Try Infrastructure Ltd,980696,"26,626.98",934276 - Upton Upon Severn - IMM100870,LE10 3JF,30142734,IMMI000870,Project 
Defra,Environment Agency,26/07/2011,Staff Medical Care,Internal Transformation (HSW),Health Management Ltd,982695,"26,254.80",Occupational Health assessments,BN8 5NN,,HOHRITA001,Administration
Defra,Environment Agency,21/07/2011,Main Contractors,South East Capital WiP,Dyer & Butler Ltd,981219,"26,148.07",934798 Bucklebury FAS Project No. 1052.,SO16 0AH,30134440,IMTH001504,Project 
Defra,Environment Agency,26/07/2011,Building Management,Thames South East-Tidal Defence Mgr,Greenwich Council,946159,"26,047.50",899886 Rates Thames barrier visitors center,SE1 6RS,,,Administration
Defra,Environment Agency,05/07/2011,Waste Management Services,National Monitoring,AMEC Nuclear UK Ltd,976220,"25,935.38",929813 - 11193 Waste Quality Checking Services FY 10/11,WA16 8QZ,30001263,HOOP000055,Administration
Defra,Environment Agency,05/07/2011,"Marine, Coastal & Inland Waterways Services",Midlands East-Ops Delivery - 2,Balfour Beatty Civil & Construction,975173,"25,680.00",928767 6 MONTHLY maintenance of M&E,DE21 7BG,30144345,REMI000499,Administration
Defra,Environment Agency,26/07/2011,Building Management,FM Operating Unit - Central and South East,East Cambridgeshire District Council,949549,"25,591.64",903258 Rates - prickwillow,CB7 4XP,,,Administration
Defra,Environment Agency,21/07/2011,"Marine, Coastal & Inland Waterways Services",EA Wales Capital WiP,Jeremy Benn Associates Ltd,981462,"25,353.60",935041 - Ammanford Survey Management - Professional services rendered and expenses incurred for the period to 30.06.11 - Final Invoice,BD23 3AE,40022270,IMWA001071,Project 
Defra,Environment Agency,07/07/2011,Main Contractors,North West South-Ops Delivery,Millar Landscapes,977547,"25,302.62",931140 Desilting works,SK3 8SG,30140395,RENW200029,Project 
Defra,Environment Agency,19/07/2011,Construction Service Providers,Head Office NCPMS Manager,Atkins Ltd,978812,"25,227.98",932397. CDM Consultancy Cost,KT18 5BW,30072266,NCPMSCDM,Project 
Defra,Environment Agency,19/07/2011,Vehicle Maintenance,Head Office Fleet Operations,Hitachi Capital Commercial Vehicle Services,979523,"25,120.34",SIMAR Commercial Vehicle Maintenance ,BA14 8QU,30182247,,Administration
Defra,Environment Agency,26/07/2011,Main Contractors,Anglian Capital WiP,Interserve Project Services Ltd,982329,"25,070.10",Advisory services - construction,TQ14 0HP,30142730,IMAN002206,Project 
Defra,Environment Agency,19/07/2011,Environmental Services,South West RSU Mgr,Angling Development Board,980708,"25,000.00",Collaborative project with ADB,NG8 6PE,,RESW001121,Project 
Defra,Environment Agency,28/07/2011,Environmental Services,North East,Brian Hill Quarries Ltd,985950,"28,020.00",939510. Mill Farm landfill,,EPR/PP3799CE,"28,020.00",Project
Defra,Environment Agency,07/07/2011,Vehicle Maintenance,HO Fleet Operations,Post Office,979306,"36,135.00",Road Fund Licences,,RFL July 11,"36,135.00",Administration
Defra,Environment Agency,22/07/2011,Environmental Services,NW Capital WiP,Royal Society for the Protection of Birds,982689,"36,000.00",Contribution to Futurescape Project,,Futurescapes Project,"36,000.00",Project
