EA >£25k Sept 11 Payments report FINAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type,,,,,
Defra,EA,13-Sep-11,Building Management,FM Operating Unit - Central and South East,Egan Lawson Llp,994511,"66,000.00",948028. Rent - Orchard House - 29.09.11 to 24.12.11,W1S 2XF,,,,Administration,,,,,
Defra,EA,13-Sep-11,Main Contractors,AN Northern-Waterways Operations Manager,BAM Nuttall Ltd,983606,"63,582.02",937169 Minor maintenance works - Hemingford Lock Desilt HSS Doc.,GU15 3XW,,30184779,WWAN000002,Project,,,,,
Defra,EA,08-Sep-11,Main Contractors,SE Capital WiP,JT Mackley & Co Ltd,994465,"63,232.27",947982 Tonbridge Weir Bank Protection Works.,BN5 9XQ,,30134439,IMSE500038,Project,,,,,
Defra,EA,15-Sep-11,Telecoms,HO Flood Warning Systems,MM Teleperformance Ltd,995897,"62,792.89",Call centre & managment costs for Floodline live agent and RMS service,BS1 3LG,,30146474,,Administration,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Black & Veatch Ltd,994525,"61,617.79",948042 Banbury Flood Aleviation Scheme,RH1 1LQ,,30072271,IMTH000615,Project,,,,,
Defra,EA,06-Sep-11,Building Management,FM Operating Unit - Northern,Colenso Property Services,993245,"61,050.00",946767 Quarterly rent in advance 29/8/44 - 24/12/2011 for Coverdale House.,YO30 4GZ,,,,Project,,,,,
Defra,EA,20-Sep-11,Environmental Services,MI East-AEM - 3,Peak District National Park Authority,997287,"60,000.00",950781 Grant Contribution to Moors for the future core funding 2011/12,DE45 1AE,,,REMI000556,Project,,,,,
Defra,EA,06-Sep-11,Engineering Services,SE Capital WiP,MAN Diesel Ltd,991970,"59,777.15",945492 Material and service engineer,SK7 5AQ,,30280906,IMTH001345,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,SE Kent & South London - Ops Delivery,BAM Nuttall Ltd,995919,"59,425.20",949429. Blackland Culvert Descaling,GU15 3XW,,30203231,,Project,,,,,
Defra,EA,06-Sep-11,Building Management,FM Operating Unit - Central and South East,King Sturge,994042,"59,400.00",947559 rent in advance  29/09 - 24/012/11  COLVEDENE COURT,BS8 1HU,,,,Administration,,,,,
Defra,EA,13-Sep-11,Leasing ,HO Geomatics,RVL Survey Ltd,994945,"58,492.93",948455 Supply of Cessna 404 & 406 for 1/08/11 to 31/08/2011,CV8 3AZ,,30000394,SCLI0001,Project,,,,,
Defra,EA,27-Sep-11,Electricity,HO Business Finance,British Gas Business,998990,"58,060.58",Green electricity for Anglian Region,OX4 2JY,,30286703,EBILLP2P | ,Administration,,,,,
Defra,EA,01-Sep-11,"Marine, Coastal & Inland Waterways Services",NE Yorkshire Area Ops Delivery,Amco Engineering,992641,"57,665.45",946163 Electrical and Mechanical for the Yorkshire region,S75 1HT,,30244069,RENE790106,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949493,"57,055.24",903202 Rates - Millbank,SW1E 6QP,,,,Administration,,,,,
Defra,EA,27-Sep-11,Main Contractors,NE Capital WiP,Lumsden & Carroll Construction Ltd,999012,"57,007.37",952504 Ormesby Beck Realignment August works.,DH6 5PF,,30204740,IMNE000113,Project,,,,,
Defra,EA,06-Sep-11,"Marine, Coastal & Inland Waterways Services",WA South West-MEICA,Integral UK Ltd,994272,"56,067.97",947789 Meica maintenance & support Cert 5 for the supply of services required to carry out work. 18.07.11 - 14.08.11,BS32 4SG,,40023791,REWA100003,Administration,,,,,
Defra,EA,08-Sep-11,Construction Service Providers,SW Capital WiP,Halcrow Group Ltd,993750,"55,465.27",947267 - Steart Managed Realignment,SN4 0QD,,30071913,IMSW001389,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,North Dorset District Council,946150,"55,424.00",899877 Rates Rivers House,DT11 7LL,,,,Administration,,,,,
Defra,EA,27-Sep-11,Environmental Services,HO Flood Warning Systems,Met Office,999840,"54,600.00",953330 UKCMF data for Coastal forecasting 01/07 - 30/09/11,EX1 3PB,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Tewkesbury Borough Council,949624,"53,692.00",903333 Rates - Riversmeet hse,GL20 5TT,,,,Administration,,,,,
Defra,EA,06-Sep-11,Main Contractors,SW Capital WiP,Interserve Project Services Ltd,993002,"51,717.35",946524 Shaldon & Ringmore TDS,TQ14 0HP,,30142730,IMSW000563,Project,,,,,
Defra,EA,20-Sep-11,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,996672,"50,605.74",950169 - informal extension rentals lease cars August 11,RG14 2NU,,30000281,,Administration,,,,,
Defra,EA,27-Sep-11,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,999089,"50,276.93",952581. Watercourse maintenance central and west,IP6 8NH,,30134424,,Project,,,,,
Defra,EA,27-Sep-11,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,995628,"49,930.68",Supply of electricity to Kennett Pumping Station ,PL3 5ZN,,30319078 | 30286699,REAN000470,Administration,,,,,
Defra,EA,27-Sep-11,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,999092,"48,807.98",952584. Watercourse maintenance central and west,IP6 8NH,,30134424,,Project,,,,,
Defra,EA,22-Sep-11,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,997941,"48,622.57",951434 Mill Leese 6666 pROJECT NO imso000999,LE10 3JF,,30142734,IMSO000999,Project,,,,,
Defra,EA,20-Sep-11,Engineering Services,SE SSD - Plan & Corp Services,Integrated Water Services Ltd,997258,"48,145.20",950752 Carry out the re-commisioning. Tempary VSD installation.,WS2 7PD,,30152329,RESE000001,Project,,,,,
Defra,EA,22-Sep-11,Construction Service Providers,MI Capital WiP,Jacobs Engineering UK Ltd,995324,"47,080.06",Upton Upon Severn FRMS,G2 7HX,,30072261,IMMI000870,Project,,,,,
Defra,EA,06-Sep-11,Main Contractors,WA South West-Ops Delivery,Spencer Environmental Care Associates Ltd,993622,"46,737.12",947139.  Vegetation cutting to various reens on Newport & Caldicot Levels. .,SA44 5NW,,40026198,,Project,,,,,
Defra,EA,27-Sep-11,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,999253,"46,127.48",Engineering services,LE10 3JF,,30142734,IMMI001039,Project,,,,,
Defra,EA,06-Sep-11,Fuels,HO Fleet - EA Wales,Arval Phh,994079,"46,079.27",947596 Monthly fuel bill for Wales August 2011,SN5 6PQ,,40002026,,Administration,,,,,
Defra,EA,20-Sep-11,Main Contractors,NW Capital WiP,Qualter Hall & Co Ltd,991129,"45,742.28",944656  *** New Req 10372559*** Urgent works refurbishment at Altmouth Pumping Station  .,S75 2BY,, | 30205242 |  |  | ,IMNW000671,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SW Capital WiP,Black & Veatch Ltd,994864,"45,474.27",Engineering services,RH1 1LQ,,30072271,IMSW001669,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,995389,"44,998.70",Detailed Design Upper Mole FAS .,G2 7HX,,30072261,IMTH000956,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,NE Capital WiP,Byzak Ltd,996213,"44,613.05",949723. Buttercrambe weir ultrasonic,M41 7TG,,30204802,IMNE430004,Project,,,,,
Defra,EA,27-Sep-11,Vehicle Maintenance,HO Marine Monitoring Service,Briggs Marine Contractors Ltd,999591,"44,445.65",953083 Contract charge for Hovercraft Hire,KY3 9AX,,30277423,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Sevenoaks District Council,946244,"44,168.45",899971 Rates Leigh,TN13 1HG,,,,Administration,,,,,
Defra,EA,01-Sep-11,Environmental Services,NW Nuclear Regulation Mgr,LGC Ltd,991049,"43,954.80",944581 Ongoing Analysis of Effluent samples 1st Quarter of 2011 (LFFS07EK),TW11 0LY,,30131976,HOOP000055,Project,,,,,
Defra,EA,01-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,Atkins Ltd,991466,"43,764.72",944992 RSATechnical support IMAN000612.,KT18 5BW,,30275011,IMAN000612,Project,,,,,
Defra,EA,27-Sep-11,Systems Delivery,HO Capital WiP,Scisys UK Ltd,990217,"43,525.18",Energy efficiency scheme project,SN14 0GB,,,EBOCC40003L01,Project,,,,,
Defra,EA,06-Sep-11,Construction Service Providers,SW Capital WiP,Atkins Ltd,993457,"43,195.90",946979 Neeca2-1689-000323 Teignmouth Estuary,KT18 5BW,,30072266,IMSW000780,Project,,,,,
Defra,EA,15-Sep-11,Vehicle Maintenance,HO Fleet Operations,Post Office Ltd,998176,"43,076.50",Road Licence fees,,,,,Administration,,,,,
Defra,EA,19-Sep-11,Environmental Services,HO Geomatics,ITRES,998942,"42,494.54",Remote Imaging system,,,,,Administration,,,,,
Defra,EA,20-Sep-11,"Marine, Coastal & Inland Waterways Services | Environmental Services | Construction Service Providers",Incident Management Manager,Halcrow Group Ltd,998351,"42,350.73",National Coastal Erosion project,SN4 0QD,,30219914,FCPMM00054B00,Administration,,,,,
Defra,EA,06-Sep-11,Construction Service Providers,AN Central - Flood Risk,Atkins Ltd,993488,"42,190.27",947010 - NEECA2-1689-000303 - detailed asset inspections,KT18 5BW,,30072266,REAN001172,Project,,,,,
Defra,EA,13-Sep-11,Software | Systems Delivery,CIS Capital WiP,ABM UK Ltd,956924,"42,000.00",User acceptance testing,NG11 6JS,,,CIS330429,Administration,,,,,
Defra,EA,13-Sep-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,994980,"41,485.96",948490 River Chelt CWC,IP1 5LT,,30142731,IMMI000541,Project,,,,,
Defra,EA,01-Sep-11,Environmental Services,WA Capital WiP,White Young Green,991946,"40,978.31",945468: Pontarddulais FAS - ground investigation for July 2011.,LS6 2UJ,,40014054,IMWA000864,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Haskoning UK Ltd,994420,"40,827.49",947937. Haydon Wick,PE3 8DW,,30071934,IMTH001574,Project,,,,,
Defra,EA,22-Sep-11,Construction Service Providers,SE Capital WiP | TH Capital WiP,Haskoning UK Ltd,982029,"40,782.74",Haydon Wick project,PE3 8DW,,30071934,IMTH001574,Project,,,,,
Defra,EA,08-Sep-11,"Marine, Coastal & Inland Waterways Services",SW Devon & Cornwall Field Monitoring-AEM,CSE Servelec Ltd,993927,"40,662.90",947444. Telemetry Support & Maintenance for SW - Quarter 3 -  01.10.11 to 31.12.11,S21 4HL,,30009217,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,Rotherham Metropolitan Borough Council,945523,"40,485.50",899253 Rates - Templeborough,S65 1EU,,,,Administration,,,,,
Defra,EA,01-Sep-11,Software,HO Corp Comms and Media,Newspaper Licensing Agency Ltd,991996,"40,189.13",945518 Licence to copy cutting from Newspapers for July 11 to June 12,TN1 1NL,,,,Project,,,,,
Defra,EA,27-Sep-11,Maintenance & Support,CI SD Management MRA,CEFAS,998541,"39,900.00",952034 - Live Fish Movements database Apr-June 11,NR33 0HT,,,,Project,,,,,
Defra,EA,08-Sep-11,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,975240,"39,571.46",928834 LIGHT WATERCOURSE MINOR WORKS CENTRAL ,IP6 8NH,,30134424,,Administration,,,,,
Defra,EA,22-Sep-11,Construction Service Providers,MI Capital WiP | HO NCPMS Manager,Jacobs Engineering UK Ltd,989161,"39,316.63",Upton Upon Severn FRMS,G2 7HX,,30072261,IMMI000870 | NCPMSCDM,Project,,,,,
Defra,EA,01-Sep-11,Construction Service Providers,NW Capital WiP,Halcrow Group Ltd,992361,"39,169.38",945883 River Mersey,SN4 0QD,,30071913,IMNW000699,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,TH Capital WiP | SE Capital WiP,Dyer & Butler Ltd,991266,"39,001.26",Sele Mill Siphon,SO16 0AH,,30134440,IMTH001230,Project,,,,,
Defra,EA,27-Sep-11,Building Management,NW Regional Facilities,Trafford Metropolitan Borough Council,949530,"38,753.50",903239 Rates - Sale,M33 7ZF,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949454,"38,180.46",903163 Rates - Fobney Mead,RG1 7TD,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Shropshire Council,949623,"38,176.96",903332 rates - Hafren Hse,SY2 6ND,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,WA Capital WiP,William Hughes Civil Engineering Ltd,991886,"38,172.46",945408: Caergwrle Weir Valuation Nr. 2.,LL77 7DZ,,40018008,IMWA000836,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Northern,Kettering Borough Council,946279,"38,110.46",900006 Rates Nene Hse,NN16 8PP,,,,Administration,,,,,
Defra,EA,13-Sep-11,Environmental Services,AN Capital WiP,EDI Surveys Ltd,995712,"38,012.40",Topographical Surveys for the Anglian Region,IP2 0AH,,30189693,IMAN002290,Administration,,,,,
Defra,EA,22-Sep-11,Main Contractors,SE Capital WiP,Birse Civils Ltd,998553,"37,785.94",952046 C2409-High Knock to Dymchurch sea defences,DN18 5BW,,30142670,IMSO000825,Project,,,,,
Defra,EA,27-Sep-11,Building Management,NLS Support Nottingham,Nottingham City Council,948437,"37,633.48",902149 Rates National Labs - Starcross,NG1 4XX,,,,Administration,,,,,
Defra,EA,01-Sep-11,Environmental Services,SE North East Thames - Ops Delivery,JT Mackley & Co Ltd,992793,"37,384.03",Watercourse maintenance North & East Area,BN5 9XQ,,30134439,,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,995374,"37,098.73",Medmerry Managed Realignment –,G2 7HX,,30072261,IMSO001023,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,SE West Thames - Ops Delivery,JT Mackley & Co Ltd,996345,"37,012.70",949855 Gross Valuation of work for Watercourse & RB Maintenance Thames,BN5 9XQ,,30134439,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Taunton Deane Borough Council,945505,"36,710.21",899235 Rates - Crown Ind est Taunton,TA1 2BB,,,,Administration,,,,,
Defra,EA,13-Sep-11,Environmental Services,HO Capital WiP,Hydrock Consultants Ltd,994442,"36,667.54",Helpston Remediation Project - Remediation,BS32 4DF,,30177470,HOOP000050,Project,,,,,
Defra,EA,27-Sep-11,Environmental Services,HO Flood Warning Systems,Met Office,999842,"36,512.10",953332 FY11-12 weather services 01/07 - 30/09/11,EX1 3PB,,,,Administration,,,,,
Defra,EA,20-Sep-11,Pathology,NLS Central Functions,YSI Hydrodata Ltd,994464,"36,035.88",947981 Pro quatro instrument with 1 metre cable; pH & Polarographic DO sensors,SG6 1FJ,,30240451,NL00000032,Project,,,,,
Defra,EA,27-Sep-11,Building Management,National Estates Manager,Leeds City Council,945486,"35,939.00",899216 Rates Stockdale Hse,LS2 8JR,,,,Administration,,,,,
Defra,EA,27-Sep-11,Pension Services,HO Pensions Investment,Mercer Investment Consulting,998809,"35,830.90",952302 Professional services (investment consulting) for the period 01/06/2011 - 31/07/2011.,SW1H 9NB,,30044763,,Administration,,,,,
Defra,EA,08-Sep-11,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,993673,"35,400.89",947190 Thames Weir Motorisation phase 2/3,IP1 5LT,,30142731,IMTH001505,Project,,,,,
Defra,EA,08-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Central-AEM - Bedford,CSE Servelec Ltd,993931,"34,789.80",947448. Telemetry System & Maintenance for Anglian - Quarter 3 -  01.10.11 to 31.12.11,S21 4HL,,30009217,OOAN000364,Project,,,,,
Defra,EA,08-Sep-11,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,994536,"34,683.00",948053. Languard Point to Mardyke SMP2,PE3 8DW,,30071934,IMAN001713,Project,,,,,
Defra,EA,20-Sep-11,Post & Courier,NLS Central Functions,City Sprint,995449,"34,472.22",948959 Lab Courier Services period ending 31.08.2011,RH1 1YB,,30293049,,Administration,,,,,
Defra,EA,22-Sep-11,Rail,NE North East Area AEM South,West Yorkshire Passenger Transport Executive,998450,"34,163.20",Rail tickets,LS1 2DE,,,,Administration,,,,,
Defra,EA,01-Sep-11,Construction Service Providers,Asset Management Manager,Halcrow Group Ltd,992434,"34,140.00",945956 - FCRM Post Project Appraisal Programme 2011/2012,SN4 0QD,,30071913,FCPAM00010B00,Project,,,,,
Defra,EA,01-Sep-11,"Marine, Coastal & Inland Waterways Services",NE Yorkshire Area Ops Delivery,Amco Engineering,992638,"34,037.08",946160 Electrical and Mechanical for North west region,S75 1HT,,30244069,RENE790106,Project,,,,,
Defra,EA,15-Sep-11,Vehicle Maintenance,SW Capital WiP,HM Revenue & Customs Only,998180,"33,950.00",Licence Fees,,,,,Administration,,,,,
Defra,EA,13-Sep-11,Main Contractors,WA South East-AEM - Monitoring & Fisheries | WA South East-Planning/Corp Services,Spencer Environmental Care Associates Ltd,996496,"33,775.20",950006. Transportation of Shoal Material from Treforest to Neath Abbey Wharf.,SA44 5NW,,40026198,REWA000020 | REWA000171,Project,,,,,
Defra,EA,15-Sep-11,Main Contractors,AN Capital WiP | AN Central-Ops Delivery,Jackson Civil Engineering Ltd,996661,"33,473.64",950158 Ouse Washes Desiltin/Bankworks,IP1 5LT,,30184783,IMAN002166 | REAN001494 | REAN001513,Project,,,,,
Defra,EA,09-Sep-2011 | 27-Sep-2011,Building Management,National Estates Manager,Stockton On Tees Borough Council,948434,"33,341.00",902146 rates Thornaby,TS23 2YS,,,,Administration,,,,,
Defra,EA,06-Sep-11,Environmental Materials,NLS Instrumentation,YSI Hydrodata Ltd,987214,"33,250.80",940765 - *req 10370187* Fluorescence Chlorophyll probe,SG6 1FJ,,30240451,NL00000056,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Chelmsford Borough Council,948476,"33,225.69",902188 Rivers hse - Rates,CM1 2JE,,,,Administration,,,,,
Defra,EA,22-Sep-11,Post & Courier,NLS Central Functions,City Sprint,998649,"33,114.98",952142 Courier Service,RH1 1YB,,30293049,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,NE Capital WiP,Lumsden & Carroll Construction Ltd,991921,"33,112.02",945443 Boat removal,DH6 5PF,,30204740,IMNE790331,Project,,,,,
Defra,EA,13-Sep-11,Main Contractors,AN Central-Ops Delivery | AN Capital WiP,Jackson Civil Engineering Ltd,994983,"33,053.40",948493 Ouse washes desilting/Bankworks,IP1 5LT,,30184783,REAN001494 | REAN001513 | IMAN002166,Project,,,,,
Defra,EA,06-Sep-11,Construction Service Providers,SE Capital WiP,Atkins Ltd,993561,"32,995.61",947078 NEECA2-1689-000402 high impact capital refurb,KT18 5BW,,30072266,IMTH001749,Project,,,,,
Defra,EA,08-Sep-11,Main Contractors,SW Capital WiP,Kingcombe Aquacare Ltd,993958,"32,505.84",947475 Chiswell Culvert contract No EA248,TA18 7HQ,,30192014,IMSW001794,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,SE West Thames - Ops Delivery,J Breheny Contractors Ltd,992320,"32,443.49",945842 Minor Works up to 29/07/11 Wey & Loddon vegetation Contractors Framework,IP6 8NH,,30134424,,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,SE SSD - Ops Delivery,Land & Water Services Ltd,995750,"32,390.44",949260 Chichester 31 Streams - Hand cutting,GU5 9AF,,30150847,,Project,,,,,
Defra,EA,27-Sep-11,Vehicle Maintenance,HO Marine Monitoring Service,Briggs Marine Contractors Ltd,999592,"32,310.56",953084 Contract charge for Diablo Crewing,KY3 9AX,,30277423,,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,WA Capital WiP,JU Bowen Construction Ltd,992620,"32,282.64",946142 Application 3 Project: Felindre Mill work carried out to completion excluding CE's as per cerificate,SY16 2DR,,40018012,IMWA000843,Project,,,,,
Defra,EA,01-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Strategic Env Planning Mgr,Atkins Ltd,991471,"32,100.71",944997 In river needs strategy Phase 1  REANWR7116 July 2011.,KT18 5BW,,30275011,REANWR7116,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Wyre Forest District Council,946200,"32,070.29",899927 Rates Hoo Farm,DY10 2BL,,,,Administration,,,,,
Defra,EA,06-Sep-11,Engineering Services,SE Capital WiP,MAN Diesel Ltd,992100,"31,897.42",945622 Service & Material for Service order number 40011305.,SK7 5AQ,,30280906,IMTH001345,Project,,,,,
Defra,EA,27-Sep-11,"Marine, Coastal & Inland Waterways Services",MI Capital WiP,Eco Energi Ltd,999737,"31,837.91",953227. OkoFen wood pellet system Calverton,ST5 1EL,,,IMMI001263,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,995382,"31,785.72",TE2100 Package 1 GLR Tidal Walls Package ,G2 7HX,,30072261,IM3728,Project,,,,,
Defra,EA,13-Sep-11,Building Management,AN Regional Facilities,Sir Robert McAlpine Ltd,994422,"31,500.00",947939 Advance rent for Nene House,HP2 7TR,,,,Administration,,,,,
Defra,EA,01-Sep-11,Cleaning,FM Operating Unit - Central and South East,Superclean Services Wothorpe Ltd,992516,"31,338.14",946038 Window cleaning service for August 2011,PE9 2JL,,30222235,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Warwick District Council,961546,"31,176.00",915179 Rates Brook Hse,CV32 5QW,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South West,Cornwall Council,946165,"31,043.43",899892 Rates - Bodmin,TR1 1YL,,,,Administration,,,,,
Defra,EA,20-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,AMEC Environment & Infrastructure UK Ltd,997623,"30,836.94",951117 RSA Desk work,NE3 3PX,,30274977,IMAN000612,Project,,,,,
Defra,EA,22-Sep-11,"Marine, Coastal & Inland Waterways Services",MI West - Ops Delivery,Balfour Beatty Civil & Construction,998407,"30,486.00",951900  6 Monthly inspections at Avon Sluices/Birmingham,DE21 7BG,,30312224,REMI000498,Administration,,,,,
Defra,EA,15-Sep-11,Main Contractors,TH Capital WiP,JT Mackley & Co Ltd,996236,"30,198.00",949746 Contract No 04402 Minor Works Barking Barrier,BN5 9XQ,,30134439,IMTH001590,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Bedford Borough Council,949570,"30,093.50",903279  Rates - st john street,MK40 1SH,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Braintree District Council,949585,"30,093.50",903294 Rates - Feering,CM7 9HB,,,,Administration,,,,,
Defra,EA,27-Sep-11,Environmental Services,WA Northern-AEM - E M Monitoring,Wye & Usk Foundation,999750,"30,000.00",953240 - FSOD Ref: 019/11 - Contribution to the Usk and Wye Invasives Project,LD3 0YR,,,REWA000253,Project,,,,,
Defra,EA,13-Sep-11,Construction Service Providers,SE Capital WiP,Haskoning UK Ltd,994421,"29,984.03",947938. Haydon Wick,PE3 8DW,,30071934,IMTH001574,Project,,,,,
Defra,EA,01-Sep-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,990240,"29,863.10",943772 Sindsley Brook ,LE10 3JF,,30142734,IMNW000293,Project,,,,,
Defra,EA,06-Sep-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,Mott Macdonald Ltd,992239,"29,760.00",Northern Area Tidal Modelling Phase 3 ,CB1 2RS,,30000979 | 30219915,IMAN001672,Project,,,,,
Defra,EA,08-Sep-11,Construction Service Providers | Main Contractors,WA Capital WiP,Denca Controls Ltd,988696,"29,035.87",942245 For engineering & software developement on Afon Wyden Flood Def Scheme Contract 1,WA8 ORA,,40031811,IMWA000936,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Havant Borough Council,949412,"29,011.00",903121 Rates- Waterlooville,PO9 2ER,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,TH South East-Tidal Defence Mgr,London Borough Of Greenwich,946157,"28,992.00",899884 Rates - Herringham Road,SE18 6RA,,,,Administration,,,,,
Defra,EA,13-Sep-11,Maintenance & Support | Systems Delivery,CIS Capital WiP,CDC Climat,995773,"28,823.00",949283 ETSWAP module 2 change request CR01,,,,CIS3309115,Project,,,,,
Defra,EA,13-Sep-11,Environmental Services,WA South West-AEM - EM Monitoring,Carmarthenshire Rivers Trust,995162,"28,800.00",948672  Contribution to Upper Towy Fisheries Habitat Improvement Project. ,SA32 8QY,,,REWA000021,Project,,,,,
Defra,EA,08-Sep-11,Main Contractors,NE Regional Monitoring Manager,Lumsden & Carroll Construction Ltd,991922,"28,791.91",945444 Ellerbeck,DH6 5PF,,30204740,,Project,,,,,
Defra,EA,27-Sep-11,Building Management,FM Operating Unit - Central and South East,Test Valley Borough Council,958669,"28,734.46","912313 Rates The Depot, Romsey",SP10 3AJ,,,,Administration,,,,,
Defra,EA,01-Sep-11,Main Contractors,SE Capital WiP,Interserve Project Services Ltd,991730,"28,733.16",945256 Culverts on 21 sites,TQ14 0HP,,30142730,IMSO001184,Project,,,,,
Defra,EA,08-Sep-11,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,994554,"28,544.09",948071. Chelmsford FAS Planning and Detailed Design,PE3 8DW,,30071934,IMAN001326,Project,,,,,
Defra,EA,13-Sep-11,Building Management,MI Regional Facilities | FM Operating Unit - Central and South West,Bishops Securities Ltd,995139,"28,476.00",948649 Rental payment for offices and workshops at Mance house ,NG1 1HN,,,,Administration,,,,,
Defra,EA,27-Sep-11,Building Management,NLS Support Llanelli,Carmarthenshire County Council,952297,"28,462.00",905997 REQ 10358680 Rated Llanelli. ,SA31 1LE,,,,Administration,,,,,
Defra,EA,08-Sep-11,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,994543,"28,326.06",948060. Steeple Bumpstead FRMS,PE3 8DW,,30071934,IMAN001770,Project,,,,,
Defra,EA,20-Sep-11,Main Contractors,NW North-Area Mgr,Mayson Brothers Ltd,992937,"28,163.92",Weir refurbishments,CA22 2DU,,30239797,RENW001813,Project,,,,,
Defra,EA,13-Sep-11,Building Management | Electricity,FM Operating Unit - Central and South East,Howard Grove Ltd,994049,"27,900.00",947566 Rent 29/09 - 24/12/11 Howard House,CB2 1AW,,,,Administration,,,,,
Defra,EA,06-Sep-11,Construction Service Providers,AN Capital WiP,Atkins Ltd,993401,"27,733.01",946923 - NEECA2-1689-000458 - high impact capital refurb,KT18 5BW,,30072266,IMAN001890,Project,,,,,
Defra,EA,15-Sep-11,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,996808,"27,480.45",950305 - Recharges for Lease Cars,RG14 2NU,,30000281,,Administration,,,,,
Defra,EA,13-Sep-11,Environmental Services,AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,994444,"27,417.58",Helpston Remediation Project - Remediation,BS32 4DF,,30177470,REAN001571,Project,,,,,
Defra,EA,01-Sep-11,Environmental Services,SE Kent & South London - Ops Delivery,Crawley Borough Council,992496,"27,017.14",946018 Watercourse maintenance works from April 2011 to July 2011.,RH10 1UZ,,,,Project,,,,,
Defra,EA,13-Sep-11,Systems Delivery | Maintenance & Support,CIS Capital WiP,CDC Climat,995775,"27,000.00",949285 ETSWAP module 1 Sch 7.1,,,,CIS3309115,Project,,,,,
