Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BATH & NORTH EAST SOMERSET COUNCIL,Public Sector,Dedicated Schools Grant,4000069590,3568720
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BEDFORD BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068774,3672360
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BEDFORD BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069591,3672360
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BIRMINGHAM CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068775,35999400
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BIRMINGHAM CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069592,35999400
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068776,5031400
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069593,5031400
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BLACKPOOL BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068777,3990960
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BLACKPOOL BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069594,3990960
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BOLTON MBC,Public Sector,Dedicated Schools Grant,4000068778,8122480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BOLTON MBC,Public Sector,Dedicated Schools Grant,4000069595,8122480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BOURNEMOUTH BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068779,3232760
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BOURNEMOUTH BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069596,3232760
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BRACKNELL FOREST BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068780,2912920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BRACKNELL FOREST BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069597,2912920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BRIGHTON & HOVE CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068781,5934200
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BRIGHTON & HOVE CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069598,5934200
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BRISTOL CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068782,9377560
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BRISTOL CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069599,9377560
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BUCKINGHAMSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068783,11601000
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BUCKINGHAMSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069600,11601000
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,BURY MBC,Public Sector,Dedicated Schools Grant,4000068784,5285160
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,BURY MBC,Public Sector,Dedicated Schools Grant,4000069601,5285160
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CALDERDALE MBC,Public Sector,Dedicated Schools Grant,4000068785,5416160
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CALDERDALE MBC,Public Sector,Dedicated Schools Grant,4000069602,5416160
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CAMBRIDGESHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068786,11843680
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CAMBRIDGESHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069603,11843680
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CENTRAL BEDFORDSHIRE COUNCIL,Public Sector,Dedicated Schools Grant,4000068787,5846240
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CENTRAL BEDFORDSHIRE COUNCIL,Public Sector,Dedicated Schools Grant,4000069604,5846240
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CHESHIRE EAST COUNCIL,Public Sector,Dedicated Schools Grant,4000068788,8204120
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CHESHIRE EAST COUNCIL,Public Sector,Dedicated Schools Grant,4000069605,8204120
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CHESHIRE WEST & CHESTER COUNCIL,Public Sector,Dedicated Schools Grant,4000068789,8162160
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CHESHIRE WEST & CHESTER COUNCIL,Public Sector,Dedicated Schools Grant,4000069606,8162160
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Public Sector,Dedicated Schools Grant,4000068790,16607680
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,Public Sector,Dedicated Schools Grant,4000069607,16607680
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CITY OF LONDON,Public Sector,Dedicated Schools Grant,4000068791,95640
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CITY OF LONDON,Public Sector,Dedicated Schools Grant,4000069608,95640
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CITY OF WESTMINSTER,Public Sector,Dedicated Schools Grant,4000068792,4384720
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CITY OF WESTMINSTER,Public Sector,Dedicated Schools Grant,4000069609,4384720
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CORNWALL COUNCIL,Public Sector,Dedicated Schools Grant,4000068793,9926320
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CORNWALL COUNCIL,Public Sector,Dedicated Schools Grant,4000069610,9926320
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,COUNCIL OF THE ISLES OF SCILLY,Public Sector,Dedicated Schools Grant,4000068794,120364
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,COUNCIL OF THE ISLES OF SCILLY,Public Sector,Dedicated Schools Grant,4000069611,120364
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,COVENTRY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068795,8624920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,COVENTRY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069612,8624920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,CUMBRIA COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068796,10673480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,CUMBRIA COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069613,10673480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DARLINGTON BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068797,2110600
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DARLINGTON BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069614,2110600
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DERBY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068798,6761320
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DERBY CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069615,6761320
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DERBYSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068799,18118240
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DERBYSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069616,18118240
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DEVON COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068800,13716440
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DEVON COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069617,13716440
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DONCASTER MBC,Public Sector,Dedicated Schools Grant,4000068801,7249920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DONCASTER MBC,Public Sector,Dedicated Schools Grant,4000069618,7249920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DORSET COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068802,9226200
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DORSET COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069619,9226200
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DUDLEY MBC,Public Sector,Dedicated Schools Grant,4000068803,8757280
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DUDLEY MBC,Public Sector,Dedicated Schools Grant,4000069620,8757280
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,DURHAM COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068804,12640440
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,DURHAM COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069621,12640440
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,EAST RIDING OF YORKSHIRE,Public Sector,Dedicated Schools Grant,4000068805,7545480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,EAST RIDING OF YORKSHIRE,Public Sector,Dedicated Schools Grant,4000069622,7545480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,EAST SUSSEX COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068806,12298080
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,EAST SUSSEX COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069623,12298080
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,ESSEX COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068807,30368360
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,ESSEX COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069624,30368360
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,GATESHEAD MBC,Public Sector,Dedicated Schools Grant,4000068808,5064280
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,GATESHEAD MBC,Public Sector,Dedicated Schools Grant,4000069625,5064280
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,GLOUCESTERSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068809,11471280
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,GLOUCESTERSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069626,11471280
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,HALTON BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068810,3567960
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,HALTON BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069627,3567960
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,HAMPSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068811,29625360
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,HAMPSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069628,29625360
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,HARTLEPOOL BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000068812,2951880
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,HARTLEPOOL BOROUGH COUNCIL,Public Sector,Dedicated Schools Grant,4000069629,2951880
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,HEREFORDSHIRE COUNCIL,Public Sector,Dedicated Schools Grant,4000068813,3448160
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,HEREFORDSHIRE COUNCIL,Public Sector,Dedicated Schools Grant,4000069630,3448160
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,HERTFORDSHIRE,Public Sector,Dedicated Schools Grant,4000068814,27476920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,HERTFORDSHIRE,Public Sector,Dedicated Schools Grant,4000069631,27476920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,ISLE OF WIGHT COUNCIL,Public Sector,Dedicated Schools Grant,4000068815,3225480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,ISLE OF WIGHT COUNCIL,Public Sector,Dedicated Schools Grant,4000069632,3225480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,KENT COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068816,31846760
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,KENT COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069633,31846760
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,KINGSTON UPON HULL COUNCIL,Public Sector,Dedicated Schools Grant,4000068817,6976800
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,KINGSTON UPON HULL COUNCIL,Public Sector,Dedicated Schools Grant,4000069634,6976800
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,KIRKLEES COUNCIL,Public Sector,Dedicated Schools Grant,4000068818,11573920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,KIRKLEES COUNCIL,Public Sector,Dedicated Schools Grant,4000069635,11573920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,KNOWSLEY MBC,Public Sector,Dedicated Schools Grant,4000068819,4667040
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,KNOWSLEY MBC,Public Sector,Dedicated Schools Grant,4000069636,4667040
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LANCASHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068820,30439200
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LANCASHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069637,30439200
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LEEDS CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068821,18593920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LEEDS CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069638,18593920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LEICESTER CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068822,9805680
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LEICESTER CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069639,9805680
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LEICESTERSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068823,15377440
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LEICESTERSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069640,15377440
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LINCOLNSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000068824,14578560
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LINCOLNSHIRE COUNTY COUNCIL,Public Sector,Dedicated Schools Grant,4000069641,14578560
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LIVERPOOL CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000068825,12565920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LIVERPOOL CITY COUNCIL,Public Sector,Dedicated Schools Grant,4000069642,12565920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,Public Sector,Dedicated Schools Grant,4000068826,7573360
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,Public Sector,Dedicated Schools Grant,4000069643,7573360
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARNET COUNCIL,Public Sector,Dedicated Schools Grant,4000068827,8481040
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BARNET COUNCIL,Public Sector,Dedicated Schools Grant,4000069644,8481040
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BEXLEY COUNCIL,Public Sector,Dedicated Schools Grant,4000068828,5488480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BEXLEY COUNCIL,Public Sector,Dedicated Schools Grant,4000069645,5488480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BRENT,Public Sector,Dedicated Schools Grant,4000068829,9334400
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BRENT,Public Sector,Dedicated Schools Grant,4000069646,9334400
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BROMLEY COUNCIL,Public Sector,Dedicated Schools Grant,4000068830,5596120
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF BROMLEY COUNCIL,Public Sector,Dedicated Schools Grant,4000069647,5596120
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CAMDEN,Public Sector,Dedicated Schools Grant,4000068831,6198040
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CAMDEN,Public Sector,Dedicated Schools Grant,4000069648,6198040
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CROYDON COUNCIL,Public Sector,Dedicated Schools Grant,4000068832,9397800
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF CROYDON COUNCIL,Public Sector,Dedicated Schools Grant,4000069649,9397800
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF EALING COUNCIL,Public Sector,Dedicated Schools Grant,4000068833,10025640
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF EALING COUNCIL,Public Sector,Dedicated Schools Grant,4000069650,10025640
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ENFIELD COUNCIL,Public Sector,Dedicated Schools Grant,4000068834,9638640
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ENFIELD COUNCIL,Public Sector,Dedicated Schools Grant,4000069651,9638640
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF GREENWICH,Public Sector,Dedicated Schools Grant,4000068835,8889880
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF GREENWICH,Public Sector,Dedicated Schools Grant,4000069652,8889880
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,Public Sector,Dedicated Schools Grant,4000068836,4347360
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,Public Sector,Dedicated Schools Grant,4000069653,4347360
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARINGEY,Public Sector,Dedicated Schools Grant,4000068837,8128880
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARINGEY,Public Sector,Dedicated Schools Grant,4000069654,8128880
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARROW COUNCIL,Public Sector,Dedicated Schools Grant,4000068838,5626880
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HARROW COUNCIL,Public Sector,Dedicated Schools Grant,4000069655,5626880
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAVERING COUNCIL,Public Sector,Dedicated Schools Grant,4000068839,5824480
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HAVERING COUNCIL,Public Sector,Dedicated Schools Grant,4000069656,5824480
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,Public Sector,Dedicated Schools Grant,4000068840,7203000
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,Public Sector,Dedicated Schools Grant,4000069657,7203000
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,Public Sector,Dedicated Schools Grant,4000068841,7267920
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,Public Sector,Dedicated Schools Grant,4000069658,7267920
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ISLINGTON COUNCIL,Public Sector,Dedicated Schools Grant,4000068842,6065040
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF ISLINGTON COUNCIL,Public Sector,Dedicated Schools Grant,4000069659,6065040
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LAMBETH COUNCIL,Public Sector,Dedicated Schools Grant,4000068843,8387840
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LAMBETH COUNCIL,Public Sector,Dedicated Schools Grant,4000069660,8387840
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LEWISHAM,Public Sector,Dedicated Schools Grant,4000068844,8976720
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF LEWISHAM,Public Sector,Dedicated Schools Grant,4000069661,8976720
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF MERTON COUNCIL,Public Sector,Dedicated Schools Grant,4000068845,4944840
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF MERTON COUNCIL,Public Sector,Dedicated Schools Grant,4000069662,4944840
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF NEWHAM,Public Sector,Dedicated Schools Grant,4000068846,12401240
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF NEWHAM,Public Sector,Dedicated Schools Grant,4000069663,12401240
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF REDBRIDGE,Public Sector,Dedicated Schools Grant,4000068847,8936640
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF REDBRIDGE,Public Sector,Dedicated Schools Grant,4000069664,8936640
Department for Education,DEPARTMENT FOR EDUCATION,04/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF RICHMOND UPON THAMES,Public Sector,Dedicated Schools Grant,4000068848,4160720
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Education Funding Group,LONDON BOROUGH OF RICHMOND UPON THAMES,Public Sector,Dedicated Schools Grant,4000069665,4160720
