Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Business & Local Growth - Advanced Manufacturing Services,BROOK STREET (UK) LTD,57696,638.47,BLG Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Project Management Costs,Enterprise & Skills Group - Enterprise Directorate,GWE BUSINESS WEST LTD,57697,98370.00,Growth Vouchers-Project Management Costs,BS8 3RA,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/09/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,57698,47670.44,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Static Line Rental,Legal Services - Legal Services,BRITISH TELECOMMUNICATIONS plc (BT),57700,-97.97,Legal Services Admin-Static Line Rental,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Static Line Rental,Legal Services - Legal Services,BRITISH TELECOMMUNICATIONS plc (BT),57700,199.33,Legal Services Admin-Static Line Rental,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Telecoms Equipment,Legal Services - Legal Services,BRITISH TELECOMMUNICATIONS plc (BT),57700,13.50,Legal Services Admin-Telecoms Equipment,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Static Line Rental,Legal Services - Legal Services,BRITISH TELECOMMUNICATIONS plc (BT),57701,61.63,Legal Services Admin-Static Line Rental,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,External Legal Advice and Service,Shareholder Executive - ED SME Finance Policy,BOND DICKINSON LLP,57707,1045.00,EF: Access To Finance Projects-External Legal Advice and Service,NE1 3DX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,External Legal Advice and Service,Shareholder Executive - ED SME Finance Policy,BOND DICKINSON LLP,57708,544.00,EF: Access To Finance Projects-External Legal Advice and Service,NE1 3DX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,KING & WOOD MALLESONS LLP,57711,1576.50,ECF: Capital For Enterprise Fund-Legal Services and Advice Agency,EC4R 1BE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,External Legal Advice and Service,Shareholder Executive - ED SME Finance Policy,BOND DICKINSON LLP,57712,85.00,EF: Access To Finance Projects-External Legal Advice and Service,NE1 3DX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,KING & WOOD MALLESONS LLP,57713,1290.50,ECF: Catalyst Fund-Legal Services and Advice Agency,EC4R 1BE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Enforcement,"Business & Local Growth - Energy, Chemicals and Agri-Tech",ITSA LTD,57715,3399.75,MC&PR: Product Regulations-Enforcement,SS15 6TH,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,PR & Marketing Advice & Services,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,57722,1325.00,P&S Devolved Admin-PR & Marketing Advice & Services,SL6 1DP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,57723,43718.40,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2014,Training And Development Expenditure,Enterprise & Skills Group - Better Regulation Delivery Office,CIVIL SERVICE COLLEGE LTD,57724,550.00,E&S Devolved Admin-Training And Development Expenditure,SW1H 9BU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,57732,13855.20,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,57732,889383.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,57733,384961.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Trade Payable Transfers in/out of boundary,Economics & Markets - Consumer and Competition Policy,BARCLAYS BANK PLC T/A BARCLYCARD COMMERCIAL,57738,14028.69,Consumer Futures DEL-Trade Payable Transfers in/out of boundary,TS17 6YG,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57739,6660.18,Abbey Orchard Street-Electricity,PL3 5YL,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57740,1424.03,F&C Devolved Admin-Electricity,PL3 5YL,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2014,Occupational Health Service,People & Strategy - Human Resources,CAPITA HEALTH & WELLBEING LTD,57741,362.00,P&S Devolved Admin-Occupational Health Service,CO4 9QR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2014,Stationery,People & Strategy - Strategy and Growth,BANNER BUSINESS SERVICES LTD,57742,298.29,P&S Devolved Admin-Stationery,NR3 1QU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,57743,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 PHN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2014,Hire of Agency Staff,Business & Local Growth - Digital Economy Unit,CAPITA RESOURCING LTD,57745,2278.50,ShEx Devolved Admin-Hire of Agency Staff,SL6 1DP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Advertising,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,57746,1008.00,Corporate Presentation-Advertising,DL1 PHN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Staff Welfare Costs,People & Strategy - Human Resources,RADIUS BUSINESS LTD,57747,15000.00,P&S Non Devolved Admin-Other Staff Welfare Costs,SE17 3BA,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,57748,1721.27,BLG Devolved Admin-Hire of Agency Staff,DL1 PHN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,57749,2709.36,BLG Devolved Admin-Hire of Agency Staff,DL1 PHN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/09/2014,Professional Subscriptions,Economics & Markets - International Trade & Export Control,INSIDE WASHINGTON PUBLISHERS,57759,825.01,E&M Devolved Admin-Professional Subscriptions,DC20044,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Professional Subscriptions,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",57762,190.00,E&M Devolved Admin-Professional Subscriptions,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",57763,25.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",57764,65.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Eye Tests,Finance & Commercial Group - Estates,"Personal Expense, Name Witheld",57765,49.00,F&C Non Devolved Admin-Eye Tests,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Computer Equipment,Shareholder Executive - British Business Bank,XMA LTD,57766,-1014.64,Central Functions-Computer Equipment,NG11 7EP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Additions - Other Loans - Public Corporations,Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD C/O ROYAL MAIL,57767,55000000.00,POL: Voted Loans-Additions - Other Loans - Public Corporations,S49 1HQ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Interest receivable - PCs - Loans (Consolidated Fund),Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD C/O ROYAL MAIL,57767,-1332.19,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),S49 1HQ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Professional Subscriptions,Finance & Commercial Group - Internal Audit,"Personal Expense, Name Witheld",57768,165.00,E&M Devolved Admin-Professional Subscriptions,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,Additions - Other Loans - Public Corporations,Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD C/O ROYAL MAIL,57779,22000000.00,POL: Voted Loans-Additions - Other Loans - Public Corporations,S49 1HQ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Health and Safety Consultancy,Knowledge & Innovation Group - Research Base,DIVERSE STRATEGIES LTD,57784,20160.00,Other Science: RB Initiatives - Analysis-Health and Safety Consultancy,DY11 6AF,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Consultancy Expenditure,Enterprise & Skills Group - Vocational Education Directorate,FORRESTER-WALKER CONSULTING LTD,57786,550.00,Quality Improvement Reform-Consultancy Expenditure,WR14 3EF,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,External Legal Advice and Service,Shareholder Executive - ED SME Finance Policy,BOND DICKINSON LLP,57796,103.06,EF: Access To Finance Projects-External Legal Advice and Service,NE1 3DX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/09/2014,Finance & Accounting Advice,Finance & Commercial Group - Finance Group,CIGNA RECRUITMENT LTD,57797,650.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/09/2014,Finance & Accounting Advice,Finance & Commercial Group - Finance Group,CIGNA RECRUITMENT LTD,57797,11050.00,F&C Devolved Admin-Finance & Accounting Advice,EN5 4HL,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Outsourced Programme Management,Knowledge & Innovation Group - Research Base,RICARDO-AEA LTD,57798,11934.00,DO NOT USE-Outsourced Programme Management,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,57799,4657.50,F&C Devolved Admin-Hire of Agency Staff,SL6 1DP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,57800,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,57800,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57801,102.00,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57801,24.80,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",57802,11.35,E&S Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",57802,30.00,E&S Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Knowledge & Innovation Group - Higher Education,"Personal Expense, Name Witheld",57803,10.35,K&I Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",57804,5.00,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",57804,5.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",57804,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57805,67.50,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57805,12.60,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57806,141.30,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57806,6.00,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57806,28.28,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57806,4.00,Legal Services Admin-Rail Travel UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57807,131.40,Default-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",57808,5.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",57808,27.98,E&S Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57809,423.90,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57809,22.28,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57809,36.00,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57809,2.98,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",57810,4.50,E&M Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",57810,3.00,E&M Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",57810,2.30,E&M Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",57810,4.95,E&M Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",57811,270.90,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57811,4.20,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57811,13.30,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",57811,94.70,Legal Services Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57812,13.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57813,20.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57814,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57814,10.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57815,3.55,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",57815,40.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",57816,15.60,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Finance & Commercial Group - Internal Audit,"Personal Expense, Name Witheld",57817,5.00,F&C Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Finance & Commercial Group - Internal Audit,"Personal Expense, Name Witheld",57817,6.00,F&C Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Motor Vehicle Hire,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",57818,11.66,BLG Devolved Admin-Motor Vehicle Hire,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",57818,7.60,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57819,3.00,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Rail Travel UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57819,51.00,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",57820,244.00,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",57820,3.30,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",57821,5.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",57822,2.30,E&S Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",57822,9.40,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",57823,2.00,E&S Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hospitality - UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",57824,3.60,BRDO: PA Extension-Hospitality - UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",57826,5.00,BRDO: PA Extension-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hotel & Accommodation Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,71.10,BLG Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Rail Travel Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,3.33,BLG Devolved Admin-Rail Travel Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,4.40,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,8.89,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,10.00,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",57827,13.04,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",57828,2.20,K&I Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",57828,3.80,K&I Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",57828,21.88,K&I Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",57828,4.40,K&I Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",57828,21.80,K&I Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2014,Other Travel,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",57829,8.90,ShEx Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57830,55.00,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57830,7.50,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57830,17.50,BLG Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",57830,4.20,BLG Devolved Admin-Subsistence UK,,EMPLOYEE
