Departmental Family,Entity,Date,Expence Type,Expense Area,Suplier,Transaction Number, Amount ,PO Line Description,Post Code,Project Code,Expenditure Type,Supplier Type,Contract Number
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST CHESHIRE NHS TRUST,HAFS-20598," £5,890,000.00 ",,SK10 3BL,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,HAFS-20599," £8,212,000.00 ",,NG8 3LL,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-20600," £34,915,000.00 ",,TN37 7PT,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,EPSOM & ST HELIER UNIVERSITY HOSPITAL NHS TRUST,HAFS-20601," £4,000,000.00 ",,SM5 1AA,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-20602," £7,000,000.00 ",,CA2 7HX,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,PLYMOUTH HOSPITALS NHS TRUST,HAFS-20603," £23,414,000.00 ",,WF3 1WE,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,PORTSMOUTH HOSPITAL NHS TRUST,HAFS-20604," £3,438,000.00 ",,PO6 3LY,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,ROYAL CORNWALL HOSPITAL NHS TRUST,HAFS-20605," £3,800,000.00 ",,TR1 2XN,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-20606," £4,202,000.00 ",,NG17 4JL,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,SURREY & SUSSEX HEALTHCARE NHS TRUST,HAFS-20607," £199,000.00 ",,RH1 5RH,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,THE IPSWICH HOSPITAL NHS TRUST,HAFS-20608," £426,000.00 ",,IP4 5PD,,,PUBLIC,
,,15/02/2016,Additions NHS FTs Working Capital Loans,DG: Central Technical,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,HAFS-20609," £3,005,000.00 ",,LA1 4GG,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-20610," £5,066,000.00 ",,WR5 1DD,,,PUBLIC,
,,15/02/2016,Additions NHS Trust Working Capital Loans,DG: Central Technical,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-20611," £12,300,000.00 ",,BS1 2NP,,,PUBLIC,
,,16/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,HEART OF ENGLAND NHS FOUNDATION TRUST,940332," £18,600,000.00 ",Support to Heart of England NHS Foundation Trust for the Provision of Health Services,B9 5TA,,,PUBLIC,
,,16/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,A0030148," £6,800,000.00 ",Support to Kettering General Hospital NHS Foundation Trust for the Provision of Health Services,NN16 8UZ,,,PUBLIC,
,,16/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST RYX,N0032831," £1,000,000.00 ",Support to Central London Community Healthcare NHS Trust for the Provision of Health Services,SW1E 6QP,,,PUBLIC,
,,17/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,HUMBER NHS FOUNDATION TRUST,1010007142," £600,000.00 ",Support to Humber NHS Foundation Trust for the Provision of Health Services,HU10 6ED,,,PUBLIC,
,,17/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,BEDFORD HOSPITAL NHS TRUST,I0147295," £300,000.00 ",Support to Bedford Hospitals NHS Trust for the Provision of Health Services,MK42 9DJ,,,PUBLIC,
,,17/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE WALTON CENTRE NHS FOUNDATION TRUST,N0015818," £700,000.00 ",Support to The Walton Centre NHS Foundation Trust for the Provision of Health Services,L9 7LJ,,,PUBLIC,
,,18/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,SALFORD ROYAL NHS FOUNDATION TRUST,1000170115," £400,000.00 ",Support to Salford Royal NHS Foundation Trust for the Provision of Health Services,M6 8HD,,,PUBLIC,
,,18/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,40054827," £2,000,000.00 ",Support to Hampshire Hospitals NHS Foundation Trust for the Provision of Health Services,RG24 9NA,,,PUBLIC,
,,18/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,THE STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP R1E,51354634," £4,294,000.00 ",Support to The Staffordshire & Stoke On Trent Partnership NHS Trust for the Provision of Health Services,ST4 4LX,,,PUBLIC,
,,18/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,LIVERPOOL COMMUNITY HEALTH NHS TRUST RY1,9610004404," £600,000.00 ",Support to Liverpool Community Health NHS Trust for the Provision of Health Services,L7 9NJ,,,PUBLIC,
,,22/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,5110004392," £300,000.00 ",Support to Manchester Mental Health and Social Care NHS Trust for the Provision of Health Services,M8 5RB,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,HAFS-20641," £5,048,000.00 ",,BN2 3EW,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-20642," £426,000.00 ",,SE5 9RS,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-20643," £2,600,000.00 ",,LS9 7TF,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-20644," £977,000.00 ",,WF1 4TU,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-20645," £580,000.00 ",,NN1 5BD,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,HAFS-20646," £178,000.00 ",,BR3 3BX,,,PUBLIC,
,,22/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,HAFS-20647," £6,000,000.00 ",,TS4 3BW,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20648," £340,000.00 ",,SW17 0QT,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,SUSSEX COMMUNITY NHS TRUST,HAFS-20649," £3,000,000.00 ",,BN2 3EW,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,HAFS-20650," £332,000.00 ",,B29 6JS,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HAFS-20651," £160,000.00 ",,WF3 1we,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,HAFS-20652," £988,000.00 ",,CV2 2DX,,,PUBLIC,
,,22/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-20653," £13,196,000.00 ",,ST4 7LN,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,WEST LONDON MENTAL HEALTH NHS TRUST,HAFS-20654," £11,052,000.00 ",,UB1 3EU,,,PUBLIC,
,,22/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,WYE VALLEY NHS TRUST,HAFS-20655," £250,000.00 ",,HR1 2ER,,,PUBLIC,
,,23/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2000035636," £100,000.00 ",Support to Colchester Hospital University NHS Foundation Trust for the Provision of Health Services,CO4 5JL,,,PUBLIC,
,,26/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,I0049076," £1,400,000.00 ",Support to South Essex Partnership University NHS Foundation Trust for the Provision of Health Services,RM16 2PX,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20656," £335,000.00 ",,M13 0JR,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-20657," £2,918,000.00 ",,SE1 9RT,,,PUBLIC,
,,29/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-20658," £1,955,000.00 ",,HG2 7UG,,,PUBLIC,
,,29/02/2016,Additions NHS Trust Capital Investment Loans,DG: Central Technical,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-20659," £4,444,000.00 ",,PE29 6NT,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-20660," £803,000.00 ",,W12 0HS,,,PUBLIC,
,,29/02/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-20661," £2,626,000.00 ",,PR7 1GZ,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,MEDWAY NHS FOUNDATION TRUST,HAFS-20662," £400,000.00 ",,ME7 5NY,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-20663," £3,000,000.00 ",,NG5 1PT,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-20664," £194,000.00 ",,PE3 6DA,,,PUBLIC,
,,29/02/2016,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,HAFS-20665," £285,000.00 ",,EX2 5DW,,,PUBLIC,
,,29/02/2016,Additions PDC Revenue Support NHS FT Permanent,DG: Central Technical,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,HAFS-20666," £340,000.00 ",,BA1 3NG,,,PUBLIC,
,,29/02/2016,Additions PDC Revenue Support NHS FT Permanent,DG: Central Technical,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,HAFS-20667," £353,000.00 ",,BA1 3NG,,,PUBLIC,
,,02/02/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,417701," £90,788.06 ",RBA852 - Kingsley Green  - HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST - Security,AL3 5TL,,,PUBLIC,
,,18/02/2016,Service charge,"DG: Finance, Commercial & NHS",NHS SHARED BUSINESS SERVICES SBS,100038529," £27,083.33 ",SBS - Digital Archive Services - Annual Service Charge,WF3 1WE,,,PUBLIC,
,,11/02/2016,Provisions cash payment,DG: Strategy & External Relations,NHS INJURY BENEFITS SCHEME,ERS-550859-116541," £4,157,232.57 ","Injury Allowance Recharge Payment, Jan 2016",FY7 8LG,,,PUBLIC,
,,05/02/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000022975," £163,806.00 ",NHS Pensions BSA 2015 - 16,NE1 6SN,,,PUBLIC,
,,05/02/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000022972," £139,788.00 ",NHS Pensions BSA 2015 - 16,NE1 6SN,,,PUBLIC,
,,05/02/2016,Professional fees,DG: Strategy & External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000022971," £50,548.00 ",NHS Pensions BSA 2015 - 16,NE1 6SN,,,PUBLIC,
,,08/02/2016,Service charge,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672190," £2,058,395.44 ",Revenue: 2015/16  Choices HSCIC - Recharge of MVS Related Charges,LS1 6AE,,,PUBLIC,
,,08/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0090243," £13,407.09 ",Capital 2015/16 STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project - Oct 2015 claim,CV34 5BW,,,PUBLIC,
,,08/02/2016,Service charge,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0090243," £115,283.52 ",Revenue 2015/16 STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project - Oct 2015 claim,CV34 5BW,,,PUBLIC,
,,09/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671446," £167,817.00 ",Capital 2015/16 SUS Spine Headcount,LS1 6AE,,,PUBLIC,
,,09/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672134," £370,102.00 ",Capital 2015/16 SUS Spine Headcount,LS1 6AE,,,PUBLIC,
,,09/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672221," £98,009.97 ",Capital 2015/16 SUS Spine Headcount,LS1 6AE,,,PUBLIC,
,,11/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671444," £1,251,091.00 ",Capital 2015/16 Spine 2: Head count Capitalisation cost 15/16,LS1 6AE,,,PUBLIC,
,,11/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672132," £1,037,867.00 ",Capital 2015/16 Spine 2: Head count Capitalisation cost 15/16,LS1 6AE,,,PUBLIC,
,,11/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672220," £1,051,020.76 ",Capital 2015/16 Spine 2: Head count Capitalisation cost 15/16,LS1 6AE,,,PUBLIC,
,,11/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15356342," £70,909.98 ",Capital 2015/16 NME LSP Lorenzo Warrington & Halton NHSFT reimbursement of internal Trust costs Sept'15,WA7 2DA,,,PUBLIC,
,,11/02/2016,Service charge,"DG: Innovation, Growth & Technology",WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,15356342," £234,427.55 ",Revenue 2015/16 NME LSP Lorenzo Warrington & Halton NHSFT reimbursement of internal Trust costs Sept'15,WA7 2DA,,,PUBLIC,
,,11/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0091495," £21,258.47 ",Capital 2015/16 STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project Nov 2015 claim,CV34 5BW,,,PUBLIC,
,,11/02/2016,Service charge,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0091495," £53,395.87 ",Revenue 2015/16 STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project Nov 2015 claim,CV34 5BW,,,PUBLIC,
,,16/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671445," £185,786.00 ",Capital 2015/16 E-RS Staff Capitalisation cost for the Period 01/04/2015 to 31/03/2016,LS1 6AE,,,PUBLIC,
,,16/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672133," £336,802.00 ",Capital 2015/16 E-RS Staff Capitalisation cost for the Period 01/04/2015 to 31/03/2016,LS1 6AE,,,PUBLIC,
,,16/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672225," £281,715.00 ",Capital 2015/16 E-RS Staff Capitalisation cost for the Period 01/04/2015 to 31/03/2016,LS1 6AE,,,PUBLIC,
,,17/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0013612," £16,684.36 ",Capital 2015/16 NME LSP STAFA costs associated with Norfolk & Suffolk Lorenzo Deployment July 2015,BB3 0FG,,,PUBLIC,
,,17/02/2016,Service charge,"DG: Innovation, Growth & Technology",NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0013612," £81,655.36 ",Revenue 2015/16 NME LSP STAFA costs associated with Norfolk & Suffolk Lorenzo Deployment July 2015,BB3 0FG,,,PUBLIC,
,,17/02/2016,Addition Clearing - SW LIC,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0091916," £20,624.89 ",Capital 2015/16 NME LSP Lorenzo STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project - Dec 2015 claim,CV34 5BW,,,PUBLIC,
,,17/02/2016,Service charge,"DG: Innovation, Growth & Technology",SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0091916," £123,902.51 ",Revenue 2015/16 NME LSP Lorenzo STAFA and Local Change costs associated South Warwickshire NHS Foundation Trust Lorenzo Deployment of the Lorenzo Project - Dec 2015 claim,CV34 5BW,,,PUBLIC,
,,09/02/2016,Professional fees,"DG: Social Care, Local Growth & Care Partnerships",CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,53452113," £51,968.00 ",Fees for approval functions of the Secretary of state for Health under Section 12 :Panel 3 period of 01-04-15 to 31-03-2016. CPA NO. 513747,NW1 2PL,,,PUBLIC,
,,01/02/2016,Outsourcing Contract,DG: Public & International Health,NHS BLOOD AND TRANSPLANT (NHSBT),952531, £-   ,Improving stem cell services UK 2012-15,LS15 7TW,,,PUBLIC,
,,01/02/2016,Outsourcing Contract,DG: Public & International Health,NHS BLOOD AND TRANSPLANT (NHSBT),952531, £-   ,mproving stem cell services in the UK 2012-15,LS15 7TW,,,PUBLIC,
,,01/02/2016,Outsourcing Contract,DG: Public & International Health,NHS BLOOD AND TRANSPLANT (NHSBT),952531," £327,207.00 ",Improving stem cell services UK 2015/16,LS15 7TW,,,PUBLIC,
,,04/02/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000084," £1,135,683.24 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,04/02/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000085," £69,122.31 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,04/02/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000086," £340,756.85 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,04/02/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000087," £90,927.68 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,04/02/2016,Outsourcing Contract,DG: Public & International Health,NHS SUPPLY CHAIN,9046000088," £62,769.59 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,,,PUBLIC,
,,10/02/2016,Outsourcing Contract,DG: Public & International Health,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000023053," £67,089.56 ",Service Level Agreement between NHS Business Services Authority and Secretary of State for Health for the management of services relating to the Healthy Food Schemes (HFS) - 2015-16,NE1 6SN,,,PUBLIC,
,,16/02/2016,Outsourcing Contract,DG: Public & International Health,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),5583814," £53,350.00 ",Bilateral Action Plans support - South Africa and Mexico,WC1V 6NA,,,PUBLIC,
,,18/02/2016,Arm Length Bodies-Revenue Subsidy,DG: Public & International Health,NHS BLOOD AND TRANSPLANT (NHSBT),953242," £5,508,000.00 ",NHSBT revenue drawdown for 2015/16,LS15 7TW,,,PUBLIC,
,,23/02/2016,Outsourcing Contract,DG: Public & International Health,PUBLIC HEALTH ENGLAND PHE033,6194327," £150,000.00 ",Public Health Workforce Strategy Delivery,SP4 0JG,,,PUBLIC,
,,03/02/2016,Research & development,DG: Research & Development,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",ERS-550475-116164," £35,722.00 ",Research for Patient Benefit,NE3 3XT,,,PUBLIC,
,,03/02/2016,Research & development,DG: Research & Development,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-550481-116162," £25,488.80 ",HTA Commissioned Research,WF3 1WE,,,PUBLIC,
,,03/02/2016,Research & development,DG: Research & Development,PORTSMOUTH HOSPITAL NHS TRUST,ERS-550486-116163," £60,552.00 ",AD-HOC - ETC,PO6 3LY,,,PUBLIC,
,,03/02/2016,Research & development,DG: Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-550488-116181," £98,381.00 ",Invention for Innovation,NE7 7DN,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,LEEDS TEACHING HOSPITAL NHS TRUST,1410035636," £24,407.45 ",NCCRCD Management,LS9 7TF,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,LEEDS TEACHING HOSPITAL NHS TRUST,1410035637," £61,019.50 ",NCCRCD Management,LS9 7TF,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,LEEDS TEACHING HOSPITAL NHS TRUST,1410035638," £300,750.34 ",NCCRCD Management,LS9 7TF,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-550566-116272," £110,389.00 ",Programme Grants for NHS Trusts,BR3 3BX,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-550567-116273," £106,531.00 ",Programme Grants for NHS Trusts,BR3 3BX,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-550568-116274," £106,292.00 ",Programme Grants for NHS Trusts,BR3 3BX,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-550569-116280," £53,599.00 ",Programme Grants for NHS Trusts,M25 3BL,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-550570-116264," £106,863.00 ",Programme Grants for NHS Trusts,SE5 9RS,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-550571-116270," £45,427.00 ",Programme Grants for NHS Trusts,NE7 7DN,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-550572-116277," £38,227.00 ",Programme Grants for NHS Trusts,LE5 4QF,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-550573-116269," £51,687.00 ",Programme Grants for NHS Trusts,CB1 5EE,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-550574-116261," £53,214.00 ",Programme Grants for NHS Trusts,WF3 1WE,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-550575-116263," £84,019.00 ",Programme Grants for NHS Trusts,SO52 9AB,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,NORTH BRISTOL NHS TRUST,ERS-550576-116276," £32,652.00 ",Programme Grants for NHS Trusts,BS1 2NP,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-550579-116279," £51,625.50 ",Programme Grants for NHS Trusts,NG7 2UK,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-550580-116262," £61,675.00 ",Programme Grants for NHS Trusts,NG3 6AA,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-550581-116268," £76,496.00 ",Programme Grants for NHS Trusts,NW1 2BX,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,NHS NORTH STAFFORDSHIRE CCG 05G,ERS-550583-116291," £60,619.00 ",Programme Grants for NHS Trusts,ST5 1QG,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-550584-116283," £95,271.00 ",Programme Grants for NHS Trusts,M21 9UN,,,PUBLIC,
,,05/02/2016,Research & development,DG: Research & Development,BARTS HEALTH NHS TRUST,ERS-550585-116286," £60,342.00 ",Programme Grants for NHS Trusts,E1 8PR,,,PUBLIC,
