Feb 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
,,,,,,,
Department family,Entity,Accounting Date,Level 2 Category,Manager Code Description,Vendor Name,Check Number,Amount
DEFRA,The Environment Agency,03-Feb-11,Security,Wales - Contruction Work in Progress,Keyhole Security,2034518,"39,950.00"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Thames - Ops Delivery,Barhale Construction Plc,2247920,"39,635.45"
DEFRA,The Environment Agency,17-Feb-11,Construction Service Providers,Wales - Contruction Work in Progress,Ove Arup & Partners Ltd,2034744,"39,461.65"
DEFRA,The Environment Agency,03-Feb-11,Environmental Services,Thames - Various,Atkins Ltd,2248227,"38,959.83"
DEFRA,The Environment Agency,08-Feb-11,Fuels,Wales - Fleet Ops,Arval Phh,2034540,"38,501.98"
DEFRA,The Environment Agency,22-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Mott Macdonald Ltd,2250226,"38,189.42"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Flood Risk Management,George Shuttleworth Ltd,2249021,"36,279.23"
DEFRA,The Environment Agency,08-Feb-11,Legal Services,Thames - Construction Work in Progress,Dundas & Wilson Llp,2248634,"36,246.36"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Midlands - Various,Atkins Ltd,2247917,"36,241.33"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Balfour Beatty Civil & Construction,2248581,"35,786.57"
DEFRA,The Environment Agency,03-Feb-11,Construction Service Providers,North East - Construction Work in Progress,Wakefield Metropolitan District Council,2248535,"35,250.00"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Mott Macdonald Ltd,2250554,"35,212.92"
DEFRA,The Environment Agency,24-Feb-11,Technical Consultancy,Contruction Work in Progress ,Halcrow Group Ltd,2250465,"35,030.73"
DEFRA,The Environment Agency,15-Feb-11,Operational Services,Corporate Information Systems,Gartner UK Ltd,2249432,"34,800.00"
DEFRA,The Environment Agency,08-Feb-11,Legal Services,Head Office Legal Services,Tahir Z Khan,2248839,"34,392.88"
DEFRA,The Environment Agency,03-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Various,Burton Brothers,2248254,"33,780.00"
DEFRA,The Environment Agency,17-Feb-11,Technical Consultancy,National Permitting Service,Wardell Armstrong LLP,2249994,"33,400.85"
DEFRA,The Environment Agency,10-Feb-11,Building Repair & Maintenance,National Facilities Manager,Roshal Space Consultants Ltd,2249186,"32,939.74"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Midlands - Construction Work in Progress,Birch Brothers Kidderminster Ltd,2250370,"32,796.00"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services","Various - Contruction, Ops Delivery, Environment & Business",Entec UK Ltd,2248642,"32,427.88"
DEFRA,The Environment Agency,10-Feb-11,Environmental Services,Anglian - Various,EDI Surveys Ltd,2248991,"32,328.00"
DEFRA,The Environment Agency,03-Feb-11,Cleaning,National Facilities Manager,Superclean Services Wothorpe Ltd,2248509,"32,184.85"
DEFRA,The Environment Agency,08-Feb-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2248755,"32,167.62"
DEFRA,The Environment Agency,15-Feb-11,Cleaning,Various - Facilities Management & Ops Delivery,LPM Cleaning Ltd,2249508,"32,048.38"
DEFRA,The Environment Agency,17-Feb-11,Building Repair & Maintenance,National Facilities Manager,MacWhirter Ltd,2249865,"31,965.16"
DEFRA,The Environment Agency,22-Feb-11,Engineering Services,Anglian - Various,Dabbrook Services Ltd,2250095,"31,775.89"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Contruction Work in Progress ,Amco Engineering,2250033,"31,722.23"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,Contruction Work in Progress ,Deangate Ltd,2248971,"31,704.09"
DEFRA,The Environment Agency,17-Feb-11,Construction Service Providers,North East - Construction Work in Progress,Haskoning UK Ltd,2249812,"31,592.02"
DEFRA,The Environment Agency,22-Feb-11,Construction Service Providers,Contruction Work in Progress ,Atkins Ltd,2250043,"31,314.58"
DEFRA,The Environment Agency,10-Feb-11,Catering,National Facilities Manager,Eurest,2249003,"31,287.49"
DEFRA,The Environment Agency,17-Feb-11,Environmental Services,South West - Construction Work in Progress,Wildfowl & Wetlands Trust,2250003,"31,200.00"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Midlands - Construction Work in Progress,Birch Brothers Kidderminster Ltd,2248237,"31,002.36"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Wales - Contruction Work in Progress,Capita Symonds Ltd,2034650,"30,860.40"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Thames - Construction Work in Progress,J Breheny Contractors Ltd,2250499,"30,831.78"
DEFRA,The Environment Agency,22-Feb-11,Environmental Materials,"Environment & Business Water, Land & Air",YSI Hydrodata Ltd,2250327,"30,720.00"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Contruction Work in Progress ,EC Harris Llp,2247983,"30,436.97"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Contruction Work in Progress ,EC Harris Llp,2247983,"30,436.97"
DEFRA,The Environment Agency,22-Feb-11,"Marine, Coastal & Inland Waterways Services",Anglian - Ops Delivery,P & R Plant Lincolnshire Ltd,2250246,"30,323.74"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,Midlands - Various,Birmingham City Council,2248590,"30,124.33"
DEFRA,The Environment Agency,15-Feb-11,Environmental Services,Anglian - Environmental Monitoring,Wild Trout Trust,2249643,"30,000.00"
DEFRA,The Environment Agency,08-Feb-11,Catering,National Facilities Manager,HR Wallingford Ltd,2248676,"29,775.00"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2248405,"29,755.17"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Thames - Ops Delivery,Hertsmere Borough Council,2248019,"29,662.58"
DEFRA,The Environment Agency,01-Feb-11,Environmental Services,South West Wessex-Ops Delivery,365 Environmental Services Ltd,2247902,"29,532.30"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Anglian - Construction Work in Progress,Rampling Plant Hire Ltd,2249569,"29,435.00"
DEFRA,The Environment Agency,24-Feb-11,Pathology,National Laboratory Service,Metlab Supplies Ltd,2250544,"29,163.09"
DEFRA,The Environment Agency,10-Feb-11,Fleet Management,Vehicle Incidents,Hitachi Capital Vehicle Solutions Ltd,2249044,"28,968.00"
DEFRA,The Environment Agency,17-Feb-11,"Marine, Coastal & Inland Waterways Services",Wales - Contruction Work in Progress,ITT Flygt Ltd,2034734,"28,895.16"
DEFRA,The Environment Agency,17-Feb-11,Environmental Materials,"Environment & Business Water, Land & Air",East Anglian Electrical Services,2249769,"28,800.00"
DEFRA,The Environment Agency,22-Feb-11,Construction Service Providers,Contruction Work in Progress ,Faithful & Gould Ltd,2250128,"28,585.68"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services","Various - Construction, Ops Delivery",Agrilek Ltd,2250345,"28,411.88"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Midlands - Various,Birmingham City Council,2249323,"28,353.94"
DEFRA,The Environment Agency,10-Feb-11,Environmental Services,"Environment & Business Water, Land & Air",Ensis Ltd,2248995,"28,351.44"
DEFRA,The Environment Agency,15-Feb-11,Environmental Services,North West - Construction Work in Progress,Lune Rivers Trust,2249511,"28,000.00"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,North East - Construction Work in Progress,NEDL,115286,"27,993.60"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Thames - Construction Work in Progress,Jacobs Engineering UK Ltd,2249071,"27,784.16"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Contruction Work in Progress ,Ove Arup & Partners Ltd,2248096,"27,736.77"
DEFRA,The Environment Agency,15-Feb-11,Building Management,Various  - Facilities Management,Litter Boss,2249505,"27,711.35"
DEFRA,The Environment Agency,08-Feb-11,Vehicle Maintenance,Head Office - Fleet Ops,Hitachi Capital Commercial Vehicle Services,2034562,"27,711.10"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,South West - Construction Work in Progress,Team Van Oord,2249613,"27,710.62"
DEFRA,The Environment Agency,08-Feb-11,Vehicle Maintenance,Head Office - Fleet Operations,Post Office,933197,"27,624.25"
DEFRA,The Environment Agency,01-Feb-11,Pathology,National Laboratory Service,Metlab Supplies Ltd,2248072,"27,547.83"
DEFRA,The Environment Agency,24-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Capita Symonds Ltd,2250391,"27,344.62"
DEFRA,The Environment Agency,10-Feb-11,"Marine, Coastal & Inland Waterways Services",Various - Environmental Monitoring,Hydro Logic Ltd,2249055,"27,217.06"
DEFRA,The Environment Agency,10-Feb-11,Security,Thames - Construction Work in Progress,Security Services Group,2249197,"27,163.86"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Thames - Environmental Monitoring,ITT Flygt Ltd,2249477,"27,122.88"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Anglian - Construction Work in Progress,Rampling Plant Hire Ltd,2248119,"27,000.00"
DEFRA,The Environment Agency,10-Feb-11,Main Contractors,North East - Ops Delivery,Anderson Tree Care Ltd,2248893,"26,898.00"
DEFRA,The Environment Agency,10-Feb-11,Building Repair & Maintenance,National Facilities Manager,WT Parker Ltd,2249266,"26,805.18"
DEFRA,The Environment Agency,22-Feb-11,Pathology,National Laboratory Service,Metlab Supplies Ltd,2250218,"26,803.20"
DEFRA,The Environment Agency,15-Feb-11,Construction Supplies,North West - Ops Delivery,Eco Selective Products Ltd,2249401,"26,622.00"
DEFRA,The Environment Agency,01-Feb-11,Purchase,Thames - Construction Work in Progress,Adsyst Automation Ltd,2247907,"26,569.32"
DEFRA,The Environment Agency,22-Feb-11,Property & Construction Consultancy,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,2250279,"26,449.40"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,North East - Construction Work in Progress,Lumsden & Carroll Construction Ltd,2248065,"26,334.79"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,North - Flood Risk Management,Borough of Pendle,2248920,"26,329.49"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services",Wales - Contruction Work in Progress,Martin Childs Ltd,2034688,"26,280.00"
DEFRA,The Environment Agency,01-Feb-11,Construction Service Providers,Midlands - Ops Delivery,R & K Contractors & Consultants,2248117,"26,268.25"
DEFRA,The Environment Agency,22-Feb-11,Electricity,Various - Facilities Management & Ops Delivery,EDF Energy Ltd,2250115,"26,267.17"
DEFRA,The Environment Agency,08-Feb-11,Software,Head Office - Commercial Development,Ordnance Survey,2248769,"26,201.66"
DEFRA,The Environment Agency,10-Feb-11,Environmental Services,Contruction Work in Progress ,Entec UK Ltd,2248997,"26,069.22"
DEFRA,The Environment Agency,22-Feb-11,Fleet Management,Vehicle Incidents,Nationwide Network Services,2250231,"25,805.20"
DEFRA,The Environment Agency,01-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,Jacobs Engineering UK Ltd,2248038,"25,717.64"
DEFRA,The Environment Agency,17-Feb-11,"Marine, Coastal & Inland Waterways Services",Midlands - Ops Delivery,VeMotion Interactive Ltd,2249988,"25,468.44"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Anglian - Construction Work in Progress,BAM Nuttall Ltd,2250045,"25,465.81"
DEFRA,The Environment Agency,17-Feb-11,Environmental Materials,Various - Environmental Monitoring,YSI Hydrodata Ltd,2250011,"25,428.00"
DEFRA,The Environment Agency,24-Feb-11,Environmental Services,North East - Ops Delivery,Anderson Tree Care Ltd,2250352,"25,416.00"
DEFRA,The Environment Agency,24-Feb-11,Software,Corporate Information Systems,ABM UK Ltd,2250339,"25,237.71"
DEFRA,The Environment Agency,11-Feb-11,"Marine, Coastal & Inland Waterways Services",North East - Capital Work in Progress,Hydroacoustic Technology,934984,"25,179.46"
DEFRA,The Environment Agency,22-Feb-11,Environmental Services,North East ,Association Of North East Councils,2250042,"25,000.00"
