Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/02/13,Accomodation and Utilities,IT AND TELECOMS BRANCH,VODAFONE LTD,3000033545,29776.91,Service charges ,RG14 2FN,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000033535,"88,245.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SN13 0RP,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/02/13,Assets Under Construction,ESTATE MANAGEMENT,ETDE FM,3000033523,"116,809.58",Facilities Management Services,BN1  1HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/02/13,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000033539,"141,666.67",Development cost for the Government’s Major Projects Leadership Academy,OX1 5NY,SME,Admin, ,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,26/02/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PCROHD 1016,"-115,912.64",Credit note relating to August 2012 payment for rent for  accommodation ,CF14 3UW,Gov Dept,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,DEPARTMENT OF HEALTH,3000033569,"36,960.00",Project support services for the Government Cloud programme,LS2 7UE,Government Department,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000033563,"438,882.67",Community Organisers Programme cost,N1 6DR,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/02/13,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BRITISH TELECOMMUNICATIONS PLC,3000033607,"28,820.84",Line rental charges,DH98 1BT,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000033601,"62,345.46","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/02/13,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000033613,"69,526.04",High Integrity Telecomms System Project costs,NW9 6LB,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/02/13,Provisions provided for in year,GOVERNMENT PROPERTY UNIT,DAC BEACHCROFT LLP,1000708,"336,000.00",Accommodation cost,BS99 7LE,SME,Admin, ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/02/13,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000033609,"1,456,333.00",Monitoring services provided by the BBC,M14 0EP,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE LSE,3000033654,"30,000.00",Cost of trial to test the effect of credit scores on business behaviour ,WC2A 2AE,SME,Programme,, ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Consultancy,ERG CENTRAL TEAMS,GVA GRIMLEY LTD,3000033701,32419,Support cost provided under the Mutuals Support Programme,B1 2JB,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000033686,"54,621.00",Civil Service People Survey 2012 cost,N1 9AH,SME,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,28/02/13,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35500,"67,607.50",Legal services fee,WC2B 4TS,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,DLA PIPER UK LLP,3000033665,"109,959.29",Legal services fee ,EC2V 7EE ,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,OPEN IDENTITY EXCHANGE,2000334,"200,000.00",Establishment of an Open Identity Exchange Pilot ,CA 94583,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,TRANSITION IMB LTD,3000033669,"291,618.00",National Citizen Service project grant,W1W 5DW,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,28/02/13,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000712,"3,363,751.39",MyCSP administration costs,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
