,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,DEFRA,20/09/2012,Current Grants E,Policy Delivery DG,Waste & Resources Action Programme,SEPT1339158700," Ł3,391,587.00 ",Grant funding for the Waste and Resources Action Programme,OX16 0AH,SME,exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Evidence Non R&D,Policy Delivery DG,Veterinary Medicines Directorate,FI00018402," Ł797,750.00 ",Veterinary Medicines and  Surveillance - Policy Charges,KT15 3LS,,Exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Current Grants E,Policy Delivery DG,R S P B,290812," Ł87,702.00 ",Third quarter grant claim in respect of the Darwin Initiative Grant Scheme - Royal Society for the Protection of Birds Spoonbilled Sandpiper project,SG19 2DL,,Exempt,00000000,Expense,,
DEFRA,DEFRA,10/09/2012,Current Transfers Abroad UK,Policy Delivery DG,Convention On Biological Diversity,BE092012," Ł31,465.00 ",Contribution towards the Rio Conventions Pavilliaon at the Rio+20 conference in Rio Janeiro in June 2012,H2Y 1N9,SME,,00000000,Expense,,
DEFRA,DEFRA,10/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Natural England,8000009214," Ł50,000.00 ",Contribution to Monitoring of Engagement with the Natural Environment project,YO1 7PX,,WC1055/ Exempt,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Bio Intelligence Service,1206034," Ł35,972.00 ",Impacts of energy policy on biodiversity in the UK (and overseas),75014,SME,,00000000,Expense,,
DEFRA,DEFRA,25/09/2012,Current Transfers Abroad UK,Policy Delivery DG,Global Tiger Forum,17021," Ł40,712.14 ",Financial contribution to the Global Tiger Forum in respect of training country officials in wildlife management,110024,SME,,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,UNEP-WCMC,0001124," Ł26,452.00 ",Milestone payment to World Conservation Monitoring Centre - Estimating the Costs of meeting the Aichi Targets,CB3 0DL,SME,WC1050,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIASEPT12," Ł70,000,000.00 ",Flood Grant in Aid Payment for September 2012,BS1 5AH,,exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,030912," Ł3,000,000.00 ",Local Services Support Grant ,HP2 4XN,,exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017552," Ł4,187,408.87 ",Approving/licensing,KT15 3NB,,Exempt,AHVLA001,Expense,,
DEFRA,DEFRA,04/09/2012,Evidence Non R&D,Policy Delivery DG,Food & Environment Research Agency,F0024093," Ł60,580.52 ",Research trials aimed at assessing the logistical issues of the use of vaccines for TB in badgers.,YO41 1LZ,,exempt,FERA0001,Expense,,
DEFRA,DEFRA,05/09/2012,Payments to Agencies GB,Policy Delivery DG,CZ Veterinaria S A,EX120220," Ł150,695.20 ",Provision of tuberculin for use in testing for Tuberculosis in cattle,36410,,,TUBP0468,Expense,,
DEFRA,DEFRA,27/09/2012,Payments to Agencies GB,Policy Delivery DG,D L O Holding/Prionics AG,32274," Ł176,061.77 ",Provision of tuberculin for use in testing for Tuberculosis in cattle,8952,,,TUBP0468,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Zoological Society Of London.,ERS-504873-40946," Ł62,778.00 ",Research project to examine the interactions between cattle and badgers,NW1 4RY,,Exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0024677," Ł79,864.00 ",The UK Government Decontamination Service: Contribution to the Food and Environment Research Agency's August Pay cost,YO41 1LZ,,exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (GB),Policy Delivery DG,Food Standards Agency,1701693," Ł31,579.60 ",Animal by Products order Aug 2012 ,YO1 2YX,,Exempt,ABPO0001,Expense,,
DEFRA,DEFRA,27/09/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017553," Ł39,792.45 ",Approvals/Licensing etc ,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Evidence Non R&D,Policy Delivery DG,Identigen Ltd,AUG12," Ł37,793.09 ",Bovine Spongiform Encephalopathy Testing August 2012,NP10 8UL,SME,Exempt,TSE00963,Expense,,
DEFRA,DEFRA,14/09/2012,Evidence Non R&D,Policy Delivery DG,L G C Limited,50177041," Ł152,893.36 ",EU Rebate for samples invoiced to Abattoirs 13 and 31.8.12,TW11 0LY,SME,Exempt,TSE00963,Expense,,
DEFRA,DEFRA,27/09/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000017547," Ł147,479.56 ",Approvals/Licensing etc ,KT15 3NB,,Exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (GB),Policy Delivery DG,Food Standards Agency,1701647," Ł49,848.19 ",Bovine Spongiform Encephalopathy testing and beef assurance work ,YO1 2YX,,Exempt,TSE001CA,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,North Wyke Research.,ERS-505016-40904," Ł34,895.74 ",Nitrous Oxide Emissions project,AL5 2JQ,SME,Exempt,SFFS0005,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1209124588939," Ł38,241.16 ",Nitrous Oxide Emissions project,WV9 5AP,,exempt,SFFS0005,Expense,,
DEFRA,DEFRA,10/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Brunel University,FI148692," Ł35,960.16 ",Investigate and develop technologies that will provide thermal storage capacity within food refrigeration equipment to increase the period of autonomous operation and system efficiency and reduce greenhouse gas emissions.,UB8 3PH,,exempt,SFFS0003,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Lancaster University,8641434," Ł30,856.25 ",Perennial field margins with combined ecological and agronomical benefits for vegetable rotation schemes,LA1 4YW,,,SFFS0006,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Reading,ERS-505017-40846," Ł32,753.33 ",Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems ,RG6 6AH,,exempt,SFFS0005,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1209123391900," Ł28,265.83 ",Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture ,WV9 5AP,,exempt,SFFS0005,Expense,,
DEFRA,DEFRA,18/09/2012,Evidence Non R&D,Policy Delivery DG,Office For National Statistics,1024878," Ł83,540.58 ",Survey used for the Retail Prices Index; National Accounts estimates of household expenditure; the analysis of the effect of taxes and benefits; trends in nutrition and more generally,NP10 9XG,,Exempt,FCAG0006,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Sac Commercial Ltd,1209123095500," Ł25,795.83 ",Research project pertaining to Nitrous Oxide Emissions Factors ,EH9 3JG,SME,exempt,SFFS0005,Expense,,
DEFRA,DEFRA,12/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Campden Technology Limited,20049463," Ł81,310.00 ",Comparative project to evaluate uptake of voluntary country of origin labelling Principles ,GL55 6LD,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP063835," Ł52,315.07 ","Applied research on high priority disease, pest and weed problems in fruit and in vegetable crops order to support approval of new products and devise integrated pest management (IPM) programmes.",WV9 5AP,,exempt,SFFS0006,Expense,,
DEFRA,DEFRA,20/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP063889," Ł49,767.46 ",Screening for costs of disease resistance caused by stomatal dysfunction ,WV9 5AP,,exempt,SFFS0006,Expense,,
DEFRA,DEFRA,04/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP063617," Ł25,896.76 ","Reducing the impact of Sclerotinia disease on arable rotations, land use and vegetable crops",WV9 5AP,,exempt,SFFS0006,Expense,,
DEFRA,DEFRA,14/09/2012,Grant-in Aid Payments,Policy Delivery DG,Gangmasters Licensing Authority,GIAKAJSEP2012140812," Ł133,782.20 ",Grant in aid funding for the Gangmasters Licencing Authority,NG8 9AF,,17131,GLA00005,Expense,,
DEFRA,DEFRA,14/09/2012,Grant-in Aid Payments,Policy Delivery DG,Gangmasters Licensing Authority,GIAKAJSEP2012," Ł176,170.00 ",Enforcement funding for the Gangmasters Licencing Authority,NG8 9AF,,17131,GLA00002,Expense,,
DEFRA,DEFRA,10/09/2012,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,5092012," Ł18,629,059.00 ",Grant to Local Authorities. ,HP2 4XN,,16534,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-505244-40811," Ł320,000.00 ",The Continuous Plankton Recorder survey: Monitoring marine biodiversity and environmental change in the world's oceans 12/13,PL1 2PB,,,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Evidence Non R&D,Policy Delivery DG,C E F A S,8002203," Ł2,232,833.33 ",September High Level Agreement payment,NR33 0HT,,NOBEL HOUSE,00000000,Expense,,
DEFRA,DEFRA,10/09/2012,Overhead Incidental Expenses,Policy Delivery DG,A D A S UK Ltd,RIRP063905," Ł36,300.00 ","Supply of information on combinable crop development, harvest information and information on the horticulture and potatoes industry. ",WV9 5AP,,14291/1,00000000,Expense,,
DEFRA,DEFRA,28/09/2012,Overhead Incidental Expenses,Policy Delivery DG,A D A S UK Ltd,RIRP064260," Ł29,040.00 ",SEPTEMBER HARVEST REPORTS X 4,WV9 5AP,,14291/1,00000000,Expense,,
DEFRA,DEFRA,18/09/2012,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,070912," Ł734,000.00 ",September Grant-in-aid payment,PE1 1JY,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Grant-in Aid Payments,Policy Delivery DG,Natural England,240812," Ł21,000,000.00 ",September monthly Grant-in-aid payment,YO1 7PX,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Prog Provision Matched Exp,Policy Delivery DG,JSS Pensions Administration,5122," Ł112,176.37 ",Administration of the closed National Conservancy Council pension scheme - August 2012,SN2 1FF,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/09/2012,Evidence Non R&D,Policy Delivery DG,Health & Safety Commission & Executive,0000084741," Ł4,350,000.00 ",Enforcement for Plant Protection Products and Detergents,L20 3LZ,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,310812," Ł3,400,000.00 ",September Grant in Aid payment ,NE4 7YH,,Exempt,00000000,Expense,,
DEFRA,DEFRA,04/09/2012,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,310812," Ł250,000.00 ",September Grant in Aid payment ,HP2 4XN,,Exempt,00000000,Expense,,
DEFRA,DEFRA,12/09/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A B P Marine Environmental Res Ltd,4196," Ł28,675.00 ",Accessing and developing the required biophysical  datasets and datalayers for Marine Protected Areas network planning and wider marine spatial planning purposes ,SO14 2AQ,SME,exempt,00000000,Expense,,
