"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Subsistence UK,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Delivery Office","Personal Expense, Name Witheld",867,65.46,BRDO: PA Delivery - Subsistence UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Long Term Detached Duty,Markets and Local Growth - MLG - Business Environment,"Personal Expense, Name Witheld",868,416.67,Default - Long Term Detached Duty,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Research and Development Expenditure,Business & Skills Group - Skills Directorate,"Personal Expense, Name Witheld",874,103.90,Research And Analytical Services - Research and Development Expenditure,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Stationery,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,BANNER BUSINESS SERVICES LTD,892,399.39,SABR Devolved Admin - Stationery,NR3 1QU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Mileage Allowance UK,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Delivery Office","Personal Expense, Name Witheld",894,72.50,BRDO: PA Delivery - Mileage Allowance UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Research and Development Expenditure,Business & Skills Group - Advanced Manufacturing Services,"Personal Expense, Name Witheld",907,67.00,SABR Devolved Admin - Research and Development Expenditure,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Long Term Detached Duty,Markets and Local Growth - MLG - Business Environment,"Personal Expense, Name Witheld",917,500.00,SABR Devolved Admin - Long Term Detached Duty,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",922,597.40,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",931,110.93,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Rail Travel UK,Knowledge & Innovation Group - KIG - Innovation Directorate,"Personal Expense, Name Witheld",941,76.40,GIG: Chair - Rail Travel UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Taxi Services UK,Knowledge & Innovation Group - KIG - Innovation Directorate,"Personal Expense, Name Witheld",941,20.00,GIG: Chair - Taxi Services UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hotel & Accommodation UK,Knowledge & Innovation Group - KIG - Innovation Directorate,"Personal Expense, Name Witheld",941,119.70,GIG: Chair - Hotel & Accommodation UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Subsistence UK,Knowledge & Innovation Group - KIG - Innovation Directorate,"Personal Expense, Name Witheld",941,17.50,GIG: Chair - Subsistence UK,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Professional Training,Finance & Commercial Group - F&C - Finance Group,KAPLAN FINANCIAL LTD,954,2684.58,SABR Devolved Admin - Professional Training,SE1 1HR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",966,49.10,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),968,56.27,SABR Devolved Admin - Telecoms,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",974,18.72,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",986,57.56,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",999,1745.56,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",1008,65.00,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",1031,114.52,IGPF: UK-India Partnership in Regenerative Medicine - Current Grants To Private Sector - NPISH,SW1H 0ET,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Professional Training,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate",CAPITA BUSINESS SERVICES LTD,1049,141.00,SABR Non Devolved Admin - Professional Training,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Learning and Dev - CS Skills,Finance & Commercial Group - F&C - Commercial Directorate,CAPITA BUSINESS SERVICES LTD,1052,269.00,SABR Devolved Admin - Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Learning and Dev - CS Skills,"People, Comminications and Effectiveness Group - PCE - Human Resources",CAPITA BUSINESS SERVICES LTD,1053,4340.00,SABR Non Devolved Admin - Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1056,1589.33,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Training And Development Expenditure,Markets and Local Growth - MLG - Europe Trade & International Directorate,CAPITA BUSINESS SERVICES LTD,1057,200.00,SABR Devolved Admin - Training And Development Expenditure,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Coaching,Business & Skills Group - Enterprise Directorate,CAPITA BUSINESS SERVICES LTD,1059,250.00,SABR Devolved Admin - Coaching,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Moving/Storage Costs,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",FINE ART TRANSPORT SERVICES LTD,1061,439.00,Corporate Presentation - Moving/Storage Costs,SE23 1AH,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1063,11801.02,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,1064,72.82,SABR Devolved Admin - Stationery,LE41 9GS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,PR & Marketing Advice & Services,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1065,960.00,Corporate Presentation - PR & Marketing Advice & Services,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1066,9078.89,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,External Legal Advice and Service,Shareholder Executive - Shareholder Executive,MAITLAND CHAMBERS,1067,2640.00,SABR Devolved Admin - External Legal Advice and Service,WC2A 3SZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Stationery,Finance & Commercial Group - F&C - Commercial Directorate,BANNER BUSINESS SERVICES LTD,1068,109.50,SABR Devolved Admin - Stationery,NR3 1QU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,CAPITA RESOURCING LTD,1069,2390.64,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,CAPITA RESOURCING LTD,1071,1707.78,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,PR & Marketing Advice & Services,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1072,1400.00,Corporate Presentation - PR & Marketing Advice & Services,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Stationery,Finance & Commercial Group - F&C - Commercial Directorate,BANNER BUSINESS SERVICES LTD,1073,120.00,SABR Devolved Admin - Stationery,NR3 1QU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,1077,2397.02,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1085,1189.15,SABR Devolved Admin - Standard Desktop Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1086,1906.08,BIS Infrastructure Maintenanc - Clearing Account - Cost - Leasehold Improvements,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1087,363.05,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1089,216.00,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1090,516.05,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1091,1488.79,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1093,122.07,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",ADECCO UK LTD,1094,710.89,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Hire of Agency Staff,Finance & Commercial Group - F&C - Commercial Directorate,CAPITA RESOURCING LTD,1096,2550.00,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1097,782.64,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1097,782.65,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1097,-782.65,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,CAPITA RESOURCING LTD,1099,2295.02,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1100,1528.15,SABR Devolved Admin - Standard Desktop Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1104,10757.61,SABR Devolved Admin - Standard Desktop Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1107,307.46,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,CAPITA RESOURCING LTD,1109,3.96,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,CAPITA RESOURCING LTD,1109,2868.78,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Maintenance & Upkeep,Finance & Commercial Group - F&C - Commercial Directorate,PARITY RESOURCES LTD,1111,8064.00,SABR Devolved Admin - ICT Maintenance & Upkeep,SW19 3RU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1112,4197.60,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,External Legal Advice and Service,Finance & Commercial Group - F&C - Commercial Directorate,MORTON FRASER LLP,1114,122.10,SABR Devolved Admin - External Legal Advice and Service,EH3 9GL,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,1116,15840.22,SABR Devolved Admin - Hire of Agency Staff,SW19 3RU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,1117,191.33,SABR Devolved Admin - Stationery,LE41 9GS,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Research and Development Expenditure,Government Office for Science - GOS - Government Office for Science,UNITED NATIONS CHILDREN'S FUND(UNICEF),1118,6187.00,Foresight: Other - Research and Development Expenditure,NY 10017,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Research and Development Expenditure,Government Office for Science - GOS - Government Office for Science,UNITED NATIONS CHILDREN'S FUND(UNICEF),1118,0.00,Foresight: Other - Research and Development Expenditure,NY 10017,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,BROOK STREET (UK) LTD,1121,450.32,SABR Devolved Admin - Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,1122,102.00,SABR Devolved Admin - Hire of Agency Staff,SW19 3RU,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),1124,0.04,SABR Devolved Admin - Telecoms,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),1124,18.75,SABR Devolved Admin - Telecoms,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),1128,18.75,SABR Devolved Admin - Telecoms,DH98 1BT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/28/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,CAPITA RESOURCING LTD,1129,2390.64,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Clearing Account   - Cost - Information Technology,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Delivery Office",BROOK STREET (UK) LTD,1131,1269.84,BRDO: PA System Support - Clearing Account   - Cost - Information Technology,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"People, Comminications and Effectiveness Group - PCE - Human Resources",BROOK STREET (UK) LTD,1133,422.62,SABR Devolved Admin - Hire of Agency Staff,AL1 4ZX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/30/2013,Financial Advice and Services,Shareholder Executive - Shareholder Executive,WCRS (TRADING DIVISION OF ENGINE PARTNERS UK LLP),1134,55869.20,PO: Network Reforms - Financial Advice and Services,W1W 7RT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,PR & Marketing Advice & Services,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1136,2160.00,Corporate Presentation - PR & Marketing Advice & Services,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1137,689.42,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1139,679.22,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1141,2098.80,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Commercial Directorate,DAISY COMMUNICATIONS LTD,1142,1986.56,SABR Devolved Admin - Telecoms,BB9 5SR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/30/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1143,546.64,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - F&C - Commercial Directorate,SENATOR INTERNATIONAL LTD,1144,22061.81,BIS Infrastructure Maintenanc - Clearing Account - Cost - Leasehold Improvements,BB5 5YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - F&C - Commercial Directorate,SENATOR INTERNATIONAL LTD,1144,120037.80,BIS Infrastructure Maintenanc - Clearing Account - Cost - Leasehold Improvements,BB5 5YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,PR & Marketing Advice & Services,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1145,1400.00,Corporate Presentation - PR & Marketing Advice & Services,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Economic Consultancy & Research,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate",IFF RESEARCH LTD,1146,4234.50,SABR Devolved Admin - Economic Consultancy & Research,N1 6DD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"People, Comminications and Effectiveness Group - PCE - Communications Directorate",CAPITA RESOURCING LTD,1147,1707.78,SABR Devolved Admin - Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Economic Consultancy & Research,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate",IFF RESEARCH LTD,1148,4234.50,SABR Devolved Admin - Economic Consultancy & Research,N1 6DD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Other Training Costs,Markets and Local Growth - MLG - Regional Growth Fund & Legacy,CAPITA BUSINESS SERVICES LTD,1149,666.00,SABR Devolved Admin - Other Training Costs,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1151,9920.76,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/30/2013,Hire of Agency Staff,Markets and Local Growth - MLG - Consumer and Competition Policy,ADECCO UK LTD,1153,261.06,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/24/2013,Other Training Costs,Ministerial and Parliamentary Support - MPST - Ministerial and Parliamentary Support Team,CAPITA BUSINESS SERVICES LTD,1154,54.00,SABR Devolved Admin - Other Training Costs,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1155,22344.06,SABR Devolved Admin - Standard Desktop Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - KIG - Research Base,THE ROYAL SOCIETY,1156,50895.90,Science & Society: Science and Careers - Current Grants To Private Sector - NPISH,SW1Y 5AG,GRANT
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Conference and Exhibition Services,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,EVENT MARKETING SOLUTIONS LTD,1157,105941.96,Higher Education Other: HEGIF - Conference and Exhibition Services,CH65 4LQ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Learning and Dev - CS Skills,Finance & Commercial Group - F&C - Finance Group,CAPITA BUSINESS SERVICES LTD,1158,81.00,SABR Devolved Admin - Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Technical Advice / Services & Support,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Delivery Office",PRECISE MEDIA MONITORING LTD,1159,39.34,BRDO: Product Development - Technical Advice / Services & Support,EC3N 4QN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Standard Desktop Plus Services,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1160,268.35,SABR Devolved Admin - Standard Desktop Plus Services,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Learning and Dev - CS Skills,Finance & Commercial Group - F&C - Modernisation Fund and Shared Services,CAPITA BUSINESS SERVICES LTD,1161,126.00,SABR Devolved Admin - Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1162,1545.03,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Finance & Commercial Group - F&C - Finance Group,DAISY COMMUNICATIONS LTD,1163,37.98,SABR Devolved Admin - Telecoms,BB9 5SR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,Ministerial and Parliamentary Support - MPST - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1164,602.84,SABR Devolved Admin - Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ADP Training,"People, Comminications and Effectiveness Group - PCE - Human Resources",CAPITA BUSINESS SERVICES LTD,1165,69.00,SABR Non Devolved Admin - ADP Training,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Telecoms,Legal Services - Legal Services,DAISY COMMUNICATIONS LTD,1167,52.06,SABR Devolved Admin - Telecoms,BB9 5SR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Hire of Agency Staff,"Strategy, Analysis and Better Regulation - SABR - Better Regulation Delivery Office",BROOK STREET (UK) LTD,1168,589.73,SABR Devolved Admin - Hire of Agency Staff,AL1 4JB,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,ICT Infrastructure Specific Service,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1172,695.73,SABR Devolved Admin - ICT Infrastructure Specific Service,WA3 9BD,VENDOR
