Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount  ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KENSINGTON AND CHELSEA PCT,PUBLIC,W10 6DZ,HAFS-15198,"25,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KINGSTON PCT,PUBLIC,KT5 9AL,HAFS-15199,"24,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KIRKLEES PCT,PUBLIC,WF3 1WE,HAFS-15200,"51,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KNOWSLEY PCT,PUBLIC,L33 7XW,HAFS-15201,"21,276,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LAMBETH PCT,PUBLIC,WF3 1WE,HAFS-15202,"65,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEEDS PCT,PUBLIC,WF3 1WE,HAFS-15203,"118,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEICESTER CITY PCT,PUBLIC,LE1 6NB,HAFS-15204,"47,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEICESTERSHIRE COUNTY & RUTLAND PCT,PUBLIC,CV13 0LJ,HAFS-15205,"100,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEWISHAM PCT,PUBLIC,SE12 8RN,HAFS-15206,"45,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LINCOLNSHIRE PCT,PUBLIC,LN4 2HN,HAFS-15207,"89,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LIVERPOOL PCT,PUBLIC,L13 1HN,HAFS-15208,"82,895,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LONDON SHA,PUBLIC,SW1E 6QT,HAFS-15209,"208,864,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LUTON TEACHING PCT,PUBLIC,LU1 2PJ,HAFS-15210,"25,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MANCHESTER PCT,PUBLIC,M23 9LH,HAFS-15211,"86,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,HAFS-15212,"40,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MID ESSEX PCT,PUBLIC,CM8 2TL,HAFS-15213,"37,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-15214,"21,400,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MILTON KEYNES PCT,PUBLIC,MK6 5NG,HAFS-15215,"30,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-15216,"3,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-15217,"850,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWCASTLE PCT,PUBLIC,NE27 0QJ,HAFS-15218,"48,100,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWHAM PCT,PUBLIC,E1 1RD,HAFS-15219,"49,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-15220,"25,100,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev ND In RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-15221,"882,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS COMMISSIONING BOARD,PUBLIC,LS2 7UE,HAFS-15222,"8,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-15223,"3,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS LITIGATION AUTHORITY,PUBLIC,LS1 4AD,HAFS-15224,"252,406,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORFOLK PCT,PUBLIC,NR1 3FR,HAFS-15225,"97,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-15226,"41,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-15227,"23,550,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-15228,"42,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-15229,"56,776,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-15230,"19,900,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-15231,"35,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-15232,"25,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-15233,"34,150,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-15234,"68,300,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,HAFS-15235,"94,700,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHAMPTONSHIRE PCT,PUBLIC,NN5 6UH,HAFS-15236,"82,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-15237,"47,500,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAM CITY PCT,PUBLIC,WF3 1WE,HAFS-15238,"60,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG5 7EU,HAFS-15239,"82,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-15240,"32,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,HAFS-15241,"72,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-15242,"12,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-15243,"36,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,SPINNING CLOCK LTD,SME,NG1 1HW,100625,"25,842.75","Management of: creative concept, development, build, delivery and onsite management of a modualr road show that enables the public to have face to face experience of Change4Life activities to support C4L healthy eating and physical activity",Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,NHS Medical,CREATIVE RESEARCH LTD,SME,W13 9BP,1076,"29,531.00",Additional research for the review of the regulation of cosmetic interventions,Admin,13700
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,NHS Medical,CREATIVE RESEARCH LTD,SME,W13 9BP,1076,720.00,Attitudinal research for the review of the regulation of cosmetic interventions,Admin,
Department of Health,Department of Health,01/02/2013,Consultancy/Professional Advice,External Relations,CAPGEMINI UK PLC,LARGE,W1F 0UU,2.6E+13,"119,416.80","CAPGEMINI - Design, development, hosting and facilitation of 2 x stakeholder events (30 December 2012 and 22 January 2013), plus supporting activities",Admin,
Department of Health,Department of Health,01/02/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3164001-06-FEB-13,"92,634.77",,Other,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877994,"49,829.03",Kidney/bladder cancer campaign - out of home advertising,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877995,"147,133.81",Breast cancer campaign - out of home advertising,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877996,"241,676.01",Cancer symptoms campaign OOH advertising,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878013,"78,844.84",Be Food Smart Press Activity 13 Jan 13 18 Feb 13,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878013,"138,445.69",Bookend Display ads for Be Food Smart,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878020,"26,287.16",Cancer symptoms 3 campaign - press advertising,Programme,
Department of Health,Department of Health,01/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878021,"71,158.83",Cancer symptoms 2 campaign - press advertising,Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,External Relations,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90121399,"53,310.00",WO/2012/26 - HENSE Additional Work,Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,RG27 9UY,90779905,0.00,Stoptober Contact Centre,Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90803762,"211,063.00","Be Food Smart campaign handling of registration, CRM/eCRM, data base management and reponse handling",Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90804271,"59,796.00","Change4Life Resolutions Booster, Project Scoping, Web and database development, Launch and CRM Email Build and execution, SMS build and development, Project management support, Email and SMS deployment costs",Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90804272,"202,937.00","Be Food Smart campaign handling of registration, CRM/eCRM, data base management and reponse handling",Programme,
Department of Health,Department of Health,01/02/2013,Outsourcing Contract,Strategy Finance & NHS,UKSH SOUTH WEST LTD,LARGE,BS32 4TD,UKSHSW/272,"2,939,376.23",Clinical services under E01 AGW contract,Programme,
Department of Health,Department of Health,01/02/2013,Computer Hardware Purch,Informatics,PROBRAND LTD,,,16118032,"40,419.13",,,
Department of Health,Department of Health,01/02/2013,Computer Hardware Purch,Informatics,PROBRAND LTD,,,16118035,"31,320.00",,,
Department of Health,Department of Health,01/02/2013,Computer Maintenance,Informatics,PROBRAND LTD,,,16118032,"37,417.67",,,
Department of Health,Department of Health,01/02/2013,Payroll Ded'ns N/S Curr,Informatics,WEST YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,,,16142609,"122,503.70",,,
Department of Health,Department of Health,01/02/2013,Research & development,Research & Development,SOUTHAMPTON UNIVERSITY,PUBLIC,SO17 1BJ,44119884,"23,364.00",Director of the NIHR Programme Grants for Applied Research (PGfAR) programme - 1 October 2012-30 September 2015.,Programme,
Department of Health,Department of Health,01/02/2013,Revenue Grants to non-profit institutions,Social Care,ACTION FOR ADVOCACY,VCS,SE17 3QU,ERS-484095-69761,"43,500.00",2010/001 Action For Advocacy - project: Advocacy and Financial Abuse,Programme,
Department of Health,Department of Health,01/02/2013,Revenue Grants to non-profit institutions,Social Care,ACTION FOR ADVOCACY,VCS,SE17 3QU,ERS-484096-69762,"33,250.00",2010/002 - Action for Advocacy - project-  IMHA (Independent Mental health Advocacy) learning fron experience programme,Programme,
Department of Health,Department of Health,03/02/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3164001-06-FEB-13,21.58,,Other,
Department of Health,Department of Health,04/02/2013,ENDPBs Admin Capital Grant in Aid,External Relations,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH038,"35,000.00",CHRE Capital Budget 2012/13,Other,
Department of Health,Department of Health,04/02/2013,ENDPBs Admin Revenue Grant in Aid,External Relations,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH039,"100,000.00",CHRE Voluntary Register Scheme Drawdown 2012/13,Admin,
Department of Health,Department of Health,04/02/2013,Policy Payments,External Relations,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),PUBLIC,WC2N 5HR,DH040,"65,000.00",CHRE Revenue Non-Core Drawdown 2012/13,Admin,
Department of Health,Department of Health,04/02/2013,Additions-PDC permanent,CENTRAL TECHNICAL,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,PUBLIC,N18 1QX,HAFS-15245,"2,600,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Additions-PDC permanent,CENTRAL TECHNICAL,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-15246,"20,616,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Additions-PDC temporary,CENTRAL TECHNICAL,PORTSMOUTH HOSPITAL NHS TRUST,PUBLIC,PO6 3LY,HAFS-15247,"10,000,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Additions-PDC permanent,CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,PUBLIC,TF6 6TF,HAFS-15248,"770,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Additions-PDC permanent,CENTRAL TECHNICAL,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,HAFS-15250,"800,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Additions-PDC temporary,CENTRAL TECHNICAL,SOUTH LONDON HEALTHCARE NHS TRUST,PUBLIC,DA14 6LT,HAFS-15251,"1,319,000.00",,Other,
Department of Health,Department of Health,04/02/2013,Outsourcing Contract,Social Care,INDEPENDENT TELEVISION NEWS LTD,LARGE,WC1X 8XZ,1100023242,"56,844.00",IPS - phase 3,Programme,13726
Department of Health,Department of Health,04/02/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3164001-06-FEB-13,"2,739.84",,Other,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877993,"90,115.40",Ovarian cancer campaign - out of home advertising,Programme,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878016,"84,570.61",Regional bowel cancer campaign - press advertising,Programme,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878017,"41,389.53",Cancer symptoms 1 campaign - press advertising,Programme,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878018,"25,052.49",Ovarian 1 cancer campaign - press advertising,Programme,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878023,"56,264.12",Kidney/bladder cancer campaign - press advertising    l,Programme,
Department of Health,Department of Health,04/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878024,"106,182.82",Breast cancer campaign - press advertising    l,Programme,
Department of Health,Department of Health,04/02/2013,Other programme expenditure,Strategy Finance & NHS,FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS4/2/13,"205,832.00",,Programme,
Department of Health,Department of Health,04/02/2013,Revenue Grants to non-profit institutions,Research & Development,UK RESEARCH INTEGRITY OFFICE LTD,SME,BN1 9SB,ERS-484143-69781,"25,000.00",2012/021 The United Kingdom Research Integrity ofiice - one off transitional funding while the new financial model is established and UKRIO establishes itself as a not for profit service funded entierly by subscription- policy grant,Programme,
Department of Health,Department of Health,04/02/2013,Legal / Prof Fees,Informatics,DLA PIPER UK LLP,,,16085661,"50,231.06",,,
Department of Health,Department of Health,04/02/2013,Computer Hardware Purch,Informatics,PROBRAND LTD,,,16118034,0.01,,,
Department of Health,Department of Health,04/02/2013,Computer Maintenance,Informatics,PROBRAND LTD,,,16118034,"97,079.11",,,
Department of Health,Department of Health,04/02/2013,Computer Software/License,Informatics,SOFTWARE BOX LTD,,,16150108,"27,114.43",,,
Department of Health,Department of Health,04/02/2013,Computer Software/License,Informatics,SOFTWARE BOX LTD,,,16150108,"5,516.12",,,
Department of Health,Department of Health,04/02/2013,Secondees in invoiced costs,NHS Medical,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,SINV1036004,"51,607.11","Secondment NCD for Cancer & EOLC, to Dept of Health",Admin,
Department of Health,Department of Health,04/02/2013,Secondees in invoiced costs,NHS Medical,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,SINV1036005,"38,657.62","NCD for Cancer & EOLC, to Dept of Health",Admin,
Department of Health,Department of Health,04/02/2013,Outsourcing Contract,Improvement & Efficency,CARERS FEDERATION LTD,VCS,NG7 7LJ,1823,"330,416.67",The extension of the current ICAS contract for the provision of independent advocacy by The Carers Federation,Programme,
Department of Health,Department of Health,04/02/2013,Outsourcing Contract,Public Health,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,29000248,"244,999.99",Targeted HIV Prevention work - New Contract from 2012 onwards.,Programme,
Department of Health,Department of Health,04/02/2013,Outsourcing Contract,Improvement & Efficency,South of England Advocacy Projects,VCS,TN34 1HL,SIN002530,"291,111.50",The extension of the current ICAS contract for the provision of independent advocacy by SEAP,Programme,
Department of Health,Department of Health,05/02/2013,Research & development,Research & Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-484371-69843,"812,498.00",NIHR Research Capability Funding 2012/13,Programme,
Department of Health,Department of Health,05/02/2013,Research & development,Research & Development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-484372-69842,"33,396.00",II-AR-1109-11032,Programme,
Department of Health,Department of Health,05/02/2013,Research & development,Research & Development,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,ERS-484382-69821,"35,866.00",NIHR Research Capability Funding 2012/13 -,Programme,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266703RI,"34,293.34",Wellington House - English Heritage Inspection Works (Ref:JDE 21281),Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266704RI,"46,752.88",Skipton House - New frequency Motor Drive Unit for the Scenic Lift No.7,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266706RI,"47,961.28",Skipton House - New Frequency Motor Drive Unit for the Scenic Lift No.10,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266708RI,"47,961.28",Skipton House - New Frequency Motor Drive Unit for the Scenic Lift No.9,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266709RI,"46,752.88","Richmond House - New Frequency Motor Drive Unit for the ""S"" Lift.",Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - F&F,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266714RI,"29,278.93",Skipton House - Servery Fridge Replacement,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266717RI,"842,659.37",Wellington House - 5th Floor Refurbishment Works - PHE Ref:006429,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266718RI,"89,361.14",Various roof repairs to all areas at Richmond House,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266721RI,"800,815.57",Wellington House - 5th Floor Refurbishment Works - PHE Ref:006429,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266724RI,"19,166.50",Richmond House - Ground Floor  Building Wellbeing 1&2 Remove Defective 'live' Cladding,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266724RI,"6,744.92",Richmond House - Ground Floor  Electrical Terrace Corridor Emergency Lighting,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266725RI,"57,465.92",Wellington House - Emergency repairs to flood damage in lifts and to DHWS mechanical pipe works,Admin,
Department of Health,Department of Health,05/02/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00266728RI,"79,120.81",Richmond House -Remove existing stairwell lighting from 8 No. stairwells and replace with new lighting and switching - Ref: 34512,Admin,
Department of Health,Department of Health,05/02/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00267353RI,"51,974.29",DH-FM Variable Operational Works 2012-2013,Admin,
Department of Health,Department of Health,05/02/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00267353RI,0.02,,Admin,
Department of Health,Department of Health,05/02/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00267355RI,"28,908.12",CQC Buildings - FM Variable Operational Works 2012  2013 (Re:DH - PO.494329),Admin,
Department of Health,Department of Health,05/02/2013,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00267358RI,"34,714.79",CQC Buildings - FM Variable Operational Works 2012  2013 (Re:DH - PO.494329),Admin,
Department of Health,Department of Health,05/02/2013,Outsourcing Contract,Public Health,IRG ADVISORS LLP TRADING AS ODGERS BERNDTSON,LARGE,W1S 1JJ,12001842DMP40853,"23,985.00",Funding for PHE-TT candidates media & psychometris analysis,Admin,
Department of Health,Department of Health,05/02/2013,Addition Clearing - SW LIC,Informatics,BT GROUP PLC,LARGE,NW9 6LB,312347,"7,355,782.15",Capital: Spine - SUS FY 2012/13,Programme,
Department of Health,Department of Health,05/02/2013,Research & development,Research & Development,ADVANCED BIOMEDICAL LTD,SME,OL3 5DF,4643,"23,764.00",SBRI-1008-048 : Nanosphere technology for pathogen detection in hospital environments,Programme,
Department of Health,Department of Health,05/02/2013,Outsourcing Contract,Goverance Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201317532,"28,300.77",Managed Print Click charges from 1 October 2012 - 31 March 2013,Admin,
Department of Health,Department of Health,05/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877991,"31,615.62",Norfolk & Wavereny OOH,Programme,
Department of Health,Department of Health,05/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,877992,"71,015.96","NHS111 Wandsworth, Sutton, Merton etc OOH",Programme,
Department of Health,Department of Health,05/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878015,"203,171.66",RHH press,Programme,
Department of Health,Department of Health,05/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878047,"48,796.00",Radio Media Partnership and advertising with Talksport (National and Online),Programme,
Department of Health,Department of Health,05/02/2013,Publicity & advertising,External Relations,GROUPM UK LTD,LARGE,WC7X 8RX,878060,"151,538.95",RHH radio,Programme,
Department of Health,Department of Health,05/02/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-484373-69845,"57,217.00",SDO/110/2005,Programme,
