Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Latest Contract Number
,,10/10/2016,Utilities,DG: GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),5029262,2945.83,"QH - Utility Charges FY2016-17 @ £42,144.33 mthly",FY5 3TA,,,PUBLIC,
,,10/10/2016,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-21895,1400000,,NW3 2QG,,,PUBLIC,
,,10/10/2016,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-21896,2100000,,NW3 2QG,,,PUBLIC,
,,10/10/2016,Additions PDC Revenue Support NHS T Permanent,DG: Holding CT Core,SANDWELL & WEST BIRMINGHAM HOSPTIALS NHS TRUST,HAFS-21897,3850000,,B18 7QH,,,PUBLIC,
,,10/10/2016,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,HAFS-21898,224000,,BN13 3EP,,,PUBLIC,
,,10/10/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,HAFS-21900,604000,,S44 5BL,,,PUBLIC,
,,10/10/2016,Additions PDC Revenue Support NHS FT Permanent,DG: Holding CT Core,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-21901,45000,,ST16 3SA,,,PUBLIC,
,,10/10/2016,Arm Length Bodies-Revenue Subsidy,"DG: INNOVATION, GROWTH & TECHNOLOGY",MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1612481,810000,MHRA Devices 2016-17 Programme Funding,SW1W 9SZ,,,PUBLIC,
,,10/10/2016,Arm Length Bodies-Revenue Subsidy,"DG: INNOVATION, GROWTH & TECHNOLOGY",MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1612482,1250000,MHRA - NIBSC 2016-17 Programme Funding,SW1W 9SZ,,,PUBLIC,
,,10/10/2016,Policy Payments,DG: PUBLIC & INTERNATIONAL HEALTH,DEPARTMENT FOR WORK AND PENSIONS (DWP),2933374,69242.8,Recharges for EEA incentivisation payments 2016-2017 No.1,FY5 3TA,,,PUBLIC,
,,11/10/2016,Radio communications,"DG: FINANCE, COMMERCIAL & NHS",AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-507,33000,B26 Software Upgrade for all trusts excluding Isle of Wight,SL1 2EJ,,,LARGE,
,,11/10/2016,Secondees in invoiced costs,"DG: FINANCE, COMMERCIAL & NHS",COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2000037768,26170.16,,CO4 5JL,,,PUBLIC,
,,11/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",INTECHNOLOGY LTD,ISIN10463,152500,Revenue 2016/17 Intechnology SUS Spine - PO Services June'16 - Jan'17,HG3 1UG,,,SME,
,,12/10/2016,Outsourcing Contract,"DG: FINANCE, COMMERCIAL & NHS",ADVISEINC LTD,111,184800,Purchasing Price Index & Benchmarking Services (PPIB call off),N1 7GU,,,SME,
,,12/10/2016,Radio communications,"DG: FINANCE, COMMERCIAL & NHS",AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-506,310602.42,April 16 - March 17 CCN Charges,SL1 2EJ,,,LARGE,
,,12/10/2016,Radio communications,"DG: FINANCE, COMMERCIAL & NHS",OFFICE OF COMMUNICATIONS (OFCOM),78018390,1584000,OFCOM Radio Licence No 0799272/3 Spectrum Access - Year 7 Annual licence fee - email from Julie Birigwa to Tako Wed 14/09/2016 13:38,SE1 9HA,,,PUBLIC,
,,12/10/2016,Storage costs,DG: GROUP OPERATIONS,IRON MOUNTAIN UK LTD,SY12930-SY12930,26079.37,File Storage and retrieval for EMD91,EH54 5DL,,,LARGE,
,,12/10/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673467,17250,HSCIC Direct Commissions - 07 Health Survey for England module - obesity/weight management,LS1 6AE,,,PUBLIC,
,,12/10/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673467,22500,HSCIC Direct Commissions - 16 Adult Psychiatric Morbidity Survey,LS1 6AE,,,PUBLIC,
,,12/10/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673467,41582.4,HSCIC Direct Commissions - 10 Breast Implant Registry.,LS1 6AE,,,PUBLIC,
,,12/10/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673467,56750,06 Health Survey for England module - physical activity.,LS1 6AE,,,PUBLIC,
,,12/10/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673467,83695.02,HSCIC - Direct Commissions -  25 Office for National Data Guardian,LS1 6AE,,,PUBLIC,
,,12/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001084,96807.65,Capital 16/17 Spine 2 BJSS Core Collaborative Contract- Development Jun - Sep 16,LS1 2TW,,,SME,
,,12/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001084,59333.72,Revenue 2016/17: Spine 2 BJSS Core Collaborative On Call Contract Apr 16 - May 16,LS1 2TW,,,SME,
,,12/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001090,113383.62,Capital 16/17 Spine 2 BJSS Core Collaborative Contract- Development Jun - Sep 16,LS1 2TW,,,SME,
,,12/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001090,30139.95,Revenue 16/17 Spine 2 BJSS Core Collaborative On Call Contract Jun - Sep 16,LS1 2TW,,,SME,
,,12/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001197,94842.03,Capital 16/17 Spine 2 BJSS Core Collaborative Contract- Development Jun - Sep 16,LS1 2TW,,,SME,
,,12/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001197,48858.01,Revenue 16/17 BJSS Spine 2 External Partner Support - BJSS Contract Jun- Sep 16,LS1 2TW,,,SME,
,,12/10/2016,Policy Payments,DG: PUBLIC & INTERNATIONAL HEALTH,HOMES AND COMMUNITIES AGENCY (HCA),S0012723,1079365,Homelessness Change Funding for 2016/2017,NE11 0NA,,,PUBLIC,
,,12/10/2016,Outsourcing Contract,DG: PUBLIC & INTERNATIONAL HEALTH,NHS SUPPLY CHAIN,9047000040,115002.84,NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2016/17 - 1st June 2016 to 31st March 2017,DE55 4QJ,,,PUBLIC,
,,12/10/2016,Revenue Grants to non-profit institutions,DG: PUBLIC & INTERNATIONAL HEALTH,ACTION ON SMOKING AND HEALTH,ERS-563073-128541,40000,2016/015 ASH - Support for Tobacco Control 2016/17,EC1N 8JY,,,VCS,
,,12/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10115672,164640,Information Systems,SG8 6DP,,,LARGE,
,,12/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10115673,30842.4,Information Systems,SG8 6DP,,,LARGE,
,,12/10/2016,Revenue Grants to non-profit institutions,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",Think Ahead,ERS-563071-128521,2300000,2016/002 Think Ahead - Programme of work,WC2N 6DF,,,VCS,
,,12/10/2016,Policy Payments,DG: STRATEGY & EXTERNAL RELATIONS,NHS PENSIONS AGENCY,16874,903150.68,Injury Benefits Liabilities (SHA & PCT Legacy) 2016-17,FY7 8LG,,,PUBLIC,
,,13/10/2016,Learning & Development,"DG: FINANCE, COMMERCIAL & NHS",ERNST AND YOUNG LLP,GB10100113218,33000,Finance Career Pathways with Digital Content - ITT 60075,SE1 2AF,,,LARGE,
,,13/10/2016,Utilities,DG: GROUP OPERATIONS,EDF ENERGY PLC,000002148402,25877.5,"Richmond House - Electricity Charges from April 2016 - March 2017 @ £21,667 monthly",PL3 5XQ,,,LARGE,
,,13/10/2016,Utilities,DG: GROUP OPERATIONS,EDF ENERGY PLC,000002148402,-0.02,,PL3 5XQ,,,LARGE,
,,13/10/2016,Utilities,DG: GROUP OPERATIONS,EDF ENERGY PLC,000002149604,49070.74,"Skipton House - Electricity Charges from April 2016 - March 2017 @ £48,167 monthly",PL3 5XQ,,,LARGE,
,,13/10/2016,Utilities,DG: GROUP OPERATIONS,EDF ENERGY PLC,000002158983,30617.75,"Wellington House - Electricity Charges from April 2016 - March 2017 @ £30,548 monthly",PL3 5XQ,,,LARGE,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12673430,1697155.12,Revenue 2016/17 HSCIC Choices: Recharge of MVS Admin Related Charges,LS1 6AE,,,PUBLIC,
,,13/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",MICROTEST LTD,0000089263,4000,"Capital 2016/17 Microtest GPSoC R: Migration Charges, National Functionality Deployment, Development Charges",PL31 1EX,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",MICROTEST LTD,0000089263,206230,"Revenue 2016/17 Microtest GPSoC R: System support charges,Training Charges, Utilisation charges, Interface Mechanism charges, Pairing Assurance service charges, Development charges, Hosting service charges",PL31 1EX,,,SME,
,,13/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",ANSWER DIGITAL LTD,3504,25350,Capital 2016/17 Answer Digital GPSOC-Interface Mechanism 2 (GP Network),LS11 5DD,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",COMPUTACENTER UK LTD,3880965851,96453.72,Spine 2 revenue 16/17: computacentre HCON00346 year 2 Oct 16 - Sept 17 pivotal support - Redis & Rabbit,AL10 9TW,,,LARGE,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",MASTEK UK LTD,90336729,209831.79,Revenue 2016/17 Mastek SUS Spine - MAS1-3-031 Extension SUS Management support Jul 16- Sep 16 ,RG1 8BW,,,LARGE,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",EGTON MEDICAL INFORMATION SYSTEMS LTD,EM-SINV010659,1854436.33,"Revenue 2016/17 EMIS GPSoC R: Charges for the Period Commencing 01/04/2016 to 31/03/17. System support charges, Training Charges, Interface Mechanism charges, Pairing Assurance service charges, Hosting service charges",LS19 7BY,,,LARGE,
,,13/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",Informatica Systems Ltd,INV-0109,20067.55,Capital 2015/16 GPSOC Replacement - charges for the Period Commencing 01.01.2016 to 31.03.2016:Subsidiary Module Software License Charges,RH4 9JD,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",Informatica Systems Ltd,INV-0109,18602.19,Revenue 2016/17 Informatica GPSOC - Revenue charges for the Period Commencing  01/04/2016 to 31/12/2016 Subsidiary Module  Appointments and Decision support,RH4 9JD,,,SME,
,,13/10/2016,Addition Clearing - SW LIC,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001222,52127.2,Capital 16/17 Spine 2 BJSS Core Collaborative Contract- Development Jun - Sep 16,LS1 2TW,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",BJSS LTD,INV001222,31948.93,Revenue 2016/17: Spine 2 BJSS Core Collaborative On Call Contract Apr 16 - May 16,LS1 2TW,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",INTECHNOLOGY LTD,ISIN10459,65575,Revenue 2016/17 Spine 2 - INT1-1-051 Core Hosting Jul-Dec 2016,HG3 1UG,,,SME,
,,13/10/2016,Service charge,"DG: INNOVATION, GROWTH & TECHNOLOGY",INTECHNOLOGY LTD,ISIN10467,87245.19,Revenue 2016/17 SUS Spine - INT1-1-051 SUS Hosting Jul- Dec 2016 ,HG3 1UG,,,SME,
,,13/10/2016,Arm Length Bodies-Capital Subsidy,DG: PUBLIC & INTERNATIONAL HEALTH,NHS BLOOD AND TRANSPLANT (NHSBT),954226,2500000,Capital payments to NHSBT 2016/17.,LS15 7TW,,,PUBLIC,
,,13/10/2016,Arm Length Bodies-Revenue Subsidy,DG: PUBLIC & INTERNATIONAL HEALTH,NHS BLOOD AND TRANSPLANT (NHSBT),954228,5508000,NHS Blood and Transplant (NHSBT)'s 2016/17 Revenue Allocation.,LS15 7TW,,,PUBLIC,
,,13/10/2016,Policy Payments,DG: PUBLIC & INTERNATIONAL HEALTH,DEPARTMENT FOR CULTURE MEDIA AND SPORT (DCMS),3965,7000000,School Games Programme 2016-17,SW1Y 5DH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,1410053148,95250,NIHR Leadership Programme,LS9 7TF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,1410053149,45633.66,NIHR Leadership Programme,LS9 7TF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,1410053150,192197.86,NIHR Leadership Programme,LS9 7TF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,1410055215,95250,NIHR Leadership Programme,LS9 7TF,,,PUBLIC,
,,13/10/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8240014,198961,UK Cochrane Centre ,OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-563144-128680,197926,CRFs - CRII,W12 0HS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-563145-128630,112276,Biomedical Units,LS9 7TF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-563146-128562,123286,Biomedical Units,BS99 1YF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-563147-128643,160114,Biomedical Units,UB9 6JH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-563148-128644,147148,Biomedical Units,UB9 6JH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-563149-128633,127791,Biomedical Units,B15 2PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-563150-128624,32549,Research Capability Funding (STANDARD),L7 8XP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-563151-128570,34200,Research Capability Funding (STANDARD),L12 2AP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-563152-128620,201599,Research Capability Funding (STANDARD),SM2  5PT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-563153-128610,98363,Research Capability Funding (STANDARD),M6 8HD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-563155-128593,128380,Research Capability Funding (STANDARD),S5 7AU,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-563156-128658,333748,Research Capability Funding (STANDARD),BR3 3BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563157-128587,134719,Research Capability Funding (STANDARD),SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-563158-128563,134609,Research Capability Funding (STANDARD),BS99 1YF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-563159-128585,49888,Research Capability Funding (STANDARD),NG3 6AA,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-563160-128568,45824,Research Capability Funding (STANDARD),NW3 1QG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-563161-128634,194429,Research Capability Funding (STANDARD),B15 2PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-563163-128604,95194,Research Capability Funding (STANDARD),CV2 2DX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-563164-128665,96436,Research Capability Funding (STANDARD),LE5 4QF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE WALTON CENTRE NHS FOUNDATION TRUST,ERS-563165-128575,26001,Research Capability Funding (STANDARD),L9 7LJ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-563166-128671,104288,Biomedical Units,NG7 2UK,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-563168-128672,121090,Biomedical Units,NG7 2UK,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-563169-128625,109384,Biomedical Units,L7 8XP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563170-128588,121910,Biomedical Units,SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563171-128589,177415,Bio-Medical Centres,SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563175-128661,101197,Research Capability Funding (STANDARD),M13 0JR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-563176-128569,41010,Research Capability Funding (STANDARD),CM8 2TL,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563178-128652,455941,Research Capability Funding (STANDARD),OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-563179-128637,423674,Research Capability Funding (STANDARD),NW1 2BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE SOLENT NHS TRUST R1C,ERS-563180-128698,39896,Research Capability Funding (STANDARD),SO16 4XE,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563181-128662,84083,Biomedical Units,M13 0JR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-563182-128666,83333,Biomedical Units,LE5 4QF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-563183-128667,83333,Biomedical Units,LE5 4QF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-563184-128668,135163,Biomedical Units,LE5 4QF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-563185-128564,133414,Biomedical Units,BS99 1YF,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563186-128653,166667,Biomedical Units,OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-563187-128617,492587,Bio-Medical Centres,EC1V 2PD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-563188-128615,690990,Bio-Medical Centres,WC1N 3JH,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-563189-128597,1018611,Bio-Medical Centres,SE1 9RT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-563190-128646,373776,Bio-Medical Centres,NE7 7DN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-563191-128647,83333,Bio-Medical Centres,NE7 7DN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563192-128654,1705558,Bio-Medical Centres,OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-563194-128622,1024729,Bio-Medical Centres,SM2  5PT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-563195-128681,1900697,Bio-Medical Centres,W12 0HS,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-563196-128571,36364,CRFs - CRII,L12 2AP,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-563197-128635,255204,CRFs - CRII,B15 2PR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-563198-128675,54545,CRFs - CRII,BN2 3EW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563199-128577,197255,CRFs - CRII,CB2 2QQ,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563200-128663,100000,CRFs - CRII,M13 0JR,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-563201-128581,104333,CRFs - CRII,EX2 5DW,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-563202-128598,102604,CRFs - CRII,SE1 9RT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-563204-128618,104309,CRFs - CRII,EC1V 2PD,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-563205-128648,72727,CRFs - CRII,NE7 7DN,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-563206-128655,67969,CRFs - CRII,OX4 2PG,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-563207-128623,53615,CRFs - CRII,SM2  5PT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-563208-128594,79389,CRFs - CRII,S5 7AU,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-563209-128659,86151,CRFs - CRII,BR3 3BX,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-563210-128609,45455,CRFs - CRII,M23 9LT,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-563211-128590,168076,CRFs - CRII,SO52 9AB,,,PUBLIC,
,,13/10/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE CHRISTIE NHS FOUNDATION TRUST,ERS-563212-128572,81818,CRFs - CRII,M20 4BX,,,PUBLIC,
