Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Invoice Description,"Description ( Please populate using the Invoice Description: Please rememebr no acroynms, abbreviations or PO numbers)",Supplier Postcode ,Supplier Type,Contract Number,Project code,Expenditure Type,VAT Registration Number
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003085,"189,823.06",PO 346825 DISEASE RESILIENCE & RESISTENCE,Six Months' Funding of Disease Risk (1st April 2011 to 30th September 2011,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003086,"111,890.00",PO 346900 WLRS CHARGES MAY 11,"Three Months' Funding of TB, 1st April 2011 to 30th June 2011",YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003087,"5,368,609.31",PO 347146 TB CHARGES MAY 2011,"Three Months' Funding of TB, 1st April 2011 to 30th June 2011",YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003495,"4,943,497.33",PO 347146 TB CHARGES JUNE 2011,"Three Months' Funding of TB, 1st April 2011 to 30th June 2011",YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,01/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003496,"362,965.88",po 347153 Animal Welfare Charges June 11,General Funding - Payment to AHVLA re to Animal Welfare Charges.,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003497,"477,154.87",PO 347154 BORDER CHARGES FOR JUNE 2011,Front Line Services - Animal Disease Surveillance,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003498,"92,738.96",PO 347155 REPORTABLE DISEASE & ZOONOSES CHARGES JUNE 2011,Front Line Services - Animal Disease Surveillance,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003499,"1,995,138.25",PO 347171 EXOTIC DISEASE CHARGES JUNE 2011,Front Line Services - Animal Disease Surveillance,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003510,"1,228,155.00",MULTIPLE POS 348054 & 348132 BASE PAYROLL CHARGES & CIOD IT,Expert Veterinary Advice on Animal Disease Control Policy  ,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments (GB),Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003555,"35,100.00",PO 348156 FSA SLAUGHTERHOUSE APR-JUN 2011,Bovine TB Programme - Slaughterhouse surveillance work carried out by FSA - 11/12 [to be invoiced by AHVLA,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003935,"111,791.59",PO 347154 BORDER CONTROLS CHARGES JULY 2011, ,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003936,"87,319.07",PO 347155 REPORTABLE DISEASE AND ZOONOSES CHARGES JULY 2011,Front Line Services - Animal Disease Surveillance,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,30/08/2011,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000003937,"465,276.02",PO 347171 EXOTIC DIEASE CHARGES FOR JULY 2011,Front Line Services - Animal Disease Surveillance,YO1 7PX,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Animal Health and Veterinary Laboratories Agency,ERS-483899-35364,"36,825.22",SE3227 - Evaluation of the protection efficacy of vaccines against bovine TB in a natural transmission setting.- Aug 11,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,888800181
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,ERS-484558-35368,"257,666.67",AHVLA - Contract L - 11/12 (self-bill),AHVLA - Contract L - 11/12 (self-bill),KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,B B S R C,ERS-483887-35109,"55,904.50","SE4108 - EMIDA Molecular studies of orbivirus transmission, epidemiology and diagnostics - Aug 2011- BBSRC",Animal Health & Welfare Research Project,SN2 1UH,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,618367325
DEFRA,DEFRA,19/08/2011,Other Current Payments E,Food and Farming Group,Barker Gotelee,CO90352010220711,"75,000.00",PO 346688- REMAINING LEGAL COSTS-K & AC JACKSON & SON -CASE NO:CO/9035/2010,Payment of legal costs,IP5 3RF,SME,14286,,PROGRAMME EXPENDITURE,632588522
DEFRA,DEFRA,19/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Cranfield University,1320751,"56,661.00",PO 348554  YBR0785N  AFM277 DEVELOPMENT,FT1571 - Developing prototype palladium-based ethylene scavenging technology to reduce retail and household waste (AFM 277) - Cranfield University,MK43 0AL,,,SFFS0003,PROGRAMME EXPENDITURE EVIDENCE R&D,491358622
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Cranfield University,ERS-484177-35120,"99,822.50",FO0427 - Future implications of trends in healthy eating on existing food production and manufacture FY2010/11,FO0427 - Future implications of trends in healthy eating on existing food production and manufacture FY2010/11,MK43 0AL,,,SFFS0003,PROGRAMME EXPENDITURE EVIDENCE R&D,491358622
DEFRA,DEFRA,15/08/2011,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,29153,"195,027.47",RMP5380 ORDER 31617,Foreign payment ,8952,SME,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,23/08/2011,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,29248,"195,027.47",RMP5380 ORDER 31618,"HL0194 - Exploiting semiochemicals, conservation biocontrol and selective physical methods in integrated management of pear sucker",8952,SME,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,East Malling Ltd,10450,"28,910.00",PO 317914 PROJECT HL0194  M599105 APR-JUN 2011,LK09106 - Using legume-based mixtures to enhance the nitrogen use efficiency and economic viability of cropping systems (Organic Research Centre),ME19 6BJ,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Elm Farm Research Centre,1321,"52,719.03",PO 323968 USING LEGUME - LK09106 PERIOD APR - JUNE 2011,"LK0999 - Adaptive winter wheat populations: development, genetic characterisation and application - ELM FARM RESEARCH",RG20 0HR,SME,,SFFS0006,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Elm Farm Research Centre,1322,"43,537.67",PO 303249 PROJECT LK0999 - FY 2008/09  APR-JUN 2011,British Survey of Fertiliser Practice 2011 to 2014,RG20 0HR,SME,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,Food & Environment Research Agency,F0016536,"41,333.75",PO 347430 T4ZG 2011/12 FIRST INSTALLMENT,FERA MoU - Annex C - Badger Vaccine Deployment Project (11/12),YO41 1LZ,,,,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,23/08/2011,Evidence Non R&D,Food and Farming Group,Food & Environment Research Agency,F0017118,"138,671.00",PO 327246 BVDP QUARTER 1 - ADMINISTRATION TRAINING PROJECT MANAGEMENT,ABPO SLA 2011_12,YO41 1LZ,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,888800181
DEFRA,DEFRA,09/08/2011,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700871,"33,938.24",PO 346381 FS317 OTHER SERVICES,Cattle Testing 2011/2012 - FSA,YO1 2YX,,,ABPO0001,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,09/08/2011,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700878,"46,922.03",PO 346747 FS325 BSE TESTING,FSA Sheep Testing 2001-2012,YO1 2YX,,,TSE001CA,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,09/08/2011,Evidence Non R&D,Food and Farming Group,Food Standards Agency,1700918,"30,250.51",PO 346759 FS317 SHEP BRAINSTEM SAMPLE APR - JUN 2011,CLEANSING & DISINFECTING SUPERVISION costs,YO1 2YX,,,TSE002SH,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,23/08/2011,Other Current Payments E,Food and Farming Group,Food Standards Agency,1700964,"81,822.57",PO 346937- FS320-SUPERVISION OF CLEANSING  & DISINFECTING OF LIVESTOCK VEHICLES-JULY 2011,ABPO SLA 2011_12,YO1 2YX,,,MHS00946,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,23/08/2011,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700965,"44,153.97",PO 346381 - FSA SERVICE SLA ANIMAL BY PRODUCTS ORDER JULY 2011 - 27-JUN-11 - 31-JUL-11,Cattle Testing 2011/2012 - FSA,YO1 2YX,,,ABPO0001,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,23/08/2011,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1700966,"56,528.24",PO 346747- FS325-BSE TESTING & BEEF ASSURANCE WORK JULY 2011-ENGLAND,GLA Compliance Grant-in-Aid (August 2011),YO1 2YX,,,TSE001CA,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,17/08/2011,Grant-in Aid Payments,Food and Farming Group,Gangmasters Licensing Authority,GIAKAJAUGUST2011,"132,241.00",PO 348461 COMPLIANCE GRANT IN AID AUG 11,GLA Enforcement Funding (August 2011),NG8 9AF,,,GLA00005,NON BUDGET NON ESTIMATE,
DEFRA,DEFRA,17/08/2011,Other Current Payments UK,Food and Farming Group,Gangmasters Licensing Authority,GIAKAJAUGUST2011196202,"196,202.00",PO 348465 ENFORCEMENT FUNDING AUG 2011,TSE Testing Private Labs - Identigen 2011/2012,NG8 9AF,,,GLA00002,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,19/08/2011,Evidence Non R&D,Food and Farming Group,Identigen Ltd,Jul-11,"42,053.45",PO 346749 - BSE TESTING JULY 2011,Animal Health & Welfare Research Project,NP10 8UL,SME,,TSE00963,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-483846-35127,"31,657.71",SE4205 - Detection and modelling of airborne spread of foot and mouth disease (Aug 2011) - IAH,Animal Health & Welfare Research Project,RG20 7NN,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-483848-35129,"56,287.33",SE2813  GRFA development of novel FMD vaccines,Animal Health & Welfare Research Project,RG20 7NN,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-483850-35130,"27,198.00",SE1514 - August FY 2011/2012,Animal Health & Welfare Research Project,RG20 7NN,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-483870-35137,"27,220.08",SE2617 - August FY 2011/2012,Animal Health & Welfare Research Project,RG20 7NN,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-483881-35138,"25,197.71",SE4204 - August FY 2011/2012,British Survey of Fertiliser Practice 2011 to 2014,RG20 7NN,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,23/08/2011,Evidence Non R&D,Food and Farming Group,Kynetec Ltd,8498,"41,094.00",PO 348602 BRITISH SURVEY OF FERTILISER PRACTICE 2011,TSE Testing Private Labs - LGC 2011/2012,RG20 8JE,SME,14262,FCAG0003,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,11/08/2011,Evidence Non R&D,Food and Farming Group,L G C Limited,50092638,"156,651.48",PO 346748 EU REBATE FOR SAMPLES TO ABATTOIRS 14/07 - 01/08/11,HL0192 - Perennial field margins with combined ecological and agronomical benefits for vegetable rotation schemes,TW11 0LY,SME,,TSE00963,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Lancaster University,8631931,"30,428.67",PO 326195 HORTLINK HL0192 YEAR 3 QUARTER 2,WQ0210 (Var)  FY2010/11,LA1 4YW,,,SFFS0006,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Lancaster University,ERS-484175-35150,"175,769.00",WQ0210 (Var)  FY2010/11,WQ0218  FY2010/11,LA1 4YW,,,SFFS0004,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Lancaster University,ERS-484179-35152,"63,906.88",WQ0218  FY2010/11,Grant payment to Natinal Farmer's Union (under Campaigned for Farmed Environment Activity),LA1 4YW,,,SFFS0004,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,09/08/2011,Other Current Payments E,Food and Farming Group,N F U,OP0026407,"148,695.00",PO 339745 CFE LOCAL ACTIVITY JAN - MARCH 2011,AC0116 (Variation) - GHG Platform - Nitrous Oxide Emissions Factors - Aug 11 -Rothamsted Research,CV8 2TZ,,,,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,North Wyke Research.,ERS-484155-35313,"93,425.44",AC0116 - Aug 11,"FO0425 - Opportunities to improve environmental and economic performance in the food chain- Lean thinking, continious improvement and benchmarking - Oakdene Hollins Ltd",AL5 2JQ,SME,,SFFS0005,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Oakdene Hollins,90811,"53,894.16",PO 348319 FO0425,Living Costs & Food Survey 2011/12 - Quarter One,HP20 1RS,SME,,SFFS0003,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,01/08/2011,Evidence Non R&D,Food and Farming Group,Office For National Statistics,1021775,"81,742.25",PO 346242 LIVING COSTS ETC 2011/12,"This is not ours, Should be ERG not FFG",NP10 9XG,,,FCAG0006,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,09/08/2011,Other Current Payments (GB),Food and Farming Group,Rural Payments Agency,329677,"29,705.69",PO 347039 SHEEP & GOATS INSPECTIONS,Sheep and Goats Inspections Admin work carried out by BCMS,RG1 3YD,,,SGTINSP1,PROGRAMME EXPENDITURE,888800181
DEFRA,DEFRA,15/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,The Royal Veterinary College,90811,"40,765.44",PO 298788- SE4007,Animal Health & Welfare Research Project,NW1 0TU,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Current Grants GB,Food and Farming Group,The Scottish Government,80055069,"157,600.00",PO 348377 LEGAL FEES BRYDON NICHOLSON,Compensation legal fees -Brydon Nicholson,EH11 3XD,,,NSP00909,CURRENT GRANTS,888842551
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,University Of East Anglia,ERS-484127-35168,"26,666.00",WQ0212 (Variation) Demonstration Test Catchments: Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Wensum - FY 2010/11 - University of East Anglia,WQ0212 (Variation) Demonstration Test Catchments: Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Wensum - FY 2010/11 - University of East Anglia,NR4 7TJ,,,SFFS0004,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Edinburgh,ERS-483811-35174,"26,393.91",SE1853 - August FY 2011/2012,Animal Health & Welfare Research Project,EH1 1HT,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,592950700
DEFRA,DEFRA,15/08/2011,Other Current Payments E,Food and Farming Group,University Of Gloucestershire,4064676,"49,285.00",PO 348323REGULATORY CHANGE IMPACTS,Catchment scale testing of measures to mitigate diffuse agricultural pollution on the Wensum - FY 2010/11 - University of East Anglia,GL50 2RH,,,FCAG0004,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,19/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Newcastle Upon Tyne,9100044814,"35,226.68",PO 332819-LINK PROJECT: REF:LK0693-PERIOD:01/04/11-30/06/11,LK0693 - Assessing the environmental consequences of husbandry changes in UK poultry systems through a Life Cycle Analysis - University of Newcastle upon Tyne,NE1 7RU,,,SFFS0006,PROGRAMME EXPENDITURE EVIDENCE R&D,499672470
DEFRA,DEFRA,30/08/2011,Other Current Payments E,Food and Farming Group,University Of Reading,ERS-484085-35190,"35,109.92",National Fruit Collection August 11 payment,National Fruit Collection August 11 payment,RG6 6AH,,,PGR00001,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,30/08/2011,Other Current Payments (Evidence R&D),Food and Farming Group,University Of York,56054,"39,755.75",PO 315951 COSTS FOR QUARTER 11 - PROJECT CODE LK0850 - REF 1202001,LK0850 - Inorganic Polymer Bio-composites (IPBC),YO10 5DD,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Food and Farming Group,Veterinary Laboratories Agency,ERS-482987-35039,"272,166.67",VLA Contract T 2011-2012 July 2011,VLA Contract T 2011-2012 July 2011,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483813-35204,"55,124.41",SE1931 (variation) - August FY 2011/2012,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483820-35209,"48,965.83",SE1957a - Pathology and Pathogenesis of prion diseases - Aug 11 - VLA,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483822-35210,"34,304.83",SE2014 - August FY 2011/2012,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483897-35235,"46,016.16",SE3227 variation,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483905-35239,"112,872.66",SE3247 - August FY 2011/2012,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483906-35240,"28,996.16",OD2031- Assessment of the risk of selection of Extended Spectrum Beta Lactamase resistance in calves by feeding waste milk containing - VLA - Aug 2011,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483907-35241,"38,077.00",VLA SE3233,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483908-35242,"91,334.00","SE3246 Variation)
oral Tuberculosis vaccine for badgers: research studies",Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-483914-35244,"27,418.25",OZ0332 - Salmonella Enteritidis & S.Typhimurium in egg production: Elimination from flocks & characterisation of public health risks - VLA - Aug 11,Animal Health & Welfare Research Project,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Food and Farming Group,Veterinary Laboratories Agency,ERS-484271-35254,"175,000.00",VLA Contract E 2011-2012 August 2011,VLA Contract T 2011-2012 July 2011,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Food and Farming Group,Veterinary Laboratories Agency,ERS-484272-35255,"272,166.67",VLA Contract T 2011-2012 August 2011,VLA Contract T 2011-2012 July 2011,KT15 3NB,,,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,30/08/2011,Mobile Phones,Food and Farming Group,Vodafone Ltd,60282725,"57,506.20",aCCOUNT 602147228/00001 DEFRA 17.8.11,,RG14 5FF,,,,CURRENT ASSETS,569953277
DEFRA,DEFRA,05/08/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6144410,"27,774.00",PO 347103 REWARD & RECOGNITION SCHEMES,Review of Evidence on the use of Rewards and recognition schemes in enhancing recycling and waste prevention behaviours ,OX11 0QJ,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,25/08/2011,Evidence Non R&D,Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6144629,"152,752.87",PO 334942- ENERGY USING PRODUCTS P04-JULY 2011,Sustainable Consumption and Production - Lead Contract - Energy Using Products,OX11 0QJ,,10548,,PROGRAMME EXPENDITURE EVIDENCE NON R&D,
DEFRA,DEFRA,25/08/2011,Other Current Payments (Evidence R&D),Green Economy and Corporate Services Group,A E A Technology - SPM Lead Contract,6144679,"72,000.00",PO 346333 PRODUCT USAGE STUDY,Product Usage Survey 2011-2012,OX11 0QJ,,,,PROGRAMME EXPENDITURE EVIDENCE R&D,
DEFRA,DEFRA,19/08/2011,Other Current Payments UK,Green Economy and Corporate Services Group,B E T A Technology Ltd,4899,"29,748.89",PO 337632 EU0222 FINANCIAL YR 2011/2012 PERIOD 1/4/11 - 31/6/11,Research & Development - Provision of UK national contact points services,DN4 5HZ,SME,,EUIPARTN,PROGRAMME EXPENDITURE,
DEFRA,DEFRA,01/08/2011,Telephone Call Charges (C),Green Economy and Corporate Services Group,Buying Solutions,SINMSD9397,"294,114.31",PO 342323 QTR 2 2011/12,Buying Solutions For Quarter 2 2011/12 ,L3 1PE,,,B1960000,ADMIN - OFFICE SERVICES,
DEFRA,DEFRA,01/08/2011,Overhead Incidental Expenses,Green Economy and Corporate Services Group,Cabinet Office,250003422,"139,784.40",PO 346367 NGHR POLICY COSTS,"Civil Service Human Resources Expert Services including Learning, Employee Policy & Resourcing",RG21 4HG,,,,ADMIN OTHER NON-PAY,
DEFRA,DEFRA,01/08/2011,Overhead Incidental Expenses,Green Economy and Corporate Services Group,Cabinet Office,250003424,"61,802.40",PO 346367 NGHER RESOURCING COSTS FIRST INV,"Civil Service Human Resources Expert Services including Learning, Employee Policy & Resourcing",RG21 4HG,,,,ADMIN OTHER NON-PAY,
DEFRA,DEFRA,01/08/2011,Overhead Incidental Expenses,Green Economy and Corporate Services Group,Cabinet Office,250003425,"133,992.00",PO 346367 NGHR LEARNING COSTS FIRST INVOICE 11/12,"Civil Service Human Resources Expert Services including Learning, Employee Policy & Resourcing",RG21 4HG,,,,ADMIN OTHER NON-PAY,
DEFRA,DEFRA,09/08/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,V6227215,"73,097.06",GAS 31/05/11 - 30/06/11 A/C 0011627,Gas bill 31/05/11 - 30/06/11,WD17 1JW,,,B2810000,ADMIN - ESTATES/ACCOMMODATION,608586023
DEFRA,DEFRA,09/08/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,V6238184,"65,823.38",GAS 26/05/11 - 29/06/11 A/C 80309803,Gas bill 26/05/11 - 29/06/11,WD17 1JW,,,B0870000,ADMIN - ESTATES/ACCOMMODATION,608586023
DEFRA,DEFRA,01/08/2011,Estates Professional Fees & Services,Green Economy and Corporate Services Group,D T Z,171043,"44,937.50",PO 348018 DEFRA ESTATE MANAGEMENT DEFRA 663 - EASTBROOK,DTZ Asset Management Fee July 2011 to April 2012,EH3 9QG,,x FRW10341B-01,,ADMIN - ESTATES/ACCOMMODATION,888800181
DEFRA,DEFRA,04/08/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA093,"95,971.81",DTZ FUNDING REQUEST 093,Business rates,B3 2ED,,,,ADMIN - ESTATES/ACCOMMODATION,888800181
DEFRA,DEFRA,11/08/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA095,"438,325.91",DTZ FUNDING REQUEST 095,Business rates,B3 2ED,,,,ADMIN - ESTATES/ACCOMMODATION,888800181
DEFRA,DEFRA,18/08/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA096,"132,675.09",DTZ FUNDING REQUEST 096,Business rates,B3 2ED,,,,ADMIN - ESTATES/ACCOMMODATION,888800181
DEFRA,DEFRA,25/08/2011,Business Rates,Green Economy and Corporate Services Group,D T Z,DEFRA097,"1,541,182.59",DTZ FUNDING REQUEST 097,Business rates,B3 2ED,,,,ADMIN - ESTATES/ACCOMMODATION,888800181
DEFRA,DEFRA,17/08/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,101010811,"32,996.22",ELECTRICITY 1-31/7/11  13109859,Electricity Bill 1-31/-7/11,PL3 5XQ,,,B0870000,ADMIN - ESTATES/ACCOMMODATION,
DEFRA,DEFRA,17/08/2011,Electricity,Green Economy and Corporate Services Group,E D F Energy,118010811,"122,613.68",ELECTRICITY 1-31/7/11  11533993,Electricity Bill 1-31/7/11,PL3 5XQ,,,B2810000,ADMIN - ESTATES/ACCOMMODATION,
