Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,12-Jan-11,Library services,CHIEF NURSING OFFICER,EMAP LTD,HJD1360T0001,32000,,,
Department of Health,Department of Health,12-Jan-11,Revenue resource discretionary funding inside boundary,COMMISSIONING,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12592100,364100,,,
Department of Health,Department of Health,12-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),731216,36202,,,
Department of Health,Department of Health,12-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12592105,433333.33,,,
Department of Health,Department of Health,12-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,HM REVENUE AND CUSTOMS (HMRC),1.8E+13,500000,,,
Department of Health,Department of Health,12-Jan-11,External Consultancy Fees,INFORMATICS,QI CONSULTING,12244650,43167.71,,,
Department of Health,Department of Health,12-Jan-11,Legal / Prof Fees,INFORMATICS,MILBANK TWEED HADLEY & MCCLOY LLP,12255008,111522.85,,,
Department of Health,Department of Health,12-Jan-11,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1721001-18-JAN-11,7074.51,,,
Department of Health,Department of Health,12-Jan-11,Secondees in invoiced costs,NHS FINANCE PERFORMANCE & OPERATIONS,SOUTH EAST COAST SHA,15112207,-1304.5,,,
Department of Health,Department of Health,12-Jan-11,Secondees in invoiced costs,NHS FINANCE PERFORMANCE & OPERATIONS,SOUTH EAST COAST SHA,15112207,62616.5,,,
Department of Health,Department of Health,12-Jan-11,Radio communications,NHS FINANCE PERFORMANCE & OPERATIONS,EAST OF ENGLAND AMBULANCE SERVICE,718904,81600,,,
Department of Health,Department of Health,12-Jan-11,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,RAMSAY HEALTH CARE UK OPERATIONS LTD,48,2931169.08,,,
Department of Health,Department of Health,12-Jan-11,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,UKSH SOUTH WEST LTD,UKSHSW/77,3019994.41,,,
Department of Health,Department of Health,12-Jan-11,Travel & subsistence secondees,NHS MEDICAL DIRECTOR,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,7176486,9000,,,
Department of Health,Department of Health,12-Jan-11,Secondees in invoiced costs,NHS MEDICAL DIRECTOR,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,7176486,34988,,,
Department of Health,Department of Health,12-Jan-11,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,BRISTOL LABORATORIES LTD,27286,45428.32,,,
Department of Health,Department of Health,12-Jan-11,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,BRISTOL LABORATORIES LTD,29924,142017.24,,,
Department of Health,Department of Health,12-Jan-11,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,BRISTOL LABORATORIES LTD,30283,153762.92,,,
Department of Health,Department of Health,12-Jan-11,Research & development,R&D,ST HELENS & KNOWSLEY HOSPITALS NHS TRUST,ERS-418260-39921,34126,,,
Department of Health,Department of Health,12-Jan-11,Research & development,R&D,UNIVERSITY COLLEGE LONDON (UCL),ERS-418241-39926,50518.42,,,
Department of Health,Department of Health,12-Jan-11,MST Service Fees,SOCIAL CARE,MST SERVICES,50002347,128499.26,,,
Department of Health,Department of Health,12-Jan-11,Revenue Grants to Other Bodies,WORKFORCE,SOCIETY AND COLLEGE OF RADIOGRAPHERS (SCOR),1756,45000,,,
Department of Health,Department of Health,12-Jan-11,Provisions cash payment,WORKFORCE,NHS INJURY BENEFITS SCHEME,ERS-418219-39901,4300078.72,,,
Department of Health,Department of Health,12-Jan-11,Training pay costs,WORKFORCE,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,S0000102,6253000,,,
Department of Health,Department of Health,12-Jan-11,Computer Software/License,INFORMATICS,CAPGEMINI UK PLC,12262913,46147.13,,,
Department of Health,Department of Health,13-Jan-11,Capital other bud adj,COMMISSIONING,CABLE AND WIRELESS COMMUNICATION,415508,42079.69,,,
Department of Health,Department of Health,13-Jan-11,Grants to non profit institutions (CUR),COMMISSIONING,CENTRE FOR PUBLIC SCRUTINY LTD,ERS-418424-39961,195500,,,
Department of Health,Department of Health,13-Jan-11,Professional fees,COMMUNICATIONS,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),1800014649,27000,,,
Department of Health,Department of Health,13-Jan-11,Distribution services,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,IN308725,27375.33,,,
Department of Health,Department of Health,13-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),731259,55050,,,
Department of Health,Department of Health,13-Jan-11,Library services,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,OP/I114874,111919.18,,,
Department of Health,Department of Health,13-Jan-11,Utilities,FINANCE & OPERATIONS (DM),SCOTTISH AND SOUTHERN ENERGY PLC,191304511/0045,-772.25,,,
Department of Health,Department of Health,13-Jan-11,Utilities,FINANCE & OPERATIONS (DM),SCOTTISH AND SOUTHERN ENERGY PLC,191304511/0045,37067.89,,,
Department of Health,Department of Health,13-Jan-11,Conferences & seminars,FINANCE & OPERATIONS (DM),EXPOTEL HOTEL RESERVATIONS LTD,689212,40930.1,,,
Department of Health,Department of Health,13-Jan-11,Travel & subsistence staff,FINANCE & OPERATIONS (DM),FCM TRAVEL SOLUTIONS,1049603110,55004.02,,,
Department of Health,Department of Health,13-Jan-11,Other rentals under operating leases (non-PFI),FINANCE & OPERATIONS (DM),RICOH UK LTD,55693265,58161.01,,,
Department of Health,Department of Health,13-Jan-11,Provisions cash payment,FINANCE & OPERATIONS (DM),CABINET OFFICE,NOVEMBER PASA RETIREMENT BILLS,65956.95,,,
Department of Health,Department of Health,13-Jan-11,Telephone costs,FINANCE & OPERATIONS (DM),CSC COMPUTER SCIENCES LTD,5201207589,77163.54,,,
Department of Health,Department of Health,13-Jan-11,Travel & subsistence staff,FINANCE & OPERATIONS (DM),EXPOTEL HOTEL RESERVATIONS LTD,689105,92358.89,,,
Department of Health,Department of Health,13-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,KIDS CLUBS NETWORK TA 4CHILDREN,TSI992,50000,,,
Department of Health,Department of Health,13-Jan-11,Addition Clearing - SW LIC,HEALTH PROTECTION AND IMPROVEMENT,INSIGHT DIRECT (UK) LTD,10885600,54849,,,
Department of Health,Department of Health,13-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,VERTEX DATA SCIENCE LTD,FI0406996,97231.12,,,
Department of Health,Department of Health,13-Jan-11,Grants to non profit institutions (CUR),HEALTH PROTECTION AND IMPROVEMENT,NO SMOKING DAY,ERS-418399-39941,125000,,,
Department of Health,Department of Health,13-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,VERTEX DATA SCIENCE LTD,FI0406995,179813.92,,,
Department of Health,Department of Health,13-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),2863249,187220,,,
Department of Health,Department of Health,13-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,WEST MIDLANDS AMBULANCE SERVICE,Y0001334,215000,,,
Department of Health,Department of Health,13-Jan-11,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),2863249,259588,,,
Department of Health,Department of Health,13-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,LONDON AMBULANCE SERVICE NHS TRUST,50047,659205.5,,,
Department of Health,Department of Health,13-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,LONDON AMBULANCE SERVICE NHS TRUST,50046,659205.5,,,
Department of Health,Department of Health,13-Jan-11,External Consultancy Fees,INFORMATICS,METHODS CONSULTING LTD,12255013,23183,,,
Department of Health,Department of Health,13-Jan-11,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12262933,85878,,,
Department of Health,Department of Health,13-Jan-11,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12262934,47806.5,,,
Department of Health,Department of Health,13-Jan-11,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12262935,128363,,,
Department of Health,Department of Health,13-Jan-11,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12262936,37375,,,
Department of Health,Department of Health,13-Jan-11,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12262938,22477,,,
Department of Health,Department of Health,13-Jan-11,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1721001-18-JAN-11,9345.11,,,
Department of Health,Department of Health,13-Jan-11,IT minor costs non capital,NHS FINANCE PERFORMANCE & OPERATIONS,BT PLC,790033232,21548.24,,,
Department of Health,Department of Health,13-Jan-11,Storage costs,NHS MEDICAL DIRECTOR,WINTHROP PHARMACEUTICALS UK LTD,4700000018,145.72,,,
Department of Health,Department of Health,13-Jan-11,Storage costs,NHS MEDICAL DIRECTOR,WINTHROP PHARMACEUTICALS UK LTD,4700000018,49244.09,,,
Department of Health,Department of Health,13-Jan-11,Other programme expenditure,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),BIRMINGHAM WOMENS NHS FOUNDATION TRUST,OP/I113843,39536,,,
Department of Health,Department of Health,13-Jan-11,Other programme expenditure,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),BIRMINGHAM WOMENS NHS FOUNDATION TRUST,OP/I113843,41500,,,
Department of Health,Department of Health,13-Jan-11,Other programme expenditure,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),BIRMINGHAM WOMENS NHS FOUNDATION TRUST,OP/I113844,141006.5,,,
Department of Health,Department of Health,13-Jan-11,Conferences & seminars,SOCIAL CARE,CENTREVENTS LTD,CE00561,85187.5,,,
Department of Health,Department of Health,13-Jan-11,Outsourcing Contract,WORKFORCE,PUBLIC CONCERN AT WORK,26930,46902.48,,,
Department of Health,Department of Health,13-Jan-11,Revenue Grants to Other Bodies,WORKFORCE,OFFICE OF THE HEALTH PROFESSIONS ADJUDICATOR OHPA,DLG-PS-OHPA-08,62185,,,
Department of Health,Department of Health,14-Jan-11,Professional fees,COMMISSIONING,DESIGN COUNCIL,FIN/FY10-11/032,264375,,,
Department of Health,Department of Health,14-Jan-11,Professional fees,COMMISSIONING,DESIGN COUNCIL,FIN/FY10-11/032,264375,,,
Department of Health,Department of Health,14-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),731286,22919.32,,,
Department of Health,Department of Health,14-Jan-11,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),731287,22919.32,,,
Department of Health,Department of Health,14-Jan-11,Travel & subsistence staff,FINANCE & OPERATIONS (DM),FCM TRAVEL SOLUTIONS,1049603209,83629.35,,,
Department of Health,Department of Health,14-Jan-11,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,HERTFORDSHIRE UNIVERSITY OF,18497,48931.5,,,
Department of Health,Department of Health,14-Jan-11,Grants to non profit institutions (CUR),HEALTH PROTECTION AND IMPROVEMENT,ALCOHOL CONCERN,ERS-418692-40162,75000,,,
Department of Health,Department of Health,14-Jan-11,Grants to local authorities (CUR),HEALTH PROTECTION AND IMPROVEMENT,HAVERING LONDON BOROUGH COUNCIL,ERS-418668-40142,88000,,,
Department of Health,Department of Health,14-Jan-11,Professional fees,HEALTH PROTECTION AND IMPROVEMENT,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,OP/I113968,175000,,,
Department of Health,Department of Health,14-Jan-11,Grants to local authorities (CUR),HEALTH PROTECTION AND IMPROVEMENT,HILLINGDON LONDON BOROUGH COUNCIL,ERS-418671-40144,180000,,,
Department of Health,Department of Health,14-Jan-11,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,MOUCHEL MANAGEMENT CONSULTING LTD,90054254,222326,,,
Department of Health,Department of Health,14-Jan-11,Grants to local authorities (CUR),HEALTH PROTECTION AND IMPROVEMENT,HOUNSLOW LONDON BOROUGH COUNCIL,ERS-418672-40145,273000,,,
Department of Health,Department of Health,14-Jan-11,Grants to local authorities (CUR),HEALTH PROTECTION AND IMPROVEMENT,HAMPSHIRE COUNTY COUNCIL,ERS-418661-40161,276000,,,
Department of Health,Department of Health,14-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,NORTH WEST AMBULANCE SERVICE NHS TRUST,2073480,294000,,,
Department of Health,Department of Health,14-Jan-11,Grants to local authorities (CUR),HEALTH PROTECTION AND IMPROVEMENT,HERTFORDSHIRE COUNTY COUNCIL,ERS-418670-40143,424000,,,
Department of Health,Department of Health,14-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,NORTH EAST AMBULANCE SERVICE,29197,659205.5,,,
Department of Health,Department of Health,14-Jan-11,Revenue Grants to Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,EAST MIDLANDS AMBULANCE SERVICE,11296495,659205.5,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,179.78,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,MICROTEST LTD,73087,256.58,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,326.81,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,580.58,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,2186.39,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,38225.01,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,42300,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,46423.23,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,76965.3,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257250,102180.94,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,110576.45,,,
Department of Health,Department of Health,14-Jan-11,Addition Clearing - IT,INFORMATICS,MICROTEST LTD,73087,238879.14,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257250,251652.84,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,340528.31,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN41476-1,884118,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257249,932946.08,,,
Department of Health,Department of Health,14-Jan-11,Service charge,INFORMATICS,BT GROUP PLC,257248PART PAYT,4206814.18,,,
Department of Health,Department of Health,14-Jan-11,External Consultancy Fees,INFORMATICS,CABLE & WIRELESS UK,11887386,140869.72,,,
Department of Health,Department of Health,14-Jan-11,External Data Contracts,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),12204946,47180.55,,,
Department of Health,Department of Health,14-Jan-11,Printing Costs,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),12211221,48756.25,,,
Department of Health,Department of Health,14-Jan-11,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1721001-18-JAN-11,9616.13,,,
Department of Health,Department of Health,14-Jan-11,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,1060016346,974753.26,,,
Department of Health,Department of Health,14-Jan-11,Other programme expenditure,NHS MEDICAL DIRECTOR,NORTH WEST SHA,N0002779,30000,,,
Department of Health,Department of Health,14-Jan-11,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,3440042,327740.4,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,WESTERN SUSSEX HOSPITALS NHS TRUST,ERS-418648-40129,8910,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,OXFORD RADCLIFFE HOSPITAL NHS TRUST,ERS-418593-40085,11732,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ERS-418483-40072,13135,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-418503-40097,13135,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LEEDS TEACHING HOSPITALS TRUST,ERS-418547-40076,13135,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-418633-40071,13135,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MID YORKSHIRE HOSPITALS NHS TRUST,ERS-418562-40111,13135,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,OXFORD RADCLIFFE HOSPITAL NHS TRUST,ERS-418593-40085,13357,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE WALTON CENTRE NHS FOUNDATION TRUST,ERS-418634-40039,14376,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,ERS-418506-40037,16290,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LEEDS TEACHING HOSPITALS TRUST,ERS-418547-40076,17123,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-418617-40047,17825,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,ERS-418565-40064,18750,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MID YORKSHIRE HOSPITALS NHS TRUST,ERS-418562-40111,19964,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-418486-40025,21662,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,ERS-418565-40064,23776,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-418557-40124,24215,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,ERS-418556-40102,24676,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,DEVON PCT,ERS-418511-40020,25000,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE WALTON CENTRE NHS FOUNDATION TRUST,ERS-418634-40039,25020,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-418607-40073,25141,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,WARWICKSHIRE PCT,ERS-418647-40007,25304,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-418644-40101,25348,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BLACKPOOL PCT,ERS-418485-39988,26500,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-418522-40050,29219,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-418537-40052,30760,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,ERS-418553-40038,31213,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-418636-40078,33094,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-418494-40043,33930,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SALISBURY NHS FOUNDATION TRUST,ERS-418612-40067,34476,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,WARWICKSHIRE PCT,ERS-418647-40007,34530,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,STOCKTON-ON-TEES TEACHING PCT,ERS-418625-39983,34688,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NEWCASTLE PCT,ERS-418564-39982,37500,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ERS-418579-40059,37984,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-418638-40077,39720,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,TORBAY CARE TRUST,ERS-418635-40127,40079,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MANCHESTER UNIVERSITY OF,ERS-418558-40120,40093,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,HILLINGDON HOSPITAL NHS TRUST,ERS-418530-40027,40437,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LEICESTER CITY PCT,ERS-418548-40004,41583,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-418620-40086,41815,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ERS-418517-40082,42115,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-418488-40112,42619,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NORTH EAST ESSEX PCT,ERS-418577-40012,44095,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NORFOLK & WAVENEY MENTAL HEALTH NHS FOUNDATION TRUST,ERS-418574-40063,45952,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LEEDS TEACHING HOSPITALS TRUST,ERS-418547-40076,46011,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-418522-40050,46944,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,COVENTRY TEACHING PCT,ERS-418508-39994,48441,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,ERS-418506-40037,48762,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BARTS AND THE LONDON NHS TRUST,ERS-418481-40065,50383,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-418619-40089,50750,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,ERS-418623-40046,51526,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-418522-40050,52424,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,ERS-418629-40031,52956,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-418591-40045,54730,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-418482-40115,55705,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,PLYMOUTH HOSPITALS NHS TRUST,ERS-418598-40053,57146,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CAMDEN PCT PROVIDER SERVICES,ERS-418499-40128,57401,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-418534-40118,58360,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-418494-40043,59866,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-418557-40124,60603,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-418521-40116,60978,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,WESTERN SUSSEX HOSPITALS NHS TRUST,ERS-418648-40129,61266,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SALISBURY NHS FOUNDATION TRUST,ERS-418612-40067,61308,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-418636-40078,61819,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-418477-40094,61978,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-418644-40101,63000,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SALFORD PCT,ERS-418609-39986,63084,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ERS-418483-40072,63828,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,HUMBER NHS FOUNDATION TRUST,ERS-418533-40092,65465,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-418633-40071,65672,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NORTH YORKSHIRE & YORK PCT,ERS-418582-40001,66207,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-418633-40071,69269,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,LEEDS PCT,ERS-418544-39995,69389,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-418486-40025,70251,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,NORTH YORKSHIRE & YORK PCT,ERS-418582-40001,70502,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-418617-40047,70795,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SOUTHAMPTON CITY PCT,ERS-418622-39989,70915,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-418640-40061,71059,,,
Department of Health,Department of Health,14-Jan-11,Research & development,R&D,SOUTHAMPTON CITY PCT,ERS-418622-39989,72219,,,
