Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,10/08/2015,Addition Clearing - SW LIC,DG: IGT,DXS UK LTD,23044,"440,926.20","Capital: 2015/16 GPSoC DXS-  charges for the Period Commencing  01.04.2015 to 31.03.2016: Subsidiary Module Licenses GPSoC-CCNa-010	 ",GU10 4PS,,,SME,,186650674
Department of Health,Department of Health,10/08/2015,Service charge,DG: IGT,DXS UK LTD,23044,"101,604.36","Revenue: 2015/16 GPSoC DXS -  charges for the Period Commencing  01.04.2015 to 31.03.2016: Subsidiary Module Support and Maintenance GPSoC-CCNa-010	 ",GU10 4PS,,,SME,,186650674
Department of Health,Department of Health,10/08/2015,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),454580,"36,250.00","Revenue NHS Mail charges for the  Period commencing FY15/16: Core contract to cover spend for AVAS support services and AVAS licenses between April - September 2015 	 ",RG12 1RW,,,LARGE,,GB232303710
Department of Health,Department of Health,10/08/2015,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10175,"43,014.00",Revenue: Spine 2 Intechnology - Setup and hosting charges- Apr 15- Jun16,HG3 1UG,,,SME,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-542584-108703,"10,846.00",Innovate UK,SN2 1FF,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-542584-108703,"343,628.00",Innovate UK,SN2 1FF,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,PGO FOREIGN CURRENCY PAYMENTS,1042552220U9KXJY,"97,917.39",NIHR Fellowships,RH10 1UH,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,7709691,"46,016.00",RDD Programme Support - Miscellaneous,NG7 2RD,,,PUBLIC,,GB690391225
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,7709691, -   ,RDD Programme Support - Miscellaneous,NG7 2RD,,,PUBLIC,,GB690391225
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,7709691, -   ,RDD Programme Support - Miscellaneous,NG7 2RD,,,PUBLIC,,GB690391225
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-542570-108711,"46,092.00",NIHR Fellowships,OX1 2XN,,,PUBLIC,,GB195275334
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,ERS-542571-108710,"163,289.00",Invention for Innovation,NG7 2RD,,,PUBLIC,,GB690391225
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,GLASGOW UNIVERSITY OF,ERS-542572-108705,"89,559.63",EME - ( NETSCC ),G12 8QQ,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-542573-108704,"88,350.17",HTA Commissioned Research,BS8 1TH,,,PUBLIC,,GB991261800
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-542574-108707,"49,318.00",NIHR Public Health Research ( NETSCC ),WC1E 7HT,,,PUBLIC,,GB233756066
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-542575-108713,"404,298.92",HTA Commissioned Research,S10 2UH,,,PUBLIC,,
Department of Health,Department of Health,10/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-542576-108712,"123,728.48",HTA Researcher Lead,OX1 2XN,,,PUBLIC,,GB195275334
Department of Health,Department of Health,11/08/2015,VAT dr (ST),DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671355,0.01,,LS1 6AE,,,PUBLIC,,
Department of Health,Department of Health,11/08/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584192748,"46,218.44",DH Service Charges,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,11/08/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584192748,"52,531.66",Estimated Click Charge,WS11 0JA,,,LARGE,,GB232327983
Department of Health,Department of Health,11/08/2015,Addition Clearing - IT,DG: GOAD,Optevia Ltd,DFH019,"40,392.00",Contact Replacement - Exception Report,ME18 5JH,,,SME,,GB785918076
Department of Health,Department of Health,11/08/2015,Service charge,DG: IGT,BT GROUP PLC,390635,"7,094,405.71",Revenue: 2015/16 N3 Services Core Contract to cover spend for services due for payment up to and including March 2016,NW9 6LB,,,LARGE,,GB245719348
Department of Health,Department of Health,11/08/2015,Outsourcing Contract,DG: SFNHS,BDO LLP,1418538,"34,600.00",P21+ Specialist VAT Advice Service 1st April 2015 - 31st March 2016.,W1U 7EU,,,LARGE,,GB830847032
Department of Health,Department of Health,11/08/2015,Capital Grants to local authorities,DG: SCLGCP,DERBY CITY COUNCIL,ERS-541072-107348REPAYMENT,"640,000.00",Social Care Capital Grant 2015/16,DE1 2FS,,,PUBLIC,,
Department of Health,Department of Health,11/08/2015,Revenue Grants to local authorities,DG: SCLGCP,DERBY CITY COUNCIL,ERS-541093-107508REPAYMENT,"277,241.00","Local Reform & Community Voices, DOLs and Prison grants 2015/16",DE1 2FS,,,PUBLIC,,
Department of Health,Department of Health,11/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,CORC LTD,ERS-542592-108741,"118,049.00",IESD 2015-16 AIMS 54152572 - Year 2 Award,NW3 5SD,,,VCS,,
Department of Health,Department of Health,11/08/2015,Revenue Grants to non-profit institutions,DG: SCLGCP,SOCIAL ENTERPRISE COALITION,ERS-542593-108742,"50,323.50",IESD 2013-14- AIMs 2567413 - Social Enterprise UK (Coalition)- project:Improving health and well-being outcomes through better partnership with the Voluntary Community and Social Enterprise Sector,SE1 2HZ,,,VCS,,
Department of Health,Department of Health,12/08/2015,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-542650-108801,"4,784,755.39","Injury Allowance Recharge Payment, Jul 2015",FY7 8LG,,,PUBLIC,,
Department of Health,Department of Health,12/08/2015,Research & development,DG: RDD,MERSEY CARE NHS TRUST,ERS-542657-108822,"45,946.23",HS & DR,L31 1HW,,,PUBLIC,,
Department of Health,Department of Health,12/08/2015,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-542651-108825,"79,006.25",HTA Commissioned Research,WC1V 6AZ,,,VCS,,
Department of Health,Department of Health,12/08/2015,Research & development,DG: RDD,SWANSEA UNIVERSITY,ERS-542655-108829,"110,848.32",HTA Commissioned Research,SA2 8PP,,,PUBLIC,,
Department of Health,Department of Health,12/08/2015,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-542658-108827,"144,565.88",NIHR Public Health Research ( NETSCC ),LS2 9JT,,,PUBLIC,,
Department of Health,Department of Health,12/08/2015,Research & development,DG: RDD,ACADEMY OF MEDICAL SCIENCES,ERS-542659-108823,"77,040.00",Formal Training for Trainees ( TCC AMS ),W1B 1QH,,,PUBLIC,,
Department of Health,Department of Health,12/08/2015,Capital Grants to non-profit institutions,DG: GOAD,MARIE CURIE CANCER CARE,ERS-542623-108761,"27,500.00",S64- Capital Grant -West Mids Hopsice -Professional Retention Fees,SE1 7TP,,,VCS,,GB626722537
Department of Health,Department of Health,12/08/2015,Revenue Grants to non-profit institutions,DG: IGT,CHILD MIGRANT TRUST (CMT),ERS-542624-108781,"116,530.00",2015/010 Child Migrants Trust - Management of Family Restoration Fund &  Provision of services to former child migrants,NG2 7PW,,,VCS,,
Department of Health,Department of Health,13/08/2015,DH Support to Mergers,DG: Central Technical,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,469057,"316,000.00",Transaction Costs,ST4 7LN,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,DH Support to Mergers,DG: Central Technical,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,469058,"4,718,000.00",Stafford Transition and integration costs,ST4 7LN,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000035,"858,170.66",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000036,"39,476.68",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000037,"263,750.79",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000038,"79,161.38",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-542684-108892,"43,688.00",Research Capability Funding (STANDARD),L12 2AP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-542684-108892,"36,364.00",CRFs - CRII,L12 2AP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-542686-108961,"2,552,320.00",Comprehensive Networks,E1 8PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-542686-108961,"23,125.00",Comprehensive Networks,E1 8PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-542686-108961,"103,420.00",Research Capability Funding (STANDARD),E1 8PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-542686-108961,"166,656.00",CLAHRCs,E1 8PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-542686-108961,"109,290.00",Biomedical Units,E1 8PR,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-542687-108950,"37,505.00",Research Capability Funding (STANDARD),B15 2PZ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-542689-108958,"26,503.00",Research Capability Funding (STANDARD),B13 8JL,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-542691-108885,"68,453.00",Research Capability Funding (STANDARD),WF3 1WE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-542692-108946,"5,992.00",Research for Patient Benefit,BN2 3EW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-542692-108946,"54,545.00",CRFs - CRII,BN2 3EW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-542692-108946,"42,408.00",Research Capability Funding (STANDARD),BN2 3EW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542695-108900,"2,046,144.00",Bio-Medical Centres,CB2 2QQ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542695-108900,"83,333.00",Biomedical Units,CB2 2QQ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542695-108900,"509,921.00",Research Capability Funding (STANDARD),CB2 2QQ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542695-108900,"197,255.00",CRFs - CRII,CB2 2QQ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542695-108900,"44,591.00",CJD ,CB2 2QQ,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-542697-108927,"176,666.00",CLAHRCs,CB1 5EE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-542697-108927,"55,564.00",Research Capability Funding (STANDARD),CB1 5EE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-542699-108957,"56,657.00",Research Capability Funding (STANDARD),NW1 0PE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542702-108936,"1,413,917.00",Comprehensive Networks,M13 0JR,,,PUBLIC,,GB654415538
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542702-108936,"25,321.00",Comprehensive Networks,M13 0JR,,,PUBLIC,,GB654415538
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542702-108936,"100,000.00",CRFs - CRII,M13 0JR,,,PUBLIC,,GB654415538
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542702-108936,"95,500.00",Biomedical Units,M13 0JR,,,PUBLIC,,GB654415538
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-542702-108936,"111,584.00",Research Capability Funding (STANDARD),M13 0JR,,,PUBLIC,,GB654415538
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-542703-108921,"166,666.00",CLAHRCs,SW10 9NH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-542703-108921,"30,830.00",Research Capability Funding (STANDARD),SW10 9NH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-542707-108916,"605,160.00",Bio-Medical Centres,WC1N 3JH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-542707-108916,"155,318.00",Research Capability Funding (STANDARD),WC1N 3JH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-542709-108905,"274,517.00",Research Capability Funding (STANDARD),SE1 9RT,,,PUBLIC,,GB654923417
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-542709-108905,"1,873,458.00",Comprehensive Networks,SE1 9RT,,,PUBLIC,,GB654923417
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-542709-108905,"19,695.00",Comprehensive Networks,SE1 9RT,,,PUBLIC,,GB654923417
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-542709-108905,"102,604.00",CRFs - CRII,SE1 9RT,,,PUBLIC,,GB654923417
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-542709-108905,"1,010,049.00",Bio-Medical Centres,SE1 9RT,,,PUBLIC,,GB654923417
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-542711-108923,"26,917.00",Research Capability Funding (STANDARD),B9 5TA,,,PUBLIC,,GB654912816
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"475,630.00",Research Capability Funding (STANDARD),W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"1,046,042.00",Comprehensive Networks,W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"20,344.00",Comprehensive Networks,W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"121,480.00",Quality and Safety Research Centres,W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"1,892,364.00",Bio-Medical Centres,W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-542714-108952,"197,927.00",CRFs - CRII,W12 0HS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-542716-108908,"169,999.00",CLAHRCs,SE5 9RS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-542716-108908,"52,965.00",Research Capability Funding (STANDARD),SE5 9RS,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-542717-108924,"112,276.00",Biomedical Units,LS9 7TF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-542717-108924,"11,037.00",CRFs - CRII,LS9 7TF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-542717-108924,"105,049.00",Research Capability Funding (STANDARD),LS9 7TF,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-542720-108956,"47,073.00",Research Capability Funding (STANDARD),M21 9UN,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-542722-108917,"150,972.00",Research Capability Funding (STANDARD),EC1V 2PD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-542722-108917,"102,050.00",CRFs - CRII,EC1V 2PD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-542722-108917,"472,600.00",Bio-Medical Centres,EC1V 2PD,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-542724-108955,"100,632.00",Research Capability Funding (STANDARD),LS15 7TW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NHS BRISTOL CCG 11H,ERS-542726-108964,"93,413.00",Research Capability Funding (STANDARD),BS1 3NX,,,PUBLIC,,GB65444431
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,ERS-542728-108963,"50,668.00",Research Capability Funding (STANDARD),CB2 8FH,,,PUBLIC,,GB654454525
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,ERS-542735-108962,"66,190.00",Research Capability Funding (STANDARD),OX4 2LH,,,PUBLIC,,GB654462331
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-542738-108911,"17,944.00",Network Research Capability Funding,NR4 7UY,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-542738-108911,"1,702,731.00",Network Research Capability Funding,NR4 7UY,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-542738-108911,"45,589.00",Research Capability Funding (STANDARD),NR4 7UY,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-542739-108935,"73,944.00",Research Capability Funding (STANDARD),BS1 2NP,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-542741-108889,"25,441.00",Research Capability Funding (STANDARD),CM8 2TL,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ERS-542743-108931,"25,001.00",Research Capability Funding (STANDARD),NE12 8EW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-542744-108943,"104,288.00",Biomedical Units,NG7 2UK,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-542744-108943,"121,090.00",Biomedical Units,NG7 2UK,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-542744-108944,"122,200.00",Research Capability Funding (STANDARD),NG7 2UK,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-542745-108902,"54,090.00",Research Capability Funding (STANDARD),NG3 6AA,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,ERS-542745-108902,"183,550.00",CLAHRCs,NG3 6AA,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-542746-108915,"117,481.00",Research Capability Funding (STANDARD),OX4 2GX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-542746-108915,"166,666.00",CLAHRCs,OX4 2GX,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"482,220.00",Research Capability Funding (STANDARD),OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"166,667.00",Biomedical Units,OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"1,697,005.00",Bio-Medical Centres,OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"67,969.00",CRFs - CRII,OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"15,450.00",Network Research Capability Funding,OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-542747-108932,"1,125,404.00",Network Research Capability Funding,OX3 7HE,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-542751-108928,"134,279.00",Research Capability Funding (STANDARD),UB9 6JH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-542751-108928,"163,995.00",Biomedical Units,UB9 6JH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-542751-108928,"174,851.00",Biomedical Units,UB9 6JH,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-542752-108901,"104,333.00",CRFs - CRII,EX2 5DW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-542752-108901,"180,899.00",CLAHRCs,EX2 5DW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-542752-108901,"19,534.00",Network Research Capability Funding,EX2 5DW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-542752-108901,"925,063.00",Network Research Capability Funding,EX2 5DW,,,PUBLIC,,
Department of Health,Department of Health,13/08/2015,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-542752-108901,"69,423.00",Research Capability Funding (STANDARD),EX2 5DW,,,PUBLIC,,
