Ministry of Justice,MoJ HQ,20-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104249,"25,000.00",AS-03786-14 - HQ279 PQ105-E011- DSUP - AS-03786-14 Lockdown Build,WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"25,345.90","CCN A-R-3360-06  - Resources DH-MB						",WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"26,581.00",CCN - A-R 03193-03-v02 - Replacement of end of life Electronic Presentation of Evidence equipment - Secure Servers Disposal (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"26,711.00","A-S-03796-01 - NISE Project G stack development of CCN, low level design, FIM and NAC development",WV10 6UH
Ministry of Justice,MoJ HQ,13-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103657,"28,040.00",HMCTS 247 SPS - CCNA-S-03481-01 Provision of CIRs M29.  Replaces PO 10000033849,WV10 6UH
Ministry of Justice,MoJ HQ,27-Jun-13,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,G4S INTEGRATED SERVICES (UK) LTD,1104895,"29,992.12",NOP Programme draw down,CIS-WR12 7LJ
Ministry of Justice,MoJ HQ,27-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,CGI IT UK LTD,1104847,"31,010.00","CCN-L-R-3721-01 is raised to introduce to implement an adoption data loss fix to FamliyMan						",CF31 9AP
Ministry of Justice,MoJ HQ,20-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104249,"35,000.00",AS-03786-14 - HQ279 PQ105-E011- DSUP - AS-03786-14 Lockdown Build,WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"35,684.36",CCN 2277-01 - Resources NOP,WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"37,898.57",CCN 2277-01 - Resources NOP,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"39,000.00",CCN AS-03786-04 - HQ279 - DSUP - AS-03786-04  - MSI Package Analysis (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,JADU LTD,1104652,"40,000.00","HMCTS 192 ET Fees- Specialist Cloud Services. Deliverables as per contract milestones/deliverables. This excludes the value of the 2 previous interim orders-One Off Charge						",LE19 1RJ
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"40,017.00",MaLI Ref: HQ319 - Poise Exit  - Atos Project Mothball CIR for PPO and AS (PPD - 2013/14 costs),WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"41,244.52",CCN 2277-01 - Resources NOP,WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"41,378.80",CCN 2277-01 - Resources NOP,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"44,369.00",CCN AS-03786-04 - HQ279 - DSUP - AS-03786-04  - MSI Package Analysis (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CGI IT UK LTD,1103342,"47,500.40","CCN L-R-3650-05 POISE PPO & AS Extension to End Apr 2013 V0.2 (MaLI Ref: HQ274 & HQ275)						",CF31 9AP
Ministry of Justice,MoJ HQ,06-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,CGI IT UK LTD,1103042,"47,812.32",CCN L-R-3580-02 - ET Fees Requirements (One off charge),CF31 9AP
Ministry of Justice,MoJ HQ,10-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"48,404.87",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842,WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"48,875.68",CCN 2277-01 - Resources NOP -SH-MW-ZA-CB-SG-MH,WV10 6UH
Ministry of Justice,MoJ HQ,27-Jun-13,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,G4S INTEGRATED SERVICES (UK) LTD,1104896,"49,466.97",NOP Programme draw down (SIU Structured Cabling Works),WR12 7LJ
Ministry of Justice,MoJ HQ,10-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1103400,"49,900.51",PB508 - HP Project Implementation Costs - Replaces PO 10000024857,RG12 1HN
Ministry of Justice,MoJ HQ,13-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103657,"50,000.00",CCN AS-03786-02 - HQ279 - DSUP - AS-03786-02 Proof of Concept (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1102766,"55,066.26",CCN 2277-01 - Resources SPS,WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"81,877.86",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841,WV10 6UH
Ministry of Justice,MoJ HQ,03-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,JADU LTD,1102845,"85,000.00","HMCTS 192 ET Fees- Specialist Cloud Services. Deliverables as per contract milestones/deliverables. This excludes the value of the 2 previous interim orders-One Off Charge						",LE19 1RJ
Ministry of Justice,MoJ HQ,13-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,CGI IT UK LTD,1103701,"95,586.56","CCN-3686-01 - HMCTS on-line interface programme work (CPE)-HMCTS 249 MCOL and PCOL Remediation CCN-3686-01 re HOLI: Overarching solution for changes to existing system components to deliver HCMTS on-line services-One Off ch						 							",CF31 9AP
Ministry of Justice,MoJ HQ,24-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"98,826.61",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842,WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"99,926.40",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,JADU LTD,1104652,"106,500.00","HMCTS 192 ET Fees- Specialist Cloud Services. Deliverables as per contract milestones/deliverables. This excludes the value of the 2 previous interim orders-One Off Charge						",LE19 1RJ
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"126,002.00",CCN2277-01 - NOP Main CCN,WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1103301,"176,341.81",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"204,694.66",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"249,816.00",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841,WV10 6UH
Ministry of Justice,MoJ HQ,20-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,CGI IT UK LTD,1104285,"279,105.00","CCN L-R-3743-01 MCOL Functional Release; covers functional changes to enhance MCOL application.  First milestone payment on completion of development.			 Completion of integration testing				 Completion of functional testing				 Sign-off",CF31 9AP
Ministry of Justice,MoJ HQ,24-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1104559,"360,031.20",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842,WV10 6UH
Ministry of Justice,MoJ HQ,28-Jun-13,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,6671,"1,716,100.29",STERIA OMNI Hosting (VAT Rec) FY13/14 Onwards,M14 0WN
Ministry of Justice,MoJ HQ,24-Jun-13,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1104740,"101,731.32",PQ108 - OMNI-T Capital Expenditure FY1112- Contract no 3368393.12,M14 0WN
Ministry of Justice,MoJ HQ,27-Jun-13,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1104839,"25,917.68",25241 CIPHERL00648 -Project Manager (RC Senior /Lead Project Manager )  - for a maximum of 107 days from 08/04/2013 to 07/09/2013 subject to the terms and conditions of contract ,SL6 1DP
Ministry of Justice,MoJ HQ,03-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,SOFTCAT LTD,1102937,"26,182.00","""PostCoder API Professional Annual User Licences (up to 550)  Includes premise level data, without GeoData""",SL7 1LW
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1105062,"30,873.28","GAPS 2 - Monthly Support Costs - To be called off on a monthly basis,Quarterly call-off costs, Training Environment , Postcoder License renewal - Annual Payment & Training Web Domain Registration - Annual Payment",M14 0WN
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1105062,"30,873.28","GAPS 2 - Monthly Support Costs - To be called off on a monthly basis,Quarterly call-off costs, Training Environment , Postcoder License renewal - Annual Payment & Training Web Domain Registration - Annual Payment",M14 0WN
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,SOFTCAT LTD,1105057,"31,418.40","""PostCoder API Professional Annual User Licences (up to 550)  Includes premise level data, without GeoData""",SL7 1LW
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1103426,"50,586.68",ICT Printing - Liberata Print Charges,NP10 9XA
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1103426,"53,452.18",ICT Printing - Liberata Print Charges,NP10 9XA
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1104833,"45,439.66","PCVL Installation - Caernarfon,PCVL Installation - Phase 3 - HMCTS Tech Refresh to 447 Endpoints,PCVL Installation - Phase 4 - Crown Court (47) Expansion, PCVL Installation - Incre",MK3 5JP
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1104833,"107,320.00","PCVL Installation - Caernarfon,PCVL Installation - Phase 3 - HMCTS Tech Refresh to 447 Endpoints,PCVL Installation - Phase 4 - Crown Court (47) Expansion, PCVL Installation - Incre",MK3 5JP
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1104833,"171,600.79","PCVL Installation - Caernarfon,PCVL Installation - Phase 3 - HMCTS Tech Refresh to 447 Endpoints,PCVL Installation - Phase 4 - Crown Court (47) Expansion, PCVL Installation - Incre",MK3 5JP
Ministry of Justice,MoJ HQ,20-Jun-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,CBRE LTD,1104284,"39,500.31",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN
Ministry of Justice,MoJ HQ,20-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE LTD,1104284,"89,501.25",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN
Ministry of Justice,MoJ HQ,20-Jun-13,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1104439,"87,636.17",QW P5 - Court usage review - 81 Chancery Lane,BS16 7FH
Ministry of Justice,MoJ HQ,20-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,YORKE PROPERTY MANAGEMENT LTD,1104542,"506,000.00",Rent & Services charges - 81 Chancery Lane,W1K 6WE
Ministry of Justice,MoJ HQ,20-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,ABP HOLDINGS,1104233,"478,000.00",Rent payable in advance due for period 24/6/2013 to 28/9/2013 - Steel House.,IRELAND
Ministry of Justice,MoJ HQ,13-Jun-13,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1103828,"30,447.30",ND175: Clive House: PPM costs for 2013-14.,CIS-CM12 0BT
Ministry of Justice,MoJ HQ,20-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1104316,"1,057,506.96",Qtr 2 2013-14 rent - Clive House,B4 6AJ-APIA
Ministry of Justice,MoJ HQ,21-Jun-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,3284,"25,296.65",Grenadier House utilities costs for 2012-13 - ,NP20 9BB
Ministry of Justice,MoJ HQ,28-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,6668,"455,689.25",Rent - Grenadier House,B4 6AJ-APIA
Ministry of Justice,MoJ HQ,04-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LEICESTER CITY COUNCIL,1102976,"58,000.50",Rent & Services charges - Peat House,LE1 6HL
Ministry of Justice,MoJ HQ,25-Jun-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,6666,"25,558.50","Rent & Services charges - Axis, Birmingham",BS8 9AQ
Ministry of Justice,MoJ HQ,25-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,6666,"45,431.34","Rent & Services charges - Axis, Birmingham",BS8 9AQ
Ministry of Justice,MoJ HQ,25-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,6666,"49,326.06","Rent & Services charges - Axis, Birmingham",BS8 9AQ
Ministry of Justice,MoJ HQ,27-Jun-13,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1104883,"60,757.64",Electricity supply in 2013-14 to 102 Petty France,PL3 5XQ
Ministry of Justice,MoJ HQ,06-Jun-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1103130,"90,579.90",NE130: 102 Petty France: cleaning services 2013.,DY1 4TA
Ministry of Justice,MoJ HQ,20-Jun-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1104402,"90,579.90",NE130: 102 Petty France: cleaning services 2013.,DY1 4TA
Ministry of Justice,MoJ HQ,13-Jun-13,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1103828,"182,631.87",NE130: 102 Petty France: PPM costs for 2013-14.,CIS-CM12 0BT
Ministry of Justice,MoJ HQ,20-Jun-13,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1104403,"3,418,407.80",Rent - 102 Petty France,WC2N 5AF-RENT
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,BANCTEC LTD,1103307,"30,000.00","PS&W Annual hosting fee, Year 3 Apr 2013 - Mar 2014 - requirement hosted on  MoJ 4Projects 3G Extranet;""",SL3 0HF
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,BANCTEC LTD,1104809,"94,901.00","""MoJ 4Projects 3G Extranet;  NOMS Annual hosting fee, Year 3 Apr 2013 - Mar 2014""",SL3 0HF
Ministry of Justice,MoJ HQ,13-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1103657,"40,707.00",CCN A-S-3748-01 - Relocation of LSC Staff from Exhange Tower to 102 Petty France (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1104803,"59,807.00",CCN A-S-3748-01 - Relocation of LSC Staff from Exhange Tower to 102 Petty France (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1104803,"69,060.00",CCN A-S-3748-01 - Relocation of LSC Staff from Exhange Tower to 102 Petty France (one off cost),WV10 6UH
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HP ENTERPRISE SERVICES UK LTD,1103400,"30,279.42","RFS 9052 Marston House Site Closure - Relocation of infrastructure and decommissioning of networks at Marston House						 							",RG12 1HN
Ministry of Justice,MoJ HQ,06-Jun-13,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,STERIA LTD,1103234,"67,583.15",RFS Number:  112033 ADC Relocation,M14 0WN
Ministry of Justice,MoJ HQ,20-Jun-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1104412,"71,079.87",Charges under rfc FSMO 175 Contractor services,NP10 9XA
Ministry of Justice,MoJ HQ,10-Jun-13,265000-IT & Telecommunications,NX900-MOJ Shared Services,STERIA LTD,1103494,"81,232.00","CCN Number CR-218 - Early Deployment of MI (Deployment Zero). Milestones 1 to 4 - Total fixed Price Charge £350,483.00 & £51,355 Indicative Support costs.",M14 0WN
Ministry of Justice,MoJ HQ,13-Jun-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1103818,"1,126,934.68",Aramis Charges for 2013-14: to be reconciled and agreed Monthley,NP10 9XA
Ministry of Justice,MoJ HQ,27-Jun-13,265000-IT & Telecommunications,NX900-MOJ Shared Services,ACCENTURE (UK) LIMITED,1104794,"28,957.66",Accenture exit plan activities for the period 2nd April 2013 to 30th June 2013,EC3M 3BD
Ministry of Justice,MoJ HQ,10-Jun-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1103426,"39,204.22",FSMO 250 - Oracle 3rd party costs (estimated),NP10 9XA
Ministry of Justice,MoJ HQ,20-Jun-13,212001-Agency staff,NX900-MOJ Shared Services,CAPITA RESOURCING LTD,1104278,"108,054.00",47331 CIPHERL00598 -Programme Commercial & Performance Manager - (RC Programme Director - Above High) - for a maximum of 124.00 days from 02/01/2013 to 29/06/2013 subject to the terms and conditions of contract reference RPU,SL6 1DP
Ministry of Justice,MoJ HQ,13-Jun-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1103817,"248,864.72",Monthly provision of payroll services FY13-14,NP10 8BA
Ministry of Justice,MoJ HQ,10-Jun-13,224000-Staff travel and other,OZ501-HRD Feeder,XEXEC LTD,1103530,"26,783.73",MoJ R & R Voucher Scheme .FY 13-14,NW4 1BE
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,LZ600-Transforming Justice,SOFTCAT LTD,1104735,"34,451.52",Development/ design environment support,SL7 1LW
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,LZ600-Transforming Justice,SOFTCAT LTD,1104735,"41,341.80",Development/ design environment support,SL7 1LW
Ministry of Justice,MoJ HQ,41438,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1103962,"41,977.98",Legal publications for the judiciary and courts,SP10 9AG
Ministry of Justice,MoJ HQ,41452,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1105075,"86,213.40",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories.,BL8 9AR
Ministry of Justice,MoJ HQ,41445,266000-Judicial Costs,LZ600-Transforming Justice,JORDAN PUBLISHING LTD,1104389,"354,645.00",Legal publications for the judiciary and courts,BS1 6JS
Ministry of Justice,MoJ HQ,41449,266000-Judicial Costs,LZ600-Transforming Justice,HAMMICKS LEGAL INFORMATION SERVICES,1104636,"640,598.40",Legal publications for the judiciary and courts,BH24 3PB
Ministry of Justice,MoJ HQ,41452,262000-SCA Costs,RG999-CFLAP Accumulator,LEGASTAT LTD,1104959,"116,198.00",Provision and delivery of document scanning and document case management system,WC2A 2JB
Ministry of Justice,MoJ HQ,41438,266000-Judicial Costs,RG999-CFLAP Accumulator,CALDER CONFERENCES LTD,1103690,"32,201.84",Venues for MoJ Coroner training courses throughout 2012/13,LS16 6RF
Ministry of Justice,MoJ HQ,41450,246000-Current Grants,RJ999-JPG - International,COUNCIL OF EUROPE,13734,"157,357.32",Grant payment,FRANCE
Ministry of Justice,MoJ HQ,41431,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1103033,"25,168.63","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF
Ministry of Justice,MoJ HQ,41428,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1102784,"25,423.13","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF
Ministry of Justice,MoJ HQ,41452,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1104834,"26,483.83","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,,
Ministry of Justice,MoJ HQ,41445,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1104274,"28,294.38","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,,
Ministry of Justice,MoJ HQ,41445,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1104274,"28,826.25","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,,
Ministry of Justice,MoJ HQ,41445,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1104274,"32,605.50","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,,
Ministry of Justice,MoJ HQ,41438,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1103690,"36,684.97","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences",LS16 6RF,,
Ministry of Justice,HMCTS,03-Jun-13,221000-Property Rent and Rates,BZ999-London Region,OFFICE OF FAIR TRADING,2227,"-153,081.50",Office of Fair Trading Account Charges - Q1,EC4Y 8JX,0,Programme
Ministry of Justice,HMCTS,03-Jun-13,221000-Property Rent and Rates,BZ999-London Region,OFFICE OF FAIR TRADING,2227,"-48,343.75",Office of Fair Trading Account Charges - Q1,EC4Y 8JX,0,Programme
Ministry of Justice,HMCTS,05-Jun-13,221000-Property Rent and Rates,BZ999-London Region,BRUNTWOOD,2477281,"25,610.75",Property Costs,M1 4BT-RENTALPH,0,Programme
Ministry of Justice,HMCTS,03-Jun-13,221000-Property Rent and Rates,BZ999-London Region,OFFICE OF FAIR TRADING,2227,"48,343.75",Property Costs,EC4Y 8JX,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,BZ999-London Region,MAPELEY STEPS CONTRACTOR LTD,2474917,"50,842.00",Property Costs,SE1 0TA,0,Programme
Ministry of Justice,HMCTS,18-Jun-13,221000-Property Rent and Rates,BZ999-London Region,SANDERSON WEATHERALL,2489974,"70,375.00",Property Costs,LS1 4WG-RENT,0,Programme
Ministry of Justice,HMCTS,03-Jun-13,221000-Property Rent and Rates,BZ999-London Region,OFFICE OF FAIR TRADING,2227,"153,081.50",Property Costs,EC4Y 8JX,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,BZ999-London Region,GBR PHOENIX BEARD,2474715,"182,449.38",Property Costs,B3 3WX EID R,0,Programme
Ministry of Justice,HMCTS,19-Jun-13,221000-Property Rent and Rates,BZ999-London Region,CITY OF LONDON,2492003,"214,306.25",Property Costs,EC2P 2EJ-RENT,0,Programme
Ministry of Justice,HMCTS,07-Jun-13,221000-Property Rent and Rates,BZ999-London Region,ASHWELL ROGERS LLP,2479600,"231,875.00",Property Costs,W1S 3NQ,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,BZ999-London Region,DERWENT LONDON,2474641,"430,000.00",Property Costs,W1S 2ER-ROSE AV,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,BZ999-London Region,JONES LANG LASALLE LTD,2474830,"490,306.00",Property Costs,E14 5WQ-SERVICE,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,CZ999-South East Region,GE REAL ESTATE,2474717,"115,819.75",Property Costs,W6 8BJ,0,Programme
Ministry of Justice,HMCTS,21-Jun-13,221000-Property Rent and Rates,EZ999-Wales Region,CBRE LTD,2495769,"85,625.00",Property Costs,G2 6UA-COLUMHSE,0,Programme
Ministry of Justice,HMCTS,04-Jun-13,221000-Property Rent and Rates,FZ999-Midlands Region,CBRE LTD,2474555,"62,500.00",Quarterly rent for Birmingham AIT,G2 6UA-HAMPCC,0,Programme
Ministry of Justice,HMCTS,12-Jun-13,221000-Property Rent and Rates,FZ999-Midlands Region,CUSHMAN & WAKEFIELD LLP,2484044,"123,580.00",Quarterly rent for Birmingham ASC,B2 2JT-MERCIA,0,Programme
Ministry of Justice,HMCTS,18-Jun-13,221000-Property Rent and Rates,FZ999-Midlands Region,COLLIER & MADGE PLC,2489225,"143,625.00",Quarterly rent for Stoke AIT,W1H 7AL,0,Programme
Ministry of Justice,HMCTS,07-Jun-13,221000-Property Rent and Rates,GZ999-North West Region,BRUNTWOOD,2479639,"206,880.50",Rent and Service Charge Manchester Immigration & Appeals Tribunal,M1 4BT-RENTBRU,0,Programme
Ministry of Justice,HMCTS,11-Jun-13,221000-Property Rent and Rates,HZ999-North East Region,STANDARD LIFE INVESTMENTS,2482259,"35,537.50",Rent,EH2 2LL#,0,Programme
