Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,06/05/2010,Revenue Grant in Aid to NDPBs,HEALTH PROTECTION AND IMPROVEMENT,NHS BLOOD AND TRANSPLANT (NHSBT),004/10,15000000,,,
Department of Health,Department of Health,06/05/2010,Revenue Grant in Aid to NDPBs,WORKFORCE,APPOINTMENTS COMMISSION,2010041,300000,,,
Department of Health,Department of Health,06/05/2010,Revenue Grant in Aid to NDPBs,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),ERS-383438-28341,458131,,,
Department of Health,Department of Health,06/05/2010,Revenue Grant in Aid to NDPBs,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),ERS-383439-28342,1520112,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10785648,24528,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793688,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793689,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793690,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793691,23450,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793693,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793696,24120,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793697,26800,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793698,24120,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793699,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793700,22600,,,
Department of Health,Department of Health,06/05/2010,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,10793701,23450,,,
Department of Health,Department of Health,06/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,KENT PHARMACEUTICALS LTD,1624161,73370.29,,,
Department of Health,Department of Health,06/05/2010,Storage costs,NHS MEDICAL DIRECTOR,KENT PHARMACEUTICALS LTD,SP02427,37770.33,,,
Department of Health,Department of Health,07/05/2010,Addition Clearing - Information Technology,INFORMATICS,EMIS LTD,IN33937-1,324347,,,
Department of Health,Department of Health,07/05/2010,Consultancy Other: not VAT recoverable,COMMISSIONING,Springboard Consortium Ltd,SPR0057,26419.88,,,
Department of Health,Department of Health,07/05/2010,Consultancy/Professional Advice,COMMISSIONING,PA CONSULTING GROUP LTD,10084959,151575,,,
Department of Health,Department of Health,07/05/2010,Contactor/ Staff Subsitution,CHIEF NURSING OFFICER,PA CONSULTING GROUP LTD,10084960,45190.24,,,
Department of Health,Department of Health,07/05/2010,Contactor/ Staff Subsitution,COMMISSIONING,DELOITTE LLP,2410036989,48230.23,,,
Department of Health,Department of Health,07/05/2010,Contactor/ Staff Subsitution,COMMISSIONING,PA CONSULTING GROUP LTD,10084959,40072.2,,,
Department of Health,Department of Health,07/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,11958.86,,,
Department of Health,Department of Health,07/05/2010,External Consultancy Fees,INFORMATICS,NCC SERVICES LTD,10612050,74658.4,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,CHILDREN'S HOSPICES UK,ERS-383641-28581,68517,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,FAMILY PLANNING ASSOCIATION,ERS-383739-28661,105000,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,Foleshill Womens Training Ltd,ERS-383666-28601,59000,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,NIACE,ERS-383789-28702,36482,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,SPEAKUP SELF ADVOCACY,ERS-383687-28621,36478,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,SPEAKUP SELF ADVOCACY,ERS-383704-28622,41931,,,
Department of Health,Department of Health,07/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,TRENT DSDC,ERS-383753-28682,91606,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,NHS MEDICAL DIRECTOR,SOUTH WEST SHA,6191623,30000,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,NHS MEDICAL DIRECTOR,SOUTH WEST SHA,6191656,70000,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,DORSET COUNTY COUNCIL,1800028018,25000,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,DORSET COUNTY COUNCIL,1800028024,60000,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,SOUTH EAST COAST SHA,15111911,55562.95,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,SOUTH EAST COAST SHA,15111911,8869.46,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,"TEES, ESK & WEAR VALLEYS NHS FOUNDATION TRUST",430015069,30000,,,
Department of Health,Department of Health,07/05/2010,Other programme expenditure,SOCIAL CARE,TREASURY SOLICITOR'S DEPARTMENT (TSOL),98713,28422.03,,,
Department of Health,Department of Health,07/05/2010,Professional fees,SOCIAL CARE,DORSET COUNTY COUNCIL,1800028020,40000,,,
Department of Health,Department of Health,07/05/2010,Revenue Grant in Aid to NDPBs,WORKFORCE,COUNCIL FOR HEALTHCARE REGULATORY EXCELLENCE (CHRE),ERS-383787-28701,150000,,,
Department of Health,Department of Health,07/05/2010,Revenue Grants Other to NDPBs and Other Bodies,SOCIAL CARE,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),ERS-383726-28641,82312000,,,
Department of Health,Department of Health,07/05/2010,Seconded Employees,SOCIAL CARE,LIVERPOOL CITY COUNCIL,50000269,30127.04,,,
Department of Health,Department of Health,07/05/2010,Secondees in invoiced costs,NHS MEDICAL DIRECTOR,LEEDS TEACHING HOSPITALS TRUST,327945,27016.8,,,
Department of Health,Department of Health,08/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,86.12,,,
Department of Health,Department of Health,10/05/2010,Addition Clearing - Information Technology,INFORMATICS,I SOFT PLC,PCI/015897,824791.02,,,
Department of Health,Department of Health,10/05/2010,Computer Software/License,INFORMATICS,OCEAN INFORMATICS,10832701,42300,,,
Department of Health,Department of Health,10/05/2010,Conferences & seminars,CHIEF NURSING OFFICER,FITWISE MANAGEMENT LTD,8410002,42553.19,,,
Department of Health,Department of Health,10/05/2010,Conferences & seminars,SOCIAL CARE,CENTRAL OFFICE OF INFORMATION (COI),725054,77020.71,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,COMMISSIONING,CENTRAL OFFICE OF INFORMATION (COI),725056,41250,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),724830,97491.76,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,FINANCE & OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),2823413,128619.84,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),CENTRAL OFFICE OF INFORMATION (COI),724877,40994.58,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,WORKFORCE,KINGS COLLEGE LONDON,RGI-91000674,267968,,,
Department of Health,Department of Health,10/05/2010,Consultancy/Professional Advice,WORKFORCE,WHITE CONSULTANTS LTD,5276,39937.5,,,
Department of Health,Department of Health,10/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,10468.1,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,ACTION FOR ADVOCACY,ERS-383980-28864,87050,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,ACTION FOR ADVOCACY,ERS-383983-28865,65000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,CONSORTIUM OF LGBT VCOS,ERS-383955-28803,90024,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,MEDICAL FOUNDATION FOR AIDS & SEXUAL HEALTH,ERS-383958-28821,65000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,MENINGITIS RESEARCH FOUNDATION,ERS-383965-28842,60000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,NATIONAL CHILDRENS BUREAU,ERS-383877-28761,51595,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,NATIONAL CHILDRENS BUREAU,ERS-383885-28762,61117,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,RESPOND NO. 1 A/C,ERS-383888-28763,35000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,ERS-383846-28741,72119,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,TERRENCE HIGGINS TRUST,ERS-383989-28866,121000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE AFIYA TRUST,ERS-383963-28841,50532,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE ANNA FREUD CENTRE,ERS-383975-28862,53330,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE HEPATITIS C TRUST,ERS-383889-28764,39000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE HEPATITIS C TRUST,ERS-383959-28822,78000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE INFERTILITY NETWORK(UK),ERS-383952-28801,40000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,THE INFERTILITY NETWORK(UK),ERS-383954-28802,40000,,,
Department of Health,Department of Health,10/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,YOUTHNET UK,ERS-383978-28863,79796,,,
Department of Health,Department of Health,10/05/2010,Library services,COMMUNICATIONS,THE MET OFFICE,I0068967,40000,,,
Department of Health,Department of Health,10/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,NHS SUPPLY CHAIN,SFI215775,3223809,,,
Department of Health,Department of Health,10/05/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH MOLECULAR IMAGING LTD,SIM000039,877574.18,,,
Department of Health,Department of Health,10/05/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,NATIONAL POLICING IMPROVEMENT AGENCY (NPIA),90012468,32436.31,,,
Department of Health,Department of Health,10/05/2010,Other programme expenditure,SOCIAL CARE,NATIONAL CENTRE FOR INDEPENDENT LIVING (NCIL),NCIL335,47409,,,
Department of Health,Department of Health,10/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,NHS SHARED BUSINESS SERVICES (SBS),100000644,114500,,,
Department of Health,Department of Health,10/05/2010,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,ACADEMY OF MEDICAL SCIENCES,S10-057,35250,,,
Department of Health,Department of Health,10/05/2010,Outsourcing Contract,WORKFORCE,CLARITY Informatics Ltd,38,152541.53,,,
Department of Health,Department of Health,10/05/2010,Professional fees,NHS FINANCE PERFORMANCE & OPERATIONS,AUDIT COMMISSION,4030600,94000,,,
Department of Health,Department of Health,10/05/2010,Professional fees,NHS FINANCE PERFORMANCE & OPERATIONS,ERNST AND YOUNG LLP,GB08100117706,21533,,,
Department of Health,Department of Health,10/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),725031,178795.1,,,
Department of Health,Department of Health,10/05/2010,Radio communications,NHS FINANCE PERFORMANCE & OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-084,137545.32,,,
Department of Health,Department of Health,10/05/2010,Radio communications,NHS FINANCE PERFORMANCE & OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-084,2558716.42,,,
Department of Health,Department of Health,10/05/2010,Radio communications,NHS FINANCE PERFORMANCE & OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-084,3000000,,,
Department of Health,Department of Health,10/05/2010,Research & development,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),714197,79940,,,
Department of Health,Department of Health,10/05/2010,Research & development,RESEARCH & DEVELOPMENT,BEARINGPOINT,4520100110,33156.5,,,
Department of Health,Department of Health,10/05/2010,Research & development,RESEARCH & DEVELOPMENT,ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL (EPSRC),603,46316.72,,,
Department of Health,Department of Health,10/05/2010,Research & development,RESEARCH & DEVELOPMENT,KINGS COLLEGE LONDON,ERS-383926-28782,35411.9,,,
Department of Health,Department of Health,10/05/2010,Research & development,RESEARCH & DEVELOPMENT,NATIONAL CANCER RESEARCH INSTITUTE (NCRI),ERS-383917-28784,192783.52,,,
Department of Health,Department of Health,10/05/2010,Research & development,RESEARCH & DEVELOPMENT,NORTH BRISTOL NHS TRUST,ERS-383923-28781,26498,,,
Department of Health,Department of Health,10/05/2010,Revenue Grants Other to NDPBs and Other Bodies,HEALTH PROTECTION AND IMPROVEMENT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),1296891,1106900,,,
Department of Health,Department of Health,10/05/2010,Secondees in invoiced costs,NHS MEDICAL DIRECTOR,KINGS COLLEGE LONDON,SINV1035950,74326.23,,,
Department of Health,Department of Health,10/05/2010,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,HAMELN PHARMACEUTICALS LTD,5104855,45295.02,,,
Department of Health,Department of Health,10/05/2010,Training pay costs,SOCIAL CARE,RCN PUBLISHING CO LTD,67942,70500,,,
Department of Health,Department of Health,10/05/2010,Training pay costs,SOCIAL CARE,ROYAL COLLEGE OF GENERAL PRACTITIONERS (RCGP),INVGEN-003379,31853,,,
Department of Health,Department of Health,11/05/2010,Addition Clearing - Information Technology,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180699,79000,,,
Department of Health,Department of Health,11/05/2010,Computer Hardware Purchasing,INFORMATICS,PROBRAND LTD,10825583,156935.09,,,
Department of Health,Department of Health,11/05/2010,Computer Maintenance,INFORMATICS,PROBRAND LTD,10825584,35344.31,,,
Department of Health,Department of Health,11/05/2010,Conferences & seminars,CHIEF NURSING OFFICER,WEST MIDLANDS SHA,11744,35423.36,,,
Department of Health,Department of Health,11/05/2010,Construction in Progress Addition Clearing - Other Land and Buildings,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180694,35295.8,,,
Department of Health,Department of Health,11/05/2010,Consultancy Other: not VAT recoverable,HEALTH PROTECTION AND IMPROVEMENT,CSC COMPUTER SCIENCES LTD,5201180706,40357.84,,,
Department of Health,Department of Health,11/05/2010,Consultancy/Professional Advice,COMMISSIONING,CENTRAL OFFICE OF INFORMATION (COI),725105,80277,,,
Department of Health,Department of Health,11/05/2010,Consultancy/Professional Advice,COMMISSIONING,KNOWLEDGE INTO ACTION,9040,23000,,,
Department of Health,Department of Health,11/05/2010,Consultancy/Professional Advice,COMMISSIONING,KNOWLEDGE INTO ACTION,9040,4025,,,
Department of Health,Department of Health,11/05/2010,Consultancy/Professional Advice,COMMISSIONING,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,50017520,90250,,,
Department of Health,Department of Health,11/05/2010,Consultancy/Professional Advice,NHS MEDICAL DIRECTOR,WASP SOFTWARE LTD,3753,58750,,,
Department of Health,Department of Health,11/05/2010,Contr Other External,INFORMATICS,ASCRIBE LTD,10841825,129250,,,
Department of Health,Department of Health,11/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,8883.37,,,
Department of Health,Department of Health,11/05/2010,Grants to local authorities (Current),SOCIAL CARE,ESSEX COUNTY COUNCIL,ERS-384140-28901,5845447,,,
Department of Health,Department of Health,11/05/2010,Grants to local authorities (Current),SOCIAL CARE,KENT COUNTY COUNCIL,ERS-384141-28902,5770308,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,Africa Resource For Kidney Disease,ERS-384129-28883,50000,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,BROOK ADVISORY CENTRES,ERS-384126-28881,106000,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,LYMPHOMA ASSOCIATION,ERS-384170-28961,30000,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,MARIE CURIE CANCER CARE,ERS-384188-28966,55414,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,NATIONAL CHILDRENS BUREAU,ERS-384182-28963,49500,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,NAVCA,ERS-384145-28921,192759,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,OLDER PEOPLES ADVOCACY ALL(UK),ERS-384177-28962,71500,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,RACE EQUALITY FOUNDATION,ERS-384150-28941,126683,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,SOCIETY FOR MPS DISEASES,ERS-384184-28964,48960,,,
Department of Health,Department of Health,11/05/2010,Grants to non profit institutions (Current),POLICY & STRATEGY,YWCA England and Wales,ERS-384127-28882,200000,,,
Department of Health,Department of Health,11/05/2010,Library services,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),725078,60349,,,
Department of Health,Department of Health,11/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,PGO FOREIGN CURRENCY PAYMENTS,1042501240B2XV96,500393.96,,,
Department of Health,Department of Health,11/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,THE BRITISH THORACIC SOCIETY,BTSINV/081,37000,,,
Department of Health,Department of Health,11/05/2010,Other programme expenditure,NHS MEDICAL DIRECTOR,EAST MIDLANDS SHA,11010877,350000,,,
Department of Health,Department of Health,11/05/2010,Other programme expenditure,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),"ASHTON, LEIGH & WIGAN PCT",13450,35094,,,
Department of Health,Department of Health,11/05/2010,Other programme expenditure,SOCIAL CARE,KENT COUNTY COUNCIL,2008279,37500,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,COMMISSIONING,POHWER,A10100406-02,139708,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180678,24730,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180679,36264,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180695,22968.1,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180702,31880.81,,,
Department of Health,Department of Health,11/05/2010,Outsourcing Contract,FINANCE & OPERATIONS,CSC COMPUTER SCIENCES LTD,5201180716,26414.22,,,
Department of Health,Department of Health,11/05/2010,Professional fees,POLICY & STRATEGY,ECOTEC RESEARCH AND CONSULTING LTD,INV09142,48505.63,,,
Department of Health,Department of Health,11/05/2010,Professional fees,POLICY & STRATEGY,ECOTEC RESEARCH AND CONSULTING LTD,INV09142,8488.48,,,
Department of Health,Department of Health,11/05/2010,Provisions cash payment,HEALTH PROTECTION AND IMPROVEMENT,PGO FOREIGN CURRENCY PAYMENTS,1042501180B1HTWV,25631.42,,,
Department of Health,Department of Health,11/05/2010,Provisions cash payment,WORKFORCE,NHS INJURY BENEFITS SCHEME,ERS-384147-28922,4230261.59,,,
Department of Health,Department of Health,11/05/2010,Research & development,NHS MEDICAL DIRECTOR,PGO FOREIGN CURRENCY PAYMENTS,1042501180B1I5CZ,50000,,,
Department of Health,Department of Health,11/05/2010,Staff Consultancy & Suppt,INFORMATICS,ALPINE CONSORTIUM,10694924,25576,,,
Department of Health,Department of Health,11/05/2010,Staff Consultancy & Suppt,INFORMATICS,FOXLANE ASSOCIATES LTD,10819286,40540,,,
Department of Health,Department of Health,11/05/2010,SYS VAT Non recoverable,INFORMATICS,PROBRAND LTD,10825583,0.08,,,
Department of Health,Department of Health,11/05/2010,SYS VAT Non recoverable,INFORMATICS,PROBRAND LTD,10825584,0.06,,,
Department of Health,Department of Health,12/05/2010,Conferences & seminars,CHIEF NURSING OFFICER,FRONTLINE CONSULTANTS LTD,FL5883,45633.01,,,
Department of Health,Department of Health,12/05/2010,Conferences & seminars,CHIEF NURSING OFFICER,FRONTLINE CONSULTANTS LTD,FL5883,-0.01,,,
Department of Health,Department of Health,12/05/2010,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,ADVANTAGE TECHNICAL RESOURCING LTD,30244715,31954.13,,,
Department of Health,Department of Health,12/05/2010,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),725098,4112.5,,,
Department of Health,Department of Health,12/05/2010,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),725098,19500,,,
Department of Health,Department of Health,12/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,8045.18,,,
Department of Health,Department of Health,12/05/2010,IT minor costs non capital,WORKFORCE,METHODS CONSULTING,100009404,86282.61,,,
Department of Health,Department of Health,12/05/2010,IT minor costs non capital,WORKFORCE,NHS EMPLOYERS LTD,868,466961,,,
Department of Health,Department of Health,12/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,CENTRAL OFFICE OF INFORMATION (COI),725099,600000,,,
Department of Health,Department of Health,12/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,SPORT ENGLAND,SINV002282,128085,,,
Department of Health,Department of Health,12/05/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,93817,60000,,,
Department of Health,Department of Health,12/05/2010,Other programme expenditure,WORKFORCE,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,SFH21,83010,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1369,96025.25,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1370,44124.75,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1371,99521.92,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1372,90674.33,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1378,96025.25,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1379,44124.75,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1380,90674.33,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,COMMISSIONING,CARERS FEDERATION LTD,1381,99521.92,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,BUYING SOLUTIONS,SINMIS3394,33264.25,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,BUYING SOLUTIONS,SINMIS3394,-707.75,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,BUYING SOLUTIONS,SINMIS3395,48958.33,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,BUYING SOLUTIONS,SINMIS3395,-1041.67,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,BUYING SOLUTIONS,SINMIS3397,29375,,,
Department of Health,Department of Health,12/05/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE HOLDINGS LTD,CM090230,1334938.06,,,
Department of Health,Department of Health,12/05/2010,Printing,FINANCE & OPERATIONS,XEROX BUSINESS SERVICES,900067246,35311.41,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),713651,86223.25,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),713651,43.76,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),713829,114051,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),713831,40000,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),714235,94000,,,
Department of Health,Department of Health,12/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),714249,163442.9,,,
Department of Health,Department of Health,12/05/2010,Research & development,NHS MEDICAL DIRECTOR,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12591426,36000,,,
Department of Health,Department of Health,12/05/2010,Research & development,RESEARCH & DEVELOPMENT,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-384306-28982,99348,,,
Department of Health,Department of Health,12/05/2010,Research & development,RESEARCH & DEVELOPMENT,IMPERIAL COLLEGE LONDON,ERS-384307-28984,116715.39,,,
Department of Health,Department of Health,12/05/2010,Research & development,RESEARCH & DEVELOPMENT,MEDICAL RESEARCH COUNCIL (MRC),ERS-384309-28985,68350.02,,,
Department of Health,Department of Health,12/05/2010,Research & development,RESEARCH & DEVELOPMENT,NORTH YORKSHIRE & YORK PCT,ERS-384305-28981,66207,,,
