Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł48,404.88",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,246000-Current Grants,RB999-JPG - CJRD,NSPCC,1072522,"Ł48,407.47",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,EC2A 3NH,0,Grant
Ministry of Justice,MoJ HQ,05-Apr-12,264000-Consultancy,LZ600-Transforming Justice,PRICEWATERHOUSECOOPERS SERVICES,1072559,"Ł48,500.00",Consultancy services to build a proof of concept model under the terms and conditions of contract reference RPU SW 1291-1,SE1 9SY,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,223000-Other Expenditure,LZ600-Transforming Justice,OPINION LEADER,1072978,"Ł49,200.00","Desk research (3 day of senior research and 1 day director research), Qualitative - various options outlined in more detail, Quantitive research & Presentation & reporting.",TN24 8FL,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł50,000.00","Bulk Printing
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,223000-Other Expenditure,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1073030,"Ł50,774.52",Legal publications for the judiciary and courts,SP10 9AG,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,1206,"Ł50,995.30",Monthly desktop charges for MOJ staff working on Home Office premises during the 2012/13 financial year,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł51,017.00","Internet / Intranet Applications / Web sites
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,212001-Agency staff,PZ501-MoJ ICT Feeder,DELOITTE LLP,1074005,"Ł51,385.00",Provision of Senior It Programme Director MOJICT Programme & Project Delivery.,MK9 1FD,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1073016,"Ł51,728.91",EIP3SPF (E138) Steria CCNS405-01 TAM Fix Packs,M14 0WN,E138,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł52,994.56",OMNI Nomsnet,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł53,592.00","Data Centre Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł53,767.70","eRM (ARAMIS)
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,246000-Current Grants,RB999-JPG - CJRD,VICTIM SUPPORT,1074040,"Ł54,186.59",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,W1W 6JL,0,Grant
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł54,340.07",MOJ SAG Licensing Support,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,212001-Agency staff,PZ501-MoJ ICT Feeder,DELOITTE LLP,1074099,"Ł54,567.50",Provision of Senior It Programme Director MOJICT Programme & Project Delivery,MK9 1FD,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł54,833.00",CCN A-R-02943-09-v02 - Hardware procurement & delivery to site,WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,264000-Consultancy,RC999-Criminal Justice Group - OMS,HM PRISON SERVICE,1073345,"Ł55,000.00",Reimbursment of Consultancy & Legal Advice fees in respect of Payment by results project,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"Ł55,266.28",EIP2NetSec (E134) Fujitsu CCNF391-02 AV Boundary- One off charge,WA3 9BD,E134,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1074016,"Ł55,275.98","CCN3086 - Data Cente Server Upgrade					",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,03-Apr-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,HOME OFFICE,1072203,"Ł55,530.15",CAST Project - FY 11-12,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł55,634.16",Ashley House FM costs ,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł55,634.16",Ashley House FM costs ,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł55,941.05",EIP3ExISS (E136) CCNF409 ExISS Stabilisation,WA3 9BD,E136,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł56,216.40",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1072841,"Ł56,423.25",CCN CA 3109-01-v1 - Placement Process Re-Design - additional time box (6),W14 8TS,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł56,749.00","CCN0159 - Incident Management Services (SL11) Ongoing
",CF31 9AP,E002,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1072467,"Ł56,864.00",MoJ Lease Car charges FY 11-12,BL9 8RT,0,Admin
Ministry of Justice,MoJ HQ,19-Apr-12,223001-Printing Postage and Office expenditure,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1073376,"Ł57,051.42",PS115- PRINT ROOM,NP10 8BA,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073228,"Ł57,588.00","CCN 3137	- Provision, set-up and installation of FITS Data-room. 	 	",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł58,346.00",CCN0302 - NLE Support Costs (Combined) Ongoing,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,212001-Agency staff,NX900-MOJ Shared Services,CAPITA RESOURCING LTD,1072314,"Ł58,401.00",13113 CIPHERL00310 -Head of Shared Service Future Scope Development (RC -Head of Architecture),SL6 1DP,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1074035,"Ł59,270.78","""Additional monthly recurring Charges (for an initial term of 18 months from Acceptance of the TA Dev Fix Environment by the Authority):""",RG41 5TS,0,Admin
Ministry of Justice,MoJ HQ,23-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1073633,"Ł59,637.51",CCN L-S-03030-02 - NOP Mobilisation (One Off Costs),CF31 9AP,E149,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł59,686.49",QBD Additional Printers,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,V P TREEN LTD,1073703,"Ł61,250.00",MoJ System Support Agreement contract CACTUS and Network Annual Maintenance (01-04-2011 to 31-03-2012) & MoJ System Support Agreement contract Service Incentives.,TW2 7PJ,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł61,737.90","QBD CRS One Off -Cabling, Manpower & Other",RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł62,000.00","					 LSC Secure Enclave CCN2943-02 Build - Mst 5 Prod Enclave Bastion Tools Completion-PQ105					",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł62,284.38",Managed Service - Licensing Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł62,471.13",FM costs,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł62,471.13",FM costs,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,KENT POLICE,1072449,"Ł62,869.28",Video Equipment for Virtual Court/Live Link installations at Magistrates Courts in Kent,ME15 9BZ,E004,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1073228,"Ł62,893.00","CCN A-R-03322-01-v02-	 102 Petty France Power Down Feb 2012.					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,19-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1073228,"Ł62,893.00","CCN A-R-03322-01-v02-	 102 Petty France Power Down Feb 2012.					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł63,581.15",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł64,000.00","LSC Secure Enclave CCN2943-03 Accreditation - Mst 7 Secure Enclave RMADS Signoff-PQ105					",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł64,632.73",QBD CRS One Off -Tel IMAC,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł66,000.00","LSC Secure Enclave CCN2943-02 Build - Mst 2 Infrastructure Design & LLD Signoff-PQ105					",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł66,283.64",QBD Additional Printers,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł67,547.00",YJB CCN F374 - One-Off - Connectivity Requirements Study and Options Paper,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,25-Apr-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,HOME OFFICE,1360,"Ł70,411.23",CAST Project - FY 11-12,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,10-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072720,"Ł71,069.00",First year ongoing support.,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,10-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072720,"Ł71,069.00",First year ongoing support.,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072914,"Ł71,223.14","HQ188 HP Offer for Parole Board Migration from POISE to Quantum						 							",RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,16-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,IBM (UNITED KINGDOM) LTD,1073118,"Ł71,391.10",MOJ Service Extension Contracts GBSW3013 MOJ Support Bundle v2 r1,PO6 3AE,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,532000-Tangible GBV - Additions,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1073872,"Ł73,411.90",Install fire curtain to reception area - following Crown Inspectorate Report - 00200,CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,532000-Tangible GBV - Additions,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1073872,"Ł73,411.90",Install fire curtain to reception area - following Crown Inspectorate Report - 00200,CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,LZ510-Combined CFO/OSPT Operations,LOGICA UK LTD,1072946,"Ł73,542.69",CCN L-R-2423-02 v1.0 FAS Post Transition Service,CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1074050,"Ł74,600.85","CCN 02833-07 - Hardware Ongoing IT Support Costs FY 11/14					 					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1074050,"Ł74,600.85","CCN 02833-07 - Hardware Ongoing IT Support Costs FY 11/14					 					",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072814,"Ł75,888.00",CCN2254-05 3x SAT Testers One Off Costs,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072479,"Ł76,268.00","L-S-2431-08 - Monthly T&M charges from 31/01/2012 to 13/04/2012.	 	 	 	 						",CF31 9AP,E117,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,265000-IT & Telecommunications,RE999-CJG - Research & Analysis,SOFTCAT LTD,1073476,"Ł77,351.52",SAS Master License Agreement,SL7 1TB,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072914,"Ł77,580.00",MOJ Testing Support,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,223001-Printing Postage and Office expenditure,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1073376,"Ł78,981.96",PS115- PRINT ROOM,NP10 8BA,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1074170,"Ł80,333.69",RFC FSMO 175 - Contractor Arrangements,NP10 8BA,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072479,"Ł80,344.00",CCN0159 - Libra Application and related Additional Services - Disaster Recovery Ongoing,CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1072669,"Ł80,941.49",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073726,"Ł82,891.00",A-R-02707-05.V01 LSC Call Off Resources for dev test programme,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł83,443.50",OMNI NDC Bridges Support,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1073633,"Ł84,625.85","CCN3086 - Data Cente Server Upgrade					",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072914,"Ł85,510.65",PQ109 - PB629 (NOMS018) (CP6.2) EUC Laptop,RG12 1HN,E065,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072840,"Ł86,000.00","Document Repository Service - Delivery of Contract Milestone 2 - Commence Trial Transactions						",MK3 5JP,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072840,"Ł86,000.00","Document Repository Service - Delivery of Contract Milestone 3 - Service go-live						",MK3 5JP,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł86,100.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration,WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł87,175.00","Catalogue Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"Ł87,227.02",EIP3SPF (E138) Fujitsu CCNF412 RSA Appliance Upgrade ,WA3 9BD,E138,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł88,944.00","Config. Mgnt Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł89,845.00",OMNI NDC Bridges Support,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł90,000.00","LSC Secure Enclave CCN2943-02 Build - Mst 3 Dev/Test Enclave Build Completion-PQ105					",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł90,000.00","LSC Secure Enclave CCN2943-03 Accreditation - Mst 8 DevTest Interim Authority to Operate					",WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1072935,"Ł90,579.90","Annual cleaning services across the MoJ estate, to be billed monthly and according to property  - 102 Petty France- ND190",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1072935,"Ł90,579.90","Annual cleaning services across the MoJ estate, to be billed monthly and according to property  - 102 Petty France- ND190",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł95,000.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration,WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"Ł96,731.65",OMNI Nomsnet,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,223000-Other Expenditure,RB999-JPG - CJRD,NATIONAL POLICING IMPROVEMENT AGENCY (NPIA/NCALT),1073408,"Ł100,000.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,RG27 0JW,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1072669,"Ł100,254.54",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin
Ministry of Justice,MoJ HQ,17-Apr-12,264000-Consultancy,RF999-JPG - DGs Office,HM PRISON SERVICE,1314,"Ł100,667.89",Reimbursement of costs relating JPG assessment centres,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł101,827.94",Managed Service - Security Management Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073726,"Ł105,461.00",A-R-02707-05.V01 LSC Call Off Resources for dev test programme,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072479,"Ł109,070.00","CCN L-S-3188-01 - will deliver application changes to the follow applications in order to implement and enhancements requested by the authority CPC, CaseMan/CCBC and FamliyMan. These are updates to database reference data, updates to busine",CF31 9AP,E017,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł112,005.63",Managed Service - Solution Assurance Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,04-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł112,586.00",Reimburse HOPG costs incurred for ingoing works into Corporation St,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"Ł112,586.00",Reimburse HOPG costs incurred for ingoing works into Corporation St,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"Ł113,986.75",EIP2Infra Fujitsu CCNF387 Xhibit Portal ISA ,WA3 9BD,E132,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł117,346.94","26,000xEndpoint and Email Security and Control Options",M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072814,"Ł117,897.00","A-R-03190-01-v04			 GAPS2 Xerox Printer Replacement one-off charges						",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł118,039.19","""40xLic BI Query Admin 500xLic BI Query User 500xLic BI Analyze""",M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074228,"Ł119,566.14",OMNI CCN 13 WAN SERVICES,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"Ł119,862.73",EIP3Xhibit (E137) Fujitsu CCNF408 .NET Portal Stabilisation  - One Off Charge,WA3 9BD,E137,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł121,306.66",MOJ Corporate Staff Rostering,RG12 1HN,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł121,620.00","Client Environment Services
",WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł122,563.27",OMNI-LICE00038 As per contract,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł129,153.75",CCN 1650-01 LSC (Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"Ł132,037.43",PQ109 - PB630 (NOMS017) (CP.3) EUC Desktop,RG12 1HN,E064,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł136,481.44",OMNI VOIP Service,M14 0WN,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1072388,"Ł145,818.80","Refurbish the 3 floors of Hunters Walk in Chester, including fitting a DDA compliant lift to support the 3 floors of the building.",CIS-SO18 2RZ,0,Admin,,SME
Ministry of Justice,MoJ HQ,05-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1072388,"Ł145,818.80","Refurbish the 3 floors of Hunters Walk in Chester, including fitting a DDA compliant lift to support the 3 floors of the building.",CIS-SO18 2RZ,0,Admin,,SME
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł146,534.86",Managed Service - Service Management Apr-11 to Mar-12,WA3 9BD,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1072669,"Ł146,846.73",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł146,905.00","CCN0025 -  FAS Ongoing
",CF31 9AP,0,Programme,,
