Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category,SME?,Sector
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£259,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£187,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£271,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,799",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£213,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£7,359",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£62,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£123,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£478,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£70,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£283,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£235,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£215,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£197,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£81,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£483,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£76,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£118,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£70,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£676,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£398,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£424,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,766",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£71,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£263,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£662,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£114,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£140,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£393,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£196,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£495,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£232,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£898,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£215,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£303,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£184,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£305,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£118,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£132,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£70,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£408,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£124,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£215,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£56,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£158,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£196,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£717,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,026",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£220,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£631,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£70,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£71,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£150,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£62,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£476,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£62,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£624,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£193,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£147,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£56,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£335,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£4,895",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£671,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£2,342",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,052",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£908,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£634,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£709,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£656,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£256,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£611,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£779,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£400,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£261,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£94,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£72,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£133,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£675,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£56,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£61,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£69,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£855,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£271,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£65,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£1,741",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£115,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£929,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£352,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£145,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£393,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£99,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£234,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£387,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£115,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£432,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£74,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£62,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,£254,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,062",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£5,332",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,£766,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£441,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023613294,"£2,920",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,£473,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,STR,EXPOTEL,2023613294,£91,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£311,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£235,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£66,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,STR,EXPOTEL,2023613294,£66,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£115,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£3,868",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£5,128",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£195,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£1,622",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£926,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£4,423",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£245,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£212,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,£76,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,£976,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,Change PMU,EXPOTEL,2023613294,"£1,406",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£118,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£91,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£65,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£690,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£65,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£292,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£147,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£529,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£696,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,F&C,EXPOTEL,2023613294,£228,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£213,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£290,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£64,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£348,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£262,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£119,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£208,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£71,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£2,158",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£62,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£364,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£309,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£73,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£504,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,STR,EXPOTEL,2023613294,£122,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,"£1,659",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£201,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£76,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,STR,EXPOTEL,2023613294,"£2,307",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£138,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£728,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£402,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£129,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£137,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£61,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£68,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023613294,£167,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£181,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023613294,£819,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£398,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£232,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023613294,£69,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£67,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Jobcentre Plus,16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£342,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£116,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,"Pension, Disability Carers Services",16-Dec-11,STAFF COSTS,COO,EXPOTEL,2023613294,£339,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023618606,"£6,968",Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,PS,EXPOTEL,2023618606,£226,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,PS,EXPOTEL,2023618606,£220,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,PS,EXPOTEL,2023618606,£74,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,PS,EXPOTEL,2023618606,£144,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,PS,EXPOTEL,2023618606,£139,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023618606,£911,Travel,Business Travel,Hotels,YES,Private
Department for Work and Pensions,Corporate,19-Dec-11,STAFF COSTS,CIT,EXPOTEL,2023618606,£76,Travel,Business Travel,Hotels,YES,Private
