Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,24/08/2011,Current Grants,Post 16 Young People Learning Agency Resources Group,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,2000431,"57,051,914.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Academies Delivery Group,BURTON MOREWOOD SCHOOL,4000058751,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,ICT,Communications Group,CAPGEMINI UK PLC,4000058753,"139,885.15",Costs related to the provision of IT costs,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Free School Group,CFBT EDUCATION SERVICES,4000058755,"50,279.69","Current grant paid to organisations including agencies, arms length bodies and educational establishments. Specifically this was in relation to a free school. ",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Academies Delivery Group,GRASMERE CE VA PRIMARY SCHOOL,4000058762,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Academies Delivery Group,LEES BROOK COMMUNITY SCHOOL,4000058769,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Academies Delivery Group,OAKHILL PRIMARY SCHOOL,4000058775,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/08/2011,Current Grants,Academies Delivery Group,WHICKHAM SCHOOL & SPORTS COLLEGE,4000058785,"25,000.00","Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BARNSLEY MBC,4000058808,"6,229,150.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000058809,"310,505.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BIRMINGHAM CITY COUNCIL,4000058810,"35,611,223.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000058811,"5,798,175.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000058812,"3,887,897.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BOLTON MBC,4000058813,"8,462,618.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000058814,"2,919,411.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000058815,"3,773,217.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000058816,"5,592,091.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BRISTOL CITY COUNCIL,4000058817,"12,916,095.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000058818,"10,230,028.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,BURY MBC,4000058819,"5,063,988.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CALDERDALE MBC,4000058820,"3,249,184.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000058821,"3,322,600.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000058822,"2,953,526.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CHESHIRE EAST COUNCIL,4000058823,"4,123,615.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000058824,"4,635,703.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000058825,"17,267,974.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CITY OF LONDON,4000058826,"108,086.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CITY OF WESTMINSTER,4000058827,"5,495,825.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,COUNCIL OF THE ISLES OF SCILLY,4000058828,"120,364.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,COVENTRY CITY COUNCIL,4000058829,"10,152,493.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,CUMBRIA COUNTY COUNCIL,4000058830,"5,927,496.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000058831,"1,364,820.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DERBY CITY COUNCIL,4000058832,"5,578,607.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000058833,"8,738,317.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DONCASTER MBC,4000058834,"4,606,071.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DORSET COUNTY COUNCIL,4000058835,"7,501,475.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DUDLEY MBC,4000058836,"6,648,208.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,DURHAM COUNTY COUNCIL,4000058837,"7,398,197.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,EAST RIDING OF YORKSHIRE,4000058838,"5,986,492.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,EAST SUSSEX COUNTY COUNCIL,4000058839,"9,862,400.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ESSEX COUNTY COUNCIL,4000058840,"19,256,964.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,GATESHEAD MBC,4000058841,"5,547,978.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,GLOUCESTERSHIRE COUNTY COUNCIL,4000058842,"1,252,330.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,HALTON BOROUGH COUNCIL,4000058843,"3,388,337.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,HAMPSHIRE COUNTY COUNCIL,4000058844,"18,358,826.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,HARTLEPOOL BOROUGH COUNCIL,4000058845,"2,996,792.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,HEREFORDSHIRE COUNCIL,4000058846,"1,618,940.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,HERTFORDSHIRE,4000058847,"21,947,107.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ISLE OF WIGHT COUNCIL,4000058848,"1,407,286.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,KENT COUNTY COUNCIL,4000058849,"2,525,398.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,KINGSTON UPON HULL COUNCIL,4000058850,"7,247,153.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,KIRKLEES COUNCIL,4000058851,"11,010,265.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,KNOWSLEY MBC,4000058852,"4,175,737.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LANCASHIRE COUNTY COUNCIL,4000058853,"27,041,447.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LEEDS CITY COUNCIL,4000058854,"15,792,529.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LEICESTER CITY COUNCIL,4000058855,"11,633,416.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LEICESTERSHIRE COUNTY COUNCIL,4000058856,"17,067,965.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LINCOLNSHIRE COUNTY COUNCIL,4000058857,"4,329,759.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LIVERPOOL CITY COUNCIL,4000058858,"9,350,477.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,4000058859,"12,441,660.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BARNET COUNCIL,4000058860,"6,678,328.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF BRENT,4000058861,"10,417,426.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF CAMDEN,4000058862,"6,195,564.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF CROYDON COUNCIL,4000058863,"9,394,564.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF EALING COUNCIL,4000058864,"13,195,092.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF ENFIELD COUNCIL,4000058865,"8,808,712.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF GREENWICH,4000058866,"11,794,181.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000058867,"5,669,784.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HARINGEY,4000058868,"10,548,317.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HARROW COUNCIL,4000058869,"9,079,158.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HAVERING COUNCIL,4000058870,"1,680,842.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,4000058871,"3,792,225.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,4000058872,"6,362,774.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF ISLINGTON COUNCIL,4000058873,"7,302,985.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF LAMBETH COUNCIL,4000058874,"9,182,079.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF LEWISHAM,4000058875,"12,750,263.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF MERTON COUNCIL,4000058876,"6,658,855.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF NEWHAM,4000058877,"12,662,143.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF REDBRIDGE,4000058878,"11,355,053.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF RICHMOND UPON THAMES,4000058879,"4,001,259.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000058880,"6,735,374.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF SUTTON,4000058881,"5,667,193.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000058882,"14,538,928.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000058883,"9,884,159.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000058884,"8,580,940.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,LUTON BOROUGH COUNCIL,4000058885,"5,163,920.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,MANCHESTER CITY COUNCIL,4000058886,"17,386,915.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,METROPOLITAN BOROUGH OF WIRRAL,4000058887,"7,372,679.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,MIDDLESBROUGH COUNCIL,4000058888,"4,323,752.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,MILTON KEYNES COUNCIL,4000058889,"3,613,258.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NEWCASTLE CITY COUNCIL,4000058890,"5,118,712.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORFOLK COUNTY COUNCIL,4000058891,"13,945,376.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTH LINCOLNSHIRE COUNCIL,4000058892,"4,760,959.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTH SOMERSET COUNCIL,4000058893,"3,963,053.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTH TYNESIDE,4000058894,"5,864,877.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTH YORKSHIRE COUNTY COUNCIL,4000058895,"8,840,310.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTHAMPTONSHIRE COUNTY COUNCIL,4000058896,"15,063,993.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NORTHUMBERLAND COUNTY COUNCIL,4000058897,"7,565,170.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NOTTINGHAM CITY COUNCIL,4000058898,"6,109,762.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,NOTTINGHAMSHIRE COUNTY COUNCIL,4000058899,"3,234,044.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,OLDHAM MBC,4000058900,"5,501,711.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,OXFORDSHIRE COUNTY COUNCIL,4000058901,"13,278,329.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,PETERBOROUGH CITY COUNCIL,4000058902,"2,815,026.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,POOLE BOROUGH COUNCIL,4000058903,"355,731.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,PORTSMOUTH CITY COUNCIL,4000058904,"5,800,376.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,READING BOROUGH COUNCIL,4000058905,"1,270,028.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,REDCAR & CLEVELAND BOROUGH COUNCIL,4000058906,"3,128,074.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ROCHDALE MBC,4000058907,"7,169,915.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ROTHERHAM MBC,4000058908,"2,316,209.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000058909,"4,493,358.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SALFORD CITY COUNCIL,4000058910,"7,545,725.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SANDWELL MBC,4000058911,"7,939,093.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SEFTON COUNCIL,4000058912,"7,748,948.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SHEFFIELD CITY COUNCIL,4000058913,"14,552,112.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SHROPSHIRE COUNCIL,4000058914,"7,391,894.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SLOUGH BOROUGH COUNCIL,4000058915,"4,251,864.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOLIHULL MBC,4000058916,"2,635,109.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOMERSET COUNTY COUNCIL,4000058917,"8,993,402.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOUTH GLOUCEST,4000058918,"5,743,184.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOUTH TYNESIDE,4000058919,"2,504,890.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOUTHAMPTON CITY COUNCIL,4000058920,"5,510,804.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SOUTHEND ON SEA BOROUGH COUNCIL,4000058921,"919,386.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,ST HELENS MBC,4000058922,"1,794,681.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,STAFFORDSHIRE COUNCIL,4000058923,"14,640,104.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,STOCKPORT MBC,4000058924,"8,280,716.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,STOCKTON ON TEES,4000058925,"4,393,116.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,STOKE ON TRENT CITY COUNCIL,4000058926,"588,265.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SUFFOLK COUNTY COUNCIL,4000058927,"12,421,678.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SUNDERLAND CITY COUNCIL,4000058928,"6,366,453.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SURREY COUNTY COUNCIL,4000058929,"26,371,852.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,SWINDON BOROUGH COUNCIL,4000058930,"5,741,293.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,TAMESIDE MBC,4000058931,"3,359,263.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,TELFORD & WREKIN COUNCIL,4000058932,"3,694,769.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,THE LONDON BOROUGH OF HACKNEY,4000058933,"10,138,585.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000058934,"4,022,888.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000058935,"4,806,352.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,THURROCK COUNCIL,4000058936,"3,953,480.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,TRAFFORD MB COUNCIL,4000058937,"577,656.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WAKEFIELD MDC,4000058938,"1,787,347.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WALSALL MBC,4000058939,"4,500,685.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WARRINGTON BOROUGH COUNCIL,4000058940,"6,203,695.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WARWICKSHIRE COUNTY COUNCIL,4000058941,"7,368,003.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WEST BERKSHIRE COUNCIL,4000058942,"893,669.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WEST SUSSEX COUNTY COUNCIL,4000058943,"19,830,694.00",Dedicated Schools Grant,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,School Resources Group,WIGAN MBC,4000058944,"8,550,334.00",Dedicated Schools Grant,Public Sector
