Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"58,499.23",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"58,717.77",CCN 2277-01 - Resources NOP
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"598,000.00",CCN2277-01 - NOP Main CCN
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110444,"55,931.00",CCN-3715-V04 - MERIS Server and Operating System Upgrade - One Off Costs
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1110444,"25,913.50",CCN 2277 - NOP IPT Charges
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1110444,"86,578.68",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1110444,"88,218.39",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1110444,"432,893.39",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1110444,"441,091.93",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CACI LTD,1110466,"115,130.00",CA-3229-01-v2 - Software Development Services for the Advocacy Retendering Project
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1110476,"72,726.39","CCN L-R-3650-05 POISE PPO & AS Extension to End Apr 2013 V0.2 (MaLI Ref: HQ274 & HQ275)						"
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,DETICA LTD,1110501,"161,166.67",G-Cloud III service identification number: 3.G3.166.043 The Information Assurance Service.
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,DETICA LTD,1110501,"32,233.33",G-Cloud III service identification number: 3.G3.166.043 The Information Assurance Service
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110528,"34,517.33",Fujitsu Hosting Services - This purchase order covers Hosting line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110528,"72,873.99",Fujitsu Hosting Services - This purchase order covers Hosting line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110528,"144,796.79",Fujitsu Hosting Services - This purchase order covers Hosting line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,19/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,FUJITSU SERVICES LTD,1110528,"311,088.56",Fujitsu Hosting Services - This purchase order covers Hosting line items set within the budget  for Fujitsu Services CCN F429-02
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110726,"66,547.04",CCN A-R-03104-05-v06 - YJB to MOJ ICT Transition - SharePoint (ongoing charges to Oct 2016)
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"61,557.16",STERIA OMNI SIAM (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"90,534.73",STERIA OMNI General - Other (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"159,904.57",STERIA OMNI Network - Telephony (NON VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"280,376.74",STERIA OMNI App Maint & Supp (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"816,451.16",STERIA OMNI Hosting (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"818,298.57",STERIA OMNI EUC - Desktops (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"939,742.44",STERIA OMNI Network Services (VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"39,249.37","HQ279 - PQ105-E011 - Steria Resources for DSUP (PM, TA, 2 Snr. Tech Consultants, Test Mgr, Test Consultant & Test Engr )"
Ministry of Justice,MoJ HQ,23/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"31,980.91",STERIA OMNI Network - Telephony (NON VAT Rec) FY13/14 Onwards
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1110977,"50,887.50","Undertake strategic & architecture analysis of the requirements landscape for information sharing platform integration, applications hosting & identity & access management services as part of review for future CJSE & secure email services"
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1110977,"30,600.00",NOMS Technical Delivery Assurance
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1110977,"31,166.00",NOMS Technical Delivery Assurance
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110986,"867,903.82",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110986,"40,880.92",Atos ICT Other (VAT Rec) FY12/13 (Schedule)
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,BOTTOMLINE TECHNOLOGIES LTD,1111005,"157,500.00",Formscape licences 12th Sept 2013 to 11th March 2014
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,BOTTOMLINE TECHNOLOGIES LTD,1111005,"31,500.00",Formscape licences 12th Sept 2013 to 11th March 2014
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CGI IT UK LTD,1111026,"117,253.42",ICT App Maint & Supp (Schedule)
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,SOLIRIUS LTD,1111231,"44,275.00",RFI Phase -  ITN Invitation to Negotiate
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1111236,"237,941.00",CCNS437-02 extends the Steria CJSE Applications Maintenance and Support contract from 1st August 2013 up to a maximum end date of 31st July 2014. This PO covers the cost of the services for the remainder of fin. Year 13/14.
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,TRUSTMARQUE SOLUTIONS LTD,1111262,"25,750.00","""Postcoder API Professional Renewal 8th Sept 13 - 7th Sept 14"""
Ministry of Justice,MoJ HQ,26/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,VODAFONE CORPORATE LTD,1111268,"25,502.03",MoJ HQ Vodafone Mobiles - Account 602451432 - FY 13-14
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1111295,"55,548.00","A-R-03913-01-03 - 102PF Power Down Aug 2013							"
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1111295,"57,015.00",CCN A-R-03804-03 - RELOCATIONS TO FACILITATE THE EXIT OF 81 CHANCERY LANE (One off costs)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"32,662.45",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"40,532.27",ICT Telephony (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"108,789.40",ICT Laptops (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"340,642.00",ICT Service Desk (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"636,517.65",ICT Desktops (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"1,306,535.33",ICT Network Services (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1111295,"1,696,049.91",ICT Hosting (Schedule)
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1111295,"25,913.50",CCN 2277 - NOP IPT Charges
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1111295,"86,535.44",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1111295,"432,677.18",CCN 2277 - NOP WITO Charges
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111321,"40,022.00",GCF Framework Agreement Schedule 18 Call-Off schedule
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111321,"206,393.27",CJSM Yearly costs
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111321,"45,439.66","PCVL Installation - Caernarfon (C&W Ref: ),PCVL Installation - Phase 3 - HMCTS Tech Refresh to 447 Endpoints (C&W Ref: ),PCVL Installation - Phase 4 - Crown Court (47) Expansion (C&W Ref: ), PCVL Installation - Incre"
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111321,"41,278.65",CJSM Yearly costs
Ministry of Justice,MoJ HQ,30/09/2013,265000-IT & Telecommunications,NX900-MOJ Shared Services,FISERV,1111515,"42,473.91",MoJ Corporate-Shared Service Project-ICT Licences (VAT Rec)
Ministry of Justice,MoJ HQ,24/09/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,23313,"29,929.60",Archbold Magistrates Court Practice 2013
Ministry of Justice,MoJ HQ,30/09/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1111490,"40,117.20",Social Security Legislation 2013-14 Volume 2
Ministry of Justice,MoJ HQ,30/09/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1111490,"41,006.00",Social Security Legislation 2013-14 Volume 4
Ministry of Justice,MoJ HQ,30/09/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1111490,"112,716.00",Social Security Legislation 2013-14 Volume 1
Ministry of Justice,MoJ HQ,30/09/2013,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1111490,"112,716.00",Social Security Legislation 2013-14 Volume 3
Ministry of Justice,MoJ HQ,02/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3529,"16,166,000.00",MoJ Corporate-Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,02/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3529,"43,077,000.00",MoJ Corporate - Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,09/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3561,"10,355,000.00",MoJ Corporate-Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,09/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3561,"10,900,000.00",MoJ Corporate - Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,16/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3584,"7,673,000.00",MoJ Corporate-Legal Aid (Fund)-Legal Aid Criminal 
Ministry of Justice,MoJ HQ,16/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3584,"13,411,000.00",MoJ Corporate-Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,23/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3604,"8,180,000.00",MoJ Corporate-Legal Aid (Fund)-Legal Aid Criminal 
Ministry of Justice,MoJ HQ,23/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3604,"14,620,000.00",MoJ Corporate-Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,30/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3617,"10,477,000.00",MoJ Corporate - Legal Aid (Fund)-Legal Aid Criminal
Ministry of Justice,MoJ HQ,30/09/2013,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3617,"11,589,000.00",MoJ Corporate-Legal Aid (Fund)-Community Legal Services
Ministry of Justice,MoJ HQ,12/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"73,413.29",PB508 - HP Project Implementation Costs - Replaces PO 10000024857
Ministry of Justice,MoJ HQ,12/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110019,"143,607.98",PB508 - HP Project Implementation Costs - Replaces PO 10000024857
Ministry of Justice,MoJ HQ,16/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,HP ENTERPRISE SERVICES UK LTD,1110284,"213,567.94",Prison NOMIS Service Enhancements LSB5 1st April 2013 to 31st August 2013
Ministry of Justice,MoJ HQ,16/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1110374,"80,316.69",Lotus Notes (RFS 97044) (Schedule)
Ministry of Justice,MoJ HQ,16/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1110374,"50,481.00","CCN048 (STERIA) - CR PCMS315 Post SIT and V&V Legacy Delius migration tool changes Steria CR315 being ?50,481"
Ministry of Justice,MoJ HQ,19/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1110653,"926,000.00","NOMS230 : PMIL113a Final CRAMS Trust Go-Live  (5th August 2013)						"
Ministry of Justice,MoJ HQ,23/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110726,"26,217.00",WR0103 - HMCTS 192 ET Fees - Deliverables as per Works order.  This charge has been reduced to take account of A-S-03826-01 previously raised.
Ministry of Justice,MoJ HQ,23/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1110928,"49,284.28",Lotus Notes (RFS 97044) (Schedule)
Ministry of Justice,MoJ HQ,26/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1110986,"101,211.00",CCN A-S-03669-02 - NISE Project A-S-3369-02 - G-Stack Analysis and Documentation
Ministry of Justice,MoJ HQ,26/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,CGI IT UK LTD,1111026,"69,656.79","HMCTS 192 ET Fees call-off order to provide cover for the delivery of ET Fees - This will be offset against the main CCn L-R-3580-04						"
Ministry of Justice,MoJ HQ,26/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,JADU LTD,1111115,"30,000.00","HMCTS 192 ET Fees - Deliverables as per works order dated 07.06.13. 						"
Ministry of Justice,MoJ HQ,30/09/2013,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1111473,"90,829.14","Change requests related to CCN048 (STERIA) NOMS230 CR PCMS413 Extend Availability of Production Review Environment						 							"
Ministry of Justice,MoJ HQ,02/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109299,"32,896.14",HMCTS 247 SPS - CCNA-S-03481-01 Provision of CIRs M29.  Replaces PO 10000033849
Ministry of Justice,MoJ HQ,12/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"141,256.22",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842
Ministry of Justice,MoJ HQ,12/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"283,423.37",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841
Ministry of Justice,MoJ HQ,12/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"345,899.07",HMCTS 247 SPS - CCNA-S-03481-01 Print device deployment M27&28.  Replaces PO 10000033841
Ministry of Justice,MoJ HQ,12/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1109931,"551,068.16",HMCTS 247 SPS - CCNA-S-03481-01 Remaining MFD deployment M25&26. Replaces PO 10000033842
Ministry of Justice,MoJ HQ,16/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,RTS COMMUNICATIONS,1110359,"50,560.00","HMCTS xxx  RCJ Court Recording 2 x 32 Channel Fibre Links.  RCJ DAR Backup Solution						"
Ministry of Justice,MoJ HQ,26/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111017,"35,611.59","Video Equipment and cabling for Virtual Court/Live Link installations for  Chippenham,WelshpoolHastings"
Ministry of Justice,MoJ HQ,26/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111017,"48,908.56",Video Equipment and cabling for Virtual Court/Live Link installations for  Chippenham
Ministry of Justice,MoJ HQ,26/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1111236,"169,805.14",PQ108 - OMNI-T Capital Expenditure FY1112
Ministry of Justice,MoJ HQ,26/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,STERIA LTD,1111236,"171,683.05",PQ108 - OMNI-T Capital Expenditure FY1112
Ministry of Justice,MoJ HQ,30/09/2013,532000-Tangible GBV - Additions,NZ900-Finance & Corporate Services,CABLE & WIRELESS WORLDWIDE,1111321,"40,427.13","Video Equipment and cabling for Virtual Court/Live Link installations for  Chippenham,WelshpoolHastings"
Ministry of Justice,MoJ HQ,23/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1110714,"50,082.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,23/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1110714,"83,961.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,23/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1110714,"89,362.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,23/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1110714,"147,300.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,23/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1110714,"585,272.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,30/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1111518,"75,538.39",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,30/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1111518,"75,614.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,30/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1111518,"75,614.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,30/09/2013,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1111518,"75,614.00",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,02/09/2013,710200-Creditors < 1 year - Trade & Other Creditors,WW000-Balance Sheet,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3530,"1,374,504.34",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,04/09/2013,710200-Creditors < 1 year - Trade & Other Creditors,WW000-Balance Sheet,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3536,"1,334,276.35",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,11/09/2013,710200-Creditors < 1 year - Trade & Other Creditors,WW000-Balance Sheet,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3571,"428,933.33",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
Ministry of Justice,MoJ HQ,24/09/2013,710200-Creditors < 1 year - Trade & Other Creditors,WW000-Balance Sheet,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3606,"480,698.23",MoJ Corporate-Balance Sheet-Rates Prepayment Control 
