Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,EARLY INTERVENTION FOUNDATION,3000058264,50000.00,Grant to expand the scope of a review of social and emotional skills to cover out of school interventions,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),ERG CONTESTABLE POLICY FUND,DEPARTMENT OF HEALTH,3000058625,50000.00,Matched funding for the Contestable Policy Fund project 'Engagement for Child & Adolescent Mental Health Services Task Force',,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PEOPLE AND SKILLS,CAPITA BUSINESS SERVICES LTD,3000058641,50055.89,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000058317,50673.22,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,GRANT FUND MANAGEMENT,ERTP ERO CONFIRMATION & VERIFICATION,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,3000058690,52000.00,Managed services for processing electoral expense claims from returning offices,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,FOREIGN & COMMONWEALTH OFFICE,3000058343,52160.17,Official travel ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS COMMUNICATIONS AND CREATIVE,CAPITA BUSINESS SERVICES LTD,3000058641,52173.28,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANCY SERVICES 'NOT' RECOVERABLE,CENTRE FOR SOCIAL ACTION,ATQ CONSULTANTS UK LTD,3000058469,52200.00,Provision of business support for charities,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000058641,52351.14,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,ROYAL BOROUGH OF KINGSTON UPON THAMES,3000058321,52922.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election and Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000058692,53446.08,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,TELECOM RENTALS,PMO ICTS,BT,3000058509,55023.23,Telecomms charges ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,NATIONAL ASSOCIATION OF MANAGERS OF STUDENT SERVICES,3000058593,60000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CAPITA BUSINESS SERVICES LTD,3000058641,61815.78,Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,LEGAL ADVICE FROM TSOL,IRAQ INQUIRY WITNESS UNIT,GOVERNMENT LEGAL DEPARTMENT,3000058422,63176.40,Legal Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000058420,63688.80,Security vetting fees,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),GDS POLICY AND ENGAGEMENT,TNS UK LTD,3000058602,63950.00,Cross-government digital inclusion research,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,ERTP ERO CUSTOMER REGISTRATION,ELECTORAL COMMISSION,3000058574,66600.00,Research to measure democractic engagement in Great Britain,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,PRICEWATERHOUSE COOPERS LLP,3000058497,68175.00,Financial consultancy support for Independent Shared Services Centres,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GRANTS PORTAL,NCVO,3000058348,69481.75,Funding of Central Web Resource for the VCSE Sector,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG ASSURANCE REVIEWS,CAPITA BUSINESS SERVICES LTD,3000058641,70807.51,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PERFORMANCE AND DELIVERY,CAPITA BUSINESS SERVICES LTD,3000058641,73880.52,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,GRANT FUND MANAGEMENT VAT RECOVERABLE,OCS SOCIAL ACTION PROGRAMME TEAM,COMMUNITY DEVELOPMENT FOUNDATION,3000058345,75833.00,Community First Endowment Matched Challenge management fee,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR, OPEN DATA PROGRAMME,UNIVERSITY OF MANCHESTER,3000058439,76896.00,"Grant to help organisations reduce the risk of releasing personal information when publishing open data, through the development of an online Anonymisation Guide ",,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,METHODS CONSULTING LTD,3000058500,78775.00,Developer services provided to GaaP product teams,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,BRITISH YOUTH COUNCIL,3000058592,80000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,NON PRIME PROPERTY COSTS,GDS BUSINESS TECHNOLOGY,FOOD STANDARDS AGENCY,3000058576,81453.24,Service charge for accommodation ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,GRANT FUND MANAGEMENT,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,3000058597,82354.80,Grant to support social ventures in understanding and improving their social impact and to demonstrate improvements to investors and commissioners,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,LEGAL ADVICE FROM TSOL,ERG DEBT MARKET INTEGRATOR,GOVERNMENT LEGAL DEPARTMENT,3000058422,83701.68,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,ADDITIONS - IT VAT REC,CO IT SYSTEMS CAPITAL,MISCO,3000058335,85045.41,IT hardware ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000058452,87597.69,High Integrity Telecoms System Project Costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,CENTRAL OVERHEADS,THE BEHAVIOURAL INSIGHTS TEAM,3000058525,89950.00,Delivery of specialist behavioural insights consulting services to the Cabinet Office,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),EVALUATIONS,IPSOS MORI LTD,3000058236,91000.00,Evaluation of Community Organisers' and Community First  Results and Final Report,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,SE EQUITY FUND,BRIDGES VENTURES LTD,3000058450,91433.00,Partnership to undertake investment business with the objective of supporting growth and development of social enterprises and providing partners with a financial return,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000058641,91783.50,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUSINESS AND OFFICE COSTS,CAPITA BUSINESS SERVICES LTD,3000058641,93313.30,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,GRANT FUND MANAGEMENT VAT RECOVERABLE,GPU POLICY AND STRATEGY,LOCAL GOVERNMENT ASSOCIATION,3000058677,95752.41,One Public Estate Project quarterly management fee,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CO IT SYSTEMS,CAPITA BUSINESS SERVICES LTD,3000058641,96297.66,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SOFTWARE LEASE/LICENSE,ERTP ERO DIGITAL,XPRESS SOFTWARE SOLUTIONS LTD,3000058245,103860.00,Individual Electoral Registration change requests costs to the Electoral Management System,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,STAFF RELATED COSTS,FAST STREAM COSTS CS RESOURCING,HMRC,3000058207,105600.00,Fast stream programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,YOUTH POLICY,IPSOS MORI LTD,3000058236,109906.50,Evaluation of Uniformed Youth Social Action Fund,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000058641,114392.75,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000058381,116966.50,"ePIMS support, maintenance and minor developments on various projects.",,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000058641,121805.59,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,DELOITTE MCS LTD,3000058536,124540.88,Research support costs for procurement planning exercise ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,VISIT BRITAIN,3000058260,125000.00,GREAT Campaign,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,SKILLS STRATEGY DEVELOPMENT,NCVO,3000058318,125000.00,Contribution to costs towards the development and delivery of commercial masterclasses for the VCSE sector,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000058293,125285.92,Shared services charges,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,NCS DEVOLVED PLACE,ENGAGE4LIFE,3000058225,125788.00,Delivery of the National Citizen Service in Wales,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE REHABILITATION CENTRE,3000058334,127000.00,Support to improve facilities to aid the physical rehabilitation of police officers,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000058692,132017.82,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000058431,136304.14,IT Support for CERT UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,MANAGEMENT CONFERENCES,MANAGEMENT AND CENTRAL SUPPORT,QUEEN ELIZABETH II CONF CENTRE,3000058238,140536.00,Civil Service Live costs ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000058641,144310.72,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000058584,161239.50,GREAT Campaign,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE TREATMENT CENTRES,3000058299,166000.00,Support to improve facilities to aid the physical rehabilitation of police officers,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,HARDWARE LEASE,CERT,E2E ASSURE LTD,3000058324,170160.00,"Hardware Lease, Support and Protective Monitoring",,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,PROGRAMME & STRATEGY OFFICE,THE AMBULANCE SERVICES CHARITY,3000058402,170390.00,Resource Grant for Organisational Development,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,GOVERNMENT LEGAL DEPARTMENT,3000058422,175895.25,Legal services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000058641,208308.43,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000058670,230313.59,PFI Service Charge for Sunningdale Park,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000058325,243751.75,Cabinet Office transformation project costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SECURITY AND CUSTODY SERVICES,GOVERNMENT SECURITY ZONE,METROPOLITAN POLICE AUTHORITY,3000058279,252500.00,Payment on behalf of Whitehall Departments for the cost of the Whitehall Security Zone,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,FIGHT FOR PEACE GRANT,FIGHT FOR PEACE UK,3000058673,271268.22,Grant for the expansion and redevelopment of the Fight for Peace Academy and Training Centre in East London,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CERT,MDS TECHNOLOGIES LTD,3000058699,287715.00,IT Development for CERT UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000058206,294210.00,Cost of identities under the Identity Provider Call-Off Contract,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000058290,322708.88,Email service for digital teams ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,STAFF RELATED COSTS VAT RECOVERABLE,HR CAPABILITY AND TALENT,DWP,3000058455,352000.00,Civil Service Fast Steam Costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000058666,361024.00,IT Development for CERT UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,3000058313,385030.00,"Grant to fund the cost of up to 500 newly qualified Community Organisers to ensure long term sustainability of social capital, created as a result of main Community Organisers training bursary programme.",,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT LIFECYCLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000058692,400000.00,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY GRANTS,THE JOIN IN TRUST,3000058540,450000.00,Support to continue to develop the Olympic legacy of volunteering,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000058692,547066.58,Facilities Management Services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),NCS OTHER,IPSOS MORI LTD,3000058236,620000.00,National Citizen Service programme evaluations ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000058399,789927.50,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,GPU POLICY AND STRATEGY ADMIN,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,3000058690,907000.00,Estate services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,LONDONS AIR AMBULANCE,3000058474,1000000.00,Initial contribution towards the purchase of a relief helicopter for London's Air Ambulance.,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,NESTA,3000058418,1500000.00,The provsion of funding to Enable NESTA to distribute grant funds and provide non-financial support through the Innovation Fund in accordance with the aims and objectives of the Centre for Social Action,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,1,HM TREASURY,3000058488,1545011.15,IT costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME PENSIONS PROGRAMME,MYCSP LTD,3000058697,1829764.80,MyCSP programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE AMBULANCE SERVICES CHARITY,3000058402,2037100.00,Emergency Services Funding Capital Grant,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000058709,27584.37,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000058785,28690.20,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000058709,29544.63,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,NORFOLK COUNTY COUNCIL,3000058717,30000.00,One Public Estate Grant to Leeds City Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,LEEDS CITY COUNCIL,3000058724,30000.00,One Public Estate Grant to Norfolk County Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,MANAGEMENT CONFERENCES,TECHNICAL ASSISTANCE,BLOOMBERG BNA,2000609,34005.00,Supply of monitoring and development services in relation to government grant to the Kids Company,,,,,,,,,,
Cabinet Office,Crown Commercial Service,26/03/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINORD 729,40700.21,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,Crown Commercial Service,26/03/2015,Maintenance & Repairs - IT,Enablement Projects,IBM UNITED KINGDOM LTD,PINORD 722,43064.01,eSourcing system licences,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,MANCHESTER CITY COUNCIL,3000058723,50000.00,One Public Estate Grant to Manchester City Council,,,,,,,,,,
Cabinet Office,Crown Commercial Service,26/03/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINORD 730,65230.11,Whitehall heating systems management,,,,,,,,,,
Cabinet Office,Crown Commercial Service,26/03/2015,Legal Fees,Legal Services,Treasury Solicitors,PINORD 770,66282.00,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000058780,67038.92,Provision of content design services to GOV.UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OTHER IS IT COSTS VAT RECOV, GRANTS PORTAL,NCVO,3000058752,69481.75,Funding of Central Web Resource for the VCSE Sector,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OTHER LEGAL FEES,ERG DEBT MARKET INTEGRATOR,TREASURY SOLICITORS DEPT,3000058710,71232.43,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,DIGIDENTITY BV,2000611,74401.17,Cost of identities under the Identity Provider Call-Off Contract,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OPERATING LEASES - RENT,CARLTON GARDENS,BNP PARIBAS REAL ESTATE,3000058703,75000.00,Rent for accommodation,,,,,,,,,,
Cabinet Office,Crown Commercial Service,26/03/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINORD 732,147613.24,Whitehall heating systems management,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,3000058768,159165.90,Rent for accommodation,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,FIRE FIGHTERS CHARITY,3000058720,198500.00,Grant to support the provision of rehabilitation services for Firefighters and to enhance the existing facilities of the Firefighters Charity,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,OPERATING LEASES - RENT,35 GREAT SMITH STREET,JONES LANG LASALLE LTD,3000058766,303600.00,Rent for accommodation,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000058783,394963.75,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,,,,,,
Cabinet Office,CABINET OFFICE,26/03/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000058771,2944547.41,Civil Service pension administration services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,COACHING AND MENTORING,FAST STREAM COSTS CS RESOURCING,SAID BUSINESS SCHOOL,3000058857,25000.00,Fast stream programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,AGE UK,3000058800,25000.00,Grant to help increase the corporate participation in Call in Time voluteer programme,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,BOLT PARTNERS LLP,3000058814,29010.00,Consultancy advice to support the service spinning out as a public service mutual,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,HEMPSONS SOLICITORS,3000058803,29920.50,Consultancy advice to support the service spinning out as a public service mutual,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,OFFICE FOR PUBLIC MANAGEMENT LTD,3000058791,36508.96,Consultancy advice to support the service spinning out as a public service mutual,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,SKILLS STRATEGY DEVELOPMENT,BUSINESS IN THE COMMUNITY,3000058830,38013.00,Business skills sharing campaign costs ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,BRITISH YOUTH COUNCIL.,3000058789,42044.00,Grant to provide national support services to enable youth participation in public decision making,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000058858,46118.44,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,BDO LLP,3000058815,57000.00,Mutualisation support for NHS Foundation Trust,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,SCHOOL FOR SOCIAL ENTREPRENEURS,3000058851,80000.00,Grant to fund programmes to support a minimum of 20 people set up or lead social businesses supporting young people who are effected by gang culture in Liverpool and London,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,COMPACT VOICE,NCVO,3000058850,94500.00,To fund the costs of Compact Voice,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,NATIONAL BIODIVERSITY NETWORK TRUST,3000058809,99824.00,"Capture, collation and publishing of key biodiversity datasets",,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,EDUCATION ENDOWMENT FOUNDATION,3000058796,181848.50,Grant for Youth United and Children's University to participate in the Youth Social Action Trials,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS PRIVATE SECTOR,V,VINSPIRED,3000058835,187000.00,Grant for delivering youth volunteering opportunities,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,DELOITTE MCS LTD,3000058840,202505.44,Research support costs for procurement planning exercise ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,27/03/2015,RESOURCE GRANTS TO NDPB'S,LEGAL ADVICE FUND,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000058790,212430.00,Advice Service Transition fund operating costs,,,,,,,,,,
