Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,4000041581,"282,350"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,OTHER PROGRAMME EXPENSES,Supporting Children and Young People Group 2,NATIONAL YOUTH AGENCY,4000041582,"131,693"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,PROFESSIONAL FEES,Curriculum and Behaviour Group,OPEN UNIVERSITY,4000041585,"667,380"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,MANAGEMENT CONSULTANCY,Chief Information Officer Group,PA CONSULTING GROUP,4000041586,"154,673"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,RM DATA SOLUTIONS,4000041593,"34,843"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Supporting Delivery Group,SERCO LTD,4000041596,"2,801,195"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,PROFESSIONAL FEES,Education Strategy and Improvement Group,SPECIALIST SCHOOLS AND ACADEMIES TRUST,4000041599,"540,758"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,THE FOSTERING NETWORK,4000041602,"33,100"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,TRIBAL EDUCATION LIMITED,4000041606,"30,873"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,IS/IT,Chief Information Officer Group Admin Capital,TRUSTMARQUE SOLUTIONS LTD,4000041607,"29,293"
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2010,MISCELLANEOUS EXPENDITURE,Curriculum and Behaviour Group,YOUTH SPORT TRUST,4000041611,"65,922"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,LEICESTERSHIRE COUNTY COUNCIL,4000041612,"285,132"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,LONDON BOROUGH OF MERTON COUNCIL,4000041613,"173,829"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000041614,"833,540"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CURRENT GRANTS,Academies Delivery Group,CHURSTON FERRERS GRAMMAR SCHOOL,4000041638,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CURRENT GRANTS,Qualifications Strategy and Reform Group,CITY OF SUNDERLAND,4000041639,"336,504"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,COMMUNICATIONS & PUBLICITY,Children Young People and Families Group,COI CENTRAL OFFICE OF INFORMATION,4000041640,"53,618"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,EDUTRUST ACADEMIES CHARITABLE TRUST,4000041642,"116,273"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CAPITAL GRANTS,School Resources Group,HAMMERSMITH ACADEMY TRUST ACCOUNT,4000041646,"2,135,290"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,COMMUNICATIONS & PUBLICITY,Children Young People and Families Group,LEWIS LIVE LTD,4000041649,"58,249"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Early Years Extended Schools and Special Needs,PARADIGM,4000041654,"58,750"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group EFM,SOLAR TECHNOLOGIES INSATALLATIONS LTD,4000041658,"31,804"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CURRENT GRANTS,Academies Delivery Group,THE KEMNAL ACADEMIES TRUST,4000041660,"25,000"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Resources Group,TRIBAL CONSULTING LTD,4000041662,"234,911"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CAPITAL LICENCES & INTANGIBLES,Chief Information Officer Group,UFI LIMITED,4000041663,"192,441"
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2010,CURRENT GRANTS,Qualifications Strategy and Reform Group,WEST YORKSHIRE ACTIVITY AGREEMENT PILOT,4000041665,"229,132"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000041686,"59,169"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,DUDLEY MBC,4000041688,"52,500"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,DURHAM COUNTY COUNCIL,4000041689,"363,695"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,IS/IT,Supporting Children and Young People Group 1,JP MORGAN COMMERCIAL CARDS,4000041695,44
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Supporting Children and Young People Group 1,JP MORGAN COMMERCIAL CARDS,4000041695,650
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Children Young People and Families Safeguarding Group,JP MORGAN COMMERCIAL CARDS,4000041695,210
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Finance Group Shared Services Schools and Category Management,JP MORGAN COMMERCIAL CARDS,4000041695,37
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Finance Group Shared Services Schools and Category Management,JP MORGAN COMMERCIAL CARDS,4000041695,140
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,114
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,32
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,297
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,164
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Finance Group Shared Services Schools and Category Management,JP MORGAN COMMERCIAL CARDS,4000041695,16
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,COMMUNICATIONS & PUBLICITY,Finance Group Shared Services Schools and Category Management,JP MORGAN COMMERCIAL CARDS,4000041695,12
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Finance Group Shared Services and Children and Young People,JP MORGAN COMMERCIAL CARDS,4000041695,150
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,"Strategic Analysis, Research and Policy Impact Group",JP MORGAN COMMERCIAL CARDS,4000041695,113
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,"Strategic Analysis, Research and Policy Impact Group",JP MORGAN COMMERCIAL CARDS,4000041695,"1,428"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,"1,099"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,800
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,82
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,529
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,30
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Finance Group,JP MORGAN COMMERCIAL CARDS,4000041695,15
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,"21,661"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,195
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MANAGEMENT CONSULTANCY,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,135
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,490
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,"1,046"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,93
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,13
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,11
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,254
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group,JP MORGAN COMMERCIAL CARDS,4000041695,482
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,"1,055"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,308
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,256
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,12
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,18
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,430
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,"1,030"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,136
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,30
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,122
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,42
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,95
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,146
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,21
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,139
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,226
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,FACILITIES OTHER,Chief Information Officer Group EFM,JP MORGAN COMMERCIAL CARDS,4000041695,53
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,COMMUNICATIONS & PUBLICITY,Education Strategy and Improvement Group,JP MORGAN COMMERCIAL CARDS,4000041695,392
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Academies Policy and Schools Organisation Group,JP MORGAN COMMERCIAL CARDS,4000041695,9
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,IS/IT,School Analysis and Research,JP MORGAN COMMERCIAL CARDS,4000041695,90
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,School Analysis and Research,JP MORGAN COMMERCIAL CARDS,4000041695,69
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,32
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,IS/IT,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,235
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,18
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,"1,874"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,152
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,IS/IT,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,60
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,20
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,11
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,28
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,STAFF EXPENSES / COSTS,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,87
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,16
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Private Office,JP MORGAN COMMERCIAL CARDS,4000041695,67
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Group Legal Advisors Office,JP MORGAN COMMERCIAL CARDS,4000041695,770
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,COMMUNICATIONS & PUBLICITY,Group Legal Advisors Office,JP MORGAN COMMERCIAL CARDS,4000041695,"6,066"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Internal Audit,JP MORGAN COMMERCIAL CARDS,4000041695,59
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,IS/IT,Internal Audit,JP MORGAN COMMERCIAL CARDS,4000041695,438
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Internal Audit,JP MORGAN COMMERCIAL CARDS,4000041695,5
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,MISCELLANEOUS EXPENDITURE,Customer Contact and Business Development Group,JP MORGAN COMMERCIAL CARDS,4000041695,75
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Marketing Group,JP MORGAN COMMERCIAL CARDS,4000041695,441
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PRINTING STATIONERY IT & CONSUMABLES,Marketing Group,JP MORGAN COMMERCIAL CARDS,4000041695,19
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,GENERAL OFFICE EXPENSES,Press Office Group,JP MORGAN COMMERCIAL CARDS,4000041695,363
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,COMMUNICATIONS & PUBLICITY,Press Office Group,JP MORGAN COMMERCIAL CARDS,4000041695,31
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CAPITAL GRANTS,School Resources Group,KINGSHURST CTC,4000041696,"252,797"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,LONDON BOROUGH OF NEWHAM,4000041698,"543,315"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,NETMUMS LTD,4000041702,"63,495"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,PARENT INNOVATION CONSORTIUM,4000041705,"35,250"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CAPITAL GRANTS,School Resources Group,SPECIALIST SCHOOLS AND ACADEMIES TRUST,4000041709,"72,727"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CURRENT GRANTS,Education Strategy and Improvement Group,SPECIALIST SCHOOLS AND ACADEMIES TRUST,4000041709,"1,041,427"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,PROFESSIONAL FEES,Academies Policy and Schools Organisation Group,THE TREASURY SOLICITOR,4000041713,"57,736"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,TNS UK LTD,4000041714,"64,743"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,RESEARCH & DEVELOPMENT COSTS,Curriculum and Behaviour Group,TNS UK LTD,4000041714,"7,491"
Department for Education,DEPARTMENT FOR EDUCATION,10/12/2010,CAPITAL LICENCES & INTANGIBLES,Chief Information Officer Group,UFI LIMITED,4000041715,"36,955"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,MISCELLANEOUS EXPENDITURE,Children Young People and Families Safeguarding Group,ADVICE ON IDIVIDUAL RIGHTS IN EUROPE THE AIRE CENTRE,1000300,"25,113"
Department for Education,TEACHERS PENSION SCHEME,13/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000412,"108,531"
Department for Education,TEACHERS PENSION SCHEME,13/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000415,"42,866,771"
Department for Education,TEACHERS PENSION SCHEME,13/12/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000417,"17,593,550"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,GRANT IN AID,Curriculum and Behaviour Group,THE SCHOOL FOOD TRUST,2000280,"369,890"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,GRANT IN AID,School Standards Group,BRITISH EDUCATIONAL COMMUNICATIONS & TECHNOLOGY,2000281,"10,010,146"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,GRANT IN AID,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,2000282,"199,416"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CURRENT GRANTS,Academies Delivery Group,CHURCH ACADEMY SERVICES LTD,4000041744,"38,559"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,EC HARRIS LLP,4000041746,"65,762"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,IS/IT,Chief Information Officer Group,EDUSERV,4000041747,"169,296"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CAPITAL GRANTS,Children Young People and Families Safeguarding Group,HOME OFFICE,4000041749,"1,000,000"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Safeguarding Group,HOME OFFICE,4000041749,"16,933,244"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,IS/IT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,4000041751,"153,856"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CAPITAL GRANTS,School Resources Group,RSA ACADEMY,4000041754,"272,785"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,TNS UK LTD,4000041758,"33,878"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CAPITAL GRANTS,School Resources Group,UNITY CITY ACADEMY TRUST,4000041760,"84,442"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,RESEARCH & DEVELOPMENT COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,UNIVERSITY OF WOLVERHAMPTON,4000041762,"32,897"
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2010,CURRENT GRANTS,Curriculum and Behaviour Group,WOLVERHAMPTON CITY COUNCIL,4000041763,"47,093"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000041764,"4,705,986"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000041765,"2,631,962"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000041766,"3,064,230"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000041767,"29,938,581"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000041768,"4,359,373"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000041769,"3,158,229"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BOLTON MBC,4000041770,"5,764,185"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000041771,"1,995,103"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000041772,"1,422,445"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000041773,"3,635,005"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BRISTOL CITY COUNCIL,4000041774,"6,584,092"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000041775,"8,151,365"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,BURY MBC,4000041776,"2,995,592"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CALDERDALE MBC,4000041777,"4,767,877"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000041778,"7,998,709"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000041779,"3,638,972"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CHESHIRE EAST COUNCIL,4000041780,"5,451,578"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000041781,"5,066,044"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000041782,"13,462,395"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CITY OF LONDON,4000041783,"88,805"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CITY OF WESTMINSTER,4000041784,"3,515,821"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CORNWALL COUNCIL,4000041785,"8,192,377"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,COVENTRY CITY COUNCIL,4000041787,"7,083,324"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,CUMBRIA COUNTY COUNCIL,4000041788,"8,308,406"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000041789,"1,910,913"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DERBY CITY COUNCIL,4000041790,"5,486,975"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000041791,"13,025,160"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DEVON COUNTY COUNCIL,4000041792,"10,482,072"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DONCASTER MBC,4000041793,"6,141,607"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DORSET COUNTY COUNCIL,4000041794,"5,384,805"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DUDLEY MBC,4000041795,"6,313,867"
Department for Education,DEPARTMENT FOR EDUCATION,14/12/2010,CURRENT GRANTS,School Resources Group,DURHAM COUNTY COUNCIL,4000041796,"10,834,952"
