Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,5782.87
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,6098.27
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,5202.95
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000073483,781.15
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000074077,396.44
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000075972,659.23
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000073483,242.11
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1758.69
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Professional Services Other,People and Change,CABINET OFFICE,Public Sector,Costs related to advisory shared corporate payroll services,4000075969,28715
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,People and Change,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,59.47
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,People and Change,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,41.72
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,346.52
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,319.7
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000073483,199.07
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,104.15
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,69.91
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,People and Change,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,152.35
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1127.85
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1280.34
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1739.24
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,66.52
Department for Education,DEPARTMENT FOR EDUCATION,02/03/2012,Professional Services Other,People and Change,DWP,Public Sector,Costs related to advisory shared corporate payroll services,4000073315,137167
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,70.76
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,People and Change,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,462.12
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,People and Change,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,11.73
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,203.03
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1343.9
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,143.32
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,200.86
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000073483,27.91
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000073483,53.73
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000075972,55.21
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Personnel Related,People and Change,EDENRED,Commercial,Costs related to childcare services provided for staff including the management fee and subsidy costs,4000075634,60367.37
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,ALB Reform Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,61.09
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1789.76
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1068.72
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,819.01
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,ALB Reform Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1882.01
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,201.53
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Current Grants,Supporting Children and Young People Group 2,BRITISH YOUTH COUNCIL,VCS,Current grant to third sector organisation / not for profit organisation,4000073480,99491
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Supporting Children and Young People Group 2,N C V Y S,VCS,Current grant to third sector organisation / not for profit organisation,4000075342,91251.43
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Supporting Children and Young People Group 2,ADDACTION,VCS,Current grant to third sector organisation / not for profit organisation,4000075446,101609.24
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Supporting Children and Young People Group 2,BOLTON LADS & GIRLS CLUB,VCS,Current grant to third sector organisation / not for profit organisation,4000075619,49219.24
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Supporting Children and Young People Group 2,CHILDREN OUR ULTIMATE INVESTMENT UK,VCS,Current grant to third sector organisation / not for profit organisation,4000075315,130396.38
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Current Grants,Supporting Children and Young People Group 2,ENDEAVOUR TRAINING,VCS,Current grant to third sector organisation / not for profit organisation,4000074535,33213.21
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Current Grants,Supporting Children and Young People Group 2,GROUNDWORK UK,VCS,Current grant to third sector organisation / not for profit organisation,4000073223,198693.4
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants,Supporting Children and Young People Group 2,GROUNDWORK UK,VCS,Current grant to third sector organisation / not for profit organisation,4000076156,162149.61
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Current Grants,Supporting Children and Young People Group 2,NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE,VCS,Current grant to third sector organisation / not for profit organisation,4000073502,52074
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants,Supporting Children and Young People Group 2,NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE,VCS,Current grant to third sector organisation / not for profit organisation,4000076169,93657.59
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Current Grants,Supporting Children and Young People Group 2,ROYAL PHILANTHROPIC SOCIETY RAINER,VCS,Current grant to third sector organisation / not for profit organisation,4000073411,184998.72
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Current Grants,Supporting Children and Young People Group 2,ROYAL PHILANTHROPIC SOCIETY RAINER,VCS,Current grant to third sector organisation / not for profit organisation,4000074434,278343.92
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Current Grants,Supporting Children and Young People Group 2,TOMORROWS PEOPLE TRUST LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000073423,55260.78
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants,Supporting Children and Young People Group 2,TOMORROWS PEOPLE TRUST LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000076195,56403.7
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants,Supporting Children and Young People Group 2,TRANSITIONS PLUS UK,VCS,Current grant to third sector organisation / not for profit organisation,4000076196,128355.37
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2012,Current Grants,Supporting Children and Young People Group 2,UK YOUTH,VCS,Current grant to third sector organisation / not for profit organisation,4000073625,29562.49
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Supporting Children and Young People Group 2,UK YOUTH,VCS,Current grant to third sector organisation / not for profit organisation,4000075699,97561.7
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Supporting Children and Young People Group 2,PROLOG,Commercial,Publications and related services,4000074430,200.42
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Current Grants,School Standards Group,CATHOLIC EDUCATION SERVICE,VCS,Current grant to third sector organisation / not for profit organisation,4000074288,74200
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Current Grants,School Standards Group,NATIONAL SOCIETY C OF E,VCS,Current grant to third sector organisation / not for profit organisation,4000074305,196025
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,583.36
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,214.68
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1319.96
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1015.34
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,2794.53
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1184.45
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,497.84
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,663.32
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,37.27
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,75.86
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1063.16
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,993.45
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,140.68
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,339.55
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,922.52
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,674.65
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,869.94
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,716.87
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,736.65
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,854
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1969.74
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1896.69
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,683.72
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,861.35
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,678.62
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,641.22
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1300.86
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,650.84
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,416.45
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,714.58
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,291.86
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,642.13
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,662.32
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,201.96
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1555.82
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1244.28
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,943.16
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,609.05
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1713.46
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1261.2
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1029.11
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,128.38
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,123.78
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,287.91
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,58.91
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1037.75
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,932.79
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1449.84
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,380.62
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,83.8
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,266.82
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,283.63
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,66.52
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,514.77
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,601.27
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,441.88
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,103.76
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,384.4
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,66.52
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,91.2
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,73.33
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,71.18
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,68.4
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,3143.34
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,2130.28
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1694.45
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1152.9
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,143.33
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,435.16
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,322.66
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,69.55
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,5.63
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,732.41
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,857.33
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,981.54
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,2181.92
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,2205.37
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,298.2
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,5540.43
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,6845.23
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,7167.49
