Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,06/05/2015,Marine Management Organisation,300415,"4,000,000.00",Grant in aid - May 2015,NE4 7YH,,Grant,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Montagu Evans LLP,VA150772,"46,050.00",Interim Asset Valuation - 31 March 2015 ,W1J 8BA,SME,,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Natural England,8000022164,"31,444.40",Secondment of one person to the Common Agricultural Policy Delivery Programme - 2014-15,YO1 7PX,,IGS,00000000,Asset,,
DEFRA,DEFRA,27/05/2015,Natural England,8000022165,"28,295.61",inward secondment of two persons to the Common Agricultural Policy Delivery Programme - February-March 2015,YO1 7PX,,IGS,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Natural England,8000022175,"30,854.35",Inward secondment of one person to the Common Agricultural Policy Delivery Programme - 2014-15 Quarter 3,YO1 7PX,,IGS,CAPDFA10,Expense,,
DEFRA,DEFRA,18/05/2015,Natural England,8000022183,"37,350.31",Inward secondment of one person to the Common Agricultural Policy Delivery Programme - 01 July 2014-31 March 2015,YO1 7PX,,EXEMPT,CAPDBA00,Asset,,
DEFRA,DEFRA,05/05/2015,Natural England,270415,"10,000,000.00",Grant in Aid - May 2015,YO1 7PX,,DFP,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,NERC Proudman Oceanographic Laboratory,7060007608,"37,240.00",Developing an integrated UK marine monitoring and mapping network for the future - 2014-15,SN2 1FF,,ME4161,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,New Forest District Council,1003919040153091,"133,500.47",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 3,SO43 7PA,SME,Grant,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,North Devon District Council,SD10867852,"32,638.59",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,EX31 1EA,,GRANT,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,North Dorset District Council,500288935,"30,200.62",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,DT11 7LL,SME,GRANT,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,North Norfolk District Council,SSDX0001A0000422,"115,378.28",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,NR27 9EN,,Grant,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,North Norfolk District Council,SSDX0001A0000424,"26,867.13",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,NR27 9EN,,Grant,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Oak Ridge Associates Ltd,DEFRACAPD010215,"37,800.00",Common Agricultural Policy Delivery - Charge for one member of staff - 24 November 2014-30 January 2015,RG8 7LR,SME,21336,CAPDPROG,Expense,,
DEFRA,DEFRA,12/05/2015,Oakdene Hollins,2193,"31,085.00",Exploring and developing new ways to improve the resource efficiency of the manufacturing system and Poultry Supply Chain - Milestone 5,HP19 8HT,SME,EV0546,00000000,Expense,,
DEFRA,DEFRA,26/05/2015,Oecd,200515,"37,155.62",UK Contribution for Biological and resource Management UK contribution - 2015,75775,,,EUIPARTN,Expense,,
DEFRA,DEFRA,27/05/2015,Office For National Statistics,1030132,"31,138.29",Data capture survey - Farm Practice/Greenhouse Gas Survey - January-March 2015,NP10 9XG,,,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Oracle Corporation UK Ltd,1478408,"189,027.03",Oracle software update license and support - 24 March-5 April 2015,RG6 1RA,,,CAPDFA06,Expense,,
DEFRA,DEFRA,18/05/2015,Pinsent Masons,6168236,"126,143.90",Commercial Legal Advice Services for the Future of Fera Project - 24 February-26 March 2015,EC1R 0ER,,,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,Pricewaterhouse Coopers,1354360532,"68,073.60",Common Agricultural Policy Delivery Programme data management support - February 2015,WC2N 6NN,,,CAPDDM00,Expense,,
DEFRA,DEFRA,08/05/2015,Pricewaterhouse Coopers,1354360533,"45,531.60",Common Agricultural Policy Delivery Programme data management support - March 2015,WC2N 6NN,,,CAPDDM00,Expense,,
DEFRA,DEFRA,27/05/2015,Pricewaterhouse Coopers,1354324982,"44,318.40",Future of Food and Environment Research Agency Project: Time costs for sprints - 09-23 February 2015,WC2N 6NN,,,00000000,Expense,,
DEFRA,DEFRA,14/05/2015,Redfern Travel Ltd,105326,"258,352.78",Travel costs incurred as per the Government Procurement Service contract - April 2015,BD1 3AZ,SME,,00000000,Asset,,
DEFRA,DEFRA,18/05/2015,Resource Decisions Ltd,300315,"41,495.00",Smarter Environmental Regulation Review: Evidence to Support Implementation - 2015 Milestone 1,W12 8JW,SME,BR0129,BRSERRRD,Expense,,
DEFRA,DEFRA,18/05/2015,Ricardo-A E A Ltd,6159504,"25,818.00",Baseline measurements on UK Stratospheric Ozone and Spectral Ultraviolet - April 2015,OX11 0QR,,Exempt,AQNONRDX,Expense,,
DEFRA,DEFRA,27/05/2015,Ricardo-A E A Ltd,6159464,"25,474.00",Eutrophying and Acidifying Atmospheric Pollutants - April 2015,OX11 0QR,,Exempt,AQRDXXXX,Expense,,
DEFRA,DEFRA,05/05/2015,Ricardo-A E A Ltd,6159405,"97,250.05",Farming Advice Service - March 2015,OX11 0QJ,,,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Ricardo-A E A Ltd,6159541,"41,918.00",Modelling of Ambient Air Quality (MAAQ) - April 2015,OX11 0QR,,AQ0650,AQRDXXXX,Expense,,
DEFRA,DEFRA,08/05/2015,Ricardo-A E A Ltd,6159451,"66,791.15",Exploring and appraising proposed measures to tackle air quality - 2014-15,OX11 0QR,,AQ0959,AQRDXXXX,Expense,,
DEFRA,DEFRA,08/05/2015,Ricardo-A E A Ltd,6159484,"43,978.00",Sustainable Pathways to Low Carbon Energy (SPLiCE) Research Programme - 2014-15 Milestone 4.2,OX11 0QR,,CCM 0102,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,Ricardo-A E A Ltd,6158945,"26,632.00",Provision of Investigating the Feasibility of Innovative Technologies - Stage 1,OX11 0QR,,,AQRDXXXX,Expense,,
DEFRA,DEFRA,01/05/2015,Royal Botanic Gardens Kew,KEWGIA021516,"2,500,000.00",Grant in Aid - Programme Administration - 2015-16,TW9 3AB,,GIA,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,Rural Payments Agency,120515,"2,093,122.04",VAT Repayment - Quarter 4,RG1 1AF,SME,,00000000,Liability,,
DEFRA,DEFRA,14/05/2015,Ryedale District Council,70175088,"50,000.00",Food local development orders for Food Enterprise Zone,YO17 7HH,,,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,S A M I Consulting Ltd,DEFRA005,"50,512.50",Provision of a Horizon Scanning and Futures Function - Milestone 2,RG14 1DY,SME,,HSFUTURE,Expense,,
DEFRA,DEFRA,08/05/2015,Scroll LLP,160415,"59,775.00",Editorial Support for the Smarter Environmental Regulation Review (SERR) Guidance Project - March 2015,SW2,SME,,BREXPERT,Expense,,
DEFRA,DEFRA,18/05/2015,Scroll LLP,080515,"48,828.50",Editorial Support for the Smarter Environmental Regulation Review (SERR) Guidance Project - April 2015,SW2,SME,,BREXPERT,Expense,,
DEFRA,DEFRA,29/05/2015,Shared Services Connected Ltd,100001082,"486,961.02",Fixed monthly charge for shared services work - May 2015,HP2 7AH,,.ecm_4524,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,Shared Services Connected Ltd,100001058,"25,380.00",Support to deliver a technical solution for migration of data - 31 March 2015,HP2 7AH,,ecm_4524,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Shropshire Council,XCF001358,"54,954.53",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,SY2 6ND,,GRANT,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Smart421 Ltd,SM017181,"72,265.98",Provision of Layer 7 XML (eXtensible Markup Language) Gateway software (which acts as a portal between two programs or computer systems) and 3 years support,IP2 8PN,,CAP 291,CAPDFA05,Asset,,
DEFRA,DEFRA,22/05/2015,Somerset County Council,290415,"41,522.50",Grant - Mendip Hills Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,TA1 4DY,,GIA,MENDIP01,Expense,,
DEFRA,DEFRA,07/05/2015,Sopra Steria Ltd,100072315,"403,673.25",Geographical Information (GI) System to manage land information - January 2015,HP2 7AH,,CAP339,CAPDFA02,Asset,,
DEFRA,DEFRA,07/05/2015,Sopra Steria Ltd,100073261,"550,175.26",Software development testing and migration - March 2015,HP2 7AH,,,CAPDFA02,Asset,,
DEFRA,DEFRA,08/05/2015,South Gloucestershire Council,3802967471,"29,490.32",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,BS15 9DW,,GRANT,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,South Holland District Council,20122360,"50,000.00",Grant - Food Enterprise Zone - 2015-16,PE11 2XE,,,00000000,Expense,,
DEFRA,DEFRA,20/05/2015,South Somerset District Council,08900062239,"25,067.24",Repair and Renew Grant for flood-affected properties - 24 February-30 March 2015,BA20 2HT,SME,GRANT,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,South Western B P S (UK) Ltd,30000200,"28,472.53","Provision of an Electronic reporting system and database for sheep, goats and deer - 2014-15",NW1 5RA,SME,17731,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,South Western B P S (UK) Ltd,30000214,"36,798.99","provision of an Electronic reporting system and database for sheep, goats and deer - 2015-16",NW1 5RA,SME,17731,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,Specialist Computer Centres,OPL992925,"1,129,959.00",IT services for the Common Agricultural Policy Delivery Programme - February-March 2015,B11 2LE,SME,,CAPDFA01,Asset,,
DEFRA,DEFRA,14/05/2015,Specialist Computer Centres,OPL998662,"509,351.22",Kainos Programme Resourcing Agile Developer - sprint 36,B11 2LE,SME,CAP010,CAPDFA01,Asset,,
DEFRA,DEFRA,22/05/2015,Staffordshire County Council,300415,"44,981.25",Grant - Cannock Chase Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,ST16 2NF,,,CANNOCK1,Expense,,
DEFRA,DEFRA,22/05/2015,Suffolk Coastal District Council,SI150172,"94,184.86",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,IP12 1AU,,GRANT,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Suffolk County Council,1505154584100,"45,841.00",Grant - Suffolk Coast and Heaths Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,IP1 2BX,,,SUFFOLK1,Expense,,
DEFRA,DEFRA,22/05/2015,Suffolk County Council,150515,"58,704.00",Grant - Dedham Vale Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,IP1 2BX,,,DEDHAM01,Expense,,
DEFRA,DEFRA,08/05/2015,Surrey County Council,240315,"467,729.92",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,KT1 2DN,,GRANT,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Surrey County Council,130515,"46,666.27",Grant - Surrey Hills Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,KT1 2DN,,,SURREY01,Expense,,
DEFRA,DEFRA,12/05/2015,Tewkesbury Borough Council,DEBT103955,"177,853.11",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,GL20 5TT,,GRANT,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Coal Authority,CA124982,"344,307.15",Address the Polluted water emanating from the Wheal Jane Abandoned Mine - 2015-16 Quarter 1,NG18 4RG,SME,17479,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Coal Authority,CA124981,"554,929.00",Address the Polluted water emanating from Abandoned Mines (excluding Wheal Jane) - 2015-16 Quarter 1,NG18 4RG,SME,FUNDING,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,The Farming Community Network,156,"35,000.00",Bovine Tuberculosis (bTB) Business Advice - April-September 2015,NN6 7AQ,,17046,FAP00001,Expense,,
DEFRA,DEFRA,08/05/2015,The Open University,064596,"38,000.00",Validation work on Bioaerosol sampling approaches and devices,MK7 6BT,,WR0615,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Pirbright Institute,ERS-557737-52232,"76,051.67",Planned Research and Development in support of Foot and Mouth Disease diagnostic capability - May 2015,GU24 0NF,,,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Pirbright Institute,ERS-557740-52234,"26,169.00",Orbivirus molecular epidemiology studies and development of diagnostic assay systems - May 2015,GU24 0NF,,Exempt,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Pirbright Institute,ERS-557741-52235,"35,008.87",Molecular epidemiology of Foot and Mouth Disease virus - May 2015,GU24 0NF,,SE2940,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,The Sir Alister Hardy Foundation For Ocean Science,ERS-557631-52159,"26,666.74",The Continuous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans - 2015-16,PL1 2PB,SME,ME 5308,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Tonbridge & Malling B C,014280,"154,138.58",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,ME19 4LZ,,Grant,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Treasury Solicitors Department,A2135,"1,970,250.00",Professional legal work - 01 April-30 June 2015,WC2B 4TS,,,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Treasury Solicitors Department,A2136,"63,000.00",Professional legal work - fixed fee - 2015-16 Quarter 1,WC2B 4TS,,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,08/05/2015,University Of Nottingham,7706356,"1,297,829.42",Farm Business Survey Advance Payment - 2014-15,NG7 2RD,,,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,University Of Nottingham,7706357,"39,000.00",Common Agricultural Policy Greening Module advance payment for the Farm Business Survey - 2014-15,NG7 2RD,,DO0150,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,University Of Reading,ERS-557286-52168,"49,636.66",Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems - May 2015,RG6 6AH,,,SFFS0005,Expense,,
DEFRA,DEFRA,14/05/2015,University Of Reading,107387,"31,637.08","The Long Term Housing, Maintenance and Scientific Curation of the National Fruit Collections - May 2015",RG6 6AH,,GC0146,PGR00001,Expense,,
DEFRA,DEFRA,18/05/2015,University Of Wales Aberystwyth,20058674,"115,848.37",Defra Link Project Genetic Improvements of Miscanthus as a Sustainable Feedstock for Bioenergy in the UK - 2014-15 Quarter 4,SY23 2AX,,exempt,SFFS0005,Expense,,
DEFRA,DEFRA,18/05/2015,Veterinary Medicines Directorate,120515,"44,841.37",VAT Repayment - 2014-15 Quarter 4,KT15 3LS,SME,,00000000,Liability,,
DEFRA,DEFRA,14/05/2015,Waste & Resources Action Programme,MAY198418600,"984,186.00",Grant - Waste and Resource Action Programme (WRAP) - May 2015,OX16 0AH,,,00000000,Expense,,
DEFRA,DEFRA,12/05/2015,Welsh Assembly Government,4700006417,"25,200.00",Annual Inventory forms sent out to Welsh farmers - 2015-16,CF10 3NQ,SME,EXEMPT,SGTINV01,Expense,,
DEFRA,DEFRA,12/05/2015,West Berkshire Council,223123343180,"156,853.10",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,RG14 5LD,,Grant,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,West Dorset District Council,0041243677,"26,544.60",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 3,DT1 1UZ,,Grant,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,West Lindsey District Council,1606129600,"50,000.00",Grant - Food Enterprise Zone - 2015-16,DN21 2NA,,,00000000,Expense,,
DEFRA,DEFRA,29/05/2015,Wiltshire Council,2205156355268,"63,552.68",Grant - North Wessex Downs Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,BA14 8JJ,,GIA,NWESSEX1,Expense,,
DEFRA,DEFRA,29/05/2015,Wiltshire Council,220515,"71,583.09",Grant - Cranborne Chase Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,BA14 8JJ,,,CRANBRNE,Expense,,
DEFRA,DEFRA,29/05/2015,Winchester City Council,3400300014,"58,390.02",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,SO23 9LJ,,Grant,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Windsor & Maidenhead Borough Coun,IP0319939,"128,817.00",Repair and Renew Grant for flood-affected properties - 2014-15 Quarter 4,SL6 1RF,,Grant,00000000,Expense,,
DEFRA,DEFRA,07/05/2015,WRc plc,WRC025108,"30,000.00",Shaping the choice architecture - the role of consumer information (Try Before You Buy) - March 2015,SN5 8YF,SME,EV0550,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Zoological Society Of London,310315,"87,899.00",Darwin Initiative Grant Scheme - Securing rhino populations with effective law enforcement and impact bonds - 2015-16 Quarter 1,NW1 4RY,,,IWTXXXXX,Expense,,
DEFRA,DEFRA,05/05/2015,Zoological Society Of London,3003152800950,"28,009.50",Darwin Initiative Grant Scheme - Securing Suklaphanta Wildlife Reserve's grasslands and the wellbeing of local communities - 2015-16 Quarter 1,NW1 4RY,,GIA,DARWDFID,Expense,,
DEFRA,Seafish,11/05/2015,Inland Revenue,APRIL 2015 PAYROLL,"78,360.52",Tax and National Insurance - April 2015,,,,,,,
DEFRA,Seafish,11/05/2015,West Yorkshire Pension Fund,SFIA PAYROLL APRIL 2015,"32,961.12",Pensions - April 2015,BD1 1UP,,,,,180 8082 62,
DEFRA,Seafish,29/05/2015,Cofely,M135485,"30,000.00",Seafood Expo - 2015,,,,,,,
DEFRA,VMD,30/04/2015,FERA SCIENCE LTD,69809,"192,272.00",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,DL1 9HN,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,30/04/2015,APHA,69803,"266,666.00",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,01/05/2015,FOOD & ENV. RESEARCH AGENCY,69820,"84,856.80",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,YO4 1LZ,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,22/05/2015,FERA SCIENCE LTD,70005,"192,272.00",Laboratory testing of food animal products under the Statutory Residues Surveillance Programme,DL1 9HN,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,28/05/2015,CORE SERVICES,70020,"28,311.00",Departmental recharge for Human Resources services,YO1 7PX,GOVN,,,ADMINISTRATION,,
DEFRA,AHDB,18/05/2015,The Arable Group Limited,CU80,"26,289.76","Potatoes Research Project ""Improving cultivation practices"" - January-March 2015",,,,,,,
DEFRA,AHDB,18/05/2015,Royal Assoc of British Dairy Farmers,2743,"26,400.00",Knowledge Transfer: Dairy Animal Health Zone event,CV8 2LY,,,,,155897164,
DEFRA,AHDB,22/05/2015,SAC Commercial Ltd,20810582,"33,112.50","Dairy Research Partnership Project ""Establish Retail Price Index on grassland, forage and soil""",EH9 3JG,,,,,435882617,
DEFRA,AHDB,18/05/2015,Ladies in Pigs,5984,"45,000.00","""Ladies in pigs"" stakeholder engagement programme",HU15 2LU,,,,,,
DEFRA,AHDB,21/05/2015,Warwick District Council,187777904300 15/16,"179,945.00",Rates for Headquarters building on Stoneleigh Park - 2015-16,,,,,,,
DEFRA,NE,01/05/2015,Atos IT Services UK Ltd,5584183577,"144,900.00","Charge for hosting, support and development of the Genesis IT System - March 2015",WV10 6UH,,,,Supplier,893230,
DEFRA,NE,01/05/2015,Atos IT Services UK Ltd,5584183578,"470,598.00",Service delivery and development of the Genesis IT System - March 2015,WV10 6UH,,,,Supplier,893230,
DEFRA,NE,01/05/2015,Atos IT Services UK Ltd,5584183605,"33,812.42",Changes to the Genesis IT System to ensure connection to the Rural Payments Agency new payments system - October-November 2014,WV10 6UH,,,,Supplier,899138,
DEFRA,NE,01/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00043944,"41,735.42",Fleet fuel costs - March 2015,SE1 8RT,,,,Supplier,,
DEFRA,NE,01/05/2015,Tweed Forum,131,"40,000.00",Memorandum of Agreement - River Till restoration - 2014-15,TD6 9DG,SME,ECM 6656,,Non Supplier,896696,
DEFRA,NE,01/05/2015,Westcountry Rivers Ltd,1205,"45,840.00","Water quality catchment assessments for Natura 2000 sites (Natura 2000 is a Europe-wide network of sites tasked with the preservation 
of natural heritage) and integration with Catchment-Based Approach (CaBA) - 2014-15",PL17 8PH,SME,ECM 6656,,Supplier,896266,
DEFRA,NE,06/05/2015,Level 3 Communications UK Limited,IN007266,"88,760.10",Charges for telephony services - January-March 2015,RG24 8NA,,ecm_398,,Supplier,892864,
DEFRA,NE,06/05/2015,Oracle Corporation UK Ltd,1477687,"190,871.21",Oracle Programme update license and support fees as specified in Agreement - 06 April 2015-05 April 2016,RG6 1RA,,ecm_18013,,Supplier,899430,
DEFRA,NE,06/05/2015,R S P B,ERS-987217-52056,"74,327.99",Nature Improvement Area Fund - The Dark Peak - 2014-15,SG19 2DL,,,,Public Body,876830,
DEFRA,NE,06/05/2015,Yorkshire Wildlife Trust,SIN000895,"100,000.00",Yorkshire Peat Partnership Moorland Restoration - 2014-15,YO24 1GN,SME,,,Supplier,889261,
DEFRA,NE,07/05/2015,Defra C/o Capita,1002548004,"210,365.03","Rent, management and utility charges for the Leeds office (Lateral) - 2014-15 Quarter 1-3",WC2H 8AD,,,,Supplier,,
DEFRA,NE,07/05/2015,Defra C/o Capita,1002548184,"258,480.59","Rent, management and utility charges for the Cambridge office (Eastbrook) - 2014-15 Quarter 4",WC2H 8AD,,,,Supplier,,
DEFRA,NE,11/05/2015,Atos IT Services UK Ltd,5584184118,"304,848.00",Changes to the Genesis IT System to support delivery of Environmental Stewardship - March 2015,WV10 6UH,,,,Supplier,899795,
DEFRA,NE,11/05/2015,Royal Bank Of Scotland,NEAPRIL2015BILL,"775,139.83",Monthly payment for Government Procurement Card expenditure - April 2015,EC2M 4BA,,,,Supplier,,
DEFRA,NE,13/05/2015,Willis Ltd,17639599,"52,088.30",Aviva Insurance Limited - Fleet Insurance - 2015-16,EC3M 7DQ,,ecm_6653,,Supplier,899816,
DEFRA,NE,13/05/2015,Yorkshire Wildlife Trust,ERS-987229-52096,"57,818.51",Nature Improvement Area Fund Humberhead Levels - 2014-15,YO24 1GN,SME,,,Supplier,876795,
DEFRA,NE,15/05/2015,Wiltshire Council,90215456,"36,500.00",Memorandum of Agreement - South West Farmland Bird Initiative - 2014-15,BA14 4DS,,ECM 156,,Local Authority,896688,
DEFRA,NE,15/05/2015,Wiltshire Council,CRN90215456,"-30,000.00",Credit - Memorandum of Agreement - South West Farmland Bird Initiative - 2014-15,BA14 4DS,,ECM 156,,Local Authority,896688,
DEFRA,NE,21/05/2015,Shropshire Wildlife Trust Ltd,ERS-987248-52116,"73,268.02",Nature Improvement Area Fund - Meres and Mosses of the Marches - 2014-15,SY2 6AH,SME,,,Supplier,876855,
DEFRA,NE,21/05/2015,Somerset County Council,60508022,"45,378.82",Materials to enable establishment works on the England Coast Path Somerset stretch - Brean Down to Minehead - 2014-15,TA1 4DY,,ecm_6681,,Local Authority,895455,
DEFRA,NE,21/05/2015,Walshaw Moor Estate Ltd,ERS-987250-52121,"134,855.14",Wildlife Enhancement Scheme agreement,BB8 9NW,SME,,,Supplier,880339,
DEFRA,NE,28/05/2015,Buglife Services Ltd,1,"52,560.00",Exposed River Sediments surveys of Rivers Wye and Lugg - 2014,PE2 5UU,SME,ECM_6733,,Supplier,899914,
DEFRA,NE,28/05/2015,Devon Wildlife Trust,ERS-987265-52275,"100,864.69",Nature Improvement Area Fund - the Northern Devon Nature Improvement Area - 2014-15,EX2 4AB,SME,,,Supplier,876829,
DEFRA,NE,28/05/2015,Marlborough Downs NIA,ERS-987263-52281,"50,738.82",Nature Improvement Area Fund - Marlborough Downs - 2014-15,BA14 6BT,SME,,,Non Supplier,877573,
DEFRA,NE,28/05/2015,Northamptonshire County Council,ERS-987264-52276,"98,475.13",Nature Improvement Area Fund - Nene Valley - 2014-15,NN1 1DN,,,,Local Authority,877029,
DEFRA,NE,28/05/2015,Redfern Travel Ltd,107377,"229,959.84",Monthly charge for rail travel costs - May 2015,BD1 3AZ,SME,,,Supplier,,
DEFRA,NE,28/05/2015,Thames Estuary Partnership,ERS-987283-52277,"100,536.83",Nature Improvement Area Fund - The Greater Thames Marshes - 2014-15,WC1H 0AP,SME,,,Public Body,894928,
DEFRA,NE,28/05/2015,The Wildlife Trust For Birmingham And The Black Country,ERS-987262-52280,"30,130.93",Nature Improvement Area Fund - Birmingham and Black Country Living Landscape - 2014-15,B15 3AU,SME,,,Non Supplier,876832,
DEFRA,NE,29/05/2015,Interserve (Facilities Mngmnt) Ltd,FI00044936,"31,620.40",Fleet fuel costs - April 2015,SE1 8RT,,,,Supplier,,
DEFRA,EA,26/05/2015,Broadland Environmental Services Ltd,1358221,"311,862.41",Broadland flood alleviation project - April 2015,GU15 3XW,30014973,IMAN000753,Project,,,
DEFRA,EA,05/05/2015,Halcrow Group Ltd,1354610,"25,890.01",Greatham North Flood alleviation scheme,W6 7EF,30071913,IMNE000823,Project,,,
DEFRA,EA,12/05/2015,Edenred Childcare Vouchers Ltd,1356706,"235,066.94",Childcare Assistance scheme. This money is reclaimed through Salary Sacrifice from the employee on a monthly basis so the scheme is cost neutral,SW1V 2RS,,,Administration,,,
DEFRA,EA,05/05/2015,Halcrow Group Ltd,1354607,"46,279.42",Wixoe Pumping Station Sluice Gate refurbishment - March 2015,W6 7EF,30071913,IMAN002402,Project,,,
DEFRA,EA,21/05/2015,Volkerstevin Ltd,1357765,"58,432.70",North East Reconditioning - Culvert works 4,EN11 9BX,30142737,IMNE000197,Project,,,
DEFRA,EA,19/05/2015,Volkerstevin Ltd,1351845,"316,575.43",Salmons Brook Flood Alleviation Scheme,EN11 9BX,30142737,IMTH000620,Project,,,
DEFRA,EA,26/05/2015,Balfour Beatty Civils Ltd,1358360,"380,131.46",Morpeth Flood Alleviation Scheme Main Works Phase,DN18 5BW,30142670,IMNE000794,Project,,,
DEFRA,EA,07/05/2015,Volkerstevin Ltd,1352544,"100,273.03","Manufacture, supply and installation of the mechanical and hydraulic elements of the Logic Control pilot trial as part of Thames Barrier Drive Equipment project",EN11 9BX,30142737,IMTH001493,Project,,,
DEFRA,EA,07/05/2015,Jackson Civil Engineering Ltd,1355193,"239,182.73",Lower Tame Flood risk management scheme - Kingsbury Section,IP1 5LT,30142731,IMMI000978,Project,,,
DEFRA,EA,19/05/2015,Jeremy Benn Associates Ltd,1357163,"31,675.20",Lower Thames Property Protection,BD23 3AE,30296931,IMTH001763,Project,,,
DEFRA,EA,26/05/2015,Jeremy Benn Associates Ltd,1359281,"27,421.73",Real-time flood inundation mapping,BD23 3AE,,HOEV101103,Project,,,
DEFRA,EA,21/05/2015,JacksonHyder Ltd,1354833,"248,886.84","The Beck, Mousesweet Brook - Design and Build",IP1 5LT,30395082,IMMI001385,Project,,,
DEFRA,EA,07/05/2015,Halcrow Group Ltd,1355250,"37,717.22",Consultancy Services - Exeter Flood Defence Scheme Phase 2 - March 2015,W6 7EF,30384994,IMSW001349,Project,,,
DEFRA,EA,05/05/2015,Whitehouse Construction Co Ltd,1349317,"244,309.73",Flood Resistance Measures on Individual Properties Lower Thames,DE6 1JU,30296937,IMTH001763,Project,,,
DEFRA,EA,12/05/2015,Eriks UK,1355881,"57,549.60",Remedial work to sump pumps - Thames Barrier,B62 8WG,,,Administration,,,
DEFRA,EA,01/05/2015,UK Flood Barriers Ltd,1353939,"153,070.68",Flood Resistance Measures on Individual Properties on River Thames,WR9 0NX,30295946,IMTH001763,Project,,,
