Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,26/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Rothamsted Research Ltd,INV103048,48940,Improved tolls to rationalise and support stewardship programmes for Succinate Dehydrogenase Inhibitor (SDHI) fungicides to control - 2013-14,AL5 2JQ,,LK09133,0,Expense,
DEFRA,01/08/2014,Grant-in Aid Payments,Chief Operating Officer DG,Royal Botanic Gardens Kew,KEWGIA051415,2000000,Grant In Aid - July 2014,TW9 3AB,,GIA,0,Expense,
DEFRA,19/08/2014,Other Current Payments E,Policy Delivery DG,Rural Payments Agency,338446,46418.49,Top-up payments on the school milk scheme - April-June 2014,RG1 3YD,SME,DFP,LIV00022,Expense,
DEFRA,13/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,S Q W Ltd,17309,26460,Ex-Post Evaluation of the Commission for Rural Communities - 3rd Instalment,NW1 1JD,SME,RE0273,0,Expense,
DEFRA,29/08/2014,Contracted Out Services Fixed Charges,Chief Operating Officer DG,Shared Services Connected Ltd,100000403,528040.5,Shared Services provided by Steria - Fixed Monthly Charge - August 2014,HP2 7AH,,ecm_4524,0,Expense,
DEFRA,01/08/2014,Estates Professional Fees & Services,Chief Operating Officer DG,Smiths Gore,34003361,114153.74,Professional Rural estates management services for the Drayton Manor Farm -  Disposal fees,DG1 1DG,SME,21089,B3110000,Expense,
DEFRA,15/08/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",South Western B P S (UK) Ltd,30000131,27555.85,"Provision of an Electronic reporting system and database for sheep, goats and deer. Variable Costs for transitional work to cover extended bureau service- July 2014",NW1 5RA,SME,17731,0,Expense,
DEFRA,15/08/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",South Western B P S (UK) Ltd,30000129,61244.75,"Provision of an Electronic reporting system and database for sheep, goats and deer, variable costs for movement reports - June 2014",NW1 5RA,SME,17731,0,Expense,
DEFRA,15/08/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",South Western B P S (UK) Ltd,30000128,60972.05,"Provision of an Electronic reporting system and database for sheep, goats and deer - variable costs for movement reports - May 2014",NW1 5RA,SME,17731,0,Expense,
DEFRA,29/08/2014,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPL863174,136799.67,Agile developers working on Common Agricultural Policy Delivery Programme Systems Development for the periods – 12 December 2013-8 January 2014 and 20 February-16 April 2014,B11 2LE,SME,CAP010,CAPDFA01,Asset,
DEFRA,20/08/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Statens Serum Institute,35199728,27144.48,2014 Supply of Bacille Calmette Guerin (BCG) vaccine for badgers - sent to Centaur Services Ltd ,2300,,,BVAC0001,Expense,
DEFRA,20/08/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Statens Serum Institute,35199727,27144.48,2014 Supply of Bacille Calmette Guerin (BCG) vaccine for badgers - sent to National Veterinary Services,2300,,,BVAC0001,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Technology Strategy Board,977,37604.91,Knowledge Transfer Partnership Programme - Technology Strategy Board  - April-June 2014,SN2 1JF,,exempt,SFFS0003,Expense,
DEFRA,28/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",The James Hutton Institute,300714,50610,Darwin Initiative Grant Scheme - Building mycological capacity for sustainable resource management in Lao People's Democratic Republic - April-September 2014,DD2 5DA,SME,21095,DARWINXX,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-544092-49670,65766.91,Developing improved methods to quantify transmission of foot-and-mouth disease virus - August 2014,GU24 0NF,,,0,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-544098-49674,27904.75,Understanding and predicting the spread of vector- and aerosol-borne livestock pathogens in the UK - August 2014,GU24 0NF,,Exempt,0,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-544094-49671,35008.83,Molecular epidemiology of foot-and-mouth disease virus - August 2014,GU24 0NF,,SE2940,0,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-544083-49667,71295.08,Further development of Real Time Polymerase Chain Reaction (RT-PCR) technology is support of foot mouth disease diagnosis - August 2014,GU24 0NF,,exempt,0,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-543521-49416,56668,The Continuous Plankton Recorders (CPR) Survey - 2014-15,PL1 2PB,SME,ME5308,0,Expense,
DEFRA,26/08/2014,Contractor - Management Cover,Chief Operating Officer DG,UK Shared Business Services Ltd,SBS11277,37800,Secondment of one person to the Collective Procurement Project: A project to combine the procurement functions across the Defra Network - April-August 2014,SN2 1FF,,21341,0,Expense,
DEFRA,01/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University College London,131043,47010,East Coast Ports and Food Supply - Milestones 1 and 2,WC1E 6BT,,FO0454,SFFS0003,Expense,
DEFRA,28/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Leeds,90199313,43197,Developing an effective method for the systematic surveillance of bats in woodland habitats in the UK - September-December 2014,LS2 9JT,,exempt,0,Expense,
DEFRA,15/08/2014,Other Current Payments E,Policy Delivery DG,University Of Reading,102175,30947.75,"The Long Term Housing, Maintenance and Scientific Curation of the National Fruit Collections - August 2014",RG6 6AH,,GC0146,PGR00001,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Reading,ERS-543645-49548,45601.83,Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems - August 2014,RG6 6AH,,,SFFS0005,Expense,
DEFRA,07/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",University Of Reading,101718,27392.8,"Provision of social research fellowship from University of Reading in policy evaluation, social impacts and behaviour change - 2014-15 ",RG6 6AH,,SD0462,RDEVFUND,Expense,
DEFRA,28/08/2014,Current Grants E,"Strategy, International and Biosecurity DG",University Of Southampton,230714,25160.75,"Darwin Initiative Grant Scheme - Galapagos marine invasive species: prevention, detection and management - January-March 2014",SO17 1UY,,Exempt,DARWDFID,Expense,
DEFRA,21/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Wales Aberystwyth,20047246,262053.06,Genetic Improvements of Miscanthus (GIM) as a Sustainable Feedstock for Bioenergy in the UK - June 2014,SY23 2AX,,exempt,SFFS0005,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Wales Aberystwyth,20046827,61108.52,Treatment of non-coal mine water - establishing new pilot trials using alternative technologies - April-June 2014,SY23 2AX,,Exempt,0,Expense,
DEFRA,01/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Wales Aberystwyth,20046778,36419.54,Harnessing new technologies for sustainable oat production and utilisation - April-June 2014,SY23 2AX,,exempt,SFFS0006,Expense,
DEFRA,27/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",University Of Warwick,ERS-544142-49558,33658,Optimisation of sampling strategies for improving sensitivity of mycobacterium bovis detection by Polymerase Chain Reaction (PCR) - July-August 2014 ,CV4 7AL,,,0,Expense,
DEFRA,11/08/2014,Payover,Central Finance Group,Veterinary Medicines Directorate,70814,52763.17,Redistribution of VAT Refund received centrally by Defra - 2014-15 Quarter 1,KT15 3LS,SME,,0,Liability,
DEFRA,21/08/2014,Current Grants E,Policy Delivery DG,Waste & Resources Action Programme,AUG1070814,1359215,Funding for the Waste and Resource Action Programme (WRAP) - August 2014,OX16 0AH,,Grant,0,Expense,
CCW,29/08/2014,Rent,London & South East,CAPITA PROPERTY (DEFRA),1002543458,28500,"Rent for premises, Fleet Bank House London - 1 October-31 December 2014",EC2V 7NQ,LARGE,N/A,N/A,Programme,GB888800181
CCW,02/09/2014,Rent,Corporate Services,G V A GRIMLEY,8717455425,83930.4,"Rent, Service Charge and Rent for Car parking spaces for part of the First Floor ,Victoria Square House Birmingham - 29 September-24 December 2014",B1 2JJ,LARGE,N/A,N/A,Programme,179918444
CCW,18/08/2014,Consultancy Services,Regulation,PRICEWATERHOUSECOOPERS LLP,1354222970,48120,"Consultancy fees for lessons learned report examining how markets were liberalised and competition introduced in other regulated sectors (energy, rail, telecoms, and the water sector in Scotland) - May-July 2014",WC2N 6RH,LARGE,N/A,N/A,Programme,GB243823957
CCW,14/08/2014,Consultancy Services,Regulation,RECKON LLP,1070,35520,Study on retail market implementation costs ,EC1N 2JT,LARGE,N/A,N/A,Programme,GB839722985
VMD,30/07/2014,SHARED SERVICE CHARGES - ESTATES,CORE SERVICES,DEFRA c/o CAPITA,67485,26597.72,Departmental recharge for Estates services - 2013-14 Quarter 4,REF: T116261,GOVN,,,Administration,
VMD,07/08/2014,STATUTORY RESIDUES SURVEILLANCE - LABORATORY TESTING,RESIDUES SURVEILLANCE UNIT,FOOD & ENV. RESEARCH AGENCY,67559,192041.2,Laboratory testing of food animal products under the Statutory Residues Surveillance Programme - July 2014,0,0,,,Administration,
VMD,08/07/2014,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,67557,50358.32,Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme - July 2014,0,0,,,Administration,
NE,27/08/2014,"IT services, equipment & consumables",Corporate Services,Atos IT Services UK Ltd,5584164955,179520,Charge for the Genesis IT System - Deployment and configuration complete - August 2014,WV10 6UH,,ecm_6386,,,
NE,06/08/2014,Legal costs,Corporate Services,Browne Jacobson,ERS-985751-49438,190504,Legal Services - Bolton Fell Moss land acquisition - purchase of Dalgleish field and associated fees,NG2 1BJ,,ecm_6634,,,
NE,06/08/2014,Reprographic Services,Corporate Services,Computacenter (UK) Ltd,3880206322,60000,Document scanning services - April 2013-March 2014,AL10 9TW,,,,,
NE,12/08/2014,Rent,Corporate Services,DEFRA,1000035554,336442.5,Dilapidations for Newcastle Office (The Quadrant),YO1 7PX,,,,,
NE,14/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542956,40315.94,Rent and management and utility charges for the Leeds Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542905,196708.94,Rent and management and utility charges for the Bristol Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Insurance,Corporate Services,Defra C/o Capita,1002542945,60232.81,Rent and management and utility charges for the Exeter Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542943,41972.17,Rent and management and utility charges for the Ashford Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Insurance,Corporate Services,Defra C/o Capita,1002542938,30072.08,Rent and management and utility charges for the Kendal Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542925,41336.44,Rent and management and utility charges for the Norwich Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Insurance,Corporate Services,Defra C/o Capita,1002542977,53132.64,Rent and management and utility charges for the Peterborough Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,14/08/2014,Insurance,Corporate Services,Defra C/o Capita,1002542973,76598.23,Rent and management and utility charges for the Nottingham Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542894,130248.83,Rent and management and utility charges for the Taunton Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Rent & Management Charges,Corporate Services,Defra C/o Capita,1002542920,236893.25,Rent and management and utility charges for the Cambridge Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,12/08/2014,Insurance,Corporate Services,Defra C/o Capita,1002542912,44840.9,Rent and management and utility charges for the Newcastle Office - 2014-15 Quarter 1,WC2H 8AD,,,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Devon Wildlife Trust,ERS-985819-49695,58703.12,"Nature Improvement Area Fund, the Northern Devon Nature Improvement Area - 2014-15",EX2 4AB,SME,,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Dorset County Council,ERS-985822-49700,33653.96,"Nature Improvement Area Fund, Wild Purbeck - 2014-15",DT1 1XJ,,,,,
NE,06/08/2014,Science & Evidence Studies,"Science, Evidence & Advice",Hyder Consulting Ltd,IUG00020415,78033.71,Great Crested Newt Presence-Absence Field Data Collection and environmental DNA Analysis,CF3 0EY,SME,ECM1715,,,
NE,14/08/2014,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5807141169,89599.66,IT Application development costs - Designated Sites System,GU1 2LD,SME,,,,
NE,06/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Kent County Council,ERS-985744-49437,86970,National Trails Grant - North Downs Way / Kent Downs Area of  Outstanding Natural Beauty,ME14 1XX,,ECM 569,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Lancaster City Council,ERS-985817-49696,35885.67,Nature Improvement Area Fund - Morecambe Bay - 2014-15,LA1 1PJ,,,,,
NE,08/08/2014,Telephony costs,Corporate Services,Level 3 Communications UK Limited,IN006892,79952.36,Charges for telephony and video conference services - 1 April-31 August 2014,RG24 8NA,,ecm_398,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Northamptonshire County Council,ERS-985818-49697,53306.51,"Nature Improvement Area Fund, Nene Valley - 2014-15",NN1 1DN,,,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",R S P B,ERS-985814-49699,38027.57,"Nature Improvement Area Fund, Dearne Valley Green Heart - 2014-15",S73 0YF,,,,,
NE,08/08/2014,RBS purchases,Corporate Services,Royal Bank Of Scotland,NEJUL2014BILL,504317.13,Monthly payment for Government Procurement Card expenditure - August 2014,EC2M 4BA,,,,,
NE,14/08/2014,Service charges,Corporate Services,Shared Services Connected Ltd,100000400,234861.94,Provision of Shared Services - 1 April 2014-31 March 2015,HP2 7AH,,ecm_6089,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Shropshire Wildlife Trust Ltd,ERS-985816-49701,30813.76,"Nature Improvement Area Fund,  Meres and Mosses of the Marches - 2014-15",SY2 6AH,SME,,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",South Downs National Park Authority,ERS-985820-49703,37591.66,"Nature Improvement Area Fund, South Downs Way Ahead - 2014-15",PO20 3RD,,,,,
NE,20/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Thames Estuary Partnership,ERS-985798-49480,38001.29,"Nature Improvement Area Fund,  The Greater Thames Marshes - 2014-15",WC1H 0AP,SME,,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",The Land Trust,ERS-985828-49704,32183.7,Beam Parklands Capital - Land Trust - 2013-14,WA3 7GB,SME,,,,
NE,14/08/2014,"Monitoring, Evaluation & Surveillance costs","Science, Evidence & Advice",Unicomarine Ltd,INV001301,29653.93,Processing of grab samples from the Margate and Long Sands Special Areas of Conservation baseline survey,SG6 1LW,SME,23758,,,
NE,04/08/2014,Postage & carriage,Local Delivery,Williams Lea Ltd,DEFRANE14060001,32350.7,"Print, production and posting of Rural Development Programme for England publicity plaques to over 1,700 qualifying Higher Level Scheme agreement holders",W1F 8PR,,ecm_6479,,,
NE,28/08/2014,Grants & contributions,"People, Landscape & Biodiversity",Yorkshire Wildlife Trust,ERS-985815-49702,29744.36,"Nature Improvement Area Fund, Humberhead Levels - 2014-15",YO24 1GN,SME,,,,
AHDB,09/09/2014,Invoice,,Triumph Furniture Limited,INV2062958,26000,Fit out of new headquarters building - meeting room chairs,CF48 9YH,,,,,591312387
AHDB,09/09/2014,Invoice,,Triumph Furniture Limited,INV2062957,31777.64,Fit out of new headquarters building - office furniture,CF48 9YH,,,,,591312387
AHDB,09/09/2014,Invoice,,Triumph Furniture Limited,INV2062954,34843.31,Fit out of new headquarters building - office furniture,CF48 9YH,,,,,591312387
AHDB,03/09/2014,Invoice,,F4F Agriculture,13298,42889,"Home-Grown Cereals Authority - Pilot industry eGrain passport - system build, pilot system integration, training - July 2014",CH3 9RJ,,,,,753486701
AHDB,03/09/2014,Invoice,,Miller Industrial Cladding Limited,3420,43500,Facilities - Roofing works on a storage unit,DY5 3UP,,,,,610895440
AHDB,09/09/2014,Invoice,,Marsh Ltd,6387432,43713.69,"Commercial Combined Insurance covers damages to materials, goods,  business interruption and employers/product liability - August 2014-July 2015",ME19 4ER,,,,,
AHDB,09/09/2014,Invoice,,Ladies in Pigs,5580,45000,Promotional activity support for British Pig Executive campaign 'Ladies in Pigs' - approved under Cabinet office Efficiency Reform Group Advertising Spending Controls - August 2014-March 2015,HU15 2LU,,,,,
AHDB,09/09/2014,Invoice,,Triumph Furniture Limited,INV2062958,65828.74,Fit out of new headquarters building - office chairs,CF48 9YH,,,,,591312387
AHDB,09/09/2014,Invoice,,Marsh Ltd,6387428,78625.5,Vehicle Fleet insurance - 01 August 2014-31 July 2015,ME19 4ER,,,,,
EA,26/08/2014,ICT Commodities,HO Commercial Development,CEH,1297490,25078.79,Royalty payment for supply of flood risk assessment information - April-June 2014,SN2 1EU,,,,,
EA,01/08/2014,Construction,AN Capital WiP,White Young Green,1290421,25152.35,Grimsby Docks Flood Risk Management - June 2014,LS6 2WQ,30309584,IMAN002005,,,
EA,19/08/2014,Professional Services Other,NW North-Area Mgr,National Trust,1295860,25230.13,Geophysical survey at Ambleside Roman Fort,BA14 0ZT,,RENW001932,,,
EA,01/08/2014,Construction,SE Capital WiP,JacksonHyder Ltd,1291606,25863.05,Buleys Weir Temporary Works,IP1 5LT,30395082,IMSE100248,,,
EA,19/08/2014,Construction,SW Capital WiP,Dawnus Construction Ltd,1295687,25968.48,Crockway House fish pass works,SA7 0AP,30394342,IMSW002068,,,
EA,21/08/2014,ICT Systems,HO Capital WiP,Qinetiq Ltd,1296246,26249.86,Provision of Services for Reservoirs Act Compliance Enforcement System - June 2014,PO12 2AG,,FCPIM00042L01,,,
EA,26/08/2014,Construction,HO NCPMS National,Halcrow Group Ltd,1297299,26391.62,National construction design and management co-ordinators Programme - South West Region - May-June 2014.,SN4 0QD,30384994,NCPMSCONSW,,,
EA,26/08/2014,Construction,SE Capital WiP,Amco Engineering,1297643,26522.4,Five Oaks works - July 2014,S75 1HT,30343157,IMSE100279,,,
EA,01/08/2014,Professional Services - CCL,SE West Thames - Waterways Ops Mgr 1,Hays,1292086,26747.8,Seasonal temporary River Thames lock keeping staff - July 2014 ,KT3 4JQ,30290308,,,,
EA,14/08/2014,Fleet,HO Fleet Operations,Enterprise Rent A Car,1295084,26760.24,Van rental for the Water Framework Directive - July 2014,TW20 9JY,30348859,,,,
EA,07/08/2014,Professional Services Other,Director of Finance,Shared Services Connected Ltd,1292774,26996.93,Debt Recovery service fees - June 2014,M14 0WN,30413545,,,,
EA,26/08/2014,Construction,AN Nthn - FCRM Ops (W&N),PG Wright,1297835,27000,Completion of works on Mill Streams between A15 road bridge and Maxey Mill.,PE12 9EA,30246241,REAN001895 | FRA01S119,,,
EA,21/08/2014,Office Solutions,NLS Central Functions,City Sprint,1296472,27283.97,National courier service - July 2014,RH1 1YB,30293049,,,,
EA,01/08/2014,Construction,AN Capital WiP,Halcrow Group Ltd,1292062,28326.16,Ipswich flood defence management scheme works - June 2014,SN4 0QD,30071913,IMAN001827,,,
EA,26/08/2014,Fleet,HO Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,1297347,28973.16,"Vehicles Service, Repair and Maintenance Management Fees - July 2014",RG14 2NU,30340333,,,,
EA,26/08/2014,Professional Services Other,NW South-FCRM Ops,Millar Landscapes,1297221,29094,River Mersey - Dredging silt removal at River Mersey.,SK3 8SG,30140395,FRA10S029,,,
EA,05/08/2014,Professional Services Other,E and B Climate Change and Communities,SKM Enviros,1292413,29133.6,Developing and running a process to determine the competence of lead energy auditors,M3 2WJ,30412796,EBPCC13003,,,
EA,26/08/2014,Construction,AN Capital WiP,Birse Civils Ltd,1296972,29153.53,Ipswich flood defence scheme Cable Diversion Infrastructure Works,DN18 5BW,30142670,IMAN001827,,,
EA,12/08/2014,Construction,AN Capital WiP,Jackson Civil Engineering Ltd,1293900,29228.04,Ipswich Flood defence management: Cable Diversion at Marine Shed ,IP1 5LT,30142731,IMAN001218,,,
EA,26/08/2014,Construction,AN Capital WiP,Amalgamated Construction Ltd,1297817,29242.36,Denver Sluice works - July 2014,S71 5HT,30397780,IMAN002713,,,
EA,14/08/2014,Professional Services Other,SW Capital WiP,Fugro Seacore Ltd,1294753,29295.37,Site Investigation Exe Estuary - July 2014,OX10 9RB,30309576,IMSW002045,,,
EA,21/08/2014,Construction,AN Nthn - FCRM Ops (W&N),PG Wright,1296531,29592,Weed cutting - first cut Kettering,PE12 9EA,30246241,FRA01S106 | FRA01S159 | FRA01S113 | FRA01S183 | FRA01S202 | FRA01S101 | FRA01S168 | FRA01S172 | FRA01S162 | FRA01S150 | FRA01S104 | FRA01S115 | REAN001897,,,
EA,21/08/2014,Construction,NW Capital WiP,Esh Construction Ltd,1296256,29751.6,Manley Hall Gauging Station works - July 2014,DH6 5PF,30393946,IMNW000926,,,
EA,14/08/2014,Construction,NE Capital WiP,Jackson Civil Engineering Ltd,1295006,30000,Installation of eel tiles and stainless steel sheets at Buttercrambe Weir - July 2014,IP1 5LT,30393948,IMNE790490,,,
EA,26/08/2014,Professional Services Other,SE Capital WiP,Arun View Inn,1299079,30000,Littlehampton Arun East Bank Scheme,,,,,,
EA,14/08/2014,Construction,NW South-FCRM Ops,DHI Excavations Ltd,1294693,30144,Recycled stone delivered to site and soil removal and disposal,M28 7QH,, | FRA10S029 |  | ,,,
EA,21/08/2014,Professional Services Other,MI East - FCRM,Severn Trent Water,1296254,30490.03,River Derwent agreement - July-September 2014,CV1 2LZ,,,,,
EA,01/08/2014,Construction,Head of Corporate Assets,Gelder Ltd,1290807,30690,Installation of stormwater drainage system and associated works at South Ferriby Depot,LN1 2DS,,HOFAC000014,,,
EA,21/08/2014,Construction,NW Capital WiP,AE Yates Ltd,1296551,31012.37,"Hesketh Outmarsh east managed, Strengthen existing embankment and other associated activities.",BL6 4SB,30393944,IMNW000117,,,
EA,12/08/2014,Construction,AN Capital WiP,HaskoningDHV UK Ltd,1293715,31164.98,Archaeological screening assessment and North Level District Presentation for Whittlesey  Washes,PE3 8DW,30071934,IMAN001790,,,
EA,21/08/2014,Energy and Fuels,HO Business Finance,British Gas Business,1296315,31416.84,Renewable Electricity to sub-100kWh sites in Anglian Region - August 2014,OX4 2JY,30400263,,,,
EA,01/08/2014,Professional Services Other,AN Nthn - FCRM Ops (W&N),ECS Engineering Services Ltd,1286028,31800,Supply and Fit of security doors and weedscreen grill on the Northampton Washlands,NG16 6LE,30312221,FRA01S150,,,
EA,05/08/2014,Construction,SW Capital WiP,Halcrow Group Ltd,1292288,32042.09,Consultancy Services - Exeter Flood Defence Scheme Phase two,SN4 0QD,30384994,IMSW001349,,,
EA,01/08/2014,Construction,SW Capital WiP,Black & Veatch Ltd,1291782,32302.14,River Avon Appraisal works,RH1 1LQ,30072271,IMSW001547,,,
EA,19/08/2014,Professional Services Other,HO Capital WiP,Deltares,1295216,32500,Project Bathing water quality forecasting System - 2014,177 260 ,,EBPLW13087L01,,,
EA,21/08/2014,Energy and Fuels,HO Business Finance,British Gas Business,1296325,32548.62,Renewable Electricity to sub-100kWh Electricity in South East Region,OX4 2JY,30400270,,,,
EA,12/08/2014,Professional Services Other,National Facilities Manager,UK Surfacings Ltd,1294192,33097.8,"Resurfacing of car parks at Rivers House, Abbey wood, London - July 2014",KT20 5LU,,HOFAC000021,,,
EA,01/08/2014,Professional Services Other,NE Capital WiP,Amco Engineering,1291060,33455.92,Electrical and mechanical maintenance of fixed plant systems on Barmby Gate,S75 1HT,,IMNE790465,,,
EA,07/08/2014,Construction,National Accomodation Change Fund,MACE Ltd,1293241,33922.38,Defra Newcastle Accommodation Hub Project - July 2014,EC2M 6XB,,HORES00202,,,
EA,12/08/2014,Clinical and Medical,NLS Operations Starcross,VWR International Ltd,1293606,33960.63,Laboratory Chemical and Consumables,LE17 4XN,30369245,,,,
EA,21/08/2014,Construction,NE Yorkshire - FCRM Ops N&EY,Esh Construction Ltd,1296223,34215.6,Eel passage improvement works at Fleet Drain Outfall (Nun Appleton).,DH6 5PF,,RENE970039,,,
EA,21/08/2014,Professional Services Other,AN Nthn - FCRM Ops (W&N),TN Sneath & Sons,1296469,34284,Spalding area grass bank mowing,PE11 3SN,30151699,REAN001895 | FRA01S217 | FRA01S119,,,
EA,01/08/2014,Construction,AN Capital WiP,Halcrow Group Ltd,1291989,34297.1,Ipswich Flood defence Scheme tidal barrier - June 2014,SN4 0QD,30071913,IMAN001218,,,
EA,05/08/2014,Construction,SE Capital WiP,Atkins Ltd,1292177,34859.02,Thames Barrier Drive Equipment,KT18 5BW,30072266,IMTH001493,,,
EA,14/08/2014,ICT Commodities,HO Commercial Development,Ordnance Survey,1294979,34992.12,Ordnance Survey MasterMap Software Topography Layer - 01 April-30 June 2014,SO16 4XH,,,,,
EA,26/08/2014,Construction,SE SSD - AEM East,Ouse & Adur Rivers Trust,1297601,35000,Completion of phase one of Twineham Weir removal Project to remove Twineham Tilting Gate on the River Adur.,BN8 5EF,,RESE000102,,,
EA,26/08/2014,Professional Services Other,SE Capital WiP,Mills & Reeve,1296347,35875.32,Provision of Legal Services - July 2014,CB2 1PH,30405094,IMSE500060,,,
EA,01/08/2014,Professional Services Other,E and B Land and Water,River Restoration Centre Ltd,1291599,36000,"Advice relating to Flood Risk Management, river restoration, rehabilitation or mitigation schemes",MK43 0AL,30410421,HOOP000186,,,
EA,26/08/2014,Construction,SW Devon & Cornwall - FCRM,BMM JV Ltd,1297667,36000,Asset Recovery Programme (an emergency programme to repair assets damaged in the storms and flooding last year) -  Phase 3a,GU15 3XW,30395760,RESW001323,,,
EA,19/08/2014,ICT Systems,Nat Trading and Reg Services,Scisys UK Ltd,1277803,36011.52,Carbon Reduction Commitment - Warranty release deployed,SN14 0GB,30331349,EBOCC40039L01,,,
EA,26/08/2014,Construction,SW Capital WiP,Dawnus Construction Ltd,1296686,36018.78,Turners Cove sluice repairs,SA7 0AP,30394342,IMSW002115,,,
EA,26/08/2014,Construction,HO NCPMS National,Halcrow Group Ltd,1297288,36553.43,National construction design and management co-ordinators Programme - South East Region - May-June 2014,SN4 0QD,30384994,NCPMSCONSE,,,
EA,19/08/2014,Office Solutions,National Technical Team,Iron Mountain UK Ltd,1295364,36854.42,"Charges for Records Management - Services, Transportation, Supplies and Storage - July 2014",EH54 7DF,30407626,,,,
EA,12/08/2014,ICT Systems,HO Capital WiP,Kineo,1293304,36868.2,Incident Management Academy Project – Learning and Content Management System,BN1 3XF,30381133,FCPIM00212L03,,,
EA,05/08/2014,Professional Services Other,AN Central-FCRM Ops | AN Northern-Waterways Operations Manager,Country Grounds Maintenance Ltd,1291602,37241.42,Mowing and trimming to navigational sites,PE33 9TP,30151696,REAN001907 | FRA02S053 | REAN001911 | FRA02S017 | REAN001910 | WWAN000002,,,
EA,19/08/2014,Construction,NE Capital WiP,Ove Arup & Partners Ltd,1295741,38986.78,Humber Strategy Technical Assistance - June 2014,NE1 3PL,30072279,IMNE000830,,,
