Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Expenditure Description,Supplier Type,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Qualifications and Participation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,28.6
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Finance and Commercial Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,19.21
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Finance and Commercial Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,253.3
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Finance and Commercial Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,9919.49
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Finance and Commercial Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,164.44
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Internal Audit,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,2743.29
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1620.45
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,-15.01
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1613.54
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,429.96
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,382.6
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,2667.7
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,281.86
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,48.01
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,2470.01
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,169.77
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,175.78
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,2002.13
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,145.46
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,285.63
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,149.11
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,936.98
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,3413.25
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,279.09
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel to attend training events,Commercial,4000067071,168.82
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1289.78
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel to attend training events,Commercial,4000067071,137.84
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,373.36
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,76.75
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Professional Services Consultancy,Communications Group,CARLSON WAGONLIT TRAVEL,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",Commercial,4000067071,213.15
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,2469.81
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,187.63
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,3461.01
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,555.13
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Professional Services Consultancy,Education Funding Group,PARTNERSHIPS UK PLC,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something.
For professional advice on the sale of Building Schools for the Future.",Public Sector,4000067090,289651
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,514.28
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,96.46
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1180.6
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,595.05
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,18.04
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1677.94
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Personnel Related,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to subsistence and lodging allowances for official duty,Commercial,4000067071,80.65
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1774.84
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,379.2
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Young People Directorate Support,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,373.48
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,219.06
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,242.56
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,47.82
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,103.76
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,286.31
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,471.08
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Strategy and Performance Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,1214.53
Department for Education,DEPARTMENT FOR EDUCATION,07/12/2011,Travel and Events,Strategy and Performance Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000067071,160.75
Department for Education,TEACHERS PENSION SCHEME,07/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000877,372827.96
Department for Education,TEACHERS PENSION SCHEME,07/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000878,20338292.29
Department for Education,TEACHERS PENSION SCHEME,07/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000879,16651727.37
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Miscellaneous payments to other government departments,People and Change,MINISTRY OF DEFENCE,Low value miscellaneous payments to other government departments,Public Sector,4000067166,632.15
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF CAMDEN,Capital grants paid to Local Authorities,Public Sector,4000067163,389562
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Families Group,NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067169,33947.79
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Families Group,PROJECT FOR ADVOCACY COUNSELLING & EDUCATION,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067175,32051.89
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Families Group,THE CENTRE FOR SEPARATED FAMILIES,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067180,37126.57
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants to Other Government Departments,Qualifications and Participation Group,MINISTRY OF DEFENCE,"Funding to other government departments for DfE's contribution to jointly funded programmes.
Specifically for the Armed Forces Bereavement Scholarship scheme.",Public Sector,4000067166,200000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Professional Services Other,Qualifications and Participation Group,ALPHA PLUS CONSULTANCY LTD,"Costs related to research, survey data analysis that will inform policy decision making.
Specifically for the evaluation of a linked pair of maths GCSEs.",Commercial,4000067140,68388.52
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,ICT,Chief Information Officer Group,CSA WAVERLEY LTD,Costs related to the purchase of IT equipment,Commercial,4000067147,42640.8
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.",Commercial,4000067167,8703.72
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.",Commercial,4000067167,44750.74
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Facilities,Chief Information Officer Group,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,"Costs related to building maintenance and repair, including repainting, replacing flooring, etc.",Commercial,4000067167,3027
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,DfE Programme Costs,School Standards Group,NFER TRADING LIMITED INV T,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000067170,36480
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,DfE Programme Costs,Curriculum and Behaviour Group,TRIBAL EDUCATION LTD CONSULTING,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the management of the National Centre for Excellence in the Teaching of Mathematics",Commercial,4000067183,122338.8
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,DfE Programme Costs,Teachers Group,CAPITA LIFE & PENSIONS SERVICES LTD,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the administration of the Teacher's Pension Scheme.",Commercial,4000067144,117776
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,DfE Programme Costs,Academies Delivery Group,MOUCHELPARKMAN SERVICES LTD,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000067168,48047.3
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,ORMISTON ACADEMIES TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067172,34919.14
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,DENEFIELD SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067151,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,ELY COLLEGE,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067153,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,FASNA,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Commercial,4000067155,30000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,HIGHFIELDS PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067158,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,KATHERINE SEMAR JUNIOR SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067160,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,KNUTSFORD HIGH SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067161,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Academies Delivery Group,STOW ON THE WOLD PRIMARY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067179,25000
Department for Education,DEPARTMENT FOR EDUCATION,08/12/2011,Current Grants,Free School Group,NISHKAM SCHOOL TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067171,30831.15
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants to Arms Length Bodies,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000498,164236.19
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Families Group,BOOK TRUST,"Current grant to third sector organisation / not for profit organisation.
Specifically for the distribution of materials in schools and SureStart centres.",VCS,4000067230,350913
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,ICT,Children Young People and Families Safeguarding Group,CAPGEMINI UK PLC,Costs related to the provision of computer equipment and components (non capital),Commercial,4000067231,102272.4
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Professional Services Consultancy,Children Young People and Families Safeguarding Group,PA CONSULTING GROUP,"Costs related to advisory services including their fees, travel and expenses.
Specifically for support on the electronic Common Assessment Framework transition",Commercial,4000067256,54240
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTINYOU  VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067234,56624
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Children Young People and Families Safeguarding Group,THE PLACE2BE,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067262,50136
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Children Young People and Families Directorate,ENDEAVOUR TRAINING,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000067240,29423.03
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate accounting services,Public Sector,4000067237,56167
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate payroll services,Public Sector,4000067237,129916
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Costs related to advisory shared corporate purchase / procurement services,Public Sector,4000067237,62083
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,ICT,Chief Information Officer Group,CAPGEMINI UK PLC,"Costs related to the provision of IT services.
Specifically for Arms Length Body transition support ",Commercial,4000067231,1266.03
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Miscellaneous Expenditure,Chief Information Officer Group,CAPGEMINI UK PLC,"Capital licences and Intangible work in progress.
Specifically for Arms Length Body transition support ",Commercial,4000067231,229591.73
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Facilities,Chief Information Officer Group,ISS FACILITY SERVICES,Costs related to securing premises including custody guards,Commercial,4000067247,27332.98
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Professional Services Other,Qualifications and Participation Group,ISOS PARTNERSHIP LLP,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically to identify activities and processes used by local areas in preparation for Raising the Participation Age",Commercial,4000067246,36000
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,DfE Programme Costs,Curriculum and Behaviour Group,HM REVENUE AND CUSTOMS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Public Sector,4000067245,37259.46
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,DfE Programme Costs,Teachers Group,CAPITA LIFE & PENSIONS SERVICES LTD,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the administration of the Teacher's Pension Scheme.",Commercial,4000067232,52135
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Academies Delivery Group,ORMISTON ACADEMIES TRUST,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067255,35940.94
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Current Grants,Academies Delivery Group,UNIVERSITY ACADEMY HOLBEACH,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067267,110726
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,,Academies Delivery Group,HERTFORDSHIRE COUNTY COUNCIL,,Public Sector,4000067244,131567.37
Department for Education,DEPARTMENT FOR EDUCATION,09/12/2011,Capital Grants,Education Funding Group,EVEREST COMMUNITY ACADEMY,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector,4000067241,118000
Department for Education,TEACHERS PENSION SCHEME,09/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000880,163857.95
Department for Education,TEACHERS PENSION SCHEME,09/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000881,17750819.65
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Curriculum and Behaviour Group,CITY OF WESTMINSTER,Current grant paid to local authorities,Public Sector,4000067310,167277
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Curriculum and Behaviour Group,THE HOLOCAUST EDUCATIONAL TRUST,"Current grant to third sector organisation / not for profit organisation.
Specifically to support education about the Holocaust.",VCS,4000067340,387500
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Facilities,Chief Information Officer Group,MITIE CLEANING & ENVIRONMENTAL,Contracted Out Cleaning,Commercial,4000067324,46590.7
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,DfE Programme Costs,Teachers Group,CAPITA BUSINESS SERVICES LTD,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000067308,60394.19
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,DfE Programme Costs,Teachers Group,CAPITA BUSINESS SERVICES LTD,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial,4000067309,57659.21
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Professional Services Consultancy,Academies Delivery Group,NABARRO LLP,"Costs related to advisory services including their fees, travel and expenses.
Litigation advice on various capital projects.",Commercial,4000067329,38365.7
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,ALL FAITHS CHILDRENS COMMUNITY SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067301,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,BARNFIELD ACADEMY TRUST LUTON,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067304,50000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,BUSHEY MEADS SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067307,50000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,GILBERT INGLEFIELD MIDDLE SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067315,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,GREENACRE SCHOOL KENT,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067316,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,HERTSWOOD SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067319,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,HINCHLEY WOOD SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067320,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,HOLMER GREEN SENIOR SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067322,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,RUSH COMMON SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067336,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Current Grants,Academies Delivery Group,STANLEY PARK INFANTS SCHOOL,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000067339,25000
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Capital Grants,Education Funding Group,CITY OF WESTMINSTER,Capital grants paid to Local Authorities,Public Sector,4000067310,1518897
Department for Education,DEPARTMENT FOR EDUCATION,12/12/2011,Professional Services Other,Group Legal Advisors Office,TREASURY SOLICITOR TSOL,Costs related to advisory lawyers employed by TSOL working in DfE. Payments for Oct and Nov,Public Sector,4000067341,722944.93
Department for Education,TEACHERS PENSION SCHEME,12/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000882,616617.46
Department for Education,TEACHERS PENSION SCHEME,12/12/2011,Teachers Pensions,Teachers Group,CAPITA TP HSBC,Funding to pay Teachers Pensions,Commercial,1000883,422113.87
Department for Education,TEACHERS PENSION SCHEME,12/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000884,16139884.74
Department for Education,TEACHERS PENSION SCHEME,12/12/2011,Teachers Pensions,Teachers Group,CAPITA TP NATWEST,Funding to pay Teachers Pensions,Commercial,1000885,45858757.29
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial,4000067419,195819
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2011,ICT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,Costs related to the provision of IT costs,Commercial,4000067401,184704.6
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2011,DfE Programme Costs,Families Group,CHILDRENS LEGAL CENTRE,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,VCS,4000067382,41721.82
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2011,Current Grants to Arms Length Bodies,Teachers Group,CHILDRENS WORKFORCE DEVELOPMENT COUNCIL,Funding to arms length bodies for DfE's contribution to fund activity,Public Sector,2000499,10404744
Department for Education,DEPARTMENT FOR EDUCATION,13/12/2011,DfE Programme Costs,Teachers Group,TEACHERS SUPERANN,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically pension related payments to retired teachers where liability has transferred to the Secretary of State",Public Sector,2000502,8644.67
