Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description,  Total  
Ministry of Defence,Ministry of Defence,23/08/2013,Purchase of inventory and services ,Defence Equipment & Support,FENTON PHARMACEUTICALS LTD,NW3 6AL,242248,Consumption of medical dental and veterinary inventory,"310,382.40"
Ministry of Defence,Ministry of Defence,22/08/2013,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,241916,Equipment support non-project costs,"308,746.83"
Ministry of Defence,Ministry of Defence,19/08/2013,Medical treatment & stores and welfare services,Land Forces,GUY'S & ST THOMAS NHS FOUNDATION TRUST,33617,5000101184,Medical health services,"307,359.58"
Ministry of Defence,Ministry of Defence,14/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,EATON AEROSPACE LIMITED,PO14 4QA,238756,Equipment support non-project costs,"305,956.00"
Ministry of Defence,Ministry of Defence,30/08/2013,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,244785,Estate + facilities management services - accommodation inventory + service,"305,725.31"
Ministry of Defence,Ministry of Defence,15/08/2013,Payment of utilities,Defence Infrastructure Organisation ,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,239217,Utilities consumed - gas,"305,417.04"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153988 - 00168030,,"304,185.14"
Ministry of Defence,Ministry of Defence,13/08/2013,International contributions,Head Office & Corporate Services,THE BRITISH COUNCIL,M1 6BB,238583,Defence military assistance fund international subscriptions and other payments,"302,875.00"
Ministry of Defence,Ministry of Defence,20/08/2013,Fuel for military use,Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000019928,Aviation fuel casual uplift consumed,"298,551.13"
Ministry of Defence,Ministry of Defence,30/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,244751,Cost of food purchases,"298,439.84"
Ministry of Defence,Ministry of Defence,23/08/2013,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,242059,Movement of service personnel,"296,912.76"
Ministry of Defence,Ministry of Defence,05/08/2013,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,235787,Estate + facilities management services - accommodation inventory + service,"292,612.36"
Ministry of Defence,Ministry of Defence,12/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,237886,Fiscal asset under construction - capital in year addition,"289,664.88"
Ministry of Defence,Ministry of Defence,07/08/2013,Externally delivered education and training,Land Forces,BABCOCK TRAINING LIMITED,PO6 4PR,178157,External military training ,"285,351.95"
Ministry of Defence,Ministry of Defence,20/08/2013,Payment of utilities,Defence Infrastructure Organisation ,NEW NIEDERRHEIN ENERGIE UND WASSER GMBH,41209,5000101245,Utilities consumed - electricity,"283,257.11"
Ministry of Defence,Ministry of Defence,12/08/2013,Spend on Inventory - General,Defence Equipment & Support,GRID DEFENCE SYSTEMS LIMITED,HP10 0AU,238007,Spend on Inventory - General,"281,160.00"
Ministry of Defence,Ministry of Defence,09/08/2013,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1G 0PU,237453,Cost of ground diesel fuel consumed,"281,066.49"
Ministry of Defence,Ministry of Defence,01/08/2013,Administration,Joint Forces Command,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,NW9 5BA,234323,General administration,"281,056.02"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Local Authority Rates,Infrastructure,WILTSHIRE COUNTY COUNCIL,,V - 9000154356 - 00169616,,"280,245.00"
Ministry of Defence,Ministry of Defence,28/08/2013,Fees for professional services,Defence Infrastructure Organisation ,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,243585,"The provision of independent advice and guidance related to the structure, management and operations of an organisation","277,965.00"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000154341 - 00169657,,"277,944.00"
Ministry of Defence,Ministry of Defence,21/08/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,241061,Property dwellings private finance initiative - service concession arrangement service charge,"277,297.79"
Ministry of Defence,Ministry of Defence,27/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,243132,Estate + facilities management services - accommodation inventory + service,"275,232.45"
Ministry of Defence,Ministry of Defence,20/08/2013,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,240847,Fees for professional services excluding legal fees,"272,067.60"
Ministry of Defence,Ministry of Defence,08/08/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,237248,Works - estate management,"266,502.86"
Ministry of Defence,Defence Science and Technology Laboratory,16/08/2013,Sub Contracted Work,Operations,HAMMERSMITH MEDICINES RESEARCH LIMITED,,V - 9000154181 - 00168576,,"266,477.46"
Ministry of Defence,Ministry of Defence,20/08/2013,Spend on Inventory - General,Defence Equipment & Support,J+S LTD,EX31 1LY,240836,Spend on Inventory - General,"265,987.20"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153988 - 00163624,,"263,531.06"
Ministry of Defence,Ministry of Defence,01/08/2013,IT and communication services,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,234613,Information technology services,"262,144.00"
Ministry of Defence,Ministry of Defence,14/08/2013,IT and communication services,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,238835,Information technology services,"262,144.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,235440,Fees for professional services excluding legal fees,"261,532.13"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153988 - 00164669,,"260,808.17"
Ministry of Defence,Ministry of Defence,22/08/2013,"Adminstration, claims, compensation and awards",Head Office & Corporate Services,CRUSE BEREAVEMENT CARE,TW9 1RG,241640,Cost of claims/compensation and related expenses against MOD,"259,405.00"
Ministry of Defence,Defence Science and Technology Laboratory,16/08/2013,Security Costs,Infrastructure,DEFENCE BUSINESS SERVICES FINANCE,,V - 9000154127 - 00168884,,"258,884.10"
Ministry of Defence,Ministry of Defence,12/08/2013,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING (PORTSMOUTH) LIMITED,EH3 7HL,238278,Property dwellings private finance initiative - service concession arrangement service charge,"258,015.80"
Ministry of Defence,Ministry of Defence,30/08/2013,Externally delivered education and training,Land Forces,BABCOCK TRAINING LIMITED,PO6 4PR,178415,External military training ,"257,932.00"
Ministry of Defence,Ministry of Defence,07/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000100682,Works services - excluding United States forces/NATO + married quarters,"257,860.66"
Ministry of Defence,Ministry of Defence,13/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,238363,Fiscal asset under construction - capital in year addition,"257,038.44"
Ministry of Defence,Ministry of Defence,01/08/2013,Spend on Inventory - General,Defence Equipment & Support,GRID DEFENCE SYSTEMS LIMITED,HP10 0AU,234534,Spend on Inventory - General,"255,600.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000153894 - 00168048,,"255,412.82"
Ministry of Defence,Ministry of Defence,08/08/2013,IT and communication services,Land Forces,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,237218,Information technology services,"255,000.00"
Ministry of Defence,Ministry of Defence,19/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,240583,Estate + facilities management services - accommodation inventory + service,"254,877.33"
Ministry of Defence,Ministry of Defence,08/08/2013,Externally delivered education and training,Land Forces,SERCO LIMITED,RG27 9UY,237188,External military training ,"254,103.86"
Ministry of Defence,Ministry of Defence,30/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,244746,Fiscal asset under construction - capital in year addition,"253,221.20"
Ministry of Defence,Ministry of Defence,05/08/2013,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,235558,Information technology services,"251,926.56"
Ministry of Defence,Ministry of Defence,06/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000100570,Works services - excluding United States forces/NATO + married quarters,"250,002.31"
Ministry of Defence,Ministry of Defence,09/08/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,237393,Fees for professional services excluding legal fees,"249,190.18"
Ministry of Defence,Ministry of Defence,14/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,238733,Fiscal asset under construction - capital in year addition,"248,459.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000153907 - 00166541,,"246,455.00"
Ministry of Defence,Ministry of Defence,16/08/2013,IT and communication services,Land Forces,EXPRESS AUTOMATION LIMITED,,3000009490,Hire charges IT and communications,"246,229.19"
Ministry of Defence,Ministry of Defence,13/08/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,238520,Cost of food purchases,"244,509.86"
Ministry of Defence,Ministry of Defence,02/08/2013,Food and clothing,Defence Infrastructure Organisation ,ELIOR UK PLC,SK11 6ET,235048,Cost of food services,"242,132.76"
Ministry of Defence,Ministry of Defence,29/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,243912,Equipment support project costs,"240,688.05"
Ministry of Defence,Ministry of Defence,01/08/2013,IT and communication services,Defence Equipment & Support,FUJITSU SERVICES LIMITED,WA3 6GD,234517,Computer equipment costing below the capitalisation threshold,"240,000.00"
Ministry of Defence,Ministry of Defence,07/08/2013,Externally delivered education and training,Land Forces,ROYAL ARTILLERY CENTRE FOR PERSONAL DEVELOPMENT,SP4 8QT,236637,External military training ,"236,904.05"
Ministry of Defence,Ministry of Defence,23/08/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,242670,Works - estate management,"236,570.83"
Ministry of Defence,Ministry of Defence,05/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS MARINE LTD,GU14 6YU,235363,Equipment support non-project costs,"235,439.00"
Ministry of Defence,Ministry of Defence,30/08/2013,Design services and minor equipment purchases,Navy Command,NATO,,2095597,Equipment support non-project costs,"234,110.07"
Ministry of Defence,Ministry of Defence,02/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,235193,Fiscal asset under construction - capital in year addition,"233,738.00"
Ministry of Defence,Defence Science and Technology Laboratory,20/08/2013,Energy & Utility,Infrastructure,EDF ENERGY CUSTOMERS PLC,,V - 0000002641 - 00168621,,"233,080.99"
Ministry of Defence,Ministry of Defence,05/08/2013,Purchase of information and communications technology,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,2000019824,IT + communications asset - in year capital addition,"232,145.45"
Ministry of Defence,Ministry of Defence,23/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,COBHAM FLIGHT INSPECTION  LIMITED,DL2 1NJ,242169,Equipment support project costs,"231,509.58"
Ministry of Defence,Ministry of Defence,23/08/2013,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,242059,Movement of service personnel,"230,911.75"
Ministry of Defence,Ministry of Defence,22/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,241728,Works - estate management,"230,175.84"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153988 - 00163623,,"230,084.04"
Ministry of Defence,Defence Science and Technology Laboratory,28/08/2013,Sub Contracted Research,Operations,QINETIQ LIMITED,,V - 9000154318 - 00166339,,"229,500.00"
Ministry of Defence,Ministry of Defence,29/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,243912,Equipment support non-project costs,"228,872.00"
Ministry of Defence,Ministry of Defence,27/08/2013,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1G 0PU,242905,Cost of ground diesel fuel consumed,"226,483.42"
Ministry of Defence,Ministry of Defence,02/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000009447,Equipment support non-project costs,"225,762.23"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Work,Operations,THALES UK LIMITED,,V - 9000153996 - 00160272,,"225,500.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Purchase of inventory and services ,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,235360,Cost of other material consumed,"224,017.28"
Ministry of Defence,Ministry of Defence,21/08/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,241067,Works - estate management,"223,128.90"
Ministry of Defence,Ministry of Defence,05/08/2013,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,GL51 6PN,235880,Capital spares engineering and technical inventory fiscal capital in year addition,"222,445.20"
Ministry of Defence,Ministry of Defence,28/08/2013,Fees for professional services,Defence Infrastructure Organisation ,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,243731,Fees for professional services excluding legal fees,"220,069.45"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,Sub Contracted Research,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000153867 - 00165577,,"219,941.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Fuel for military use,Land Forces,WILHELM HOYER KG,,5000101374,Oil and lubricants consumed excluding those from the inventory system,"218,031.98"
Ministry of Defence,Ministry of Defence,05/08/2013,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000009449,Spend on Inventory - General,"217,859.58"
Ministry of Defence,Ministry of Defence,12/08/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,OX25 1LP,238035,Fiscal asset under construction - capital in year addition,"217,668.72"
Ministry of Defence,Ministry of Defence,29/08/2013,Grants to NDPBs,Head Office & Corporate Services,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,243899,Operating costs grant in aid commonwealth War Graves commission NSE,"212,500.00"
Ministry of Defence,Ministry of Defence,28/08/2013,Spend on Inventory - General,Defence Equipment & Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,243401,Spend on Inventory - General,"211,317.06"
Ministry of Defence,Ministry of Defence,21/08/2013,Fees for professional services,Head Office & Corporate Services,RIGHT MANAGEMENT LIMITED,EC4N 7BE,241411,Fees for professional services excluding legal fees,"210,848.58"
Ministry of Defence,Ministry of Defence,20/08/2013,Design services and minor equipment purchases,Land Forces,BAE SYSTEMS (OPERATIONS) LIMITED,BA22 8UZ,240703,Equipment support non-project costs,"210,272.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000153907 - 00167278,,"210,000.00"
Ministry of Defence,Ministry of Defence,30/08/2013,Fuel for military use,Land Forces,GB OILS LIMITED,WA3 6XG,178428,Cost of ground diesel fuel consumed,"206,974.50"
Ministry of Defence,Ministry of Defence,08/08/2013,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,236739,Movement of service personnel,"206,425.75"
Ministry of Defence,Defence Science and Technology Laboratory,23/08/2013,Materials & Equipment,Operations,UNITED STATES OF AMERICA DEPARTMENT OF D,,V - 0000001039 - 00169442,,"205,747.88"
Ministry of Defence,Ministry of Defence,21/08/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,241158,Fees for professional services excluding legal fees,"205,584.86"
Ministry of Defence,UK Hydrographic Office,05/08/2013,Government Procurement Card,UKHO GPC,Royal Bank of Scotland,TA1 2DN,101706158,Monthly GPC payment,"204,382.49"
Ministry of Defence,Ministry of Defence,27/08/2013,Externally delivered education and training,Land Forces,ROYAL ARTILLERY CENTRE FOR PERSONAL DEVELOPMENT,SP4 8QT,243108,External military training ,"203,737.89"
Ministry of Defence,Ministry of Defence,14/08/2013,Fees for professional services,Air Command,M.P.I. AVIATION LTD,SG13 7DQ,238837,Fees for professional services excluding legal fees,"203,716.91"
Ministry of Defence,Ministry of Defence,14/08/2013,Rent and rates,Head Office & Corporate Services,DEPARTMENT FOR WORK AND PENSIONS,CF14 3UW,238736,Rent buildings - non civil estate property and married quarter property,"203,382.84"
Ministry of Defence,Ministry of Defence,23/08/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,242382,Estate core services charge,"202,706.72"
Ministry of Defence,Ministry of Defence,05/08/2013,Fuel for military use,Land Forces,GB OILS LIMITED,WA3 6XG,178141,Cost of ground diesel fuel consumed,"202,141.14"
Ministry of Defence,Ministry of Defence,14/08/2013,Medical treatment & stores and welfare services,Joint Forces Command,ST JOHN & RED CROSS DEFENCE MEDICAL WELFARE SERVICE,SP11 9AG,239033,Medical health services,"201,483.67"
Ministry of Defence,UK Hydrographic Office,19/08/2013,"Computers, peripherals, software",IMT Programme,Computacenter (UK) Limited,,2000065358,,"201,329.50"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Sub Contracted Work,Operations,AGUSTAWESTLAND LIMITED,,V - 9000154337 - 00169478,,"201,300.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,Energy & Utility,Infrastructure,EDF ENERGY CUSTOMERS PLC,,V - 0000002632 - 00167557,,"200,734.69"
Ministry of Defence,Ministry of Defence,30/08/2013,Purchase of information and communications technology,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9GZ,244848,IT + communications asset - in year capital addition,"200,170.57"
Ministry of Defence,Ministry of Defence,27/08/2013,Design services and minor equipment purchases,Land Forces,HEADQUARTERS ALLIED RAPID REACTION CORPS,GL3 1HW,242909,Equipment support non-project costs,"200,000.00"
Ministry of Defence,Ministry of Defence,19/08/2013,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,240151,Spend on Inventory - General,"198,636.74"
Ministry of Defence,Ministry of Defence,09/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,GU14 0LX,237674,Post design services which are not capitalised,"197,610.80"
Ministry of Defence,Ministry of Defence,28/08/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,243324,Estate core services charge,"195,132.99"
Ministry of Defence,Ministry of Defence,19/08/2013,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,240115,Movement of service personnel,"194,737.22"
Ministry of Defence,Ministry of Defence,28/08/2013,Spend on Inventory - General,Defence Equipment & Support,SURVITEC GROUP LIMITED,CH41 1HQ,243674,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems,"194,635.80"
Ministry of Defence,Ministry of Defence,15/08/2013,Payment of utilities,Land Forces,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,239255,Utilities consumed - electricity,"194,501.86"
Ministry of Defence,Ministry of Defence,30/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,244516,Equipment support non-project costs,"192,140.91"
Ministry of Defence,Ministry of Defence,08/08/2013,IT and communication services,Land Forces,COMPUTACENTER (UK) LIMITED,SE1 8HL,236829,Computer equipment costing below the capitalisation threshold,"192,040.16"
Ministry of Defence,Ministry of Defence,27/08/2013,General services and support,Defence Equipment & Support,SAAB AB,,3000009515,Defence equipment CLS/IOS service charge,"191,117.00"
Ministry of Defence,Ministry of Defence,07/08/2013,Spend on Inventory - General,Defence Equipment & Support,MICHELIN AIRCRAFT TYRE,,5000100688,Spend on Inventory - General,"191,079.30"
Ministry of Defence,Ministry of Defence,23/08/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,242082,Property dwellings private finance initiative - service concession arrangement service charge,"190,243.76"
Ministry of Defence,Ministry of Defence,13/08/2013,Medical treatment & stores and welfare services,Joint Forces Command,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,238595,Medical health services,"188,832.00"
Ministry of Defence,Ministry of Defence,15/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,ITS TESTING SERVICES (UK) LIMITED,GU14 0LX,239337,Equipment support project costs,"187,324.29"
Ministry of Defence,Ministry of Defence,13/08/2013,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,238378,Capital grant in aid for the purchase of non-current assets for the Council of Reserve Forces and Cadet association,"185,672.00"
Ministry of Defence,Ministry of Defence,23/08/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000101335,Works services - excluding United States forces/NATO + married quarters,"184,378.06"
Ministry of Defence,Ministry of Defence,16/08/2013,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,239640,Cost of food services,"183,791.40"
Ministry of Defence,Ministry of Defence,29/08/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,244277,Fiscal asset under construction - capital in year addition,"183,531.08"
Ministry of Defence,Ministry of Defence,22/08/2013,Property leases,Defence Infrastructure Organisation ,THE RIVERSIDE GROUP LIMITED,L24 8RF,241967,Property dwellings private finance initiative - service concession arrangement service charge,"183,375.14"
Ministry of Defence,Ministry of Defence,14/08/2013,Fees for professional services,Head Office & Corporate Services,IBM UNITED KINGDOM LIMITED,PO6 3AE,238807,Fees for professional services excluding legal fees,"183,292.00"
Ministry of Defence,Ministry of Defence,16/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,GU11 2PP,178290,Estate + facilities management services - accommodation inventory + service,"183,274.39"
Ministry of Defence,Ministry of Defence,28/08/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,GU11 2PP,243640,Estate + facilities management services - accommodation inventory + service,"183,274.39"
Ministry of Defence,Ministry of Defence,08/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,KPMG LLP,WD17 1DE,236997,Equipment support non-project costs,"180,334.00"
Ministry of Defence,Ministry of Defence,05/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,AT ENGINE CONTROLS LTD,M28 2QB,235345,Equipment support non-project costs,"180,092.00"
Ministry of Defence,Defence Science and Technology Laboratory,30/08/2013,Sub Contracted Research,Operations,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000154347 - 00168471,,"180,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/08/2013,Sub Contracted Research,Operations,QINETIQ LIMITED,,V - 9000154036 - 00167918,,"178,775.00"
Ministry of Defence,Ministry of Defence,28/08/2013,Estate management,Defence Infrastructure Organisation ,ELIOR UK PLC,SK11 6ET,243366,Estate + facilities management services - accommodation inventory + service,"177,940.65"
Ministry of Defence,Ministry of Defence,08/08/2013,IT and communication services,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,236758,Information technology services,"177,894.00"
Ministry of Defence,Ministry of Defence,06/08/2013,Design services and minor equipment purchases,Head Office & Corporate Services,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,236001,Equipment support project costs,"175,118.00"
Ministry of Defence,Defence Science and Technology Laboratory,23/08/2013,Sub Contracted Research,Operations,ATLAS ELEKTRONIK UK LIMITED,,V - 9000154263 - 00168426,,"175,000.00"
Ministry of Defence,Ministry of Defence,07/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,236619,Equipment support non-project costs,"173,324.25"
Ministry of Defence,Ministry of Defence,30/08/2013,Food and clothing,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,244634,Cost of food services,"172,950.48"
Ministry of Defence,Defence Science and Technology Laboratory,16/08/2013,Security Costs,Infrastructure,DEFENCE BUSINESS SERVICES FINANCE,,V - 9000154127 - 00168885,,"172,286.04"
Ministry of Defence,Ministry of Defence,21/08/2013,Externally delivered education and training,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,241069,External military training ,"171,919.00"
Ministry of Defence,Ministry of Defence,08/08/2013,Externally delivered education and training,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,NN17 1NN,237242,External military training ,"169,342.90"
Ministry of Defence,Ministry of Defence,07/08/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS MARINE LTD,GU14 6YU,236375,Single use military equipment asset under construction - capital in year addition,"169,077.60"
Ministry of Defence,Ministry of Defence,06/08/2013,Design services and minor equipment purchases,Defence Equipment & Support,SELEX ES LTD,SS14 3EL,236244,Equipment support non-project costs,"168,558.25"
Ministry of Defence,Ministry of Defence,08/08/2013,Externally delivered education and training,Defence Infrastructure Organisation ,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,236825,External military training ,"168,437.00"
Ministry of Defence,Ministry of Defence,28/08/2013,Food and clothing,Air Command,ELIOR UK PLC,SK11 6ET,243366,Cost of food services,"167,422.15"
Ministry of Defence,Ministry of Defence,28/08/2013,Design services and minor equipment purchases,Navy Command,NATO,,2000019973,Equipment support non-project costs,"166,491.56"
Ministry of Defence,Ministry of Defence,05/08/2013,Property leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,235502,Property dwellings hire charge,"165,865.96"
Ministry of Defence,Ministry of Defence,30/08/2013,Spend on Inventory - General,Defence Equipment & Support,AGROPHARM LTD,HP10 8LN,244395,Spend on Inventory - General,"165,731.90"
Ministry of Defence,Ministry of Defence,21/08/2013,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,241058,Estate + facilities management services - accommodation inventory + service,"164,930.33"
Ministry of Defence,Defence Science and Technology Laboratory,28/08/2013,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000154321 - 00165706,,"164,291.11"
Ministry of Defence,Ministry of Defence,22/08/2013,Estate management,Defence Infrastructure Organisation ,QINETIQ LIMITED,GU14 0LX,241880,Estate + facilities management services - accommodation inventory + service,"163,492.50"
Ministry of Defence,Defence Science and Technology Laboratory,02/08/2013,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000153894 - 00168050,,"163,453.41"
Ministry of Defence,Ministry of Defence,16/08/2013,Fuel for military use,Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000019922,Aviation fuel casual uplift consumed,"163,377.60"
