Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,21/05/2010,Fees for professional services,Air Command,M.P.I. AVIATION LTD,637900,60074.28
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,636404,60000
Ministry of Defence,Ministry of Defence,26/05/2010,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,640619,60000
Ministry of Defence,Ministry of Defence,18/05/2010,Development costs for military equipment.,Land Forces,QINETIQ LIMITED,635970,59971.28
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,WINDSOR AND MAIDENHEAD ROYAL BOROUGH COUNCIL,638387,59954.01
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,637178,59908.33
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Repairs & Maintenance,Infrastructure,SERCO LIMITED,V - 9000123284 - 00082200,59844.49
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Programme Office,E2V TECHNOLOGIES (UK) LIMITED,V - 9000122945 - 00078067,59716
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Land Forces,ESSO PETROLEUM COMPANY LIMITED,635678,59433.17
Ministry of Defence,Ministry of Defence,04/05/2010,Externally delivered education and training.,Land Forces,PDM TRAINING & CONSULTANCY  LIMITED,628339,59173
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Defence Estates,TURNER FACILITIES MANAGEMENT LTD,630972,59159.54
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Programme Office,PRANALYTICA INC,V - 0000001102 - 00078630,59100
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Land Forces,CHUBB SECURITY PERSONNEL LIMITED,630268,59017.34
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Air Command,GB OILS LIMITED,630405,58983.77
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Operations,BLASTECH LIMITED,V - 9000122864 - 00078557,58777.8
Ministry of Defence,Ministry of Defence,07/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,630994,58686.86
Ministry of Defence,Ministry of Defence,20/05/2010,Fuel for military use,Air Command,SHELL U.K. OIL PRODUCTS LTD,637401,58263.27
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AEROFLEX HOSE AND ENGINEERING  LIMITED,631030,58100.16
Ministry of Defence,Ministry of Defence,25/05/2010,Fuel for military use,Navy Command,ARVAL UK LTD,639749,57876.16
Ministry of Defence,Ministry of Defence,19/05/2010,Medical treatment & stores and welfare services.,Central TLB,QUEEN ELIZABETHS FOUNDATION FOR DISABLED PEOPLE,636687,57832.42
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,TERBERG DTS (UK) LIMITED,631697,57817
Ministry of Defence,Ministry of Defence,06/05/2010,Fees for professional services,Land Forces,LGC LTD,629608,57386.64
Ministry of Defence,Ministry of Defence,11/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,632400,57180.66
Ministry of Defence,Defence Support Group,12/05/2010,IT Telecoms,Corporate,BRITISH TELECOMMUNIC,424127,57087.04
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Repairs & Maintenance,Infrastructure,SERCO LIMITED,V - 9000123102 - 00081654,56995.15
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,631113,56850.31
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Air Command,WYG MANAGEMENT SERVICES LIMITED,635467,56755.48
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,German Construction Authority,ELJB000594,56724.46
Ministry of Defence,Ministry of Defence,11/05/2010,IT and communication services,Defence Equipment & Support,THE SALAMANDER ORGANIZATION LIMITED,632364,56602.5
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,SOUTH SOMERSET DISTRICT COUNCIL,638237,56420.78
Ministry of Defence,Ministry of Defence,27/05/2010,Rent and rates,Land Forces,Cycads Properties Ltd,Pv 239,56240.36
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Central TLB,BOOTS UK LTD,636967,56135.52
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,SHEPWAY DISTRICT COUNCIL,638210,56093.29
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,633879,56000.36
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Air Command,TAMDOWN REGENERATION LIMITED,629945,55700
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Local Authority Rates,Infrastructure,SEVENOAKS DISTRICT COUNCIL,V - 9000122821 - 00080747,55476
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Repairs & Maintenance,Infrastructure,SERCO LIMITED,V - 9000123102 - 00081453,55469.03
Ministry of Defence,Ministry of Defence,12/05/2010,Food and clothing,Land Forces,ARAMARK LTD,632469,55202.16
Ministry of Defence,Ministry of Defence,07/05/2010,Food and clothing,Air Command,ARAMARK LTD,630127,55201.72
Ministry of Defence,Ministry of Defence,12/05/2010,Rent and rates,Central TLB,SKYPARK UNIT TRUST,633066,55055.43
Ministry of Defence,Ministry of Defence,17/05/2010,Fuel for military use,Air Command,CEPSA GIBRALTAR LTD,3000004210,55027.76
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,V - 9000122740 - 00080571,55000
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Operations,RISKAWARE LIMITED,V - 9000122806 - 00080133,54972.88
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Land Forces,THE TREASURY SOLICITOR,635417,54804.66
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,RJD TECHNOLOGY LIMITED,V - 9000123089 - 00075898,54667.5
Ministry of Defence,Ministry of Defence,27/05/2010,Insurance,Central TLB,AXA CORPORATE SOLUTIONS SERVICES UK LTD,641263,54623.71
Ministry of Defence,Ministry of Defence,25/05/2010,Fuel for military use,Central TLB,ARVAL UK LTD,639749,54477.29
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,IT Hardware,Operations,DRIVEN TECHNOLOGIES INC,V - 0000000413 - 00082383,54340.71
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Defence Equipment & Support,ESSO PETROLEUM COMPANY LIMITED,640679,54239.74
Ministry of Defence,Ministry of Defence,14/05/2010,Externally delivered education and training.,Land Forces,WBL SERVICES LIMITED,634704,54100.22
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,EAST HAMPSHIRE DISTRICT COUNCIL,637759,53978.15
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,SALT SEPARATION SERVICES LIMITED,631595,53946.57
Ministry of Defence,Ministry of Defence,12/05/2010,Fuel for military use,Navy Command,ARVAL UK LTD,632471,53822.59
Ministry of Defence,Met Office,19/05/2010,08 Software Licences,Science And Technology,Esri (Uk) Ltd,292979,53716.27
Ministry of Defence,Ministry of Defence,27/05/2010,Fuel for military use,Land Forces,R.H. Devani Ltd,Pv 262,53656.89
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Land Forces,TRUSTEES OF THE MICHAEL J FIELD SIPPS P & B RACKIND TRUST ACCT,640368,53609.38
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Programme Office,QINETIQ LIMITED,V - 9000123034 - 00078036,53448.02
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,KASHKET & PARTNERS LIMITED,629591,53359.89
Ministry of Defence,Defence Support Group,19/05/2010,Electricity,Businesss Stream 1,Scottish Hydro- Electric,10113596,53282.68
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,630283,53243.93
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Repairs & Maintenance,Infrastructure,SERCO LIMITED,V - 9000123102 - 00081638,53072
Ministry of Defence,Ministry of Defence,19/05/2010,Fuel for military use,Air Command,WORLD FUEL SERVICES EUROPE  LTD.,2000008266,53011.91
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,629404,52950.65
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,641829,52936.03
Ministry of Defence,Ministry of Defence,25/05/2010,Fees for professional services,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,640052,52597
Ministry of Defence,Ministry of Defence,17/05/2010,Rent and rates,Defence Estates,HUNTINGDONSHIRE DISTRICT COUNCIL,635007,52563.26
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,HUNTINGDONSHIRE DISTRICT COUNCIL,637840,52563.26
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,IT Hardware,Operations,IMPACT MARCOM LIMITED,V - 9000123154 - 00078323,52558
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Air Command,CARILLION (AMBS) LIMITED,631118,52193.82
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Land Forces,BOWLES SECURITY SERVICES (UK)  LIMITED,638459,52070.4
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Central TLB,DELOITTE LLP,637734,51906.38
Ministry of Defence,Ministry of Defence,14/05/2010,Payment of utilities,Defence Estates,SSE ENERGY SUPPLY LIMITED,634610,51840.56
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Publications/Subscriptions,Infrastructure,BARCLAYCARD,G - 9000123135 - 00082571,51821.81
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Land Forces,BAMFORDS TRUST PLC,639783,51773.44
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Defence Estates,FACILITY CARE AG,5000035042,51753.94
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of buildings and military equipment ,Defence Estates,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,642030,51640.85
Ministry of Defence,Defence Support Group,05/05/2010,IT Software,Corporate,CAPGEMINI,422693,51584.12
Ministry of Defence,Ministry of Defence,20/05/2010,Payment of utilities,Land Forces,STADTWERKE BIELEFELD GMBH,5000035218,51298.35
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of buildings and military equipment ,Defence Estates,PCG GROUP,632978,51169.55
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Land Forces,CB RICHARD ELLIS LIMITED,639824,50965.63
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of buildings and military equipment ,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,135553,50959
Ministry of Defence,Ministry of Defence,26/05/2010,Estates - Stores/Equipment,Defence Estate - SSG,PIONEER WELDING CO LTD          ,PMT - 027,50915.5
Ministry of Defence,Ministry of Defence,25/05/2010,Medical treatment & stores and welfare services.,Central TLB,QUEEN ELIZABETHS FOUNDATION FOR DISABLED PEOPLE,640225,50900.49
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Defence Estates,TOTAL GAS & POWER LIMITED,638312,50847.1
Ministry of Defence,Ministry of Defence,19/05/2010,Medical treatment & stores and welfare services.,Central TLB,ALLIANCE MEDICAL LIMITED,636164,50517.5
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of buildings and military equipment ,Air Command,MOUCHEL MANAGEMENT CONSULTING LTD,135833,50355.56
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,SOUTH CAMBRIDGESHIRE DISTRICT COUNCIL,638230,50064.2
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Professional Services,Operations,EXCHEM DEFENCE SYSTEMS LIMITED,V - 9000122854 - 00079803,50050
Ministry of Defence,Met Office,05/05/2010,Plant And Equipment,Chief Financial Officer,Ibm United Kingdom Ltd,291622,50000
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,IC CONSULTANTS LIMITED,V - 9000122569 - 00078141,50000
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,LOGICA UK LIMITED,V - 9000122586 - 00080415,50000
Ministry of Defence,Ministry of Defence,20/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,Easy Coach Ltd,Pv 183,49867.32
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Air Command,GB OILS LIMITED,641454,49829.92
Ministry of Defence,Ministry of Defence,05/05/2010,Medical treatment & stores and welfare services.,Air Command,BAE SYSTEMS (OPERATIONS) LIMITED,628572,49826
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,632621,49765.21
Ministry of Defence,Ministry of Defence,25/05/2010,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,640003,49745
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Programme Office,OWLSTONE LIMITED,V - 9000122865 - 00081202,49592
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,PURBECK DISTRICT COUNCIL,638133,49348.7
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,49268.62
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,SYKES GLOBAL SERVICES LTD,629935,49226.98
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,629986,49129.65
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,German Construction Authority,CEFQ000822,49126.96
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Land Forces,SYSTEMS CONSULTANTS SERVICES  LIMITED,635388,48942.81
Ministry of Defence,Ministry of Defence,05/05/2010,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,629100,48930.42
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,633944,48929.94
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,WINCHESTER CITY COUNCIL,638386,48896.82
Ministry of Defence,National Army Museum,11/05/2010,Manned Security monthly charge for April,Bill Payment,S2 SECURITIES LTD,PO1009884,48880.21
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,48826.32
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Land Forces,DEFENCE SUPPORT GROUP  (DSG),633368,48779.36
Ministry of Defence,Ministry of Defence,07/05/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,GBR TECHNOLOGY LIMITED,630407,48599.08
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Land Forces,XMA LTD,634723,48583.13
Ministry of Defence,Ministry of Defence,14/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,BROKMAN BUSREISEN GMBH,5000034944,48521.75
Ministry of Defence,Ministry of Defence,12/05/2010,Fuel for military use,Central TLB,ARVAL UK LTD,632471,48440.19
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Operations,THALES UK LIMITED,V - 9000122754 - 00081196,48382
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,ULTRA ELECTRONICS LIMITED PMES,V - 9000122609 - 00077829,48182
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Facility Management Costs,Infrastructure,GBS RE TREASURY SOLICITOR CLIENT MONIES,S - 9000122933 - 00081210,47995.9
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Land Forces,MITIE CATERING SERVICES LTD,629662,47956.67
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,642596,47898.81
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080398,47898.55
Ministry of Defence,United Kingdom Hydrographic Office,26/05/2010,Raw Materials - Plates,Print & Supply,FUJIFILM UK Ltd,5100077936,47685.87
Ministry of Defence,Ministry of Defence,28/05/2010,Building maintenance and accommodation stores,Air Command,INVIRON LTD,642173,47613.63
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,ST EDMUNDSBURY BOROUGH COUNCIL,638248,47594.83
Ministry of Defence,Ministry of Defence,04/05/2010,Food and clothing,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),5000034284,47304.42
Ministry of Defence,Ministry of Defence,14/05/2010,Rent and rates,Defence Estates,MIDLOTHIAN COUNCIL,634326,46923.8
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of buildings and military equipment ,Navy Command,VT FLAGSHIP LTD,630993,46789.64
Ministry of Defence,Ministry of Defence,17/05/2010,Rent and rates,Defence Estates,PETERBOROUGH CITY COUNCIL,635268,46604.07
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,PETERBOROUGH CITY COUNCIL,638112,46604.07
Ministry of Defence,Ministry of Defence,14/05/2010,Externally delivered education and training.,Land Forces,PDM TRAINING & CONSULTANCY  LIMITED,634504,46545
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Defence Estates,German Construction Authority,GTPR000543,46520.1
Ministry of Defence,Ministry of Defence,27/05/2010,Estate management,Land Forces,HUMBERSIDE AGGREGATES & EXCAVATIONS LIMITED,641485,46498.36
Ministry of Defence,Ministry of Defence,28/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,642062,46469.51
Ministry of Defence,Ministry of Defence,25/05/2010,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,640003,46300
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,FAREHAM BOROUGH COUNCIL,637786,46229.52
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,634735,46071.3
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,ATLAS ELEKTRONIK UK LIMITED,V - 9000122681 - 00080211,46000
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Land Forces,STADTWERKE MUENSTER,5000035671,45831.1
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Land Forces,GOODYEAR DUNLOP TYRES UK LTD,638585,45813.77
Ministry of Defence,Ministry of Defence,05/05/2010,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,AZCOM BUSINESS SOLUTIONS LIMITED,628556,45680
Ministry of Defence,Ministry of Defence,12/05/2010,Externally delivered education and training.,Land Forces,WBL SERVICES LIMITED,633186,45577.58
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,WOKINGHAM DISTRICT COUNCIL,638389,45557.31
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Consumable Materials,Operations,MARACOM LIMITED,V - 9000122866 - 00078950,45510
Ministry of Defence,Ministry of Defence,17/05/2010,Rent and rates,Defence Estates,MEDWAY COUNCIL,635084,45396.09
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,MEDWAY COUNCIL,637914,45396.09
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,IS Development,Operations,HP ENTERPRISE SERVICES DEFENCE &,V - 9000122966 - 00072056,45346.08
Ministry of Defence,Ministry of Defence,19/05/2010,Rent and rates,Land Forces,Sportsman's Arms Hotel,Pv 148,45343.85
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Land Forces,ARAMARK LTD,636920,45340.98
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,629270,45311.9
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,German Construction Authority,FBLB000529,45126.09
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,628508,45019.68
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Materials & Equipment,Operations,SECTION 41 LIMITED,V - 9000122909 - 00080995,45000
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Defence Estates,GVA GRIMLEY LIMITED,636376,44980
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Materials & Equipment,Operations,HHV LIMITED,V - 9000123296 - 00082242,44950
Ministry of Defence,National Museum of the Royal Navy,01/05/2010,GIA payments,National Museum of the Royal Navy,RNSM,453,44936
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Air Command,WIL-LEC ELECTRICAL CONTRACTORS LIMITED,135513,44901.06
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,QINETIQ LIMITED,V - 9000123101 - 00080644,44839
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,44679.24
Ministry of Defence,Ministry of Defence,31/05/2010,Estates - Equipment/Works,Defence Estate - SSG,ALAN DURKAN & SONS              ,PMT - 034,44534.26
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Estates,CORDES & GRAEFE GMBH,5000035380,44497.51
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,CITY OF YORK COUNCIL,637695,44359.51
Ministry of Defence,Ministry of Defence,06/05/2010,Externally delivered education and training.,Land Forces,MAINSTREAM TRAINING LIMITED,629632,44335
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Air Command,Foster Refrigerator,149979,44300.51
Ministry of Defence,Defence Support Group,25/05/2010,Consultancy,Corporate,EQUINITI ICS LTD,426647,44300
Ministry of Defence,Ministry of Defence,11/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,JRA AEROSPACE LTD,632059,44270.24
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,WEST BERKSHIRE DISTRICT COUNCIL,638367,43995.66
Ministry of Defence,Ministry of Defence,17/05/2010,Fees for professional services,Land Forces,TEQUILA LONDON LTD,635396,43940.96
Ministry of Defence,Ministry of Defence,25/05/2010,Fees for professional services,Air Command,M.P.I. AVIATION LTD,640022,43817.39
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080396,43802.68
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK INTERNATIONAL GROUP PLC,630156,43642.08
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,639714,43627.29
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,631094,43323.32
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Central TLB,SERCO LIMITED,636740,43306.47
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Materials & Equipment,Operations,MARKES INTERNATIONAL LIMITED,V - 9000123003 - 00078726,43211
Ministry of Defence,Ministry of Defence,19/05/2010,IT and communication services,Defence Equipment & Support,COKER LOGISTICS SOLUTIONS INC,3000004223,43203.48
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Sub Contracted Work,Operations,QINETIQ LIMITED,V - 9000123227 - 00081631,43200
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Programme Office,QUEEN MARY & WESTFIELD COLLEGE,V - 9000122603 - 00080524,43137.84
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,43003.41
Ministry of Defence,Ministry of Defence,25/05/2010,Fuel for military use,Defence Estates,ARVAL UK LTD,639749,42894.89
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,Minolta Ltd,Pv 222,42824.75
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Land Forces,LANKES ENTSORGUNG UND UMWELTSERVICE GMBH,5000034649,42690.45
Ministry of Defence,Ministry of Defence,12/05/2010,Payments on behalf of Defence Support Group,Central TLB,SSE ENERGY SUPPLY LIMITED,633089,42625.98
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,DETICA LIMITED,V - 9000122588 - 00078461,42399.75
Ministry of Defence,Ministry of Defence,21/05/2010,IT and communication services,Central TLB,VEGA CONSULTING SERVICES LTD,638348,42322.5
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ANIXTER LIMITED,628024,42256.73
Ministry of Defence,Ministry of Defence,06/05/2010,Food and clothing,Air Command,TURNER VIRR & CO. LTD,630003,42251.26
Ministry of Defence,Ministry of Defence,11/05/2010,Research and development,Air Command,QINETIQ LIMITED,632243,42229
Ministry of Defence,Ministry of Defence,31/05/2010,Estates - Equipment/Works,Defence Estate - SSG,SAFETECH SYSTEMS LTD            ,PMT - 036,42099.34
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,DUNLOP AIRCRAFT TYRES LTD,629450,42035.63
Ministry of Defence,Ministry of Defence,18/05/2010,Estates - Equipment/Works,Defence Estate - SSG,BLUE HELIX LTD                  ,PMT - 037,42024.88
Ministry of Defence,Ministry of Defence,20/05/2010,Externally delivered education and training.,Central TLB,RIGHT MANAGEMENT LIMITED,637374,42014.82
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Work,Operations,UNIVERSITY OF KENT,V - 9000122654 - 00079762,41964
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,41923.04
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Defence Estates,GB OILS LIMITED,635693,41846.86
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,629028,41755
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,MULTIPART SOLUTIONS LIMITED,628285,41720
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,SOUTH GLOUCESTERSHIRE COUNCIL,638232,41655.07
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of inventory and services ,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,629527,41635.68
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Air Command,TURNER FACILITIES MANAGEMENT LTD,630972,41600
Ministry of Defence,Ministry of Defence,04/05/2010,"Transportation of personnel, freight and travel expenses",Air Command,CITYSPRINT (UK) LIMITED,628117,41493.97
