Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000061676,244.47,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000061676,100.08,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000061676,1668.34,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000061676,3678.41,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",CARLSON WAGONLIT TRAVEL,4000061676,59.15,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,CHECK,CARLSON WAGONLIT TRAVEL,4000061676,770.86,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,CHECK,CARLSON WAGONLIT TRAVEL,4000061676,450.15,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000061676,269.26,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000061676,832.45,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Finance and Commercial Group,CARLSON WAGONLIT TRAVEL,4000061676,8226.4,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000061676,2118.98,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000061676,82.62,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000061676,1268.21,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000061676,189.3,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000061676,460.45,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,4000061676,173.92,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,1128.09,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000061676,1743.63,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000061676,752.09,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,93.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,102.33,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000061676,937.28,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000061676,1298.34,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000061676,502.78,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Standards Directorate Support Office,CARLSON WAGONLIT TRAVEL,4000061676,123.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,1092.2,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,587.73,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,2017.92,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,47.38,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,364.77,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,122.73,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,74.11,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,365.27,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,493.06,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,52.76,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Analysis and Research,CARLSON WAGONLIT TRAVEL,4000061676,30.91,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Analysis and Research,CARLSON WAGONLIT TRAVEL,4000061676,308.19,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Analysis and Research,CARLSON WAGONLIT TRAVEL,4000061676,22.43,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Analysis and Research,CARLSON WAGONLIT TRAVEL,4000061676,44.92,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,CARLSON WAGONLIT TRAVEL,4000061676,883.01,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,45.97,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,676.91,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,1032.64,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,808.57,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,24.9,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000061676,931.83,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000061676,2107.11,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000061676,249.81,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,288.1,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,312.04,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,80.68,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,453.91,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,93.39,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,47.41,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,36.6,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,47.53,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,5969.71,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Education Strategy and Improvement Group,CARLSON WAGONLIT TRAVEL,4000061676,42.52,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,74.29,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,School Standards Group,CARLSON WAGONLIT TRAVEL,4000061676,52.1,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000061676,132.55,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Curriculum and Behaviour Group,CARLSON WAGONLIT TRAVEL,4000061676,179.06,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,4000061676,313.43,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000061676,187.89,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,308.09,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,132.15,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,4000061676,858.9,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,1526.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,659.93,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,55.24,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,430.31,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,887.35,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Qualifications Strategy and Reform Group,CARLSON WAGONLIT TRAVEL,4000061676,972.87,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Young People Workforce Group,CARLSON WAGONLIT TRAVEL,4000061676,574.94,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Young People Workforce Group,CARLSON WAGONLIT TRAVEL,4000061676,1050.27,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Young People Workforce Group,CARLSON WAGONLIT TRAVEL,4000061676,1008.61,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Young People Workforce Group,CARLSON WAGONLIT TRAVEL,4000061676,244.38,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000061676,56,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000061676,2783.14,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,4000061676,1560.12,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,419.82,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,312.09,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,839.37,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,4000061676,1358.94,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,362.31,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,182.91,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,671.85,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,280.23,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,69.06,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Private Office ,CARLSON WAGONLIT TRAVEL,4000061676,93.82,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Internal Audit,CARLSON WAGONLIT TRAVEL,4000061676,2277.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,22.64,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,275.8,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,1280.6,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,324.13,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,311.56,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,21/09/2011,Travel and Events,Communications Group,CARLSON WAGONLIT TRAVEL,4000061676,385.84,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Families Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,73.04,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,69.31,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,121.84,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,90.73,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,90.73,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,617.41,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Children Young People and Families Safeguarding Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,90.73,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,98.31,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,734.49,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,671.78,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,810.88,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,546.88,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,210.72,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,71.18,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,244.8,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,181.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,63.72,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Finance and Commercial Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,207.52,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Chief Information Officer Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,680.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000061917,241.01,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,4000061917,1052.86,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,CHECK,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,181.46,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Which Group in CYPFD? ,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,373.32,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Finance and Commercial Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,845.59,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Finance and Commercial Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,118.68,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,984.07,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,ALB Reform Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,631.21,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Education Strategy and Improvement Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,582.55,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Education Strategy and Improvement Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,402.01,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,71.18,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,School Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,741.08,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,142.36,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,93.2,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,57.2,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,358.98,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,School Analysis and Research,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,70.72,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,School Analysis and Research,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,63.72,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,807.45,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,School Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,603.02,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Travel and Events,School Standards Group,EXPOTEL HOTEL RESERVATIONS LTD,4000061917,103.76,Costs related to staff travel expenses for official duty,Commercial
