Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,FAC
Ministry of Justice,MoJ HQ,07-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR LANCASHIRE#RB31110764,1139646,"545,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,26-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,POLICE AND CRIME COMMISSIONER FOR SOUTH WALES#RB31,1140692,"500,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR SURREY#RB31110774,1140307,"450,109.64 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR LEICESTERSHIRE#RB31110779,1140312,"398,045.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR WEST MERCIA#RB31110750,1139359,"395,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR AVON AND SOMERSET#RB31110746,1139355,"374,717.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR THAMES VALLEY#RB31110751,1139360,"373,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,05-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR CAMBRIDGESHIRE#RB31110760,1139452,"345,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR NORFOLK#RB31110755,1139364,"315,282.75 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,27-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR NORTHUMBRIA#RB31110772,1140752,"306,405.52 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR NORTH YORKSHIRE#RB31110759,1139368,"303,200.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,11-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,DPCC FUND ACCOUNT#RB31110770,1139832,"299,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR ESSEX#RB31110754,1139363,"276,671.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR NORTH WALES#RB31110756,1139365,"258,450.80 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR SUSSEX#RB31110753,1139362,"250,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,11-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,OFFICE OF PCC FOR SUFFOLK#RB31110769,1139831,"244,842.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR CLEVELAND#RB31110748,1139357,"236,900.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,07-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR NOTTINGHAMSHIRE#RB31110762,25459,"228,175.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,05-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR HERTFORDSHIRE#RB31110761,1139453,"227,500.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR STAFFORDSHIRE#RB31110781,1140314,"220,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR WEST YORKSHIRE#RB31110747,1139356,"200,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,22-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR KENT#RB31110786,1140585,"149,861.14 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR DURHAM#RB31110780,1140313,"142,814.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR HUMBERSIDE#RB31110771,1140305,"137,053.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,20-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR DYFED POWYS#RB31110776,1140309,"121,200.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR WARWICKSHIRE#RB31110749,1139358,"107,373.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR DERBYSHIRE#RB31110758,1139367,"99,500.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR WILTSHIRE#RB31110757,1139366,"73,806.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,26-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR DORSET#RB31110791,1140693,"65,903.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,21-Aug-14 ,223000-Other Expenditure,RB999-JPG - CJRD,THE NOTTINGHAMSHIRE OFFICE OF THE POLICE AND CRIME COMMISSIONER,1140549,"60,361.00 ",Funding of UK Protected Person Service 2013/14,
Ministry of Justice,MoJ HQ,04-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR CHESHIRE#RB31110752,1139361,"57,677.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,22-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR CHESHIRE#RB31110787,1140586,"57,677.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,07-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR LINCOLNSHIRE#RB31110765,1139647,"30,000.00 ",2014/15 Competed Fund Grant Award,
Ministry of Justice,MoJ HQ,22-Aug-14 ,246000-Current Grants,RB999-JPG - CJRD,PCC FOR CHESHIRE#RB31110788,1140587,"25,000.00 ",2014/15 Competed Fund Grant - Joint Award with Merseyside,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"105,900.00 ",Financial Services to support the the TYC programme. ,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"21,180.00 ",Financial Services to support the the TYC programme (VAT),
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"50,044.00 ",Financial Services to support the the TYC programme. ,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"10,008.80 ",Financial Services to support the the TYC programme (VAT). ,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,PINSENT MASONS LLP,1140514,"46,410.00 ",Legal Consultancy for TYC programme,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,PINSENT MASONS LLP,1140514,"45,567.00 ",Legal Consultancy for TYC programme,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"38,184.00 ",Financial Services to support the the TYC programme.,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1139589,"7,636.80 ",Financial Services to support the the TYC programme (VAT).,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1140463,"25,941.00 ",Financial Services to support the the TYC programme. ,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1140463,"5,188.20 ",Financial Services to support the the TYC programme (VAT). ,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1140463,"24,854.00 ",Financial Services to support the the TYC programme. ,
Ministry of Justice,MoJ HQ,21-Aug-14 ,264000-Consultancy,RC999-Criminal Justice Group - OMS,KPMG,1140463,"4,970.80 ",Financial Services to support the the TYC programme (VAT). ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1139791,"1,052,953.44 ",Secure training Centre for young offenders run by Rainsbrook,
Ministry of Justice,MoJ HQ,11-Aug-14 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1139790,"1,017,554.90 ",Secure training Centre for young offenders run by Medway,
Ministry of Justice,MoJ HQ,07-Aug-14 ,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1139616,"708,776.56 ",Secure training Centre for young offenders run by Hassockfield,
Ministry of Justice,MoJ HQ,05-Aug-14 ,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD#KY14820021,4820,"1,100,000.00 ",Monthly Grant in Aid payment to Parole Board (August) ,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,RC999-Criminal Justice Group - OMS,ATOS IT SERVICES UK LTD,1140952,77.34 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,01-Aug-14 ,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,4811,"20,000,000.00 ",Monthly Grant in Aid payment to YJB (August) ,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,51.52 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,69.75 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,282.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,51.52 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,66.86 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1140952,219.64 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MA100-Digital Services Division,ATOS IT SERVICES UK LTD,1140952,847.86 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,MA100-Digital Services Division,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,MA100-Digital Services Division,AUTOMATION LOGIC LTD,1140337,"25,092.24 ",IT support for cloud/web based environment,
Ministry of Justice,MoJ HQ,21-Aug-14 ,265000-IT & Telecommunications,MA100-Digital Services Division,AUTOMATION LOGIC LTD,1140337,"5,018.45 ",IT support for cloud/web based environment,
Ministry of Justice,MoJ HQ,19-Aug-14 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,EDUCATION FUNDING AGENCY#AJ10100630,1140294,"1,912,678.08 ",Steel House Rent for 2014/15 paid by the MoJ on behalf of Free Schools - Department of Education. ,
Ministry of Justice,MoJ HQ,14-Aug-14 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1140009,24.56 ,Steel House: reactive maintenance costs for 2013-14,
Ministry of Justice,MoJ HQ,14-Aug-14 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1140009,"2,339.13 ",Clive House: reactive maintenance costs for 2013-14.,
Ministry of Justice,MoJ HQ,26-Aug-14 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,MITSUBISHI ESTATE LONDON LTD,1140683,"1,030,311.95 ",Clive House Rent for the period 29/09/14 - 24/12/14.  ,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,51.46 ,HQ TFM Contract - Soft Variable Services - Management,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,"132,689.96 ",HQ TFM Contract - Hard Variable Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,"11,605.85 ",HQ TFM Contract - Hard Variable Services - Internal Repair & Maintenance,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,"3,639.22 ",HQ TFM Contract - Soft Variable Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,"38,203.80 ",HQ TFM Contract - Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,"7,640.76 ",HQ TFM Contract - Hard Variable Services - External & Structural Repair & Maintenance,
Ministry of Justice,MoJ HQ,11-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139760,105.76 ,HQ TFM Contract - Hard Variable Services - Grounds Maintenance,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,316.24 ,HQ TFM Contract - Soft Fixed Services - Catering; Vending,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"64,258.12 ",HQ TFM Contract - Soft Fixed Services - Cleaning,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"5,248.30 ",HQ TFM Contract - Soft Fixed Services - Waste Disposal,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"32,430.65 ",HQ TFM Contract - Hard Fixed Services - Management,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"7,465.17 ",HQ TFM Contract - Soft Fixed Services - Management,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"47,612.04 ",HQ TFM Contract - Hard Fixed Services - M&E Repair & Maintenance,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,"12,866.99 ",HQ TFM Contract - Hard Fixed Services - Internal Repair & Maintenance,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,208.67 ,HQ TFM Contract - Hard Fixed Services - Grounds Maintenance,
Ministry of Justice,MoJ HQ,07-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1139472,385.88 ,HQ TFM Contract - Soft Fixed Services - Pest & Vermin Control - Building Operation,
Ministry of Justice,MoJ HQ,18-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1140205,"119,973.88 ",Fixed Soft Services for the MOJ HQ Apr14 - Mar15.                  3.1 Security,
Ministry of Justice,MoJ HQ,18-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1140205,"9,751.65 ",Fixed Soft Services for the MOJ HQ Apr14 - Mar15.                  3.9 Management,
Ministry of Justice,MoJ HQ,18-Aug-14 ,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1140205,"62,602.05 ",Fixed Soft Services for the MOJ HQ Apr14 - Mar15.                  3.1 Security,
Ministry of Justice,MoJ HQ,21-Aug-14 ,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,LIBERATA UK LTD,1140468,"74,996.49 ",Printroom costs for Design/Print/Reprographic services (Non VAT Recoverable),
Ministry of Justice,MoJ HQ,04-Aug-14 ,234000-Profit/Loss on Disposal of Fixed Assets,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1139318,"50,950.00 ",Disposal fee charged in relation to the sale of Ashley House,
Ministry of Justice,MoJ HQ,04-Aug-14 ,234000-Profit/Loss on Disposal of Fixed Assets,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1139318,"10,190.00 ",Disposal fee charged in relation to the sale of Ashley House,
Ministry of Justice,MoJ HQ,08-Aug-14 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,4830,"51,002.40 ","Grenadier House FM fixed monthly fee, 2014-15.",
Ministry of Justice,MoJ HQ,08-Aug-14 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,4830,"10,200.48 ","Grenadier House FM fixed monthly fee, 2014-15.",
Ministry of Justice,MoJ HQ,26-Aug-14 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,KNIGHT FRANK LLP,1140666,7.00 ,Peat House Rent for the period 24/06/14 - 28/09/14.,
Ministry of Justice,MoJ HQ,26-Aug-14 ,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,KNIGHT FRANK LLP,1140666,"6,450.00 ",Peat House Rent for the period 24/06/14 - 28/09/14.,
Ministry of Justice,MoJ HQ,26-Aug-14 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,KNIGHT FRANK LLP,1140666,"15,761.00 ",Peat House Service Charge for the period 24/06/14 - 28/09/14.,
Ministry of Justice,MoJ HQ,26-Aug-14 ,222002-Other Property Costs,NZ406-Strategic Estates Feeder,KNIGHT FRANK LLP,1140666,"3,152.20 ",Peat House Service Charge for the period 24/06/14 - 28/09/14.,
Ministry of Justice,MoJ HQ,21-Aug-14 ,262000-SCA Costs,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1140464,"3,887,821.75 ",102 Petty France Rent for the period 01/07/14 - 30/09/14,
Ministry of Justice,MoJ HQ,11-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1139792,"81,792.59 ",102 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,11-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1139792,61.33 ,102 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,11-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1139792,"16,358.52 ",103 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"67,839.54 ",102 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,223.04 ,102 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"13,567.91 ",103 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"61,978.68 ",104 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"12,395.74 ",105 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"60,487.98 ",106 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,"12,097.60 ",107 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,28-Aug-14 ,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1140812,20.15 ,107 Petty France Electricity supply,
Ministry of Justice,MoJ HQ,14-Aug-14 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1140009,"29,409.85 ",107 Petty France: reactive maintenance costs for 2013-14. BEC = NE130.,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,11.17 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,46.00 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,11.62 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,LIBERATA UK LTD,1139600,"35,302.34 ",Printroom costs,
Ministry of Justice,MoJ HQ,07-Aug-14 ,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,LIBERATA UK LTD,1139600,"7,060.47 ",Printroom costs,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,43.43 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,55.80 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1140952,31.90 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,14-Aug-14 ,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1140002,"1,261,585.35 ",Finance Services Delivery charges for MOJ via Liberata,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1140952,11.17 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ORACLE CORPORATION UK LTD,1139651,-0.01 ,Oracle license extension fees &  Oracle license support costs for period from 20th May 2014,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ORACLE CORPORATION UK LTD,1139651,"3,716,902.12 ",Oracle license extension fees &  Oracle license support costs for period from 20th May 2014,
Ministry of Justice,MoJ HQ,07-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ORACLE CORPORATION UK LTD,1139651,"743,380.42 ",Oracle license extension fees &  Oracle license support costs for period from 20th May 2014,
Ministry of Justice,MoJ HQ,21-Aug-14 ,512000-Intangible GBV - Additions,NX900-MOJ Shared Services,LIBERATA UK LTD,1140469,"135,117.39 ",Activity by Librata on the Project to Merge the current Aramis and Phoenix Oracle platforms during August 2014.,
Ministry of Justice,MoJ HQ,04-Aug-14 ,264000-Consultancy,NX900-MOJ Shared Services,KPMG,1139328,"76,500.00 ",Consultancy advice delivered to the Shared service evolve programme for the transfer to the provision of shared services to a outside service provider,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,NX900-MOJ Shared Services,BOND DICKINSON LLP,1139491,"58,450.92 ",Legal advice delivered to the Shared service evolve programme for the transfer to the provision of shared services to a outside service provider,
Ministry of Justice,MoJ HQ,07-Aug-14 ,264000-Consultancy,NX900-MOJ Shared Services,BOND DICKINSON LLP,1139491,"11,690.18 ",Legal advice delivered to the Shared service evolve programme for the transfer to the provision of shared services to a outside service provider,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1140952,8.51 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1140952,164.00 ,IT peripherals/individual ordered software and equipment,
