EA JAN 2012 - >£25k Payments report ,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
10-Jan-12,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,1028409,75144.07,Engineering Construction Works NCF2 Framework - SE Thames Waterways Chertsey Lock Refurbishment ,IP1 5LT,,30142731,IMTH001556,Project
17-Jan-12,Main Contractors,NE Capital WiP,Esh Construction Ltd,1028502,34846.72,Newsham Burn Culvert Design – install a larger capacity outflow pipe from Newsham Pond  ,DH6 5PF,,30204740,IMNE000113,Project
10-Jan-12,Main Contractors,SE Capital WiP,Interserve Construction Ltd,1028620,51108.13,Interserve Project Services Limited  Southern Recondition Programme - Culvert works,TQ14 0HP,,30142730,IMSO001184,Project
10-Jan-12,Main Contractors,SE Capital WiP,Interserve Construction Ltd,1028671,141106.79,Southern Recondition Programme - phase 2 works on Meon Outfall and Hollowshore Outfall.  ,TQ14 0HP,,30142730,IMSO001184,Project
05-Jan-12,Main Contractors,NW Capital WiP,William Pye Ltd,1028726,35259.60,Debris screen improvements and fencing works at Stannah PS in November,PR3 3BT,,30239798,IMNW000385,Project
10-Jan-12,Main Contractors,SE Capital WiP,Land & Water Services Ltd,1028804,114000.00,Burghfield Mill Weir And Sluices  Operational and Health and Safety improvements and Burghfield Mill weir and sluices.,GU5 9AF,,30134437,IMTH001743,Project
12/01/2012 | 10/01/2012,Main Contractors,SE Capital WiP,SSE Power Distribution,1028951,111455.02,Diversion of 11kV electric cable as part of Medmerry scheme (Selsey to Bracklesham sea defence). ,RG21 8ZD | P09 5DD,,,IMSO001023,Project
10-Jan-12,Main Contractors,AN Capital WiP,Aquatic Control Engineering Ltd,1028954,156648.96,"Manufacture and installation of Siphon Fish Pass at Wissey Sluice, Wretton. ",DN22 0HR,,30203263,IMAN002390,Project
12-Jan-12,Main Contractors,SE West Thames - AEM East,Land & Water Services Ltd,1029877,176442.78,Fobney Island River Restoration  ,GU5 9AF,,30203257,RESE000111,Project
12-Jan-12,Main Contractors,SE West Thames - Ops Delivery,J Breheny Contractors Ltd,1030067,26176.97,Minor Works Contractors Framework - MWFC Breheny Wey and Loddon Vegetation management,IP6 8NH,,30134424,,Project
17-Jan-12,Main Contractors,SW Capital WiP,Team Van Oord,1030373,33951.55,For works by Team Van Oord at Steart Coastal Management Project for early mitigation works. ,RG14 5QS,,30142735,IMSW001389,Project
17-Jan-12,Main Contractors,SW Capital WiP,Team Van Oord,1030375,27547.20,Team Van Oord to carry out additional road repair works (from risk budget) for construction works at Cannington Outfalls (FfA),RG14 5QS,,30142735,IMSW001486,Project
17-Jan-12,Main Contractors,AN Capital WiP,VSL Systems UK Ltd,1030745,64520.71,To complete  Ipswich Tidal Ground Anchor Testing  end of March 2012,LU1 5AT,,,IMAN002340,Project
19-Jan-12,Main Contractors,MI Capital WiP,Amco Engineering,1031031,83758.55,"Reservoir embankment repair, including tar macadam footpath repair/relaying  at Knighton Park Flood storage reservoir ",S75 1HT,,30224312,IMMI001229,Project
19-Jan-12,Main Contractors,NW Capital WiP,CT Construction Ltd,1031572,30718.85,Wellfield Wood Debris Screen Replacement  of a defective manhole with straight through pipework. ,SK23 6AR,,30239770,IMNW000345,Project
17-Jan-12,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1031856,309057.84,Engineering Construction Works NCF2 Framework - Neasham Reservoir Decommissioning ,TQ14 0HP,,30142730,IMNE000893,Project
19-Jan-12,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1032011,76178.88,Engineering Construction Works NCF2 Framework - River Nene Lock Inspecations ,IP1 5LT,,30142731,IMAN001517,Project
19-Jan-12,Main Contractors,NE Capital WiP,Esh Construction Ltd,1032314,36439.43,Newsham Burn Culvert Design – install a larger capacity outflow pipe from Newsham Pond,DH6 5PF,,30204740,IMNE000113,Project
19-Jan-12,Main Contractors,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1032423,40263.94,Install Toe drainage to Edgewarebury and Bury Fram Areas.,IP6 8NH,,,RETH000404,Project
19-Jan-12,Main Contractors,AN Capital WiP,BAM Nuttall Ltd,1032522,105697.70,Manage and build new Operations Delivery Building at Ely Depot (Ref: 24815).,GU15 3XW,,,IMAN002374,Project
19-Jan-12,Main Contractors,AN Northern - Flood Risk,J Breheny Contractors Ltd,1033102,52140.55,Construction of new flood wall at Austen Fen on Louth Canal.,IP6 8NH,,30184785,REAN001457,Project
19-Jan-12,Main Contractors,SE Capital WiP,Volkerstevin Ltd,1033448,88820.51,Engineering Construction Works NCF2 Framework - Thames Barrier Drive Equipment Package 3 Major Works Pilot Trial ,EN11 9BX,,30142737,IMTH001493,Project
19-Jan-12,Main Contractors,SE Capital WiP,Volkerstevin Ltd,1033456,80363.63,Thames Barrier Oil Hydraulics Pk1 - supply of a 500hr duty pumping and associated electrical control unit to act as standby during the trials. ,EN11 9BX,,30142737,IMTH001493,Project
19-Jan-12,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1033484,823330.76,Nottingham Flood alleviation scheme - Attenborough Fringes - Construction of Flood Defences at Attenborough Village,IP1 5LT,,30142731,IMMI000642,Project
19-Jan-12,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1033487,261452.41,Engineering Construction Works NCF2 Framework | Rylands ,IP1 5LT,,30142731,IMMI000642,Project
19-Jan-12,Main Contractors,SE Capital WiP,Interserve Construction Ltd,1033512,184742.52,Engineering Construction Works NCF2 Framework - Construction Contract construction services - NE Area Bridges and Culverts Package 2 ,TQ14 0HP,,30142730,IMTH001448,Project
17-Jan-12,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1033548,384143.24,Ripon Flood Alleviation Scheme (FAS) Phase 2,TQ14 0HP,,30142730,IMNE000541,Project
26-Jan-12,Main Contractors,SE Kent & South London - Ops Delivery,Nomenca Ltd,1033593,74013.02,Minor Works Contractors Framework - Lower Mole Asset Refurbishment Project (December),NG17 2HW,,30134435,RESE500034,Project
19-Jan-12,Main Contractors,SE Kent & South London - Ops Delivery,Nomenca Ltd,1033594,74013.02,Minor Works Contractors Framework - Lower Mole Asset Refurbishment Project (November),NG17 2HW,,30134435,RESE500034,Project
24-Jan-12,Main Contractors,MI Capital WiP,Birch Brothers Kidderminster Ltd,1033679,42471.11,Construction Contract for Broom Flood Alleviation Scheme,DY13 9QB,,30224314,IMMI000954,Project
19-Jan-12,Main Contractors,NW Capital WiP,AE Yates Ltd,1033711,48117.01,Penketh Brook trash screen improvement works.,BL6 4SB,,30238839,IMNW000334,Project
24-Jan-12,Main Contractors,SE Capital WiP,JT Mackley & Co Ltd,1033880,63863.02,For works at Barking Barrier east side ,BN5 9XQ,,30134439,IMTH001590,Project
24-Jan-12,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1034035,48878.00,Engineering Construction Works NCF2 Framework - Ashton Gauging Weir,LE10 3JF,,30142734,IMNW000258,Project
24-Jan-12,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1034072,27104.17,Engineering Construction Works NCF2 Framework Thames Barrier Pier Cranes Replacement -,EN11 9BX,,30142737,IMTH000925,Project
24-Jan-12,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1034174,91903.69,Construction works on the Westgate Culvert (Reach JK) and Reach MN. ,LE10 3JF,,30142734,IMNE000646,Project
24-Jan-12,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1034177,52265.90,Final reconciliation of earthworks quantities on the Westgate Culvert,LE10 3JF,,30142734,IMNE000646,Project
24-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1034242,776136.30,Engineering Construction Works NCF2 Framework - design and build pathfinder project,EN11 9BX,,30142737,IMNW000686,Project
24-Jan-12,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1034252,299839.52,Thames Barrier Perimeter Security Project,EN11 9BX,,30142737,IMTH001544,Project
24-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1034451,64925.16,Engineering Construction Works NCF2 Framework - Harwood Brook ,EN11 9BX,,30142737,IMNW000247,Project
24-Jan-12,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1034454,42647.54,Engineering Construction Works NCF2 Framework - Darwen Culverts Reconditioning ,EN11 9BX,,30142737,IMNW000322,Project
24-Jan-12,Main Contractors,NE Capital WiP,Birse Civils Ltd,1034457,1433969.65,Engineering Construction Works NCF2 Framework - Construction of sea defence at Redcar,DN18 5BW,,30142670,IMNE000524,Project
24-Jan-12,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1034533,204371.22,Engineering Construction Works NCF2 Framework - Construction of Embankment and Pumping Station,LE10 3JF,,30142734,IMMI001039,Project
24-Jan-12,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1034536,316655.16,Upton-on-Severn -  Waterside Construction Works | Engineering Construction Works NCF2 Framework salaries,LE10 3JF,,30142734,IMMI000870,Project
26-Jan-12,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1034683,275615.76,Engineering Construction Works NCF2 Framework - Neasham Reservoir Decommissioning,TQ14 0HP,,30142730,IMNE000893,Project
26-Jan-12,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,1035168,656479.31,Galliford Try construction works,LE10 3JF,,30142734,IMTH000615,Project
24-Jan-12,Main Contractors,WA Capital WiP,Birse Civils Ltd,1035237,71274.07,Engineering Construction Works NCF2 Framework Abergele Flood Alleviation Scheme Oct 2011 to April 2012,DN18 5BW,,40015267,IMWA000537,Project
26-Jan-12,Main Contractors,NE Capital WiP,Esh Construction Ltd,1035325,50985.84,"Replacement of trash screen on Cowbridge Beck, Pennington Close, Billingham. - Health and Safety and sustainability needs",DH6 5PF,,30204740,IMNE640071,Project
26-Jan-12,Main Contractors,MI Capital WiP,Birch Brothers Kidderminster Ltd,1035630,31500.00,"Installation of two tilting weirs and construction of spillway, to reservoir act specification.  Construction of two earth bunds, reinforced with plastic piling. Hurcott Pools SSSI, Kidderminster, Worcs",DY13 9QB,,30224314,IMMI000738,Project
26-Jan-12,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1035927,278382.00,Phase 2 of Ripon Flood Alleviation Scheme  ,TQ14 0HP,,30142730,IMNE000541,Project
26-Jan-12,Main Contractors,SE West Thames - Waterways Ops Mgr 1,J Breheny Contractors Ltd,1036033,36897.22,Minor Works Contractors Framework - Radcot lock access track resurfacing,IP6 8NH,,30134424,WWTH000504,Project
26-Jan-12,Main Contractors,SE Capital WiP,Team Van Oord,1036134,387253.01,"Engineering Construction Works NCF2 Framework - Medmerry Managed Realignment, Main Construction Work with Team Van Oord",RG14 5QS,,30142735,IMSO001023,Project
19-Jan-12,Main Contractors | Construction Service Providers,AN Capital WiP,Team Van Oord,1032813,34811.21,Team Van Oord for additional coat to Pitted Areas Flap Gates 1and2 Tail Sluice Refurbishment - Phase 3 (2011 Works)- ,RG14 5QS,,30142735,IMAN001718,Project
19-Jan-12,Main Contractors | Environmental Services,AN Capital WiP,Broadland Environmental Services Ltd,1032335,231211.72,Broadland flood alleviation project costs | Broadland Flood Alleviation Project PFI costs for the next 12 months,GU15 3XW,,30014973,IMAN000753,Project
26-Jan-12,"Main Contractors | Marine, Coastal & Inland Waterways Services",AN Central-Ops Delivery,BAM Nuttall Ltd,1034745,70865.75,"Minor Watercourse Maintenance Framework. Carryout extra levelling, tree removal and weed raking on the Cut Off Channel between Lakenheath and Eriswell",GU15 3XW,,30255861,REAN001496,Project
10-Jan-12,Maintenance & Support,HO Capital WiP,IBM,1029735,35093.21,Switch to Windows 7,PO6 3AE,,30093883,CIS3302979,Project
03-Jan-12,"Marine, Coastal & Inland Waterways Services",SE Capital WiP,ITT Flygt Ltd,1026451,25330.80,Purchase of telemetry field device(s) and accessories,NG4 2AN,,30196812,RESO000341,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Northern-Ops Delivery,ECS Engineering Services Ltd,1027331,30000.00,Building Support and Maintenance and Repair Services,NG16 6LE,,30231661,REAN001453,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",MI Capital WiP,ECS Engineering Services Ltd,1027332,32896.57,Reactive Maintenance of Mechanical and Electrical  Assets in Midlands region,NG16 6LE,,30312221,IMMI001227,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Northern - Flood Risk,ECS Engineering Services Ltd,1027339,30000.00,Building Support and Maintenance and Repair Services in Anglian region,NG16 6LE,,30231661,REAN001558,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,ECS Engineering Services Ltd,1027340,36600.00,Building Support and Maintenance and Repair Services in Anglian region,NG16 6LE,,30231596,IMAN002275,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Eastern-Ops Delivery (Essex),Jacobs LES Ltd,1027568,30947.47,Building Support and Maintenance and Repair Services in Anglian region,RG41 5TU,,30231597,REAN001613,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Eastern-Ops Delivery (Essex),Jacobs LES Ltd,1027572,52200.00,Building Support and Maintenance and Repair Services in Anglian region,RG41 5TU,,30231597,REAN001608,Administration
03-Jan-12,"Marine, Coastal & Inland Waterways Services","Research, Monitoring and Innovation",CIRIA,1027693,52771.20,Landfill and Contaminated Land at Risk from Coastal Erosion at Horizon House,EC1V 9BP,,,HOEV101103,Project
05-Jan-12,"Marine, Coastal & Inland Waterways Services",NW Ambition Project Manager,Apem Ltd,1028344,58155.04,Additional catchment walkovers NW | Catchment Walkover NW,SK4 4GN,,30181112,RENW001940,project
10-Jan-12,"Marine, Coastal & Inland Waterways Services",WA South West-MEICA,Integral UK Ltd,1028377,51256.09,Maintenance and repair of Mechanical and Electrical Equipment in the Northern Area for a period from 1st April 2011 to 31st March 2012 ,BS32 4SG,,40023791,REWA100003,project
10-Jan-12,"Marine, Coastal & Inland Waterways Services",SE SSD - AEM Monitoring,CSE Servelec Ltd,1028586,30224.40,Servelec MaintainanceE2722N/0603 Telemetry Contract 01/07/11 untill 31/0312 9 months,S21 4HL,,30009217,,project
17-Jan-12,"Marine, Coastal & Inland Waterways Services",NW Ambition Project Manager,Apem Ltd,1030125,68046.00,Additional catchment walkovers NW,SK4 4GN,,30181112,RENW001940,project
17-Jan-12,"Marine, Coastal & Inland Waterways Services",Investment and Funding Manager,Halcrow Group Ltd,1030634,38539.20,LTIS Improvements - Halcrow works to be completed in the area of Strategic Flood Risk Management Framework 2 01/11/11 - 29/03/12,SN4 0QD,,30219914,FCPIF00016B00,project
17-Jan-12,"Marine, Coastal & Inland Waterways Services",SE Capital WiP,Port Of London Authority,1032137,80533.76,Partial reimbursement of Port of London Authority costs   for Charlton Radar Transceivers replacement,DA12 2BG,,,IMTH000608,Administration
19-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Central-Ops Delivery,BAM Nuttall Ltd,1032515,70865.75,Minor Watercourse Maintenance Works Framework - 22946 - Central area Ten Mile Bank Rutting Repairs.,GU15 3XW,,30255861,REAN001495 | REAN001508,project
19-Jan-12,"Marine, Coastal & Inland Waterways Services",NLS Instrumentation,Meteor Communications Europe Ltd,1033214,61499.95,"Meteor Burst Network, Web Data Hosting and XML Link Data Delivery Services 2011./12",AL1 5HT,,30311256,NL00000059,Administration
19-Jan-12,"Marine, Coastal & Inland Waterways Services",SE Capital WiP,Port Of London Authority,1033304,42089.83,Reimbursement of Port of London Authority costs (under section 49 of Thames Barrier and Flood Protection Act 1972) for decommissioning of electronic noticeboards in the Thames Estuary,DA12 2BG,,,IMTH000608,Administration
26-Jan-12,"Marine, Coastal & Inland Waterways Services",SW Wessex-Ops Delivery,Nomenca Ltd,1033363,30414.40,Mechanical and Electrical Frequent Maintenance 2011-2012 ,NG17 2HW,,30165560,RESW001082,
26-Jan-12,"Marine, Coastal & Inland Waterways Services",SW Wessex-Ops Delivery,Nomenca Ltd,1033383,26084.09,Mechanical and Electrical Frequent Maintenance 2011-2012 ,NG17 2HW,,30165560,RESW001082,
19-Jan-12,"Marine, Coastal & Inland Waterways Services",NE Yorkshire Area Ops Delivery,Amco Engineering,1033476,42187.61,Provision of mechanical and electrical maintenance of fixed plant and systems to the south area of the Yorkshire and North East Region,S75 1HT,,30244069,RENE790106,Administration
19-Jan-12,"Marine, Coastal & Inland Waterways Services",NE Capital WiP,Amco Engineering,1033480,36673.96,Provision of mechanical and electrical maintenance of fixed plant and systems to the south area of the Yorkshire and North East Region,S75 1HT,,30244069,IMNE000199,Administration
24-Jan-12,"Marine, Coastal & Inland Waterways Services",MI Central-AEM - 3,Integrated Water Services Ltd,1033668,48296.02,Planned Preventative Electrical Maintenance of Buildings On River Control Structures,WS2 7PD,,30312235,REMI000183,Project
26-Jan-12,"Marine, Coastal & Inland Waterways Services",SW Capital WiP,Capita Symonds Ltd,1034794,29610.64,Supply of flood management consultancy services ,DL1 9HN,,30219911,IMSW001944,Project
26-Jan-12,"Marine, Coastal & Inland Waterways Services",AN Strategic Env Planning Mgr,AMEC Environment & Infrastructure UK Ltd,1036246,31370.78,Hydrogeological Services,NE3 3PX,,30274977,REANWR7116,Project
19-Jan-12,"Marine, Coastal & Inland Waterways Services | Building Repair & Maintenance",SE Kent and South London- Tidal Flood Risk Manager | SE Capital WiP,Newey & Eyre Ltd,1033496,25276.20,"Programmable logic controllers, push buttons, ethernet sockets, cabling, labelling and to include installation ",B1S 1JD,,, | IMSE500030 | ,Administration
17-Jan-12,Marketing,E and B Climate Change and Communities,Blue Marble Research Ltd,1031223,26583.75,Market research for the development of the Climate Adaptation service until 31/03/12,BA3 4QF,,30220204,EBPCC11003,Project
03-Jan-12,Environmental Services,E and B Heads of Business,Association Of Rivers Trusts,1027895,47000.00,EEL PASS PROJECT IMPLEMENTATION - Equipment and staffand management costs for 3x local trust eel projects,PL26 7PE,,,EBPLW11029,Project
03-Jan-12,Environmental Services,MI Planning and Performance,Peak District National Park Authority,1027988,31000.00,Contribution to project to assess  metals and water quality in the Bamford catchment - Moors for the Future 1st Nov 2011 - 31st Jan 2013,DE45 1AE,,,REMI001535,Project
03-Jan-12,Environmental Services,E and B Climate Change and Communities,University Of Oxford,1028030,81199.73,UK Climate Impacts Programme collaborative agreement. ,OX1 2XN,,,EBPCC11003,Project
05-Jan-12,Construction Service Providers,NW Capital WiP,Barton Grange Landscapes,1028431,30834.00,Re-instatement works in connection with the grounds at Bridge End House re the Cockermouth Flooding Emergency Works (04/01/55),PR3 5DR,,,IMNW000272,Project
10-Jan-12,Environmental Services,E and B Climate Change and Communities,Climate Partnership UK CIC,1029041,51000.00,Collaborative agreement with Climate Partnership UK.,GU1 1YA,,,EBPCC11003,Administration
10-Jan-12,Construction Service Providers,NE North East Area Manager,Groundwork North East,1029129,85000.00,Partnership Agreement with Groundwork North East. Project funded for trading estate improvements to stauts of two recieving watercourses.,HL14 7NP,,,RENE960003,Project
12-Jan-12,Environmental Services,E and B Land and Water,Angling Development Board,1030414,50000.00,Project to increase access to local fishing for people of all abilities and backgrounds,NG8 6PE,,,EBPLW11012,Administration
19-Jan-12,Environmental Services,"Research, Monitoring and Innovation",NERC,1032213,30000.00,Environment Agency contribution to the UK Environment Observation Framework 2011/2012,SN2 1EU,,,HOEV101112,Administration
19-Jan-12,Environmental Services,"Research, Monitoring and Innovation",Lancaster University,1033503,45000.00,Project to adapt the EA's patented directional samplers to target air pollutants and sources at sites where we face critical challenges/fines.,LA1 4YW,,,HOEV101101,Administration
24-Jan-12,Environmental Services,SW Wessex-Area Mgr,Wessex Water,1033872,30000.00,Contribution to the Dorset Frome and Piddle Water Framework Directive partnership in conjunction with Wessex Water,BA2 7WW,,,RESW001131,Project
26-Jan-12,Environmental Services,E and B Climate Change and Communities,University Of Oxford,1035250,82925.26,UK Climate Impacts Programme collaborative agreement. ,OX1 2XN,,,EBPCC11003,Project
26-Jan-12,Environmental Services,SE SSD - AEM East,Arun & Rother Rivers Trust,1035317,45000.00,Western Rother Sediment Water Framework Directive Project with the Arun and Rother Rivers Trust 01/12/11 - 31/03/12,GU28 0LF,,,RESE000064,Project
26-Jan-12,Environmental Services,NW North-Area Mgr,Ribble Catchment Conservation Trust,1035832,30000.00,Contract payment to the Ribble Rivers Trust for river restoration work until March 2012,BB7 4QF,,,RENW001925,Project
26-Jan-12,Environmental Services,NW Ambition Project Manager,South Cumbria Rivers Trust,1036304,25441.00,Contribution to Cumbria Invasive Species Project (SCRT) 2011-12.,LA8 8LX,,,RENW001930,Project
26-Jan-12,Environmental Services,WA Wildlife and Environment,Merthyr Tydfil County Borough Council,1036694,38366.73,EA contribution Merthyr Tydfil Wild Fishing Wales Round 2 Habitat and Access Improvements,CF48 2UR,,,REWA000277,Project
26-Jan-12,Operational Services,Data and Information Management,John Wiley & Sons Ltd,1035377,26206.51,Wiley - online library access to 9 Journal databases for 2011/12,PO22 9SA,,,HOEV101104,Administration
05-Jan-12,Purchase,HO Capital WiP,Aquatic Control Engineering Ltd,1028414,60000.00,PURCHASE OF BERKENHEGER 6540 WEEDBOAT FOR KETTERING,DN22 0HR,,30260216,HOFOFRM005,Administration
19-Jan-12,Purchase,SE Capital WiP,Bolina Ltd,1032316,39844.80,Buoy assemblies and associated fittings No.56 ,EX3 0EH,,,IMSE500045,Administration
19-Jan-12,Purchase,HO Capital WiP,Aquatic Control Engineering Ltd,1033563,30000.00,PURCHASE OF BERKENHEGER 6530 WEEDBOAT FOR ELY,DN22 0HR,,30260216,HOFOFRM005,Administration
24-Jan-12,Purchase,SE Capital WiP,Bolina Ltd,1033897,39844.80,Buoy assemblies and associated fittings No.56 all to be completed by end of Feb 12 approx,EX3 0EH,,,IMSE500045,Administration
24-Jan-12,Purchase,HO Capital WiP,AEBI UK Ltd,1033990,91999.20,Operated Embankment Cutter - to EA technical specification 4. (1of 3) - not a duplicate payment,DN22 7HQ,,30261702,HOFOFRM005,Administration
24-Jan-12,Purchase,HO Capital WiP,AEBI UK Ltd,1033993,91999.20,Operated Embankment Cutter - to EA technical specification 4. (2 of 3) - not a duplicate payment,DN22 7HQ,,30261702,HOFOFRM005,Administration
24-Jan-12,Purchase,HO Capital WiP,AEBI UK Ltd,1034031,91999.20,Operated Embankment Cutter - to EA technical specification 4. (3 of 3) - not a duplicate payment,DN22 7HQ,,30261702,HOFOFRM005,Administration
12-Jan-12,Rail,Head Office,Redfern Travel Ltd,1029103,67575.40,Redfern Rail Tickets for staff business April 11 - March 12,BD1 1PL,,30127631,,Administration
24-Jan-12,Rail,Head Office,Redfern Travel Ltd,1034175,302416.23,Redfern Rail Tickets for staff business April 11 - March 12,BD1 1PL,,30127631,,Administration
03-Jan-12,Security,SE Capital WiP,Security Services Group,1025852,26917.24,Replacing the Infra Red intruder beams at King George V flood gate.,SN6 8LA,,30148048,IMTH001252,Administration
24-Jan-12,Security,SE Kent & South London- Tidal Flood Risk Manager,MITIE Security London Ltd,1034182,75084.10,Security Guard Services at Thames Barrier and Associated Sites 16 July 2011 to 13 July 2012,E1W 1XY,,30239724,,Administration
17-Jan-12,Staff Childcare,HR Strategy,Edenred Childcare Vouchers Ltd,1030379,207256.50,"Childcare Assistance Service Charges. This money is reclaimed through Salary Sacrifice from the employee, cost neutral scheme.",SW1V 2RS,,,,Administration
03-Jan-12,Staff Medical Care,Internal Transformation (HSW),Health Management Ltd,1028042,36678.90,Provision of Occupational Health services until end of March 2012 ,BN8 5NN,,,HOHRITA001,administration
03-Jan-12,Staff Medical Care,Internal Transformation (HSW),Health Management Ltd,1028053,40752.00,Provision of Occupational Health services until end of March 2012 ,BN8 5NN,,,HOHRITA001,administration
03-Jan-12,Staff Training & Development,Incident Management Manager,RAB Consultants Ltd,1025598,29864.94,Incident Management Training and Exercise project ,WS13 6QG,,30200828,FCPIM00039B00,administration
19-Jan-12,Staff Training & Development,Incident Management Manager,RAB Consultants Ltd,1032657,32138.72,Incident Management Training and Exercise project ,WS13 6QG,,30200828,FCPIM00039B00,administration
24-Jan-12,Systems Delivery,CI Solutions Delivery Management,Infoterra Ltd,1028735,70977.60,Milestones - Data Sharing INSPIRE Obligation Enhancements,GU14 0NL,,,BBPDM20000L39,Project
19-Jan-12,Systems Delivery,HO Capital WiP,HR Wallingford Ltd,1031426,28800.00,Modelling and Decision Support Framework tool Deployment Support.,OX10 8BA,,,FCPIF00088L01,Project
03-Jan-12,Systems Delivery | Maintenance & Support,CIS Capital WiP,CDC Climat,1027673,30000.00,ETSWAP (Aviation Industry registration tool for EU Emissions Trading Scheme) Module 2,"16 Rue Berthollet 94110 Arcueil, France",,,CIS3309115,Project
03-Jan-12,Systems Delivery | Maintenance & Support,CIS Capital WiP,CDC Climat,1027677,40000.00,ETSWAP  (Aviation Industry registration tool for EU Emissions Trading Scheme) Support costs associated with Module 1 from 17 December 2010 to 31 March 2011 as per the approved ETSWAP Work Order dated 1 July 2010.,"16 Rue Berthollet 94110 Arcueil, France",,,CIS3309115,Project
10-Jan-12,Systems Delivery | Managed/Outsource Services | Hardware | Telecoms | Software,HO Flood Warning Systems | HO Capital WiP | HO Met Office Joint Venture Manager | CI Solutions Delivery Management | CI SD Management MRA | CI ITXpress Business | CI SP MRA | National Accomodation Change Fund | CIS Capital WiP,Capgemini UK Plc,1029673,6981893.24,IT Service Procurement Outsource service charge and work order costs,SW8 2HG,,30259319 | 30259316 | 30282611 | 30304723 | 30295016 | 30259320, | FCPMM00050L03 | HOOP000105 | BBXXX20002L03 | EBCRI11502L01 | CIS111923 |  | CIS3302972 | HORES00053 | HORES00073 |  | CIS330352 | HORES00091 | CIS161238 | HORES00104 |  | HORES00105 | BBPDM20000L13 |  | BBPDM20021L01 | ,Project / Administration
19-Jan-12,Telecoms,HO Flood Warning Systems,MM Teleperformance Ltd,1032631,62477.24,Call centre and managment costs for Floodline ,BS2 8QY ,,30146474,,administration
17-Jan-12,Vehicle Maintenance,HO Marine Monitoring Service,Briggs Marine Contractors Ltd,1023889,26734.06,"Annual Maintenance and Repairs, Adhoc Services and Excessive Wear Items",KY3 9AX ,,30277423,,administration
12-Jan-12,Vehicle Maintenance,HO Fleet Operations,Briggs Marine Contractors Ltd,1030205,198723.79,Boat Maintenance 2011/2012,KY3 9AX ,,30277423,HORES00015,administration
17-Jan-12,Vehicle Maintenance,HO Fleet - EA Wales,Hitachi Capital Commercial Vehicle Services,1033158,31275.52,Commercial Vehicle Maintenance 01.04.11 to 31.3.12,BA14 8QU,,40018959,,administration
24-Jan-12,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1033226,25935.21,Commercial Vehicle Maintenance 2011/2012,BA14 8QU,,30182247,,administration
24-Jan-12,Vehicle Maintenance,HO Fleet Operations,Hitachi Capital Commercial Vehicle Services,1033245,196574.10,Commercial Vehicle Maintenance 2011/2012,BA14 8QU,,30182247,,administration
