Mar 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
Department family,Entity, Date,Expense type,Expense Area,Supplier,Transaction no,Amount
DEFRA,The Environment Agency,10-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in progress,PG Wright,2252053,"93,000.00"
DEFRA,The Environment Agency,22-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2253254,"92,448.01"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Anglian - Construction Work in progress,PGR Construction,2253337,"92,218.16"
DEFRA,The Environment Agency,08-Mar-11,Systems Delivery,Corporate Information Systems   ,CDC Climat,116030,"92,000.00"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,J Breheny Contractors Ltd,2252820,"91,736.69"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Facilities Management & Ops Delivery,Integrated Water Services Ltd,2254417,"91,175.05"
DEFRA,The Environment Agency,24-Mar-11,Forensic & Laboratory Services,National Monitoring,CEFAS,2253541,"90,688.38"
DEFRA,The Environment Agency,03-Mar-11,Engineering Services,Thames - Capital,MAN Diesel Ltd,2251285,"90,595.51"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Volkerstevin Ltd,2253013,"90,200.95"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services","Research, Monitoring and Innovation & Incident Management",HR Wallingford Ltd,2254392,"89,635.20"
DEFRA,The Environment Agency,24-Mar-11,Purchase,HO Capital WiP,John Deere Ltd,2253712,"89,266.49"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Construction Work in Progress,Amco Engineering,2251822,"87,967.56"
DEFRA,The Environment Agency,29-Mar-11,Building Management,Facilities Management,Dover District Council,2254265,"87,216.50"
DEFRA,The Environment Agency,29-Mar-11,Building Management & Main Contractors,Facilities Management & Ops Delivery,East Hertfordshire District Council,2254282,"87,185.34"
DEFRA,The Environment Agency,22-Mar-11,Electricity,Business Finance,British Gas Business,2253116,"87,100.17"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Construction Work in Progress,Team Van Oord,2251764,"86,832.62"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,North East  - Construction Work in Progress,Qualter Hall & Co Ltd,2254642,"86,750.23"
DEFRA,The Environment Agency,03-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2251474,"86,652.00"
DEFRA,The Environment Agency,17-Mar-11,Construction Supplies,Construction Work in Progress,Brett Ltd,2252683,"86,526.96"
DEFRA,The Environment Agency,03-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2034927,"85,277.32"
DEFRA,The Environment Agency,22-Mar-11,Building Management,Anglian - Ops Delivery & Flood Risk,Jacobs LES Ltd,2253255,"85,063.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2254887,"84,767.58"
DEFRA,The Environment Agency,22-Mar-11,Leasing,Anglian - Capital,WR Chapman & Son,2253435,"84,304.20"
DEFRA,The Environment Agency,08-Mar-11,"Marine, Coastal & Inland Waterways Services","Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2251503,"84,129.60"
DEFRA,The Environment Agency,17-Mar-11,Building Management,Thames - South East-Tidal Defence Mgr,Port Of London Authority,2252922,"84,035.66"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2035557,"83,118.67"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Southern & Anglian Various,Dabbrook Services Ltd,2254225,"83,053.98"
DEFRA,The Environment Agency,01-Mar-11,Environmental Services ,Wales - Capital,Neath Port Talbot County Borough Council,2034892,"83,000.00"
DEFRA,The Environment Agency,15-Mar-11,Post & Courier,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2035223,"82,818.00"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Midlands - Construction Work in Progress,Amco Engineering,2253085,"82,808.47"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Wales - Construction work in progress,Dyer & Butler Ltd,2035363,"82,785.62"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Integrated Water Services Ltd,2252816,"82,722.12"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services,Southern & Anglian Various,Wild Trout Trust,2251467,"82,000.00"
DEFRA,The Environment Agency,03-Mar-11,Environmental Materials,Wales - Monitoring,Macartney UK Ltd,2034960,"81,968.40"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,Various - Monitoring,Thermo Fisher Scientific,2254795,"81,938.06"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Thames - Construction Work in Progress,Team Van Oord,2251424,"81,411.52"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,Various - Facilities Management,SPIE Matthew Hall,2254750,"81,344.80"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Construction Work in Progress,Land & Water Services Ltd,2253727,"81,285.43"
DEFRA,The Environment Agency,03-Mar-11,Water & Environmental Services,Midlands Facilities & Area Management,Severn Trent Water,2251397,"80,738.15"
DEFRA,The Environment Agency,17-Mar-11,Building Management,Anglian - Capital ,Dabbrook Services Ltd,2252741,"80,310.84"
DEFRA,The Environment Agency,08-Mar-11,Building Management,Northern - Facilities Management,Berkley Estates London Ltd,2251513,"79,490.00"
DEFRA,The Environment Agency,29-Mar-11,Building Management,National Estates Manager,Leeds City Council,2254477,"79,148.00"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,North West -Ops Delivery,Aquajet GB Ltd,2252195,"78,746.04"
DEFRA,The Environment Agency,15-Mar-11,Pathology,National Labs,Skalar UK Ltd,2252542,"77,994.00"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,ECS Engineering Services Ltd,2253176,"77,598.00"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,National Monitoring,Environmental Scientifics Group,2251924,"76,599.71"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,North East - Capital,YEDL,2252619,"76,582.80"
DEFRA,The Environment Agency,01-Mar-11,Legal Services,Thames - Water Resources,Richard Banwell,115869,"76,422.99"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Southern - Construction Work in Progress,Graham Attrill Civil Engineering Ltd,2253659,"75,799.29"
DEFRA,The Environment Agency,22-Mar-11,Building Management,Facilities Management,PJ Salter,2253344,"75,750.00"
DEFRA,The Environment Agency,29-Mar-11,Purchase,Wales - Capital,Ford Motor Co Ltd,2035550,"75,707.78"
DEFRA,The Environment Agency,22-Mar-11,Construction Supplies,Southern - Construction Work in Progress,Hailsham Roadway Contruction Co Ltd,2253210,"75,600.00"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2035581,"74,750.95"
DEFRA,The Environment Agency,22-Mar-11,Maintenance & Support,National Labs,Starlims Europe Ltd,2253399,"74,493.60"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Anglian - Capital,JW Salmon,2254454,"74,118.00"
DEFRA,The Environment Agency,29-Mar-11,Systems Delivery,Corporate Information Systems   ,CDC Climat,116626,"73,850.75"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,Environment & Business,UK Water Industry Research Ltd,2252125,"73,620.00"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,WA Capital WiP,Jacobs Engineering UK Ltd,2035564,"73,570.94"
DEFRA,The Environment Agency,24-Mar-11,Office Furniture,National Facilities Manager,Kinnarps UK Ltd,2253720,"73,335.33"
DEFRA,The Environment Agency,10-Mar-11,Security,Thames - Tidal Defence Mgr,MITIE Security London Ltd,2252028,"73,062.50"
DEFRA,The Environment Agency,10-Mar-11,Building Repair & Maintenance & Construction Supplies,Regional Facilities & Construction,Floodgate Ltd,2035080,"72,936.00"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2035148,"72,760.51"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,Head Office Resources and Info Mgmt,Adas UK Ltd,2251812,"72,615.12"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,North West - Construction Work in Progress,AE Yates Ltd,2252638,"72,000.00"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Wales - Construction work in progress,Alun Griffiths Contractors Ltd,2035519,"72,000.00"
DEFRA,The Environment Agency,01-Mar-11,Engineering Services,Midlands - Ops Delivery,Allianz Cornhill Engineering,2250681,"71,500.00"
DEFRA,The Environment Agency,08-Mar-11,Construction Service Providers,Construction Work in Progress,Faithful & Gould Ltd,2251593,"71,292.23"
DEFRA,The Environment Agency,03-Mar-11,Gas,Thames South East-Tidal Defence Mgr,British Gas Business,2251075,"71,212.52"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2252943,"71,023.51"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,Hydrex Equipment UK Ltd,2252807,"70,936.43"
DEFRA,The Environment Agency,10-Mar-11,Main Contractors,Southern - Construction Work in Progress,ECS Engineering Services Ltd,2251915,"70,902.00"
DEFRA,The Environment Agency,08-Mar-11,Waste Management Services,National Monitoring,AMEC Nuclear UK Ltd,2251492,"70,527.60"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Flood Risk Management & Monitoring,Serck Controls Ltd,2254707,"70,429.16"
DEFRA,The Environment Agency,15-Mar-11,Fleet Management,Vehicle Incidents,Hitachi Capital Vehicle Solutions Ltd,2252365,"69,986.24"
DEFRA,The Environment Agency,17-Mar-11,Building Repair & Maintenance,"Northern Ops Delivery, Facilities Management & Construction",Boulting Technology,2252682,"69,986.22"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,South West,Kingcombe Aquacare Ltd,2254462,"69,788.99"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Jeremy Benn Associates Ltd,2253258,"69,709.85"
DEFRA,The Environment Agency,08-Mar-11,Building Repair & Maintenance,"Northern Ops Delivery, Facilities Management & Construction",Boulting Technology,2251526,"68,559.97"
DEFRA,The Environment Agency,29-Mar-11,Construction Supplies,Wales,Flood Control International Ltd,2035547,"68,239.20"
DEFRA,The Environment Agency,08-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2251728,"68,168.22"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Construction Work in Progress,AEBI UK Ltd,2252640,"67,716.00"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Construction Work in Progress,Hydrock Consultants Ltd,2252809,"67,563.76"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Wales Capital WiP,Denca Controls Ltd,2035452,"67,330.29"
DEFRA,The Environment Agency,10-Mar-11,Construction Supplies,Anglian - Construction Work in Progress,ArcelorMittal Commercial RPS UK Ltd,2251829,"67,191.96"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,Construction Work in Progress,Haskoning UK Ltd,2252360,"66,712.63"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,Land & Water Services Ltd,2253274,"66,445.86"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Head Office - Capital,Roger Young Land Rover,2253045,"66,249.32"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Midlands & Head Office Geomatics,Longdin & Browning Surveys Ltd,2254499,"66,187.97"
DEFRA,The Environment Agency,22-Mar-11,Construction Service Providers,Construction Work in Progress,Halcrow Group Ltd,2253211,"65,072.13"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Thames - Construction Work in Progress,Ian Farmer Associates,2254405,"64,905.23"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Ove Arup & Partners Ltd,2254596,"64,778.97"
DEFRA,The Environment Agency,15-Mar-11,Construction Supplies,Construction Work in Progress,Hanson Aggregates,2252357,"64,627.67"
DEFRA,The Environment Agency,08-Mar-11,"Marine, Coastal & Inland Waterways Services",South West & Anglian - Flood Management,CSE Servelec Ltd,2251560,"64,408.80"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,Wales,Entec UK Ltd,2035365,"64,300.24"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Construction Work in Progress,Balfour Beatty Civil & Construction,2252211,"63,925.20"
DEFRA,The Environment Agency,15-Mar-11,Specialist Contractors,Corporate Information Systems   ,Sopra Group Ltd,2252545,"63,486.12"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,Land & Water Services Ltd,2252420,"63,265.38"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Monitoring,ITT Flygt Ltd,2254432,"63,219.60"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",Thames - Capital WiP,Port Of London Authority,2253835,"62,831.74"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian Ops Delivery,Burton Brothers,2254144,"61,680.00"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,J Breheny Contractors Ltd,2252391,"61,521.93"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,North East - Construction Work in Progress,Amco Engineering,2252191,"61,435.80"
DEFRA,The Environment Agency,24-Mar-11,Environmental Materials,Various - Environmental Monitoring,East Anglian Electrical Services,2253595,"61,254.00"
DEFRA,The Environment Agency,25-Mar-11,Environmental Services,Environment & Business,Finnish Environment Institute,952370,"61,167.48"
DEFRA,The Environment Agency,15-Mar-11,Building Management,Facilities Management - Northern,Colenso Property Services,2252273,"61,050.00"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,JT Mackley & Co Ltd,2253714,"60,888.05"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,National Environmental Assessment Service & Facilities Management,Gelder Ltd,2254344,"60,719.98"
DEFRA,The Environment Agency,22-Mar-11,Environmental Services,Anglian - Various,Country Grounds Maintenance Ltd,2253153,"60,304.20"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Environment & Business & Construction,RPS Group Plc,2254680,"59,914.78"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers & Environmental Services,Construction Work in Progress & Head Office,Ove Arup & Partners Ltd,2253822,"59,242.04"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Head Office - Capital,Ford Motor Co Ltd,2253035,"59,082.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Midlands - Various,Fairfield Control Systems Ltd,2254317,"58,913.10"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Midlands - Various,Derby City Council,2251144,"58,783.97"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Wales - Capital,Selwood Pumps Ltd,2035497,"58,737.60"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Amco Engineering,2253467,"58,434.60"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,North East - Construction Work in Progress,Tees Rivers Charitable Trust,2254783,"58,000.00"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,"Northern Ops Delivery, Facilities Management & Construction",Boulting Technology,2254122,"57,857.66"
DEFRA,The Environment Agency,15-Mar-11,Main Contractors,Construction Work in Progress,Nomenca Ltd,2252468,"57,775.20"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,Southern ,GeoData Institute,2251603,"57,600.00"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Environmental Monitoring,Hydro Logic Ltd,2252808,"57,591.42"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Wales - Construction work in progress,JU Bowen Construction Ltd,2034957,"57,403.20"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,North East - Ops Delivery,Selby Area Internal Drainage Board,2252094,"57,367.03"
DEFRA,The Environment Agency,17-Mar-11,Purchase,Wales - Capital,Ford Motor Co Ltd,2035260,"57,052.14"
DEFRA,The Environment Agency,15-Mar-11,Industrial,Wales - Capital,Redwood UK,2035205,"56,973.60"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Wales - Construction work in progress,Morrison Construction Ltd,2035398,"56,545.08"
DEFRA,The Environment Agency,08-Mar-11,Building Repair & Maintenance,Anglian - Ops Delivery,CW Engineering Ltd,2251562,"56,334.00"
DEFRA,The Environment Agency,01-Mar-11,Construction Service Providers,Construction Work in Progress,Haskoning UK Ltd,2250809,"56,168.24"
DEFRA,The Environment Agency,01-Mar-11,Environmental Services,Environment & Business,Angling Development Board,2250688,"56,000.00"
DEFRA,The Environment Agency,10-Mar-11,"Construction Service Providers & Marine, Coastal & Inland Waterways",Thames Monitoring & Environment & Business,Meteor Communications Europe Ltd,2252023,"55,684.59"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Hyder Consulting UK Ltd,2254401,"55,572.70"
DEFRA,The Environment Agency,10-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2252156,"55,494.78"
DEFRA,The Environment Agency,08-Mar-11,Maintenance & Support,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,2251745,"55,150.80"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,Construction Work in Progress,Black & Veatch Ltd,2254114,"55,060.34"
DEFRA,The Environment Agency,08-Mar-11,Construction Service Providers,Wales - Construction work in progress,Black & Veatch Ltd,2034990,"54,823.52"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Wales - Construction work in progress,Caldicot & Wentlooge Levels Internal Drainage Board,2035442,"54,477.63"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Anglian - Flood Risk Management,EDI Surveys Ltd,2254293,"54,448.80"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Wales - Construction work in progress,Team Van Oord,2034974,"53,909.60"
DEFRA,The Environment Agency,15-Mar-11,Staff Training & Development,HR Ops (National),Cornwall Council,2252279,"53,878.79"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Wales - Construction work in progress,Dyer & Butler Ltd,2035006,"53,806.19"
DEFRA,The Environment Agency,10-Mar-11,Environmental Services,"Research, Monitoring and Innovation",HR Wallingford Ltd,2251967,"53,796.00"
DEFRA,The Environment Agency,01-Mar-11,Purchase,Head Officce Capital WiP,CNH UK Ltd,2250747,"53,520.00"
DEFRA,The Environment Agency,29-Mar-11,Staff Training & Development,National Capital Programme Manager & Training,Call Safe Services Ltd,2254150,"53,516.95"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Anglian - Flood Risk Management,VSL Systems UK Ltd,2253014,"53,222.69"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Thames & Anglian - Various,EDI Surveys Ltd,2252759,"53,160.00"
DEFRA,The Environment Agency,03-Mar-11,"Marine, Coastal & Inland Waterways Services","Research, Monitoring and Innovation & Facilities",HR Wallingford Ltd,2251220,"52,036.80"
DEFRA,The Environment Agency,03-Mar-11,Environmental Services,Various - Flood Risk,365 Environmental Services Ltd,2251020,"51,901.55"
DEFRA,The Environment Agency,15-Mar-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2252207,"51,710.09"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",SO KES - AEM Monitoring,Serck Controls Ltd,2252963,"51,481.20"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Anglian - Construction Work in Progress,GBM,2253201,"51,360.00"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Wales - Construction work in progress,Black & Veatch Ltd,2035437,"51,143.59"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Northern - Flood Risk & Ops Delivery,Borough of Pendle,2254120,"50,791.45"
DEFRA,The Environment Agency,01-Mar-11,Purchase,Head Office - Capital,Ford Motor Co Ltd,2250789,"50,328.64"
DEFRA,The Environment Agency,29-Mar-11,Building Repair & Maintenance,National Labs and Facilities Management,Cofely Ltd,2254191,"50,200.03"
DEFRA,The Environment Agency,29-Mar-11,Engineering Services,Anglian - Ops Delivery ,Cema Ltd,2254168,"50,050.80"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Anglian - Flood Risk Management,Aylesbury Vale District Council,2253489,"50,000.00"
DEFRA,The Environment Agency,29-Mar-11,Construction Service Providers,South West - Contruction Work in Progress,Barratt Homes,116623,"50,000.00"
DEFRA,The Environment Agency,03-Mar-11,Construction Service Providers,North East Area PACS,Durham County Council,2251151,"50,000.00"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,North East - Monitoring,River Catchment Services Ltd,2253855,"50,000.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services","Facilities, Ops Delivery & Construction",Integral UK Ltd,2035563,"49,848.56"
DEFRA,The Environment Agency,24-Mar-11,Construction Supplies,Anglian - Construction Work in Progress,ArcelorMittal Commercial RPS UK Ltd,2253475,"49,676.15"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Construction Work in Progress,Deangate Ltd,2254242,"49,443.26"
DEFRA,The Environment Agency,24-Mar-11,"Marine, Coastal & Inland Waterways Services",South West - Ops Delivery,Torbay Council,2253916,"49,156.25"
DEFRA,The Environment Agency,17-Mar-11,Specialist Contractors,Corporate Information Systems & Data and Information,Rullion Computer Personnel Ltd,2253046,"49,072.47"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,Midlands,Martin Childs Ltd,2254516,"48,877.50"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Construction Work in Progress,Jacobs Engineering UK Ltd,2035473,"48,666.72"
DEFRA,The Environment Agency,17-Mar-11,Security,National Facilities Manager,Inviron Ltd,2252818,"48,336.04"
DEFRA,The Environment Agency,24-Mar-11,Purchase,Wales - Capital,Mitsubishi Motors,2035478,"48,107.84"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,North East - Various,Cleartrack EVL Ltd,2253555,"48,064.10"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,Construction Work in Progress,JT Mackley & Co Ltd,2252834,"48,060.82"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Wales - Construction work in progress,Amalgamated Construction Ltd,2035520,"48,000.00"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Ops Delivery & Monitoring,Lowther Forestry Group Ltd,2254500,"46,830.96"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,Land & Water Services Ltd,2251260,"46,729.87"
DEFRA,The Environment Agency,29-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2035608,"46,699.20"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Wales - Construction work in progress,Dyer & Butler Ltd,2035540,"46,580.34"
DEFRA,The Environment Agency,08-Mar-11,Environmental Services,North West - Ops Delivery,Nick Edwards Contracts Ltd,2251687,"46,572.00"
DEFRA,The Environment Agency,17-Mar-11,Construction Supplies,North West - Ops Delivery,Wolseley UK Ltd,2253027,"46,423.84"
DEFRA,The Environment Agency,17-Mar-11,Main Contractors,North East - Capital,TI Protective Coatings,2252995,"46,309.92"
DEFRA,The Environment Agency,29-Mar-11,Purchase,Head Office - Capital,Ford Motor Co Ltd,2254326,"46,237.35"
DEFRA,The Environment Agency,29-Mar-11,Environmental Services,Thames - Environmental Monitoring,Chilterns Conservation Board,2254177,"46,000.00"
DEFRA,The Environment Agency,01-Mar-11,Purchase,Thames - Construction Work in Progress,Adsyst Automation Ltd,2250670,"45,998.20"
DEFRA,The Environment Agency,22-Mar-11,Main Contractors,Construction Work in Progress,J Breheny Contractors Ltd,2253252,"45,956.39"
DEFRA,The Environment Agency,15-Mar-11,Environmental Materials,Various - Environmental Monitoring,Hydro Logic Ltd,2035187,"45,859.40"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,North West - Ops Delivery,Congleton Garden Centre Ltd,2252728,"45,764.40"
DEFRA,The Environment Agency,29-Mar-11,Engineering Services,Southern - Ops Delivery & Monitoring,Knowlton & Newman Portsmouth Ltd,2254467,"45,668.10"
DEFRA,The Environment Agency,17-Mar-11,Environmental Materials,Wales - Environmental  Monitoring,Casella Monitor,2035237,"45,660.00"
DEFRA,The Environment Agency,08-Mar-11,Main Contractors,Anglian - Ops Delivery,Upper Witham Internal Drainage Board,2251773,"45,621.78"
DEFRA,The Environment Agency,15-Mar-11,Environmental Materials,"Various - Monitoring, Capital & Ops Delivery",YSI Hydrodata Ltd,2252621,"45,486.00"
DEFRA,The Environment Agency,17-Mar-11,Environmental Services,Various - Flood Risk & Ops Delivery,Aquajet GB Ltd,2252654,"45,430.96"
DEFRA,The Environment Agency,01-Mar-11,Systems Delivery,Corporate Information Systems   ,Scisys UK Ltd,2250957,"45,173.59"
DEFRA,The Environment Agency,22-Mar-11,Technical Consultancy,National Permitting Service,Wardell Armstrong LLP,2253427,"45,115.44"
DEFRA,The Environment Agency,10-Mar-11,Building Management,National Facilities Manager,Bishops Securities Ltd,2251847,"44,700.00"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Facilities Management & Ops Delivery,DMA Maintenance Ltd,2254259,"44,689.60"
DEFRA,The Environment Agency,22-Mar-11,Construction Service Providers,Construction Work in Progress,Cyril Sweett Ltd,116437,"44,608.57"
DEFRA,The Environment Agency,17-Mar-11,Leasing,Vehicle Incidents,Hitachi Capital Vehicle Solutions Ltd,2252801,"44,597.55"
DEFRA,The Environment Agency,03-Mar-11,Building Repair & Maintenance,"Northern Ops Delivery, Facilities Management & Construction",Boulting Technology,2251071,"44,540.43"
DEFRA,The Environment Agency,22-Mar-11,"Marine, Coastal & Inland Waterways Services",Construction Work in Progress,Capita Symonds Ltd,2253129,"44,496.69"
DEFRA,The Environment Agency,29-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Environmental Monitoring,Fishtek Ltd,2254322,"44,460.00"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Thames - Capital,Meredale Ltd,2254527,"44,309.30"
DEFRA,The Environment Agency,24-Mar-11,Construction Service Providers,Construction Work in Progress,Arcadis AYH,2253474,"44,109.56"
DEFRA,The Environment Agency,24-Mar-11,Main Contractors,Construction Work in Progress,Hydrex Equipment UK Ltd,2253681,"43,632.33"
DEFRA,The Environment Agency,17-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Flood Risk,Hyder Consulting UK Ltd,2252806,"43,623.15"
DEFRA,The Environment Agency,24-Mar-11,Environmental Services,Head Office - Capital,SKM Enviros,2253885,"43,587.60"
DEFRA,The Environment Agency,29-Mar-11,Main Contractors,Wales - Construction work in progress,Morrison Construction Ltd,2035578,"43,489.50"
DEFRA,The Environment Agency,15-Mar-11,Electricity,Various Sites,EDF Energy Ltd,2252309,"43,117.27"
DEFRA,The Environment Agency,15-Mar-11,"Marine, Coastal & Inland Waterways Services",Various - Monitoring,ITT Flygt Ltd,2252389,"42,895.06"
DEFRA,The Environment Agency,03-Mar-11,Main Contractors,Construction Work in Progress,Morrison Construction Ltd,2251314,"42,803.21"
DEFRA,The Environment Agency,15-Mar-11,Environmental Services,"Research, Monitoring and Innovation",University Of Hertfordshire,2252588,"42,000.00"
