Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number,,
Department of Health,Department of Health,11/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737587,305383.69,,COI cat 5 - Other services; Partnership Marketing; Change4Life Partnerships Marketing 2011/12 - Ed Pikett 406558,Programme,,,
Department of Health,Department of Health,11/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737597,240144.95,,COI Category One  Advertising; Media Buying: TV Services. Cancer campaign - press costs. COI Contact/Job Number - Peter Sayer/407414. ERG exemption request M00291.,Programme,,,
Department of Health,Department of Health,11/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737598,92925.79,,COI Category One  Advertising; Media Buying: Radio Services. Cancer campaign radio costs.  COI Contact/Job Number - Peter Sayer/407415. ERG exemption request M00291.,Programme,,,
Department of Health,Department of Health,25/11/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737887,30862.56,,COI Category One  Advertising; Media Buying: Radio Services. Lung cancer campaign - radio usage costs. COI Contact/Reference Number  Paula Clarke/408270. ERG exemption request M00291.,Programme,,,
Department of Health,Department of Health,10/11/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737556,37871.04,,COI Category Two  Content and Production; Press Production. DEMENTIA CAMPAIGN NOV 2011 PRESS PROD COSTS. COI Contact/Reference Number  Eira Ellis/407744. ERG exemption reference M00319.,Programme,,,
Department of Health,Department of Health,02/11/2011,Consultancy/Professional Advice,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737364,25308,,COI Category Five  Other Services; Project Management. NHS 111 COI CAT fees. COI Contact/Job Number  Sonia Danner/406673. ERG exemption reference M00298. ,Programme,,,
Department of Health,Department of Health,30/11/2011,Policy Payments,Health Improvement and Protection,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,946949,422139.34,,Reimbursement of 50% of 2011/12 National CEA funding for consultants employed by NHS Blood & Transplant.,Admin,,,
Department of Health,Department of Health,14/11/2011,Recruitment,Health Improvement and Protection,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737622,1596,,"COI, Senior HR Manager role (Pam Whitley) salary recharge from April 2011 - September 2011, contact Eileen Lawrence",Admin,,,
Department of Health,Department of Health,14/11/2011,Contactor/ Staff Subsitution,Health Improvement and Protection,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737622,31920,,PSBC1664 HR Project Manager role (Pam Whitley) 1 October 2011 to 31 March 2012,Admin,,,
Department of Health,Department of Health,29/11/2011,Service charge,Health Improvement and Protection,HOMES AND COMMUNITIES AGENCY (HCA),PUBLIC,NE11 0NA,S0008897,30593.59,,"Rental and service charges for DH East Midlands office accommodation (16 desks + Director's room) at Cumberland Place, July 11 - March 12",Admin,,,
Department of Health,Department of Health,10/11/2011,Outsourcing Contract,Health Improvement and Protection,MULTI RESOURCE MARKETING LTD,SME,LE16 9NR,122328,68888.7,,Multi Resource Marketing Ltd (MRM) - For the services provided on the Healthy Start Reimbursement Unit - September 2011,Admin,,,
Department of Health,Department of Health,17/11/2011,Outsourcing Contract,Health Improvement and Protection,MULTI RESOURCE MARKETING LTD,SME,LE16 9NR,122492,69098.38,,Multi Resource Marketing - For the services provided on the Healthy Start Reimbursement Unit - October 2011,Admin,,,
Department of Health,Department of Health,17/11/2011,Outsourcing Contract,Health Improvement and Protection,VERTEX DATA SCIENCE LTD,LARGE,L34 1PJ,FI0408119,305889.1,,Vertex - For services provided on  Healthy Start Issuing Unit - Cycle 110 - 26th September to 23rd  October 2011,Admin,,,
Department of Health,Department of Health,04/11/2011,Arm Length Bodies-Revenue Subsidy,Health Improvement and Protection,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),PUBLIC,SW8 5NQ,1369614,1000000,,MHRA's Revenue 2011-2012,Admin,,,
Department of Health,Department of Health,02/11/2011,Admin Revenue Grant-in-Aid ENDPBs,Health Improvement and Protection,HUMAN TISSUE AUTHORITY (HTA),PUBLIC,SW1W 9SZ,NL/034,238500,,HTA (DH ALB) Drawdown Revenue for 2011/12 - Contact Patrick Irwin,Admin,,,
Department of Health,Department of Health,29/11/2011,Admin Revenue Grant-in-Aid ENDPBs,Health Improvement and Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,HPA NOV 11 FUNDING,15000000,,Health Protection Agency (HPA) Grant In Aid (GIA) Revenue (Admin) costs 2011/12.,Admin,,,
Department of Health,Department of Health,08/11/2011,Outsourcing Contract,Health Improvement and Protection,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.80E+13,27161,,Electronic Exchange of Social Security information - funding for define phase (various suppliers),Programme,,,
Department of Health,Department of Health,29/11/2011,Outsourcing Contract,Health Improvement and Protection,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.80E+13,27161,,Electronic Exchange of Social Security information - funding for define phase (various suppliers),Programme,,,
Department of Health,Department of Health,29/11/2011,Outsourcing Contract,Health Improvement and Protection,SAPIENT LTD,LARGE,E14 9GE,23539,144062.5,,EESSI Project - Flexible Resource statement of work SOW 105/CR07/PID57714,Programme,,,
Department of Health,Department of Health,07/11/2011,Policy Payments,Health Improvement and Protection,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2885643,200000,,"DH Contribution to the joint funding of the Health,Work and Well- being cross Department and HWWB DU Unit - DWP.",Programme,,,
Department of Health,Department of Health,01/11/2011,Other programme expenditure,Health Improvement and Protection,ANTHONY NOLAN TRUST,VCS,NW3 2NU,11334,155118.89,,Stem Cell Services Improvement funding (AN Project) Contact Colin Pavelin,Programme,,,
Department of Health,Department of Health,01/11/2011,Other programme expenditure,Health Improvement and Protection,ANTHONY NOLAN TRUST,VCS,NW3 2NU,11334,31023.78,,,Programme,,,
Department of Health,Department of Health,30/11/2011,Other programme expenditure,Health Improvement and Protection,ANTHONY NOLAN TRUST,VCS,NW3 2NU,12210,520755.08,,Stem Cell Services Improvement funding (AN Project) Contact Colin Pavelin,Programme,,,
Department of Health,Department of Health,02/11/2011,Utilisation-Hep C,Health Improvement and Protection,CAXTON FOUNDATION,VCS,EN4 9NX,CF-6/2011-12,42900,,The Caxton Foundation's Funding for £2 Million in 2011/12.,Programme,,,
Department of Health,Department of Health,02/11/2011,Other programme expenditure,Health Improvement and Protection,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,100045842,45000,,Antidote Pharmacokinetics to improve the rapid & appropriate administration of antidote therapy following a CBRN incident.,Programme,,,
Department of Health,Department of Health,07/11/2011,Other programme expenditure,Health Improvement and Protection,DEPARTMENT FOR CULTURE MEDIA AND SPORT (DCMS),PUBLIC,SW1Y 5DH,2338,7000000,,"School Games, transfer of funds for School Games organisers to DCMS for period covering 2011-2012.",Programme,,,
Department of Health,Department of Health,04/11/2011,Admin Revenue Grant-in-Aid ENDPBs,Health Improvement and Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,WC1V 7PP,5342732,75750,,"Development of a severe influenza hospital surveillance system (USISS), Piloting of a telephone survey to strengthen community influenza surveillance (CIS) and development of sero-epidemiology surveillance.",Programme,,,
Department of Health,Department of Health,08/11/2011,Other programme expenditure,Health Improvement and Protection,NHS DIRECT NHS TRUST,PUBLIC,MK14 6DY,700882,307018.79,,NHS Direct recharge in 2011/12 for British Telecom NPFS dormancy and contract management costs (existing 5 yr contract),Programme,,,
Department of Health,Department of Health,29/11/2011,Outsourcing Contract,Health Improvement and Protection,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,STAT003812,49999.88,,New Contract Sep 2011 to March 2012 THT Direct HIV information service. Kay Orton  ,Programme,,,
Department of Health,Department of Health,02/11/2011,Outsourcing Contract,Health Improvement and Protection,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 5UX,502151,45250,,"UK Focal Point 2011-12, previous requisition raised 378832 and timed out. Re-submitted for approval - PSBC 639.",Programme,13118,,
Department of Health,Department of Health,23/11/2011,Grants to non profit institutions (CUR),Health Improvement and Protection,ACTION ON SMOKING AND HEALTH,VCS,E1 6JE,ERS-445958-53761,150000,,2011-12  Action on Smoking and Health (ASH) - project: Work to support the tobacco control plan for England - policy grant - Lee McGill,Programme,,,
Department of Health,Department of Health,08/11/2011,Grants to non profit institutions (CUR),Health Improvement and Protection,THE BREASTFEEDING NETWORK,VCS,PA2 8YB,ERS-444887-53401,150000,,2011-12 The Breastfeeding Network (BFN) - Project: National Breastfeeding Helpline- Policy grant Parminder Nijjar,Programme,,,
Department of Health,Department of Health,10/11/2011,Research & development,Health Improvement and Protection,SHEFFIELD UNIVERSITY OF,PUBLIC,S10 2TN,1800070612,108956,,Research Project (FS234015),Programme,,,
Department of Health,Department of Health,23/11/2011,Research & development,Health Improvement and Protection,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,GRSI/00027968,55522,,Research Project (FS234014),Programme,,,
Department of Health,Department of Health,29/11/2011,Programme Capital Grant in AID to ENDPBs,Health Improvement and Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,HPA NOV 2011 FUNDING,3000000,,Health Protection Agency (HPA) Grant In Aid (GIA) Capital Costs Drawdown for 2011/12.,Other,,,
Department of Health,Department of Health,02/11/2011,Admin Capital Grant-in-Aid to ENDPBs,Health Improvement and Protection,HUMAN TISSUE AUTHORITY (HTA),PUBLIC,SW1W 9SZ,NL/035,75000,,2011/12 HTA Capital Darwdown - Contact Patrick Irwin,Programme,,,
Department of Health,Department of Health,24/11/2011,Outsourcing Contract,Health Improvement and Protection,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201263624,45911.71,,"WAF P3749 CCN 1116 Relocation of DH Staff Additional Moves - Cambridge, Bristol, Guildford & Leeds",Admin,,,
Department of Health,Department of Health,14/11/2011,Service charge,Informatics,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003165548,1206867.7,,PACS East Cluster Store Service Charges FY 2011/12,Programme,,,
Department of Health,Department of Health,14/11/2011,Service charge,Informatics,THE ACCENTURE GROUP,LARGE,EC4N 4TW,3003165549,1427232.72,,PACS NE Cluster Store Service Charges FY 2011/12,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281350PART PAYT,3207541.96,,Revenue: FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281359,1294520.76,,Revenue: FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281362,387338.55,,Revenue: FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,CHAPS22/11/11,45724.67,,,Programme,,,
Department of Health,Department of Health,17/11/2011,Service charge,Informatics,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201255402,85586.85,,Revenue: FY 20011/12 Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,17/11/2011,Service charge,Informatics,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259817,85705.9,,Revenue: FY 20011/12 Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,280851,125011.25,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,280852,123663.48,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,280853,159105.18,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,280854,75793.68,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281155,2529198.84,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,30/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 6LB,CHAPS30/11/11,3619361.06,,Revenue: FY 2011/12 Revenue Budget Requirements ( April to Sept 11),Programme,,,
Department of Health,Department of Health,23/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 5BA,281209,59915.56,,N3 services core contract to cover additional spend over budget in 2010 - 11 in line with agreed forecast,Programme,,,
Department of Health,Department of Health,23/11/2011,Service charge,Informatics,BT GROUP PLC,LARGE,NW9 5BA,281209,9809998.91,,N3 Services core contract to cover spend for services delivered in July to March 2012 as per EBC,Programme,,,
Department of Health,Department of Health,23/11/2011,Service charge,Informatics,MICROTEST LTD,SME,PL31 1EX,75452,540.6,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Service charge,Informatics,IN PRACTICE SYSTEMS LTD,LARGE,SW8 3QJ,376037,613814.46,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Service charge,Informatics,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 6BA,IN50393-1,940543.25,,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - IT,Informatics,MICROTEST LTD,SME,PL31 1EX,75452,68769.63,,Capital - Provision of GPSoC Compliant Systems and related services. Actual value of services over contract period will be determined by demand so order value to create purchasing capacity only,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - SW LIC,Informatics,MICROTEST LTD,SME,PL31 1EX,75452,184436.86,,Capital:  FY 2011/12 - Capital Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - IT,Informatics,IN PRACTICE SYSTEMS LTD,LARGE,SW8 3QJ,376037,1286067.35,,Capital: GPSoC Contract 2010/11,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - SW LIC,Informatics,IN PRACTICE SYSTEMS LTD,LARGE,SW8 3QJ,376037,842454.33,,Capital:  FY 2011/12 - Revenue Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - IT,Informatics,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 6BA,IN50393-1,929651.93,,Capital: GPSoC Contract FY 2010/11,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - SW LIC,Informatics,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 6BA,IN50393-1,4106626.05,,Capital:  FY 2011/12 - Capital Budget Requirements,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - IT,Informatics,I SOFT PLC,LARGE,WA2 0XD,INV/006169,706900,,Capital - Provision of GPSoC Compliant Systems and related services. Actual value of services over contract period will be determined by demand so order value to create purchasing capacity only,Programme,,,
Department of Health,Department of Health,23/11/2011,Addition Clearing - SW LIC,Informatics,I SOFT PLC,LARGE,WA2 0XD,INV/006169,746.94,,Capital : FY 2011/12 Capital Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Addition Clearing - SW LIC,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281258,84381.68,,Capital: FY 2011/12 - Capital Budget Requirements,Programme,,,
Department of Health,Department of Health,22/11/2011,Addition Clearing - SW LIC,Informatics,BT GROUP PLC,LARGE,NW9 6LB,281262,767467.83,,Capital: FY 2011/12 - Capital Budget Requirements,Programme,,,
Department of Health,Department of Health,14/11/2011,Addition Clearing - SW LIC,Informatics,BT GROUP PLC,LARGE,NW9 6LB,279128,927411.78,,Capital:  FY 2011/12 Capital Budget  Requirements ( April to Sept 11),Programme,,,
Department of Health,Department of Health,15/11/2011,External Consultancy Fees,Informatics,ACTIVITY INFORMATION MANAGEMENT LTD,LARGE,,13830417,21850,,,,,,
Department of Health,Department of Health,25/11/2011,External Consultancy Fees,Informatics,ASE CONSULTING LTD,SME,,13890830,27675,,,,,,
Department of Health,Department of Health,02/11/2011,Phone Rental and Calls,Informatics,BT PLC,LARGE,,13890582,25444.47,,,,,,
Department of Health,Department of Health,16/11/2011,Contr Other External,Informatics,CABLE & WIRELESS UK,LARGE,,13950276,633112.77,,,,,,
Department of Health,Department of Health,29/11/2011,External Consultancy Fees,Informatics,CABLE & WIRELESS UK,LARGE,,14026603,229495.2,,,,,,
Department of Health,Department of Health,28/11/2011,External Data Contracts,Informatics,CABLE & WIRELESS UK,LARGE,,14018900,66026.59,,,,,,
Department of Health,Department of Health,09/11/2011,Legal / Prof Fees,Informatics,DLA PIPER UK LLP,LARGE,,13903801,50981.25,,,,,,
Department of Health,Department of Health,24/11/2011,External Consultancy Fees,Informatics,ERNST & YOUNG LLP,LARGE,,13935339,208977.48,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,146.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,431.68,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,158.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,453.6,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,307.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,353.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,314.78,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,464,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,595.3,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,145,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,215.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1010.23,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3197.68,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1697.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1324.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,11373.43,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,2532.82,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,523.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,161.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1012.3,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,106.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,168.7,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,563,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1216.33,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,530.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,1574.1,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,8515.2,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,1105.19,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,699.31,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,175.39,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,393.25,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2107.6,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,2072.96,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,2215.78,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,7959.37,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,615.11,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,105.1,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,81.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,319.8,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1192.5,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,111.2,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1727.25,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,594.8,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,508.83,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1691.53,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,441.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1225.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,121.2,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,595.5,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,3617.17,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,878.05,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,440.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1472.9,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,227.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,143.38,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,693.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,2367,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,287.59,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,173.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,403.8,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,132.6,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,316.2,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,428.4,,,,,,
Department of Health,Department of Health,23/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960271,1339.6,,,,,,
Department of Health,Department of Health,21/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13981981,148.39,,,,,,
Department of Health,Department of Health,16/11/2011,Travel & Subsistence,Informatics,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,,13960270,153,,,,,,
